,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-12,2.53B,2.53B,1.365B,1.165B,,112.00M,34.00M,,,,539.00M,704.00M,461.00M,,,,112.00M,,380.00M,136.00M,244.00M,-8.00M,-1.00M,,235.00M,152.00M,461.00M,,2002-12,0.58,,0.4105,0.565,,2002-12,-0.0022,,0.3820,2002-12,424.40M,450.53M,0.27,,2002-12,,
2002-09,2.327B,2.327B,1.154B,1.173B,,19.00M,31.00M,,,,448.00M,646.00M,527.00M,,,,19.00M,,331.00M,124.00M,207.00M,-3.00M,,,204.00M,194.00M,527.00M,,2002-09,0.50,,0.4713,0.495,,2002-09,,,0.4713,2002-09,413.56M,413.56M,0.27,,2002-09,,
2002-06,1.415B,1.415B,449.00M,966.00M,,13.00M,26.00M,,,,963.00M,1.124B,-158.00M,,,,13.00M,,-347.00M,-120.00M,-227.00M,-37.00M,,,-264.00M,177.00M,-158.00M,,2002-06,-0.55,,-0.5706,-0.64,,2002-06,,,-0.5705,2002-06,412.49M,413.85M,0.27,,2002-06,,
2002-03,1.883B,1.883B,740.00M,1.143B,,-11.00M,38.00M,,,,463.00M,632.00M,511.00M,,,,-11.00M,,295.00M,114.00M,181.00M,-1.00M,-120.00M,-14.00M,60.00M,131.00M,511.00M,,2002-03,0.44,,0.4564,0.145,,2002-03,-0.2908,,0.4564,2002-03,412.68M,412.68M,0.27,,2002-03,,
2001-12,1.566B,1.566B,620.00M,946.00M,,157.00M,29.00M,,,,499.00M,650.00M,296.00M,,,,157.00M,,264.00M,82.00M,182.00M,5.00M,1.00M,,188.00M,148.00M,296.00M,,2001-12,0.44,,0.1786,0.455,,2001-12,0.0024,,0.1786,2001-12,414.01M,414.01M,0.27,,2001-12,,
2001-09,1.616B,1.616B,564.00M,1.052B,,7.00M,23.00M,,,,450.00M,625.00M,427.00M,,,,7.00M,,224.00M,49.00M,175.00M,-3.00M,,,172.00M,170.00M,427.00M,,2001-09,0.42,,0.4069,0.41,,2001-09,,,0.4069,2001-09,416.99M,416.99M,0.27,,2001-09,,
2001-06,2.171B,2.171B,1.048B,1.123B,,4.00M,38.00M,,,,560.00M,721.00M,402.00M,,,,4.00M,,224.00M,81.00M,143.00M,,,,143.00M,144.00M,402.00M,,2001-06,0.17,,0.1669,0.17,,2001-06,,,0.1669,2001-06,834.80M,834.80M,0.27,,2001-06,,
2001-03,2.819B,2.819B,1.543B,1.276B,,13.00M,48.00M,,,,538.00M,694.00M,582.00M,,,,13.00M,,407.00M,153.00M,254.00M,,9.00M,,261.00M,135.00M,582.00M,,2001-03,0.305,-0.0024,0.2952,0.3125,,2001-03,0.0108,-0.0024,0.2952,2001-03,831.89M,831.89M,0.27,,2001-03,,
2000-12,-327.00M,-327.00M,775.00M,-1.102B,,7.00M,1.00M,,,,-1.706B,-1.621B,519.00M,,,,7.00M,,354.00M,132.00M,222.00M,,,,210.00M,179.00M,519.00M,,2000-12,0.535,,0.5244,0.505,,2000-12,,,0.5244,2000-12,414.47M,414.47M,0.27,,2000-12,,
2000-09,2.207B,2.207B,483.00M,1.724B,,6.00M,46.00M,,,,1.196B,1.332B,392.00M,,,,6.00M,,226.00M,84.00M,142.00M,,,,142.00M,92.00M,392.00M,,2000-09,0.33,,0.3212,0.33,,2000-09,,,0.3212,2000-09,429.25M,429.25M,0.27,,2000-09,,
2000-06,2.159B,2.159B,1.164B,995.00M,,6.00M,38.00M,,,,478.00M,602.00M,393.00M,,,,6.00M,,239.00M,97.00M,142.00M,,,,142.00M,105.00M,393.00M,,2000-06,0.33,,0.3216,0.33,,2000-06,,,0.3216,2000-06,430.79M,430.79M,0.27,,2000-06,,
2000-03,2.483B,2.483B,1.262B,1.221B,,11.00M,50.00M,,,,478.00M,618.00M,603.00M,,,,11.00M,,453.00M,183.00M,270.00M,,,,270.00M,116.00M,603.00M,,2000-03,0.625,,0.6098,0.625,,2000-03,,,0.6098,2000-03,432.87M,432.87M,0.27,,2000-03,,
1999-12,1.621B,1.621B,474.00M,1.147B,,37.00M,53.00M,,,,643.00M,754.00M,393.00M,,,,37.00M,,271.00M,138.00M,133.00M,,,,133.00M,150.00M,393.00M,,1999-12,0.305,-0.0124,0.2532,0.30,,1999-12,,-0.0124,0.2532,1999-12,428.87M,428.87M,0.27,,1999-12,,
1999-09,1.606B,1.606B,466.00M,1.14B,,26.00M,44.00M,,,,445.00M,637.00M,503.00M,,,,26.00M,,380.00M,159.00M,221.00M,,,,207.00M,148.00M,503.00M,,1999-09,0.505,-0.0319,0.4694,0.475,,1999-09,,-0.0330,0.4694,1999-09,438.45M,438.45M,0.27,,1999-09,,
1999-06,1.436B,1.436B,415.00M,1.021B,,10.00M,43.00M,,,,377.00M,584.00M,437.00M,,,,10.00M,,302.00M,121.00M,181.00M,,,,-609.00M,145.00M,437.00M,,1999-06,0.415,-1.799,0.4013,-1.385,,1999-06,,-1.799,0.4013,1999-06,439.14M,439.14M,0.27,,1999-06,,
1999-03,1.795B,1.795B,674.00M,1.121B,,6.00M,56.00M,,,,419.00M,660.00M,461.00M,,,,6.00M,,331.00M,143.00M,188.00M,,,,188.00M,185.00M,461.00M,,1999-03,0.425,,0.4169,0.425,,1999-03,,,0.4169,1999-03,445.41M,445.41M,0.27,,1999-03,,
1998-12,1.55B,1.55B,521.00M,1.029B,,-3.00M,51.00M,,,,509.00M,665.00M,364.00M,,,,-3.00M,,212.00M,61.00M,151.00M,,,,151.00M,198.00M,364.00M,,1998-12,0.33,,0.3347,0.33,,1998-12,,,0.3347,1998-12,456.39M,456.39M,0.27,,1998-12,,
1998-09,1.439B,1.439B,415.00M,1.024B,,8.00M,49.00M,,,,300.00M,574.00M,450.00M,,,,8.00M,,322.00M,142.00M,180.00M,,,,180.00M,188.00M,450.00M,,1998-09,0.39,,0.3796,0.39,,1998-09,,,0.3796,1998-09,463.45M,463.45M,0.27,,1998-09,,
1998-06,1.362B,1.362B,423.00M,939.00M,,2.00M,44.00M,,,,353.00M,598.00M,341.00M,,,,2.00M,,211.00M,89.00M,122.00M,,,,122.00M,210.00M,341.00M,,1998-06,0.265,,0.2624,0.265,,1998-06,,,0.2624,1998-06,463.92M,463.92M,0.27,,1998-06,,
