,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2018-03,1.086B,1.086B,6.332B,,6.332B,1.677B,,1.296B,10.39B,,,,,40.31B,,40.31B,-22.18B,18.12B,,,7.471B,648.00M,,665.00M,26.91B,37.30B,2.538B,,2.538B,3.243B,5.781B,,1.697B,,1.697B,,,,7.478B,31.59B,,31.59B,,,,1.81B,,1.244B,34.26B,41.73B,4.00M,-6.051B,,-197.00M,-6.244B
2017-12,732.00M,732.00M,6.501B,,6.501B,1.573B,,1.171B,9.977B,0.0,1.746B,14.25B,22.17B,,1.921B,40.08B,-22.19B,17.90B,,,7.394B,617.00M,,710.00M,26.62B,36.59B,2.606B,299.00M,2.905B,2.986B,5.891B,,200.00M,,200.00M,,,,6.158B,32.86B,,32.86B,,,,1.811B,,1.198B,35.43B,41.59B,4.00M,-6.532B,,-278.00M,-6.806B
2017-09,718.00M,718.00M,5.98B,,5.98B,1.546B,,1.204B,9.448B,,,,,39.26B,,39.26B,-21.93B,17.33B,,,7.357B,569.00M,,1.028B,26.28B,35.73B,2.314B,,2.314B,3.095B,5.409B,,202.00M,,202.00M,,,,5.611B,32.75B,,32.75B,,,,1.714B,,1.179B,35.19B,40.80B,4.00M,-6.516B,,-268.00M,-6.78B
2017-06,705.00M,705.00M,5.782B,,5.782B,1.544B,,1.306B,9.337B,,,,,38.31B,,38.31B,-21.54B,16.77B,,,6.771B,549.00M,,1.141B,25.23B,34.57B,2.245B,,2.245B,3.313B,5.558B,,213.00M,,213.00M,,,,5.771B,31.45B,,31.45B,,,,1.713B,,1.144B,33.87B,39.64B,4.00M,-6.503B,,-293.00M,-6.792B
2017-03,753.00M,753.00M,5.664B,,5.664B,1.501B,,1.119B,9.037B,,,,,37.59B,,37.59B,-21.13B,16.46B,,,6.754B,543.00M,,999.00M,24.76B,33.80B,2.233B,,2.233B,3.018B,5.251B,,212.00M,,212.00M,,,,5.463B,31.30B,,31.30B,,,,1.66B,,1.134B,33.69B,39.15B,4.00M,-6.701B,,-320.00M,-7.017B
2016-12,646.00M,646.00M,5.826B,,5.826B,1.503B,,1.111B,9.086B,0.0,1.611B,13.55B,20.58B,,1.318B,37.06B,-20.70B,16.35B,,,6.704B,542.00M,,1.074B,24.67B,33.76B,2.318B,283.00M,2.601B,3.017B,5.618B,,216.00M,,216.00M,,,,5.834B,31.16B,,31.16B,,,,1.669B,,1.148B,33.56B,39.39B,4.00M,-6.968B,,-338.00M,-7.302B
2016-09,677.00M,677.00M,5.503B,,5.503B,1.503B,,1.16B,8.843B,,,,,36.45B,,36.45B,-20.57B,15.88B,,,6.691B,570.00M,,1.148B,24.28B,33.13B,1.95B,,1.95B,2.989B,4.939B,,216.00M,,216.00M,,,,5.155B,31.22B,,31.22B,,,,1.60B,,1.164B,34.14B,39.29B,4.00M,-7.426B,,-341.00M,-7.763B
2016-06,691.00M,691.00M,5.669B,,5.669B,1.481B,,1.254B,9.095B,,,,,35.87B,,35.87B,-20.25B,15.62B,,,6.694B,542.00M,,1.25B,24.11B,33.20B,1.934B,,1.934B,3.238B,5.172B,,224.00M,,224.00M,,,,5.396B,31.23B,,31.23B,,,,1.609B,,1.126B,34.31B,39.70B,4.00M,-7.767B,,-344.00M,-8.107B
2016-03,852.00M,852.00M,5.88B,,5.88B,1.415B,,1.054B,9.201B,,,,,34.98B,,34.98B,-19.92B,15.06B,,,6.713B,599.00M,,1.206B,23.58B,32.78B,1.944B,,1.944B,3.228B,5.172B,,226.00M,,226.00M,,,,5.398B,30.33B,,30.33B,,,,1.557B,,1.116B,33.38B,38.78B,4.00M,-7.266B,,-294.00M,-7.556B
2015-12,741.00M,741.00M,5.889B,,5.889B,1.439B,,1.163B,9.232B,0.0,1.524B,12.53B,19.34B,,1.222B,34.61B,-19.60B,15.01B,,,6.731B,610.00M,,1.157B,23.51B,32.74B,2.17B,277.00M,2.447B,2.836B,5.283B,,233.00M,,233.00M,,,,5.516B,30.26B,,30.26B,,,,1.553B,,1.115B,33.27B,38.79B,4.00M,-7.338B,,-265.00M,-7.599B
2015-09,588.00M,588.00M,5.827B,,5.827B,1.379B,412.00M,1.015B,9.221B,,,,,34.21B,,34.21B,-19.50B,14.70B,,,6.54B,595.00M,,836.00M,22.68B,31.90B,1.877B,,1.877B,3.059B,4.936B,,1.377B,,1.377B,,,,6.313B,28.38B,,28.38B,,,,1.482B,,1.117B,31.40B,37.71B,4.00M,-6.989B,,-309.00M,-7.294B
2015-06,673.00M,673.00M,5.804B,,5.804B,1.348B,376.00M,1.092B,9.293B,,,,,33.80B,,33.80B,-19.24B,14.56B,,,6.484B,586.00M,,787.00M,22.42B,31.71B,1.884B,,1.884B,3.052B,4.936B,,1.374B,,1.374B,,,,6.31B,28.36B,,28.36B,,,,1.451B,,1.132B,31.36B,37.66B,4.00M,-7.12B,,-290.00M,-7.406B
2015-03,586.00M,586.00M,5.928B,,5.928B,1.287B,304.00M,1.025B,9.13B,,,,,33.29B,,33.29B,-18.90B,14.39B,,,6.415B,616.00M,,735.00M,22.16B,31.29B,1.973B,,1.973B,3.162B,5.135B,,2.037B,,2.037B,,,,7.172B,27.41B,,27.41B,,,,1.398B,,1.095B,30.34B,37.51B,4.00M,-7.28B,,-344.00M,-7.62B
2014-12,566.00M,566.00M,5.694B,,5.694B,1.279B,366.00M,1.025B,8.93B,0.0,1.524B,11.94B,18.50B,,1.019B,32.98B,-18.62B,14.36B,,,6.416B,659.00M,,620.00M,22.05B,30.98B,2.035B,255.00M,2.29B,2.852B,5.142B,,338.00M,,338.00M,,,,5.48B,29.09B,,29.09B,,,,1.396B,,1.078B,32.00B,37.48B,4.00M,-7.575B,,-323.00M,-7.894B
2014-09,515.00M,515.00M,5.524B,,5.524B,1.258B,320.00M,910.00M,8.527B,,,,,32.30B,,32.30B,-18.42B,13.88B,,,5.899B,608.00M,221.00M,692.00M,21.30B,29.82B,1.787B,,1.787B,2.801B,4.588B,,1.044B,,1.044B,,,,5.632B,27.43B,,27.43B,,,,1.366B,,1.045B,30.21B,35.84B,4.00M,-8.054B,872.00M,-206.00M,-7.384B
2014-06,658.00M,658.00M,5.472B,,5.472B,1.211B,500.00M,931.00M,8.772B,,,,,31.84B,,31.84B,-18.12B,13.72B,,,5.909B,576.00M,230.00M,614.00M,21.05B,29.82B,1.717B,,1.717B,3.132B,4.849B,,1.046B,,1.046B,,,,5.895B,27.94B,,27.94B,,,,1.402B,,1.019B,30.52B,36.41B,4.00M,-8.572B,777.00M,-199.00M,-7.99B
2014-03,850.00M,850.00M,5.489B,,5.489B,1.187B,492.00M,859.00M,8.877B,,,,,31.37B,,31.37B,-17.76B,13.61B,,,5.91B,595.00M,271.00M,544.00M,20.93B,29.81B,1.735B,,1.735B,3.115B,4.85B,,1.041B,,1.041B,,,,5.891B,27.88B,,27.88B,,,,1.361B,,978.00M,30.38B,36.28B,4.00M,-9.055B,1.455B,-232.00M,-7.828B
2013-12,414.00M,414.00M,5.208B,,5.208B,1.179B,489.00M,747.00M,8.037B,0.0,1.487B,11.21B,17.52B,,856.00M,31.07B,-17.45B,13.62B,,,5.903B,569.00M,237.00M,466.00M,20.79B,28.83B,1.803B,252.00M,2.055B,2.854B,4.909B,,786.00M,,786.00M,,,,5.695B,27.59B,,27.59B,,,,1.342B,,949.00M,30.06B,35.76B,4.00M,-9.403B,1.386B,-257.00M,-8.27B
2013-09,484.00M,484.00M,4.924B,,4.924B,1.135B,400.00M,828.00M,7.771B,,,,,30.47B,,30.47B,-17.15B,13.32B,,,5.832B,527.00M,250.00M,691.00M,20.62B,28.39B,1.582B,,1.582B,2.849B,4.431B,,988.00M,,988.00M,,,,5.419B,27.39B,,27.39B,,,,1.332B,,959.00M,30.02B,35.44B,4.00M,-9.827B,1.821B,-374.00M,-8.376B
2013-06,462.00M,462.00M,4.915B,,4.915B,1.152B,401.00M,861.00M,7.791B,,,,,30.08B,,30.08B,-16.85B,13.23B,,,5.534B,525.00M,264.00M,591.00M,20.14B,27.93B,1.657B,,1.657B,2.907B,4.564B,,1.456B,,1.456B,,,,6.02B,26.74B,,26.74B,,,,1.338B,,960.00M,29.40B,35.42B,4.00M,-10.19B,1.792B,-426.00M,-8.823B
2013-03,594.00M,594.00M,4.877B,,4.877B,1.104B,385.00M,827.00M,7.787B,,,,,29.76B,,29.76B,-16.62B,13.14B,,,5.541B,530.00M,274.00M,606.00M,20.10B,27.88B,1.691B,,1.691B,2.862B,4.553B,,1.438B,,1.438B,,,,5.991B,27.17B,,27.17B,,,,1.311B,,970.00M,29.90B,35.89B,4.00M,-10.62B,1.764B,-475.00M,-9.323B
2012-12,705.00M,705.00M,4.672B,,4.672B,1.086B,385.00M,915.00M,7.763B,0.0,1.429B,10.72B,16.43B,,948.00M,29.53B,-16.34B,13.18B,,,5.539B,619.00M,290.00M,679.00M,20.31B,28.08B,1.768B,235.00M,2.003B,2.734B,4.737B,,1.435B,,1.435B,,,,6.172B,27.50B,,27.50B,,,,1.319B,,973.00M,30.24B,36.42B,4.00M,-10.96B,1.753B,-457.00M,-9.66B
2012-09,472.00M,472.00M,4.598B,,4.598B,1.052B,322.00M,828.00M,7.272B,,,,,,,29.14B,-16.18B,12.96B,,,5.46B,576.00M,266.00M,768.00M,20.03B,27.30B,1.585B,,1.585B,1.498B,3.083B,,1.751B,,1.751B,,,,5.861B,25.18B,,25.18B,1.86B,1.86B,962.00M,1.296B,,,28.00B,33.86B,4.00M,-9.103B,1.68B,-440.00M,-7.859B
2012-06,518.00M,518.00M,4.485B,,4.485B,1.055B,323.00M,756.00M,7.137B,,,,,,,28.74B,-15.90B,12.85B,,,5.431B,597.00M,281.00M,840.00M,20.00B,27.13B,1.517B,,1.517B,1.651B,3.168B,,1.309B,,1.309B,,,,5.447B,25.73B,,25.73B,1.857B,1.857B,1.039B,1.30B,,,28.63B,34.08B,4.00M,-9.463B,1.665B,-449.00M,-8.243B
2012-03,471.00M,471.00M,4.878B,,4.878B,1.046B,226.00M,661.00M,7.282B,,,,,,,28.35B,-15.57B,12.79B,,,5.398B,644.00M,292.00M,736.00M,19.86B,27.14B,1.412B,,1.412B,2.362B,3.774B,,1.841B,,1.841B,,,,5.615B,26.06B,,26.06B,1.757B,1.757B,1.03B,1.289B,,,28.85B,34.46B,4.00M,-9.854B,1.648B,-411.00M,-8.613B
2011-12,373.00M,373.00M,4.533B,,4.533B,1.054B,594.00M,679.00M,7.233B,0.0,1.416B,10.23B,15.43B,,997.00M,28.08B,-15.24B,12.83B,,,5.251B,649.00M,290.00M,641.00M,19.66B,26.90B,1.597B,232.00M,1.829B,2.318B,4.147B,,1.407B,,1.407B,,,,5.554B,25.64B,,25.64B,,,,1.244B,,993.00M,28.36B,33.91B,4.00M,-9.423B,1.601B,-440.00M,-8.258B
2011-09,359.00M,359.00M,3.925B,,3.925B,891.00M,643.00M,875.00M,6.693B,,,,,,,26.65B,-15.00B,11.64B,2.701B,,2.701B,1.382B,297.00M,1.038B,17.06B,23.76B,1.334B,,1.334B,2.212B,3.546B,,725.00M,,725.00M,,,,4.271B,25.87B,,25.87B,1.683B,1.683B,993.00M,1.132B,0.00,,28.55B,32.82B,4.00M,-11.36B,1.584B,-424.00M,-10.19B
2011-06,539.00M,539.00M,3.946B,,3.946B,887.00M,894.00M,625.00M,6.891B,,,,,,,26.34B,-14.75B,11.58B,2.719B,,2.719B,1.358B,332.00M,993.00M,16.99B,23.88B,1.297B,,1.297B,2.292B,3.589B,,689.00M,,689.00M,,,,4.278B,24.63B,,24.63B,1.515B,1.515B,987.00M,1.147B,0.00,,27.13B,31.41B,5.00M,-11.42B,3.072B,-339.00M,-8.681B
2011-03,553.00M,553.00M,4.06B,,4.06B,881.00M,916.00M,576.00M,6.986B,,,,,,,25.86B,-14.51B,11.35B,2.705B,,2.705B,1.442B,354.00M,975.00M,16.82B,23.81B,1.348B,,1.348B,2.373B,3.721B,,546.00M,,546.00M,,,,4.267B,24.82B,,24.82B,1.507B,1.507B,1.003B,1.142B,0.00,,27.33B,31.60B,5.00M,-11.65B,3.057B,-344.00M,-8.93B
2010-12,411.00M,411.00M,3.832B,,3.832B,897.00M,931.00M,848.00M,6.919B,0.0,1.215B,9.438B,14.31B,,678.00M,25.64B,-14.29B,11.35B,2.693B,,2.693B,1.511B,374.00M,1.003B,16.93B,23.85B,1.537B,,1.537B,2.14B,3.677B,,592.00M,,592.00M,,,,4.269B,27.63B,,27.63B,1.608B,1.608B,,1.132B,141.00M,995.00M,30.38B,34.65B,4.00M,-11.89B,386.00M,-428.00M,-11.93B
2010-09,377.00M,377.00M,3.636B,,3.636B,815.00M,1.045B,678.00M,6.551B,,,,,,,25.23B,-14.09B,11.14B,2.61B,,2.61B,1.522B,371.00M,1.063B,16.70B,23.25B,1.254B,,1.254B,2.38B,3.634B,,696.00M,,696.00M,,,,4.33B,25.38B,,25.38B,1.611B,1.611B,1.027B,1.017B,144.00M,,28.16B,32.50B,1.00M,-10.09B,324.00M,-494.00M,-10.26B
2010-06,350.00M,350.00M,3.769B,,3.769B,805.00M,1.126B,742.00M,6.792B,,,,,,,24.95B,-13.80B,11.15B,2.583B,,2.583B,1.516B,391.00M,986.00M,16.63B,23.42B,1.179B,,1.179B,2.189B,3.368B,,1.029B,,1.029B,,,,4.397B,25.77B,,25.77B,1.589B,1.589B,1.029B,1.017B,144.00M,,28.53B,32.93B,1.00M,-10.33B,312.00M,-505.00M,-10.52B
2010-03,388.00M,388.00M,3.878B,,3.878B,794.00M,1.181B,497.00M,6.738B,,,,,,,24.77B,-13.51B,11.25B,2.561B,,2.561B,1.997B,411.00M,1.132B,17.35B,24.09B,1.199B,,1.199B,2.391B,3.59B,,981.00M,,981.00M,,,,4.571B,25.87B,,25.87B,1.742B,1.742B,,1.015B,144.00M,1.058B,28.82B,33.39B,1.00M,-10.13B,291.00M,-479.00M,-10.31B
2009-12,312.00M,312.00M,3.692B,,3.692B,802.00M,1.192B,579.00M,6.577B,0.0,1.202B,9.108B,13.58B,,784.00M,24.67B,-13.24B,11.43B,2.577B,,2.577B,2.019B,418.00M,1.113B,17.55B,24.13B,1.46B,,1.46B,2.007B,3.467B,,846.00M,,846.00M,,,,4.313B,24.82B,,24.82B,1.768B,1.768B,,1.008B,147.00M,1.057B,27.80B,32.11B,4.00M,-8.763B,223.00M,-450.00M,-8.986B
2009-09,443.00M,443.00M,3.499B,,3.499B,745.00M,1.099B,515.00M,6.301B,,,,,,,24.39B,-13.04B,11.35B,2.596B,,2.596B,2.226B,436.00M,1.21B,17.82B,24.12B,1.199B,,1.199B,2.27B,3.469B,,635.00M,,635.00M,,,,4.104B,25.28B,,25.28B,1.782B,1.782B,,990.00M,147.00M,1.097B,28.30B,32.41B,1.00M,-8.979B,204.00M,-505.00M,-9.279B
2009-06,450.00M,450.00M,3.68B,,3.68B,730.00M,1.032B,556.00M,6.448B,,,,,,,24.18B,-12.75B,11.43B,2.594B,,2.594B,2.176B,444.00M,1.146B,17.79B,24.24B,1.206B,,1.206B,1.995B,3.201B,,194.00M,,194.00M,,,,3.395B,26.35B,,26.35B,1.713B,1.713B,,1.005B,155.00M,1.108B,29.33B,32.72B,1.00M,-9.175B,186.00M,-498.00M,-9.486B
2009-03,356.00M,356.00M,3.87B,,3.87B,717.00M,988.00M,558.00M,6.489B,,,,,,,23.91B,-12.46B,11.46B,2.579B,,2.579B,2.162B,452.00M,1.147B,17.80B,24.28B,1.20B,,1.20B,2.281B,3.481B,,416.00M,,416.00M,,,,3.897B,26.15B,,26.15B,1.853B,1.853B,,1.019B,154.00M,1.098B,29.26B,33.15B,1.00M,-9.457B,176.00M,-608.00M,-9.888B
2008-12,465.00M,465.00M,3.78B,,3.78B,737.00M,914.00M,405.00M,6.301B,0.0,1.189B,8.67B,12.83B,,1.022B,23.71B,-12.18B,11.53B,2.58B,,2.58B,2.264B,458.00M,1.148B,17.98B,24.28B,1.37B,,1.37B,2.136B,3.506B,,404.00M,,404.00M,,,,3.91B,26.58B,,26.58B,1.782B,1.782B,,995.00M,155.00M,1.108B,29.63B,33.54B,1.00M,-9.817B,165.00M,-604.00M,-10.26B
2008-09,444.00M,444.00M,3.699B,,3.699B,716.00M,722.00M,517.00M,6.098B,,,,,,,23.41B,-11.97B,11.44B,2.601B,,2.601B,2.307B,478.00M,871.00M,17.70B,23.79B,1.191B,,1.191B,2.084B,3.275B,,368.00M,,368.00M,,,,3.643B,26.67B,,26.67B,1.375B,1.375B,,969.00M,163.00M,2.083B,30.29B,33.94B,1.00M,-10.08B,148.00M,-211.00M,-11.11B
2008-06,368.00M,368.00M,3.922B,,3.922B,715.00M,727.00M,557.00M,6.289B,,,,,,,23.14B,-11.71B,11.44B,2.63B,,2.63B,2.359B,498.00M,858.00M,17.78B,24.07B,1.214B,,1.214B,1.849B,3.063B,,341.00M,,341.00M,,,,3.404B,27.27B,,27.27B,1.295B,1.295B,,,163.00M,2.119B,30.85B,34.26B,1.00M,-10.17B,138.00M,-156.00M,-10.18B
2008-03,471.00M,471.00M,4.134B,,4.134B,705.00M,693.00M,498.00M,6.501B,,,,,,,22.78B,-11.40B,11.38B,2.633B,,2.633B,2.372B,517.00M,1.088B,17.99B,24.49B,1.272B,,1.272B,2.154B,3.426B,,330.00M,,330.00M,,,,3.756B,27.16B,,27.16B,1.745B,1.745B,,953.00M,163.00M,1.242B,30.31B,34.06B,1.00M,-10.31B,123.00M,-341.00M,-10.53B
2007-12,393.00M,393.00M,3.895B,,3.895B,710.00M,592.00M,615.00M,6.205B,0.0,1.24B,8.518B,12.09B,,733.00M,22.58B,-11.14B,11.44B,2.629B,,2.629B,2.357B,539.00M,853.00M,17.82B,24.02B,1.37B,,1.37B,2.171B,3.541B,,308.00M,,308.00M,,,,3.849B,27.00B,,27.00B,1.379B,1.379B,,938.00M,164.00M,1.233B,29.78B,33.62B,1.00M,-10.48B,112.00M,-172.00M,-10.54B
2007-09,347.00M,347.00M,3.857B,,3.857B,689.00M,487.00M,649.00M,6.029B,,,,,,,22.45B,-11.00B,11.45B,2.652B,,2.652B,2.42B,559.00M,667.00M,17.75B,23.78B,1.29B,,1.29B,2.12B,3.41B,,299.00M,,299.00M,,,,3.709B,27.25B,,27.25B,1.189B,1.189B,,915.00M,164.00M,1.276B,29.88B,33.58B,1.00M,-10.76B,86.00M,-52.00M,-10.72B
2007-06,354.00M,354.00M,3.798B,,3.798B,689.00M,466.00M,639.00M,5.946B,,,,,,,22.34B,-10.80B,11.54B,2.631B,,2.631B,2.365B,584.00M,634.00M,17.76B,23.70B,1.204B,,1.204B,1.845B,3.049B,,304.00M,,304.00M,,,,3.353B,27.79B,,27.79B,1.132B,1.132B,,891.00M,165.00M,1.276B,30.36B,33.72B,1.00M,-11.06B,77.00M,74.00M,-10.90B
2007-03,409.00M,409.00M,3.859B,,3.859B,676.00M,452.00M,522.00M,5.918B,,,,,,,22.16B,-10.53B,11.63B,2.633B,,2.633B,2.413B,603.00M,443.00M,17.72B,23.64B,1.258B,,1.258B,2.046B,3.304B,,286.00M,,286.00M,,,,3.59B,27.62B,,27.62B,1.128B,1.128B,,959.00M,165.00M,1.30B,30.21B,33.80B,1.00M,-11.17B,65.00M,-9.00M,-11.12B
2006-12,634.00M,634.00M,3.705B,,3.705B,669.00M,476.00M,594.00M,6.078B,0.0,1.238B,8.178B,11.17B,,1.321B,21.91B,-10.24B,11.67B,2.601B,,2.601B,2.565B,614.00M,148.00M,17.60B,23.68B,1.415B,,1.415B,1.868B,3.283B,,293.00M,,293.00M,,,,3.576B,28.12B,,28.12B,1.017B,1.017B,,907.00M,125.00M,1.309B,30.57B,34.14B,1.00M,-11.39B,0.00,16.00M,-11.37B
2006-09,541.00M,541.00M,3.567B,,3.567B,659.00M,588.00M,462.00M,5.817B,,,,,,,21.96B,-10.25B,11.71B,2.663B,,2.663B,2.785B,72.00M,79.00M,17.31B,23.12B,1.268B,,1.268B,1.983B,3.251B,,831.00M,,831.00M,,,,4.082B,10.51B,,10.51B,1.135B,1.135B,,919.00M,,1.351B,13.00B,17.08B,4.00M,5.022B,,100.00M,5.126B
2006-06,736.00M,736.00M,3.414B,,3.414B,646.00M,552.00M,570.00M,5.918B,,,,,,,21.59B,-10.01B,11.58B,2.648B,,2.648B,2.799B,74.00M,103.00M,17.20B,23.12B,1.24B,,1.24B,2.145B,3.385B,,659.00M,,659.00M,,,,4.044B,11.00B,,11.00B,1.029B,1.029B,,901.00M,,1.315B,13.35B,17.39B,4.00M,4.734B,,88.00M,4.826B
2006-03,453.00M,453.00M,3.491B,,3.491B,624.00M,535.00M,567.00M,5.67B,,,,,,,21.10B,-9.74B,11.36B,2.622B,,2.622B,2.596B,76.00M,86.00M,16.74B,22.42B,1.244B,,1.244B,1.998B,3.242B,,704.00M,,704.00M,,,,3.946B,10.61B,,10.61B,1.067B,1.067B,,861.00M,,1.378B,13.05B,17.00B,4.00M,4.446B,,105.00M,4.555B
