,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-06,10.33B,10.73B,6.691B,4.042B,,,,,2.00M,,411.00M,-411.00M,1.965B,2.486B,1.556B,411.00M,-411.00M,15.00M,-411.00M,1.16B,365.00M,795.00M,,,-138.00M,657.00M,655.72M,2.092B,521.00M,1.571B,1.79,,,,1.786,1.79,1.75,,,,1.7469999999999999,1.75,365.85M,375.34M,
2017-03,10.62B,10.62B,6.698B,3.925B,,,,,1.00M,,419.00M,-419.00M,1.93B,2.451B,1.474B,419.00M,-419.00M,11.00M,-419.00M,1.066B,289.00M,777.00M,,,-118.00M,659.00M,658.30M,2.006B,521.00M,1.485B,1.78,,,,1.778,1.78,1.74,,,,1.7380000000000002,1.74,370.29M,379.98M,
2016-12,8.249B,10.64B,6.566B,4.075B,,,,,294.00M,,432.00M,-432.00M,1.879B,2.382B,1.693B,432.00M,-432.00M,304.00M,-432.00M,1.565B,480.00M,1.085B,,,-165.00M,920.00M,716.17M,2.50B,503.00M,1.997B,2.483,,,,1.9369999999999998,2.483,2.39,,,,1.86,2.39,373.46M,384.67M,
2016-09,11.11B,10.27B,6.439B,3.831B,,,,,-12.00M,,432.00M,-432.00M,1.896B,2.391B,1.44B,432.00M,-432.00M,10.00M,-432.00M,1.018B,273.00M,745.00M,,,-127.00M,618.00M,626.33M,1.945B,495.00M,1.45B,1.63,,,,1.652,1.63,1.59,,,,1.611,1.59,378.20M,389.59M,
2016-06,11.08B,10.32B,6.409B,3.91B,,,,,-4.00M,,427.00M,-427.00M,1.868B,2.357B,1.553B,427.00M,-427.00M,6.00M,-427.00M,1.132B,341.00M,791.00M,,,-133.00M,658.00M,660.64M,2.048B,489.00M,1.559B,1.7,,,,1.7069999999999999,1.7,1.65,,,,1.6569999999999998,1.65,386.41M,398.66M,
2016-03,11.05B,10.26B,6.416B,3.844B,,,,,-13.00M,,416.00M,-416.00M,1.853B,2.332B,1.512B,416.00M,-416.00M,-1.00M,-416.00M,1.095B,284.00M,811.00M,,,-117.00M,694.00M,703.22M,1.99B,479.00M,1.511B,1.75,,,,1.7730000000000001,1.75,1.69,,,,1.712,1.69,396.40M,410.58M,
2015-12,11.32B,10.25B,6.292B,3.957B,,,,,-189.00M,,410.00M,-410.00M,1.834B,2.314B,1.643B,410.00M,-410.00M,-181.00M,-410.00M,1.052B,314.00M,738.00M,,,-156.00M,582.00M,714.59M,1.942B,480.00M,1.462B,1.46,,,,1.787,1.46,1.4,,,,1.719,1.4,405.33M,415.82M,
2015-09,11.01B,9.856B,6.263B,3.593B,,,,,-79.00M,,411.00M,-411.00M,1.787B,2.269B,1.324B,411.00M,-411.00M,-70.00M,-411.00M,843.00M,270.00M,573.00M,,,-124.00M,449.00M,498.30M,1.736B,482.00M,1.254B,1.08,,,,1.199,1.08,1.05,,,,1.166,1.05,414.94M,426.44M,
2015-06,10.93B,9.897B,6.162B,3.735B,,,,,-130.00M,,425.00M,-425.00M,1.737B,2.206B,1.529B,425.00M,-425.00M,-120.00M,-425.00M,984.00M,319.00M,665.00M,,,-158.00M,507.00M,586.69M,1.878B,469.00M,1.409B,1.22,,,,1.411,1.22,1.18,,,,1.3659999999999999,1.18,416.41M,429.37M,
2015-03,10.32B,9.676B,6.036B,3.64B,,,,,9.00M,,419.00M,-419.00M,1.698B,2.171B,1.469B,419.00M,-419.00M,28.00M,-419.00M,1.078B,358.00M,720.00M,,,-129.00M,591.00M,585.39M,1.97B,473.00M,1.497B,1.41,,,,1.3969999999999998,1.41,1.36,,,,1.347,1.36,420.15M,435.31M,
2014-12,10.47B,9.636B,5.941B,3.695B,,,,,-100.00M,,429.00M,-429.00M,1.75B,2.209B,1.486B,429.00M,-429.00M,-89.00M,-429.00M,968.00M,292.00M,676.00M,,,-149.00M,527.00M,596.83M,1.856B,459.00M,1.397B,1.253,,,,1.416,1.253,1.19,,,,1.347,1.19,429.18M,443.79M,
2014-09,9.978B,9.22B,5.75B,3.47B,,,,,-12.00M,,427.00M,-427.00M,1.656B,2.116B,1.354B,427.00M,-427.00M,2.00M,-427.00M,929.00M,318.00M,611.00M,,,-93.00M,518.00M,525.44M,1.816B,460.00M,1.356B,1.2,,,,1.217,1.2,1.16,,,,1.177,1.16,432.62M,447.26M,
2014-06,9.958B,9.23B,5.63B,3.60B,,,,,-215.00M,,427.00M,-427.00M,1.609B,2.063B,1.537B,427.00M,-427.00M,-206.00M,-427.00M,904.00M,272.00M,632.00M,,,-149.00M,483.00M,620.60M,1.785B,454.00M,1.331B,1.1,,,,1.4140000000000001,1.1,1.07,,,,1.374,1.07,438.83M,453.01M,
2014-03,9.683B,8.832B,5.582B,3.25B,,,,,-57.00M,,460.00M,-460.00M,1.615B,2.062B,1.188B,460.00M,-460.00M,-48.00M,-460.00M,680.00M,226.00M,454.00M,,,-107.00M,347.00M,381.54M,1.587B,447.00M,1.14B,0.78,,,,0.8581,0.78,0.76,,,,0.8355,0.76,442.15M,457.45M,
2013-12,9.962B,8.836B,5.529B,3.307B,,,,,3.00M,,456.00M,-456.00M,1.593B,2.054B,1.253B,456.00M,-456.00M,3.00M,-456.00M,800.00M,246.00M,554.00M,,,-130.00M,424.00M,421.92M,1.717B,461.00M,1.256B,0.9645,,,,0.9598,0.9645,0.92,,,,0.9155,0.92,441.89M,458.50M,
2013-09,9.411B,8.456B,5.373B,3.083B,,,,,-1.00M,,458.00M,-458.00M,1.489B,1.932B,1.151B,458.00M,-458.00M,8.00M,-458.00M,701.00M,234.00M,467.00M,,,-102.00M,365.00M,365.61M,1.602B,443.00M,1.159B,0.82,,,,0.8214,0.82,0.79,,,,0.7913,0.79,447.33M,463.57M,
2013-06,9.473B,8.45B,5.318B,3.132B,,,,,4.00M,,462.00M,-462.00M,1.455B,1.88B,1.252B,462.00M,-462.00M,16.00M,-462.00M,806.00M,269.00M,537.00M,,,-114.00M,423.00M,420.56M,1.693B,425.00M,1.268B,0.95,,,,0.9445,0.95,0.91,,,,0.9047,0.91,446.61M,463.18M,
2013-03,9.194B,8.44B,5.396B,3.044B,,,,,-33.00M,,472.00M,-472.00M,1.484B,1.908B,1.136B,472.00M,-472.00M,-25.00M,-472.00M,639.00M,201.00M,438.00M,,,-94.00M,344.00M,364.82M,1.535B,424.00M,1.111B,0.77,,,,0.8169,0.77,0.74,,,,0.785,0.74,444.40M,462.37M,
2012-12,9.538B,8.434B,5.366B,3.068B,,,,,-164.00M,,462.00M,-462.00M,1.472B,1.897B,1.171B,462.00M,-462.00M,-154.00M,-462.00M,555.00M,128.00M,427.00M,,,-113.00M,314.00M,440.18M,1.442B,425.00M,1.017B,0.7085,,,,0.9937,0.7085,0.68,,,,0.9536,0.68,442.39M,461.15M,
2012-09,8.893B,8.062B,5.156B,2.906B,,,,,7.00M,,446.00M,-446.00M,1.379B,1.796B,1.11B,446.00M,-446.00M,13.00M,-446.00M,677.00M,222.00M,455.00M,,,-95.00M,360.00M,355.67M,1.54B,417.00M,1.123B,0.82,,,,0.8102,0.82,0.78,,,,0.7706,0.78,440.90M,459.52M,
2012-06,9.153B,8.112B,5.129B,2.983B,,,,,-2.00M,,448.00M,-448.00M,1.423B,1.843B,1.14B,448.00M,-448.00M,7.00M,-448.00M,699.00M,214.00M,485.00M,,,-94.00M,391.00M,392.29M,1.567B,420.00M,1.147B,0.89,,,,0.8929,0.89,0.85,,,,0.8528,0.85,439.47M,458.62M,
2012-03,9.199B,8.405B,5.155B,3.25B,,,,,-1.00M,,442.00M,-442.00M,1.438B,1.855B,1.395B,442.00M,-442.00M,10.00M,-442.00M,963.00M,324.00M,639.00M,,,-99.00M,540.00M,540.63M,1.822B,417.00M,1.405B,1.23,,,,1.2309999999999999,1.23,1.18,,,,1.181,1.18,437.94M,458.31M,
2011-12,10.59B,7.769B,14.79B,-7.017B,,,,,1.667B,,465.00M,-465.00M,1.55B,-8.011B,994.00M,465.00M,-465.00M,1.925B,-465.00M,2.454B,412.00M,2.042B,,,-107.00M,1.935B,547.87M,3.306B,387.00M,2.919B,4.09,,,,0.9134,4.09,3.93,,,,0.8815,3.93,436.66M,455.02M,
2011-09,7.258B,7.258B,1.263B,5.995B,3.333B,3.333B,,,-408.00M,,519.00M,-519.00M,1.25B,4.945B,1.05B,519.00M,-519.00M,-408.00M,-519.00M,123.00M,-23.00M,146.00M,,,-85.00M,61.00M,326.20M,1.004B,362.00M,642.00M,0.12,0.0,,,0.6416,0.12,0.11,0.0,,,0.6127,0.11,508.42M,527.52M,
2011-06,7.249B,7.249B,1.295B,5.954B,3.32B,3.32B,,,-75.00M,,520.00M,-520.00M,1.214B,4.892B,1.062B,520.00M,-520.00M,-75.00M,-520.00M,467.00M,147.00M,320.00M,,,-91.00M,229.00M,280.39M,1.345B,358.00M,987.00M,0.44,0.0,,,0.5395,0.44,0.43,0.0,,,0.5254,0.43,516.45M,538.56M,
2011-03,8.055B,8.055B,1.275B,6.78B,3.295B,3.295B,,,-182.00M,649.00M,533.00M,-533.00M,1.322B,5.624B,1.156B,533.00M,-533.00M,-106.00M,-533.00M,517.00M,183.00M,334.00M,,,-94.00M,240.00M,357.58M,1.408B,358.00M,1.05B,0.54,0.0,,,0.8047,0.54,0.52,0.0,,,0.7745,0.52,444.20M,461.97M,
2010-12,7.736B,5.088B,13.76B,-8.672B,,,,,0.00,,526.00M,-526.00M,1.308B,-9.688B,1.016B,526.00M,-526.00M,72.00M,-526.00M,564.00M,170.00M,394.00M,,,-111.00M,283.00M,283.00M,1.449B,359.00M,1.09B,0.66,,,,0.66,0.66,0.65,,,,0.65,0.65,426.66M,437.57M,
2010-09,7.647B,7.647B,1.234B,6.413B,3.134B,3.134B,,,-10.00M,721.00M,525.00M,-525.00M,1.268B,5.475B,938.00M,525.00M,-525.00M,57.00M,-525.00M,468.00M,143.00M,325.00M,,,-82.00M,243.00M,249.94M,1.345B,352.00M,993.00M,0.57,0.0,,,0.5863,0.57,0.55,0.0,,,0.5658,0.55,426.36M,439.03M,
2010-06,7.756B,7.756B,1.251B,6.505B,3.076B,3.076B,,,-91.00M,788.00M,530.00M,-530.00M,1.226B,5.445B,1.06B,530.00M,-530.00M,-16.00M,-530.00M,514.00M,136.00M,378.00M,,,-85.00M,293.00M,359.92M,1.399B,355.00M,1.044B,0.69,0.0,,,0.847,0.69,0.67,0.0,,,0.8231,0.67,426.33M,437.10M,
2010-03,7.544B,7.544B,1.20B,6.344B,3.072B,3.072B,,,-18.00M,564.00M,516.00M,-516.00M,1.202B,5.193B,1.151B,516.00M,-516.00M,50.00M,-516.00M,685.00M,209.00M,476.00M,,,-88.00M,388.00M,400.51M,1.556B,355.00M,1.201B,0.91,0.0,,,0.9393,0.91,0.89,0.0,,,0.9187,0.89,426.35M,435.68M,
2009-12,7.605B,7.605B,1.241B,6.364B,3.078B,3.078B,,,-42.00M,693.00M,500.00M,-500.00M,1.314B,5.443B,921.00M,500.00M,-500.00M,22.00M,-500.00M,451.00M,147.00M,304.00M,,,-88.00M,216.00M,244.31M,1.309B,358.00M,951.00M,,,,,0.5726,0.5063,,,,,0.5583,0.4936,426.66M,437.57M,
2009-09,7.533B,7.533B,1.206B,6.327B,3.013B,3.013B,,,-3.00M,910.00M,510.00M,-510.00M,1.184B,5.461B,866.00M,510.00M,-510.00M,50.00M,-510.00M,406.00M,132.00M,274.00M,,,-78.00M,196.00M,198.02M,1.27B,354.00M,916.00M,,,,,0.4641,0.4594,,,,,0.4526,0.4479,426.66M,437.57M,
2009-06,7.483B,7.483B,1.211B,6.272B,2.944B,2.944B,,,-7.00M,866.00M,506.00M,-506.00M,1.124B,5.294B,978.00M,506.00M,-506.00M,54.00M,-506.00M,526.00M,161.00M,365.00M,,,-83.00M,282.00M,286.86M,1.392B,360.00M,1.032B,,,,,0.6723,0.661,,,,,0.6556,0.6445,426.66M,437.57M,
2009-03,7.431B,7.431B,1.21B,6.221B,2.923B,2.923B,,,-9.00M,807.00M,471.00M,-471.00M,1.102B,5.185B,1.036B,471.00M,-471.00M,59.00M,-471.00M,619.00M,187.00M,432.00M,,,-72.00M,360.00M,366.28M,1.443B,353.00M,1.09B,,,,,0.8585,0.8438,,,,,0.8371,0.8227,426.66M,437.57M,
2008-12,7.265B,7.265B,1.157B,6.108B,2.877B,2.877B,,,-11.00M,889.00M,500.00M,-500.00M,1.158B,5.278B,830.00M,500.00M,-500.00M,42.00M,-500.00M,379.00M,35.00M,344.00M,,,-68.00M,276.00M,285.98M,1.233B,354.00M,879.00M,,,,,0.6703,0.6469,,,,,0.6536,0.6308,426.66M,437.57M,
2008-09,7.002B,7.002B,1.141B,5.861B,2.883B,2.883B,,,-44.00M,819.00M,497.00M,-497.00M,1.147B,5.199B,662.00M,497.00M,-497.00M,-3.00M,-497.00M,212.00M,76.00M,136.00M,,,-50.00M,86.00M,114.23M,1.059B,350.00M,709.00M,,,,,0.2677,0.2016,,,,,0.261,0.1965,426.66M,437.57M,
2008-06,6.98B,6.98B,3.99B,2.99B,,,,,-20.00M,813.00M,494.00M,-494.00M,1.135B,2.303B,687.00M,494.00M,-494.00M,42.00M,-494.00M,235.00M,38.00M,197.00M,,,-56.00M,141.00M,157.77M,1.084B,355.00M,729.00M,,,,,0.3698,0.3305,,,,,0.3605,0.3222,426.66M,437.57M,
2008-03,7.127B,7.127B,4.012B,3.115B,,,,,51.00M,888.00M,530.00M,-530.00M,1.114B,2.359B,756.00M,530.00M,-530.00M,118.00M,-530.00M,344.00M,119.00M,225.00M,,,-55.00M,170.00M,136.64M,1.231B,357.00M,874.00M,,,,,0.3203,0.3984,,,,,0.3123,0.3885,426.66M,437.57M,
2007-12,6.883B,6.883B,1.111B,5.772B,2.712B,2.712B,,,33.00M,912.00M,541.00M,-541.00M,1.047B,5.025B,747.00M,541.00M,-541.00M,239.00M,-541.00M,349.00M,71.00M,278.00M,,,,278.00M,251.71M,1.244B,354.00M,890.00M,,,,,0.59,0.6516,,,,,0.5752,0.6353,426.66M,437.57M,
2007-09,6.569B,6.569B,1.085B,5.484B,2.701B,2.701B,,,410.00M,774.00M,560.00M,-560.00M,1.076B,4.907B,577.00M,560.00M,-560.00M,410.00M,-560.00M,339.00M,39.00M,300.00M,,,,300.00M,-62.83M,1.255B,356.00M,899.00M,,,,,-0.1473,0.7031,,,,,-0.1436,0.6856,426.66M,437.57M,
2007-06,6.729B,6.729B,3.75B,2.979B,,,,,-6.00M,753.00M,557.00M,-557.00M,1.101B,2.215B,764.00M,557.00M,-557.00M,42.00M,-557.00M,194.00M,78.00M,171.00M,,,-55.00M,116.00M,119.60M,1.112B,361.00M,751.00M,,,,,0.2803,0.2719,,,,,0.2733,0.2651,426.66M,437.57M,
2007-03,6.677B,6.677B,1.103B,5.574B,2.647B,2.647B,,,-56.00M,691.00M,557.00M,-557.00M,960.00M,4.653B,921.00M,557.00M,-557.00M,-56.00M,-557.00M,308.00M,128.00M,180.00M,,,,180.00M,216.40M,1.22B,355.00M,865.00M,,,,,0.5072,0.4219,,,,,0.4945,0.4114,426.66M,437.57M,
2006-12,6.489B,6.489B,1.071B,5.418B,2.593B,2.593B,,,-111.00M,710.00M,373.00M,-373.00M,1.087B,4.736B,682.00M,373.00M,-373.00M,-111.00M,-373.00M,198.00M,76.00M,122.00M,,,,122.00M,190.39M,917.00M,346.00M,571.00M,0.3024,,,,0.4719,0.3024,0.2964,,,,0.4625,0.2964,403.49M,411.63M,
2006-09,6.213B,6.213B,1.046B,5.167B,2.60B,2.60B,,,-12.00M,677.00M,200.00M,-200.00M,971.00M,4.596B,571.00M,200.00M,-200.00M,-12.00M,-200.00M,359.00M,119.00M,240.00M,,,,240.00M,248.02M,907.00M,348.00M,559.00M,,,,,0.6149,0.595,,,,,0.6053,0.5858,403.37M,409.73M,
2006-06,6.36B,6.36B,1.091B,5.269B,2.605B,2.605B,,,-41.00M,677.00M,196.00M,-196.00M,911.00M,4.545B,724.00M,196.00M,-196.00M,-41.00M,-196.00M,487.00M,192.00M,295.00M,,,,295.00M,319.84M,1.035B,352.00M,683.00M,,,,,0.7904,0.729,,,,,0.7777,0.7173,404.67M,411.27M,
2006-03,6.415B,6.415B,1.114B,5.301B,2.611B,2.611B,,,-55.00M,596.00M,186.00M,-186.00M,890.00M,4.442B,859.00M,186.00M,-186.00M,-55.00M,-186.00M,618.00M,239.00M,379.00M,,,,379.00M,412.73M,1.149B,345.00M,804.00M,,,,,0.9674,0.8883,,,,,0.9432,0.8661,426.66M,437.57M,
2005-12,6.178B,6.178B,1.024B,5.154B,2.538B,2.538B,,,3.00M,625.00M,166.00M,-166.00M,984.00M,4.483B,671.00M,166.00M,-166.00M,3.00M,-166.00M,508.00M,183.00M,325.00M,,,,325.00M,323.08M,1.01B,336.00M,674.00M,0.7386,,,,0.7342,0.7386,0.7263,,,,0.722,0.7263,440.02M,447.50M,
2005-09,6.025B,6.025B,1.009B,5.016B,2.484B,2.484B,,,-43.00M,618.00M,160.00M,-160.00M,965.00M,4.404B,612.00M,160.00M,-160.00M,-43.00M,-160.00M,409.00M,129.00M,280.00M,,,,280.00M,309.44M,906.00M,337.00M,569.00M,0.63,0.0,,,0.6956,0.63,0.62,0.0,,,0.6847,0.62,448.65M,454.88M,
2005-06,6.07B,6.07B,1.042B,5.028B,,2.463B,,,78.00M,541.00M,165.00M,-165.00M,906.00M,4.274B,754.00M,165.00M,-165.00M,78.00M,-165.00M,569.00M,164.00M,405.00M,,,,405.00M,349.48M,1.098B,364.00M,734.00M,0.91,0.0,,,0.7848,0.91,0.9,0.0,,,0.7771,0.9,443.49M,451.73M,
2005-03,6.182B,6.182B,1.051B,5.131B,,2.443B,,,40.00M,574.00M,164.00M,-164.00M,910.00M,4.264B,867.00M,164.00M,-164.00M,40.00M,-164.00M,663.00M,249.00M,414.00M,,,,414.00M,389.02M,1.164B,337.00M,827.00M,0.97,0.0,,,0.9116,0.97,0.95,0.0,,,0.8927,0.95,427.68M,435.66M,
2004-12,5.94B,5.94B,988.00M,4.952B,,2.402B,,,49.00M,626.00M,154.00M,-154.00M,921.00M,4.267B,685.00M,154.00M,-154.00M,49.00M,-154.00M,482.00M,160.00M,322.00M,,,,322.00M,289.27M,954.00M,318.00M,636.00M,0.71,0.0,,,0.6375,0.71,0.7,0.0,,,0.6286,0.7,451.52M,458.31M,
2004-09,5.792B,5.792B,966.00M,4.826B,,2.35B,,,34.00M,688.00M,138.00M,-138.00M,911.00M,4.263B,563.00M,138.00M,-138.00M,34.00M,-138.00M,367.00M,140.00M,227.00M,,,,227.00M,205.97M,819.00M,314.00M,505.00M,0.47,0.0,,,0.4263,0.47,0.47,0.0,,,0.4269,0.47,481.10M,488.48M,
2004-06,5.833B,5.833B,967.00M,4.866B,,2.334B,,,35.00M,661.00M,136.00M,-136.00M,820.00M,4.13B,736.00M,136.00M,-136.00M,35.00M,-136.00M,565.00M,213.00M,352.00M,,,,352.00M,330.19M,1.016B,315.00M,701.00M,0.73,0.0,,,0.6848,0.73,0.72,0.0,,,0.6755,0.72,482.16M,490.26M,
2004-03,5.937B,5.937B,980.00M,4.957B,,2.333B,,,38.00M,694.00M,135.00M,-135.00M,895.00M,4.225B,732.00M,135.00M,-135.00M,38.00M,-135.00M,559.00M,214.00M,345.00M,,,,345.00M,321.55M,997.00M,303.00M,694.00M,0.71,0.0,,,0.6619,0.71,0.69,0.0,,,0.6429,0.69,487.73M,497.62M,
2003-12,5.597B,5.597B,,,,2.219B,,,,,,,2.428B,4.937B,660.00M,,,,,503.00M,186.00M,347.00M,,,-30.00M,317.00M,317.00M,950.00M,290.00M,660.00M,0.65,0.0,,,0.65,0.65,0.63,0.0,,,0.63,0.63,487.72M,499.15M,
2003-09,5.471B,5.471B,,,,2.189B,,,,,,,2.34B,4.812B,659.00M,,,,,498.00M,192.00M,340.00M,,,-34.00M,306.00M,306.00M,942.00M,283.00M,659.00M,0.62,0.0,,,0.62,0.62,0.61,0.0,,,0.61,0.61,497.42M,505.61M,
2003-06,5.467B,5.467B,,,,2.178B,,,,,,,2.321B,4.907B,560.00M,,,,,390.00M,150.00M,287.00M,,,-47.00M,240.00M,240.00M,968.00M,278.00M,560.00M,0.47,0.0,,,0.47,0.47,0.47,0.0,,,0.47,0.47,506.73M,514.41M,
2003-03,5.273B,5.273B,,,,2.096B,,,,,,,1.998B,4.355B,918.00M,,,,,765.00M,296.00M,508.00M,,,-39.00M,469.00M,469.00M,1.179B,261.00M,918.00M,0.92,0.0,,,0.92,0.92,0.9,0.0,,,0.9,0.9,511.29M,522.36M,
2002-12,5.024B,5.024B,,,,2.063B,,,,,,,2.628B,4.968B,56.00M,,,,,-87.00M,15.00M,-65.00M,,,-37.00M,-102.00M,-102.00M,333.00M,258.00M,56.00M,-0.2,0.0,,,-0.2,-0.2,-0.2,0.0,,,-0.2,-0.2,508.53M,518.62M,
