,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,80.10M,,-0.039M,40.74M,51.68M,,,233.15M,233.15M,-3.675M,,,7.124M,-3.80M,,-63.21M,5.263M,,,-57.94M,308.02M,-94.51M,,,-39.10M,,140.24M,170.55M,-204.76M,0.00,-204.76M,0.00,,0.00,-281.64M,,-281.64M,,-16.86M,-503.25M,188.25M,-24.68M,0.005M,163.58M,0.00,738.52M,-943.28M,
2017-12,393.80M,,-214.98M,4.355M,-210.73M,,,232.65M,232.65M,-47.98M,,,6.62M,-7.947M,,-17.60M,-7.67M,,,-25.27M,346.53M,-137.83M,,,-18.82M,,2.676M,-226.70M,-90.30M,,-90.30M,0.00,,0.00,0.00,,0.00,,-19.06M,-93.07M,161.58M,26.76M,-0.089M,188.25M,0.00,53.26M,-143.56M,
2017-09,615.19M,,-458.40M,-0.75M,-458.64M,,,213.41M,213.41M,-8.515M,,,6.527M,-0.97M,,28.74M,-37.69M,,,-8.952M,358.82M,-94.59M,,,-3.351M,,43.49M,439.55M,-518.78M,,-518.78M,0.00,,0.00,-276.32M,,-276.32M,,-10.77M,-805.87M,171.70M,-7.493M,-2.618M,161.58M,0.00,50.21M,-568.99M,
2017-06,152.97M,,-0.723M,0.106M,-0.581M,,,224.11M,224.11M,-2.959M,,,6.695M,-6.792M,,-6.316M,9.71M,,,3.394M,377.59M,-88.93M,,,-12.11M,,4.829M,-117.30M,-63.11M,,-63.11M,73.60M,,73.60M,-275.60M,,-275.60M,,-10.35M,-275.46M,183.46M,-15.17M,3.406M,171.70M,73.60M,572.93M,-636.04M,
2017-03,199.15M,,-43.29M,-0.123M,-43.10M,,,217.78M,217.78M,-4.145M,,,6.701M,-10.31M,,-29.01M,6.369M,,,-22.64M,345.81M,-110.29M,,,-26.94M,,-696.60M,-1.033B,799.54M,,799.54M,,,,-275.37M,,-275.37M,,-21.10M,503.08M,367.35M,-183.78M,-0.118M,183.46M,,820.04M,-20.50M,
2016-12,208.83M,,-66.42M,-2.207M,-69.02M,,,232.19M,232.19M,-3.395M,,,5.073M,-9.22M,,-4.098M,-13.83M,,,-17.93M,348.56M,-91.41M,,,-0.261M,,127.18M,280.51M,-171.37M,,-171.37M,20.98M,,20.98M,-274.57M,,-274.57M,,-3.541M,-428.50M,89.28M,200.56M,-0.382M,367.35M,20.98M,-30.13M,-141.24M,
2016-09,150.18M,,-2.094M,-0.931M,-2.642M,,,208.39M,208.39M,-9.389M,,,5.848M,-10.49M,,10.67M,-8.856M,,,1.81M,345.41M,-53.09M,,,-1.91M,,183.92M,-1.258B,306.66M,,306.66M,887.96M,,887.96M,-256.93M,,-256.93M,,7.364M,945.05M,57.32M,32.24M,-0.286M,89.28M,887.96M,482.82M,-176.17M,
2016-06,143.44M,,-5.772M,-1.418M,-4.722M,,,221.96M,221.96M,-12.29M,,,5.008M,-8.768M,,21.63M,15.44M,,,37.07M,383.59M,-58.12M,,,-4.265M,,4.048M,-69.82M,-286.09M,,-286.09M,228.11M,,228.11M,-247.98M,,-247.98M,,-1.916M,-307.88M,51.70M,5.896M,-0.275M,57.32M,228.11M,302.94M,-589.03M,
2016-03,149.03M,,-26.18M,0.198M,-25.67M,,,236.39M,236.39M,-9.156M,,,5.029M,-11.34M,,-64.29M,-4.835M,,,-69.12M,277.15M,-58.49M,,,0.00,,-148.85M,-166.75M,-13.72M,,-13.72M,149.63M,,149.63M,-245.50M,,-245.50M,,-2.249M,-111.84M,53.02M,-1.44M,0.118M,51.70M,149.63M,137.58M,-151.31M,
2015-12,125.06M,,-4.162M,0.047M,-4.601M,,,236.79M,236.79M,-11.67M,,,3.476M,-7.677M,,1.338M,31.15M,,,32.49M,376.79M,-60.89M,,,-30.70M,0.00,-66.51M,-169.13M,-37.89M,,-37.89M,73.20M,,73.20M,-243.84M,,-243.84M,,-11.06M,-219.58M,65.23M,-11.92M,-0.283M,53.02M,73.20M,1.686M,-39.58M,
2015-09,23.12M,,-0.217M,0.955M,16.07M,,,240.21M,240.21M,-12.48M,,,4.869M,-11.73M,,17.81M,20.88M,,,38.68M,304.32M,-60.21M,,,-26.28M,19.58M,-24.26M,-1.258B,1.283B,,1.283B,65.65M,,65.65M,-243.17M,,-243.17M,,-147.34M,958.53M,60.53M,5.035M,-0.336M,65.23M,65.65M,2.803B,-1.520B,
2015-06,150.29M,,-13.55M,-0.009M,-14.01M,,,249.21M,249.21M,-10.39M,,,4.885M,-12.83M,,6.413M,-14.33M,,,-7.913M,373.56M,-51.42M,,,,57.22M,-19.50M,-88.22M,-107.09M,,-107.09M,66.84M,,66.84M,-261.49M,,-261.49M,,-43.69M,-345.44M,120.22M,-60.10M,0.404M,60.53M,66.84M,15.14M,-122.23M,
2015-03,120.76M,,-6.686M,0.251M,-6.414M,,,247.45M,247.45M,-7.85M,,,6.307M,-13.54M,,-7.808M,4.615M,,,-3.193M,344.17M,-54.64M,,,,,52.31M,-908.53M,615.29M,,615.29M,285.33M,,285.33M,-254.91M,,-254.91M,,-16.16M,629.54M,55.35M,65.18M,-0.307M,120.22M,285.33M,1.093B,-477.54M,
2014-12,107.60M,,-2.663M,0.688M,-1.49M,,,241.29M,241.29M,-13.85M,,,4.202M,-17.16M,,-0.852M,8.623M,,,7.771M,334.87M,-66.83M,,,-5.598M,-50.00M,-417.69M,-818.87M,447.61M,,447.61M,242.11M,,242.11M,-235.20M,,-235.20M,,21.52M,476.04M,64.60M,-7.961M,-1.286M,55.35M,242.11M,540.20M,-92.59M,
2014-09,109.56M,,-3.833M,0.047M,-1.372M,,,201.24M,201.24M,-1.987M,,,5.381M,-7.755M,,33.72M,-14.51M,,,19.20M,324.27M,-47.66M,,,0.00,21.69M,27.35M,-850.74M,724.92M,,724.92M,0.00,,0.00,-213.46M,,-213.46M,,-11.38M,500.08M,86.64M,-26.39M,4.348M,64.60M,0.00,1.311B,-586.12M,
2014-06,138.57M,,-11.70M,-0.348M,-9.129M,,,192.06M,192.06M,2.974M,,,5.367M,-11.36M,,-12.17M,4.967M,,,-7.203M,311.28M,-39.87M,,,,-21.69M,-42.07M,-167.08M,110.00M,,110.00M,0.00,,0.00,-213.48M,,-213.48M,,-12.92M,-116.40M,59.79M,27.80M,-0.953M,86.64M,0.00,514.91M,-404.90M,
2014-03,121.27M,,-2.437M,-0.248M,-2.944M,,,193.88M,193.88M,3.433M,,,6.044M,-12.19M,,-31.32M,6.241M,,,-25.08M,284.42M,-40.08M,,,,-25.00M,2.448M,-218.35M,113.98M,,113.98M,0.00,,0.00,-213.47M,,-213.47M,,-2.165M,-101.66M,94.82M,-35.59M,0.561M,59.79M,0.00,181.75M,-67.77M,
2013-12,108.44M,,-2.834M,1.041M,0.317M,,,200.56M,200.56M,1.272M,,,5.643M,-21.52M,,30.54M,27.44M,,,57.98M,359.33M,-52.01M,,,5.726M,0.00,13.46M,-104.66M,-22.70M,,-22.70M,35.34M,,35.34M,-213.35M,,-213.35M,,-13.79M,-214.50M,54.67M,40.17M,-0.024M,94.82M,35.34M,1.001B,-1.023B,
2013-09,118.60M,,-2.545M,-0.111M,-2.845M,,,188.39M,188.39M,-2.78M,,,4.21M,-12.70M,,46.59M,-11.72M,,,34.87M,327.74M,-44.60M,,,-1.771M,0.00,82.10M,-1.035B,881.72M,,881.72M,23.62M,,23.62M,-196.54M,,-196.54M,,-9.802M,698.99M,62.42M,-7.779M,0.03M,54.67M,23.62M,848.39M,33.33M,
2013-06,114.53M,,-3.333M,0.506M,-3.70M,,,193.99M,193.99M,-12.06M,,,5.138M,-13.26M,,-1.294M,-5.956M,,,-7.25M,277.38M,-39.36M,,,-2.938M,5.493M,48.15M,-203.06M,46.85M,,46.85M,77.33M,,77.33M,-196.53M,,-196.53M,,2.798M,-69.55M,57.69M,4.771M,-0.04M,62.42M,77.33M,1.584M,45.26M,
2013-03,113.10M,,-0.817M,0.312M,-0.505M,,,186.94M,186.94M,1.744M,,,5.662M,-14.84M,,-51.34M,-10.46M,,,-61.80M,230.30M,-41.38M,,,-3.186M,0.00,148.97M,59.47M,-94.84M,,-94.84M,5.05M,,5.05M,-195.70M,,-195.70M,,-14.46M,-299.95M,67.91M,-10.17M,-0.049M,57.69M,5.05M,916.87M,-1.012B,
2012-12,86.13M,,-7.593M,-0.249M,-8.541M,,,201.75M,201.75M,-3.555M,,,4.255M,-16.16M,,3.936M,15.69M,,,19.62M,283.50M,-51.04M,,,0.00,-238.92M,-441.57M,-955.78M,888.02M,,888.02M,0.00,,0.00,-183.31M,,-183.31M,,-23.05M,681.66M,58.53M,9.376M,0.002M,67.91M,0.00,978.04M,-90.02M,
2012-09,111.82M,,-0.357M,-0.429M,-1.98M,,,196.62M,196.62M,-8.869M,,,5.443M,-36.68M,,-5.053M,-12.79M,,,-17.84M,248.51M,-48.02M,,,0.00,0.00,-1.629M,-238.86M,179.36M,,179.36M,0.00,,0.00,-183.28M,,-183.28M,,-0.05M,-3.969M,52.80M,5.687M,0.04M,58.53M,0.00,547.99M,-368.62M,
2012-06,73.74M,,-38.56M,-0.514M,-29.08M,,,201.77M,201.77M,-5.167M,,-0.033M,6.252M,-17.38M,,-13.83M,-0.414M,,,-14.24M,215.85M,-43.08M,,,-3.934M,0.00,11.18M,-934.74M,548.81M,,548.81M,342.47M,,342.47M,-182.70M,,-182.70M,,9.935M,718.51M,53.22M,-0.384M,-0.037M,52.80M,342.47M,601.98M,-53.18M,
2012-03,90.09M,,-39.67M,-0.317M,-10.45M,,,164.64M,164.64M,11.30M,,0.033M,4.834M,-17.11M,,0.342M,1.275M,,,1.617M,244.96M,-41.29M,,,0.00,,-7.366M,-40.31M,-13.87M,,-13.87M,0.00,,0.00,-179.25M,,-179.25M,,-4.165M,-197.29M,45.81M,7.362M,0.055M,53.22M,0.00,667.33M,-681.20M,
2011-12,192.50M,,-3.255M,-0.019M,2.374M,-293.54M,5.429M,171.59M,171.59M,-7.827M,7.458M,,5.75M,-28.45M,,-41.53M,,,27.01M,-14.10M,329.30M,275.28M,-14.96M,329.73M,,480.92M,-381.45M,-154.52M,-4.58M,,-4.58M,-0.079M,,-0.079M,-164.12M,,-164.12M,,-17.73M,-186.51M,57.48M,-11.73M,0.052M,45.81M,-0.079M,-48.11M,43.53M,
2011-09,101.98M,0.00,3.255M,-0.182M,8.503M,293.54M,-5.429M,155.60M,155.60M,-13.91M,-9.047M,8.887M,5.228M,-1.292M,,18.72M,,,-17.07M,1.646M,257.60M,-95.33M,14.96M,-65.26M,,2.956M,-20.90M,-98.32M,30.53M,,30.53M,0.00,,0.00,-154.98M,,-154.98M,,-3.851M,-128.30M,26.70M,30.98M,-0.198M,57.48M,0.00,588.14M,-557.62M,
2011-06,19.73M,0.00,-3.078M,0.083M,-2.989M,-51.76M,-2.513M,78.24M,78.24M,-6.207M,2.257M,-8.887M,4.352M,-1.686M,,-20.88M,,,-8.40M,-29.28M,55.53M,-270.18M,0.00,-264.46M,,-480.56M,-25.54M,-776.29M,814.62M,,814.62M,0.00,,0.00,-108.21M,,-108.21M,,-0.861M,705.55M,41.90M,-15.20M,0.008M,26.70M,0.00,788.98M,25.64M,
2011-03,49.05M,0.00,-0.91M,0.17M,15.78M,51.76M,2.513M,54.27M,54.27M,-3.197M,-0.668M,0.00,4.016M,-1.374M,,14.43M,,,-1.54M,12.89M,130.77M,-7.832M,0.00,0.00,,19.73M,19.78M,31.68M,-348.44M,,-348.44M,299.93M,,299.93M,-93.74M,,-93.74M,,-0.205M,-142.46M,21.81M,19.99M,0.093M,41.90M,299.93M,14.63M,-363.07M,
2010-12,78.70M,5.393M,,0.272M,-17.25M,,,51.14M,51.14M,5.201M,-1.875M,0.00,3.95M,2.404M,,-21.54M,,,9.017M,-20.77M,101.50M,230.90M,-25.60M,213.56M,,38.72M,-18.86M,-33.44M,-1.677M,,-1.677M,0.00,,0.00,-84.16M,,-84.16M,,5.708M,-80.13M,33.79M,-12.07M,0.096M,21.81M,0.00,191.70M,-193.38M,
2010-09,58.89M,-0.168M,,0.392M,0.224M,,,52.20M,52.20M,-0.695M,0.451M,0.00,4.039M,-0.418M,,27.55M,,,-3.843M,23.71M,138.40M,-220.76M,2.568M,-213.67M,,-24.25M,-4.597M,-247.04M,200.06M,,200.06M,0.00,,0.00,-84.09M,,-84.09M,,-1.45M,114.52M,27.79M,5.879M,0.117M,33.79M,0.00,316.26M,-116.21M,
2010-06,58.96M,-5.041M,,0.00,1.508M,,,50.18M,50.18M,0.695M,0.819M,0.00,3.057M,-3.103M,,-18.57M,,,-1.402M,-19.97M,92.16M,-13.84M,22.28M,11.22M,,-14.47M,14.60M,8.568M,-118.67M,,-118.67M,0.00,,0.00,-83.95M,,-83.95M,,-2.143M,-204.76M,132.73M,-104.04M,-0.895M,27.79M,0.00,88.69M,-207.36M,
2010-03,53.17M,-0.184M,,0.00,-0.184M,,,52.54M,52.54M,,0.605M,,3.032M,-2.11M,,12.28M,,,-3.772M,8.513M,115.56M,-16.16M,0.754M,-11.11M,,0.00,-14.60M,-30.00M,21.48M,,21.48M,0.00,,0.00,-83.88M,,-83.88M,,1.332M,-61.07M,107.40M,24.48M,0.847M,132.73M,0.00,29.28M,-7.807M,
2009-12,54.78M,-0.294M,,,-18.25M,52.09M,11.50M,63.60M,63.60M,,-10.96M,,2.667M,14.50M,,-10.18M,,,2.763M,-7.416M,98.90M,-28.60M,0.74M,-21.25M,,-1.31M,,-29.17M,48.19M,,48.19M,0.00,,0.00,-90.18M,,-90.18M,,8.764M,-33.23M,70.89M,36.50M,0.005M,107.40M,0.00,61.48M,-13.29M,
2009-09,50.43M,-0.12M,,,-0.12M,50.35M,-1.564M,48.79M,48.79M,,1.921M,,3.078M,-3.286M,,32.95M,-1.426M,,-4.277M,27.24M,128.06M,-7.526M,1.188M,-3.182M,,0.207M,,-6.131M,-11.96M,,-11.96M,0.00,,0.00,-80.27M,,-80.27M,,-5.597M,-97.82M,46.52M,24.10M,0.266M,70.89M,0.00,3.087M,-15.04M,
2009-06,89.18M,-39.02M,,,-30.16M,48.91M,-4.195M,44.71M,44.71M,,4.232M,,3.078M,-6.554M,,-22.64M,-0.262M,,,-22.90M,81.59M,-11.13M,0.00,-10.97M,,6.051M,,-5.078M,-343.48M,,-343.48M,299.20M,,299.20M,-78.86M,,-78.86M,,-2.91M,-126.05M,95.81M,-49.54M,0.255M,46.52M,299.20M,291.91M,-635.40M,
2009-03,74.97M,-27.87M,,,-30.65M,49.91M,0.608M,50.52M,50.52M,,-1.858M,,3.059M,-0.39M,,16.22M,1.688M,,,17.91M,113.56M,-12.26M,56.61M,48.23M,,-5.723M,,38.63M,-161.77M,,-161.77M,,,,-74.96M,,-74.96M,,3.649M,-233.08M,176.81M,-80.89M,-0.116M,95.81M,,9.201M,-170.97M,
2008-12,58.15M,25.87M,,,-27.81M,54.97M,7.578M,62.55M,62.55M,14.16M,-9.344M,,2.16M,1.129M,,-14.66M,,,-2.247M,-16.91M,78.10M,-10.70M,45.80M,39.29M,,-10.12M,1.905M,26.89M,41.74M,,41.74M,0.00,,0.00,-89.20M,,-89.20M,,2.365M,-45.10M,115.92M,59.89M,1.002M,176.81M,0.00,203.27M,-161.53M,
2008-09,64.81M,0.00,,,21.18M,50.97M,-6.524M,44.44M,44.44M,-14.16M,5.383M,,3.326M,-34.52M,,38.42M,0.57M,,-7.388M,31.60M,128.05M,-48.62M,0.00,-40.93M,,-19.07M,-0.018M,-67.70M,-114.64M,,-114.64M,216.87M,,216.87M,-71.56M,,-71.56M,,-4.292M,26.38M,29.27M,86.72M,-0.068M,115.92M,216.87M,4.005M,-118.64M,
2008-06,70.70M,-25.87M,,,-33.25M,57.98M,1.404M,59.38M,59.38M,,-2.272M,,2.541M,0.408M,,-18.16M,-0.57M,,-9.634M,-28.37M,69.14M,-3.937M,58.38M,57.99M,,-143.38M,0.357M,-88.58M,66.73M,,66.73M,0.00,,0.00,-72.91M,,-72.91M,,3.391M,-2.795M,51.35M,-22.24M,0.161M,29.27M,0.00,1.353M,65.37M,
2008-03,31.63M,0.00,,,-13.80M,71.84M,1.536M,73.37M,73.37M,,-3.111M,,1.949M,0.215M,,-1.362M,,,15.73M,14.37M,104.63M,-6.903M,,-5.971M,,0.062M,-0.017M,-6.858M,-197.09M,,-197.09M,191.67M,,191.67M,-70.91M,,-70.91M,,1.866M,-74.47M,28.33M,23.30M,-0.289M,51.35M,191.67M,5.001M,-202.10M,
2007-12,282.32M,129.48M,-0.864M,,-18.18M,72.54M,7.104M,79.65M,79.65M,15.07M,,,1.891M,-267.43M,,-61.06M,,,30.68M,-30.38M,53.14M,-42.39M,0.00,-38.17M,,0.00,-16.91M,-59.30M,49.61M,,49.61M,-0.016M,,-0.016M,-63.49M,0.00,-63.49M,,10.45M,-3.443M,28.57M,-9.611M,9.372M,28.33M,-0.016M,90.45M,-40.84M,
2007-09,-224.90M,0.00,0.864M,,3.414M,162.50M,-4.648M,66.07M,66.07M,-302.02M,,,1.768M,540.14M,,70.59M,9.646M,,17.95M,98.18M,182.65M,-92.03M,157.40M,68.13M,,0.00,-140.34M,-74.97M,-36.60M,,-36.60M,-0.25M,,-0.25M,-63.41M,0.00,-63.41M,,1.968M,-98.30M,30.14M,9.384M,-10.95M,28.57M,-0.25M,-1.255B,1.218B,
2007-06,224.90M,-129.48M,-0.864M,,-130.34M,-33.43M,0.604M,58.96M,58.96M,286.94M,,,3.834M,-338.74M,16.54M,-33.68M,-9.646M,,-1.067M,-27.86M,77.70M,-1.192B,,-1.191B,,2.591M,173.44M,-1.016B,-1.019M,,-1.019M,1.046B,,1.046B,-63.37M,-3.449M,-66.82M,,-6.587M,971.55M,0.00,33.56M,-3.418M,30.14M,1.046B,1.243B,-1.244B,
2007-03,,,,,,33.43M,-0.604M,32.83M,32.83M,,,,,38.21M,-16.54M,33.68M,,,-0.041M,17.10M,88.14M,-30.39M,,-30.35M,,5.182M,-0.018M,-25.22M,33.82M,,33.82M,0.00,,0.00,-92.47M,,-92.47M,,-5.51M,-64.16M,1.246M,-1.246M,0.00,0.00,0.00,151.50M,-117.68M,
2006-12,39.52M,,,,,,,35.67M,35.67M,,-2.412M,,,11.71M,,25.89M,,,-20.85M,-6.854M,60.62M,-362.39M,,-426.33M,,151.42M,-58.53M,-269.50M,205.89M,,205.89M,0.135M,,0.135M,0.00,0.00,0.00,,2.168M,208.19M,1.935M,-0.689M,0.00,1.246M,0.135M,282.40M,-76.51M,
2006-09,33.51M,,,,,,,29.65M,29.65M,0.00,,,,-6.091M,,21.00M,,,-5.014M,15.98M,73.06M,-0.101M,,0.00,,-156.76M,-0.265M,-157.13M,201.16M,,201.16M,0.696M,,0.696M,-160.60M,0.00,-160.60M,,42.82M,84.07M,1.932M,0.003M,0.00,1.935M,0.696M,221.53M,-20.37M,
2006-06,29.26M,,,,,,,29.11M,29.11M,0.00,-0.77M,,,-1.901M,,-18.20M,,,-1.465M,-19.67M,36.03M,-79.84M,,-15.62M,,0.086M,68.92M,-10.83M,-10.56M,,-10.56M,-1.613M,,-1.613M,,,78.38M,,-90.95M,-24.74M,1.466M,0.466M,0.00,1.932M,-1.613M,0.00,-10.56M,
2006-03,29.13M,,,,,,,28.47M,28.47M,,0.77M,,,-5.001M,,18.24M,,,-2.462M,15.78M,69.16M,-48.35M,,-48.35M,,4.07M,-0.231M,-44.52M,-0.646M,,-0.646M,1.613M,,1.613M,,,-78.38M,,52.60M,-24.82M,1.641M,-0.175M,,1.466M,1.613M,2.074M,-2.72M,
2005-12,47.22M,,,,,88.00M,,28.71M,28.71M,,-2.893M,,,-7.699M,5.664M,-13.13M,-4.456M,-18.80M,17.58M,-13.14M,52.20M,-9.591M,,-8.175M,,23.20M,-11.80M,3.224M,-15.50M,50.20M,34.70M,2.228M,,2.228M,,,-37.26M,,-59.22M,-59.55M,5.764M,-4.123M,,1.641M,2.228M,200.00M,-215.50M,
2005-09,28.72M,,,,,-31.55M,1.32M,29.06M,29.06M,,1.058M,,,-8.127M,2.112M,33.98M,2.112M,18.56M,-36.09M,20.67M,71.38M,-98.18M,,-98.18M,,5.431M,-0.671M,-93.42M,-12.32M,,-12.32M,99.82M,,99.82M,,,0.00,,-60.50M,27.00M,0.802M,4.962M,,5.764M,99.82M,0.00,-12.32M,
2005-06,27.07M,,,,,18.28M,-0.684M,17.60M,17.60M,,0.945M,,,-1.85M,-3.052M,-5.671M,-3.052M,19.88M,-9.755M,-1.647M,42.12M,-450.64M,,-450.64M,,-18.75M,1.544M,-467.85M,387.70M,-23.30M,364.40M,3.776M,,3.776M,,,-61.09M,,117.67M,424.76M,1.779M,-0.977M,,0.802M,3.776M,400.00M,-12.30M,
2005-03,27.57M,,,,,13.27M,-0.636M,12.63M,12.63M,,0.89M,,,-1.506M,,10.13M,,,8.35M,18.48M,58.06M,-31.14M,,-31.14M,,-26.82M,0.966M,-56.99M,-1.145M,23.30M,22.16M,2.954M,,2.954M,,,-27.50M,,-0.268M,-2.657M,3.365M,-1.586M,,1.779M,2.954M,0.00,-1.145M,
2004-12,45.30M,,,,,12.99M,1.886M,14.88M,14.88M,,-3.887M,,,-15.92M,-8.226M,-3.365M,0.739M,-6.287M,2.169M,-14.97M,25.40M,-43.26M,,-22.16M,,-5.645M,9.188M,-18.62M,118.55M,-134.50M,-15.95M,6.066M,,6.066M,,,0.00,,2.659M,-7.221M,3.805M,-0.44M,,3.365M,6.066M,125.00M,-6.446M,
