,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2011-03,268.43M,268.43M,92.32M,176.11M,,14.83M,,,-22.97M,,,41.74M,,-41.74M,,66.15M,109.96M,,41.74M,-41.74M,-22.97M,-41.74M,45.25M,-3.197M,48.28M,0.766M,,-0.062M,,48.98M,63.15M,141.26M,54.27M,86.99M,0.3,0.01,,,0.3931,0.31,0.3,0.0,,,0.3922,0.3,160.42M,162.02M,0.575
2010-12,234.86M,251.28M,84.77M,166.51M,,14.01M,,,-11.22M,,,39.02M,,-38.54M,,60.24M,106.27M,,39.02M,-38.54M,-12.16M,-38.54M,55.58M,2.849M,53.12M,25.58M,,-1.119M,,77.58M,62.64M,145.74M,51.14M,94.60M,0.33,0.16,,,0.3979,0.49,0.33,0.16,,,0.3973,0.49,156.73M,158.27M,0.535
2010-09,264.66M,264.66M,86.64M,178.02M,,15.28M,,,-4.723M,,,45.52M,,-45.52M,,67.38M,110.64M,,45.52M,-45.52M,-4.723M,-45.52M,60.40M,1.657M,58.35M,0.542M,,-0.996M,,57.90M,61.95M,158.12M,52.20M,105.92M,0.37,0.0,,,0.3993,0.37,0.37,0.0,,,0.3991,0.37,156.63M,157.94M,0.535
2010-06,243.32M,243.32M,75.18M,168.14M,,9.858M,,,-10.88M,,,43.84M,,-43.84M,,59.90M,108.24M,,43.84M,-43.84M,-10.88M,-43.84M,53.52M,0.409M,53.11M,5.852M,,-0.898M,,58.07M,63.01M,147.55M,50.18M,97.36M,0.33,0.04,,,0.3989,0.37,0.33,0.04,,,0.3986,0.37,156.61M,157.44M,0.535
2010-03,240.89M,240.89M,78.88M,162.01M,10.68M,10.68M,,,-2.319M,,,44.09M,,-44.09M,,63.00M,99.01M,,44.09M,-44.09M,-2.213M,-44.09M,52.71M,0.286M,52.42M,0.745M,,-0.549M,,52.62M,54.07M,149.34M,52.54M,96.80M,0.34,0.0,,,0.3541,0.34,0.34,0.0,,,0.354,0.34,156.45M,156.97M,0.535
2009-12,237.90M,237.90M,78.44M,159.45M,,8.22M,,,4.465M,,,44.25M,,-44.25M,,66.03M,93.42M,,44.25M,-44.25M,4.496M,-44.25M,53.67M,-0.367M,54.04M,0.74M,,-0.697M,,54.08M,50.44M,161.52M,63.60M,97.92M,0.35,0.0,,,0.3314,0.35,0.34,0.0,,,0.3215,0.34,156.34M,156.72M,0.5125
2009-09,234.64M,234.64M,76.34M,158.30M,,9.657M,,,-5.894M,,,43.29M,,-43.29M,,59.64M,98.66M,,43.29M,-43.29M,-5.926M,-43.29M,49.44M,-0.41M,49.85M,0.579M,,-0.625M,,49.80M,53.08M,142.72M,48.79M,92.73M,0.32,0.0,,,0.3447,0.32,0.32,0.0,,,0.3446,0.32,156.25M,156.52M,0.5125
2009-06,231.45M,231.45M,72.56M,158.89M,,10.36M,,,-9.482M,,,43.99M,,-43.99M,,59.00M,99.89M,,43.99M,-43.99M,-9.482M,-43.99M,46.41M,-0.395M,46.81M,42.37M,,-0.802M,,88.38M,52.17M,139.05M,44.71M,90.41M,0.3,0.27,,,0.3399,0.57,0.3,0.27,,,0.3399,0.57,154.44M,154.51M,0.5125
2009-03,125.68M,228.90M,75.47M,153.44M,,10.60M,,,-2.054M,,,45.93M,0.286M,-45.64M,0.099M,60.20M,93.24M,0.286M,45.93M,-45.64M,-2.054M,-45.64M,45.26M,-0.547M,45.80M,29.16M,,-0.741M,,74.23M,46.40M,141.70M,50.52M,91.19M,0.32,0.2,,,0.3293,0.52,0.32,0.2,,,0.3293,0.52,143.09M,143.14M,0.5125
2008-12,232.26M,232.26M,76.45M,155.81M,,11.16M,,,-0.861M,,,50.52M,,-46.30M,,62.68M,93.13M,,50.52M,-46.30M,-0.861M,-46.30M,41.74M,-1.72M,43.46M,14.69M,,-0.621M,,57.53M,43.40M,154.82M,62.55M,92.27M,0.29,0.11,,,0.2939,0.4,0.29,0.11,,,0.2939,0.4,142.99M,143.07M,0.5125
2008-09,235.12M,235.12M,81.70M,153.42M,,11.63M,,,21.78M,,,50.74M,,-50.74M,,61.62M,91.80M,,50.74M,-50.74M,21.78M,-50.74M,62.84M,-0.415M,63.25M,1.555M,,-1.04M,,63.77M,48.05M,163.58M,44.44M,113.58M,0.44,0.01,,,0.3394,0.45,0.44,0.01,,,0.3397,0.45,140.76M,141.14M,0.5125
2008-06,226.75M,229.03M,71.84M,157.19M,,9.61M,,,-1.234M,,,51.39M,0.798M,-50.59M,0.168M,66.42M,90.77M,0.798M,51.39M,-50.59M,-1.234M,-50.59M,38.15M,-3.712M,41.86M,28.84M,,-0.545M,,70.15M,42.12M,148.91M,59.38M,89.54M,0.3,0.21,,,0.3058,0.51,0.3,0.21,,,0.3058,0.51,138.13M,138.74M,0.5125
2008-03,227.39M,228.67M,76.96M,151.72M,,8.257M,,,-0.646M,,,52.35M,0.818M,-51.53M,-0.158M,78.61M,73.10M,0.818M,52.35M,-51.53M,-0.646M,-51.53M,20.10M,-10.04M,30.14M,1.489M,,-0.478M,,31.15M,30.08M,145.83M,73.37M,72.46M,0.22,0.01,,,0.2231,0.23,0.22,0.01,,,0.2231,0.23,136.38M,136.67M,0.5125
2007-12,221.89M,221.89M,75.40M,146.49M,,11.51M,,,-0.617M,,,50.38M,,-50.38M,0.00,80.10M,66.39M,,50.38M,-50.38M,-0.617M,-50.38M,15.40M,-12.97M,26.67M,1.647M,,-0.61M,0.00,29.40M,28.16M,145.42M,79.65M,65.77M,0.2,-0.02,,,0.203,0.18,0.2,-0.02,,,0.203,0.18,133.42M,133.78M,0.475
2007-09,223.49M,223.49M,71.38M,152.11M,,9.315M,,,-1.651M,,,52.96M,,-52.96M,-0.088M,79.06M,73.05M,,52.96M,-52.96M,-1.651M,-52.96M,18.44M,-9.463M,27.90M,0.788M,,-0.675M,,28.01M,28.30M,141.23M,66.07M,71.40M,0.2,0.01,,,0.2081,0.21,0.2,0.01,,,0.208,0.21,133.20M,133.50M,0.475
2007-06,191.92M,191.92M,50.41M,141.51M,,8.023M,,,,,,54.41M,,-54.41M,-17.78M,47.71M,93.80M,,54.41M,-54.41M,,-54.41M,39.39M,-5.611M,44.59M,135.20M,,-0.408M,5.199M,179.80M,44.59M,152.76M,58.96M,93.80M,0.34,1.15,,,0.34,1.49,0.33,1.15,,,0.33,1.48,117.42M,117.82M,0.475
2007-03,117.42M,117.42M,,,7.583M,7.583M,,,0.00,,,,,,-4.847M,35.02M,82.40M,,,,,,43.59M,0.00,43.59M,1.518M,,-0.005M,,45.11M,43.59M,115.23M,32.83M,82.40M,0.41,0.02,,,0.41,0.43,0.41,0.01,,,0.41,0.42,106.04M,106.78M,0.475
2006-12,108.04M,117.94M,,,,14.04M,,,0.00,,,,,,-9.364M,36.47M,78.30M,,,,,,39.72M,0.00,39.72M,1.081M,,0.00,,40.80M,39.72M,113.97M,35.67M,78.30M,0.38,0.01,,,0.38,0.39,0.37,0.01,,,0.37,0.38,105.17M,105.68M,0.395
2006-09,106.86M,106.86M,,,,6.539M,,,0.00,,,,,,6.319M,41.88M,64.97M,,,,,,30.95M,0.00,30.95M,1.287M,,0.00,,32.24M,30.95M,94.62M,29.65M,64.97M,0.3,0.01,,,0.3,0.31,0.3,0.01,,,0.3,0.31,104.02M,104.57M,0.395
2006-06,96.74M,96.74M,,,,6.287M,,,0.00,,,,,,1.927M,36.71M,60.02M,,,,,,27.61M,0.00,27.61M,1.651M,,0.00,,29.26M,27.61M,89.14M,29.11M,60.02M,0.26,0.02,,,0.26,0.28,0.26,0.02,,,0.26,0.28,103.88M,104.37M,0.395
2006-03,97.81M,97.81M,,,,6.631M,,,,,,,,,0.622M,35.72M,62.09M,,,,,,,,29.13M,,,,,29.13M,29.13M,90.56M,28.47M,62.09M,0.28,0.0,,,0.28,0.28,0.28,0.0,,,0.28,0.28,103.75M,104.30M,0.395
2005-12,98.13M,90.03M,,,5.025M,5.025M,,,,,-21.33M,,,,9.119M,21.51M,68.53M,,,,,,,,41.81M,5.413M,,,,47.22M,41.81M,97.24M,28.71M,68.53M,0.41,0.06,,,0.41,0.47,0.41,0.06,,,0.41,0.46,103.63M,104.27M,0.36
2005-09,95.93M,95.93M,,,,6.58M,,,,,,,,,0.677M,34.95M,60.98M,,,,,,,,28.72M,0.002M,,,,28.72M,28.72M,90.04M,29.06M,60.98M,0.28,0.0,,,0.28,0.28,0.28,0.0,,,0.28,0.28,103.08M,103.88M,0.36
2005-06,74.95M,74.95M,,,,6.059M,18.24M,,,,,,,,0.641M,24.94M,50.01M,,,,,,,,27.11M,-0.04M,,,,27.07M,27.11M,68.25M,17.60M,50.01M,0.31,0.0,,,0.31,0.31,0.3,0.0,,,0.3,0.3,88.57M,89.35M,0.36
2005-03,63.80M,63.80M,,,,5.44M,13.22M,,,,,,,,34.50M,53.16M,10.64M,,,,,,,,27.61M,-0.039M,,,,27.57M,27.61M,23.86M,12.63M,10.64M,0.33,0.0,,,0.33,0.33,0.32,0.0,,,0.32,0.32,84.66M,85.40M,0.36
2004-12,62.23M,57.45M,,,3.659M,3.659M,12.77M,,0.00,,-17.86M,,,,19.12M,17.69M,39.76M,,,,0.00,,,,26.56M,20.11M,,,,46.67M,26.56M,54.63M,14.88M,39.76M,0.31,0.25,,,0.31,0.56,0.31,0.24,,,0.31,0.55,84.36M,85.19M,0.325
