,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,,642.85M,,642.85M,3.122B,1.162B,200.17M,4.545B,,,223.75M,78.96M,,263.99M,5.754B,,,,,,,,633.67M,3.279B,1.399B,4.677B,228.95M,,,101.86M,511.53M,6.153B,11.91B,,1.505B,66.36M,1.571B,592.95M,2.164B,,1.611B,0.067M,1.611B,,1.611B,88.08M,88.08M,74.50M,4.870B,1.758B,,1.758B,165.56M,165.56M,,61.04M,550.61M,2.619B,7.489B,,3.397M,3.592B,1.246B,,-483.77M,4.358B,,AOR,Restated
2017-12,,751.77M,,751.77M,3.112B,928.04M,273.05M,4.363B,,,215.34M,73.04M,,227.42M,5.631B,0.00,,960.48M,,415.95M,1.376B,-758.69M,617.74M,3.255B,1.399B,4.654B,238.00M,,,98.75M,479.47M,6.088B,11.72B,,1.574B,70.63M,1.644B,1.078B,2.723B,,910.77M,0.024M,910.79M,,910.79M,100.62M,100.62M,74.45M,4.713B,2.000B,,2.000B,147.22M,147.22M,,60.12M,543.22M,2.831B,7.544B,,3.395M,3.443B,1.221B,,-552.41M,4.114B,,AOR,Restated
2017-09,,955.60M,,955.60M,2.843B,1.435B,,4.344B,,,218.05M,84.79M,,201.86M,5.805B,,,,,,,,574.27M,3.135B,1.401B,4.536B,233.63M,,,94.25M,409.22M,5.847B,11.65B,,1.506B,82.11M,1.588B,727.07M,2.315B,,1.416B,0.026M,1.416B,,1.416B,,,56.51M,4.551B,2.552B,,2.552B,125.78M,125.78M,,56.37M,553.60M,3.249B,7.800B,,3.395M,3.180B,1.193B,,-580.76M,3.795B,,AOR,Restated
2017-06,,535.68M,,535.68M,2.653B,1.070B,,3.779B,,,235.72M,74.72M,,199.39M,4.824B,,,,,,,,556.48M,3.096B,1.399B,4.495B,246.72M,,,96.27M,387.68M,5.782B,10.61B,,1.427B,41.80M,1.469B,543.98M,2.013B,,1.055B,0.027M,1.055B,,1.055B,,,55.86M,3.798B,2.550B,,2.550B,96.78M,96.78M,,43.33M,546.03M,3.226B,7.023B,,3.379M,2.984B,1.200B,,-646.91M,3.540B,,AOR,Restated
2017-03,,533.28M,,533.28M,2.499B,685.13M,,3.240B,,,212.34M,59.05M,,201.11M,4.245B,,,,,,,,551.63M,3.020B,1.403B,4.423B,242.49M,,,94.65M,370.03M,5.682B,9.927B,,1.321B,109.89M,1.430B,467.72M,1.898B,,791.45M,0.028M,791.48M,,791.48M,,,63.54M,3.473B,2.549B,,2.549B,78.14M,78.14M,,46.29M,527.52M,3.196B,6.669B,,3.379M,2.787B,1.159B,,-737.23M,3.212B,,AOR,Restated
2016-12,,762.58M,,762.58M,2.606B,1.276B,,3.927B,,,184.11M,68.84M,,179.66M,5.122B,0.00,,942.26M,,342.94M,1.285B,-724.44M,560.76M,2.981B,1.411B,4.392B,232.24M,,,105.32M,366.39M,5.657B,10.78B,,1.446B,58.35M,1.505B,890.32M,2.395B,,1.255B,0.027M,1.255B,,1.255B,,,102.72M,4.525B,2.548B,,2.548B,70.72M,70.72M,,42.76M,524.03M,3.197B,7.722B,,3.373M,2.657B,1.145B,,-791.02M,3.014B,,AOR,Restated
2016-09,,446.35M,,446.35M,2.399B,1.642B,,4.130B,,,195.18M,70.76M,,213.08M,5.055B,,,,,,,,550.78M,3.045B,1.415B,4.460B,249.88M,,,106.35M,354.37M,5.721B,10.78B,,1.366B,46.87M,1.412B,608.98M,2.021B,,1.702B,45.04M,1.747B,,1.747B,,,57.16M,4.567B,2.615B,,2.615B,85.36M,85.36M,,46.48M,436.38M,3.228B,7.795B,,3.373M,2.393B,1.124B,,-585.34M,2.935B,,AOR,Restated
2016-06,,431.77M,,431.77M,2.373B,847.71M,,3.314B,,,199.30M,70.50M,,230.80M,4.246B,,,,,,,,533.58M,3.061B,1.396B,4.457B,226.74M,,,107.71M,351.20M,5.676B,9.923B,,1.382B,46.53M,1.428B,502.77M,1.931B,,995.30M,42.56M,1.038B,,1.038B,,,45.67M,3.743B,2.625B,,2.625B,85.03M,85.03M,,48.65M,476.52M,3.276B,7.019B,,3.356M,2.292B,1.132B,,-572.18M,2.855B,,AOR,Restated
2016-03,,489.23M,,489.23M,2.345B,724.51M,,3.143B,,,178.94M,63.37M,,212.72M,4.087B,,,,,,,,528.35M,3.134B,1.416B,4.550B,220.53M,,,127.51M,321.64M,5.748B,9.835B,,1.351B,59.03M,1.410B,552.03M,1.962B,,994.38M,40.08M,1.034B,,1.034B,,,50.85M,3.696B,2.635B,,2.635B,85.53M,85.53M,,49.10M,460.63M,3.272B,6.968B,,3.353M,2.170B,1.115B,,-471.36M,2.818B,,AOR,Restated
2015-12,,540.40M,,540.40M,2.472B,1.767B,,4.298B,,,172.92M,72.76M,,220.96M,5.305B,0.00,,832.34M,,312.45M,1.145B,-614.96M,529.82M,3.086B,1.450B,4.536B,217.94M,,,135.25M,293.24M,5.713B,11.02B,,1.484B,82.19M,1.566B,866.89M,2.433B,,1.751B,34.44M,1.785B,,1.785B,,,70.66M,4.994B,2.645B,,2.645B,100.36M,100.36M,,46.42M,430.58M,3.265B,8.259B,,3.342M,2.088B,1.107B,,-485.68M,2.713B,,AOR,Restated
2015-09,,440.36M,63.88M,504.24M,2.275B,585.86M,,2.884B,2.796M,2.796M,163.04M,67.19M,213.40M,145.17M,3.980B,,,,,,,,503.67M,2.997B,1.527B,4.524B,287.68M,,,,219.50M,5.576B,9.555B,,1.320B,,1.320B,542.53M,1.863B,3.444M,978.94M,48.73M,1.031B,,1.031B,,,68.88M,3.604B,2.684B,,2.684B,204.03M,204.03M,86.00M,43.85M,337.41M,3.362B,6.966B,,3.342M,1.908B,1.081B,,-446.45M,2.546B,,AOR,Restated
2015-06,,336.42M,69.68M,406.10M,1.605B,750.82M,,2.405B,1.899M,1.899M,154.46M,66.01M,204.86M,104.19M,3.343B,,,,,,,,484.03M,2.314B,806.10M,3.120B,280.66M,,,,197.60M,4.117B,7.460B,,764.52M,,764.52M,421.11M,1.186B,1.625M,743.59M,14.79M,760.01M,,760.01M,,,71.17M,2.595B,1.734B,,1.734B,167.29M,167.29M,91.03M,43.94M,320.42M,2.362B,4.957B,,3.331M,1.759B,1.068B,,-370.73M,2.460B,,AOR,Restated
2015-03,,379.03M,64.97M,444.00M,1.537B,1.080B,,2.648B,5.122M,5.122M,143.20M,56.69M,193.32M,103.23M,3.594B,,,,,,,,479.75M,2.267B,789.02M,3.056B,265.39M,,,,188.21M,4.032B,7.626B,,702.12M,,702.12M,501.34M,1.203B,23.25M,1.176B,15.31M,1.214B,,1.214B,,,63.75M,2.973B,1.734B,,1.734B,152.74M,152.74M,87.15M,45.71M,325.73M,2.348B,5.321B,,3.33M,1.634B,1.052B,,-430.55M,2.259B,,AOR,Restated
2014-12,,740.88M,,740.88M,1.736B,506.29M,,2.308B,,,142.72M,28.09M,,151.71M,3.372B,0.00,,733.82M,,283.22M,1.017B,-519.12M,497.93M,2.334B,802.36M,3.136B,218.28M,,,99.24M,244.62M,4.196B,7.568B,,827.53M,53.13M,880.66M,788.86M,1.670B,,506.02M,42.43M,548.46M,,548.46M,,,86.98M,2.929B,1.809B,,1.809B,42.60M,42.60M,,41.57M,440.64M,2.338B,5.267B,,3.33M,1.541B,1.039B,,-324.02M,2.260B,,AOR,Restated
2014-09,,615.36M,70.16M,685.52M,1.609B,638.13M,,2.305B,32.85M,32.85M,123.75M,55.58M,174.27M,83.61M,3.461B,,,,,,,,455.86M,2.315B,815.37M,3.130B,284.58M,,,,159.54M,4.069B,7.530B,,711.10M,0.00,711.10M,472.38M,1.183B,23.15M,780.97M,46.77M,850.89M,,850.89M,,,53.48M,2.642B,2.119B,,2.119B,125.94M,125.94M,59.91M,36.90M,335.00M,2.705B,5.347B,,3.328M,1.337B,1.023B,,-217.20M,2.146B,,AOR,Restated
2014-06,,381.87M,71.32M,453.19M,1.638B,739.62M,,2.413B,13.20M,13.20M,133.24M,46.99M,194.14M,84.69M,3.338B,,,,,,,,455.32M,2.335B,816.67M,3.152B,278.38M,,,,174.34M,4.133B,7.472B,,770.49M,0.00,770.49M,377.16M,1.148B,23.42M,1.067B,48.92M,1.140B,,1.140B,,,70.95M,2.876B,1.832B,,1.832B,134.77M,134.77M,69.15M,41.49M,322.83M,2.422B,5.297B,,3.321M,1.230B,1.011B,,-111.10M,2.133B,,AOR,Restated
2014-03,,428.24M,62.83M,491.07M,1.415B,310.73M,,1.777B,61.82M,61.82M,138.99M,50.83M,168.12M,74.31M,2.762B,,,,,,,,446.66M,2.305B,830.37M,3.135B,261.25M,,,,171.84M,4.081B,6.843B,,734.09M,0.00,734.09M,382.60M,1.117B,45.84M,666.06M,42.32M,754.22M,,754.22M,,,71.75M,2.380B,1.856B,,1.856B,143.19M,143.19M,67.69M,38.70M,305.89M,2.435B,4.815B,,3.32M,1.124B,995.53M,,-133.55M,1.990B,,AOR,Restated
2013-12,,491.91M,58.44M,550.35M,1.486B,381.54M,,1.868B,19.13M,19.13M,125.15M,61.16M,188.53M,67.45M,2.880B,0.00,,693.83M,,248.36M,942.19M,-483.59M,458.60M,2.290B,841.23M,3.132B,255.50M,,,,164.99M,4.119B,6.998B,,817.52M,11.11M,828.63M,612.11M,1.441B,62.02M,517.08M,42.26M,621.36M,,621.36M,,,56.64M,2.606B,1.867B,,1.867B,160.78M,160.78M,68.01M,40.22M,295.47M,2.457B,5.062B,,3.319M,1.057B,982.00M,,-146.12M,1.896B,,AOR,Restated
2013-09,,502.62M,70.66M,573.28M,1.234B,227.56M,,1.515B,58.64M,58.64M,97.50M,48.05M,209.93M,56.75M,2.559B,,,,,,,,394.26M,1.900B,800.58M,2.700B,266.87M,,,,147.26M,3.618B,6.177B,,536.74M,,536.74M,402.79M,939.53M,58.57M,314.33M,47.08M,419.98M,,419.98M,,,66.57M,1.843B,1.879B,,1.879B,211.76M,211.76M,60.82M,78.28M,263.48M,2.498B,4.341B,,3.314M,941.95M,969.74M,,-156.97M,1.758B,,AOR,Restated
2013-06,,485.50M,31.84M,517.34M,1.222B,536.32M,,1.823B,40.98M,40.98M,98.45M,59.48M,201.87M,58.06M,2.799B,,,,,,,,369.70M,1.842B,796.48M,2.639B,266.96M,,,,147.66M,3.549B,6.348B,,562.10M,,562.10M,323.78M,885.88M,31.10M,666.15M,56.79M,754.04M,,754.04M,,,73.51M,2.133B,1.915B,,1.915B,192.91M,192.91M,58.03M,91.35M,253.36M,2.504B,4.637B,,3.313M,847.50M,970.96M,,-201.67M,1.620B,,AOR,Restated
2013-03,,518.70M,93.91M,612.61M,1.206B,850.62M,,2.113B,83.49M,83.49M,94.63M,68.52M,203.99M,56.31M,3.233B,,,,,,,,362.42M,1.852B,794.70M,2.647B,284.65M,,,,155.46M,3.655B,6.888B,,597.82M,,597.82M,330.61M,928.43M,24.73M,945.45M,42.17M,1.012B,,1.012B,,,143.13M,2.454B,2.131B,,2.131B,187.29M,187.29M,58.75M,130.52M,267.98M,2.728B,5.182B,,3.312M,777.60M,979.80M,,-185.45M,1.575B,,AOR,Restated
2012-12,,1.089B,102.01M,1.191B,1.263B,1.048B,,2.329B,130.50M,130.50M,101.62M,73.68M,205.75M,52.70M,4.085B,0.00,,580.47M,,226.34M,806.80M,-427.63M,379.18M,1.890B,786.79M,2.676B,263.92M,,,,143.14M,3.725B,7.810B,,582.29M,0.00,582.29M,540.14M,1.122B,35.21M,1.099B,73.17M,1.208B,,1.208B,,,201.94M,2.972B,2.544B,,2.544B,191.96M,191.96M,63.53M,142.60M,274.36M,3.155B,6.128B,,3.301M,740.05M,960.90M,,-165.04M,1.539B,,AOR,Restated
2012-09,,776.26M,98.14M,874.40M,1.128B,,465.79M,1.680B,,,103.79M,64.60M,172.29M,89.97M,3.037B,,,,,,,,334.86M,1.845B,769.64M,2.615B,269.00M,,,,141.58M,3.732B,6.769B,,515.37M,0.00,515.37M,353.05M,868.42M,154.68M,458.31M,143.73M,756.72M,,756.72M,,,131.71M,2.144B,2.540B,,2.540B,248.42M,248.42M,61.82M,178.67M,255.66M,3.105B,5.250B,,3.292M,567.06M,940.94M,,-170.86M,1.340B,,AOR,Restated
2012-06,,731.20M,81.18M,812.38M,1.093B,,423.68M,1.565B,,,110.54M,64.33M,173.21M,89.51M,2.829B,,,,,,,,299.31M,1.816B,784.78M,2.601B,697.84M,,,,149.73M,3.748B,6.576B,,895.34M,0.00,895.34M,284.73M,1.180B,139.41M,417.24M,125.59M,682.24M,,682.24M,,,116.14M,1.978B,2.618B,,2.618B,244.77M,244.77M,60.63M,180.08M,239.69M,3.163B,5.141B,,3.282M,527.35M,908.66M,,-184.42M,1.255B,,AOR,Restated
2012-03,,703.94M,126.91M,830.85M,1.075B,,418.11M,1.526B,,,115.52M,60.87M,170.45M,76.26M,2.782B,,,,,,,,287.55M,1.839B,795.62M,2.634B,687.23M,,,,148.86M,3.758B,6.540B,,887.41M,0.00,887.41M,323.67M,1.211B,169.72M,410.26M,103.42M,683.40M,,683.40M,,,98.20M,1.993B,2.617B,,2.617B,248.29M,248.29M,62.27M,190.12M,217.23M,3.145B,5.137B,,3.28M,451.47M,895.92M,,-138.44M,1.212B,,AOR,Restated
2011-12,,1.093B,154.27M,1.247B,1.135B,720.06M,,1.855B,56.82M,56.82M,111.88M,67.14M,168.94M,42.38M,3.550B,0.00,,479.35M,,192.23M,671.58M,-376.10M,295.49M,1.828B,794.32M,2.623B,201.44M,,,,141.79M,3.669B,7.219B,,575.03M,28.37M,603.40M,544.63M,1.148B,146.12M,758.19M,67.85M,972.16M,,972.16M,,,141.32M,2.660B,2.632B,,2.632B,148.97M,148.97M,60.86M,265.68M,220.39M,3.142B,5.802B,,3.28M,424.50M,882.14M,,-158.44M,1.151B,,AOR,Restated
2011-09,,662.59M,116.53M,779.12M,997.93M,,690.23M,1.697B,,,104.34M,388.07M,113.98M,113.57M,3.226B,,,,,,,,249.89M,1.582B,514.66M,2.096B,665.92M,0.00,,0.00,176.96M,3.189B,6.415B,,495.83M,0.00,495.83M,340.91M,836.74M,166.06M,676.80M,87.29M,930.14M,,930.14M,,,142.31M,2.228B,2.466B,,2.466B,28.08M,28.08M,38.14M,275.69M,296.32M,2.829B,5.057B,,0.00,344.74M,874.53M,,-136.90M,1.082B,,AOR,Restated
2011-06,,752.11M,,752.11M,968.58M,,308.25M,1.313B,,,100.25M,49.22M,112.97M,50.76M,2.379B,,,,,,,,216.58M,1.408B,333.94M,1.741B,719.01M,,,6.30M,220.30M,2.904B,5.283B,,778.86M,0.00,778.86M,224.97M,1.004B,153.60M,302.49M,153.27M,609.36M,,609.36M,,,17.64M,1.631B,2.134B,,2.134B,81.22M,81.22M,40.06M,156.65M,156.69M,2.412B,4.043B,,3.25M,280.93M,854.98M,,-56.16M,1.083B,,AOR,Restated
2011-03,,427.64M,,427.64M,889.08M,,285.67M,1.202B,,,95.52M,46.53M,120.54M,70.87M,1.969B,,,,,,,,193.37M,1.343B,331.76M,1.675B,752.13M,,,1.014M,202.75M,2.824B,4.793B,,772.24M,0.00,772.24M,271.70M,1.044B,138.64M,277.68M,98.76M,515.07M,,515.07M,,,22.59M,1.582B,1.808B,,1.808B,80.55M,80.55M,40.63M,152.64M,132.68M,2.062B,3.644B,,3.247M,219.71M,837.96M,,-64.40M,996.51M,,AOR,Restated
2010-12,,506.57M,3.018M,509.59M,940.17M,,485.43M,1.426B,,,96.95M,52.26M,112.30M,47.87M,2.261B,0.00,,395.11M,,133.31M,528.42M,-340.02M,188.40M,1.324B,332.86M,1.657B,797.30M,,,10.32M,208.02M,2.861B,5.122B,,791.88M,18.40M,810.27M,455.52M,1.266B,154.21M,453.84M,55.62M,663.67M,,663.67M,,,27.30M,1.957B,1.852B,,1.852B,78.31M,78.31M,40.01M,157.58M,128.79M,2.099B,4.056B,,3.236M,185.34M,814.24M,,-94.60M,908.22M,,AOR,Restated
2010-09,,768.68M,,768.68M,1.136B,,,1.145B,,,88.82M,51.50M,73.98M,44.22M,2.178B,,,,,,,,154.16M,1.317B,331.75M,1.649B,164.18M,,,11.36M,217.39M,2.897B,5.075B,,,,405.80M,274.26M,680.06M,215.03M,260.11M,128.14M,603.28M,,603.28M,,,20.66M,1.610B,2.258B,,2.258B,78.36M,78.36M,63.13M,183.57M,108.43M,2.508B,4.118B,,3.23M,90.19M,792.01M,,-112.04M,773.40M,,AOR,Restated
2010-06,,743.56M,,743.56M,1.040B,,,1.046B,,,93.00M,37.32M,75.74M,44.88M,2.053B,,,,,,,,153.10M,1.277B,323.50M,1.600B,149.79M,,,0.025M,100.78M,2.878B,4.931B,,,,364.63M,180.54M,545.18M,208.05M,258.97M,115.02M,582.04M,,582.04M,,,27.38M,1.395B,2.472B,,2.472B,75.43M,75.43M,60.06M,178.81M,108.13M,2.715B,4.110B,,3.218M,33.16M,777.87M,,-172.44M,641.80M,,AOR,Restated
2010-03,,680.30M,,680.30M,720.23M,,94.64M,969.38M,,,93.56M,37.92M,75.56M,40.49M,1.897B,,,,,,,,315.26M,1.295B,322.74M,1.618B,931.08M,,,0.408M,105.23M,2.970B,4.867B,,,,685.68M,186.62M,872.30M,188.52M,94.04M,93.65M,376.21M,,376.21M,,,14.89M,1.263B,2.568B,,2.568B,73.80M,73.80M,61.03M,177.34M,112.10M,2.815B,4.078B,,3.218M,-21.64M,766.99M,,-136.43M,612.14M,,AOR,Restated
2009-12,,741.56M,0.865M,742.42M,775.93M,,315.03M,1.254B,,,99.31M,46.80M,75.33M,41.76M,2.267B,0.00,,352.61M,,126.32M,478.93M,-299.95M,178.98M,1.306B,322.90M,1.629B,693.78M,,,3.395M,267.25M,2.773B,5.039B,,699.05M,0.00,699.05M,278.44M,977.49M,159.92M,312.87M,165.58M,638.38M,,638.38M,,,13.18M,1.629B,2.372B,,2.372B,73.46M,73.46M,64.94M,155.17M,115.36M,2.626B,4.255B,,3.218M,-15.01M,755.99M,,-115.08M,629.12M,,AOR,Restated
2009-09,,326.04M,,326.04M,913.08M,,,1.008B,,,99.37M,42.77M,87.17M,49.93M,1.633B,,,,,,,,179.85M,1.309B,320.08M,1.629B,188.21M,,,37.58M,112.34M,2.842B,4.475B,,,,426.90M,187.97M,614.87M,161.45M,192.96M,143.72M,498.13M,,498.13M,,4.062M,17.02M,1.370B,2.419B,,2.419B,81.56M,81.56M,21.32M,167.06M,117.28M,2.639B,4.009B,,2.927M,-79.30M,453.04M,,-77.57M,299.10M,,AOR,Restated
2009-06,,309.52M,,309.52M,852.67M,,,922.17M,,,104.97M,43.18M,105.33M,47.55M,1.558B,,,,,,,,185.92M,1.279B,318.34M,1.598B,196.18M,,,43.59M,108.37M,2.861B,4.419B,,,,342.37M,166.50M,508.87M,191.19M,145.70M,166.78M,503.67M,,503.67M,,0.555M,24.72M,1.242B,2.480B,,2.480B,78.49M,78.49M,22.07M,212.85M,109.75M,2.690B,3.933B,,2.846M,-91.68M,450.49M,,-88.20M,273.47M,,AOR,Restated
2009-03,,423.46M,,423.46M,625.85M,,276.29M,1.035B,,,97.07M,34.12M,147.08M,153.92M,1.904B,,,,,,,,350.54M,1.244B,309.81M,1.554B,714.36M,,,35.19M,99.55M,2.753B,4.657B,,,,550.94M,265.40M,816.35M,247.60M,276.29M,642.51M,1.166B,,1.166B,,13.28M,39.69M,2.036B,2.138B,,2.138B,76.84M,76.84M,19.33M,214.39M,109.07M,2.343B,4.379B,,2.648M,-85.04M,293.24M,,-146.84M,64.01M,,AOR,Restated
