,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2017-12,5.500B,5.500B,4.151B,1.349B,834.53M,,0.00,23.04M,,-30.00M,,943.63M,405.22M,,23.04M,-30.00M,53.27M,-30.00M,428.49M,266.98M,161.51M,,-2.286M,159.22M,158.64M,560.63M,109.10M,451.53M,,0.50,,0.4983,0.50,,0.49,,0.4883,0.49,,338.79M,341.63M,,AOR,Restated
2017-09,4.639B,4.639B,3.598B,1.040B,704.95M,,0.00,34.48M,3.129M,-31.35M,,807.54M,232.78M,3.129M,34.48M,-31.35M,75.78M,-31.35M,277.20M,77.07M,200.13M,,-1.044M,199.09M,194.63M,414.28M,102.59M,311.69M,,0.59,,0.5768,0.59,,0.58,,0.5669,0.58,,337.95M,341.19M,,AOR,Restated
2017-06,4.440B,4.440B,3.410B,1.030B,712.62M,,,35.43M,1.427M,-34.00M,,813.00M,217.03M,1.427M,35.43M,-34.00M,89.87M,-34.00M,272.90M,69.89M,203.01M,,-1.231M,201.78M,193.38M,408.71M,100.39M,308.32M,,0.60,,0.5751,0.60,,0.59,,0.5654,0.59,,336.98M,340.88M,,AOR,Restated
2017-03,4.051B,4.051B,3.146B,904.49M,606.63M,,,34.01M,2.411M,-31.60M,,700.66M,203.83M,2.411M,34.01M,-31.60M,20.52M,-31.60M,192.74M,53.82M,138.93M,,-1.906M,137.02M,136.03M,320.79M,94.04M,226.76M,,0.41,,0.4070,0.41,,0.40,,0.3971,0.40,,336.91M,339.69M,,AOR,Restated
2016-12,8.121B,8.121B,6.900B,1.221B,769.96M,,,35.80M,2.506M,-33.30M,,866.90M,354.16M,2.506M,35.80M,-33.30M,76.68M,-33.30M,397.55M,131.32M,266.23M,,-1.151M,265.08M,265.08M,530.30M,96.94M,433.36M,,0.78,,0.78,0.78,,0.78,,0.78,0.78,,336.81M,339.54M,,AOR,Restated
2016-09,3.193B,3.193B,2.253B,940.70M,686.53M,,,37.27M,1.02M,-36.25M,,779.26M,161.45M,1.02M,37.27M,-36.25M,37.07M,-36.25M,162.27M,51.41M,110.85M,,-6.69M,104.16M,96.76M,292.26M,92.72M,199.54M,,0.31,,0.2880,0.31,,0.31,,0.2881,0.31,,335.77M,338.49M,,AOR,Restated
2016-06,3.208B,3.208B,2.254B,953.30M,680.44M,,,36.99M,3.066M,-33.92M,,770.71M,182.59M,3.066M,36.99M,-33.92M,38.81M,-33.92M,187.48M,64.04M,123.44M,,-1.777M,121.67M,121.67M,314.74M,90.27M,224.47M,,0.36,,0.36,0.36,,0.36,,0.36,0.36,,335.08M,338.08M,,AOR,Restated
2016-03,2.847B,2.847B,2.014B,833.12M,643.37M,,,34.79M,1.459M,-33.33M,,730.36M,102.76M,1.459M,34.79M,-33.33M,65.34M,-33.33M,134.76M,50.12M,84.64M,,-2.473M,82.17M,79.17M,256.55M,86.99M,169.56M,,0.25,,0.2410,0.25,,0.24,,0.2311,0.24,,333.99M,337.51M,,AOR,Restated
2015-12,3.700B,3.700B,2.531B,1.170B,864.77M,,0.00,35.81M,1.454M,-34.36M,,963.37M,206.35M,1.454M,35.81M,-34.36M,125.21M,-34.36M,297.20M,114.61M,182.60M,,-2.552M,180.04M,179.66M,431.62M,98.60M,333.02M,,0.54,,0.5388,0.54,,0.53,,0.5288,0.53,,333.80M,337.24M,,AOR,Restated
2015-09,2.713B,2.713B,1.774B,938.90M,626.90M,,0.00,30.70M,1.158M,-29.54M,,701.95M,236.95M,1.158M,30.70M,-29.54M,15.45M,-29.54M,222.86M,72.87M,149.99M,,-0.868M,149.12M,147.00M,328.60M,75.05M,253.56M,,0.45,,0.4436,0.45,,0.44,,0.4337,0.44,,332.68M,336.56M,,AOR,Restated
2015-06,2.391B,2.391B,1.488B,902.53M,610.16M,,0.00,26.15M,1.402M,-24.75M,,680.76M,221.77M,1.402M,26.15M,-24.75M,12.61M,-24.75M,209.63M,76.47M,133.15M,,-8.124M,125.03M,120.70M,306.39M,70.60M,235.78M,,0.38,,0.3670,0.38,,0.37,,0.3571,0.37,,332.00M,336.15M,,AOR,Restated
2015-03,2.053B,2.053B,1.291B,761.73M,531.78M,,-2.685M,26.21M,2.297M,-23.92M,,601.62M,160.10M,2.297M,26.21M,-23.92M,13.85M,-23.92M,150.04M,56.90M,93.14M,,-0.201M,92.94M,94.60M,246.10M,69.85M,176.26M,,0.28,,0.2850,0.28,,0.28,,0.2850,0.28,,331.98M,335.70M,,AOR,Restated
2014-12,2.787B,2.787B,1.706B,1.081B,743.34M,,0.00,27.71M,1.912M,-25.80M,,812.78M,268.07M,1.912M,27.71M,-25.80M,55.84M,-25.80M,298.11M,92.44M,205.67M,,-1.393M,204.28M,190.09M,395.26M,69.44M,325.82M,,0.62,0.00,0.5773,0.62,,0.61,0.00,0.5677,0.61,,331.89M,335.12M,,AOR,Restated
2014-09,2.275B,2.275B,1.429B,846.09M,601.03M,,-23.09M,27.84M,1.598M,-26.24M,,668.18M,177.90M,1.598M,27.84M,-26.24M,27.34M,-26.24M,179.00M,69.30M,109.69M,,-2.593M,107.10M,116.72M,274.00M,67.16M,206.84M,,0.32,,0.3491,0.32,,0.32,,0.3488,0.32,,330.42M,334.29M,,AOR,Restated
2014-06,2.127B,2.127B,1.314B,812.33M,566.20M,,0.00,28.47M,1.146M,-27.32M,,629.50M,182.84M,1.146M,28.47M,-27.32M,38.80M,-27.32M,194.31M,64.11M,130.20M,,-24.74M,105.46M,91.05M,286.08M,63.30M,222.78M,,0.32,,0.2763,0.32,,0.32,,0.2768,0.32,,330.13M,333.92M,,AOR,Restated
2014-03,1.861B,1.861B,1.161B,699.38M,528.40M,,0.00,28.02M,1.577M,-26.44M,,593.60M,105.78M,1.577M,28.02M,-26.44M,26.50M,-26.44M,105.84M,37.90M,67.94M,,-0.279M,67.66M,63.37M,199.06M,65.20M,133.86M,,0.21,,0.1970,0.21,,0.20,,0.1871,0.20,,330.04M,333.35M,,AOR,Restated
2013-12,2.234B,2.234B,1.277B,956.85M,638.70M,,-98.13M,27.37M,1.287M,-26.08M,,691.68M,265.17M,1.287M,27.37M,-26.08M,-57.01M,-26.08M,182.08M,66.24M,115.84M,2.703M,-3.894M,114.65M,172.99M,262.44M,52.99M,209.45M,,0.35,0.00,0.5350,0.35,,0.34,0.00,0.5236,0.34,,329.93M,332.54M,,AOR,Restated
2013-09,1.734B,1.734B,1.032B,701.52M,496.62M,,0.00,27.78M,1.484M,-26.30M,,544.14M,157.38M,1.484M,27.78M,-26.30M,19.21M,-26.30M,150.29M,56.13M,94.17M,0.00,0.278M,94.44M,93.98M,225.60M,47.52M,178.08M,,0.29,0.00,0.2886,0.29,,0.28,0.00,0.2786,0.28,,328.31M,332.06M,,AOR,Restated
2013-06,1.742B,1.742B,1.019B,723.19M,499.46M,,-42.72M,37.53M,1.49M,-36.04M,,543.06M,180.13M,1.49M,37.53M,-36.04M,-27.14M,-36.04M,116.94M,45.82M,71.13M,3.105M,-4.332M,69.90M,88.00M,198.69M,44.22M,154.48M,,0.21,0.00,0.2748,0.21,,0.21,0.00,0.2739,0.21,,327.42M,331.63M,,AOR,Restated
2013-03,1.475B,1.475B,861.22M,613.85M,469.54M,,-13.58M,42.40M,2.028M,-40.37M,,515.82M,98.02M,2.028M,42.40M,-40.37M,2.012M,-40.37M,59.67M,19.00M,40.67M,21.19M,-24.31M,37.55M,23.19M,148.60M,46.54M,102.06M,,0.11,0.00,0.1309,0.11,,0.11,0.00,0.1307,0.11,,326.76M,330.80M,,AOR,Restated
2012-12,2.006B,2.006B,1.132B,874.28M,597.45M,,0.00,43.02M,1.86M,-41.16M,,642.20M,232.07M,1.86M,43.02M,-41.16M,47.97M,-41.16M,238.88M,82.97M,155.91M,0.631M,16.46M,173.00M,171.94M,327.91M,46.01M,281.90M,,0.52,0.01,0.5187,0.53,,0.52,0.01,0.5187,0.53,,325.40M,329.04M,,AOR,Restated
2012-09,1.557B,1.557B,915.24M,641.90M,482.36M,,-19.83M,43.65M,1.895M,-41.76M,,522.46M,119.44M,1.895M,43.65M,-41.76M,-12.82M,-41.76M,64.86M,22.16M,42.70M,0.00,-2.996M,39.71M,49.88M,148.62M,40.10M,108.52M,,0.12,0.00,0.1516,0.12,,0.12,0.00,0.1511,0.12,,322.33M,327.31M,,AOR,Restated
2012-06,1.601B,1.601B,908.14M,692.97M,482.38M,,0.00,44.41M,1.585M,-42.83M,,520.71M,172.26M,1.585M,44.41M,-42.83M,0.944M,-42.83M,130.38M,54.78M,75.60M,0.00,0.274M,75.87M,75.59M,213.13M,38.34M,174.79M,,0.24,0.00,0.2391,0.24,,0.23,0.00,0.2291,0.23,,320.85M,326.08M,,AOR,Restated
2012-03,1.350B,1.350B,787.56M,562.43M,440.72M,,0.00,43.98M,2.303M,-41.68M,,487.18M,75.25M,2.303M,43.98M,-41.68M,21.78M,-41.68M,55.36M,25.41M,29.95M,0.00,-2.971M,26.98M,26.45M,145.80M,46.46M,99.34M,,0.08,0.00,0.0784,0.08,,0.08,0.00,0.0784,0.08,,320.67M,325.74M,,AOR,Restated
2011-12,1.764B,1.764B,1.009B,754.68M,603.65M,,5.809M,43.24M,2.38M,-40.86M,,639.50M,115.18M,2.38M,43.24M,-40.86M,75.70M,-40.86M,150.03M,72.07M,77.96M,32.98M,-31.18M,79.76M,42.12M,229.80M,36.53M,193.27M,,0.23,0.02,0.2154,0.25,,0.23,0.02,0.2156,0.25,,320.66M,324.14M,,AOR,Restated
2011-09,1.534B,1.534B,894.61M,639.86M,469.14M,,-5.809M,39.08M,2.493M,-36.59M,,500.45M,139.41M,2.493M,39.08M,-36.59M,4.50M,-36.59M,107.32M,47.29M,60.03M,0.00,3.774M,63.81M,65.25M,177.71M,31.31M,146.40M,,0.20,0.00,0.2045,0.20,,0.20,0.00,0.2044,0.20,,318.87M,323.71M,,AOR,Restated
2011-06,1.422B,1.422B,839.82M,582.40M,432.86M,,0.00,34.22M,1.902M,-32.31M,,458.24M,124.16M,1.902M,34.22M,-32.31M,23.10M,-32.31M,114.94M,46.34M,68.60M,6.267M,-13.64M,61.22M,51.34M,174.77M,25.62M,149.15M,,0.19,0.00,0.1786,0.19,,0.19,0.00,0.1788,0.19,,317.70M,324.09M,,AOR,Restated
2011-03,1.185B,1.185B,713.76M,471.35M,377.02M,,0.00,33.72M,2.668M,-31.05M,,400.20M,71.15M,2.668M,33.72M,-31.05M,17.15M,-31.05M,57.25M,23.41M,33.84M,10.64M,-10.12M,34.37M,22.44M,114.44M,23.47M,90.97M,,0.11,0.00,0.1060,0.11,,0.11,0.00,0.1060,0.11,,316.56M,322.92M,,AOR,Restated
2010-12,1.651B,1.651B,930.87M,720.43M,522.13M,,-18.15M,41.33M,2.042M,-39.29M,,550.99M,169.43M,2.042M,41.33M,-39.29M,0.579M,-39.29M,130.73M,58.29M,72.44M,-0.641M,23.35M,95.14M,105.31M,201.30M,29.24M,172.06M,,0.30,0.00,0.3301,0.30,,0.30,0.00,0.3296,0.30,,315.90M,321.23M,,AOR,Restated
2010-09,1.266B,1.266B,735.39M,530.82M,374.82M,,0.00,49.76M,1.463M,-48.29M,,400.42M,130.40M,1.463M,49.76M,-48.29M,3.856M,-48.29M,85.97M,38.08M,47.89M,7.821M,1.323M,57.04M,49.10M,161.36M,25.64M,135.72M,,0.17,0.01,0.1696,0.18,,0.17,0.01,0.1696,0.18,,313.79M,319.35M,,AOR,Restated
2010-06,1.172B,1.172B,678.71M,493.20M,372.03M,,,50.28M,3.111M,-47.16M,,399.65M,93.56M,3.111M,50.28M,-47.16M,17.86M,-47.16M,64.25M,26.70M,37.55M,7.14M,10.10M,54.79M,45.30M,142.31M,27.78M,114.52M,,0.15,0.02,0.1425,0.17,,0.15,0.02,0.1426,0.17,,312.91M,318.43M,,AOR,Restated
2010-03,1.026B,1.026B,615.19M,410.69M,338.71M,,,49.79M,1.80M,-47.99M,,365.00M,45.69M,1.80M,49.79M,-47.99M,-6.584M,-47.99M,-8.888M,7.299M,-16.19M,0.00,9.56M,-6.627M,-6.627M,67.20M,26.30M,40.90M,,-0.02,0.00,-0.02,-0.02,,-0.02,0.00,-0.02,-0.02,,312.88M,312.88M,,AOR,Restated
2009-12,1.296B,1.296B,721.16M,575.33M,410.69M,0.00,0.00,52.86M,1.339M,-51.52M,,436.16M,139.18M,1.339M,52.86M,-51.52M,-10.70M,-51.52M,76.97M,25.84M,51.13M,0.00,13.16M,64.29M,63.45M,155.29M,25.47M,129.82M,,0.23,0.00,0.2272,0.23,,0.23,0.00,0.2273,0.23,,298.80M,309.34M,,AOR,Restated
2009-09,1.023B,1.023B,606.47M,416.74M,338.06M,0.00,0.00,54.08M,1.248M,-52.83M,,362.51M,54.23M,1.248M,54.08M,-52.83M,-3.546M,-52.83M,-2.145M,8.498M,-10.64M,0.00,23.02M,12.38M,10.58M,76.38M,24.44M,51.93M,,0.04,0.00,0.0336,0.04,,0.04,0.00,0.0337,0.04,,282.73M,285.92M,,AOR,Restated
2009-06,955.67M,955.67M,566.83M,388.84M,328.67M,0.00,0.00,47.42M,1.237M,-46.18M,,352.84M,36.00M,1.237M,47.42M,-46.18M,1.182M,-46.18M,-9.00M,4.706M,-13.71M,0.00,7.069M,-6.637M,-8.538M,62.58M,24.17M,38.42M,,-0.02,0.00,-0.0272,-0.02,,-0.02,0.00,-0.0272,-0.02,,265.68M,265.68M,,AOR,Restated
2009-03,890.45M,890.45M,553.42M,337.03M,306.16M,29.26M,-29.26M,34.80M,2.305M,-32.49M,,331.55M,5.479M,2.305M,34.80M,-32.49M,-39.45M,-32.49M,-66.47M,-12.05M,-54.42M,,17.73M,-36.69M,-12.74M,-6.276M,25.39M,-31.67M,,-0.14,0.00,-0.0486,-0.14,,-0.14,0.00,-0.0486,-0.14,,262.00M,262.00M,,AOR,Restated
2008-12,1.283B,1.283B,729.71M,553.58M,425.55M,0.00,-1.155B,40.30M,3.655M,-36.65M,,454.13M,99.45M,3.655M,40.30M,-36.65M,-1.212B,-36.65M,-1.149B,-13.68M,-1.135B,0.00,45.82M,-1.089B,46.72M,-1.080B,28.58M,-1.109B,,-5.19,0.00,-0.2912,-5.19,,-5.19,0.00,-0.2912,-5.19,,231.93M,231.93M,,,Restated
2008-09,1.300B,1.300B,755.36M,544.37M,420.35M,0.00,0.00,42.29M,4.40M,-37.89M,,445.76M,98.61M,4.40M,42.29M,-37.89M,6.358M,-37.89M,67.08M,37.70M,29.38M,26.75M,-15.75M,40.37M,7.277M,134.87M,25.50M,109.37M,,0.15,0.05,0.1188,0.20,,0.14,0.05,0.1094,0.19,,203.68M,207.71M,,,Restated
2008-06,1.315B,1.315B,737.20M,577.67M,468.84M,0.00,-4.607M,41.56M,4.481M,-37.08M,,493.86M,83.81M,4.481M,41.56M,-37.08M,-12.32M,-37.08M,34.41M,20.33M,14.08M,,2.482M,16.56M,16.93M,100.99M,25.02M,75.97M,,0.08,0.00,0.0818,0.08,,0.08,0.00,0.0818,0.08,,203.44M,208.39M,,,Restated
2008-03,1.231B,1.231B,704.45M,526.48M,432.34M,0.00,0.00,43.00M,5.226M,-37.78M,,456.15M,70.33M,5.226M,43.00M,-37.78M,-10.76M,-37.78M,21.79M,6.462M,15.33M,,5.125M,20.45M,20.45M,88.60M,23.80M,64.80M,,0.10,0.00,0.10,0.10,,0.10,0.00,0.10,0.10,,203.11M,207.73M,,,Restated
2007-12,1.837B,1.837B,967.59M,869.53M,638.59M,,-8.884M,,,,-8.224M,660.45M,209.08M,,,,19.87M,,190.94M,71.13M,119.81M,,0.552M,122.45M,125.39M,241.66M,32.58M,209.08M,,0.54,0.01,0.5650,0.55,,0.52,0.01,0.5444,0.53,,222.69M,228.04M,,,
2007-09,1.493B,1.493B,791.85M,700.96M,468.38M,,10.98M,,,,-16.08M,480.61M,220.35M,,,,17.00M,,179.10M,64.16M,114.95M,,-9.692M,114.95M,107.90M,250.80M,30.45M,220.35M,,0.50,0.00,0.4695,0.50,,0.48,0.00,0.4503,0.48,,231.00M,237.45M,,,
2007-06,1.490B,1.490B,791.60M,698.76M,469.75M,,-2.877M,,,,,497.26M,201.49M,,,,23.04M,,188.50M,47.36M,141.14M,,0.165M,141.14M,143.29M,230.95M,29.46M,201.49M,,0.61,0.00,0.6193,0.61,,0.59,0.00,0.5991,0.59,,230.54M,237.48M,,,
2007-03,1.214B,1.214B,649.67M,564.29M,411.94M,,-69.39M,,,,,439.30M,124.98M,,,,-65.14M,,21.97M,9.997M,11.98M,,-2.90M,11.98M,57.08M,154.14M,29.16M,124.98M,,0.05,0.00,0.2464,0.05,,0.05,0.00,0.2404,0.05,,229.66M,236.93M,,,
2006-12,1.409B,1.409B,698.02M,711.26M,461.90M,,-2.982M,,,,,487.42M,223.84M,,,,4.342M,,215.29M,90.20M,125.10M,,-4.888M,125.10M,126.89M,253.45M,29.61M,223.84M,,0.55,0.00,0.5578,0.55,,0.52,0.00,0.5275,0.52,,228.45M,239.91M,,,
2006-09,967.94M,967.94M,521.06M,446.88M,293.12M,,,,,,,308.01M,138.87M,,,,9.135M,,142.11M,49.80M,92.31M,,0.577M,92.31M,92.31M,154.26M,15.39M,138.87M,,0.41,0.00,0.41,0.41,,0.39,0.00,0.39,0.39,,226.75M,233.94M,,,
2006-06,903.54M,903.54M,479.81M,423.73M,283.60M,,-22.26M,,,,,295.85M,127.88M,,,,-13.83M,,102.10M,37.84M,64.25M,,-1.58M,64.25M,78.26M,154.37M,26.49M,127.88M,,0.28,0.00,0.3420,0.28,,0.27,0.00,0.3299,0.27,,225.96M,233.66M,,,
2006-03,751.27M,751.27M,411.63M,339.65M,265.16M,,,,,,,280.09M,59.56M,,,,8.413M,,57.39M,20.48M,36.91M,,-0.229M,36.91M,36.91M,75.75M,16.20M,59.56M,,0.16,0.00,0.16,0.16,,0.16,0.00,0.16,0.16,,225.56M,232.95M,,,
2005-12,1.239B,1.239B,765.79M,473.61M,301.98M,,0.00,,,,,314.64M,158.97M,,,,16.78M,,163.42M,68.01M,95.41M,,,95.41M,95.41M,172.90M,13.93M,158.97M,,0.43,0.00,0.43,0.43,,0.42,0.00,0.42,0.42,,224.01M,231.42M,,,
2005-09,744.20M,744.20M,380.94M,363.26M,255.71M,,-0.624M,,,,,267.37M,95.88M,,,,3.004M,,85.46M,28.52M,56.94M,,,56.94M,57.35M,108.97M,13.08M,95.88M,,0.26,0.00,0.2619,0.26,,0.25,0.00,0.2518,0.25,,222.53M,230.33M,,,
2005-06,672.16M,672.16M,338.69M,333.47M,241.73M,,-1.832M,,,,,252.55M,80.92M,,,,12.95M,,83.56M,33.13M,50.42M,,,50.42M,51.53M,93.42M,12.50M,80.92M,,0.23,0.00,0.2350,0.23,,0.22,0.00,0.2248,0.22,,221.36M,229.10M,,,
2005-03,538.27M,538.27M,268.05M,270.22M,223.22M,,-4.93M,,,,,233.59M,36.63M,,,,-1.00M,,23.79M,9.215M,14.57M,,-0.689M,14.57M,17.59M,49.24M,12.61M,36.63M,,0.0667,0.00,0.0804,0.0667,,0.0633,0.00,0.0765,0.0633,,220.60M,228.55M,,,
2004-12,1.080B,1.080B,688.20M,391.97M,266.88M,,0.00,,,,,281.73M,110.24M,,,,10.86M,,108.27M,41.84M,66.43M,,,66.43M,66.43M,126.41M,16.18M,110.24M,,0.33,0.00,0.33,0.33,,0.31,0.00,0.31,0.31,,219.25M,262.08M,,,
2004-09,575.00M,575.00M,300.71M,274.29M,213.23M,,-21.11M,,,,,225.57M,48.72M,,,,-16.28M,,18.20M,6.30M,11.90M,,,11.90M,25.69M,70.20M,21.48M,48.72M,,0.0567,0.00,0.1210,0.0567,,0.0533,0.00,0.1145,0.0533,,214.34M,225.55M,,,
2004-06,550.92M,550.92M,272.61M,278.30M,230.54M,,-15.58M,,,,,241.37M,36.94M,,,,-12.82M,,6.905M,3.94M,2.965M,,,2.965M,12.31M,49.99M,13.05M,36.94M,,0.0167,0.00,0.0654,0.0167,,0.0133,0.00,0.0583,0.0133,,191.97M,208.13M,,,
2004-03,440.99M,440.99M,224.22M,216.77M,199.25M,,-7.653M,,,,,216.08M,0.688M,,,,-5.127M,,-25.12M,-8.55M,-16.57M,,,-16.57M,-11.52M,19.53M,18.84M,0.688M,,-0.0867,0.00,-0.0598,-0.0867,,-0.0867,0.00,-0.0598,-0.0867,,187.57M,187.57M,,,
2003-12,801.29M,801.29M,,,,,,,,,,,1.784B,,,,,,,,-10.08M,,,-10.08M,-10.08M,1.784B,,1.784B,,-0.0567,0.00,-0.0567,-0.0567,,-0.0567,0.00,-0.0567,-0.0567,,188.06M,188.06M,,AOR,Restated
2003-09,423.38M,423.38M,207.82M,215.56M,,,-16.48M,,,,180.68M,221.75M,-6.191M,,,,-16.48M,,-46.82M,-18.38M,-28.44M,,,-28.44M,-18.43M,34.88M,41.07M,-6.191M,,-0.1633,0.00,-0.1053,-0.1633,,-0.1633,0.00,-0.1053,-0.1633,,172.46M,172.46M,,AOR,Restated
2003-06,321.72M,321.72M,153.07M,168.65M,,,-3.31M,,,,137.42M,143.75M,24.90M,,,,-3.31M,,9.153M,3.981M,5.172M,,,5.172M,7.158M,31.23M,6.329M,24.90M,,0.04,0.00,0.0559,0.04,,0.04,0.00,0.0556,0.04,,125.05M,127.57M,,AOR,Restated
2003-03,263.72M,263.72M,123.60M,140.12M,,,0.00,,,,126.18M,132.35M,7.779M,,,,,,-2.407M,-1.06M,-1.347M,,,-1.347M,-1.347M,13.95M,6.171M,7.779M,,-0.01,0.00,-0.01,-0.01,,-0.01,0.00,-0.01,-0.01,,135.26M,135.26M,,AOR,Restated
2002-12,567.95M,567.95M,,,,,,,,,,,1.308B,,,,,,,,15.10M,,,15.10M,15.10M,1.308B,,1.308B,,,,0.0805,0.0805,,,,0.0805,0.0805,,187.57M,187.57M,,AOR,Restated
2002-09,284.93M,284.93M,,,,,,,,,257.36M,263.77M,21.16M,,,,,,7.017M,5.136M,1.881M,,,1.881M,1.881M,27.57M,6.404M,21.16M,,0.0433,0.00,0.0433,0.0433,,0.04,0.00,0.04,0.04,,45.05M,45.68M,,AOR,
