,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2017-09,200.13M,0.00,-1.768M,-67.83M,-119.77M,,,102.59M,102.59M,,,,,20.69M,,-343.30M,-127.63M,,36.59M,,361.28M,300.59M,570.84M,503.03M,,-41.74M,,,,-14.74M,-1.333M,-1.123M,-43.72M,,-1.629M,0.00,-1.629M,,-27.65M,-27.65M,,,-8.503M,-37.78M,,610.40M,421.52M,8.473M,1.040B,,,1.283M,-2.912M,-27.65M,40.34M,52.34M,,AOR,Restated
2017-06,203.01M,,-3.186M,-75.38M,-121.52M,,,100.39M,100.39M,,,,,32.87M,,-378.58M,-125.74M,,80.33M,,383.52M,-50.44M,287.67M,203.96M,,-36.13M,,,,-30.56M,-2.388M,1.199M,-50.78M,,-5.584M,-120.00M,-125.58M,,0.00,0.00,,,-13.55M,-139.13M,,592.33M,14.05M,4.027M,610.40M,,,645.43M,-771.01M,0.00,126.55M,7.463M,,AOR,Restated
2017-03,138.93M,,-4.115M,-15.02M,-57.07M,,,94.04M,94.04M,,,,,15.41M,,594.35M,141.74M,,-195.62M,,-583.20M,-481.36M,-1.118B,-321.40M,,-23.74M,,,,-27.43M,-0.069M,1.08M,-43.28M,,-1.468M,120.00M,118.53M,,-1.90M,-1.90M,,,-7.205M,109.43M,,831.41M,-255.25M,16.16M,592.33M,,,267.71M,-149.18M,-1.90M,37.33M,52.03M,,AOR,Restated
2016-12,266.23M,0.00,3.765M,-80.45M,-143.27M,,,96.94M,96.94M,,,,,20.14M,,387.31M,-382.63M,101.92M,140.85M,,-373.24M,391.71M,-121.40M,670.17M,,-56.85M,,,,1.945M,-0.757M,17.52M,-110.90M,,-110.94M,-83.00M,-193.94M,,0.37M,0.37M,,,-26.27M,-219.84M,,446.35M,339.43M,-27.13M,831.41M,,,716.62M,-910.55M,0.37M,69.72M,7.528M,,AOR,Restated
2016-09,110.85M,-9.901M,-1.356M,-24.67M,-97.30M,,,92.72M,92.72M,,,,,14.79M,,-779.37M,-25.38M,-27.24M,-13.77M,,767.48M,106.72M,807.81M,156.83M,,-55.30M,,,,-23.94M,0.07M,9.111M,-0.103M,,-33.20M,-73.00M,-106.20M,,-22.68M,-22.68M,,,-13.45M,-142.33M,,431.77M,14.40M,0.18M,446.35M,,,848.07M,-954.27M,-22.68M,64.78M,54.85M,,AOR,Restated
2016-06,123.44M,,-3.882M,-34.93M,-83.20M,,,90.27M,90.27M,,,,,15.96M,,909.95M,-74.31M,-44.94M,36.62M,,-898.56M,38.36M,-942.83M,118.62M,,-45.59M,,,,-29.78M,-4.176M,0.38M,-40.82M,,-7.862M,-124.00M,-131.86M,,-0.86M,-0.86M,,,1.896M,-130.83M,,489.23M,-53.03M,-4.434M,431.77M,,,791.89M,-923.75M,-0.86M,77.38M,9.215M,,AOR,Restated
2016-03,84.64M,,-3.215M,-57.30M,-89.53M,,,86.99M,86.99M,,,,,12.59M,,5.57M,145.98M,-29.73M,-148.32M,,8.195M,-419.47M,-443.35M,-328.64M,,-33.47M,,,,-36.12M,2.253M,13.07M,1.306M,,2.70M,280.00M,282.70M,,-4.252M,-4.252M,,,-6.134M,272.31M,,540.40M,-55.02M,3.846M,489.23M,,,577.43M,-294.73M,-4.252M,82.98M,54.20M,,AOR,Restated
2015-12,182.60M,0.00,-1.118M,-123.46M,-160.23M,,,98.60M,98.60M,,,,,26.59M,2.27M,-1.250B,-227.28M,-13.24M,173.08M,,1.247B,428.41M,1.608B,509.49M,,-54.14M,,,,-83.38M,1.141M,4.529M,12.99M,,1.081M,-416.36M,-415.28M,,-0.006M,-0.006M,,-6.755M,1.42M,-420.62M,,440.36M,101.85M,-1.806M,540.40M,,,528.43M,-943.71M,-0.006M,75.10M,7.256M,,AOR,Restated
2015-09,149.99M,-8.573M,4.945M,-17.24M,-51.91M,,,75.05M,75.05M,,,,,18.99M,-2.27M,2.477M,-116.79M,-28.64M,14.26M,,-7.829M,118.94M,-20.07M,184.60M,,-34.94M,,,,-1.448B,0.034M,2.789M,-1.461B,,999.32M,415.79M,1.415B,,-19.40M,-19.40M,,3.541M,-8.613M,1.391B,,336.42M,114.13M,-10.20M,440.36M,,,2.295B,-880.30M,-19.40M,62.62M,37.70M,,AOR,Restated
2015-06,133.15M,,1.069M,-6.693M,-41.34M,,,70.60M,70.60M,,,,,13.19M,,-15.11M,-41.80M,-7.166M,37.03M,,2.865M,-20.94M,-30.02M,137.66M,,-31.76M,,,,-32.67M,-2.866M,0.447M,-64.00M,,0.533M,-109.43M,-108.90M,,-0.021M,-0.021M,,3.214M,-14.33M,-120.03M,,379.03M,-46.38M,3.773M,336.42M,,,571.23M,-680.12M,-0.021M,91.12M,5.96M,,AOR,Restated
2015-03,93.14M,,-1.087M,-15.45M,-54.95M,,,69.85M,69.85M,,,,,15.94M,,4.299M,155.57M,-35.95M,-46.80M,,-7.836M,-383.52M,-318.53M,-179.85M,,-18.63M,,,,-89.87M,3.976M,-26.73M,-106.83M,,-144.87M,105.49M,-39.38M,,-5.092M,-5.092M,,,-15.96M,-60.44M,,740.88M,-347.12M,-14.74M,379.03M,,,764.75M,-804.12M,-5.092M,56.89M,37.16M,,AOR,Restated
2014-12,205.67M,0.00,-0.60M,-34.15M,-70.09M,,,69.44M,69.44M,-34.77M,,0.00,,15.63M,-0.415M,3.37M,-169.04M,-21.25M,76.07M,,0.168M,507.44M,393.38M,593.30M,,-78.62M,,,,-33.59M,5.956M,33.84M,-37.05M,,-265.23M,-146.61M,-411.84M,,-0.029M,-0.029M,,1.737M,-4.098M,-414.23M,,615.36M,142.03M,-16.50M,740.88M,,,310.72M,-722.56M,-0.029M,65.05M,38.11M,,AOR,Restated
2014-09,109.69M,-4.977M,0.528M,-43.30M,-74.77M,,,67.16M,67.16M,14.19M,,8.615M,,19.66M,1.355M,13.55M,-14.98M,-3.92M,18.40M,,-10.40M,132.74M,121.84M,292.46M,,-39.01M,,,,-117.43M,-1.217M,-4.178M,-112.51M,,275.31M,-178.04M,97.27M,,-16.64M,-16.64M,,2.257M,-11.45M,71.43M,,381.87M,251.39M,-17.90M,615.36M,,,833.45M,-736.18M,-16.64M,83.90M,29.42M,,AOR,Restated
2014-06,130.20M,-23.03M,-6.364M,-9.264M,-54.53M,,,63.30M,63.30M,-7.884M,,,,13.30M,-0.919M,3.745M,-202.13M,3.368M,7.84M,,16.25M,64.62M,-110.05M,45.98M,,-39.95M,,,,-30.80M,-4.749M,8.395M,1.498M,,-58.58M,-17.86M,-76.44M,,-0.015M,-0.015M,,2.209M,-23.36M,-97.60M,,428.24M,-50.12M,3.754M,381.87M,,,549.74M,-626.18M,-0.015M,84.25M,21.79M,,AOR,Restated
2014-03,67.94M,,-4.801M,-15.00M,-37.20M,,,65.20M,65.20M,,,,,11.17M,-1.239M,-1.837M,78.17M,-25.21M,-70.78M,,-5.433M,-355.73M,-378.98M,-269.97M,,-13.65M,,,,-24.41M,-1.661M,18.95M,-3.496M,,-8.761M,216.65M,207.89M,,0.00,0.00,,,0.436M,208.33M,,491.91M,-65.13M,1.459M,428.24M,,,619.82M,-411.93M,0.00,98.06M,29.42M,,AOR,Restated
2013-12,118.54M,-1.506M,-4.171M,-34.78M,-68.25M,,,52.99M,52.99M,-7.003M,,98.13M,,10.89M,-0.555M,5.647M,-106.44M,-21.76M,84.72M,,19.06M,302.94M,278.52M,510.47M,,-77.62M,,,,-457.21M,5.245M,-7.338M,-491.26M,,-30.78M,46.98M,16.20M,,0.00,0.00,,0.856M,-43.69M,-26.64M,,502.62M,-7.425M,-3.284M,491.91M,,,210.51M,-194.31M,0.00,66.36M,20.91M,,AOR,Restated
2013-09,94.17M,-0.69M,-5.125M,-13.35M,-34.36M,,,47.52M,47.52M,-1.135M,,0.00,,15.24M,-1.411M,-41.67M,17.28M,-3.863M,-29.62M,,-17.42M,95.43M,61.80M,149.97M,,-39.19M,,,,-37.08M,-0.178M,19.69M,-38.77M,,-8.033M,-65.20M,-73.23M,,-16.63M,-16.63M,,0.938M,-10.74M,-99.66M,,485.50M,11.55M,5.58M,502.62M,,,54.35M,-127.58M,-16.63M,25.75M,29.66M,,AOR,Restated
2013-06,74.23M,-1.023M,-1.533M,-6.544M,-35.61M,,,44.22M,44.22M,-3.453M,,,,10.63M,-0.024M,52.46M,-33.73M,-8.648M,-38.73M,,-3.74M,99.65M,14.80M,164.56M,,-30.74M,,,,-45.34M,14.44M,24.94M,51.48M,,-254.01M,49.38M,-204.63M,,,,,3.986M,-42.68M,-243.32M,,518.70M,-27.29M,-5.917M,485.50M,,,532.69M,-737.33M,,57.57M,46.03M,,AOR,Restated
2013-03,61.86M,-15.48M,-2.694M,-9.749M,-52.04M,,,46.54M,46.54M,,,,,11.67M,-7.901M,14.17M,45.94M,0.92M,23.83M,,-4.707M,-224.36M,-158.38M,-79.89M,,-8.815M,,,,-14.12M,-14.92M,10.32M,13.55M,,-479.98M,37.25M,-442.73M,,,,,,-53.94M,-496.66M,,1.089B,-563.00M,-7.597M,518.70M,,,1.340B,-1.783B,,53.72M,20.54M,,AOR,Restated
2012-12,156.54M,0.856M,-6.458M,-40.86M,-87.10M,,,46.01M,46.01M,2.339M,,32.32M,,13.84M,-2.763M,10.33M,-140.44M,-13.26M,91.46M,,-1.023M,292.48M,229.22M,411.02M,,-69.64M,,,,-45.42M,-2.055M,-3.565M,-44.16M,,-40.69M,0.00,-40.69M,,0.00,0.00,,3.923M,-16.14M,-52.91M,,776.26M,313.94M,-0.907M,1.089B,,,7.565M,-48.26M,0.00,37.04M,58.97M,,AOR,Restated
2012-09,42.70M,-1.539M,-0.151M,-2.875M,-32.76M,,,40.10M,40.10M,-0.28M,,19.83M,,15.26M,0.694M,-25.19M,-19.36M,1.991M,-0.535M,,3.017M,34.68M,19.79M,81.72M,,-41.88M,,,,-23.89M,0.489M,13.27M,-19.96M,,-41.48M,13.36M,-28.12M,,0.00,0.00,,13.26M,-6.886M,-21.74M,,731.20M,40.02M,5.038M,776.26M,,,22.07M,-50.18M,0.00,37.56M,21.65M,,AOR,Restated
2012-06,75.60M,0.00,2.104M,-2.609M,-25.34M,,,38.34M,38.34M,,,,,10.97M,-0.822M,59.67M,-35.30M,-7.383M,4.036M,,9.752M,-42.32M,-71.21M,97.29M,,-30.62M,,,,-37.35M,-1.068M,4.339M,-59.15M,,-19.54M,23.47M,3.926M,,,,,3.137M,-10.62M,-3.552M,,703.94M,34.59M,-7.321M,731.20M,,,34.11M,-30.18M,,68.73M,59.66M,,AOR,Restated
2012-03,29.95M,0.00,-6.588M,-14.39M,-39.91M,,,46.46M,46.46M,,,,,11.64M,-0.039M,-30.66M,52.31M,-3.448M,-51.49M,,-4.031M,-314.48M,-321.14M,-298.95M,,-8.086M,,,,-11.36M,-1.97M,-56.46M,-74.40M,,-14.88M,-10.80M,-25.68M,,,,,,3.192M,-22.48M,,1.093B,-395.83M,6.584M,703.94M,,,4.458M,-30.14M,,74.62M,21.66M,,AOR,Restated
2011-12,110.94M,,-267.79M,-81.26M,-432.67M,,,36.53M,36.53M,,-5.141M,2.712M,-5.809M,,0.33M,250.82M,-87.86M,2.323M,160.70M,-25.50M,10.08M,165.60M,225.35M,257.10M,,-45.13M,,7.454M,-16.96M,-632.36M,118.79M,358.23M,66.29M,,1.119B,-966.24M,152.93M,,,,,0.077M,-41.21M,111.80M,,662.59M,435.18M,-4.597M,1.093B,,,348.00M,-195.07M,,45.04M,58.96M,,AOR,Restated
2011-09,60.03M,,265.08M,-3.128M,262.65M,,,31.31M,31.31M,,1.90M,1.625M,5.809M,,-0.771M,-142.24M,-39.94M,-11.04M,96.24M,-7.023M,5.456M,-3.666M,40.03M,260.51M,,-55.70M,,-7.454M,5.542M,-8.715M,-208.85M,-368.57M,-594.25M,,70.76M,249.00M,319.76M,,,,,2.201M,-62.08M,259.88M,,752.11M,-73.86M,-15.66M,662.59M,,,654.16M,-334.41M,,49.13M,10.86M,,AOR,Restated
2011-06,74.87M,,,-11.05M,-20.05M,,,25.62M,25.62M,,1.49M,,0.00,,-4.008M,10.67M,-84.87M,-10.63M,-96.04M,28.16M,-3.974M,30.86M,-136.49M,-42.51M,,-33.53M,,,6.209M,-40.83M,28.68M,21.86M,-17.61M,,-129.78M,514.73M,384.95M,,,,,4.858M,-11.00M,378.81M,,427.64M,318.69M,5.777M,752.11M,,,918.19M,-533.24M,,41.61M,55.46M,,AOR,Restated
2011-03,44.49M,,,-9.346M,-33.67M,,,23.47M,23.47M,,1.751M,,0.00,,-10.49M,10.62M,89.00M,6.106M,-223.76M,4.364M,4.374M,-31.58M,-151.49M,-113.88M,,-13.62M,,,5.207M,-0.244M,57.58M,16.40M,65.32M,,-254.07M,230.00M,-24.07M,,,,,,-15.10M,-39.16M,,506.57M,-87.72M,8.796M,427.64M,,,231.76M,-255.83M,,54.13M,12.76M,,AOR,Restated
2010-12,71.80M,,,-29.29M,-56.26M,,,29.24M,29.24M,,-8.305M,24.56M,,,-4.579M,0.013M,-128.86M,-28.08M,-120.52M,-23.33M,17.24M,447.41M,163.86M,291.66M,,-50.58M,,,-22.52M,-39.28M,-31.00M,18.93M,-41.65M,,-464.06M,-22.25M,-486.31M,,,,,1.823M,-26.72M,-511.20M,,768.68M,-261.19M,-0.915M,506.57M,,,1.092B,-1.578B,,-15.31M,46.78M,,AOR,Restated
2010-09,55.72M,,,-1.41M,-32.75M,,,25.64M,25.64M,,2.98M,2.592M,,,-0.565M,13.34M,-56.23M,18.21M,159.87M,34.20M,0.601M,-1.251M,155.40M,223.92M,,-10.72M,,,12.78M,-5.90M,-10.19M,-10.85M,-24.88M,,-189.78M,-0.001M,-189.78M,,,,,0.266M,5.633M,-183.88M,,743.56M,15.16M,9.955M,768.68M,,,10.63M,-200.41M,,-50.24M,37.22M,,AOR,Restated
2010-06,44.69M,,,-6.925M,-30.15M,,,27.78M,27.78M,,2.508M,,,,0.043M,11.23M,-38.64M,-10.10M,84.36M,-6.756M,-0.875M,0.959M,28.96M,93.92M,,-4.263M,,,6.395M,-58.96M,49.90M,15.80M,8.873M,,-47.32M,1.064M,-46.26M,,,,,0.312M,11.03M,-34.92M,,680.30M,67.87M,-4.604M,743.56M,,,11.33M,-57.58M,,71.95M,55.81M,,AOR,Restated
2010-03,-16.19M,,,11.07M,5.493M,,,26.30M,26.30M,,2.817M,,,,-0.279M,10.79M,43.60M,14.45M,-78.56M,-4.112M,0.274M,-1.044M,-25.40M,7.091M,,-2.898M,,,3.346M,-3.765M,-8.71M,7.179M,-4.848M,,-63.90M,11.24M,-52.66M,,,,,,-1.565M,-54.22M,,741.56M,-51.98M,-9.281M,680.30M,,,16.98M,-69.64M,,5.094M,29.60M,,AOR,Restated
2009-12,51.13M,,,21.51M,3.083M,,,25.47M,25.47M,,2.534M,9.235M,,-26.61M,,45.76M,-167.06M,3.923M,199.72M,9.858M,,240.21M,36.38M,160.19M,,-15.55M,,,5.32M,-2.407M,-28.98M,5.385M,-21.46M,,-19.36M,-0.117M,-19.48M,293.81M,,293.81M,,0.708M,-0.518M,274.52M,,326.04M,413.26M,2.252M,741.56M,,293.81M,17.33M,-36.80M,,48.36M,68.27M,,AOR,Restated
2009-09,-10.64M,,,8.32M,1.699M,,,24.44M,24.44M,,2.389M,17.23M,,26.61M,,-16.31M,-4.784M,14.80M,70.82M,-7.011M,,14.34M,88.17M,136.17M,,-6.767M,,,0.54M,-11.68M,-5.891M,-0.907M,-34.36M,,-316.17M,226.72M,-89.45M,0.011M,,0.011M,,10.64M,-8.371M,-87.16M,,309.52M,14.65M,1.873M,326.04M,,0.011M,247.65M,-337.10M,,,43.06M,,AOR,Restated
2009-06,-13.71M,,,5.556M,-1.36M,,,24.17M,24.17M,,1.791M,12.08M,,,,-2.586M,37.88M,-6.483M,-120.50M,16.19M,,-16.27M,-89.19M,-71.24M,,-3.276M,,,1.034M,2.661M,-30.96M,-8.583M,-44.26M,,-290.04M,151.91M,-138.13M,146.35M,,146.35M,-2.909M,4.092M,-23.03M,-13.62M,,423.46M,-129.12M,15.18M,309.52M,,146.35M,611.82M,-749.95M,,-1.789M,28.44M,,AOR,Restated
2009-03,-54.42M,,,12.21M,11.18M,,,25.39M,25.39M,,31.67M,,,,,11.06M,120.59M,7.803M,-126.62M,205.23M,,-243.35M,-36.36M,-11.47M,,-2.604M,,,5.389M,-19.24M,-4.814M,1.98M,-19.29M,,-117.32M,418.10M,300.78M,,,,2.909M,,-0.659M,303.03M,,158.82M,272.26M,-7.624M,423.46M,,,439.79M,-139.01M,,1.789M,28.81M,,AOR,Restated
2008-12,-1.135B,,,60.29M,36.75M,,,28.58M,28.58M,-57.45M,2.584M,1.223B,,,-4.294M,17.73M,11.35M,-3.589M,-24.18M,29.56M,,48.71M,-28.75M,100.97M,,-11.58M,,,22.89M,-43.96M,-140.78M,62.59M,-8.022M,,-826.92M,297.17M,-529.75M,206.70M,,206.70M,,0.221M,-3.444M,-326.27M,,400.78M,-233.32M,-8.636M,158.82M,,206.70M,333.81M,-863.56M,,12.33M,36.08M,,,Restated
2008-09,56.12M,,,21.19M,21.45M,,,25.50M,25.50M,-0.075M,2.225M,0.00,,,,5.596M,61.98M,58.96M,-144.28M,16.02M,,53.14M,45.82M,148.72M,,-13.03M,,,4.426M,-36.63M,-13.86M,-54.30M,-136.79M,,-279.50M,428.79M,149.29M,,,,,0.928M,-0.543M,149.68M,,250.52M,161.61M,-11.35M,400.78M,,,572.33M,-423.04M,,60.09M,38.62M,,,Restated
2008-06,14.08M,,,8.445M,2.394M,,,25.02M,25.02M,-3.279M,2.203M,4.607M,,,3.488M,17.02M,13.48M,-43.97M,-79.35M,44.25M,,-85.69M,-151.28M,-63.20M,,-13.86M,,,0.201M,-44.29M,34.70M,-5.597M,-108.27M,,-406.88M,502.62M,95.73M,0.00,,0.00,9.773M,1.37M,4.365M,111.24M,,313.16M,-60.23M,-2.414M,250.52M,,0.00,567.53M,-471.80M,,72.76M,37.04M,,,Restated
2008-03,15.33M,,,14.07M,17.09M,,,23.80M,23.80M,-1.362M,4.65M,,,,-3.488M,21.26M,143.67M,-34.75M,-440.70M,-44.23M,,-18.14M,-394.15M,-316.86M,,-13.00M,,,1.636M,-115.04M,-64.90M,25.38M,-165.93M,,-307.27M,751.62M,444.35M,,,,-9.773M,1.507M,3.228M,439.31M,,342.87M,-43.48M,13.77M,313.16M,,,1.111B,-666.71M,,52.17M,37.08M,,,Restated
2007-12,122.45M,,,,-273.62M,30.50M,2.075M,32.58M,32.58M,7.051M,,,,,,142.44M,-120.90M,-10.58M,40.10M,381.04M,168.19M,-129.97M,327.88M,358.78M,,-232.29M,13.66M,-218.62M,,20.61M,-97.83M,224.58M,-71.26M,,,,192.83M,2.753M,,-632.25M,,,56.86M,-382.56M,,435.21M,-95.04M,2.71M,342.87M,,2.753M,,,,,,,,
2007-09,114.95M,,,,15.36M,28.31M,2.139M,30.45M,30.45M,-2.387M,,,,,,-97.96M,-10.66M,-13.62M,13.10M,-175.71M,34.02M,175.99M,23.13M,83.53M,,-23.28M,10.89M,-12.39M,,-43.84M,14.75M,-63.14M,-104.61M,,,,-19.84M,0.954M,,0.954M,,,29.86M,10.97M,,438.17M,-10.11M,7.146M,435.21M,,0.954M,,,,,,,,
2007-06,141.14M,,,,327.69M,27.51M,1.95M,29.46M,29.46M,0.698M,,,,,,7.59M,-120.63M,2.817M,7.262M,,96.44M,-398.46M,-412.56M,94.01M,,-17.72M,15.72M,-2.002M,,-23.94M,-14.75M,12.35M,-28.34M,,,,-69.98M,3.863M,,3.863M,,,91.87M,25.75M,,346.35M,91.42M,0.402M,438.17M,,3.863M,,,,,,,,
