,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-04,142.30M,,8.40M,8.40M,53.80M,53.80M,1.50M,,,9.00M,,-2.20M,-11.80M,-93.70M,-1.80M,-28.80M,,,11.90M,-124.20M,,99.80M,-36.90M,,,,,91.80M,,54.90M,,-21.30M,-21.30M,,-40.50M,-40.50M,-62.20M,-62.20M,4.30M,-6.30M,-126.00M,970.70M,28.70M,-0.20M,999.20M,,0.00,-21.30M,-40.50M
2018-01,61.90M,-1.30M,8.90M,7.60M,54.00M,54.00M,99.40M,,,6.40M,,-2.10M,-5.00M,109.00M,-6.20M,141.70M,,,12.10M,251.60M,,501.00M,-92.80M,,,,,-145.50M,1.20M,-237.10M,,-78.20M,-78.20M,,-39.00M,-39.00M,-62.00M,-62.00M,40.70M,-1.70M,-140.20M,845.00M,123.70M,2.00M,970.70M,,-29.70M,-48.50M,-39.00M
2017-10,100.30M,-1.40M,8.60M,7.20M,51.10M,51.10M,-3.40M,,,5.70M,,-2.00M,-2.00M,-113.10M,-0.20M,105.00M,,,-13.80M,-24.10M,,144.30M,-58.50M,,,,,59.50M,0.10M,1.10M,,-44.10M,-44.10M,,-27.70M,-27.70M,-62.30M,-62.30M,3.20M,-0.30M,-131.20M,820.80M,14.20M,10.00M,845.00M,,14.00M,-58.10M,-27.70M
2017-07,115.00M,-0.80M,8.10M,7.30M,50.90M,50.90M,-2.10M,,,8.40M,,-2.10M,20.30M,-15.70M,-7.00M,3.90M,,,-11.10M,-9.60M,,173.20M,-52.70M,,,,,-97.80M,1.70M,-148.80M,,35.20M,35.20M,,-21.00M,-21.00M,-62.20M,-62.20M,4.30M,-0.40M,-44.10M,838.80M,-19.70M,1.70M,820.80M,,53.30M,-18.10M,-21.00M
2017-04,92.90M,,9.40M,9.40M,50.90M,50.90M,2.90M,,,7.50M,,-2.00M,-6.30M,-33.10M,-15.40M,-2.10M,,,4.20M,-52.70M,,113.70M,-35.30M,,,,,-62.80M,1.80M,-96.30M,,-37.60M,-37.60M,,-11.50M,-11.50M,-56.10M,-56.10M,6.40M,-6.80M,-105.60M,928.00M,-88.20M,-1.00M,838.80M,,1.60M,-39.20M,-11.50M
2017-01,157.80M,,11.40M,11.40M,51.50M,51.50M,59.50M,,,7.00M,,-2.10M,-18.00M,109.90M,16.80M,-16.80M,,,-120.90M,-29.00M,,299.00M,-65.90M,,,,,0.10M,,-64.10M,0.00,12.50M,12.50M,,-2.90M,-2.90M,-56.00M,-56.00M,3.90M,-2.00M,-44.50M,727.50M,190.40M,10.10M,928.00M,,19.90M,-7.40M,-2.90M
2016-10,95.10M,,11.30M,11.30M,52.00M,52.00M,-11.50M,,,6.80M,,-2.10M,2.00M,7.80M,18.60M,7.50M,,,4.40M,40.30M,,197.60M,-55.50M,,,,,-6.20M,,-61.70M,1.00M,16.00M,17.00M,,-30.80M,-30.80M,-56.10M,-56.10M,0.40M,-0.80M,-70.30M,666.30M,65.60M,-4.40M,727.50M,,113.20M,-96.20M,-30.80M
2016-07,105.70M,,10.30M,10.30M,52.90M,52.90M,-5.20M,,,5.40M,,-2.20M,4.10M,-21.00M,-11.50M,-11.40M,,,-4.50M,-44.30M,,126.90M,-55.80M,,,,,-42.50M,,-98.30M,,-8.10M,-8.10M,,-71.80M,-71.80M,-56.40M,-56.40M,0.00,-0.70M,-137.00M,779.60M,-108.40M,-4.90M,666.30M,,48.90M,-57.00M,-71.80M
2016-04,87.50M,,12.40M,12.40M,52.10M,52.10M,3.30M,,,5.10M,,-2.10M,-7.30M,-41.90M,9.70M,-40.30M,,,-0.60M,-80.40M,,82.20M,-45.60M,,,,,32.90M,,-12.70M,,-12.50M,-12.50M,,-78.10M,-78.10M,-50.30M,-50.30M,11.00M,-4.70M,-134.60M,843.60M,-65.10M,1.10M,779.60M,,7.10M,-19.60M,-78.10M
2016-01,163.20M,,16.50M,16.50M,53.00M,53.00M,15.00M,,28.30M,4.70M,2.20M,-2.10M,-0.50M,99.70M,3.20M,25.10M,,,-23.80M,103.70M,,389.90M,-94.20M,,,,,5.00M,,-88.30M,0.00,28.40M,28.40M,,-104.20M,-104.20M,-51.20M,-51.20M,0.40M,-3.80M,-130.40M,673.20M,171.20M,-0.80M,843.60M,,15.70M,12.70M,-104.20M
2015-10,91.00M,,16.50M,16.50M,51.10M,51.10M,-6.10M,,0.00,5.60M,-0.10M,-2.10M,-26.10M,0.00,2.60M,-13.40M,,,-7.70M,-44.60M,,117.60M,-60.10M,,,,,-38.90M,,-99.00M,0.00,3.30M,3.30M,,-60.40M,-60.40M,-51.50M,-51.50M,0.40M,0.10M,-108.10M,758.50M,-89.50M,4.20M,673.20M,,3.90M,-0.60M,-60.40M
2015-07,104.80M,,15.70M,15.70M,49.50M,49.50M,-10.80M,,9.60M,7.50M,-0.30M,-2.00M,7.40M,-32.40M,-7.00M,20.50M,,,-1.00M,-12.50M,,166.30M,-61.00M,,,,,45.50M,,-15.50M,,4.70M,4.70M,,-22.70M,-22.70M,-51.50M,-51.50M,0.70M,0.20M,-68.60M,675.80M,82.20M,0.50M,758.50M,,5.20M,-0.50M,-22.70M
2015-04,104.90M,,17.10M,17.10M,48.90M,48.90M,0.00,,,6.70M,-1.80M,-2.10M,2.50M,-3.60M,2.30M,-42.80M,,,2.60M,-39.00M,,143.60M,-37.40M,,,,,-38.00M,,-75.40M,,-38.90M,-38.90M,,-33.10M,-33.10M,-49.20M,-49.20M,0.50M,1.70M,-119.00M,730.00M,-50.80M,-3.40M,675.80M,,0.00,-38.90M,-33.10M
2015-01,196.20M,,9.70M,9.70M,49.50M,49.50M,20.60M,,0.00,5.10M,-0.10M,-2.20M,-25.90M,119.20M,17.80M,60.00M,,,-24.80M,146.30M,,437.30M,-94.30M,,,,,33.50M,,-60.80M,0.00,49.60M,49.60M,,-4.80M,-4.80M,-49.20M,-49.20M,0.60M,0.10M,-3.70M,349.30M,372.80M,7.90M,730.00M,,7.70M,41.90M,-4.80M
2014-10,38.30M,,9.80M,9.80M,47.50M,47.50M,-2.50M,,0.00,8.00M,-1.50M,-2.30M,8.50M,-73.50M,-15.40M,7.20M,,,-5.80M,-79.00M,,25.00M,-62.00M,,,,,-31.40M,,-93.40M,148.00M,-70.80M,77.20M,,-5.80M,-5.80M,-49.10M,-49.10M,7.00M,-10.60M,18.70M,398.20M,-49.70M,0.80M,349.30M,,534.00M,-456.80M,-5.80M
2014-07,124.10M,,9.30M,9.30M,47.30M,47.30M,7.00M,,0.00,6.60M,-5.00M,-2.30M,4.10M,-121.70M,-7.00M,16.00M,,,-8.60M,-117.20M,,76.20M,-55.90M,,,,,25.10M,,-30.80M,,35.10M,35.10M,,-9.30M,-9.30M,-49.10M,-49.10M,14.70M,3.10M,-5.50M,359.30M,39.90M,-1.00M,398.20M,,23.70M,11.40M,-9.30M
2014-04,125.60M,,10.40M,10.40M,49.90M,49.90M,12.60M,,,6.80M,-7.50M,-2.40M,-4.30M,-91.60M,-16.30M,-7.20M,,,-7.70M,-127.10M,,76.60M,-35.20M,,,,,3.20M,,-32.00M,,-10.00M,-10.00M,,-7.10M,-7.10M,-43.80M,-43.80M,20.60M,7.40M,-32.90M,345.80M,11.70M,1.80M,359.30M,,2.40M,-12.40M,-7.10M
2014-01,-103.57M,,12.25M,12.25M,48.68M,48.68M,-12.45M,,,8.765M,-2.788M,-2.39M,-26.68M,64.35M,-4.838M,-26.75M,,,-10.07M,-3.985M,,-50.43M,-72.88M,,,,,-22.19M,-0.05M,-95.12M,0.00,7.848M,7.848M,,0.00,0.00,-43.48M,-43.48M,9.213M,-3.597M,-30.02M,521.20M,-175.57M,0.21M,345.80M,,8.797M,-0.949M,0.00
2013-10,94.61M,,12.25M,12.25M,45.60M,45.60M,-7.103M,,,8.126M,-1.28M,-2.377M,-3.192M,-89.22M,16.64M,4.707M,,,-2.928M,-73.99M,,85.05M,-61.83M,,,,,0.024M,0.00,-61.81M,0.00,44.36M,44.36M,,0.00,0.00,-43.51M,-43.51M,3.182M,0.558M,4.596M,489.66M,27.84M,3.698M,521.20M,,45.02M,-0.651M,0.00
2013-07,106.78M,,10.71M,10.71M,42.81M,42.81M,-2.317M,,,8.131M,-4.754M,-2.337M,18.82M,-64.82M,-9.306M,5.288M,,,0.968M,-49.05M,,117.80M,-52.14M,,,,,0.166M,-0.05M,-52.03M,,-9.362M,-9.362M,,0.00,0.00,-42.46M,-42.46M,10.19M,3.861M,-37.77M,464.92M,28.00M,-3.248M,489.66M,,54.73M,-64.10M,0.00
2013-04,83.58M,,13.80M,13.80M,43.51M,43.51M,-6.026M,,,7.178M,-6.078M,-2.396M,-12.15M,-78.62M,-17.20M,-7.949M,,,-24.97M,-140.88M,,2.283M,-34.54M,,,,,-0.298M,-3.00M,-37.84M,,27.15M,27.15M,,0.00,0.00,-40.75M,-40.75M,5.316M,6.078M,-2.205M,504.84M,-37.76M,-2.16M,464.92M,,31.15M,-4.004M,0.00
2013-01,179.64M,,11.52M,11.52M,43.49M,43.49M,5.107M,,,4.32M,-0.916M,-2.631M,-21.74M,16.52M,-5.802M,62.71M,,,11.06M,62.74M,,307.16M,-144.93M,,,,0.00,-2.062M,28.59M,-118.40M,0.00,2.903M,2.903M,,0.00,0.00,-40.66M,-40.66M,4.261M,0.857M,-32.64M,344.51M,156.11M,4.212M,504.84M,,3.264M,-0.361M,0.00
2012-10,63.18M,,11.48M,11.48M,40.99M,40.99M,-1.79M,,,7.003M,-0.827M,-2.756M,11.00M,-64.67M,2.341M,-1.872M,,,3.199M,-50.00M,,79.22M,-60.31M,,,,-25.00M,-0.261M,-35.60M,-121.18M,0.00,38.90M,38.90M,,0.00,0.00,-40.63M,-40.63M,3.829M,13.46M,15.57M,366.08M,-26.39M,4.823M,344.51M,,38.90M,0.00,0.00
2012-07,91.80M,,11.22M,11.22M,39.97M,39.97M,-14.42M,,,7.592M,-0.08M,-2.723M,10.40M,-50.31M,-5.29M,-32.81M,,,-2.064M,-80.07M,,62.50M,-52.74M,,,,,19.68M,-0.50M,-33.56M,190.00M,-86.54M,103.46M,,-7.622M,-7.622M,-40.59M,-40.59M,0.151M,-30.34M,25.06M,321.58M,54.00M,-9.506M,366.08M,,163.46M,-60.00M,-7.622M
2012-04,81.53M,,11.79M,11.79M,39.19M,39.19M,-8.178M,,,8.023M,-9.94M,-2.702M,-1.056M,-135.24M,-13.37M,-58.26M,,,-39.57M,-247.50M,,-120.59M,-44.21M,,,,,-13.30M,-0.50M,-58.00M,,131.95M,131.95M,,-46.48M,-46.48M,-36.72M,-36.72M,4.771M,9.94M,63.46M,433.95M,-115.14M,2.765M,321.58M,,131.95M,0.00,-46.48M
2012-01,178.40M,,8.574M,8.574M,42.50M,42.50M,-32.00M,8.21M,,7.559M,-1.15M,-10.98M,-14.79M,-25.67M,11.37M,91.88M,,,-2.213M,60.58M,,267.76M,-57.40M,,,0.0,0.00,9.774M,0.00,-47.62M,0.00,8.135M,8.135M,,-35.30M,-35.30M,-36.77M,-36.77M,2.922M,-0.709M,-61.73M,279.11M,158.40M,-3.561M,433.95M,,12.65M,-4.517M,-35.30M
2011-10,89.69M,,9.616M,9.616M,31.84M,31.84M,-15.91M,-2.798M,,7.798M,-1.872M,0.00,11.60M,-238.01M,4.272M,6.223M,,,-13.22M,-229.13M,,-101.05M,-71.03M,,,0.0,0.00,12.77M,0.00,-58.26M,0.00,10.74M,10.74M,,-86.33M,-86.33M,-36.98M,-36.98M,5.628M,11.40M,-95.54M,532.98M,-254.84M,0.97M,279.11M,,10.74M,0.00,-86.33M
2011-07,90.04M,,7.645M,7.645M,34.96M,34.96M,-10.06M,-2.73M,,8.40M,-6.887M,35.74M,-3.588M,-112.62M,-14.83M,37.12M,,,23.11M,-70.81M,,88.14M,-59.39M,,,,,-9.234M,-51.67M,-120.29M,0.00,-3.923M,-3.923M,,-24.55M,-24.55M,-37.16M,-37.16M,24.91M,6.887M,-33.84M,604.42M,-65.99M,-5.451M,532.98M,,-3.923M,0.00,-24.55M
2011-04,81.06M,,7.622M,7.622M,36.63M,36.63M,7.205M,-2.682M,,6.69M,-8.862M,-4.854M,12.28M,-83.12M,-6.702M,-77.82M,,,-24.73M,-180.09M,,-44.24M,-51.63M,,,,,41.83M,-6.609M,-16.41M,-58.92M,55.10M,-3.818M,,-27.94M,-27.94M,-31.93M,-31.93M,32.11M,8.862M,-22.72M,681.59M,-83.37M,6.199M,604.42M,,55.10M,-58.92M,-27.94M
2011-01,181.22M,,6.59M,6.59M,38.70M,38.70M,-28.55M,7.552M,,6.409M,-4.814M,-17.37M,-15.38M,20.61M,7.973M,84.70M,,,14.36M,112.26M,,314.71M,-38.31M,,,,,-11.83M,,-50.14M,-40.00M,-22.62M,-62.62M,,-7.98M,-7.98M,-31.68M,-31.68M,27.47M,4.803M,-70.00M,482.24M,194.58M,4.774M,681.59M,,-22.62M,-40.00M,-7.98M
2010-10,55.08M,,6.861M,6.861M,36.87M,36.87M,-12.71M,-2.625M,,6.232M,-0.374M,3.233M,-12.41M,-74.89M,-7.785M,35.84M,,,8.352M,-50.89M,,44.32M,-37.93M,,,,,0.682M,,-37.25M,-60.42M,14.01M,-46.40M,,-25.67M,-25.67M,-31.58M,-31.58M,7.022M,0.20M,-96.43M,566.72M,-89.36M,4.881M,482.24M,,132.44M,-178.84M,-25.67M
2010-07,67.68M,,6.724M,6.724M,38.20M,38.20M,-11.35M,-2.463M,,6.793M,-0.484M,3.846M,-13.98M,-71.80M,7.064M,-1.988M,,,-0.223M,-80.92M,,31.90M,-25.25M,,,,,-48.21M,,-73.46M,0.00,2.484M,2.484M,,-32.88M,-32.88M,-31.81M,-31.81M,0.996M,-6.516M,-67.73M,673.75M,-109.28M,2.257M,566.72M,,2.484M,0.00,-32.88M
2010-04,64.42M,,6.718M,6.718M,34.09M,34.09M,-7.72M,-2.464M,,6.002M,-3.452M,0.086M,19.21M,-61.70M,-14.66M,-96.62M,,,-42.31M,-196.07M,,-92.02M,-25.51M,,,,,-0.248M,,-25.76M,0.00,15.29M,15.29M,,-14.26M,-14.26M,-25.32M,-25.32M,30.20M,3.452M,9.362M,785.70M,-108.42M,-3.537M,673.75M,,15.29M,0.00,-14.26M
2010-01,138.21M,,6.078M,6.078M,36.18M,36.18M,-25.94M,-2.538M,,5.469M,-1.208M,-11.41M,-7.725M,105.01M,48.41M,94.72M,,1.922M,2.035M,244.38M,-2.124M,406.31M,-28.52M,,,,,-10.92M,4.458M,-34.98M,0.00,-1.819M,-1.819M,,-0.467M,-0.467M,-21.20M,-21.20M,65.14M,1.024M,42.68M,374.87M,414.01M,-3.181M,785.70M,,0.00,-1.819M,-0.467M
2009-10,43.31M,,6.319M,6.319M,34.06M,34.06M,8.963M,-2.502M,,6.059M,-0.137M,7.159M,-5.089M,8.885M,-1.73M,25.87M,,1.482M,-33.28M,-3.859M,-0.227M,99.14M,-16.46M,,,,,-1.967M,0.00,-18.43M,0.00,-11.70M,-11.70M,,0.00,0.00,-21.15M,-21.15M,5.609M,-11.40M,-38.64M,333.60M,42.07M,-0.806M,374.87M,,113.29M,-124.99M,0.00
2009-07,56.72M,,5.846M,5.846M,36.22M,36.22M,-3.856M,-2.427M,,6.487M,0.00,9.487M,0.484M,27.59M,23.58M,-14.56M,,-0.162M,-6.715M,30.20M,-3.959M,134.72M,-15.74M,,,,,-0.547M,4.749M,-11.54M,-40.00M,-43.00M,-83.00M,,0.00,0.00,-21.13M,-21.13M,0.514M,-4.957M,-108.58M,303.73M,14.60M,15.27M,333.60M,,-43.00M,-40.00M,0.00
2009-04,27.44M,,5.845M,5.845M,32.96M,32.96M,5.99M,-2.335M,,5.523M,-0.004M,7.15M,26.23M,22.47M,-9.931M,-72.60M,,-3.242M,-4.783M,-41.85M,0.423M,41.15M,-14.68M,,,,,,-1.264M,-15.95M,300.00M,-163.29M,136.71M,,0.00,0.00,-21.10M,-21.10M,0.224M,-0.76M,115.07M,160.44M,140.27M,3.017M,303.73M,,229.71M,-93.00M,0.00
2009-01,43.22M,,5.837M,103.68M,36.16M,36.16M,25.48M,-2.417M,16.86M,-2.533M,-0.395M,10.54M,-1.41M,30.06M,-26.56M,-12.34M,,-0.416M,-0.914M,-11.68M,,209.87M,-45.89M,,,,,,1.264M,-48.07M,-164.35M,24.53M,-139.82M,,0.00,0.00,-20.97M,-20.97M,4.61M,-0.25M,-156.43M,160.38M,5.361M,-5.292M,160.44M,,-52.00M,-87.82M,0.00
2008-10,188.94M,,5.01M,5.01M,32.50M,32.50M,6.304M,-2.39M,4.30M,3.158M,-0.856M,-142.03M,16.13M,-143.89M,-13.30M,46.88M,,1.111M,-0.753M,-93.82M,,1.11M,-40.56M,,,,,,-1.198M,-41.76M,299.03M,-128.70M,170.33M,,-89.88M,-89.88M,-20.96M,-20.96M,4.176M,0.856M,64.52M,152.16M,23.87M,-15.65M,160.38M,,177.27M,-6.94M,-89.88M
2008-07,-64.39M,,6.108M,6.108M,33.75M,33.75M,-17.15M,-2.475M,,10.12M,-4.091M,148.04M,12.51M,-56.84M,14.07M,-0.254M,,-0.753M,-1.821M,-33.09M,,76.81M,-41.74M,,,,,,-2.857M,-44.60M,-157.49M,194.71M,37.22M,,-73.66M,-73.66M,-21.44M,-21.44M,14.32M,4.091M,-39.47M,159.62M,-7.257M,-0.212M,152.16M,,39.98M,-2.758M,-73.66M
2008-04,64.39M,,6.224M,6.224M,33.42M,33.42M,,-2.511M,,11.66M,-4.854M,4.451M,4.187M,-86.94M,6.504M,-191.50M,,0.534M,-0.129M,-267.34M,,-154.56M,-26.21M,,,,,,-1.047M,-27.26M,153.30M,0.00,153.30M,,-54.84M,-54.84M,-18.89M,-18.89M,7.248M,4.854M,91.67M,246.65M,-90.15M,3.117M,159.62M,,154.73M,-1.433M,-54.84M
2008-01,127.39M,,,-1.564M,33.70M,33.70M,-19.63M,,,,,99.77M,-19.71M,85.64M,-4.653M,-3.804M,,94.49M,-37.07M,114.89M,0.00,354.55M,-36.28M,0.00,-36.28M,,-0.40M,55.70M,0.40M,19.42M,,,-25.49M,0.654M,-418.37M,-417.72M,,-19.43M,,0.768M,-461.87M,334.85M,-87.90M,-0.295M,246.65M,0.654M,,,-418.37M
2007-10,109.46M,,,-105.05M,32.51M,32.51M,-55.98M,,,,,11.38M,-8.987M,-96.37M,-13.71M,36.65M,,78.75M,-4.116M,-7.782M,2.101M,-13.36M,-61.55M,509.04M,447.49M,,0.40M,-56.58M,-1.066M,390.08M,,,-89.21M,14.14M,-97.04M,-82.89M,,-20.45M,,8.074M,-184.48M,129.03M,192.24M,12.09M,334.85M,14.14M,,,-97.04M
2007-07,32.55M,,,,31.02M,31.02M,-3.291M,,,,,15.54M,8.889M,-19.88M,-4.449M,-7.676M,,2.319M,-1.365M,-22.16M,21.70M,75.35M,-56.23M,,-56.23M,,-0.40M,8.82M,0.259M,-48.05M,,,11.38M,19.15M,-34.20M,-15.05M,,-16.42M,,4.909M,-15.18M,115.78M,12.13M,1.125M,129.03M,19.15M,,,-34.20M
2007-04,54.08M,,,,30.71M,30.71M,2.585M,,,,,13.64M,9.567M,-81.03M,-13.56M,-16.18M,,-23.82M,-4.881M,-129.91M,-2.845M,-31.74M,-31.55M,,-31.55M,,,5.238M,-0.632M,-27.30M,,,-4.134M,34.88M,-25.00M,9.884M,,-13.63M,,4.988M,-2.888M,175.02M,-61.93M,2.692M,115.78M,34.88M,,,-25.00M
2007-01,159.47M,,,0.00,29.85M,29.85M,23.55M,,,,,13.50M,-16.87M,60.10M,17.84M,-12.69M,,58.91M,-29.55M,77.74M,13.22M,317.32M,-36.53M,,-36.53M,,,-16.07M,-0.723M,-56.48M,,,-131.85M,15.00M,-17.06M,-2.066M,,-13.54M,,4.056M,-143.41M,58.18M,117.43M,0.886M,175.01M,15.00M,,,-17.06M
2006-10,29.14M,,,-6.774M,27.19M,27.19M,2.398M,,,,,25.80M,-3.166M,-76.37M,-7.004M,30.40M,,-18.60M,-10.12M,-84.86M,-3.907M,-11.02M,-49.68M,,-49.68M,,,3.324M,-8.114M,-59.56M,,,91.71M,2.716M,-100.53M,-97.81M,,-13.67M,,1.462M,-18.30M,146.94M,-88.88M,0.117M,58.18M,2.716M,,,-100.53M
2006-07,41.14M,,,-9.54M,29.91M,29.91M,-8.191M,,,,,21.53M,15.29M,-98.44M,-9.639M,-10.71M,,-4.353M,4.031M,-103.83M,,-28.97M,-44.41M,,-44.41M,,,46.08M,-0.076M,1.595M,,,90.83M,0.954M,-83.84M,-82.88M,,-14.00M,,0.061M,-5.986M,180.54M,-33.36M,-0.238M,146.94M,0.954M,,,-83.84M
2006-04,43.14M,,,9.54M,28.35M,28.35M,-4.876M,,,,,,-11.90M,-74.45M,-23.23M,10.68M,,-22.95M,1.943M,-119.91M,,-43.76M,-43.93M,,-43.93M,,,-46.40M,-0.21M,-90.53M,,,6.293M,3.024M,-79.75M,-76.73M,,-11.40M,,0.66M,-81.18M,393.61M,-215.46M,2.397M,180.54M,3.024M,,,-79.75M
