,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-04,999.20M,212.70M,1.212B,227.70M,227.70M,871.70M,136.00M,1.310B,2.318B,223.00M,,,3.980B,,,,,,,,,,965.60M,,,187.30M,317.50M,1.470B,5.451B,380.60M,124.30M,504.90M,,504.90M,,96.70M,,96.70M,,96.70M,82.70M,82.70M,,684.30M,882.90M,,882.90M,,38.00M,38.00M,290.70M,14.90M,286.10M,1.498B,2.182B,1.20M,2.159B,1.260B,,,,-166.10M,3.254B
2018-01,970.70M,320.50M,1.291B,231.20M,231.20M,821.40M,117.50M,1.315B,2.254B,207.40M,,,3.983B,0.0,41.80M,123.00M,1.120B,,105.10M,1.329B,2.718B,-1.728B,990.50M,,,188.20M,306.10M,1.485B,5.468B,201.50M,89.40M,290.90M,125.90M,416.80M,,120.60M,,120.60M,,120.60M,77.40M,77.40M,,724.80M,882.90M,,882.90M,,40.50M,40.50M,287.40M,14.80M,284.30M,1.495B,2.220B,1.20M,2.114B,1.256B,,,,-138.00M,3.233B
2017-10,845.00M,164.40M,1.009B,218.00M,218.00M,869.20M,129.30M,1.329B,2.327B,223.40M,,,3.778B,,,,,,,,,,948.70M,,,274.60M,312.50M,1.536B,5.314B,388.30M,39.20M,427.50M,,427.50M,43.00M,150.20M,,193.20M,,193.20M,73.60M,73.60M,,694.30M,879.20M,,879.20M,,40.70M,40.70M,314.10M,15.20M,216.60M,1.451B,2.145B,1.20M,2.150B,1.213B,,,,-210.90M,3.154B
2017-07,820.80M,222.70M,1.044B,223.30M,223.30M,840.60M,114.50M,1.282B,2.237B,218.30M,,,3.722B,,,,,,,,,,939.60M,,,300.00M,308.00M,1.548B,5.270B,301.40M,32.80M,334.20M,,334.20M,,,,235.00M,,235.00M,78.60M,78.60M,,647.80M,881.10M,,881.10M,,43.30M,43.30M,326.10M,15.20M,213.30M,1.464B,2.112B,1.20M,2.138B,1.207B,,,,-203.20M,3.143B
2017-04,838.80M,121.20M,960.00M,233.10M,233.10M,831.70M,95.90M,1.270B,2.197B,204.00M,,,3.594B,,,,,,,,,,920.80M,,,296.90M,294.00M,1.512B,5.106B,281.40M,35.30M,316.70M,,316.70M,,,,190.60M,,190.60M,75.20M,75.20M,,582.50M,880.50M,,880.50M,,44.90M,44.90M,322.80M,15.20M,200.80M,1.449B,2.032B,1.20M,2.105B,1.196B,,,,-242.80M,3.060B
2017-01,928.00M,57.80M,985.80M,226.80M,226.80M,806.30M,101.90M,1.249B,2.158B,203.40M,,,3.574B,0.0,41.80M,122.50M,1.017B,,78.60M,1.196B,2.456B,-1.524B,931.80M,,,301.80M,290.40M,1.524B,5.098B,108.60M,48.80M,157.40M,81.20M,238.60M,,228.70M,,228.70M,,228.70M,69.20M,69.20M,,632.80M,878.40M,,878.40M,,45.90M,45.90M,318.60M,14.90M,193.50M,1.436B,2.069B,1.20M,2.078B,1.190B,,,,-256.20M,3.014B
2016-10,727.50M,59.20M,786.70M,214.00M,214.00M,814.00M,99.70M,1.389B,2.303B,205.40M,,,3.509B,,,,,,,,,,951.80M,,,370.20M,307.90M,1.630B,5.139B,313.10M,32.60M,345.70M,,345.70M,,219.50M,,219.50M,,219.50M,70.50M,70.50M,,635.70M,885.70M,,885.70M,,50.00M,50.00M,448.00M,16.50M,194.60M,1.578B,2.214B,1.20M,1.979B,1.180B,,,,-251.20M,2.909B
2016-07,666.30M,53.80M,720.10M,216.40M,216.40M,843.50M,119.30M,1.362B,2.325B,215.40M,,,3.477B,,,,,,,,,,944.80M,,,367.00M,314.40M,1.626B,5.103B,300.70M,30.50M,331.20M,,331.20M,,207.10M,94.80M,301.90M,,301.90M,64.50M,64.50M,,697.60M,790.50M,,790.50M,,53.20M,53.20M,442.10M,16.50M,190.80M,1.477B,2.174B,1.30M,1.967B,1.176B,,,,-232.20M,2.912B
2016-04,779.60M,10.30M,789.90M,221.50M,221.50M,847.30M,110.90M,1.362B,2.320B,190.70M,,,3.522B,,,,,,,,,,946.00M,,,369.80M,310.20M,1.626B,5.148B,300.40M,36.60M,337.00M,,337.00M,,220.10M,92.50M,312.60M,,312.60M,68.20M,68.20M,,717.80M,790.20M,,790.20M,,56.40M,56.40M,436.40M,16.40M,188.10M,1.471B,2.189B,1.30M,1.981B,1.180B,,,,-218.60M,2.943B
2016-01,843.60M,43.00M,886.60M,206.40M,206.40M,813.70M,118.40M,1.293B,2.225B,190.40M,,,3.508B,0.0,45.60M,120.90M,983.60M,,95.70M,1.109B,2.354B,-1.419B,935.80M,,,382.80M,294.60M,1.613B,5.122B,127.80M,49.00M,176.80M,101.50M,278.30M,,221.60M,84.20M,305.80M,,305.80M,67.90M,67.90M,,729.90M,790.00M,,790.00M,,55.10M,55.10M,428.10M,18.10M,189.00M,1.462B,2.192B,1.30M,2.012B,1.176B,,,,-278.10M,2.911B
2015-10,673.20M,51.90M,725.10M,206.50M,206.50M,859.10M,112.30M,1.376B,2.347B,204.20M,102.00M,,3.585B,,,,,,,,,,912.20M,,,338.50M,330.30M,1.581B,5.166B,323.60M,30.60M,354.20M,,354.20M,,198.30M,82.60M,280.90M,,280.90M,73.40M,73.40M,,708.50M,798.10M,,798.10M,,57.90M,57.90M,545.80M,17.60M,184.50M,1.586B,2.295B,1.30M,1.994B,1.182B,,,,-323.10M,2.853B
2015-07,758.50M,12.90M,771.40M,180.30M,180.30M,896.90M,113.00M,1.348B,2.358B,202.90M,101.40M,,3.614B,,,,,,,,,,898.40M,,,334.30M,334.10M,1.567B,5.180B,310.40M,38.30M,348.70M,,348.70M,,,,196.80M,,196.80M,73.90M,73.90M,,619.40M,878.60M,,878.60M,,59.50M,59.50M,538.90M,16.70M,189.40M,1.666B,2.286B,1.30M,2.009B,1.185B,,,,-316.70M,2.878B
2015-04,675.80M,39.60M,715.40M,192.50M,192.50M,872.80M,93.70M,1.396B,2.363B,207.60M,101.50M,,3.58B,,,,,,,,,,897.00M,,,323.60M,349.40M,1.57B,5.15B,271.40M,44.60M,316.00M,,316.00M,,,,197.10M,,197.10M,72.20M,72.20M,,585.30M,882.10M,,882.10M,,62.80M,62.80M,532.20M,16.20M,201.30M,1.678B,2.264B,1.30M,1.976B,1.178B,,,,-285.50M,2.870B
2015-01,730.00M,1.50M,731.50M,195.20M,195.20M,866.90M,108.40M,1.387B,2.362B,220.00M,,,3.509B,0.0,42.70M,125.80M,1.002B,,59.80M,1.036B,2.267B,-1.368B,899.50M,,,426.10M,346.20M,1.672B,5.181B,118.00M,61.70M,179.70M,94.30M,274.00M,,234.00M,,234.00M,,234.00M,66.10M,66.10M,,658.00M,882.50M,,882.50M,,64.50M,64.50M,524.20M,15.60M,200.70M,1.672B,2.330B,1.30M,1.951B,1.174B,,,,-290.50M,2.835B
2014-10,349.30M,34.11M,383.41M,177.29M,177.29M,888.10M,138.92M,1.533B,2.560B,284.60M,104.71M,,3.510B,,,,,,,,,,888.10M,,,246.64M,351.87M,1.487B,4.997B,344.29M,25.66M,369.95M,,369.95M,,196.88M,,196.88M,,196.88M,67.71M,67.71M,,634.54M,889.50M,,889.50M,,71.34M,71.34M,284.37M,14.42M,208.55M,1.454B,2.088B,1.293M,1.808B,1.168B,,,,-83.10M,2.894B
2014-07,398.24M,0.192M,398.43M,190.32M,190.32M,933.31M,144.96M,1.453B,2.531B,225.86M,104.91M,,3.451B,,,,,,,,,,857.32M,,,246.16M,381.38M,1.485B,4.936B,300.78M,28.37M,329.16M,,329.16M,,,,275.43M,,275.43M,65.51M,65.51M,,670.10M,750.07M,,750.07M,,77.86M,77.86M,279.50M,14.05M,213.87M,1.321B,1.991B,1.293M,1.824B,1.152B,,,,-47.27M,2.930B
2014-04,359.31M,21.90M,381.22M,194.57M,194.57M,920.98M,132.11M,1.365B,2.418B,236.82M,102.31M,,3.333B,,,,,,,,,,848.43M,,,260.14M,383.63M,1.492B,4.826B,306.09M,26.14M,332.22M,,332.22M,,,,240.96M,,240.96M,67.54M,67.54M,,640.72M,750.83M,,750.83M,,80.21M,80.21M,273.68M,15.27M,219.49M,1.324B,1.965B,1.29M,1.758B,1.128B,,,,-42.07M,2.845B
2014-01,345.78M,21.26M,367.04M,188.81M,188.81M,874.80M,117.86M,1.334B,2.327B,244.95M,101.01M,,3.228B,0.0,42.71M,118.62M,906.25M,,40.57M,990.49M,2.099B,-1.244B,855.10M,,,278.39M,390.48M,1.524B,4.752B,116.60M,55.91M,172.51M,115.00M,287.52M,,252.36M,,252.36M,,252.36M,70.31M,70.31M,,696.74M,751.15M,,751.15M,,81.86M,81.86M,268.11M,13.53M,220.51M,1.322B,2.018B,1.283M,1.682B,1.095B,,,,-58.55M,2.720B
2013-10,521.20M,,521.20M,165.86M,165.86M,860.51M,118.09M,1.440B,2.419B,178.71M,78.02M,,3.363B,,,,,,,,,,836.06M,,,315.40M,365.54M,1.517B,4.880B,309.80M,16.19M,325.99M,,325.99M,,,,252.02M,,252.02M,66.11M,66.11M,,644.11M,755.72M,,755.72M,,85.46M,85.46M,348.56M,12.74M,223.68M,1.413B,2.058B,1.28M,1.830B,1.075B,,,,-96.18M,2.809B
2013-07,489.66M,,489.66M,161.75M,161.75M,843.38M,114.16M,1.371B,2.329B,182.05M,77.95M,,3.240B,,,,,,,,,,814.59M,,,309.82M,367.38M,1.492B,4.732B,276.81M,36.73M,313.54M,,313.54M,,,,207.41M,,207.41M,67.92M,67.92M,,588.87M,756.81M,,756.81M,,86.69M,86.69M,342.36M,13.00M,221.69M,1.408B,1.996B,1.279M,1.778B,1.062B,,,,-119.32M,2.722B
2013-04,464.92M,,464.92M,181.72M,181.72M,812.53M,126.49M,1.341B,2.280B,176.89M,80.57M,,3.184B,,,,,,,,,,807.88M,,,305.29M,368.10M,1.481B,4.666B,280.96M,30.82M,311.77M,,311.77M,,,,216.90M,,216.90M,69.21M,69.21M,,597.88M,757.19M,,757.19M,,89.49M,89.49M,336.74M,12.76M,220.00M,1.403B,2.001B,1.275M,1.714B,1.039B,,,,-102.79M,2.652B
2013-01,504.84M,1.363M,506.20M,174.00M,174.00M,790.73M,152.37M,1.291B,2.234B,157.55M,79.51M,,3.152B,0.0,42.71M,118.69M,821.36M,,24.51M,914.74M,1.922B,-1.103B,818.84M,,,306.38M,354.04M,1.479B,4.631B,122.10M,52.76M,174.87M,93.02M,267.88M,,194.03M,,194.03M,,194.03M,66.65M,66.65M,,586.59M,765.24M,,765.24M,,96.72M,96.72M,361.25M,12.59M,209.73M,1.433B,2.020B,1.269M,1.671B,1.020B,,,,-93.88M,2.599B
2012-10,344.51M,1.362M,345.87M,160.60M,160.60M,745.33M,166.72M,1.378B,2.290B,180.01M,106.74M,,3.083B,,,,,,,,,,800.22M,,,378.51M,188.46M,1.367B,4.450B,284.19M,17.96M,302.15M,,302.15M,,,,196.28M,,196.28M,66.00M,66.00M,,564.42M,781.64M,,781.64M,,,,322.03M,12.50M,314.68M,1.418B,1.983B,1.267M,1.532B,1.010B,,,,-89.32M,2.455B
2012-07,366.08M,1.357M,367.44M,171.46M,171.46M,771.83M,190.94M,1.268B,2.230B,130.13M,105.21M,,3.005B,,,,,,,,,,777.39M,,,388.74M,153.91M,1.320B,4.325B,259.61M,26.90M,286.51M,,286.51M,,,,155.14M,,155.14M,63.11M,63.11M,,504.76M,784.41M,,784.41M,,,,316.32M,12.31M,310.46M,1.411B,1.916B,1.266M,1.510B,998.72M,,,,-113.30M,2.396B
2012-04,321.58M,21.45M,343.03M,181.64M,181.64M,823.82M,165.56M,1.200B,2.190B,127.30M,91.28M,,2.933B,,,,,,,,,,766.87M,,,383.93M,122.75M,1.274B,4.207B,285.19M,31.97M,317.16M,,317.16M,,,,303.12M,,303.12M,62.07M,62.07M,,682.36M,531.24M,,531.24M,,,,309.54M,,304.63M,1.145B,1.828B,1.267M,1.465B,991.62M,,,,-79.46M,2.379B
2012-01,433.95M,,433.95M,184.08M,184.08M,784.04M,143.49M,1.146B,2.073B,115.30M,83.12M,,2.890B,0.0,42.74M,113.73M,750.45M,,17.65M,833.74M,1.758B,-991.14M,767.17M,9.949M,9.949M,271.16M,221.04M,1.269B,4.159B,113.15M,81.25M,194.40M,120.75M,315.15M,,112.97M,60.82M,173.80M,,173.80M,62.94M,62.94M,,626.68M,538.35M,,538.35M,,119.69M,119.69M,338.56M,0.00,186.80M,1.183B,1.810B,1.267M,1.463B,970.22M,,,,-85.13M,2.349B
2011-10,279.11M,18.25M,297.36M,170.18M,170.18M,737.69M,154.11M,1.174B,2.065B,117.71M,93.79M,,2.745B,,,,,,,,,,752.15M,,,296.03M,105.59M,1.154B,3.898B,287.01M,1.459M,288.47M,,288.47M,,,,169.08M,,169.08M,64.36M,64.36M,,521.91M,539.70M,,539.70M,,,,212.27M,,311.68M,1.064B,1.586B,1.27M,1.353B,957.92M,,,,0.686M,2.313B
2011-07,532.98M,32.21M,565.19M,182.00M,182.00M,656.77M,144.49M,1.036B,1.837B,115.47M,67.96M,,2.768B,,,,,,,,,,738.17M,,,310.19M,115.02M,1.163B,3.931B,274.30M,20.69M,294.99M,,294.99M,,,,159.00M,,159.00M,66.76M,66.76M,,520.75M,534.67M,,534.67M,,,,205.30M,,318.43M,1.058B,1.579B,1.281M,1.378B,951.55M,,,,20.85M,2.352B
2011-04,604.42M,17.90M,622.32M,175.93M,175.93M,565.72M,119.18M,1.036B,1.721B,122.69M,49.12M,,2.691B,,,,,,,,,,685.46M,,,312.33M,69.40M,1.067B,3.758B,216.79M,14.60M,231.39M,,231.39M,,,,97.63M,,97.63M,67.26M,67.26M,,396.28M,589.26M,,589.26M,,,,198.32M,,296.04M,1.084B,1.480B,1.277M,1.348B,909.36M,,,,19.92M,2.278B
2011-01,681.59M,59.28M,740.87M,185.97M,185.97M,534.88M,102.34M,988.08M,1.625B,90.58M,41.83M,,2.685B,0.0,42.38M,104.49M,693.54M,,19.60M,757.63M,1.618B,-952.05M,665.59M,,,327.88M,57.65M,1.051B,3.736B,258.61M,55.69M,314.30M,,314.30M,,,,99.75M,,99.75M,65.86M,65.86M,,479.91M,588.49M,,588.49M,,,,217.44M,,272.35M,1.078B,1.558B,1.269M,1.325B,863.97M,,,,-12.56M,2.177B
2010-10,482.24M,47.25M,529.50M,179.43M,179.43M,464.70M,99.00M,1.091B,1.655B,86.94M,24.62M,,2.475B,,,,,,,,,,668.18M,,,186.43M,185.15M,1.040B,3.515B,216.29M,2.275M,218.57M,,218.57M,,65.11M,161.96M,227.07M,,227.07M,,,,445.64M,593.03M,,593.03M,,128.93M,128.93M,195.90M,,152.74M,1.071B,1.516B,1.261M,1.183B,825.47M,,,,-10.92M,1.999B
2010-07,566.72M,47.95M,614.67M,156.71M,156.71M,469.80M,105.29M,978.02M,1.553B,76.78M,16.11M,,2.417B,,,,,,,,,,661.39M,,,188.01M,179.77M,1.029B,3.447B,165.76M,16.20M,181.96M,,181.96M,,60.55M,314.18M,374.73M,,374.73M,,,,556.68M,467.86M,,467.86M,,124.93M,124.93M,189.98M,,141.11M,923.88M,1.481B,1.265M,1.183B,813.60M,,,,-31.70M,1.966B
2010-04,673.75M,,673.75M,139.88M,139.88M,435.46M,94.75M,943.53M,1.474B,87.59M,6.514M,,2.381B,,,,,,,,,,673.79M,,,185.95M,177.51M,1.037B,3.419B,164.66M,29.26M,193.92M,,193.92M,,64.49M,295.58M,360.07M,,360.07M,,,,553.99M,464.17M,,464.17M,,120.55M,120.55M,184.43M,,139.16M,908.31M,1.462B,1.272M,1.177B,808.19M,,,,-30.09M,1.956B
2010-01,785.70M,0.00,785.70M,158.71M,158.71M,450.97M,72.37M,904.52M,1.428B,66.75M,6.651M,,2.446B,0.0,42.36M,104.54M,655.60M,,22.11M,689.25M,1.514B,-828.76M,685.10M,,,312.47M,45.12M,1.043B,3.488B,231.91M,67.51M,299.43M,,299.43M,,,,234.46M,,234.46M,66.39M,66.39M,,600.27M,519.59M,,519.59M,,,,219.28M,,265.98M,1.005B,1.605B,1.263M,1.151B,764.13M,,,,-33.26M,1.883B
2009-10,374.87M,,374.87M,150.90M,150.90M,438.36M,56.88M,1.047B,1.542B,126.40M,12.52M,,2.207B,,,,,,,,,,694.06M,,,157.68M,160.91M,1.013B,3.219B,222.31M,15.41M,237.72M,,237.72M,,66.29M,194.80M,261.08M,,261.08M,,,,498.81M,558.21M,,558.21M,,130.86M,130.86M,187.87M,,132.84M,1.010B,1.509B,1.243M,1.032B,690.68M,-32.42M,22.12M,-3.352M,-13.64M,1.711B
2009-07,333.60M,,333.60M,140.02M,140.02M,412.72M,57.64M,1.068B,1.539B,99.47M,12.30M,,2.124B,,,,,,,,,,707.18M,,,160.49M,153.88M,1.022B,3.145B,155.66M,18.24M,173.90M,,173.90M,,64.61M,40.75M,105.36M,,105.36M,,,,279.26M,710.99M,,710.99M,,129.66M,129.66M,209.16M,,142.94M,1.193B,1.472B,1.24M,1.010B,699.00M,-38.45M,1.48M,,-36.97M,1.673B
2009-04,303.73M,,303.73M,135.44M,135.44M,413.16M,58.53M,1.082B,1.554B,120.77M,12.13M,,2.126B,,,,,,,,,,721.45M,,,165.48M,149.53M,1.036B,3.162B,163.10M,25.32M,188.43M,,188.43M,,64.24M,114.37M,178.61M,,178.61M,,,,367.03M,707.48M,,707.48M,,125.56M,125.56M,203.55M,,151.98M,1.189B,1.556B,1.24M,974.54M,691.98M,-42.10M,-18.99M,,-61.09M,1.607B
2009-01,160.44M,,160.44M,164.45M,164.45M,416.80M,69.10M,1.115B,1.601B,108.97M,13.64M,,2.049B,0.0,41.71M,104.66M,639.02M,,15.64M,673.56M,1.475B,-733.54M,741.05M,,,166.52M,145.98M,1.054B,3.102B,223.57M,27.65M,251.22M,,251.22M,,67.31M,283.39M,350.70M,,350.70M,,,,601.92M,425.41M,,425.41M,,133.64M,133.64M,200.60M,,152.33M,911.99M,1.514B,1.238M,971.30M,687.27M,,,,-71.43M,1.588B
2008-10,160.38M,,160.38M,164.27M,164.27M,402.82M,92.83M,1.143B,1.638B,70.38M,33.07M,,2.067B,,,,,,,,1.390B,-651.23M,738.29M,,,172.28M,162.44M,1.073B,3.140B,236.19M,,236.19M,,236.19M,,,,515.05M,,515.05M,,,74.85M,826.09M,306.23M,,306.23M,,,,,,361.50M,667.73M,1.494B,1.231M,962.30M,684.88M,,9.314M,-11.97M,-2.659M,1.646B
2008-07,152.16M,,152.16M,181.11M,181.11M,384.67M,106.54M,1.021B,1.512B,69.48M,30.77M,,1.945B,,,,,,,,1.397B,-651.23M,745.30M,,,168.91M,173.02M,1.087B,3.033B,189.71M,,189.71M,,189.71M,,,,345.10M,,345.10M,,,82.77M,617.58M,294.10M,,294.10M,,,,,,364.89M,658.99M,1.277B,1.252M,1.023B,681.26M,,48.78M,2.076M,50.86M,1.756B
2008-04,159.62M,,159.62M,193.15M,193.15M,374.72M,104.06M,987.38M,1.466B,86.78M,27.39M,,1.933B,,,,,,,,1.393B,-651.23M,742.12M,,,164.85M,169.77M,1.077B,3.010B,175.78M,,175.78M,,175.78M,,,,265.15M,,265.15M,,,118.55M,559.48M,346.01M,,346.01M,,,,,,360.84M,706.84M,1.266B,1.263M,1.032B,656.70M,,48.61M,4.781M,53.39M,1.744B
2008-01,246.65M,,246.65M,193.97M,193.97M,352.21M,77.33M,942.86M,1.372B,89.07M,20.22M,,1.922B,0.0,41.71M,727.58M,608.78M,,21.38M,,1.399B,-651.23M,748.21M,,,158.58M,171.80M,1.079B,3.001B,203.62M,,203.62M,,203.62M,,,,109.67M,,109.67M,,,271.57M,584.86M,343.46M,,343.46M,,,,,,356.46M,699.93M,1.285B,1.268M,1.038B,632.67M,,42.12M,2.396M,44.51M,1.716B
