,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-04,1.033B,1.033B,382.30M,650.90M,446.60M,,9.90M,-9.90M,,446.60M,204.30M,9.90M,-9.90M,-3.90M,-9.90M,190.50M,48.20M,142.30M,,142.30M,142.30M,254.20M,53.80M,200.40M,1.14,,1.14,1.14,1.14,,1.14,1.14,124.40M,125.00M,0.5
2018-01,1.334B,1.334B,482.30M,852.10M,541.00M,,10.10M,-10.10M,,541.00M,311.10M,10.10M,-10.10M,0.40M,-10.10M,301.40M,239.50M,61.90M,,61.90M,61.90M,365.50M,54.00M,311.50M,0.5,,0.5,0.5,0.5,,0.5,0.5,124.50M,125.10M,0.5
2017-10,976.20M,976.20M,376.20M,600.00M,436.00M,,10.80M,-10.80M,,436.00M,164.00M,10.80M,-10.80M,-2.80M,-10.80M,150.40M,50.20M,100.20M,,100.20M,100.20M,212.30M,51.10M,161.20M,0.81,,0.81,0.81,0.8,,0.8,0.8,124.40M,125.00M,0.5
2017-07,959.70M,959.70M,360.10M,599.60M,414.90M,,10.40M,-10.40M,,414.90M,184.70M,10.40M,-10.40M,-1.80M,-10.40M,172.50M,57.50M,115.00M,,115.00M,115.00M,233.80M,50.90M,182.90M,0.92,,0.92,0.92,0.92,,0.92,0.92,124.50M,125.10M,0.5
2017-04,899.60M,899.60M,340.50M,559.10M,409.50M,,10.60M,-10.60M,,409.50M,149.60M,10.60M,-10.60M,-2.90M,-10.60M,136.10M,43.20M,92.90M,,92.90M,92.90M,197.60M,50.90M,146.70M,0.75,,0.75,0.75,0.74,,0.74,0.74,124.60M,125.30M,0.45
2017-01,1.230B,1.230B,432.70M,796.90M,515.20M,,,-11.50M,,515.20M,281.70M,,-11.50M,,-11.50M,246.40M,88.60M,157.80M,,157.80M,157.80M,309.40M,51.50M,257.90M,1.27,,1.27,1.27,1.26,,1.26,1.26,124.50M,124.90M,0.45
2016-10,949.30M,949.30M,369.80M,579.50M,424.30M,,,-9.70M,,424.30M,155.20M,,-9.70M,,-9.70M,145.50M,50.40M,95.10M,,95.10M,95.10M,207.20M,52.00M,155.20M,0.76,,0.76,0.76,0.76,,0.76,0.76,124.60M,124.90M,0.45
2016-07,931.60M,931.60M,354.50M,577.10M,402.20M,,,-13.40M,,402.20M,174.90M,,-13.40M,,-13.40M,161.50M,55.80M,105.70M,,105.70M,105.70M,227.80M,52.90M,174.90M,0.84,,0.84,0.84,0.84,,0.84,0.84,125.30M,125.60M,0.45
2016-04,891.30M,891.30M,345.70M,545.60M,411.00M,,,-11.50M,,411.00M,134.60M,,-11.50M,,-11.50M,123.10M,35.60M,87.50M,,87.50M,87.50M,186.70M,52.10M,134.60M,0.69,,0.69,0.69,0.69,,0.69,0.69,126.10M,126.50M,0.4
2016-01,1.214B,1.214B,448.90M,764.80M,503.90M,,,-10.90M,,503.90M,260.90M,,-10.90M,,-10.90M,248.80M,85.60M,163.20M,,163.20M,163.20M,312.70M,53.00M,259.70M,1.28,,1.28,1.28,1.28,,1.28,1.28,127.40M,127.90M,0.4
2015-10,938.20M,938.20M,373.70M,564.50M,408.10M,,,-15.20M,,408.10M,156.40M,,-15.20M,,-15.20M,141.20M,50.20M,91.00M,,91.00M,91.00M,207.50M,51.10M,156.40M,0.71,,0.71,0.71,0.7,,0.7,0.7,128.60M,129.10M,0.4
2015-07,990.50M,990.50M,397.50M,593.00M,420.20M,,,-13.60M,,420.20M,172.80M,,-13.60M,,-13.60M,159.20M,54.30M,104.90M,,104.90M,104.90M,222.30M,49.50M,172.80M,0.81,,0.81,0.81,0.81,,0.81,0.81,129.00M,129.60M,0.4
2015-04,962.40M,962.40M,393.40M,569.00M,399.00M,,,-9.30M,,399.00M,170.00M,,-9.30M,,-9.30M,160.70M,55.80M,104.90M,,104.90M,104.90M,218.90M,48.90M,170.00M,0.81,,0.81,0.81,0.81,,0.81,0.81,129.20M,129.80M,0.38
2015-01,1.285B,1.285B,503.60M,781.60M,477.00M,0.00,,-15.10M,,477.00M,304.60M,,-15.10M,2.80M,-15.10M,292.30M,96.10M,196.20M,,196.20M,196.20M,263.10M,49.50M,213.60M,1.52,,1.52,1.52,1.51,,1.51,1.51,129.20M,129.90M,0.38
2014-10,959.60M,959.60M,388.70M,570.90M,402.40M,-93.80M,,-15.40M,,402.40M,168.50M,,-15.40M,-93.80M,-15.40M,59.30M,21.00M,38.30M,,38.30M,98.80M,216.00M,47.50M,168.50M,0.3,,0.7676,0.3,0.29,,0.7554,0.29,129.40M,130.00M,0.38
2014-07,992.90M,992.90M,397.70M,595.20M,386.70M,,,-16.10M,,386.70M,208.50M,,-16.10M,,-16.10M,192.40M,68.30M,124.10M,,124.10M,124.10M,255.80M,47.30M,208.50M,0.96,,0.96,0.96,0.96,,0.96,0.96,129.30M,129.90M,0.38
2014-04,1.012B,1.012B,422.60M,589.50M,379.70M,,,-16.30M,,379.70M,209.80M,,-16.30M,,-16.30M,193.50M,67.90M,125.60M,,125.60M,125.60M,259.70M,49.90M,209.80M,0.97,,0.97,0.97,0.97,,0.97,0.97,128.90M,129.80M,0.34
2014-01,1.298B,1.298B,512.69M,785.57M,472.73M,-480.20M,,-21.27M,,472.73M,312.84M,,-21.27M,,-21.27M,-175.43M,-71.87M,-103.57M,,-103.57M,208.56M,-105.48M,48.68M,-154.16M,-0.81,,1.6280000000000001,-0.81,-0.81,,1.6019999999999999,-0.81,128.05M,129.41M,0.34
2013-10,911.48M,911.48M,392.00M,519.48M,365.86M,0.00,,-13.92M,,365.86M,153.62M,,-13.92M,,-13.92M,139.70M,45.09M,94.61M,,94.61M,94.61M,199.22M,45.60M,153.62M,0.74,,0.74,0.74,0.73,,0.73,0.73,128.00M,128.97M,0.34
2013-07,925.88M,925.88M,393.76M,532.13M,355.24M,,,-14.69M,,355.24M,176.89M,,-14.69M,,-14.69M,162.19M,55.41M,106.78M,,106.78M,106.78M,219.70M,42.81M,176.89M,0.84,,0.84,0.84,0.83,,0.83,0.83,127.83M,128.77M,0.34
2013-04,895.48M,895.48M,392.26M,503.22M,362.07M,,,-12.71M,,362.07M,141.16M,,-12.71M,,-12.71M,128.45M,44.87M,83.58M,,83.58M,83.58M,184.67M,43.51M,141.16M,0.66,,0.66,0.66,0.65,,0.65,0.65,127.32M,128.44M,0.32
2013-01,1.236B,1.236B,504.95M,730.82M,440.46M,,,-19.48M,,440.46M,290.36M,,-19.48M,,-19.48M,276.30M,96.66M,179.64M,,179.64M,179.64M,339.28M,43.49M,295.78M,1.42,,1.42,1.42,1.4,,1.4,1.4,126.86M,127.99M,0.32
2012-10,852.74M,852.74M,388.45M,464.29M,346.99M,,,-14.78M,,346.99M,117.30M,,-14.78M,,-14.78M,102.51M,39.33M,63.18M,,63.18M,63.18M,158.29M,40.99M,117.30M,0.5,,0.5,0.5,0.49,,0.49,0.49,126.74M,127.90M,0.32
2012-07,886.57M,886.57M,387.41M,499.16M,344.58M,,,-14.25M,,344.58M,154.58M,,-14.25M,,-14.25M,140.33M,48.53M,91.80M,,91.80M,91.80M,194.55M,39.97M,154.58M,0.72,,0.72,0.72,0.72,,0.72,0.72,126.63M,127.66M,0.32
2012-04,819.17M,819.17M,350.15M,469.02M,334.03M,,,-10.55M,,334.03M,134.98M,,-10.55M,,-10.55M,124.43M,42.90M,81.53M,,81.53M,81.53M,174.18M,39.19M,134.98M,0.64,,0.64,0.64,0.64,,0.64,0.64,126.72M,128.18M,0.29
2012-01,1.187B,1.187B,470.52M,716.92M,431.17M,,18.42M,-18.42M,,431.17M,285.74M,18.42M,-18.42M,,-18.42M,272.43M,94.03M,178.40M,,178.40M,178.40M,333.34M,42.50M,290.84M,1.41,0.0,1.41,1.41,1.39,0.0,1.39,1.39,126.75M,128.34M,0.29
2011-10,821.77M,821.77M,345.92M,475.85M,329.67M,,10.39M,-10.39M,,329.67M,146.18M,10.39M,-10.39M,,-10.39M,135.78M,46.10M,89.69M,,89.69M,89.69M,178.02M,31.84M,146.18M,0.71,0.0,0.71,0.71,0.7,0.0,0.7,0.7,127.21M,128.81M,0.29
2011-07,872.71M,872.71M,358.02M,514.70M,374.16M,,9.619M,-9.619M,,374.16M,140.54M,9.619M,-9.619M,,-9.619M,130.92M,40.88M,90.04M,,90.04M,90.04M,175.50M,34.96M,140.54M,0.7,0.0,0.7,0.7,0.69,0.0,0.69,0.69,128.03M,129.79M,0.29
2011-04,761.02M,761.02M,317.32M,443.69M,307.73M,,10.15M,-10.15M,,307.73M,135.97M,10.15M,-10.15M,,-10.15M,125.82M,44.76M,81.06M,,81.06M,81.06M,172.60M,36.63M,135.97M,0.64,0.0,0.64,0.64,0.63,0.0,0.63,0.63,127.60M,129.38M,0.25
2011-01,1.101B,1.101B,430.24M,670.98M,392.80M,,18.08M,-18.08M,,392.80M,278.18M,18.08M,-18.08M,,-18.08M,267.09M,85.86M,181.22M,,181.22M,181.22M,323.87M,38.70M,285.17M,1.43,,1.43,1.43,1.41,,1.41,1.41,126.63M,128.79M,0.25
2010-10,681.73M,681.73M,283.16M,398.57M,300.99M,,13.00M,-13.00M,,300.99M,97.58M,13.00M,-13.00M,,-13.00M,84.58M,29.50M,55.08M,,55.08M,55.08M,134.45M,36.87M,97.58M,0.44,0.0,0.44,0.44,0.43,0.0,0.43,0.43,126.18M,127.90M,0.25
2010-07,668.76M,668.76M,282.01M,386.75M,273.15M,,11.12M,-11.12M,,273.15M,113.61M,11.12M,-11.12M,,-11.12M,102.48M,34.81M,67.68M,,67.68M,67.68M,151.81M,38.20M,113.61M,0.53,0.0,0.53,0.53,0.53,0.0,0.53,0.53,126.90M,128.38M,0.25
2010-04,633.59M,633.59M,267.61M,365.98M,260.56M,,12.14M,-12.14M,,260.56M,105.42M,12.14M,-12.14M,,-12.14M,93.28M,28.85M,64.42M,,64.42M,64.42M,139.51M,34.09M,105.42M,0.51,0.0,0.51,0.51,0.5,0.0,0.5,0.5,126.70M,128.54M,0.2
2010-01,981.38M,981.38M,405.64M,575.74M,351.14M,,,-19.14M,,351.14M,224.61M,,-19.14M,,-19.14M,209.99M,71.78M,138.21M,2.16M,140.37M,138.21M,265.31M,36.18M,229.13M,1.11,0.02,1.11,1.13,1.1,0.02,1.1,1.11,125.10M,127.26M,0.17
2009-10,598.21M,598.21M,270.41M,327.80M,260.99M,,,-11.33M,,260.99M,66.82M,,-11.33M,,-11.33M,55.49M,12.18M,43.31M,0.03M,43.34M,43.31M,100.87M,34.06M,66.82M,0.35,0.0,0.35,0.35,0.34,0.0,0.34,0.35,124.20M,125.58M,0.17
2009-07,612.49M,612.49M,275.04M,337.45M,247.90M,,12.13M,-12.13M,,247.90M,89.55M,12.13M,-12.13M,,-12.13M,77.42M,20.70M,56.72M,0.059M,56.78M,56.72M,125.77M,36.22M,89.55M,0.46,0.0,0.46,0.46,0.46,0.0,0.46,0.46,124.08M,124.52M,0.17
2009-04,517.62M,517.62M,228.40M,289.22M,229.70M,,12.44M,-12.44M,,229.70M,59.51M,12.44M,-12.44M,,-12.44M,47.07M,19.63M,27.44M,-3.102M,24.34M,27.44M,92.48M,32.96M,59.51M,0.22,-0.02,0.22,0.2,0.22,-0.02,0.22,0.2,124.00M,124.16M,0.17
2009-01,837.59M,837.59M,340.17M,497.42M,327.44M,,,-48.27M,,327.44M,169.98M,,-48.27M,,-48.27M,62.54M,25.12M,37.41M,-6.328M,31.08M,37.41M,108.38M,36.16M,72.22M,0.3,-0.05,0.3,0.25,0.3,-0.05,0.3,0.25,123.37M,124.48M,0.17
2008-10,616.15M,616.15M,269.03M,347.12M,265.62M,,,14.45M,,265.62M,81.50M,,14.45M,,14.45M,67.05M,21.50M,45.56M,-1.779M,43.78M,45.56M,114.00M,32.50M,81.50M,0.37,-0.02,0.37,0.35,0.36,-0.02,0.36,0.35,123.40M,124.90M,0.17
2008-07,729.63M,729.63M,307.76M,421.88M,287.55M,,3.34M,-3.34M,,287.55M,134.33M,3.34M,-3.34M,,-3.34M,130.99M,48.35M,82.64M,-1.87M,80.77M,82.64M,168.08M,33.75M,134.33M,0.66,-0.02,0.66,0.64,0.64,-0.02,0.64,0.63,125.71M,128.18M,0.17
2008-04,668.15M,668.15M,286.90M,381.25M,277.94M,,,-1.508M,,277.94M,103.31M,,-1.508M,,-1.508M,101.80M,37.41M,64.39M,,64.39M,64.39M,136.73M,33.42M,103.31M,0.51,0.0,0.51,0.51,0.5,0.0,0.5,0.5,126.46M,128.77M,0.15
2008-01,1.053B,1.053B,443.30M,609.85M,411.43M,24.73M,,,,411.43M,198.43M,,,24.73M,,198.44M,71.05M,127.39M,0.00,127.39M,111.51M,232.13M,33.70M,198.43M,0.97,-0.01,0.8475,0.96,0.94,-0.01,0.8204,0.94,129.64M,132.73M,0.15
2007-10,627.32M,627.32M,285.78M,341.55M,288.40M,102.74M,,,,288.40M,53.14M,,,102.74M,,155.89M,52.79M,103.10M,-1.555M,101.55M,35.15M,85.66M,32.51M,53.14M,0.76,-0.01,0.2608,0.75,0.74,-0.01,0.2528,0.73,136.12M,139.49M,0.15
2007-07,662.56M,662.56M,296.45M,366.11M,259.12M,-2.748M,,,,259.12M,106.99M,,,-2.748M,,104.25M,41.03M,63.22M,-26.25M,36.97M,64.89M,138.02M,31.02M,106.99M,0.46,-0.19,0.4722,0.27,0.45,-0.19,0.4619,0.26,136.74M,140.32M,0.12
2007-04,595.73M,595.73M,261.77M,333.96M,246.04M,-3.085M,,,,246.04M,87.92M,,,-3.085M,,84.83M,31.00M,53.83M,0.254M,54.08M,55.78M,118.62M,30.71M,87.92M,0.39,0.01,0.4043,0.4,0.39,0.0,0.404,0.39,136.49M,139.72M,0.1
2007-01,958.89M,958.89M,374.99M,583.90M,321.30M,23.43M,,,,321.30M,262.60M,,,23.43M,,259.96M,93.12M,166.84M,-7.372M,159.47M,151.80M,292.45M,29.85M,262.60M,1.07,-0.04,0.9591,1.03,1.06,-0.05,0.9514,1.0,135.58M,138.42M,0.1
2006-10,531.83M,531.83M,244.48M,287.35M,239.70M,1.294M,,,,239.70M,47.66M,,,1.294M,,48.95M,16.32M,32.62M,-3.483M,29.14M,31.76M,74.84M,27.19M,47.66M,0.24,-0.03,0.2337,0.21,0.23,-0.03,0.2238,0.21,136.75M,138.87M,0.1
2006-07,554.66M,554.66M,244.21M,310.44M,233.56M,-5.214M,,,,233.56M,76.88M,,,-5.214M,,71.66M,26.95M,44.71M,-3.57M,41.14M,47.97M,106.79M,29.91M,76.88M,0.32,-0.02,0.3434,0.3,0.32,-0.03,0.343,0.29,139.17M,141.18M,0.1
2006-04,539.24M,539.24M,238.12M,301.13M,226.88M,-3.975M,,,,226.88M,74.25M,,,-3.975M,,70.27M,27.13M,43.14M,,43.14M,45.58M,102.59M,28.35M,74.25M,0.3,0.0,0.3172,0.3,0.3,0.0,0.3169,0.3,141.94M,144.37M,0.08
2006-01,776.08M,776.08M,305.74M,470.34M,262.89M,20.68M,,,,262.89M,207.45M,,,20.68M,,205.23M,59.35M,145.88M,,140.26M,131.19M,235.18M,27.73M,207.45M,1.02,-0.04,0.9168,0.98,1.0,-0.04,0.8993,0.96,142.39M,145.90M,0.08
2005-10,500.10M,500.10M,229.58M,270.53M,230.74M,-4.289M,,,,230.74M,39.80M,,,-4.289M,,35.51M,11.72M,23.79M,,23.79M,26.66M,66.42M,26.62M,39.80M,0.17,0.0,0.1902,0.17,0.16,0.0,0.1798,0.16,142.28M,144.99M,0.08
2005-07,526.70M,526.70M,234.62M,292.08M,218.02M,-3.858M,,,,218.02M,74.07M,,,-3.858M,,70.21M,19.66M,50.55M,,50.55M,53.33M,101.18M,27.11M,74.07M,0.35,0.0,0.3694,0.35,0.35,0.0,0.3692,0.35,142.99M,144.93M,0.08
2005-04,509.90M,509.90M,235.08M,274.82M,208.51M,-4.206M,,,,208.51M,66.31M,,,-4.206M,,62.10M,22.05M,40.06M,,40.06M,42.77M,94.30M,27.99M,66.31M,0.28,0.0,0.2988,0.28,0.27,0.0,0.2885,0.27,144.25M,146.28M,0.06
2005-01,810.12M,810.12M,348.44M,461.68M,321.38M,213.02M,,,,321.38M,140.30M,,,213.02M,,331.32M,114.28M,217.04M,,217.04M,77.49M,168.78M,28.48M,140.30M,1.48,0.0,0.5166,1.48,1.46,0.0,0.509,1.46,144.85M,146.73M,0.06
2004-10,461.15M,461.15M,215.62M,245.53M,212.16M,-5.276M,,,,212.16M,33.36M,,,-5.276M,,28.09M,10.73M,17.36M,,17.36M,20.62M,60.33M,26.97M,33.36M,0.12,0.0,0.1423,0.12,0.12,0.0,0.1421,0.12,145.94M,147.74M,0.06
2004-07,476.60M,476.60M,212.11M,264.49M,206.32M,-4.798M,,,,206.32M,58.17M,,,-4.798M,,53.37M,20.28M,33.09M,,33.09M,36.06M,85.97M,27.80M,58.17M,0.23,0.0,0.2503,0.23,0.22,0.0,0.24,0.22,146.37M,148.59M,0.06
2004-04,456.96M,456.96M,198.08M,258.88M,196.18M,-3.324M,,,,196.18M,62.70M,,,-3.324M,,59.37M,22.56M,36.81M,,36.81M,38.87M,87.64M,24.94M,62.70M,0.25,0.0,0.264,0.25,0.25,0.0,0.2638,0.25,146.82M,149.29M,0.05
2004-01,731.59M,731.59M,296.54M,435.04M,256.16M,12.77M,,,,256.16M,178.88M,,,12.77M,,176.74M,66.27M,110.48M,,110.48M,102.50M,202.70M,23.82M,178.88M,0.7488,,0.6939,0.7488,0.74,0.0,0.6867,0.74,145.41M,149.82M,0.05
2003-10,430.12M,430.12M,192.40M,237.72M,188.51M,-4.933M,,,,188.51M,49.22M,,,-4.933M,,44.28M,16.25M,28.03M,,28.03M,31.15M,72.00M,22.79M,49.22M,0.19,0.0,0.2114,0.19,0.19,0.0,0.2109,0.19,146.05M,149.08M,0.05
2003-07,442.50M,442.50M,187.52M,254.97M,186.52M,-3.45M,,,,186.52M,68.45M,,,-3.45M,,65.00M,23.86M,41.15M,,41.15M,43.33M,89.96M,21.50M,68.45M,0.28,0.0,0.295,0.28,0.28,0.0,0.2947,0.28,145.29M,148.16M,0.05
2003-04,395.84M,395.84M,166.20M,229.64M,170.68M,-2.313M,,,,170.68M,58.97M,,,-2.313M,,56.66M,20.79M,35.86M,,35.86M,37.33M,80.34M,21.37M,58.97M,0.25,0.0,0.2601,0.25,0.24,0.0,0.2499,0.24,144.89M,147.44M,0.04
2003-01,619.01M,619.01M,249.60M,369.41M,217.77M,9.621M,,,,217.77M,151.64M,,,9.621M,,146.13M,56.84M,89.29M,,89.29M,83.41M,173.36M,21.72M,151.64M,0.62,0.0,0.5794,0.62,0.6,0.0,0.5601,0.6,144.96M,147.23M,0.04
2002-10,366.03M,366.03M,150.22M,215.81M,165.90M,-5.446M,,,,165.90M,49.91M,,,-5.446M,,44.47M,9.283M,35.18M,,35.18M,39.49M,69.06M,19.14M,49.91M,0.24,0.0,0.2697,0.24,0.24,0.0,0.2691,0.24,145.14M,148.07M,0.04
2002-07,374.43M,374.43M,154.62M,219.81M,160.73M,-4.554M,,,,160.73M,59.08M,,,-4.554M,,54.52M,21.81M,32.71M,,32.71M,35.45M,78.20M,19.13M,59.08M,0.22,0.0,0.2387,0.22,0.22,0.0,0.2382,0.22,145.78M,149.73M,0.04
2002-04,347.13M,347.13M,140.71M,206.42M,147.85M,-4.052M,,,,147.85M,58.57M,,,-4.052M,,54.51M,21.80M,32.71M,,32.71M,35.14M,76.58M,18.01M,58.57M,0.22,0.0,0.2367,0.22,0.22,0.0,0.2362,0.22,145.43M,150.18M,0.04
2002-01,565.76M,565.76M,221.13M,344.63M,195.66M,-11.06M,,,,195.66M,148.96M,,,-11.06M,,137.91M,55.16M,82.74M,,82.74M,89.38M,166.95M,17.99M,148.96M,0.57,0.0,0.6158,0.57,0.55,0.0,0.5946,0.55,144.91M,148.93M,0.04
2001-10,333.07M,333.07M,140.24M,192.84M,146.80M,-5.993M,,,,146.80M,46.04M,,,-5.993M,,40.05M,16.02M,24.03M,,24.03M,27.62M,62.17M,16.13M,46.04M,0.17,0.0,0.1948,0.17,0.16,0.0,0.184,0.16,145.27M,150.11M,0.04
2001-07,371.30M,371.30M,155.43M,215.87M,150.20M,-5.581M,,,,150.20M,65.67M,,,-5.581M,,60.09M,24.04M,36.05M,,36.05M,39.40M,80.83M,15.16M,65.67M,0.25,0.0,0.2729,0.25,0.24,0.0,0.2621,0.24,146.04M,151.75M,0.04
2001-04,336.40M,336.40M,130.90M,205.50M,140.92M,2.047M,,,-15.36M,140.92M,64.58M,,,2.047M,,51.27M,20.51M,30.76M,,30.76M,29.53M,79.94M,15.36M,64.58M,0.21,0.0,0.2016,0.21,0.2,0.0,0.1919,0.2,145.92M,151.30M,0.04
2001-01,576.39M,576.39M,188.77M,387.62M,197.01M,13.46M,,,,243.75M,143.87M,,,13.46M,,141.12M,56.45M,84.67M,,84.67M,76.60M,157.25M,13.38M,143.87M,0.58,0.0,0.5247,0.58,0.56,0.0,0.5068,0.56,145.90M,151.70M,0.04
2000-10,372.07M,372.07M,165.71M,206.36M,143.31M,-2.516M,,,,143.31M,63.05M,,,-2.516M,,60.54M,24.22M,36.32M,,36.32M,37.83M,75.04M,11.99M,63.05M,0.25,0.0,0.2604,0.25,0.24,0.0,0.2499,0.24,145.81M,152.14M,0.04
2000-07,374.45M,374.45M,161.99M,212.45M,145.38M,-1.804M,,,,145.38M,67.08M,,,-1.804M,,65.27M,26.11M,39.16M,,39.16M,40.25M,77.89M,10.81M,67.08M,0.27,0.0,0.2775,0.27,0.26,0.0,0.2671,0.26,145.16M,151.55M,0.04
2000-04,343.25M,343.25M,137.17M,206.08M,142.12M,-2.685M,,,,152.69M,53.40M,,,-2.685M,,50.71M,20.28M,30.42M,,30.42M,32.04M,63.96M,10.56M,53.40M,0.21,0.0,0.2211,0.21,0.2,0.0,0.2106,0.2,145.10M,151.84M,0.03
2000-01,569.64M,569.64M,238.17M,331.47M,170.90M,12.41M,,,,185.54M,145.93M,,,12.41M,,143.36M,58.78M,84.58M,,84.58M,77.13M,160.58M,14.64M,145.93M,0.59,0.0,0.5388,0.59,0.56,0.0,0.5109,0.56,145.59M,151.59M,0.03
1999-10,322.70M,322.70M,131.50M,191.20M,142.00M,-2.30M,,,,151.70M,39.50M,,,-2.30M,,37.30M,15.30M,22.00M,,22.00M,23.38M,49.20M,9.70M,39.50M,0.15,0.0,0.1594,0.15,0.15,0.0,0.1594,0.15,146.67M,146.67M,0.03
1999-07,307.10M,307.10M,123.00M,184.10M,133.10M,-2.30M,,,,142.10M,42.00M,,,-2.30M,,39.60M,16.60M,23.00M,,23.00M,24.38M,51.00M,9.00M,42.00M,0.16,0.0,0.1696,0.16,0.16,0.0,0.1696,0.16,143.75M,143.75M,0.03
1999-04,272.28M,272.28M,115.80M,156.48M,118.90M,-1.60M,,,,127.10M,29.38M,,,-1.60M,,27.90M,11.70M,16.20M,,16.20M,17.16M,37.58M,8.20M,29.38M,0.12,0.0,0.1271,0.12,0.11,0.0,0.1165,0.11,135.00M,147.27M,0.0225
