,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-12,,55.68M,,55.68M,,,,,30.36M,,86.04M,,,,,,,,,,126.82M,126.82M,75.91M,,,,166.57M,7.375B,7.461B,,96.09M,5.816M,,,101.90M,101.90M,,94.00M,94.00M,94.00M,,195.90M,,4.460B,,4.460B,,,,,373.06M,,81.03M,4.541B,4.737B,,1.26M,-253.28M,2.569B,,33.29M,2.351B,,AOR,Restated
2017-09,,63.73M,,63.73M,,,4.618M,,17.28M,,85.63M,,,,,,,,,,,,78.51M,,,,152.73M,7.001B,7.087B,,114.25M,,,,114.25M,114.25M,,25.00M,25.00M,25.00M,,139.25M,,4.288B,,4.288B,,,,,358.46M,,85.97M,4.374B,4.513B,,1.26M,-370.96M,2.567B,,17.73M,2.215B,,AOR,Restated
2017-06,,31.65M,,31.65M,,,4.676M,,16.76M,,53.09M,,,,,,,,,,,,79.29M,,,,122.29M,6.984B,7.037B,,92.68M,,,,92.68M,92.68M,,128.00M,128.00M,128.00M,,220.68M,,4.161B,,4.161B,,,,,356.89M,,77.39M,4.238B,4.459B,,1.26M,-366.44M,2.570B,,17.00M,2.222B,,AOR,Restated
2017-03,,29.31M,,29.31M,,,6.251M,,12.23M,,47.79M,,,,,,,,,,,,79.38M,,,,136.59M,6.987B,7.034B,,77.11M,,,,77.11M,77.11M,,363.00M,363.00M,363.00M,,440.11M,,3.928B,,3.928B,,,,,349.70M,,79.98M,4.008B,4.449B,,1.259M,-355.19M,2.567B,,22.82M,2.236B,,AOR,Restated
2016-12,,43.86M,,43.86M,,,16.61M,,13.88M,,74.35M,,,,,,,,,,123.97M,123.97M,79.57M,,,,167.08M,7.017B,7.091B,,101.39M,,,,101.39M,101.39M,,365.00M,365.00M,365.00M,,466.39M,,3.941B,,3.941B,,,,,351.27M,,87.67M,4.029B,4.495B,,1.259M,-339.26M,2.566B,,16.77M,2.245B,,AOR,Restated
2016-09,,18.69M,,18.69M,,,9.156M,,16.44M,,44.29M,,,,,,,,,,,,85.91M,,,,153.09M,6.698B,6.742B,,102.47M,,,,102.47M,102.47M,,166.00M,166.00M,166.00M,,268.47M,,3.826B,,3.826B,,,,,330.55M,,118.32M,3.944B,4.213B,,1.258M,-323.47M,2.562B,,-41.09M,2.199B,,AOR,Restated
2016-06,,41.06M,,41.06M,,,0.485M,,15.23M,,56.78M,,,,,,,,,,,,99.58M,,,,137.86M,6.402B,6.459B,,91.19M,,,,91.19M,91.19M,,88.00M,88.00M,88.00M,,179.19M,,3.709B,,3.709B,,,,,328.51M,,127.59M,3.837B,4.016B,,1.252M,-343.44M,2.511B,,-53.84M,2.115B,,AOR,Restated
2016-03,,49.75M,,49.75M,,,15.74M,,32.00M,,97.50M,,,,,,,,,,,,89.22M,,,,170.74M,6.194B,6.291B,,77.11M,,,,77.11M,77.11M,,116.00M,116.00M,116.00M,,193.11M,,3.566B,,3.566B,,,,,282.32M,,106.74M,3.673B,3.866B,,1.251M,-328.80M,2.507B,,-35.94M,2.143B,,AOR,Restated
2015-12,,75.80M,,75.80M,,,2.205M,,30.74M,,108.74M,,,,,,,,,,104.77M,104.77M,103.01M,,,,170.35M,5.963B,6.071B,,82.69M,,2.223M,,84.92M,84.92M,,36.00M,36.00M,36.00M,,120.92M,5.51M,3.500B,,3.500B,10.73M,35.90M,46.63M,6.991M,283.53M,,19.13M,3.578B,3.699B,,1.241M,-337.57M,2.432B,,-6.352M,2.089B,,AOR,Restated
2015-09,,1.116B,,1.116B,,,3.016M,,228.63M,,1.347B,,,,,,,,,,,,84.67M,,,,118.74M,4.656B,6.003B,,76.30M,,,,76.30M,76.30M,,185.00M,185.00M,185.00M,,261.30M,,3.283B,,3.283B,,,,,278.05M,,71.39M,3.354B,3.615B,,1.233M,-273.02M,2.402B,,-20.81M,2.109B,,AOR,Restated
2015-06,,175.89M,,175.89M,,,2.071M,,25.42M,,203.39M,,,,,,,,,,,,84.74M,,,,93.57M,4.630B,4.834B,,69.38M,,,,69.38M,69.38M,,0.00,0.00,0.00,,69.38M,,2.288B,,2.288B,,,,,279.10M,,52.64M,2.341B,2.410B,,1.228M,-272.13M,2.417B,,-1.819M,2.144B,,AOR,Restated
2015-03,,45.30M,,45.30M,,,3.136M,,35.35M,,83.79M,,,,,,,,,,,,85.60M,,,,96.90M,4.380B,4.464B,,71.55M,,,,71.55M,71.55M,,99.00M,99.00M,99.00M,,170.55M,,2.333B,,2.333B,,,,,174.18M,,53.62M,2.387B,2.557B,,1.164M,-258.73M,1.998B,,-7.80M,1.733B,,AOR,Restated
2014-12,,47.66M,,47.66M,31.95M,9.661M,53.38M,8.891M,25.24M,,135.18M,,,,24.91M,,,24.91M,-15.18M,9.73M,88.12M,88.12M,89.30M,,3.583M,1.363M,,4.247B,4.382B,,65.52M,,0.672M,,66.19M,66.19M,,138.00M,138.00M,138.00M,,204.19M,8.033M,2.212B,0.713M,2.212B,5.367M,28.48M,33.85M,3.533M,174.56M,,7.916M,2.266B,2.470B,,1.163M,-257.74M,1.995B,,-1.484M,1.737B,,AOR,Restated
2014-09,,49.22M,,49.22M,,,12.28M,,26.20M,,87.70M,,,,,,,,,,,,86.23M,,,,97.20M,4.138B,4.226B,,73.53M,,,,73.53M,73.53M,,40.00M,40.00M,40.00M,,113.53M,,2.139B,,2.139B,,,,,194.27M,,39.89M,2.179B,2.292B,,1.16M,-248.18M,1.983B,,3.735M,1.739B,,AOR,Restated
2014-06,,53.94M,,53.94M,,,12.64M,,20.65M,,87.24M,,,,,,,,,,,,86.79M,,,,93.82M,4.122B,4.209B,,65.54M,,,,65.54M,65.54M,,10.00M,10.00M,10.00M,,75.54M,,2.154B,,2.154B,,,,,194.16M,,49.02M,2.203B,2.278B,,1.16M,-247.87M,1.981B,,2.073M,1.737B,,AOR,Restated
2014-03,,47.02M,,47.02M,,,8.966M,,20.03M,,76.01M,,,,,,,,,,,,89.33M,,,,95.48M,4.047B,4.123B,,52.89M,,,,52.89M,52.89M,,87.00M,87.00M,87.00M,,139.89M,,2.023B,,2.023B,,,,,172.91M,,37.54M,2.060B,2.200B,,1.158M,-235.01M,1.977B,,7.528M,1.750B,,AOR,Restated
2013-12,,126.72M,,126.72M,26.28M,5.747M,41.41M,8.355M,21.45M,,197.94M,,,,21.77M,,,21.77M,-12.80M,8.969M,80.97M,80.97M,91.72M,,13.63M,21.88M,,3.779B,3.977B,,60.60M,,0.671M,,61.27M,61.27M,,0.00,0.00,0.00,,61.27M,0.133M,1.947B,2.076M,1.949B,3.481M,24.04M,27.52M,3.684M,173.42M,,3.915M,1.984B,2.045B,,1.157M,-226.00M,1.973B,,10.16M,1.758B,,AOR,Restated
2013-09,,81.70M,,81.70M,,,7.928M,,22.80M,,112.43M,,,,,,,,,,,,100.46M,,,,81.68M,3.406B,3.518B,,58.25M,,,,58.25M,58.25M,,0.00,0.00,0.00,,58.25M,,1.757B,,1.757B,,,,,120.86M,33.71M,34.05M,1.825B,1.883B,,1.112M,-256.64M,1.767B,,3.146M,1.514B,,AOR,Restated
2013-06,,206.93M,,206.93M,,,3.258M,,20.50M,,230.69M,,,,,,,,,,,,101.70M,,,,72.57M,3.202B,3.433B,,46.98M,,,,46.98M,46.98M,,0.00,0.00,0.00,,46.98M,,1.764B,,1.764B,,,,,59.38M,,31.86M,1.796B,1.843B,,1.112M,-241.39M,1.766B,,5.108M,1.530B,,AOR,Restated
2013-03,,35.58M,,35.58M,,,9.096M,,20.16M,,64.83M,,,,,,,,,,,,102.10M,,,,66.66M,3.164B,3.229B,,45.44M,,,,45.44M,45.44M,,100.00M,100.00M,100.00M,,145.44M,,1.484B,,1.484B,,,,,53.60M,,46.61M,1.531B,1.676B,,1.109M,-231.37M,1.743B,,-12.76M,1.500B,,AOR,Restated
2012-12,,30.78M,,30.78M,19.88M,,34.57M,7.934M,16.98M,,90.26M,,,,15.09M,,,15.09M,-10.22M,4.867M,63.44M,63.44M,109.90M,,0.00,23.29M,,3.133B,3.223B,,52.30M,,1.414M,,53.71M,53.71M,,85.00M,85.00M,85.00M,,138.71M,,1.493B,3.826M,1.496B,0.00,20.75M,20.75M,15.23M,53.52M,,7.028M,1.539B,1.678B,,1.107M,-235.06M,1.740B,,-14.27M,1.492B,,AOR,Restated
2012-09,,43.61M,,43.61M,,,10.93M,,23.38M,,77.92M,,,,,,,,,2.742B,,,121.27M,,,,71.79M,2.935B,3.013B,,,,,,,49.61M,3.638M,240.00M,243.64M,243.64M,39.40M,332.64M,,1.346B,,1.346B,,,,,55.64M,,3.638M,1.350B,1.683B,,1.043M,-243.55M,1.532B,,-14.96M,1.275B,,AOR,Restated
2012-06,,185.50M,,185.50M,,,15.98M,,37.23M,,238.71M,,,,,,,,,2.278B,,,125.73M,,,,65.57M,2.470B,2.708B,,,,,,,47.12M,3.958M,100.00M,103.96M,103.96M,,151.08M,,1.208B,,1.208B,,,,,55.08M,,38.62M,1.247B,1.398B,,1.041M,-261.29M,1.527B,,-11.52M,1.256B,,AOR,Restated
2012-03,,37.58M,,37.58M,,,15.42M,,24.27M,,77.26M,,,,,,,,,2.267B,,,125.34M,,,,54.00M,2.446B,2.523B,,,,,,,38.03M,4.273M,135.00M,139.27M,139.27M,,177.30M,,1.233B,,1.233B,,,,,55.24M,,32.92M,1.266B,1.443B,,0.95M,-262.87M,1.295B,,-8.142M,1.025B,,AOR,Restated
2011-12,,26.48M,,26.48M,15.54M,,36.50M,5.265M,25.77M,,94.02M,,,,12.15M,,,12.15M,-8.847M,3.299M,46.87M,46.87M,134.00M,,,18.99M,,2.424B,2.518B,,46.35M,,,,46.35M,46.35M,,215.00M,215.00M,215.00M,,261.35M,,1.149B,5.828M,1.154B,,14.91M,14.91M,8.311M,54.81M,,4.708M,1.182B,1.444B,,0.948M,-264.09M,1.290B,,-7.936M,1.019B,,AOR,Restated
2011-09,,33.90M,,33.90M,,,61.18M,,30.35M,,125.43M,,,,,2.052B,8.621M,2.060B,,2.060B,,,134.22M,,,,54.39M,2.249B,2.374B,,,,,,,39.89M,,166.00M,166.00M,166.00M,,205.89M,,1.076B,,1.076B,,,,,54.69M,,30.05M,1.106B,1.312B,,0.943M,-267.12M,1.281B,,-7.819M,1.007B,,AOR,Restated
2011-06,,35.19M,,35.19M,,,8.49M,,32.70M,,76.38M,,,,,2.039B,6.80M,2.046B,,2.046B,,,138.00M,,,,50.86M,2.234B,2.311B,,,,,,,32.71M,,129.00M,129.00M,129.00M,,161.71M,,1.061B,,1.061B,,,,,54.67M,,28.96M,1.090B,1.252B,,0.942M,-269.17M,1.279B,,-6.436M,1.004B,,AOR,Restated
2011-03,,42.56M,,42.56M,,,9.334M,,40.53M,,92.42M,,,,,1.958B,13.17M,1.971B,,1.971B,,,141.52M,,,,47.76M,2.161B,2.253B,,,,,,,34.33M,,125.00M,125.00M,125.00M,,159.33M,,1.121B,,1.121B,,,,,56.34M,,25.63M,1.147B,1.306B,,0.885M,-266.59M,1.161B,,-4.678M,890.80M,,AOR,Restated
2010-12,,46.75M,,46.75M,,,10.06M,,30.50M,,87.31M,0.00,518.29M,1.642B,,38.41M,37.08M,2.235B,-263.04M,1.972B,,,140.56M,,,,49.55M,2.163B,2.250B,,,,,,,35.24M,,170.47M,170.47M,170.47M,,205.71M,,1.079B,,1.079B,,,,,57.67M,,26.38M,1.105B,1.311B,,0.876M,-262.51M,1.149B,,-5.787M,881.40M,,AOR,Restated
2010-09,,21.80M,,21.80M,,,24.59M,,32.89M,49.05M,128.33M,,,,,,,,,,,,2.047B,,,,,2.047B,2.175B,,,,,,,37.44M,,,,,32.24M,69.69M,,1.171B,,1.171B,,,,,57.45M,,,1.171B,1.241B,,0.875M,-262.67M,1.147B,,-8.53M,876.58M,,AOR,Restated
2010-06,,28.35M,,28.35M,,,20.59M,,33.70M,47.17M,129.82M,,,,,,,,,,,,2.049B,,,,,2.049B,2.179B,,,,,,,32.19M,,,,,24.78M,56.98M,,1.181B,,1.181B,,,,,61.73M,,,1.181B,1.238B,,0.875M,-261.58M,1.144B,,-4.689M,879.04M,,AOR,Restated
2010-03,,108.74M,,108.74M,,,23.00M,,32.96M,50.40M,215.10M,,,,,,,,,,,,2.022B,,,,,2.022B,2.237B,,,,,,,33.90M,,,,,23.00M,56.90M,,1.240B,,1.240B,,,,,61.79M,,,1.240B,1.297B,,0.871M,-259.01M,1.139B,,-2.242M,878.52M,,AOR,Restated
2009-12,,131.95M,,131.95M,,,5.114M,,39.21M,,176.27M,,,,,,,,,,,,2.180B,,,,50.98M,2.231B,2.408B,,,,,,,33.39M,,,,,,33.39M,,1.403B,,1.403B,,,,,62.04M,,24.97M,1.428B,1.461B,,0.867M,-253.88M,1.138B,,-1.056M,884.18M,,AOR,Restated
2009-09,,100.99M,,100.99M,,,3.377M,,42.08M,47.72M,194.18M,,,,,,,,,,,,2.175B,,,,,2.175B,2.369B,,,,,,,40.64M,,,,,25.22M,65.86M,,1.355B,,1.355B,,,,,65.12M,,,1.355B,1.420B,,0.864M,-248.53M,1.133B,,-1.584M,883.61M,,AOR,Restated
2009-06,,131.55M,,131.55M,,,5.666M,,40.93M,42.49M,220.63M,,,,,,,,,,,,2.162B,,,,,2.162B,2.382B,,,,,,,34.46M,,,,,26.82M,61.28M,,1.375B,,1.375B,,,,,67.35M,,,1.375B,1.436B,,0.864M,-254.50M,1.132B,,0.189M,878.63M,,AOR,Restated
2009-03,,54.48M,,54.48M,,,5.035M,,34.88M,41.00M,135.39M,,,,,,,,,,,,2.168B,,,,,2.168B,2.304B,,,,,,,33.34M,,,,,22.30M,55.64M,,1.295B,,1.295B,,,,,60.95M,,,1.295B,1.351B,,0.861M,-238.88M,1.131B,,-1.045M,892.09M,,AOR,Restated
2008-12,,63.97M,,63.97M,,,11.34M,,38.68M,42.58M,156.56M,,,,,,,,,,,,2.134B,,,,,2.134B,2.291B,,,,,,,35.13M,,,,,22.27M,57.40M,,1.287B,,1.287B,,,,,68.02M,,,1.287B,1.344B,,0.858M,-253.05M,1.131B,,0.00,878.77M,,AOR,Restated
2008-09,,112.08M,,112.08M,,,11.59M,,38.26M,37.15M,199.08M,,,,,,,,,,,,2.045B,,,,,2.045B,2.244B,,,,,,,36.48M,,,,,18.86M,55.34M,,1.300B,,1.300B,,,,,59.52M,,,1.300B,1.355B,,0.824M,-235.09M,1.063B,,0.00,829.14M,,AOR,Restated
2008-06,,185.84M,,185.84M,,,9.238M,,37.15M,35.78M,268.00M,,,,,,,,,,,,1.981B,,,,,1.981B,2.249B,,,,,,,33.61M,,,,,19.09M,52.70M,,1.301B,,1.301B,,,,,60.44M,,,1.301B,1.353B,,0.819M,-226.84M,1.061B,,0.00,835.47M,,AOR,Restated
2008-03,,21.01M,0.00,21.01M,,,9.529M,,34.21M,,64.75M,,,,,,,1.853B,,1.853B,,,94.71M,,,,,1.948B,2.049B,,,,,,,34.79M,,,,,,34.79M,,1.321B,,1.321B,,,,,62.65M,,,1.321B,1.374B,,0.664M,-215.25M,827.47M,,,612.89M,,AOR,Restated
2007-12,,17.38M,,17.38M,,,7.386M,,34.45M,36.56M,95.77M,,,,,,,,,,,,1.958B,,,,,1.958B,2.054B,,,,,,,31.35M,,,,,18.06M,49.40M,,1.320B,,1.320B,,,,,64.98M,,,1.320B,1.369B,,0.658M,-205.35M,826.03M,,-1.415M,619.92M,,AOR,Restated
2007-09,,41.83M,49.20M,91.03M,,,9.447M,,36.64M,,137.12M,,,,,,,1.757B,,1.757B,,,89.88M,,,,,1.847B,2.020B,,,,,,,33.95M,,,,,,33.95M,,1.273B,,1.273B,,,,,36.97M,,,1.273B,1.355B,,0.653M,-198.49M,825.13M,,,627.29M,,AOR,Restated
2007-06,,45.79M,90.33M,136.12M,,,8.321M,,35.53M,,179.97M,,,,,,,1.677B,,1.677B,,,91.30M,,,,,1.768B,1.984B,,,,,,,25.36M,,,,,,25.36M,,1.245B,,1.245B,,,,,37.30M,,,1.245B,1.315B,,0.649M,-193.47M,824.09M,,,631.27M,,AOR,Restated
2007-03,,35.11M,286.36M,321.47M,,,5.966M,,46.09M,,373.53M,,,,,,,1.451B,,1.451B,,,92.52M,,,,,1.544B,1.952B,,,,,,,6.941M,,,,,,6.941M,,1.243B,,1.243B,,,,,34.66M,,,1.243B,1.280B,,0.644M,-187.42M,823.35M,,,636.58M,,AOR,Restated
2006-12,,70.80M,0.00,70.80M,,,15.88M,,,,86.68M,,,,,,,1.417B,,1.417B,,,88.12M,,,,,1.506B,1.670B,,,,,,,25.70M,,,,,,25.70M,,948.17M,,948.17M,,,,,35.16M,,,948.17M,991.11M,,0.642M,-179.27M,822.18M,,,643.56M,,AOR,Restated
2006-09,,151.69M,,151.69M,,,7.064M,,16.96M,,175.70M,,,,,,,1.370B,,1.370B,,,89.70M,1.688M,,,,1.462B,1.669B,,,,,,,6.776M,,,,,,6.776M,,945.19M,,945.19M,,,,,35.53M,,,945.19M,981.92M,,0.642M,-171.41M,821.85M,,,651.08M,,AOR,Restated
2006-06,,4.25M,,4.25M,,,11.79M,,18.38M,,34.43M,,,,,,,1.323B,,1.323B,,,90.57M,1.693M,,,,1.415B,1.478B,,,,,,,4.486M,,,,,,4.486M,,950.27M,,950.27M,,,,,34.77M,,,950.27M,982.08M,,0.518M,-163.87M,624.46M,,,461.11M,,AOR,Restated
2006-03,,11.06M,,11.06M,,,16.59M,,16.76M,,44.41M,,,,,,,1.251B,,1.251B,,,89.65M,12.00M,,,,1.353B,1.428B,,,,,,,7.326M,,,,,,7.326M,,892.79M,,892.79M,,,,,35.42M,,,892.79M,923.71M,,0.518M,-155.18M,623.80M,,,469.14M,,AOR,Restated
2005-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.420B,,,,,,,,,,,,,,,,,,,,,,36.24M,,,,903.83M,,,,,,,480.13M,,AOR,Restated
2005-09,,7.093M,,7.093M,,,31.10M,,22.10M,,60.29M,,,,,,,1.201B,,1.201B,,,96.66M,38.01M,,,,1.335B,1.430B,,,,,,,2.952M,,,,,,2.952M,,1.054B,,1.054B,,,,,36.38M,,,1.054B,1.092B,,0.379M,-132.12M,435.57M,-2.56M,-2.56M,301.28M,,AOR,Restated
2005-06,,95.04M,,95.04M,,,3.264M,,5.996M,,104.30M,,,,,,,763.57M,,763.57M,,,7.773M,,,,,771.34M,901.91M,,,,,,,1.281M,,,,,,1.281M,,559.10M,,559.10M,,,,,20.27M,,,559.10M,572.72M,,0.374M,-120.63M,429.18M,,,308.92M,,AOR,Restated
2005-03,,12.29M,,12.29M,,,2.254M,,5.51M,,20.05M,,,,,,,755.43M,,755.43M,,,6.121M,,,,,761.55M,797.15M,,,,,,,1.619M,,,48.50M,48.50M,,50.12M,,529.08M,,529.08M,,,,,20.78M,,,529.08M,540.50M,,0.312M,-112.32M,347.88M,,,235.88M,,AOR,Restated
2004-12,,24.33M,,24.33M,,,2.501M,,4.43M,,31.26M,,,,,,,696.90M,,696.90M,,,6.182M,0.00,,,,703.08M,748.48M,,,,,,,3.444M,,,39.00M,39.00M,,42.44M,,472.98M,,472.98M,,,,,21.45M,,,472.98M,483.42M,,0.312M,-104.59M,347.88M,,,243.61M,,AOR,Restated
2004-09,32.01M,32.01M,,32.01M,,,0.714M,,5.754M,,38.47M,,,,,,,679.72M,,679.72M,,,5.383M,,,,,685.11M,737.60M,,2.949M,,,,2.949M,2.949M,,,454.02M,454.02M,,456.97M,,454.02M,,454.02M,,,,,21.98M,0.00,,454.02M,442.62M,,0.312M,-97.18M,347.88M,,,273.00M,,AOR,Restated
2004-06,2.775M,2.775M,,2.775M,,,13.31M,,2.775M,,18.86M,,,,,,,540.86M,,540.86M,,,7.541M,,,,,548.40M,584.45M,,0.548M,,,51.34M,51.89M,51.89M,,,431.85M,431.85M,,483.74M,,431.85M,,431.85M,,,,,10.51M,45.10M,,476.95M,596.61M,,58.47M,-81.13M,,,,-22.66M,,AOR,Restated
2004-03,,,,,,,,,4.165M,,4.165M,,,,,,,440.15M,,440.15M,,,,,,,,440.15M,476.64M,,,,,,,,,,345.51M,345.51M,,345.51M,,,,,,,,,29.54M,,,,459.89M,,60.89M,-73.67M,,,,-12.78M,,,Restated
2003-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.75M,,,,,,,,,,,,,,,,,,,,,,22.39M,,,,339.66M,,,,,,,21.70M,,,Restated
