,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-03,58.64M,-2.857M,,-2.857M,30.43M,30.43M,,,1.142M,1.548M,-2.367M,6.032M,-2.637M,-5.087M,,-4.059M,87.44M,,-1.184M,,-1.184M,0.00,,-10.10M,-91.51M,,61.89M,,61.89M,0.00,,0.00,,,-54.73M,-54.73M,0.97M,-6.415M,1.713M,,47.66M,-2.359M,45.30M,,0.00,290.77M,-228.88M,,0.661M,21.75M,,AOR,Restated
2014-12,49.49M,0.00,,0.00,29.18M,29.18M,,,1.129M,3.311M,0.505M,-8.007M,-1.965M,6.856M,,-2.611M,81.02M,,-1.194M,,-1.194M,0.00,,-19.27M,-208.01M,,190.87M,,190.87M,0.00,,0.00,,,-54.68M,-54.68M,0.378M,-11.13M,125.44M,,49.22M,-1.553M,47.66M,,0.00,411.71M,-220.84M,,0.181M,21.87M,,AOR,Restated
2014-09,59.19M,2.50M,,2.50M,29.25M,29.25M,,,1.056M,-6.152M,0.357M,7.989M,-3.306M,-2.643M,,2.397M,88.80M,,-1.30M,,-1.30M,0.00,,-5.554M,-43.50M,,9.996M,,9.996M,0.00,,0.00,,,-54.54M,-54.54M,0.166M,-5.661M,-50.04M,,53.94M,-4.729M,49.22M,,0.00,84.00M,-74.00M,,0.187M,19.49M,,AOR,Restated
2014-06,46.01M,-3.438M,,-3.438M,28.27M,28.27M,,,1.678M,9.353M,0.633M,12.65M,2.325M,3.301M,,18.91M,103.19M,,-1.062M,,-1.062M,,,-9.653M,-56.83M,,20.40M,,20.40M,0.00,,0.00,,,-54.53M,-54.53M,1.495M,-6.789M,-39.42M,,47.02M,6.93M,53.94M,,0.00,130.80M,-110.40M,,1.806M,17.41M,,AOR,Restated
2014-03,41.21M,,,,28.38M,28.38M,,,1.121M,1.408M,-1.424M,-7.715M,1.448M,-0.874M,,-8.565M,64.57M,,-1.274M,,-1.274M,,,1.425M,-256.61M,,163.28M,,163.28M,,,,,,-46.35M,-46.35M,1.056M,-5.657M,112.33M,,126.72M,-79.71M,47.02M,,,291.16M,-127.88M,,1.244M,16.44M,,AOR,Restated
2013-12,82.17M,,,-46.99M,25.99M,25.99M,,,1.165M,4.601M,0.386M,2.353M,10.03M,-8.332M,,4.435M,72.68M,,-4.175M,,-4.175M,-0.39M,,1.352M,-266.67M,,85.31M,,85.31M,,,,,,-46.30M,-46.30M,0.02M,-5.99M,239.02M,,81.70M,45.02M,126.72M,,,217.33M,-132.02M,,0.29M,20.34M,,AOR,Restated
2013-09,32.35M,,,9.153M,23.43M,23.43M,,,1.069M,1.787M,-4.67M,11.27M,-3.251M,-0.715M,,2.63M,72.03M,,-0.871M,,-0.871M,-0.171M,,-7.301M,-33.24M,,-115.66M,,-115.66M,,,,,,-44.49M,-44.49M,0.324M,-4.196M,-164.03M,,206.93M,-125.23M,81.70M,,,96.90M,-212.56M,,0.428M,13.81M,,AOR,Restated
2013-06,37.10M,,,,22.78M,22.78M,,,1.562M,1.43M,5.838M,1.547M,0.897M,3.505M,,11.79M,75.44M,,-0.657M,,-0.657M,-0.366M,,-0.345M,-43.72M,,187.56M,,187.56M,,,,,,-44.49M,-44.49M,3.917M,-7.342M,139.64M,,35.58M,171.36M,206.93M,,,432.43M,-244.88M,,0.609M,16.64M,,AOR,Restated
2013-03,33.93M,,,,23.02M,23.02M,,,1.023M,-1.611M,-0.277M,-6.864M,1.051M,-0.316M,,-6.406M,51.12M,,-0.821M,,-0.821M,-0.589M,,-3.181M,-23.34M,,6.864M,,6.864M,,,,,,-27.73M,-27.73M,1.635M,-3.75M,-22.98M,,30.78M,4.79M,35.58M,,,81.78M,-74.91M,,0.589M,15.91M,,AOR,Restated
2012-12,38.87M,,,,21.54M,21.54M,,,1.038M,-9.617M,-0.148M,2.69M,3.88M,3.728M,,10.15M,62.92M,,-1.747M,,-1.747M,0.203M,,6.408M,-231.87M,,-14.87M,,-14.87M,202.90M,,202.90M,,,-27.59M,-27.59M,1.336M,-5.636M,156.13M,,43.61M,-12.82M,30.78M,,202.90M,433.61M,-448.48M,,-1.304M,-113.50M,,AOR,Restated
