,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,4.179B,4.179B,9.678B,,9.678B,1.301B,1.114B,,,536.00M,16.81B,0.00,1.262B,,,55.32B,3.056B,,59.64B,-30.44B,29.20B,31.35B,6.962B,38.31B,3.148B,,8.074B,2.401B,81.14B,97.94B,,,,,9.022B,5.918B,5.918B,4.788B,4.788B,,19.73B,18.77B,,18.77B,2.949B,,2.949B,,3.50B,1.15B,6.699B,29.56B,2018-03,36.41B,78.70B,66.62B,,45.15B,,2018-03,AOR,Restated
2017-12,4.677B,4.677B,9.886B,,9.886B,1.307B,846.00M,,,558.00M,17.27B,0.00,1.259B,,,54.62B,2.355B,,58.23B,-29.65B,28.58B,31.43B,6.93B,38.36B,3.206B,,7.937B,2.373B,80.46B,97.73B,,,,,9.574B,6.009B,6.009B,4.292B,4.292B,,19.88B,20.08B,,20.08B,2.826B,,2.826B,,3.794B,1.142B,6.726B,30.78B,2017-12,36.25B,75.76B,65.32B,,43.29B,,2017-12,AOR,Restated
2017-09,4.017B,4.017B,7.611B,1.209B,8.633B,1.373B,1.723B,,,143.00M,15.89B,0.00,6.848B,,18.91B,28.64B,2.145B,898.00M,57.44B,-29.04B,28.41B,31.43B,6.995B,38.42B,3.202B,1.688B,7.481B,469.00M,79.90B,95.79B,6.305B,,6.305B,2.55B,8.855B,6.172B,6.172B,4.568B,4.568B,,19.60B,19.12B,,19.12B,4.48B,,4.48B,3.281B,3.689B,1.148B,3.162B,31.19B,2017-09,36.25B,72.61B,64.01B,,41.32B,,2017-09,AOR,Restated
2017-06,4.336B,4.336B,9.636B,,9.636B,1.30B,1.214B,,,665.00M,17.15B,0.00,1.245B,,,52.93B,1.889B,,56.07B,-28.34B,27.73B,27.84B,6.797B,34.63B,4.141B,,6.798B,2.297B,75.60B,92.75B,,,,,9.374B,3.338B,3.338B,4.382B,4.382B,,17.09B,18.85B,,18.85B,4.177B,,4.177B,,3.52B,,6.581B,29.61B,2017-06,36.12B,70.86B,60.59B,,42.53B,,2017-06,AOR,Restated
2017-03,3.80B,3.80B,9.293B,,9.293B,1.304B,1.133B,,,740.00M,16.27B,0.00,1.237B,,,50.78B,3.023B,,55.04B,-27.65B,27.40B,27.83B,6.845B,34.68B,4.155B,,6.974B,2.333B,75.54B,91.81B,,,,,8.077B,4.865B,4.865B,4.423B,4.423B,,17.36B,16.79B,,16.79B,4.006B,,4.006B,,3.483B,,6.381B,27.18B,2017-03,36.10B,69.71B,58.14B,,43.78B,,2017-03,AOR,Restated
2016-12,3.736B,3.736B,9.878B,,9.878B,1.299B,821.00M,,,931.00M,16.66B,0.00,1.236B,,,49.91B,2.902B,,54.05B,-27.00B,27.05B,27.79B,6.892B,34.68B,4.22B,,6.572B,2.38B,74.91B,91.58B,,,,,9.979B,5.698B,5.698B,3.64B,3.64B,,19.32B,14.79B,,14.79B,3.888B,,3.888B,,3.967B,,6.402B,25.08B,2016-12,35.91B,67.33B,56.17B,,43.21B,,2016-12,AOR,Restated
2016-09,4.61B,4.61B,8.458B,760.00M,9.065B,1.39B,1.657B,,,244.00M,16.97B,0.00,5.842B,,16.91B,27.93B,2.684B,830.00M,54.20B,-26.85B,27.35B,27.81B,6.949B,34.76B,4.28B,1.651B,6.339B,460.00M,75.07B,92.03B,6.86B,,6.86B,2.27B,9.13B,3.687B,3.687B,4.025B,4.025B,,16.84B,16.48B,,16.48B,3.679B,,3.679B,5.184B,4.058B,0.00,2.522B,27.87B,2016-09,35.86B,66.09B,54.70B,,43.26B,,2016-09,AOR,Restated
2016-06,5.227B,5.227B,8.958B,,8.958B,1.354B,1.231B,,0.00,847.00M,17.62B,0.00,1.243B,,,49.53B,2.371B,,53.14B,-26.28B,26.86B,27.80B,6.995B,34.80B,3.228B,,6.091B,2.316B,73.30B,90.91B,,,,,8.719B,5.312B,5.312B,4.041B,4.041B,,18.07B,15.13B,,15.13B,4.076B,,4.076B,,3.953B,,5.491B,24.70B,2016-06,35.68B,64.32B,53.11B,,44.19B,,2016-06,AOR,Restated
2016-03,5.015B,5.015B,8.874B,,8.874B,1.352B,977.00M,,0.00,781.00M,17.00B,0.00,1.247B,,,43.58B,7.454B,,52.28B,-25.86B,26.42B,27.82B,7.052B,34.87B,3.247B,,6.484B,2.244B,73.26B,90.26B,,,,,7.252B,5.755B,5.755B,4.066B,4.066B,,17.07B,15.37B,,15.37B,4.044B,,4.044B,,3.886B,,5.77B,25.18B,2016-03,35.45B,62.87B,51.60B,,44.12B,,2016-03,AOR,Restated
2015-12,4.301B,4.301B,10.30B,,10.30B,1.434B,811.00M,,0.00,924.00M,17.77B,0.00,1.244B,,,42.94B,6.485B,,50.67B,-25.18B,25.49B,27.82B,7.104B,34.92B,3.268B,,6.33B,2.346B,72.35B,90.12B,,,,,9.32B,5.95B,5.95B,3.526B,3.526B,,18.80B,12.96B,,12.96B,3.874B,,3.874B,,4.24B,,6.288B,23.13B,2015-12,35.25B,60.73B,49.56B,,43.96B,,2015-12,AOR,Restated
2015-09,4.269B,4.269B,7.613B,563.00M,8.019B,1.571B,1.639B,,767.00M,493.00M,16.76B,0.00,1.25B,,,42.74B,6.028B,,50.02B,-24.84B,25.18B,27.83B,7.172B,35.00B,2.643B,1.589B,6.183B,621.00M,71.42B,88.18B,5.504B,,5.504B,2.34B,7.844B,4.563B,4.563B,3.927B,3.927B,,16.33B,12.77B,,12.77B,4.051B,,4.051B,3.94B,4.13B,,2.429B,23.19B,2015-09,35.12B,59.03B,47.20B,,44.52B,,2015-09,AOR,Restated
2015-06,4.475B,4.475B,8.012B,,8.012B,1.513B,1.006B,,619.00M,887.00M,16.51B,0.00,1.25B,,,42.21B,5.449B,,48.91B,-24.47B,24.44B,27.85B,7.237B,35.08B,2.694B,,5.775B,2.865B,70.86B,87.37B,,,,,7.794B,3.119B,3.119B,3.913B,3.913B,,14.83B,12.15B,,12.15B,4.113B,,4.113B,,3.988B,,5.767B,22.03B,2015-06,34.93B,57.42B,43.93B,,46.52B,,2015-06,AOR,Restated
2015-03,3.745B,3.745B,8.161B,,8.161B,1.432B,814.00M,,496.00M,998.00M,15.65B,0.00,1.249B,,,41.84B,4.691B,,47.78B,-24.02B,23.76B,27.86B,7.302B,35.16B,2.575B,,5.792B,2.783B,70.07B,85.72B,,,,,6.823B,2.771B,2.771B,3.816B,3.816B,,13.41B,12.19B,,12.19B,4.388B,,4.388B,,3.699B,,5.994B,22.57B,2015-03,34.72B,56.06B,42.90B,,46.04B,,2015-03,AOR,Restated
2014-12,5.077B,5.077B,8.591B,,8.591B,1.476B,712.00M,,452.00M,932.00M,17.24B,0.00,1.233B,,,42.32B,4.148B,,47.70B,-24.04B,23.66B,27.85B,7.369B,35.22B,2.642B,,5.672B,2.603B,69.80B,87.04B,,,,,9.069B,4.376B,4.376B,3.359B,3.359B,,16.80B,12.17B,,12.17B,4.414B,,4.414B,,3.628B,,5.857B,22.44B,2014-12,34.49B,53.97B,42.41B,,44.16B,,2014-12,AOR,Restated
2014-09,3.421B,3.421B,7.428B,548.00M,7.822B,1.574B,1.486B,,497.00M,369.00M,15.17B,0.00,5.504B,,15.70B,21.54B,3.553B,757.00M,47.05B,-23.72B,23.33B,27.88B,7.434B,35.32B,2.696B,1.485B,5.325B,607.00M,68.97B,84.14B,5.371B,,5.371B,2.224B,7.595B,2.164B,2.164B,3.533B,3.533B,,13.29B,12.63B,,12.63B,4.098B,,4.098B,3.481B,3.22B,,2.461B,22.67B,2014-09,34.30B,53.73B,41.11B,,44.96B,,2014-09,AOR,Restated
2014-06,4.09B,4.09B,7.543B,,7.543B,1.425B,1.095B,,480.00M,572.00M,15.20B,0.00,1.253B,,,41.93B,3.441B,,46.63B,-23.62B,23.01B,27.92B,7.268B,35.19B,2.858B,,5.025B,2.43B,68.52B,83.72B,,,,,6.379B,3.216B,3.216B,3.756B,3.756B,,13.35B,12.92B,,12.92B,4.36B,,4.36B,,3.092B,,4.48B,21.76B,2014-06,34.12B,52.24B,39.67B,,45.52B,,2014-06,AOR,Restated
2014-03,4.078B,4.078B,7.588B,,7.588B,1.343B,937.00M,,478.00M,622.00M,15.05B,0.00,1.186B,,,41.76B,3.03B,,45.98B,-23.29B,22.68B,27.35B,7.262B,34.61B,2.75B,,5.067B,2.424B,67.53B,82.58B,,,,,6.581B,4.695B,4.695B,3.886B,3.886B,,15.16B,10.91B,,10.91B,4.228B,,4.228B,,2.751B,,4.641B,19.78B,2014-03,33.94B,49.99B,37.84B,,44.89B,,2014-03,AOR,Restated
2013-12,4.397B,4.397B,8.013B,,8.013B,1.38B,846.00M,,484.00M,643.00M,15.76B,0.00,1.183B,,,41.50B,2.76B,,45.44B,-22.87B,22.57B,27.32B,7.313B,34.64B,2.784B,,4.992B,2.423B,67.40B,83.17B,,,,,8.59B,3.687B,3.687B,3.419B,3.419B,,15.70B,11.71B,,11.71B,3.987B,,3.987B,,2.972B,,4.473B,20.17B,2013-12,33.68B,48.09B,36.30B,,44.32B,,2013-12,AOR,Restated
2013-09,3.931B,3.931B,6.694B,428.00M,6.967B,1.487B,1.077B,,485.00M,162.00M,14.11B,0.00,5.336B,,15.14B,21.20B,2.476B,697.00M,44.84B,-22.46B,22.38B,27.32B,7.37B,34.69B,2.849B,1.547B,4.783B,689.00M,67.13B,81.24B,4.899B,,4.899B,1.904B,6.803B,1.512B,1.512B,3.389B,3.389B,,11.70B,12.78B,,12.78B,4.05B,,4.05B,2.091B,2.721B,,2.47B,21.39B,2013-09,33.44B,47.76B,34.58B,,45.43B,,2013-09,AOR,Restated
2013-06,3.932B,3.932B,6.568B,,6.568B,1.465B,655.00M,,759.00M,826.00M,14.20B,0.00,1.167B,,,39.96B,2.729B,,43.86B,-21.98B,21.88B,27.34B,7.43B,34.77B,2.683B,,4.786B,2.244B,66.36B,80.56B,,,,,5.658B,2.219B,2.219B,3.464B,3.464B,,11.34B,12.78B,,12.78B,3.485B,,3.485B,,2.371B,,7.048B,23.32B,2013-06,33.24B,46.36B,33.19B,,43.54B,,2013-06,AOR,Restated
2013-03,3.952B,3.952B,7.154B,,7.154B,1.403B,905.00M,,758.00M,831.00M,15.00B,0.00,1.166B,,,39.52B,2.445B,,43.13B,-21.48B,21.65B,27.43B,7.493B,34.92B,2.566B,,4.895B,2.323B,66.36B,81.36B,,,,,6.325B,3.556B,3.556B,3.572B,3.572B,,13.45B,13.38B,,13.38B,3.09B,,3.09B,,2.055B,,7.29B,23.76B,2013-03,32.93B,44.52B,32.39B,,42.09B,,2013-03,AOR,Restated
2012-12,3.207B,3.207B,7.315B,,7.315B,1.44B,864.00M,,762.00M,734.00M,14.32B,0.00,1.17B,,,39.35B,2.336B,,42.86B,-21.19B,21.67B,27.43B,7.532B,34.96B,2.622B,,4.811B,2.251B,66.32B,80.64B,,,,,6.767B,4.815B,4.815B,2.916B,2.916B,,14.50B,12.63B,,12.63B,2.854B,,2.854B,,2.354B,,7.287B,22.77B,2012-12,32.66B,43.02B,31.54B,,41.02B,,2012-12,AOR,Restated
2012-09,3.387B,3.387B,6.313B,388.00M,6.54B,1.537B,1.145B,,765.00M,335.00M,13.71B,0.00,5.055B,,14.32B,19.68B,2.453B,696.00M,42.20B,-20.69B,21.51B,25.11B,5.015B,30.12B,2.723B,1.645B,4.541B,449.00M,61.19B,74.90B,4.619B,,4.619B,1.774B,6.393B,3.614B,3.614B,2.806B,2.806B,,12.81B,10.70B,284.00M,10.98B,2.251B,275.00M,2.526B,4.828B,2.199B,,1.792B,20.13B,2012-09,31.73B,42.96B,31.67B,,39.76B,,2012-09,AOR,Restated
2012-06,4.374B,4.374B,,,5.951B,1.485B,,,1.482B,1.462B,14.75B,0.00,1.161B,37.62B,,,2.413B,,41.20B,-20.25B,20.94B,25.04B,5.069B,30.11B,2.397B,,,7.083B,60.54B,75.29B,,,,,5.516B,2.569B,2.569B,3.032B,3.032B,,11.12B,12.45B,,12.45B,3.15B,,3.15B,,2.067B,,6.497B,22.10B,2012-06,31.43B,41.72B,30.70B,,40.01B,,2012-06,AOR,Restated
2012-03,3.731B,3.731B,,,6.283B,1.503B,,,1.468B,1.552B,14.54B,0.00,1.17B,36.92B,,,2.923B,,41.02B,-20.17B,20.84B,25.11B,5.142B,30.26B,2.484B,,,7.115B,60.70B,75.23B,,,,,5.908B,3.447B,3.447B,3.369B,3.369B,,12.72B,12.58B,,12.58B,3.206B,,3.206B,,1.863B,,6.809B,22.60B,2012-03,30.95B,39.91B,30.32B,,38.05B,,2012-03,AOR,Restated
2011-12,3.766B,3.766B,,,6.787B,1.523B,,,1.489B,1.495B,15.06B,0.00,1.16B,35.46B,,,2.899B,,39.52B,-19.76B,19.76B,24.17B,5.063B,29.23B,2.685B,,,7.139B,58.82B,73.88B,,,,,7.671B,3.16B,3.16B,2.693B,2.693B,,13.52B,11.23B,,11.23B,2.879B,,2.879B,,2.166B,,6.825B,20.93B,2011-12,30.52B,38.76B,29.46B,,37.26B,,2011-12,AOR,Restated
2011-09,3.185B,3.185B,5.947B,496.00M,6.182B,1.595B,449.00M,,1.487B,859.00M,13.76B,0.00,4.854B,17.66B,13.48B,,2.625B,650.00M,39.27B,-19.57B,19.70B,24.14B,5.121B,29.27B,2.435B,1.683B,,5.111B,58.37B,72.12B,4.546B,348.00M,4.894B,,4.894B,3.055B,3.055B,2.671B,2.671B,,12.09B,10.92B,288.00M,11.21B,2.866B,233.00M,3.099B,4.223B,2.068B,,2.051B,20.58B,2011-09,30.30B,38.38B,28.66B,,37.38B,,2011-09,AOR,Restated
2011-06,3.519B,3.519B,,,6.212B,1.542B,,,1.051B,1.319B,13.64B,0.00,1.136B,35.22B,,,2.44B,,38.80B,-19.59B,19.21B,24.14B,5.094B,29.23B,2.505B,,,6.52B,57.46B,71.10B,,,,,5.602B,4.062B,4.062B,3.102B,3.102B,,12.77B,9.176B,,9.176B,2.905B,,2.905B,,1.976B,,5.336B,17.42B,2011-06,30.16B,37.29B,26.69B,,38.95B,,2011-06,AOR,Restated
2011-03,3.094B,3.094B,,,6.075B,1.453B,,,1.051B,1.547B,13.22B,0.00,1.136B,34.83B,,2.086B,,,38.05B,-19.16B,18.90B,24.13B,5.139B,29.27B,2.499B,,,6.705B,57.37B,70.59B,,,,,5.15B,4.084B,4.084B,3.569B,3.569B,,12.80B,8.688B,,8.688B,2.841B,,2.841B,,1.662B,,5.944B,17.47B,2011-03,29.94B,35.81B,25.26B,,38.65B,,2011-03,AOR,Restated
2010-12,3.039B,3.039B,,,7.028B,1.416B,,,1.052B,1.459B,13.99B,0.00,1.12B,32.97B,,,3.001B,,37.09B,-18.60B,18.49B,24.12B,5.193B,29.31B,2.491B,,,6.665B,56.96B,70.95B,,,,,7.118B,2.822B,2.822B,2.807B,2.807B,,12.75B,9.933B,,9.933B,2.577B,,2.577B,,1.942B,,5.954B,18.46B,2010-12,29.27B,34.87B,24.46B,,37.80B,,2010-12,AOR,Restated
2010-09,2.722B,2.722B,5.454B,656.00M,5.784B,1.442B,446.00M,,1.018B,813.00M,12.22B,0.00,4.782B,16.00B,12.58B,,2.18B,644.00M,36.18B,-18.37B,17.81B,24.10B,5.081B,29.18B,2.513B,1.275B,,6.079B,56.98B,69.21B,4.413B,,4.413B,,4.413B,2.35B,2.35B,2.541B,2.541B,212.00M,11.00B,10.13B,224.00M,10.35B,2.63B,244.00M,2.874B,3.378B,1.823B,,2.258B,18.86B,2010-09,28.74B,34.33B,23.66B,,37.52B,,2010-09,AOR,Restated
2010-06,2.951B,2.951B,,,5.744B,1.322B,,,1.162B,1.422B,12.60B,0.00,1.115B,32.04B,,,1.811B,,34.96B,-17.81B,17.15B,23.71B,5.065B,28.77B,2.587B,,,7.189B,55.70B,68.30B,,,,,5.10B,1.823B,1.823B,2.566B,2.566B,,9.489B,10.80B,,10.80B,3.246B,,3.246B,,1.642B,,5.165B,19.22B,2010-06,28.54B,33.49B,22.48B,,37.96B,,2010-06,AOR,Restated
2010-03,3.075B,3.075B,,,5.478B,1.225B,,,1.162B,1.547B,12.49B,0.00,1.158B,32.40B,,,1.664B,,35.22B,-17.88B,17.33B,23.69B,5.091B,28.78B,2.607B,,,7.55B,56.27B,68.76B,,,,,4.879B,2.241B,2.241B,2.932B,2.932B,,10.05B,11.00B,,11.00B,3.085B,,3.085B,,1.489B,,5.654B,19.74B,2010-03,28.10B,32.17B,21.23B,,37.48B,,2010-03,AOR,Restated
2009-12,3.204B,3.204B,,,5.972B,1.196B,,,1.17B,1.403B,12.94B,0.00,1.165B,32.56B,,,1.425B,,35.15B,-17.72B,17.43B,23.79B,5.371B,29.16B,2.578B,,,7.192B,56.37B,69.31B,,,,,6.684B,2.642B,2.642B,2.341B,2.341B,,11.67B,11.19B,,11.19B,2.958B,,2.958B,,1.778B,,5.542B,19.69B,2009-12,27.57B,31.22B,21.02B,,36.18B,,2009-12,AOR,Restated
2009-09,3.417B,3.417B,,,4.854B,1.271B,464.00M,,1.14B,743.00M,11.89B,0.00,4.792B,15.93B,12.23B,,1.35B,693.00M,34.99B,-17.40B,17.60B,21.68B,2.247B,23.93B,2.554B,1.225B,,5.786B,51.23B,63.12B,4.002B,355.00M,4.357B,1.259B,5.616B,1.206B,1.206B,2.112B,2.112B,,8.934B,11.50B,226.00M,11.72B,1.819B,250.00M,2.069B,3.069B,1.691B,,1.899B,18.76B,2009-09,27.04B,31.03B,22.69B,,33.73B,,2009-09,AOR,Restated
2009-06,3.128B,3.128B,,,4.944B,1.229B,,,1.024B,1.174B,11.50B,0.00,1.161B,31.89B,,,1.293B,,34.35B,-17.06B,17.29B,22.37B,2.305B,24.67B,1.668B,,,7.459B,51.08B,62.58B,,,,,4.767B,1.142B,1.142B,2.697B,2.697B,,8.606B,12.55B,,12.55B,2.636B,,2.636B,,1.102B,,3.392B,18.58B,2009-06,26.84B,30.14B,22.66B,,34.30B,,2009-06,AOR,Restated
2009-03,3.369B,3.369B,,,4.939B,1.233B,,,1.024B,1.412B,11.98B,0.00,1.155B,31.40B,,,1.26B,,33.82B,-16.61B,17.21B,22.37B,2.284B,24.65B,1.564B,,,7.629B,51.06B,63.03B,,,,,5.213B,2.187B,2.187B,2.786B,2.786B,,10.19B,12.54B,,12.54B,2.36B,,2.36B,,1.027B,,3.646B,18.55B,2009-03,26.69B,29.19B,22.66B,,33.27B,,2009-03,AOR,Restated
2008-12,3.795B,3.795B,6.106B,,6.106B,1.174B,,,1.024B,1.373B,13.47B,0.00,1.165B,,,31.41B,1.167B,,33.74B,-16.43B,17.30B,22.39B,7.986B,30.38B,,,,3.746B,51.43B,64.90B,6.638B,,6.638B,,6.638B,3.771B,3.771B,,,2.195B,12.60B,12.23B,,12.23B,2.38B,,2.38B,,1.26B,,3.77B,18.38B,2008-12,26.66B,28.58B,22.66B,105.00M,32.66B,,2008-12,,Restated
2008-09,3.001B,3.001B,5.373B,,5.373B,1.124B,478.00M,,1.024B,666.00M,11.67B,0.00,4.937B,15.44B,11.74B,,1.169B,553.00M,33.84B,-16.31B,17.53B,21.46B,2.428B,23.89B,2.249B,,,7.157B,50.83B,62.50B,4.355B,,4.355B,1.625B,5.98B,3.529B,3.529B,2.082B,2.082B,,11.59B,11.11B,241.00M,11.35B,2.35B,320.00M,2.67B,1.157B,1.344B,,2.061B,17.24B,2008-09,26.55B,28.41B,22.56B,,32.32B,,2008-09,,Restated
2008-06,2.589B,2.589B,5.669B,,5.669B,992.00M,,,862.00M,1.131B,11.24B,0.00,1.189B,,,31.70B,980.00M,,33.87B,-16.32B,17.55B,22.12B,7.657B,29.78B,,,,3.011B,50.34B,61.58B,5.246B,,5.246B,,5.246B,2.05B,2.05B,,,2.743B,10.04B,11.52B,,11.52B,2.258B,,2.258B,,1.236B,,3.748B,17.53B,2008-06,26.27B,27.66B,21.10B,211.00M,32.78B,,2008-06,,Restated
