,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2015-09,1.741B,-2.00M,-184.00M,-186.00M,,,603.00M,603.00M,65.00M,,101.00M,414.00M,18.00M,-47.00M,458.00M,198.00M,,240.00M,867.00M,,3.804B,2015-09,-1.204B,,-1.204B,0.00,-143.00M,157.00M,-1.19B,,2.154B,24.00M,2.178B,,-3.272B,-3.272B,-1.115B,-1.115B,37.00M,-388.00M,-2.56B,,4.475B,54.00M,-71.00M,4.725B,2015-09,,,2.369B,-215.00M,-3.272B,,AOR,Restated
2015-06,2.639B,-33.00M,-212.00M,-245.00M,,,575.00M,575.00M,-369.00M,,96.00M,39.00M,-21.00M,-81.00M,340.00M,-754.00M,,385.00M,-131.00M,,2.808B,2015-06,-1.156B,,-1.156B,0.00,62.00M,-134.00M,-1.228B,,11.00M,398.00M,409.00M,,-1.035B,-1.035B,0.00,0.00,57.00M,-327.00M,-896.00M,,3.745B,684.00M,46.00M,4.475B,2015-06,,,64.00M,-53.00M,-1.035B,,AOR,Restated
2015-03,2.228B,-56.00M,-206.00M,-262.00M,,,584.00M,584.00M,-88.00M,,109.00M,4.00M,819.00M,37.00M,436.00M,-213.00M,,-888.00M,191.00M,,2.918B,2015-03,-907.00M,,-907.00M,0.00,81.00M,-10.00M,-836.00M,,-807.00M,-793.00M,-1.60B,,-485.00M,-485.00M,-1.948B,-1.948B,170.00M,621.00M,-3.242B,,5.077B,-1.16B,-172.00M,3.745B,2015-03,,,48.00M,-855.00M,-485.00M,,AOR,Restated
2014-12,2.244B,0.00,-212.00M,-212.00M,,,592.00M,592.00M,290.00M,,104.00M,171.00M,-1.027B,92.00M,-1.283B,70.00M,,617.00M,-1.531B,,1.855B,2014-12,-998.00M,,-998.00M,0.00,0.00,7.00M,-991.00M,,-1.029B,2.747B,1.718B,,-1.303B,-1.303B,,,65.00M,417.00M,897.00M,,3.421B,1.761B,-105.00M,5.077B,2014-12,,,69.00M,-1.098B,-1.303B,,AOR,Restated
2014-09,1.625B,-14.00M,-176.00M,-190.00M,,,590.00M,590.00M,213.00M,,100.00M,201.00M,63.00M,-142.00M,824.00M,-49.00M,,-310.00M,386.00M,,3.105B,2014-09,-1.063B,,-1.063B,13.00M,,-3.00M,-1.053B,,-48.00M,-1.203B,-1.251B,,-1.44B,-1.44B,0.00,0.00,56.00M,15.00M,-2.62B,,4.09B,-568.00M,-101.00M,3.421B,2014-09,,,51.00M,-99.00M,-1.44B,,AOR,Restated
2014-06,2.419B,-5.00M,-222.00M,-227.00M,,,557.00M,557.00M,128.00M,,100.00M,62.00M,-74.00M,-73.00M,-6.00M,-372.00M,,245.00M,-280.00M,,2.936B,2014-06,-889.00M,,-889.00M,-386.00M,,-6.00M,-1.281B,,1.577B,-1.063B,514.00M,,-1.833B,-1.833B,0.00,0.00,53.00M,-386.00M,-1.652B,,4.078B,3.00M,9.00M,4.09B,2014-06,,,2.042B,-465.00M,-1.833B,,AOR,Restated
2014-03,2.056B,-169.00M,-217.00M,-386.00M,,,580.00M,580.00M,261.00M,,112.00M,-56.00M,706.00M,37.00M,425.00M,-375.00M,,-1.007B,-214.00M,,2.527B,2014-03,-701.00M,,-701.00M,230.00M,,-13.00M,-484.00M,,34.00M,167.00M,201.00M,,-1.536B,-1.536B,-1.508B,-1.508B,201.00M,441.00M,-2.201B,,4.397B,-158.00M,-161.00M,4.078B,2014-03,,,72.00M,-38.00M,-1.536B,,AOR,Restated
2013-12,1.904B,-111.00M,-239.00M,-350.00M,,,561.00M,561.00M,-85.00M,,96.00M,27.00M,-1.175B,97.00M,-707.00M,-319.00M,,976.00M,-1.128B,,1.212B,2013-12,-658.00M,,-658.00M,136.00M,,-5.00M,-527.00M,,-980.00M,2.149B,1.169B,,-1.718B,-1.718B,,,94.00M,218.00M,-237.00M,,3.931B,448.00M,18.00M,4.397B,2013-12,,,66.00M,-1.046B,-1.718B,,AOR,Restated
2013-09,1.543B,-80.00M,-161.00M,-241.00M,,,559.00M,559.00M,-71.00M,,97.00M,146.00M,-371.00M,-27.00M,695.00M,281.00M,,-44.00M,534.00M,,2.735B,2013-09,-987.00M,,-987.00M,-21.00M,,-6.00M,-1.014B,,-654.00M,-50.00M,-704.00M,,-1.393B,-1.393B,0.00,0.00,69.00M,250.00M,-1.778B,,3.932B,-57.00M,56.00M,3.931B,2013-09,,,31.00M,-685.00M,-1.393B,,AOR,Restated
2013-06,2.034B,0.00,-232.00M,-232.00M,,,569.00M,569.00M,410.00M,,97.00M,130.00M,73.00M,-59.00M,-345.00M,212.00M,,365.00M,246.00M,,3.413B,2013-06,-690.00M,,-690.00M,17.00M,,1.00M,-672.00M,,-7.00M,-1.755B,-1.762B,,-800.00M,-800.00M,0.00,0.00,164.00M,-348.00M,-2.746B,,3.952B,-5.00M,-15.00M,3.932B,2013-06,,,22.00M,-29.00M,-800.00M,,AOR,Restated
2013-03,1.621B,-26.00M,-185.00M,-211.00M,,,550.00M,550.00M,-11.00M,,108.00M,33.00M,858.00M,42.00M,331.00M,-427.00M,,-909.00M,-105.00M,,2.16B,2013-03,-574.00M,,-574.00M,-35.00M,,84.00M,-525.00M,,829.00M,-1.239B,-410.00M,,-850.00M,-850.00M,-24.00M,-24.00M,230.00M,228.00M,-826.00M,,3.207B,809.00M,-64.00M,3.952B,2013-03,,,841.00M,-12.00M,-850.00M,,AOR,Restated
