,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,4.483B,2.863B,7.346B,7.245B,7.245B,,,,5.382B,,,4.112B,24.08B,,,,,,29.04B,-16.48B,12.56B,18.30B,13.50B,31.80B,11.03B,6.558B,61.96B,86.04B,,3.162B,1.317B,717.00M,5.196B,9.709B,14.90B,,,2.055B,2.055B,,16.96B,21.50B,21.50B,2.206B,2.206B,233.00M,11.47B,35.18B,52.14B,,1.788B,41.11B,39.87B,44.04B,,,-5.06B,33.67B,,AOR,Restated
2017-12,6.092B,2.406B,8.498B,6.873B,6.873B,,,,5.096B,,,4.299B,24.77B,0.00,365.00M,11.73B,14.65B,2.301B,29.04B,-16.60B,12.44B,18.28B,14.18B,32.47B,12.12B,6.075B,63.11B,87.87B,,3.102B,1.32B,708.00M,5.13B,10.43B,15.56B,,,3.057B,3.057B,,18.61B,21.35B,21.35B,2.219B,2.219B,233.00M,11.12B,34.69B,53.30B,,1.788B,41.35B,39.90B,43.79B,,,-4.91B,34.34B,,AOR,Restated
2017-09,7.901B,3.294B,11.20B,7.671B,7.671B,,,,5.263B,,,3.79B,27.92B,,,,,,28.85B,-16.66B,12.19B,18.34B,15.14B,33.48B,12.21B,5.884B,63.76B,91.68B,,2.62B,1.302B,396.00M,4.318B,9.992B,14.31B,,,5.157B,5.157B,,19.47B,21.84B,21.84B,4.159B,4.159B,251.00M,7.713B,33.71B,53.18B,,1.788B,43.70B,39.82B,42.12B,,,-4.945B,38.25B,,AOR,Restated
2017-06,7.786B,4.181B,11.97B,7.439B,7.439B,,,,5.407B,,,3.354B,28.17B,,,,,,28.47B,-16.38B,12.09B,18.36B,16.12B,34.48B,12.14B,5.928B,64.64B,92.80B,,2.934B,1.301B,1.979B,6.214B,9.363B,15.58B,,,3.181B,3.181B,,18.76B,21.71B,21.71B,4.56B,4.56B,249.00M,8.068B,34.33B,53.09B,,1.788B,45.05B,39.78B,42.05B,,,-5.094B,39.46B,,AOR,Restated
2017-03,11.71B,3.541B,15.25B,7.066B,7.066B,,,,5.146B,,,4.069B,31.53B,,,,,,28.21B,-16.17B,12.04B,18.36B,16.86B,35.22B,11.90B,5.872B,65.03B,96.56B,,2.484B,1.314B,2.33B,6.128B,8.658B,14.79B,,,5.037B,5.037B,,19.82B,23.44B,23.44B,4.889B,4.889B,251.00M,8.324B,36.65B,56.47B,,1.788B,44.39B,39.90B,41.16B,,,-5.08B,39.84B,,AOR,Restated
2016-12,6.515B,7.826B,14.34B,7.018B,7.018B,,,,4.866B,,,4.389B,30.61B,0.00,412.00M,11.44B,14.05B,1.871B,27.78B,-15.75B,12.03B,18.16B,17.30B,35.47B,11.42B,5.854B,64.76B,95.38B,,2.807B,1.316B,2.239B,6.362B,10.27B,16.64B,,,568.00M,568.00M,,17.20B,24.27B,24.27B,5.077B,5.077B,220.00M,8.514B,37.86B,55.07B,,1.788B,44.13B,39.94B,40.55B,,,-5.226B,40.09B,,AOR,Restated
2016-09,7.907B,5.16B,13.07B,7.364B,7.364B,,,,5.244B,,,3.765B,29.44B,,,,,,28.05B,-16.02B,12.03B,18.26B,20.51B,38.77B,11.66B,6.443B,68.90B,98.34B,,2.481B,1.292B,1.208B,4.981B,9.087B,14.07B,,,1.487B,1.487B,,15.56B,23.66B,23.66B,6.374B,6.374B,213.00M,8.793B,38.82B,54.38B,,1.788B,46.03B,39.90B,39.72B,,,-4.252B,43.74B,,AOR,Restated
2016-06,6.608B,5.226B,11.83B,6.916B,6.916B,,,,5.248B,,,3.928B,27.93B,,,,,,27.99B,-16.00B,11.99B,17.81B,20.32B,38.12B,11.88B,6.559B,68.55B,96.48B,,2.514B,1.292B,1.213B,5.019B,9.255B,14.27B,,,644.00M,644.00M,,14.92B,23.64B,23.64B,6.091B,6.091B,89.00M,8.378B,38.11B,53.03B,,1.788B,45.12B,39.91B,39.38B,,,-4.086B,43.36B,,AOR,Restated
2016-03,9.716B,3.227B,12.94B,6.85B,6.85B,,,,5.102B,,,3.877B,28.77B,,,,,,28.41B,-16.05B,12.36B,17.78B,21.36B,39.15B,12.55B,5.921B,69.98B,98.76B,,2.241B,1.307B,1.864B,5.412B,10.04B,15.46B,,,2.113B,2.113B,,17.57B,23.66B,23.66B,6.256B,6.256B,95.00M,7.374B,37.29B,54.85B,,1.788B,45.19B,40.14B,39.12B,,,-4.194B,43.81B,,AOR,Restated
2015-12,8.524B,4.903B,13.43B,6.484B,6.484B,,,,4.70B,,,5.14B,29.75B,0.00,490.00M,12.15B,14.26B,1.525B,28.43B,-15.92B,12.51B,17.72B,22.60B,40.32B,13.04B,6.055B,71.93B,101.68B,,2.533B,1.309B,1.56B,5.402B,11.22B,16.62B,,,2.583B,2.583B,,19.20B,23.83B,23.83B,6.535B,6.535B,91.00M,7.345B,37.71B,56.91B,,1.788B,45.35B,40.22B,38.53B,,,-4.148B,44.68B,,AOR,Restated
2015-09,7.548B,4.541B,12.09B,6.414B,6.414B,,,,5.123B,,4.941B,,28.57B,,,,,,28.52B,-16.04B,12.48B,17.76B,23.72B,41.48B,13.08B,5.618B,72.66B,101.23B,,2.023B,1.288B,2.119B,5.43B,9.61B,15.04B,,,2.543B,2.543B,,17.58B,24.12B,24.12B,5.959B,5.959B,92.00M,7.887B,37.97B,55.55B,,1.788B,45.66B,40.14B,37.43B,,,-4.573B,45.59B,,AOR,Restated
2015-06,6.922B,4.448B,11.37B,6.51B,6.51B,,,,5.306B,,5.133B,,28.32B,,,,,,28.94B,-16.31B,12.63B,17.71B,24.75B,42.46B,13.33B,5.843B,74.26B,102.58B,,2.335B,1.295B,1.878B,5.508B,9.517B,15.02B,,,2.483B,2.483B,,17.51B,24.07B,24.07B,6.454B,6.454B,190.00M,7.913B,38.44B,55.94B,,1.788B,45.10B,40.11B,36.22B,,,-4.332B,46.45B,,AOR,Restated
2015-03,7.98B,7.621B,15.60B,6.67B,6.67B,,,,5.539B,,5.117B,,32.93B,,,,,,29.70B,-16.79B,12.91B,17.74B,26.08B,43.82B,13.09B,5.596B,75.42B,108.34B,,2.091B,1.306B,2.45B,5.847B,9.867B,15.71B,,,4.728B,4.728B,,20.44B,25.51B,25.51B,6.803B,6.803B,152.00M,7.677B,39.99B,60.43B,,1.788B,45.69B,40.36B,35.90B,,,-4.167B,47.76B,,AOR,Restated
2014-12,7.441B,8.278B,15.72B,6.626B,6.626B,,,,5.571B,,,4.689B,32.60B,0.00,541.00M,13.10B,16.05B,1.448B,31.14B,-18.00B,13.14B,12.99B,20.39B,33.38B,13.52B,5.533B,65.56B,98.17B,,2.625B,1.308B,1.237B,5.17B,10.52B,15.69B,,,2.704B,2.704B,,18.40B,18.70B,18.70B,4.467B,4.467B,144.00M,7.813B,30.98B,49.38B,,1.788B,46.02B,40.42B,35.26B,,,-4.323B,48.65B,,AOR,Restated
2014-09,11.37B,2.977B,14.35B,6.515B,6.515B,,,,5.819B,,4.74B,,34.72B,,,,,,32.20B,-18.76B,13.44B,13.17B,20.40B,33.57B,13.49B,6.589B,67.08B,101.81B,,2.279B,1.288B,2.467B,6.034B,9.808B,15.84B,,,9.275B,9.275B,810.00M,25.93B,18.57B,18.57B,4.987B,4.987B,136.00M,6.968B,30.52B,56.45B,,1.788B,39.99B,40.34B,33.90B,,,-2.998B,45.22B,,AOR,Restated
2014-06,9.743B,3.652B,13.40B,7.022B,7.022B,,,,6.136B,,3.659B,,33.59B,,,,,,32.76B,-18.87B,13.89B,11.79B,18.83B,30.62B,12.62B,7.143B,64.27B,97.86B,,2.326B,1.303B,192.00M,3.821B,8.829B,12.65B,,,4.477B,4.477B,801.00M,17.93B,18.59B,18.59B,4.651B,4.651B,158.00M,8.175B,31.42B,49.34B,,1.788B,40.37B,40.20B,31.55B,,,-2.444B,48.36B,,AOR,Restated
2014-03,15.83B,4.685B,20.51B,7.188B,7.188B,,,,6.376B,,3.939B,,41.24B,,,,,,32.92B,-18.62B,14.30B,12.12B,20.52B,32.64B,11.46B,8.831B,67.22B,108.46B,,2.434B,1.327B,595.00M,4.356B,8.707B,13.06B,,,8.559B,8.559B,848.00M,22.47B,19.59B,19.59B,5.881B,5.881B,2.589B,7.956B,33.43B,55.90B,,1.788B,39.66B,40.45B,29.74B,,,-2.179B,49.98B,,AOR,Restated
2013-12,15.62B,1.865B,17.49B,7.184B,7.184B,,,,6.226B,,4.789B,,35.68B,0.00,550.00M,13.63B,17.11B,1.811B,33.09B,-18.12B,14.97B,12.30B,23.80B,36.10B,9.77B,9.115B,69.96B,105.64B,,2.274B,1.321B,251.00M,3.846B,9.501B,13.35B,,,4.521B,4.521B,,17.87B,20.54B,20.54B,6.776B,6.776B,2.561B,8.136B,35.45B,53.32B,,1.788B,39.26B,40.51B,29.59B,,,-2.197B,49.76B,,AOR,Restated
2013-09,14.09B,4.079B,18.17B,7.578B,7.578B,,,,6.741B,,5.277B,,37.76B,,,,,,33.13B,-17.80B,15.32B,12.12B,25.00B,37.12B,9.198B,7.01B,68.65B,106.42B,,2.469B,1.289B,1.298B,5.056B,9.183B,14.24B,,,3.976B,3.976B,,18.22B,22.65B,22.65B,15.55B,15.55B,2.587B,,38.20B,56.41B,,1.788B,39.77B,39.91B,29.35B,,,-4.698B,47.42B,,AOR,Restated
2013-06,15.09B,3.008B,18.10B,7.779B,7.779B,,,,6.766B,,4.352B,,37.00B,,,,,,33.28B,-17.59B,15.68B,12.20B,26.33B,38.53B,8.555B,7.112B,69.88B,106.88B,,2.253B,1.286B,409.00M,3.948B,8.872B,12.82B,,,5.582B,5.582B,,18.40B,22.53B,22.53B,15.84B,15.84B,2.605B,,38.37B,56.77B,,1.788B,39.92B,39.89B,29.33B,,,-4.76B,47.50B,,AOR,Restated
2013-03,13.02B,2.998B,16.02B,7.965B,7.965B,,,,6.773B,,4.484B,,35.24B,,,,,,33.42B,-17.62B,15.80B,12.21B,28.11B,40.32B,7.948B,6.891B,70.96B,106.20B,,2.084B,1.338B,1.075B,4.497B,9.569B,14.07B,,,4.736B,4.736B,,18.80B,16.09B,16.09B,15.70B,15.70B,2.577B,,31.79B,50.59B,,1.788B,40.27B,40.73B,25.13B,,,-4.629B,53.03B,,AOR,Restated
2012-12,13.45B,2.69B,16.14B,7.672B,7.672B,,,,6.535B,,4.509B,,34.86B,0.00,591.00M,13.20B,17.19B,2.44B,33.42B,-17.38B,16.03B,12.13B,29.08B,41.22B,7.305B,6.723B,71.28B,106.13B,,1.753B,1.343B,1.20B,4.296B,9.737B,14.03B,,,4.315B,4.315B,,18.35B,16.25B,16.25B,5.74B,5.74B,2.443B,10.33B,32.32B,50.67B,,1.788B,39.98B,40.65B,24.72B,,,-4.682B,53.02B,,AOR,Restated
2012-09,17.36B,757.00M,18.12B,7.952B,7.952B,,,,6.731B,,3.429B,,36.23B,,,,,,33.36B,-17.48B,15.88B,12.17B,30.32B,42.49B,5.56B,6.135B,70.07B,106.30B,,1.804B,1.315B,1.512B,4.631B,8.923B,13.55B,,2.029B,2.029B,2.029B,,15.58B,17.57B,17.57B,14.94B,14.94B,2.465B,,32.51B,48.09B,,1.788B,40.39B,40.47B,23.86B,,,-3.04B,55.75B,,AOR,Restated
2012-06,16.75B,698.00M,17.45B,8.152B,8.152B,5.97B,1.808B,,6.249B,,3.788B,,35.64B,,,,,,32.92B,-17.05B,15.87B,12.16B,31.62B,43.78B,4.085B,6.156B,69.89B,105.52B,,1.674B,1.308B,1.091B,4.073B,8.917B,12.99B,,,3.922B,3.922B,,16.91B,15.06B,15.06B,15.88B,15.88B,2.479B,,30.94B,47.85B,,1.788B,39.95B,40.55B,23.97B,,,-3.126B,55.19B,,AOR,Restated
2012-03,14.66B,910.00M,15.57B,8.726B,8.726B,6.067B,1.779B,,6.339B,,3.713B,,34.34B,,,,,,32.82B,-16.70B,16.12B,12.16B,33.00B,45.16B,3.972B,5.913B,71.16B,105.51B,,2.358B,1.281B,1.19B,4.829B,8.823B,13.65B,,,2.93B,2.93B,,16.58B,15.23B,15.23B,16.38B,16.38B,2.454B,,31.61B,48.20B,,1.788B,39.44B,40.65B,23.80B,,,-3.217B,54.86B,,AOR,Restated
2011-12,13.53B,1.441B,14.97B,8.261B,8.261B,,,,6.254B,,3.694B,,33.18B,0.00,623.00M,12.73B,16.92B,2.198B,32.47B,-16.18B,16.30B,12.16B,34.30B,46.46B,3.458B,5.735B,71.95B,105.13B,,2.023B,1.281B,781.00M,4.085B,10.17B,14.26B,,,1.99B,1.99B,,16.24B,15.52B,15.52B,16.42B,16.42B,2.426B,,31.94B,48.18B,,1.788B,38.99B,40.66B,23.79B,,,-3.132B,54.52B,,AOR,Restated
2011-09,14.25B,1.323B,15.58B,8.136B,8.136B,,,,6.239B,,4.158B,,34.11B,,,,,,32.06B,-15.67B,16.38B,12.23B,35.82B,48.05B,2.423B,5.569B,72.42B,106.53B,,2.282B,1.166B,1.462B,4.91B,9.228B,14.14B,,2.455B,2.455B,2.455B,,16.59B,15.69B,15.69B,16.65B,16.65B,2.456B,,32.34B,48.94B,,1.788B,38.76B,40.72B,23.42B,,,-2.713B,55.14B,,AOR,Restated
2011-06,12.34B,1.639B,13.98B,8.475B,8.475B,6.334B,1.44B,,6.225B,,3.687B,,32.37B,,,,,,31.87B,-15.20B,16.67B,12.38B,37.06B,49.45B,2.175B,5.534B,73.83B,106.20B,,2.143B,1.176B,1.174B,4.493B,8.747B,13.24B,,,2.523B,2.523B,,15.76B,15.78B,15.78B,16.73B,16.73B,2.426B,,32.51B,48.27B,,1.788B,38.24B,40.66B,22.42B,,,-2.776B,55.50B,,AOR,Restated
2011-03,11.70B,1.334B,13.03B,7.955B,7.955B,6.107B,1.384B,,6.057B,,3.983B,,31.02B,,,,,,31.35B,-14.52B,16.83B,12.21B,37.91B,50.11B,2.084B,5.811B,74.84B,105.86B,,2.402B,1.177B,1.326B,4.905B,8.555B,13.46B,,,2.202B,2.202B,,15.66B,15.64B,15.64B,17.72B,17.72B,2.455B,,33.36B,49.03B,,1.788B,37.40B,40.69B,22.32B,,,-3.17B,54.38B,,AOR,Restated
2010-12,10.90B,1.301B,12.20B,7.344B,7.344B,,,,5.868B,,3.651B,,29.06B,0.00,658.00M,11.94B,15.89B,2.066B,30.56B,-13.48B,17.08B,12.38B,39.46B,51.83B,2.175B,5.626B,76.72B,105.78B,,2.308B,1.176B,1.243B,4.727B,8.514B,13.24B,,,2.40B,2.40B,,15.64B,15.48B,15.48B,17.85B,17.85B,2.429B,,33.34B,48.98B,,1.788B,37.54B,40.70B,22.43B,,,-3.216B,54.38B,,AOR,Restated
2010-06,8.666B,1.277B,9.943B,6.276B,6.276B,5.619B,1.879B,,6.244B,,3.791B,,26.25B,,,,,,30.15B,-12.82B,17.33B,12.23B,43.28B,55.51B,2.046B,5.030B,79.92B,106.17B,,2.172B,1.182B,879.40M,4.233B,6.834B,11.07B,,,4.147B,4.147B,206.00M,15.42B,13.84B,13.84B,19.25B,19.25B,2.434B,,33.08B,48.50B,,1.786B,40.08B,40.34B,22.32B,,,-4.659B,55.23B,,AOR,Restated
2010-03,8.236B,1.541B,9.777B,7.498B,7.498B,6.263B,2.034B,,6.825B,,4.144B,,28.24B,,,,,,30.21B,-12.22B,17.98B,12.27B,45.57B,57.84B,1.995B,5.528B,83.35B,111.59B,,2.075B,1.190B,723.00M,3.988B,8.439B,12.43B,,,3.822B,3.822B,206.20M,16.46B,15.28B,15.28B,19.51B,19.51B,2.465B,,34.80B,51.25B,,1.786B,40.51B,40.20B,21.04B,,,-3.572B,57.88B,,AOR,Restated
2009-12,9.311B,293.00M,9.604B,6.603B,6.603B,,,,8.048B,,4.177B,,28.43B,0.00,667.00M,12.23B,16.16B,1.818B,30.87B,-12.60B,18.28B,12.04B,47.76B,59.80B,432.00M,5.376B,83.88B,112.31B,,2.244B,1.189B,1.167B,4.60B,9.455B,14.06B,,,1.379B,1.379B,207.00M,15.64B,16.10B,16.10B,19.09B,19.09B,2.427B,,35.19B,50.83B,,1.781B,41.40B,39.68B,21.04B,,,-2.767B,59.06B,,AOR,Restated
2009-09,21.82B,439.40M,22.26B,3.804B,3.804B,2.479B,513.10M,,2.096B,,1.512B,,29.67B,,,,,,23.97B,-12.36B,11.61B,1.439B,555.90M,1.995B,464.60M,4.997B,19.07B,48.74B,,568.40M,804.40M,474.80M,1.848B,5.311B,7.159B,,,866.80M,866.80M,,8.026B,8.205B,8.205B,7.160B,7.160B,2.442B,,15.36B,23.39B,,29.80M,47.69B,8.542B,30.68B,,,-2.675B,22.91B,,AOR,Restated
2009-06,12.46B,4.475B,16.93B,3.663B,3.663B,2.454B,511.40M,,2.155B,,6.483B,,29.23B,,,,,,24.13B,-12.41B,11.71B,1.439B,581.10M,2.020B,110.10M,6.332B,20.17B,49.41B,,526.50M,804.20M,272.80M,1.604B,7.402B,9.005B,,,2.502B,2.502B,,11.51B,8.181B,8.181B,6.982B,6.982B,2.412B,,15.16B,26.67B,,29.80M,45.07B,8.466B,30.69B,,,-2.550B,20.32B,,AOR,Restated
2009-03,6.017B,6.564B,12.58B,3.570B,3.570B,2.335B,492.20M,,2.128B,,7.906B,,26.18B,,,,,,24.28B,-12.45B,11.83B,1.439B,614.20M,2.053B,78.70M,6.400B,20.36B,46.54B,,622.50M,803.60M,480.20M,1.906B,8.711B,10.62B,,,2.799B,2.799B,,13.42B,3.939B,3.939B,7.187B,7.187B,2.438B,,11.13B,24.54B,,29.80M,44.32B,8.387B,30.70B,,,-2.473B,19.56B,,AOR,Restated
2008-12,4.368B,1.118B,5.486B,2.908B,2.908B,,,,2.091B,,8.628B,,19.11B,0.00,386.10M,9.767B,13.10B,871.00M,24.13B,-12.13B,12.00B,1.439B,525.40M,1.964B,6.491B,7.628B,28.08B,47.20B,,617.60M,803.50M,1.426B,2.848B,9.174B,12.02B,,,2.297B,2.297B,,14.32B,3.943B,3.943B,7.767B,7.767B,2.409B,,11.71B,26.03B,,29.80M,43.70B,8.319B,30.74B,,,-2.554B,18.76B,,,Restated
2008-09,5.720B,1.121B,6.841B,3.643B,3.643B,2.072B,463.60M,108.30M,2.228B,,6.706B,,19.42B,,,,,,23.97B,-11.87B,12.10B,1.439B,558.20M,1.997B,,15.03B,29.13B,48.55B,,474.70M,,,474.70M,9.271B,9.746B,,,2.994B,2.994B,1.688B,14.43B,3.939B,3.939B,8.168B,8.168B,2.440B,,12.11B,26.54B,,29.80M,42.86B,8.270B,30.55B,,,-1.034B,19.57B,,,Restated
2008-06,7.345B,2.642B,9.988B,3.647B,3.647B,2.074B,436.30M,122.40M,2.191B,1.768B,,,17.59B,,,,,,23.81B,-11.57B,12.24B,1.434B,596.20M,2.031B,,15.59B,29.86B,47.46B,,530.90M,,,530.90M,6.276B,6.807B,,,1.181B,1.181B,1.730B,9.719B,3.932B,3.932B,11.14B,11.14B,2.410B,,15.07B,24.79B,,29.80M,42.57B,8.188B,29.60B,,,-935.60M,20.26B,,,Restated
2008-03,6.289B,2.874B,9.164B,3.761B,3.761B,1.901B,421.80M,120.30M,2.076B,2.046B,,,17.05B,,,,,,24.02B,-11.73B,12.29B,1.455B,653.80M,2.109B,,15.59B,29.99B,47.04B,,626.90M,,,626.90M,6.580B,7.207B,,,421.50M,421.50M,2.168B,9.797B,3.965B,3.965B,11.32B,11.32B,2.437B,,15.29B,25.08B,,29.80M,41.62B,8.076B,29.44B,,,-764.40M,19.52B,,,Restated
2007-12,5.336B,2.895B,8.231B,3.636B,3.636B,1.732B,382.90M,-234.10M,1.881B,,1.297B,,15.05B,0.00,405.80M,10.05B,13.55B,795.60M,24.80B,-12.46B,12.35B,1.455B,713.20M,2.168B,,18.79B,33.31B,48.35B,,624.50M,,,624.50M,8.535B,9.159B,,,1.824B,1.824B,1.275B,12.26B,3.916B,3.916B,11.59B,11.59B,2.407B,,15.50B,27.76B,,29.80M,39.14B,8.015B,28.17B,62.90M,-889.00M,-826.10M,18.18B,,,
2007-09,5.208B,2.183B,7.392B,3.502B,3.502B,1.672B,409.40M,101.10M,1.850B,1.421B,,,14.16B,,,,,,24.65B,-12.16B,12.49B,1.432B,771.30M,2.203B,,16.84B,31.54B,45.70B,,392.10M,,,392.10M,6.453B,6.845B,,,1.973B,1.973B,1.688B,10.51B,3.874B,3.874B,8.162B,8.162B,2.437B,,12.04B,22.54B,,29.80M,41.60B,7.823B,27.68B,,,-1.054B,20.72B,,,
