,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,361.80M,,361.80M,1.613B,348.60M,1.962B,226.20M,226.20M,347.00M,,,2.897B,,,,,,,,,,1.750B,7.616B,4.298B,11.91B,58.40M,1.70M,212.10M,13.94B,16.83B,519.10M,,,519.10M,749.10M,1.268B,,400.00M,,9.50M,409.50M,8.20M,417.70M,418.10M,418.10M,,,2.104B,6.304B,55.60M,6.359B,991.40M,,991.40M,,,,20.20M,372.80M,7.744B,9.848B,12.00M,6.369B,1.969B,1.085B,,,,-281.20M,6.984B
2017-12,316.60M,,316.60M,1.531B,316.50M,1.848B,227.20M,227.20M,308.80M,,,2.734B,0.0,78.10M,689.30M,1.907B,78.90M,183.20M,329.30M,3.266B,-1.559B,1.707B,7.401B,4.166B,11.57B,58.40M,1.90M,605.30M,13.94B,16.67B,573.90M,70.60M,6.20M,650.70M,303.90M,954.60M,43.30M,400.00M,,9.20M,409.20M,8.30M,417.50M,380.80M,380.80M,,20.20M,2.186B,6.287B,57.80M,6.345B,875.50M,,940.00M,61.40M,209.80M,,20.80M,40.30M,7.683B,9.869B,12.00M,6.196B,1.990B,1.060B,,,,-333.70M,6.804B
2017-09,409.30M,,409.30M,1.557B,267.30M,1.824B,217.20M,217.20M,450.20M,,,2.901B,,,,,,,,,,1.736B,7.325B,4.415B,11.74B,64.70M,2.10M,247.80M,13.79B,16.69B,595.40M,,,595.40M,610.10M,1.206B,,0.00,,9.70M,9.70M,8.40M,18.10M,313.60M,313.60M,,,1.537B,7.141B,59.30M,7.200B,1.398B,,1.398B,,,,26.90M,403.40M,9.029B,10.57B,12.00M,5.517B,1.998B,1.059B,,,,-342.50M,6.126B
2017-06,299.90M,,299.90M,1.379B,247.30M,1.627B,209.90M,209.90M,379.30M,,,2.516B,,,,,,,,,,1.718B,6.641B,3.621B,10.26B,67.20M,2.10M,337.00M,12.39B,14.90B,491.70M,,,491.70M,617.00M,1.109B,,500.00M,,11.90M,511.90M,7.70M,519.60M,177.20M,177.20M,,,1.806B,5.554B,54.10M,5.608B,1.194B,,1.194B,,,,15.90M,401.00M,7.219B,9.024B,12.00M,5.337B,1.973B,1.059B,,,,-384.30M,5.878B
2017-03,365.50M,,365.50M,1.357B,220.70M,1.578B,199.80M,199.80M,343.10M,,,2.486B,,,,,,,,,,1.72B,6.502B,3.469B,9.971B,58.10M,2.10M,190.40M,11.94B,14.43B,484.90M,,,484.90M,564.70M,1.050B,,500.00M,,11.80M,511.80M,7.40M,519.20M,184.40M,184.40M,,,1.753B,5.346B,55.40M,5.402B,1.212B,,1.212B,,,,15.50M,394.30M,7.024B,8.777B,12.10M,5.148B,2.051B,1.033B,,,,-527.10M,5.651B
2016-12,433.60M,,433.60M,1.329B,190.00M,1.519B,205.20M,205.20M,321.20M,,,2.479B,0.0,78.40M,692.80M,1.763B,81.30M,193.00M,302.00M,3.111B,-1.392B,1.719B,6.424B,3.400B,9.825B,57.60M,2.10M,165.10M,11.77B,14.25B,508.40M,61.20M,9.50M,579.10M,176.80M,755.90M,58.00M,500.00M,,41.10M,541.10M,8.40M,549.50M,176.00M,176.00M,,,1.828B,5.244B,56.20M,5.30B,1.206B,,1.261B,67.40M,234.30M,,15.20M,36.10M,6.914B,8.741B,12.10M,4.956B,2.132B,1.013B,,,,-581.10M,5.506B
2016-09,567.60M,,567.60M,1.347B,216.30M,1.563B,198.80M,198.80M,325.60M,,,2.655B,,,,,,,,,,1.731B,6.389B,3.457B,9.846B,60.40M,1.90M,189.00M,11.83B,14.48B,454.80M,,,454.80M,589.70M,1.044B,,630.00M,,60.90M,690.90M,7.30M,698.20M,169.50M,169.50M,,,1.912B,5.411B,62.50M,5.473B,1.228B,,1.228B,,,,15.60M,330.70M,7.047B,8.960B,12.10M,4.771B,2.130B,1.012B,,,,-378.00M,5.523B
2016-06,639.60M,,639.60M,1.314B,203.30M,1.518B,189.60M,189.60M,297.20M,,,2.644B,,,,,,,,,,1.742B,6.218B,3.358B,9.576B,61.70M,2.00M,173.10M,11.55B,14.20B,443.50M,,,443.50M,565.40M,1.009B,,0.00,,80.90M,80.90M,6.50M,87.40M,175.30M,175.30M,,,1.272B,5.907B,61.00M,5.968B,1.311B,,1.311B,,,,15.90M,320.30M,7.614B,8.886B,12.10M,4.581B,2.088B,1.011B,,,,-357.40M,5.313B
2016-03,696.30M,,696.30M,1.328B,171.80M,1.500B,188.20M,188.20M,360.10M,,,2.745B,,,,,,,,,,1.772B,6.252B,3.410B,9.663B,61.20M,2.30M,167.50M,11.67B,14.41B,466.00M,,,466.00M,584.90M,1.051B,,325.00M,,94.20M,419.20M,6.20M,425.40M,166.40M,166.40M,,,1.643B,5.907B,62.10M,5.970B,1.293B,,1.293B,,,,15.80M,322.70M,7.601B,9.244B,12.00M,4.383B,2.023B,993.20M,,,,-258.30M,5.166B
2015-12,716.40M,,716.40M,1.218B,156.60M,1.374B,191.00M,191.00M,339.30M,,,2.621B,0.0,96.40M,681.60M,1.576B,65.10M,180.40M,271.60M,2.871B,-1.124B,1.747B,6.202B,3.324B,9.526B,58.20M,2.30M,150.00M,11.48B,14.10B,497.40M,83.80M,7.20M,588.40M,188.40M,776.80M,70.70M,325.00M,,93.50M,418.50M,5.40M,423.90M,146.10M,146.10M,,,1.700B,5.885B,55.50M,5.940B,1.181B,,1.227B,30.60M,214.00M,,14.90M,32.10M,7.459B,9.160B,12.00M,4.224B,1.974B,978.10M,,,,-287.00M,4.945B
2015-09,713.00M,,713.00M,1.235B,161.80M,1.397B,181.60M,181.60M,378.30M,37.20M,,2.707B,,,,,,,,,,1.807B,6.069B,3.561B,9.630B,61.80M,,217.00M,11.72B,14.42B,445.00M,,,445.00M,583.00M,1.028B,,575.00M,,95.40M,670.40M,4.30M,674.70M,141.70M,141.70M,0.00,,1.844B,5.954B,52.90M,6.006B,1.291B,,1.291B,,,,15.50M,351.10M,7.664B,9.509B,12.00M,4.109B,1.938B,976.30M,,,,-168.50M,4.914B
2015-06,619.00M,,619.00M,1.201B,163.50M,1.365B,182.00M,182.00M,387.30M,32.80M,,2.586B,,,,,,,,,,1.832B,6.137B,3.645B,9.781B,68.60M,,197.40M,11.88B,14.47B,438.80M,,,438.80M,567.70M,1.006B,,575.00M,,94.90M,669.90M,4.20M,674.10M,142.50M,142.50M,0.00,,1.823B,6.059B,54.00M,6.113B,1.373B,,1.373B,,,,16.50M,370.10M,7.872B,9.696B,12.00M,3.956B,1.878B,975.90M,,,,-99.80M,4.770B
2015-03,446.40M,,446.40M,1.187B,164.30M,1.351B,186.50M,186.50M,319.80M,24.50M,,2.328B,,,,,,,,,,1.597B,6.282B,3.603B,9.886B,88.90M,,250.50M,11.82B,14.15B,420.80M,,,420.80M,488.90M,909.70M,,250.00M,,94.40M,344.40M,4.20M,348.60M,153.90M,153.90M,0.00,,1.412B,6.544B,53.70M,6.598B,1.268B,,1.268B,,,,16.20M,338.40M,8.221B,9.633B,12.00M,3.787B,1.823B,973.30M,,,,-131.10M,4.518B
2014-12,580.00M,,580.00M,815.70M,,815.70M,139.50M,139.50M,157.50M,0.00,,1.693B,0.0,29.30M,201.80M,1.212B,42.90M,126.70M,200.10M,1.813B,-1.026B,786.50M,3.099B,1.476B,4.575B,92.60M,,154.80M,5.609B,7.302B,282.30M,32.00M,8.20M,322.50M,102.50M,425.00M,14.80M,250.00M,,93.90M,343.90M,3.20M,347.10M,,5.50M,5.50M,,976.30M,2.644B,39.20M,2.683B,530.40M,3.40M,577.20M,51.40M,167.70M,,17.70M,8.30M,3.505B,4.481B,10.40M,3.786B,0.00,965.50M,,,,-10.50M,2.820B
2014-09,575.70M,,575.70M,841.60M,,841.60M,138.80M,138.80M,126.30M,5.40M,,1.688B,,,,,,,,,,754.70M,3.066B,1.489B,4.556B,94.70M,,138.80M,5.544B,7.232B,286.20M,,,286.20M,365.20M,651.40M,,,,95.60M,95.60M,2.00M,97.60M,,0.00,0.00,,749.00M,2.892B,25.10M,2.917B,552.60M,,552.60M,,,,18.40M,223.90M,3.712B,4.461B,10.40M,3.686B,0.00,965.50M,,,,40.30M,2.771B
2014-06,479.50M,,479.50M,832.60M,,832.60M,134.50M,134.50M,115.20M,4.10M,,1.566B,,,,,,,,,,741.20M,3.069B,1.546B,4.615B,96.50M,,126.20M,5.579B,7.145B,280.60M,,,280.60M,362.60M,643.20M,,,,95.90M,95.90M,1.70M,97.60M,,0.00,0.00,,740.80M,2.888B,21.50M,2.910B,568.60M,,568.60M,,,,19.30M,249.80M,3.748B,4.488B,10.40M,3.553B,0.00,965.50M,,,,58.50M,2.656B
2014-03,338.90M,,338.90M,822.00M,,822.00M,134.80M,134.80M,125.20M,,,1.421B,,,,,,,,,,733.10M,3.067B,1.538B,4.606B,87.30M,,145.60M,5.572B,6.992B,281.90M,,,281.90M,358.00M,639.90M,,,,104.40M,104.40M,0.90M,105.30M,,8.40M,8.40M,,753.60M,2.886B,16.80M,2.903B,561.90M,,561.90M,,,,18.60M,254.00M,3.738B,4.491B,10.40M,3.409B,0.00,963.50M,,,,45.50M,2.501B
2013-12,404.00M,,404.00M,784.70M,,784.70M,136.50M,136.50M,106.90M,,,1.432B,0.0,29.00M,188.80M,1.175B,14.60M,127.90M,196.50M,1.732B,-1.024B,707.40M,3.023B,1.572B,4.595B,88.50M,,143.10M,5.534B,6.966B,304.50M,24.20M,8.10M,336.80M,88.20M,425.00M,23.50M,0.00,,110.80M,110.80M,0.50M,111.30M,,9.90M,9.90M,,735.70M,2.875B,14.10M,2.889B,563.90M,4.00M,604.20M,55.20M,160.50M,,19.40M,10.50M,3.739B,4.475B,10.50M,3.374B,0.00,958.90M,,,,66.20M,2.491B
2013-09,174.10M,,174.10M,813.20M,,813.20M,126.50M,126.50M,79.90M,19.20M,,1.213B,,,,,,,,,,672.60M,2.991B,1.601B,4.592B,86.80M,,122.10M,5.474B,6.687B,262.00M,,,262.00M,308.20M,570.20M,,0.00,,110.40M,110.40M,,110.40M,,,,,680.60M,2.554B,,2.554B,563.30M,,563.30M,,,,20.00M,303.70M,3.440B,4.121B,10.70M,3.462B,0.00,958.90M,,,,52.10M,2.566B
2013-06,111.30M,,111.30M,815.70M,,815.70M,126.40M,126.40M,75.30M,19.30M,,1.148B,,,,,,,,,,646.90M,2.987B,1.606B,4.593B,87.50M,,116.60M,5.444B,6.592B,253.40M,,,253.40M,281.80M,535.20M,,0.00,10.00M,109.90M,119.90M,,119.90M,,,,,655.10M,2.39B,,2.39B,559.10M,,559.10M,,,,20.40M,303.90M,3.273B,3.928B,11.00M,3.575B,0.00,958.90M,,,,36.70M,2.663B
2013-03,185.80M,,185.80M,793.80M,,793.80M,124.00M,124.00M,67.40M,19.00M,,1.19B,,,,,,,,,,634.60M,2.912B,1.628B,4.539B,86.80M,,118.90M,5.379B,6.569B,246.60M,,,246.60M,346.00M,592.60M,,0.00,30.00M,117.90M,147.90M,,147.90M,,,,,740.50M,2.175B,,2.175B,552.50M,,552.50M,,,,20.90M,302.20M,3.051B,3.791B,11.20M,3.668B,0.00,954.20M,,,,53.80M,2.778B
2012-12,466.80M,,466.80M,718.50M,,718.50M,121.00M,121.00M,74.60M,10.90M,,1.392B,0.0,24.90M,138.80M,1.063B,1.50M,154.60M,193.30M,1.576B,-944.90M,630.80M,2.902B,1.668B,4.569B,78.10M,,124.90M,5.403B,6.795B,236.90M,24.00M,13.80M,274.70M,95.90M,370.60M,19.90M,350.00M,,130.00M,480.00M,0.00,480.00M,,0.00,0.00,,1.028B,2.175B,0.00,2.175B,546.00M,5.40M,551.40M,73.90M,183.20M,,20.70M,44.90M,3.049B,4.078B,11.30M,3.588B,0.00,951.80M,,,,69.40M,2.717B
2012-09,466.00M,,466.00M,768.90M,,768.90M,,118.90M,78.20M,23.80M,,1.456B,,,,,,,,,,612.20M,2.877B,1.672B,4.550B,80.70M,,115.70M,5.358B,6.814B,247.40M,,,247.40M,386.90M,634.30M,,,,,485.10M,,485.10M,,,,,1.119B,2.175B,,2.175B,558.90M,,558.90M,,,20.90M,,223.40M,2.957B,4.077B,11.40M,3.588B,0.00,951.80M,,,,69.60M,2.717B
2012-06,124.40M,,124.40M,735.70M,,735.70M,,114.00M,68.10M,21.00M,0.10M,1.063B,,,,,,,,,,576.20M,2.694B,1.589B,4.283B,79.00M,,96.80M,5.035B,6.098B,234.50M,,,234.50M,349.60M,584.10M,,,,,134.40M,,134.40M,,,,,718.50M,1.975B,,1.975B,525.60M,,525.60M,,,20.20M,,227.00M,2.728B,3.446B,11.50M,3.523B,0.00,951.80M,,,,49.40M,2.632B
2012-03,129.90M,,129.90M,751.70M,,751.70M,,107.00M,69.80M,23.50M,,1.082B,,,,,,,,,,577.20M,2.680B,1.617B,4.297B,79.90M,,94.70M,5.049B,6.131B,225.70M,,,225.70M,407.50M,633.20M,,,,,136.00M,,136.00M,,,,,769.20M,1.985B,,1.985B,522.10M,,522.10M,,,,,256.30M,2.764B,3.533B,11.60M,3.470B,0.00,943.50M,,,,59.90M,2.598B
2011-12,159.30M,,159.30M,699.80M,,699.80M,110.80M,110.80M,79.60M,10.50M,,1.06B,0.0,24.80M,121.80M,997.50M,1.50M,115.50M,182.50M,1.444B,-865.30M,578.30M,2.682B,1.621B,4.302B,76.80M,,94.20M,5.052B,6.112B,257.80M,35.80M,14.30M,307.90M,100.30M,408.20M,19.30M,0.00,,135.50M,135.50M,,135.50M,,,,,732.60M,2.086B,,2.086B,477.90M,5.90M,483.80M,54.60M,190.20M,,20.20M,41.40M,2.876B,3.608B,11.70M,3.387B,0.00,940.90M,,,,45.50M,2.504B
2011-09,85.80M,,85.80M,718.70M,,718.70M,,103.80M,78.40M,85.90M,,1.073B,,,,,,,,,,577.40M,2.641B,1.593B,4.234B,75.40M,,93.70M,4.981B,6.053B,222.90M,,,222.90M,404.30M,627.20M,,,,,214.30M,,214.30M,,,,140.70M,982.20M,1.769B,,1.769B,569.80M,,569.80M,,,19.60M,,169.00M,2.508B,3.490B,11.90M,3.402B,0.00,940.90M,,,,70.10M,2.543B
2011-06,118.90M,,118.90M,714.80M,,714.80M,,106.80M,64.40M,78.70M,,1.084B,,,,,,,,,,586.40M,2.644B,1.676B,4.320B,79.40M,,98.60M,5.085B,6.168B,212.50M,,,212.50M,444.70M,657.20M,,,,,215.10M,,215.10M,,,,153.40M,1.026B,1.788B,,1.788B,586.80M,,586.80M,,,21.40M,,166.40M,2.541B,3.567B,12.10M,3.327B,72.70M,940.90M,,,,109.30M,2.580B
2011-03,195.40M,,195.40M,717.30M,,717.30M,,98.00M,71.80M,65.10M,,1.148B,,,,,,,,,,579.50M,2.613B,1.677B,4.290B,82.60M,,102.20M,5.054B,6.202B,215.40M,,152.30M,367.70M,435.20M,802.90M,,,,,396.80M,,396.80M,,,,,1.200B,1.808B,,1.808B,617.20M,,617.20M,,,21.20M,,155.20M,2.580B,3.78B,12.00M,3.204B,17.70M,937.60M,,,,104.60M,2.400B
2010-12,230.70M,,230.70M,655.60M,,655.60M,,103.40M,95.70M,58.40M,,1.144B,0.0,25.80M,125.40M,966.10M,,95.60M,175.10M,1.388B,-801.10M,586.90M,2.601B,1.674B,4.275B,78.50M,,103.20M,5.044B,6.188B,257.80M,,,257.80M,352.90M,610.70M,,,,,361.70M,,361.70M,,,,148.10M,1.120B,1.827B,,1.827B,602.30M,,602.30M,,,20.60M,,151.40M,2.580B,3.701B,12.20M,3.247B,53.90M,934.90M,,,,88.50M,2.466B
2010-09,96.90M,,96.90M,631.00M,,631.00M,,88.20M,68.70M,63.90M,,948.70M,,,,,,,,,,504.60M,2.035B,1.382B,3.417B,79.90M,,97.50M,4.099B,5.048B,177.10M,,,177.10M,348.80M,525.90M,,,,,425.40M,,425.40M,,,,,951.30M,920.60M,,920.60M,599.40M,,599.40M,,,20.00M,,286.10M,1.806B,2.757B,12.10M,3.115B,0.00,934.90M,,,,78.20M,2.270B
2010-06,103.80M,,103.80M,617.60M,,617.60M,,86.30M,69.00M,39.10M,,915.80M,,,,,,,,,,499.10M,2.013B,1.359B,3.372B,71.40M,,99.80M,4.043B,4.958B,195.40M,,,195.40M,316.80M,512.20M,,,,,383.40M,,383.40M,,,,,895.60M,939.40M,,939.40M,597.50M,,597.50M,,,19.30M,,297.60M,1.834B,2.730B,12.30M,3.073B,0.00,934.90M,,,,59.00M,2.209B
2010-03,172.20M,,172.20M,614.30M,,614.30M,,82.50M,74.30M,37.70M,,981.00M,,,,,,,,,,488.40M,1.911B,1.382B,3.293B,69.20M,,102.40M,3.953B,4.934B,169.30M,,,169.30M,347.10M,516.40M,,,,,370.00M,,370.00M,,,,,886.40M,958.30M,,958.30M,604.00M,,604.00M,,,20.20M,,306.90M,1.869B,2.756B,12.40M,3.003B,0.00,934.90M,,,,78.20M,2.158B
2009-12,148.50M,,148.50M,574.20M,,574.20M,,90.00M,80.10M,42.80M,,935.60M,0.0,23.40M,116.70M,922.80M,,49.80M,150.50M,1.263B,-762.40M,500.80M,1.897B,1.342B,3.239B,71.40M,,90.70M,3.902B,4.838B,183.10M,,,183.10M,275.70M,458.80M,,,,,417.20M,,417.20M,,,,142.40M,1.018B,977.20M,,977.20M,577.70M,,577.70M,,,0.00,,158.40M,1.713B,2.732B,12.50M,2.928B,36.70M,932.50M,,,,61.50M,2.106B
2009-09,126.80M,,126.80M,636.90M,,636.90M,,81.60M,96.30M,35.90M,,977.50M,,,,,,,,,,493.50M,1.855B,1.342B,3.197B,75.20M,,86.90M,3.853B,4.830B,174.60M,,,174.60M,307.20M,481.80M,,,,,120.80M,,120.80M,,,,,602.60M,1.28B,,1.28B,578.10M,,578.10M,,,140.40M,,200.20M,2.058B,2.661B,12.60M,2.785B,128.40M,932.50M,,,,,2.029B
2009-06,226.60M,,226.60M,655.30M,,655.30M,,71.20M,68.30M,33.60M,,1.055B,,,,,,,,,,496.80M,1.777B,1.234B,3.011B,68.80M,,81.30M,3.658B,4.713B,160.60M,,,160.60M,272.10M,432.70M,,,,,120.80M,,120.80M,,,,,553.50M,1.291B,,1.291B,568.80M,,568.80M,,,129.10M,,161.40M,2.021B,2.575B,12.90M,2.654B,273.60M,932.50M,,,,1.50M,2.009B
2009-03,373.20M,,373.20M,669.00M,,669.00M,,77.80M,70.90M,23.00M,,1.214B,,,,,,,,,,502.40M,1.776B,1.199B,2.976B,64.10M,,71.60M,3.614B,4.828B,170.30M,,,170.30M,306.80M,477.10M,,,,,120.80M,,120.80M,,,,,597.90M,1.591B,,1.591B,547.00M,,547.00M,,,119.00M,,155.00M,2.293B,2.891B,12.80M,2.517B,249.90M,932.50M,,,,-29.60M,1.818B
2008-12,219.70M,,219.70M,631.60M,,631.60M,,91.00M,83.80M,6.70M,,1.033B,0.0,20.60M,115.20M,882.40M,,57.10M,131.40M,1.207B,-710.30M,496.40M,1.772B,1.223B,2.995B,72.00M,,73.50M,3.637B,4.670B,159.70M,,,159.70M,266.40M,426.10M,,,,,120.80M,,120.80M,,,,,546.90M,1.600B,,1.600B,522.90M,,522.90M,,,121.30M,,189.60M,2.313B,2.860B,12.80M,2.385B,237.40M,929.80M,,,,-16.70M,1.688B
