,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-03,12.78B,12.78B,2.468B,10.31B,3.315B,1.716B,,1.186B,12.00M,-72.00M,309.00M,81.00M,-228.00M,,6.217B,4.094B,81.00M,309.00M,-228.00M,83.00M,-228.00M,3.951B,821.00M,3.13B,0.00,,-9.00M,,3.121B,3.178B,5.815B,1.555B,4.26B,0.52,0.0,,0.5295,0.52,0.51,0.0,,0.5194,0.51,6.006B,6.092B,0.32
2016-12,13.63B,13.63B,3.211B,10.42B,4.43B,2.532B,,1.122B,-1.055B,-1.673B,297.00M,113.00M,-184.00M,,8.084B,2.333B,113.00M,297.00M,-184.00M,-1.372B,-184.00M,776.00M,14.00M,764.00M,17.00M,,-6.00M,,775.00M,2.401B,2.622B,1.549B,1.073B,0.12,0.01,,0.3906,0.13,0.12,0.01,,0.3888,0.13,6.071B,6.111B,0.3
2016-09,13.04B,13.04B,3.085B,9.96B,3.559B,1.881B,,968.00M,1.555B,-2.068B,291.00M,123.00M,-168.00M,,6.408B,3.552B,123.00M,291.00M,-168.00M,-1.78B,-168.00M,1.604B,249.00M,1.355B,0.00,,0.00,,1.355B,3.102B,3.291B,1.396B,1.895B,0.22,0.0,,0.5081,0.22,0.22,0.0,,0.5041,0.22,6.066B,6.15B,0.3
2016-06,13.15B,13.15B,3.174B,9.973B,3.471B,1.748B,,961.00M,816.00M,-1.422B,292.00M,122.00M,-170.00M,,6.18B,3.793B,122.00M,292.00M,-170.00M,-1.214B,-170.00M,2.41B,347.00M,2.062B,1.00M,,-16.00M,,2.047B,3.263B,4.089B,1.387B,2.702B,0.34,0.0,,0.5406,0.34,0.33,0.0,,0.528,0.33,6.068B,6.149B,0.3
2016-03,13.00B,13.00B,2.851B,10.15B,3.385B,1.731B,,1.006B,131.00M,-588.00M,306.00M,113.00M,-193.00M,,6.122B,4.032B,113.00M,306.00M,-193.00M,-279.00M,-193.00M,3.561B,513.00M,3.048B,0.00,,-9.00M,,3.038B,3.541B,5.292B,1.425B,3.867B,0.49,0.0,,0.5718,0.49,0.49,0.0,,0.5709,0.49,6.15B,6.225B,0.3
2015-12,14.05B,14.05B,3.41B,10.64B,5.048B,2.348B,,980.00M,160.00M,-1.517B,335.00M,139.00M,-196.00M,,8.376B,2.261B,139.00M,335.00M,-196.00M,-2.417B,-196.00M,-354.00M,-188.00M,-166.00M,-3.00M,,-3.00M,,-172.00M,741.20M,1.405B,1.424B,-19.00M,-0.03,0.0,,0.1174,-0.03,-0.03,0.0,,0.1156,-0.03,6.176B,6.251B,0.28
2015-09,12.09B,12.09B,2.219B,9.868B,3.27B,1.722B,,937.00M,633.00M,-1.239B,278.00M,121.00M,-157.00M,,5.929B,3.939B,121.00M,278.00M,-157.00M,-1.085B,-157.00M,2.697B,567.00M,2.13B,8.00M,,-9.00M,,2.13B,3.101B,4.247B,1.272B,2.975B,0.34,0.01,,0.4987,0.35,0.34,0.0,,0.4968,0.34,6.168B,6.243B,0.28
2015-06,11.85B,11.85B,2.18B,9.673B,3.386B,1.734B,,872.00M,25.00M,-254.00M,278.00M,119.00M,-159.00M,,5.992B,3.681B,119.00M,278.00M,-159.00M,18.00M,-159.00M,3.539B,905.00M,2.635B,1.00M,,-9.00M,,2.626B,2.814B,5.018B,1.201B,3.817B,0.43,0.0,,0.4607,0.43,0.42,0.0,,0.4503,0.42,6.159B,6.243B,0.28
2015-03,10.86B,10.86B,1.838B,9.026B,3.104B,1.885B,,940.00M,0.00,14.00M,309.00M,93.00M,-216.00M,,5.929B,3.097B,93.00M,309.00M,-216.00M,202.00M,-216.00M,3.082B,706.00M,2.376B,5.00M,,-6.00M,,2.376B,2.360B,4.651B,1.26B,3.391B,0.38,0.0,,0.3783,0.38,0.38,0.0,,0.3783,0.38,6.203B,6.292B,0.28
2014-12,13.12B,13.12B,2.702B,10.42B,3.981B,3.209B,,949.00M,111.00M,-547.00M,353.00M,122.00M,-231.00M,,8.139B,2.277B,122.00M,353.00M,-231.00M,-243.00M,-231.00M,1.803B,545.00M,1.257B,-22.00M,,-7.00M,,1.228B,1.632B,3.487B,1.331B,2.156B,0.2,0.0,,0.2606,0.2,0.2,-0.01,,0.2599,0.19,6.295B,6.373B,0.26
2014-09,12.36B,12.36B,2.368B,9.993B,3.556B,1.802B,,972.00M,243.00M,-246.00M,343.00M,108.00M,-235.00M,,6.33B,3.663B,108.00M,343.00M,-235.00M,160.00M,-235.00M,3.587B,911.00M,2.676B,-3.00M,,-6.00M,,2.666B,2.853B,5.256B,1.326B,3.93B,0.42,0.0,,0.449,0.42,0.42,0.0,,0.4487,0.42,6.33B,6.403B,0.26
2014-06,12.77B,12.77B,2.462B,10.31B,3.52B,1.759B,,1.001B,0.00,-85.00M,343.00M,104.00M,-239.00M,,6.28B,4.031B,104.00M,343.00M,-239.00M,211.00M,-239.00M,4.003B,1.082B,2.921B,0.00,,-9.00M,1.00M,2.912B,2.974B,5.77B,1.424B,4.346B,0.46,0.0,,0.4697,0.46,0.45,0.0,,0.4596,0.45,6.368B,6.444B,0.26
2014-03,11.35B,11.35B,2.045B,9.308B,3.04B,1.623B,,1.117B,115.00M,-715.00M,321.00M,92.00M,-229.00M,,5.78B,3.528B,92.00M,321.00M,-229.00M,-452.00M,-229.00M,2.847B,582.00M,2.265B,73.00M,,-9.00M,,2.329B,2.825B,4.624B,1.456B,3.168B,0.35,0.01,,0.4391,0.36,0.35,0.01,,0.4379,0.36,6.389B,6.476B,0.26
2013-12,13.56B,13.56B,2.794B,10.76B,4.152B,1.811B,,1.123B,133.00M,-677.00M,347.00M,112.00M,-235.00M,,7.086B,3.678B,112.00M,347.00M,-235.00M,-382.00M,-235.00M,3.061B,430.00M,2.631B,-57.00M,,-6.00M,1.00M,2.568B,3.207B,4.897B,1.489B,3.408B,0.41,-0.01,,0.5004,0.4,0.4,-0.01,,0.4891,0.39,6.438B,6.532B,0.24
2013-09,12.64B,12.64B,2.287B,10.36B,3.395B,1.627B,,1.117B,220.00M,-417.00M,340.00M,94.00M,-246.00M,,6.139B,4.217B,94.00M,340.00M,-246.00M,-399.00M,-246.00M,3.573B,985.00M,2.588B,11.00M,,-9.00M,,2.59B,2.881B,5.434B,1.521B,3.913B,0.39,0.0,,0.4359,0.39,0.39,0.0,,0.4354,0.39,6.581B,6.656B,0.24
2013-06,12.97B,12.97B,2.242B,10.73B,3.591B,1.53B,,1.14B,127.00M,1.081B,356.00M,102.00M,-254.00M,,6.261B,4.47B,102.00M,356.00M,-254.00M,1.141B,-254.00M,5.357B,1.782B,3.575B,10.56B,,-39.00M,,14.10B,2.836B,7.339B,1.626B,5.713B,0.51,1.5,,0.4105,2.0,0.5,1.48,,0.4016,1.98,7.042B,7.117B,0.24
2013-03,12.41B,12.41B,2.263B,10.15B,3.217B,1.71B,,1.219B,398.00M,-420.00M,371.00M,95.00M,-276.00M,,6.146B,4.001B,95.00M,371.00M,-276.00M,516.00M,-276.00M,3.725B,1.109B,2.616B,149.00M,,-15.00M,,2.75B,2.552B,5.87B,1.774B,4.096B,0.36,0.02,,0.3532,0.38,0.36,0.02,,0.3532,0.38,7.187B,7.269B,0.24
2012-12,13.89B,13.89B,2.753B,11.14B,4.337B,2.021B,,1.22B,366.00M,-1.29B,373.00M,107.00M,-266.00M,,7.578B,3.56B,107.00M,373.00M,-266.00M,-1.217B,-266.00M,2.077B,599.00M,1.478B,4.843B,,-6.00M,1.00M,6.315B,2.390B,4.557B,2.107B,2.45B,0.2,0.66,,0.3254,0.86,0.2,0.65,,0.3244,0.85,7.319B,7.382B,0.22
2012-09,12.95B,12.95B,2.309B,10.64B,3.491B,1.887B,,1.211B,14.00M,-1.032B,381.00M,109.00M,-272.00M,,6.589B,4.055B,109.00M,381.00M,-272.00M,-977.00M,-272.00M,2.806B,-183.00M,2.989B,225.00M,,-6.00M,1.00M,3.208B,3.948B,4.843B,1.656B,3.187B,0.4,0.03,,0.5298,0.43,0.4,0.03,,0.5285,0.43,7.436B,7.508B,0.22
2012-06,13.97B,13.97B,2.376B,11.59B,3.665B,1.60B,,1.275B,78.00M,-718.00M,378.00M,85.00M,-293.00M,,6.54B,5.052B,85.00M,378.00M,-293.00M,-579.00M,-293.00M,4.18B,1.18B,3.00B,260.00M,,-7.00M,,3.253B,3.509B,6.229B,1.671B,4.558B,0.4,0.03,,0.469,0.44,0.4,0.03,,0.4684,0.43,7.476B,7.537B,0.22
2012-03,14.88B,14.88B,2.745B,12.14B,3.968B,2.062B,,1.42B,432.00M,-1.836B,390.00M,81.00M,-309.00M,,7.45B,4.69B,81.00M,390.00M,-309.00M,-1.946B,-309.00M,2.435B,711.00M,1.724B,79.00M,,-9.00M,,1.794B,3.015B,5.046B,2.221B,2.825B,0.23,0.01,,0.4025,0.24,0.23,0.01,,0.4011,0.24,7.537B,7.598B,0.22
2011-12,11.92B,11.92B,2.051B,9.866B,3.946B,2.194B,,1.327B,,-1.164B,396.00M,125.00M,-271.00M,,7.467B,2.399B,125.00M,396.00M,-271.00M,-796.00M,-271.00M,1.332B,454.00M,878.00M,570.00M,,-9.00M,,1.439B,1.636B,4.186B,2.458B,1.728B,0.19,-0.01,,0.2905,0.19,0.19,-0.01,,0.2896,0.19,7.637B,7.705B,0.2
2011-09,16.61B,16.61B,3.409B,13.20B,4.457B,2.176B,,1.389B,,-1.323B,423.00M,109.00M,-314.00M,,8.022B,5.178B,109.00M,423.00M,-314.00M,-1.323B,-314.00M,3.541B,1.216B,2.325B,1.424B,,-11.00M,,3.738B,3.183B,6.179B,2.215B,3.964B,0.3,0.18,,0.4118,0.48,0.3,0.18,,0.4112,0.48,7.77B,7.81B,0.2
2011-06,16.48B,16.48B,3.571B,12.91B,4.80B,2.231B,,1.384B,,-614.00M,287.00M,,-287.00M,,8.415B,4.499B,,287.00M,-287.00M,-614.00M,-287.00M,3.598B,1.077B,2.521B,97.00M,,-8.00M,,2.61B,2.943B,6.134B,2.249B,3.885B,0.32,0.01,,0.3746,0.33,0.32,0.01,,0.3742,0.33,7.875B,7.935B,0.2
2011-03,16.50B,16.50B,3.693B,12.81B,4.503B,2.091B,,1.376B,,-1.368B,458.00M,105.00M,-353.00M,,7.97B,4.839B,105.00M,458.00M,-353.00M,-1.368B,-353.00M,3.118B,894.00M,2.224B,10.00M,,-12.00M,,2.222B,3.188B,5.68B,2.104B,3.576B,0.28,0.0,,0.4022,0.28,0.28,0.0,,0.4014,0.28,7.982B,8.035B,0.2
2010-12,15.46B,15.46B,3.112B,12.35B,5.197B,2.893B,,1.392B,,-4.251B,459.00M,103.00M,-356.00M,,7.487B,4.863B,103.00M,459.00M,-356.00M,-3.525B,-356.00M,982.00M,-2.012B,2.994B,-97.00M,,-7.00M,,2.89B,5.750B,3.347B,1.906B,1.441B,0.37,-0.01,,0.715,0.36,0.37,-0.02,,0.7129,0.36,8.009B,8.059B,0.18
2010-09,16.00B,16.00B,3.79B,12.20B,4.599B,2.188B,,1.156B,,-499.00M,427.00M,100.00M,-327.00M,2.022B,9.965B,2.24B,100.00M,427.00M,-327.00M,-499.00M,-327.00M,1.414B,558.00M,856.00M,15.00M,,-5.00M,,866.00M,1.153B,4.07B,2.229B,1.841B,0.11,0.0,,0.1476,0.11,0.11,0.0,,0.1475,0.11,8.027B,8.057B,0.18
2010-06,17.13B,17.13B,3.684B,13.45B,4.774B,2.181B,,1.407B,,-885.00M,389.00M,85.00M,-304.00M,-29.00M,8.333B,5.115B,85.00M,389.00M,-304.00M,-885.00M,-304.00M,3.926B,1.472B,2.454B,31.00M,,-10.00M,,2.475B,2.997B,6.528B,2.213B,4.315B,0.3,0.0,,0.3688,0.31,0.3,0.0,,0.3685,0.31,8.046B,8.072B,0.18
2010-03,16.58B,16.58B,4.202B,12.37B,4.403B,2.221B,,1.409B,,-780.00M,522.00M,112.00M,-410.00M,2.00M,8.035B,4.339B,112.00M,522.00M,-410.00M,-780.00M,-410.00M,3.149B,1.135B,2.014B,21.00M,,-9.00M,,2.026B,2.504B,5.722B,2.051B,3.671B,0.25,0.0,,0.3119,0.25,0.25,0.0,,0.3116,0.25,8.061B,8.101B,0.18
2009-12,16.54B,16.54B,3.935B,12.60B,5.367B,2.813B,,1.122B,,-3.179B,464.00M,126.00M,-338.00M,-221.00M,9.081B,3.521B,126.00M,464.00M,-338.00M,-3.179B,-338.00M,4.00M,-755.00M,759.00M,8.00M,,0.00,,767.00M,2.825B,2.242B,1.774B,468.00M,0.06,0.0,,0.3233,0.06,0.06,0.0,,0.3214,0.06,7.847B,7.906B,0.16
2009-09,11.62B,11.62B,1.789B,9.832B,3.282B,1.632B,,594.00M,,-193.00M,369.00M,171.00M,-198.00M,-38.00M,5.47B,4.362B,171.00M,369.00M,-198.00M,-193.00M,-198.00M,3.971B,1.092B,2.879B,2.00M,,-3.00M,,2.878B,3.016B,5.309B,969.00M,4.34B,0.43,0.0,,0.4508,0.43,0.43,0.0,,0.4507,0.43,6.73B,6.762B,0.16
2009-06,10.98B,10.98B,1.756B,9.228B,3.35B,1.715B,,583.00M,,-531.00M,,,,,5.648B,3.58B,,,,-531.00M,,3.049B,786.00M,2.263B,3.00M,,-5.00M,,2.261B,2.652B,4.586B,1.006B,3.58B,0.34,0.0,,0.3986,0.34,0.34,0.0,,0.3984,0.34,6.728B,6.752B,0.16
2009-03,10.87B,10.87B,1.408B,9.459B,2.876B,1.705B,,578.00M,,-554.00M,,,,-57.00M,5.102B,4.357B,,,,-554.00M,,3.803B,1.074B,2.729B,1.00M,,-1.00M,,2.729B,3.126B,5.365B,1.008B,4.357B,0.41,0.0,,0.4691,0.41,0.4,0.0,,0.4589,0.4,6.723B,6.753B,0.32
2008-12,12.35B,12.35B,1.715B,10.63B,3.659B,2.936B,,605.00M,,-774.00M,,,,,10.00B,627.00M,,,,-774.00M,,625.00M,394.00M,231.00M,40.00M,,-5.00M,,266.00M,729.10M,418.00M,1.178B,-760.00M,0.03,0.01,,0.1049,0.04,0.03,0.01,,0.1045,0.04,6.718B,6.75B,0.32
2008-09,11.97B,11.97B,2.122B,9.851B,3.523B,1.885B,,621.00M,,-1.10B,,,,,6.029B,3.822B,,,,-1.10B,,2.722B,463.00M,2.259B,25.00M,,-6.00M,,2.278B,3.166B,5.018B,1.196B,3.822B,0.34,0.0,,0.4759,0.34,0.33,0.0,,0.4655,0.34,6.718B,6.736B,0.32
2008-06,12.13B,12.13B,2.289B,9.84B,3.863B,2.122B,,663.00M,,-402.00M,,,,,6.648B,3.192B,,,,-402.00M,,2.79B,25.00M,2.765B,17.00M,,-6.00M,,2.776B,3.157B,4.421B,1.229B,3.192B,0.41,0.0,,0.4692,0.41,0.41,0.0,,0.469,0.41,6.732B,6.748B,0.32
2008-03,11.85B,11.85B,1.986B,9.862B,3.492B,1.791B,,779.00M,,-243.00M,,,,,6.062B,3.80B,,,,-243.00M,,3.557B,763.00M,2.794B,-4.00M,,-6.00M,,2.784B,2.979B,5.287B,1.487B,3.80B,0.41,0.0,,0.4383,0.41,0.41,0.0,,0.4382,0.41,6.739B,6.762B,0.32
2007-12,12.87B,12.87B,2.625B,10.24B,4.653B,2.26B,,756.00M,,-705.00M,,,,,7.669B,2.576B,,,,-705.00M,,2.97B,223.00M,2.711B,13.00M,,-36.00M,1.00M,2.724B,3.363B,3.692B,1.116B,2.576B,0.4,0.0,,0.4962,0.4,0.39,0.0,,0.4859,0.39,6.776B,6.798B,0.29
2007-09,11.99B,11.99B,4.618B,7.372B,3.768B,1.999B,,774.00M,,-195.00M,,,,,6.541B,831.00M,,,,-195.00M,,636.00M,-161.00M,796.00M,-35.00M,,-1.00M,1.00M,761.00M,922.75M,2.203B,1.372B,831.00M,0.12,-0.01,,0.1384,0.11,0.12,-0.01,,0.1384,0.11,6.875B,6.894B,0.29
2007-06,11.08B,11.08B,2.109B,8.975B,3.844B,2.165B,,783.00M,,-564.00M,,,,,6.792B,2.183B,,,,-564.00M,,1.619B,272.00M,1.345B,-78.00M,,-2.00M,1.00M,1.267B,1.814B,3.624B,1.441B,2.183B,0.19,-0.01,,0.2574,0.18,0.19,-0.01,,0.2571,0.18,6.966B,6.99B,0.29
2007-03,12.47B,12.47B,1.887B,10.59B,3.361B,1.665B,,815.00M,,-693.00M,,,,,5.841B,4.746B,,,,-693.00M,,4.053B,689.00M,3.361B,31.00M,,-3.00M,1.00M,3.392B,3.936B,6.017B,1.271B,4.746B,0.48,0.0,,0.5616,0.48,0.48,0.0,,0.5613,0.48,7.051B,7.075B,0.29
2006-12,12.60B,12.60B,2.217B,10.39B,4.562B,2.412B,,815.00M,,-1.32B,,,,,7.789B,2.597B,,,,-1.32B,,1.714B,223.00M,1.489B,7.96B,,-2.00M,1.00M,9.449B,2.637B,3.864B,1.267B,2.597B,0.21,1.1,,0.3708,1.31,0.21,1.09,,0.37,1.31,7.143B,7.178B,0.24
2006-09,12.28B,12.28B,1.962B,10.32B,3.751B,1.902B,,798.00M,,94.00M,,,,,6.451B,3.867B,,,,94.00M,,3.961B,717.00M,3.239B,123.00M,,-5.00M,1.00M,3.362B,3.162B,5.199B,1.332B,3.867B,0.45,0.02,,0.4393,0.47,0.44,0.02,,0.4294,0.46,7.228B,7.251B,0.24
2006-06,11.74B,11.74B,1.79B,9.951B,3.881B,1.742B,,823.00M,,-422.00M,,,,,6.446B,3.505B,,,,-422.00M,,3.083B,790.00M,2.29B,125.00M,,-3.00M,2.00M,2.415B,2.604B,4.848B,1.343B,3.505B,0.31,0.02,,0.3531,0.33,0.31,0.02,,0.353,0.33,7.282B,7.305B,0.24
2006-03,11.75B,11.75B,1.671B,10.08B,3.395B,1.543B,,825.00M,,-43.00M,,,,,5.763B,4.313B,,,,-43.00M,,4.27B,262.00M,4.006B,105.00M,,-2.00M,,4.111B,4.046B,5.664B,1.351B,4.313B,0.55,0.01,,0.5555,0.56,0.55,0.01,,0.5555,0.56,7.314B,7.348B,0.24
2005-12,12.55B,12.55B,1.982B,10.56B,4.355B,1.969B,,830.00M,,-537.00M,,,,,7.154B,3.411B,,,,-537.00M,,3.143B,536.00M,2.601B,155.00M,,-6.00M,2.00M,2.733B,3.046B,4.844B,1.433B,3.411B,0.35,0.02,,0.4108,0.37,0.35,0.02,,0.4104,0.37,7.328B,7.372B,0.19
2005-09,11.26B,11.26B,1.611B,9.652B,3.526B,1.739B,,833.00M,,-1.542B,,,,,6.098B,3.554B,,,,-1.542B,,2.012B,530.00M,1.479B,110.00M,,-3.00M,1.00M,1.589B,2.615B,4.921B,1.367B,3.554B,0.2,0.02,,0.3549,0.22,0.2,0.02,,0.3539,0.22,7.333B,7.382B,0.19
2005-06,11.45B,11.45B,1.762B,9.69B,3.766B,1.83B,,856.00M,,-326.00M,,,,,6.452B,3.238B,,,,-326.00M,,2.912B,-464.00M,3.375B,88.00M,,-1.00M,2.00M,3.463B,3.571B,4.648B,1.41B,3.238B,0.46,0.01,,0.4866,0.47,0.46,0.01,,0.4864,0.47,7.366B,7.418B,0.19
2005-03,13.09B,13.09B,2.191B,10.90B,4.085B,1.764B,,882.00M,,-1.259B,,,,,6.731B,4.169B,,,,-1.259B,,2.91B,2.635B,272.00M,29.00M,,-3.00M,,301.00M,1.027B,5.535B,1.366B,4.169B,0.04,0.0,,0.1419,0.04,0.04,0.0,,0.1411,0.04,7.416B,7.474B,0.19
2004-12,11.40B,11.40B,1.206B,10.19B,3.077B,2.157B,,856.00M,,-1.203B,,,,,6.09B,4.099B,,,,-1.203B,,2.895B,420.00M,2.475B,350.00M,,0.00,1.00M,2.825B,3.503B,5.41B,1.311B,4.099B,0.33,0.05,,0.4678,0.38,0.32,0.05,,0.4566,0.37,7.462B,7.53B,0.17
