,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2018-03,227.40M,0.00,,28.40M,28.40M,36.00M,7.20M,43.20M,43.20M,,10.20M,,3.00M,8.60M,11.30M,44.00M,,,5.30M,69.20M,,,2018-03,-22.10M,0.20M,0.20M,0.00,558.20M,,536.30M,2018-03,0.00,-531.50M,-531.50M,,-470.90M,-470.90M,-106.20M,-106.20M,31.80M,0.00,-1.077B,2018-03,1.547B,-159.10M,46.00M,,2018-03,,,0.00,0.00,-470.90M,2018-03,AOR,Restated
2017-12,-236.40M,0.00,,28.30M,28.30M,32.50M,7.10M,39.60M,39.60M,,8.60M,,16.30M,-18.40M,-19.20M,-36.80M,,,430.70M,356.30M,,,2017-12,-34.10M,0.20M,0.20M,-9.90M,10.80M,,-33.00M,2017-12,-250.00M,489.60M,239.60M,,-190.80M,-190.80M,-107.30M,-107.30M,30.10M,1.80M,-26.60M,2017-12,1.411B,153.10M,-17.00M,,2017-12,,,,-250.00M,-190.80M,2017-12,AOR,Restated
2017-09,204.60M,0.20M,,46.80M,-13.80M,38.00M,6.90M,44.90M,44.90M,,9.10M,,-192.80M,-13.30M,22.60M,14.40M,,,-2.60M,21.10M,,,2017-09,-44.20M,0.30M,0.30M,94.00M,-203.10M,,-153.00M,2017-09,0.00,2.00M,2.00M,,-38.00M,-38.00M,-97.50M,-97.50M,21.60M,,-111.90M,2017-09,1.549B,-158.00M,19.50M,,2017-09,,,,0.00,-38.00M,2017-09,AOR,Restated
2017-06,216.90M,-0.10M,,43.10M,43.00M,35.30M,7.70M,43.00M,43.00M,,9.20M,,-12.40M,-23.30M,-36.40M,46.70M,,,28.60M,15.60M,,,2017-06,-30.10M,0.40M,0.40M,0.00,27.50M,,-2.20M,2017-06,0.00,-25.10M,-25.10M,,-119.60M,-119.60M,-97.70M,-97.70M,23.40M,,-219.00M,2017-06,1.441B,94.10M,14.50M,,2017-06,,,,0.00,-119.60M,2017-06,AOR,Restated
2017-03,189.50M,,,43.10M,43.10M,32.90M,7.70M,40.60M,40.60M,,9.50M,,-15.20M,-22.40M,11.30M,30.40M,,,14.20M,33.50M,,,2017-03,-28.00M,0.10M,0.10M,0.00,-296.00M,,-323.90M,2017-03,,-35.10M,-35.10M,,-103.00M,-103.00M,-98.00M,-98.00M,69.30M,,-166.80M,2017-03,1.595B,-189.70M,35.90M,,2017-03,,,,,-103.00M,2017-03,AOR,Restated
2016-12,214.70M,,,43.00M,43.00M,32.50M,7.90M,40.40M,40.40M,,10.70M,,-13.20M,6.00M,-27.90M,-10.40M,,,47.50M,15.20M,,,2016-12,-39.40M,0.30M,0.30M,-1.10M,2.60M,,-37.60M,2016-12,0.00,-40.00M,-40.00M,,-82.00M,-82.00M,-97.50M,-97.50M,67.60M,,-151.90M,2016-12,1.526B,121.30M,-53.10M,,2016-12,,,,0.00,-82.00M,2016-12,AOR,Restated
2016-09,185.20M,,,39.60M,41.30M,36.10M,6.90M,43.00M,43.00M,,10.10M,-0.90M,-13.30M,-35.90M,28.40M,3.40M,,,81.20M,77.10M,,,2016-09,-37.50M,0.00,0.00,-117.90M,20.90M,,-134.50M,2016-09,,94.60M,94.60M,,-133.50M,-133.50M,-93.50M,-93.50M,8.20M,0.90M,-123.30M,2016-09,1.509B,14.20M,2.90M,,2016-09,,,,,-133.50M,2016-09,AOR,Restated
2016-06,191.00M,,,39.30M,39.30M,35.50M,7.30M,42.80M,42.80M,,9.80M,-1.20M,-10.30M,3.50M,10.00M,25.60M,,,-34.50M,4.60M,,,2016-06,-26.80M,0.20M,0.20M,-0.10M,-12.30M,,-39.00M,2016-06,,76.40M,76.40M,,-116.70M,-116.70M,-94.30M,-94.30M,15.20M,1.20M,-118.20M,2016-06,1.396B,118.80M,-5.80M,,2016-06,,,,,-116.70M,2016-06,AOR,Restated
2016-03,168.00M,,,39.00M,39.00M,38.00M,7.10M,45.10M,45.10M,,9.80M,-0.50M,-10.10M,-1.60M,-1.10M,22.30M,,,-56.40M,-36.80M,,,2016-03,-12.40M,0.00,0.00,-21.10M,-141.70M,,-175.20M,2016-03,,116.60M,116.60M,,-130.00M,-130.00M,-94.80M,-94.80M,8.80M,0.50M,-98.90M,2016-03,1.449B,-59.60M,6.70M,,2016-03,,,,,-130.00M,2016-03,AOR,Restated
2015-12,185.50M,,,39.20M,39.20M,33.70M,7.60M,41.30M,41.30M,,10.80M,-0.70M,-10.60M,15.10M,-32.70M,-19.00M,,,-44.10M,-80.70M,,,2015-12,-40.20M,0.20M,0.20M,0.00,-51.30M,,-91.30M,2015-12,,161.00M,161.00M,,-127.40M,-127.40M,-95.60M,-95.60M,4.00M,0.70M,-57.30M,2015-12,1.427B,36.20M,-14.30M,,2015-12,,,,,-127.40M,2015-12,AOR,Restated
2015-09,201.30M,,,34.90M,34.80M,33.50M,8.10M,41.60M,41.60M,,10.10M,-0.20M,-9.10M,12.70M,42.50M,-36.10M,,,79.70M,98.80M,,,2015-09,-39.70M,0.10M,0.10M,0.00,-135.90M,,-175.50M,2015-09,0.00,0.00,0.00,,-193.60M,-193.60M,-86.80M,-86.80M,4.80M,0.20M,-275.40M,2015-09,1.567B,-102.90M,-37.00M,,2015-09,,,0.00,,-193.60M,2015-09,AOR,Restated
2015-06,206.10M,,,35.10M,35.10M,33.50M,7.70M,41.20M,41.20M,,10.20M,-5.60M,-10.80M,-20.50M,-10.40M,26.70M,,,14.30M,10.10M,,,2015-06,-25.20M,1.80M,1.80M,0.00,45.20M,,21.80M,2015-06,0.00,0.00,0.00,,-111.80M,-111.80M,-87.40M,-87.40M,32.80M,5.60M,-160.80M,2015-06,1.403B,147.30M,17.00M,,2015-06,,,0.00,,-111.80M,2015-06,AOR,Restated
2015-03,206.00M,,,35.20M,35.20M,32.20M,6.90M,39.10M,39.10M,,10.40M,-2.20M,-12.70M,8.00M,-10.30M,37.10M,,,-25.40M,9.40M,,,2015-03,-18.00M,0.10M,0.10M,0.00,-18.30M,,-36.20M,2015-03,594.30M,-508.00M,86.30M,,-124.60M,-124.60M,-87.80M,-87.80M,18.00M,0.60M,-107.50M,2015-03,1.292B,141.50M,-30.50M,,2015-03,,,594.30M,,-124.60M,2015-03,AOR,Restated
2014-12,214.20M,,,36.10M,36.10M,33.90M,6.70M,40.60M,40.60M,,10.80M,-4.40M,-8.40M,73.20M,-24.30M,-10.40M,,,-59.20M,-20.70M,,,2014-12,-40.00M,0.10M,0.10M,-21.20M,4.10M,,-57.00M,2014-12,,183.00M,183.00M,,-168.40M,-168.40M,-88.10M,-88.10M,4.70M,4.40M,-64.40M,2014-12,1.191B,146.80M,-46.20M,,2014-12,,,,,-168.40M,2014-12,AOR,Restated
2014-09,248.70M,,,32.90M,33.50M,30.90M,7.20M,38.10M,38.10M,-7.20M,10.40M,-0.80M,-9.50M,-68.80M,55.20M,-52.10M,,,78.40M,12.70M,,,2014-09,-44.60M,0.10M,0.10M,0.00,-56.20M,0.00,-100.70M,2014-09,,45.10M,45.10M,,-140.50M,-140.50M,-79.60M,-79.60M,3.80M,0.80M,-170.40M,2014-09,1.175B,54.80M,-38.60M,,2014-09,,,,,-140.50M,2014-09,AOR,Restated
2014-06,199.70M,,,33.50M,33.50M,33.10M,7.00M,40.10M,40.10M,0.00,10.20M,-10.50M,-7.50M,26.00M,14.80M,19.30M,,,-24.50M,35.60M,,,2014-06,-38.10M,0.10M,0.10M,0.00,-88.70M,0.00,-126.70M,2014-06,0.00,-62.60M,-62.60M,,-127.40M,-127.40M,-80.00M,-80.00M,20.80M,10.50M,-238.70M,2014-06,1.240B,-64.30M,-0.40M,,2014-06,,,0.00,,-127.40M,2014-06,AOR,Restated
2014-03,180.30M,,,33.20M,33.20M,30.10M,8.30M,38.40M,38.40M,0.10M,10.40M,-7.90M,-13.90M,-38.30M,-23.50M,30.40M,,,-6.40M,-37.80M,,,2014-03,-22.70M,0.00,0.00,-13.40M,-121.00M,0.00,-157.10M,2014-03,0.00,91.50M,91.50M,,-107.80M,-107.80M,-80.40M,-80.40M,35.80M,7.90M,-53.00M,2014-03,1.246B,-7.30M,1.10M,,2014-03,,,0.00,,-107.80M,2014-03,AOR,Restated
2013-12,198.10M,,,33.30M,33.30M,28.40M,7.50M,35.90M,35.90M,,11.50M,-10.70M,-11.20M,27.40M,-33.60M,-18.30M,,,-28.90M,-53.40M,,,2013-12,-35.60M,0.20M,0.20M,-68.10M,8.00M,-3.40M,-98.90M,2013-12,,72.00M,72.00M,,-110.00M,-110.00M,-80.50M,-80.50M,48.10M,10.70M,-59.70M,2013-12,1.201B,44.90M,0.20M,,2013-12,,,,,-110.00M,2013-12,AOR,Restated
2013-09,215.30M,-0.30M,,42.60M,42.30M,28.70M,7.40M,36.10M,36.10M,-6.40M,9.80M,-9.30M,-10.90M,-17.60M,10.50M,42.20M,,,39.00M,74.10M,,,2013-09,-59.30M,0.20M,0.20M,0.00,-0.10M,0.00,-59.20M,2013-09,,-41.00M,-41.00M,,-83.40M,-83.40M,-72.40M,-72.40M,56.50M,9.30M,-131.00M,2013-09,1.025B,160.80M,15.40M,,2013-09,0.00,,,,-83.40M,2013-09,AOR,Restated
2013-06,203.70M,0.20M,,42.50M,42.70M,30.00M,7.70M,37.70M,37.70M,0.10M,10.10M,-1.60M,-9.80M,-34.40M,10.10M,34.80M,,,0.50M,11.00M,,,2013-06,-31.90M,0.10M,0.10M,0.00,-8.50M,-2.20M,-42.50M,2013-06,,-16.00M,-16.00M,,-108.20M,-108.20M,-72.30M,-72.30M,11.40M,-0.20M,-185.30M,2013-06,967.10M,66.10M,-8.50M,,2013-06,0.00,,,,-108.20M,2013-06,AOR,Restated
2013-03,175.90M,0.10M,,42.50M,42.60M,28.10M,8.10M,36.20M,36.20M,1.40M,10.00M,-10.40M,-10.80M,-29.60M,2.60M,-13.00M,,,-2.30M,-42.30M,,,2013-03,-33.40M,0.00,0.00,-0.40M,-13.60M,-1.90M,-49.30M,2013-03,,-17.00M,-17.00M,,-118.20M,-118.20M,-66.10M,-66.10M,66.30M,10.40M,-124.60M,2013-03,954.30M,28.70M,-15.90M,,2013-03,0.00,,,,-118.20M,2013-03,AOR,Restated
2012-12,161.40M,,,42.80M,42.80M,27.00M,8.20M,35.20M,35.20M,0.50M,11.20M,-10.60M,-9.30M,69.30M,-22.40M,-60.70M,,,-50.10M,-63.90M,,,2012-12,-21.60M,0.20M,0.20M,-84.40M,0.00,,-105.80M,2012-12,,96.00M,96.00M,,-92.90M,-92.90M,-65.50M,-65.50M,38.10M,10.60M,-13.70M,2012-12,903.90M,40.80M,9.60M,,2012-12,-7.00M,,,,-92.90M,2012-12,AOR,Restated
2012-09,195.20M,0.50M,,27.30M,27.80M,27.20M,8.50M,35.70M,35.70M,82.20M,10.70M,-1.20M,-12.60M,-21.60M,30.70M,45.50M,,,-2.30M,52.30M,,,2012-09,-44.70M,0.20M,0.20M,0.00,0.00,,-44.50M,2012-09,,-113.00M,-113.00M,,-91.10M,-91.10M,-65.90M,-65.90M,4.60M,1.10M,-264.30M,2012-09,805.60M,81.00M,17.30M,,2012-09,-0.30M,,,,-91.10M,2012-09,AOR,Restated
2012-06,190.70M,0.40M,,26.10M,26.50M,26.40M,8.70M,35.10M,35.10M,0.20M,10.50M,-0.50M,-10.10M,-28.10M,5.80M,48.70M,,,-14.70M,11.70M,,,2012-06,-32.40M,0.10M,0.10M,-0.30M,-37.50M,,-70.10M,2012-06,,11.00M,11.00M,,-122.80M,-122.80M,-60.50M,-60.50M,2.40M,0.40M,-169.50M,2012-06,811.80M,24.30M,-30.50M,,2012-06,-0.20M,,,,-122.80M,2012-06,AOR,Restated
2012-03,167.80M,0.00,,26.30M,26.30M,26.40M,8.80M,35.20M,35.20M,0.50M,10.90M,-7.00M,-9.20M,-87.50M,30.00M,-7.10M,,,93.60M,29.00M,,,2012-03,-30.90M,0.50M,0.50M,-5.00M,-162.50M,,-197.90M,2012-03,,-91.00M,-91.00M,,-35.80M,-35.80M,-60.70M,-60.70M,36.80M,6.90M,-143.80M,2012-03,884.00M,-88.50M,16.30M,,2012-03,-0.30M,,,,-35.80M,2012-03,AOR,Restated
2011-12,183.30M,0.10M,,26.20M,26.30M,23.90M,8.70M,32.60M,32.60M,0.00,11.40M,-9.80M,-309.20M,1.50M,-45.10M,3.10M,,,-83.10M,-123.60M,,,2011-12,-31.60M,1.80M,1.80M,-10.90M,-150.00M,,-190.70M,2011-12,,350.00M,350.00M,,-9.70M,-9.70M,-60.30M,-60.30M,5.20M,9.70M,294.90M,2011-12,988.90M,-85.00M,-19.90M,,2011-12,-0.20M,,,,-9.70M,2011-12,AOR,Restated
2011-09,201.80M,1.10M,,48.60M,49.70M,26.10M,8.60M,34.70M,34.70M,46.50M,10.20M,-0.30M,-176.20M,-53.90M,26.60M,-89.50M,,63.20M,76.90M,23.30M,,,2011-09,-44.10M,0.80M,0.80M,0.00,0.00,,-43.30M,2011-09,,0.00,0.00,,-76.00M,-76.00M,,-60.70M,3.20M,0.30M,-133.20M,2011-09,1.022B,4.50M,-37.40M,,2011-09,-0.20M,,,,-76.00M,2011-09,AOR,Restated
2011-06,178.80M,0.20M,,17.30M,17.50M,24.00M,8.90M,32.90M,32.90M,0.10M,10.10M,-2.10M,8.00M,-29.60M,-62.00M,36.30M,,29.00M,13.70M,-12.60M,0.40M,,2011-06,-33.10M,0.20M,0.20M,-45.90M,0.00,,-78.80M,2011-06,,0.00,0.00,,-118.50M,-118.50M,,-50.30M,11.70M,2.00M,-155.10M,2011-06,1.020B,-12.20M,13.70M,,2011-06,-3.40M,,0.00,,-118.50M,2011-06,AOR,Restated
2011-03,316.50M,-2.20M,,17.60M,18.90M,23.60M,8.20M,31.80M,31.80M,2.40M,10.10M,-23.60M,-166.60M,-30.80M,0.20M,176.30M,,-92.20M,-34.30M,19.20M,-0.40M,,2011-03,-22.60M,0.00,0.00,0.00,0.00,,-22.60M,2011-03,,0.00,0.00,,-60.60M,-60.60M,,-50.30M,115.50M,23.50M,28.10M,2011-03,769.30M,230.50M,20.50M,,2011-03,0.20M,,0.00,,-60.60M,2011-03,AOR,Restated
2010-12,,,,17.40M,13.90M,22.80M,9.10M,31.90M,31.90M,0.60M,9.10M,-12.10M,150.10M,-92.90M,-6.70M,-108.10M,,,26.80M,-180.90M,,,2010-12,-20.30M,4.10M,4.10M,0.00,0.00,,-16.20M,2010-12,,0.00,0.00,,-43.60M,-43.60M,,-49.70M,43.60M,12.00M,-37.70M,2010-12,813.40M,-41.50M,-2.60M,,2010-12,-0.20M,,0.00,,-43.60M,2010-12,AOR,Restated
2010-09,131.30M,3.80M,,44.40M,48.20M,24.70M,8.40M,33.10M,33.10M,57.60M,9.20M,-3.80M,-196.00M,3.00M,-14.80M,6.50M,,-115.00M,86.50M,-33.80M,0.20M,,2010-09,-45.20M,5.90M,5.90M,0.00,,,-39.30M,2010-09,,,,,-28.40M,-28.40M,,-49.60M,6.50M,3.80M,-67.70M,2010-09,826.00M,-46.80M,34.40M,,2010-09,-0.60M,,,,-28.40M,2010-09,AOR,Restated
2010-06,119.40M,0.70M,,16.90M,17.60M,22.20M,8.40M,30.60M,30.60M,0.30M,9.20M,-4.90M,4.30M,-56.70M,-57.50M,25.80M,,65.50M,-13.80M,-36.70M,-0.20M,,2010-06,-23.70M,0.00,0.00,0.00,,,-23.70M,2010-06,,,,,-67.80M,-67.80M,,-41.30M,12.50M,4.90M,-91.70M,2010-06,817.20M,19.90M,-11.30M,,2010-06,0.00,,,,-67.80M,2010-06,AOR,Restated
2010-03,111.90M,0.60M,,13.70M,14.30M,24.10M,7.80M,31.90M,31.90M,0.20M,9.20M,-5.30M,3.90M,-35.80M,-55.90M,43.80M,,54.20M,10.00M,16.30M,-0.20M,,2010-03,-17.00M,4.50M,4.50M,,,,-12.50M,2010-03,,,,,-22.60M,-22.60M,,-41.40M,9.50M,5.20M,-49.30M,2010-03,716.30M,116.10M,-15.40M,,2010-03,-0.40M,,,,-22.60M,2010-03,AOR,Restated
2009-12,77.80M,0.40M,,14.10M,14.50M,24.70M,7.00M,31.70M,31.70M,,8.70M,-2.10M,6.60M,-42.20M,-38.20M,41.10M,,-4.70M,32.80M,-11.20M,0.20M,,2009-12,-13.50M,0.00,0.00,,,,-13.50M,2009-12,,,,,0.00,0.00,,-41.30M,6.70M,1.90M,-32.70M,2009-12,643.80M,73.60M,-0.90M,,2009-12,0.20M,,,,0.00,2009-12,AOR,Restated
2009-09,28.90M,-1.50M,,6.00M,8.90M,27.30M,8.00M,35.30M,35.30M,,7.80M,1.40M,-21.10M,31.70M,27.80M,-27.00M,,0.10M,-9.40M,23.20M,0.00,,2009-09,-30.50M,1.00M,1.00M,-0.60M,0.70M,4.10M,-25.30M,2009-09,,0.00,0.00,,0.00,0.00,,-41.20M,3.90M,1.00M,-36.30M,2009-09,580.50M,56.20M,7.10M,,2009-09,,,0.00,0.00,0.00,2009-09,AOR,Restated
2009-06,32.80M,1.70M,,4.50M,6.20M,26.30M,8.10M,34.40M,34.40M,,7.70M,-0.40M,19.00M,30.50M,76.20M,-12.40M,,16.80M,-1.90M,109.20M,-0.50M,,2009-06,-21.80M,3.00M,3.00M,-0.60M,-7.20M,-4.10M,-30.70M,2009-06,,-75.00M,-75.00M,,0.00,0.00,,-41.10M,2.60M,0.30M,-113.20M,2009-06,519.50M,45.80M,15.20M,,2009-06,,,,-75.00M,0.00,2009-06,AOR,Restated
2009-03,40.60M,-0.60M,,4.90M,4.30M,24.20M,7.90M,32.10M,32.10M,,7.70M,-0.50M,-4.50M,77.20M,69.30M,-68.10M,,-18.60M,25.90M,85.70M,,,2009-03,-18.30M,-1.30M,-1.30M,-29.50M,-2.00M,,-51.10M,2009-03,,-100.00M,-100.00M,,0.00,0.00,,-41.20M,0.90M,-2.20M,-142.50M,2009-03,554.00M,-24.00M,-10.50M,,2009-03,,,-75.00M,-25.00M,0.00,2009-03,AOR,Restated
2008-12,115.60M,0.40M,,4.30M,4.70M,23.90M,8.40M,32.30M,32.30M,,4.60M,-0.40M,4.20M,88.80M,-45.80M,-49.10M,,-55.00M,-46.90M,-108.00M,,,2008-12,-27.40M,1.30M,1.30M,,0.80M,,-25.30M,2008-12,,75.00M,75.00M,,-53.50M,-53.50M,,-41.00M,3.90M,0.20M,-15.40M,2008-12,582.20M,8.10M,-36.30M,,2008-12,,,75.00M,,-53.50M,2008-12,,Restated
2008-09,125.60M,,,,5.60M,27.20M,8.40M,35.60M,35.60M,,,,-27.40M,5.70M,10.10M,-24.50M,,47.80M,49.40M,88.50M,0.10M,,2008-09,-48.20M,0.80M,103.60M,1.60M,0.00,0.00,-45.80M,2008-09,,,-234.00M,-12.20M,-132.20M,-144.40M,,-41.80M,,0.60M,-406.40M,2008-09,805.90M,-207.60M,-16.10M,,2008-09,,-12.20M,,,-132.20M,2008-09,,Restated
2008-06,152.60M,,,,0.30M,27.80M,7.50M,35.30M,35.30M,,,,5.60M,-9.50M,-11.20M,-7.60M,,38.90M,-12.20M,-1.60M,-0.40M,,2008-06,-43.00M,0.40M,-42.60M,-50.80M,0.00,0.00,-93.40M,2008-06,,,13.70M,1.50M,-25.10M,-23.60M,,-42.50M,,0.30M,-52.10M,2008-06,760.70M,46.30M,-1.10M,,2008-06,,1.50M,,,-25.10M,2008-06,,
2008-03,142.80M,,,,0.00,23.20M,11.10M,34.30M,34.30M,,,,11.10M,-13.20M,-27.00M,9.00M,,-58.60M,-39.80M,-129.60M,-0.10M,,2008-03,-33.50M,-29.80M,-63.30M,0.00,36.30M,-2.90M,-29.90M,2008-03,,,-30.60M,1.10M,-104.30M,-103.20M,,-42.60M,,0.50M,-175.90M,2008-03,867.00M,-147.30M,41.00M,,2008-03,,1.10M,,,-104.30M,2008-03,,
2007-12,156.60M,,,,-6.10M,23.10M,8.20M,31.30M,31.30M,,,,6.10M,1.00M,-48.10M,-43.40M,,-12.70M,16.80M,-86.40M,-5.60M,,2007-12,-26.30M,36.30M,10.00M,-61.60M,,,-51.60M,2007-12,,,320.00M,9.60M,-97.50M,-87.90M,,-43.30M,,2.80M,191.60M,2007-12,624.20M,235.90M,6.90M,,2007-12,,9.60M,,,-97.50M,2007-12,,
