,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2014-06,1.175B,574.40M,1.750B,1.178B,1.178B,200.10M,171.00M,284.30M,655.40M,157.80M,167.20M,3.908B,,,,,1.899B,,1.899B,-1.289B,610.40M,1.069B,248.80M,1.318B,,142.20M,166.70M,2.237B,6.145B,,80.00M,50.00M,,867.80M,15.00M,882.80M,279.90M,279.90M,,279.90M,235.00M,235.00M,98.40M,1.713B,905.40M,,905.40M,,,594.20M,,210.90M,,2014-06,181.40M,4.590B,1.502B,,,-760.60M,2.722B,,2014-06,AOR,Restated
2014-03,1.240B,485.80M,1.726B,1.204B,1.204B,221.70M,164.10M,281.70M,667.50M,161.30M,170.60M,3.929B,,,,,1.872B,,1.872B,-1.262B,610.30M,1.064B,248.50M,1.312B,,139.80M,166.30M,2.229B,6.158B,,,53.80M,,778.20M,15.60M,793.80M,342.50M,342.50M,,342.50M,248.10M,248.10M,107.60M,1.697B,905.40M,,905.40M,,,591.80M,,214.00M,,2014-03,181.40M,4.551B,1.489B,,,-775.60M,2.750B,,2014-03,AOR,Restated
2013-12,1.246B,364.60M,1.611B,1.169B,1.169B,208.00M,165.60M,272.00M,645.60M,157.70M,136.50M,3.720B,,,,,1.847B,,1.847B,-1.236B,610.30M,1.053B,240.80M,1.294B,,145.90M,171.20M,2.221B,5.941B,,,88.70M,,774.30M,15.00M,789.30M,251.00M,251.00M,,251.00M,222.60M,222.60M,106.40M,1.539B,905.10M,,905.10M,,,597.00M,,212.20M,,2013-12,181.40M,4.451B,1.471B,,,-793.20M,2.688B,,2013-12,AOR,Restated
2013-09,1.201B,372.70M,1.574B,1.186B,1.186B,199.80M,167.20M,248.40M,615.40M,189.50M,115.30M,3.680B,0.00,3.70M,304.50M,1.430B,,90.20M,1.829B,-1.213B,616.00M,1.023B,212.80M,1.236B,,147.30M,165.60M,2.165B,5.845B,,,73.60M,,795.40M,15.60M,811.00M,179.00M,179.00M,,179.00M,210.90M,210.90M,107.00M,1.545B,905.10M,,905.10M,,,595.90M,,213.40M,,2013-09,181.40M,4.333B,1.456B,,,-817.70M,2.586B,,2013-09,AOR,Restated
2013-06,1.025B,372.30M,1.397B,1.155B,1.155B,201.70M,163.90M,253.40M,619.00M,192.10M,121.90M,3.485B,,,,,1.799B,,1.799B,-1.218B,581.40M,1.011B,208.70M,1.219B,,324.70M,160.70M,2.286B,5.771B,,72.10M,49.10M,,798.30M,15.00M,813.30M,220.00M,220.00M,,220.00M,225.10M,225.10M,106.70M,1.552B,905.10M,,905.10M,,,1.087B,,219.50M,,2013-06,181.40M,4.118B,1.442B,,,-1.188B,2.008B,,2013-06,AOR,Restated
2013-03,967.10M,363.60M,1.331B,1.139B,1.139B,218.00M,162.60M,259.40M,640.00M,204.80M,122.30M,3.437B,,,,,1.781B,,1.781B,-1.196B,585.00M,1.005B,210.40M,1.216B,,331.60M,150.70M,2.283B,5.720B,,,41.70M,,690.60M,15.60M,706.20M,236.00M,236.00M,,236.00M,243.00M,243.00M,106.60M,1.470B,905.00M,,905.00M,,,1.091B,,233.50M,,2013-03,181.40M,4.059B,1.432B,,,-1.197B,2.020B,,2013-03,AOR,Restated
2012-12,954.30M,350.00M,1.304B,1.126B,1.126B,211.50M,158.60M,276.50M,646.60M,200.50M,115.50M,3.393B,,,,,1.821B,,1.821B,-1.241B,579.50M,1.025B,216.80M,1.242B,,345.30M,151.60M,2.318B,5.711B,,,64.40M,,724.50M,15.00M,739.50M,253.00M,253.00M,,253.00M,224.00M,224.00M,119.40M,1.488B,905.00M,,905.00M,,,1.110B,,240.50M,,2012-12,181.40M,3.950B,1.419B,,,-1.180B,1.968B,,2012-12,AOR,Restated
2012-09,903.90M,350.00M,1.254B,1.187B,1.187B,207.00M,149.50M,262.50M,619.00M,208.60M,118.70M,3.388B,0.00,3.70M,292.50M,1.437B,,65.70M,1.799B,-1.212B,587.10M,948.80M,209.50M,1.158B,,351.10M,152.50M,2.249B,5.636B,,,51.80M,,768.10M,15.60M,783.70M,157.00M,157.00M,,157.00M,204.10M,204.10M,140.40M,1.532B,905.00M,,905.00M,,,1.106B,,242.40M,,2012-09,181.40M,3.859B,1.417B,,,-1.225B,1.852B,,2012-09,AOR,Restated
2012-06,805.60M,350.00M,1.156B,,1.139B,215.90M,155.90M,263.00M,634.80M,196.30M,135.80M,3.262B,1.755B,,,,,,1.755B,-1.191B,563.90M,933.80M,209.90M,1.144B,,259.00M,148.10M,2.121B,5.382B,,66.30M,41.50M,,594.10M,72.00M,666.10M,,270.00M,,270.00M,226.00M,226.00M,226.30M,1.556B,905.00M,,905.00M,,,751.50M,,247.00M,,2012-06,181.40M,3.665B,1.406B,,,-1.038B,1.922B,,2012-06,AOR,Restated
2012-03,811.80M,312.50M,1.124B,,1.15B,228.30M,161.80M,274.00M,664.10M,208.40M,123.80M,3.271B,,,,,,,1.761B,-1.196B,565.70M,952.80M,215.90M,1.169B,,284.90M,138.90M,2.164B,5.435B,,,50.20M,,500.90M,74.90M,575.80M,,259.00M,,259.00M,244.90M,244.90M,223.10M,1.482B,905.00M,,905.00M,,,762.00M,,255.30M,,2012-03,181.40M,3.602B,1.395B,,,-973.50M,2.031B,,2012-03,AOR,Restated
