,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2015-07,854.00M,,1.023B,1.023B,898.00M,,160.00M,-6.00M,403.00M,-348.00M,-520.00M,-626.00M,,,-266.00M,-1.76B,,1.673B,-916.00M,99.00M,-817.00M,-2.322B,51.00M,,-3.088B,3.659B,775.00M,4.434B,80.00M,-352.00M,-272.00M,-318.00M,-318.00M,,-26.00M,3.818B,14.77B,2.403B,17.17B,80.00M,5.181B,-747.00M,-352.00M
2015-04,1.011B,,1.003B,1.003B,173.00M,,129.00M,-9.00M,414.00M,-23.00M,277.00M,-248.00M,,,-1.365B,-1.359B,,1.464B,-779.00M,81.00M,-698.00M,-138.00M,35.00M,,-801.00M,304.00M,1.781B,2.085B,42.00M,-659.00M,-617.00M,-291.00M,-291.00M,,9.00M,1.186B,12.92B,1.849B,14.77B,42.00M,3.069B,-984.00M,-659.00M
2015-01,1.366B,,1.028B,1.028B,-173.00M,,187.00M,-109.00M,284.00M,1.762B,-224.00M,-559.00M,,,-2.88B,-1.901B,,744.00M,-947.00M,130.00M,-817.00M,-1.00M,-20.00M,,-838.00M,-612.00M,77.00M,-535.00M,181.00M,-1.571B,-1.39B,-304.00M,-304.00M,,109.00M,-2.12B,15.13B,-2.214B,12.92B,181.00M,376.00M,-911.00M,-1.571B
2014-10,1.33B,,1.075B,1.075B,95.00M,,128.00M,-9.00M,620.00M,435.00M,-211.00M,734.00M,,,-1.558B,-600.00M,,2.701B,-956.00M,141.00M,-815.00M,-23.00M,44.00M,,-794.00M,-314.00M,62.00M,-252.00M,54.00M,-750.00M,-696.00M,-309.00M,-309.00M,,9.00M,-1.248B,14.47B,659.00M,15.13B,54.00M,932.00M,-1.184B,-750.00M
2014-07,985.00M,,1.055B,1.055B,-39.00M,,132.00M,-16.00M,700.00M,158.00M,-476.00M,1.735B,,,-679.00M,738.00M,,3.647B,-1.06B,132.00M,-928.00M,0.00,124.00M,,-804.00M,-2.738B,26.00M,-2.712B,112.00M,-582.00M,-470.00M,-299.00M,-299.00M,,16.00M,-3.465B,15.10B,-622.00M,14.47B,112.00M,26.00M,-2.738B,-582.00M
2014-04,1.273B,,1.087B,1.087B,-99.00M,,130.00M,-6.00M,299.00M,-843.00M,126.00M,748.00M,,,225.00M,256.00M,,2.995B,-840.00M,120.00M,-720.00M,-20.00M,-237.00M,,-977.00M,-2.07B,58.00M,-2.012B,48.00M,-831.00M,-783.00M,-298.00M,-298.00M,,6.00M,-3.087B,16.16B,-1.069B,15.10B,48.00M,58.00M,-2.07B,-831.00M
2014-01,1.425B,,1.117B,1.117B,9.00M,,170.00M,-27.00M,81.00M,2.687B,-19.00M,-995.00M,,,-1.515B,158.00M,,2.99B,-997.00M,450.00M,-547.00M,0.00,330.00M,,-217.00M,1.96B,2.00M,1.962B,83.00M,-565.00M,-482.00M,-278.00M,-278.00M,,27.00M,1.229B,12.16B,4.002B,16.16B,83.00M,2.007B,-45.00M,-565.00M
2013-10,1.414B,,1.12B,1.12B,-952.00M,,102.00M,-1.00M,471.00M,-1.626B,441.00M,1.548B,,,228.00M,591.00M,,2.816B,-919.00M,146.00M,-773.00M,0.00,-171.00M,,-944.00M,-2.223B,16.00M,-2.207B,9.00M,-479.00M,-470.00M,-284.00M,-284.00M,,1.00M,-2.96B,13.25B,-1.088B,12.16B,9.00M,25.00M,-2.232B,-479.00M
2013-07,1.39B,,1.158B,1.158B,70.00M,,107.00M,-1.00M,198.00M,492.00M,-585.00M,886.00M,,,-1.089B,-296.00M,,2.674B,-880.00M,233.00M,-647.00M,0.00,-14.00M,,-661.00M,-1.75B,-37.00M,-1.787B,67.00M,-3.00M,64.00M,-280.00M,-280.00M,,1.00M,-2.002B,13.24B,11.00M,13.25B,67.00M,55.00M,-1.842B,-3.00M
2013-04,1.077B,,1.17B,1.17B,-28.00M,,107.00M,0.00,467.00M,-98.00M,289.00M,637.00M,,,-158.00M,670.00M,,3.556B,-767.00M,147.00M,-620.00M,-167.00M,233.00M,,-554.00M,-1.40B,-28.00M,-1.428B,157.00M,-797.00M,-640.00M,-283.00M,-283.00M,,,-2.351B,12.59B,651.00M,13.24B,157.00M,154.00M,-1.582B,-797.00M
2013-01,1.232B,,1.163B,1.163B,500.00M,,184.00M,0.00,297.00M,2.246B,-149.00M,-2.113B,,,-922.00M,-938.00M,,2.562B,-633.00M,127.00M,-506.00M,,-138.00M,,-644.00M,-69.00M,-105.00M,-174.00M,55.00M,-253.00M,-198.00M,-258.00M,-258.00M,,,-630.00M,11.30B,1.288B,12.59B,55.00M,45.00M,-219.00M,-253.00M
2012-10,-6.854B,,1.201B,1.201B,-21.00M,8.847B,141.00M,0.00,313.00M,-1.166B,892.00M,502.00M,,,39.00M,267.00M,,4.059B,-873.00M,296.00M,-577.00M,0.00,-33.00M,,-610.00M,-1.057B,-222.00M,-1.279B,6.00M,-124.00M,-118.00M,-260.00M,-260.00M,,0.00,-1.657B,9.509B,1.792B,11.30B,6.00M,54.00M,-1.333B,-124.00M
2012-07,-8.857B,,1.306B,1.306B,-535.00M,9.188B,150.00M,0.00,1.885B,956.00M,-91.00M,-331.00M,,,-932.00M,-398.00M,,2.846B,-870.00M,97.00M,-773.00M,6.00M,-58.00M,,-825.00M,-513.00M,239.00M,-274.00M,76.00M,-365.00M,-289.00M,-260.00M,-260.00M,,0.00,-823.00M,8.311B,1.198B,9.509B,76.00M,48.00M,-322.00M,-365.00M
2012-04,1.593B,,1.285B,1.285B,-45.00M,,169.00M,-1.00M,249.00M,-832.00M,-91.00M,483.00M,,,-432.00M,-872.00M,,2.473B,-1.08B,128.00M,-952.00M,0.00,-315.00M,,-1.267B,-544.00M,-185.00M,-729.00M,321.00M,-350.00M,-29.00M,-251.00M,-251.00M,,1.00M,-1.008B,8.113B,198.00M,8.311B,321.00M,2.017B,-2.746B,-350.00M
2012-01,1.468B,,1.303B,1.303B,-110.00M,,175.00M,-11.00M,84.00M,2.311B,180.00M,-2.388B,,,-1.871B,-1.768B,,1.193B,-883.00M,96.00M,-787.00M,-60.00M,96.00M,,-751.00M,2.935B,-2.607B,328.00M,313.00M,-780.00M,-467.00M,-244.00M,-244.00M,,11.00M,-372.00M,8.043B,70.00M,8.113B,313.00M,3.035B,-2.707B,-780.00M
2011-10,239.00M,,1.262B,1.262B,-638.00M,885.00M,210.00M,-3.00M,335.00M,-7.00M,-113.00M,512.00M,,,-372.00M,20.00M,,2.40B,-1.385B,217.00M,-1.168B,-10.21B,-87.00M,,-11.47B,4.579B,262.00M,4.841B,51.00M,-500.00M,-449.00M,,-239.00M,,3.00M,4.156B,12.95B,-4.91B,8.043B,51.00M,4.644B,-1.335B,-500.00M
2011-07,1.926B,-316.00M,1.225B,1.225B,163.00M,0.00,148.00M,-6.00M,307.00M,388.00M,-724.00M,423.00M,,,-535.00M,-448.00M,,3.207B,-1.128B,149.00M,-979.00M,66.00M,2.00M,,-911.00M,3.265B,-534.00M,2.731B,71.00M,-4.641B,-4.57B,,-248.00M,,6.00M,-2.081B,12.74B,215.00M,12.95B,71.00M,5.082B,-1.817B,-4.641B
2011-04,2.304B,316.00M,1.242B,1.242B,9.00M,,147.00M,-90.00M,-97.00M,-2.36B,-82.00M,1.104B,,,1.555B,217.00M,,3.962B,-1.10B,90.00M,-1.01B,-232.00M,23.00M,,-1.219B,-217.00M,2.712B,2.495B,344.00M,-2.686B,-2.342B,,-182.00M,,90.00M,61.00M,9.934B,2.804B,12.74B,344.00M,99.00M,-316.00M,-2.686B
2011-01,2.605B,,1.255B,1.255B,632.00M,,180.00M,-64.00M,54.00M,1.752B,-333.00M,-1.154B,,,-1.943B,-1.678B,,3.07B,-926.00M,543.00M,-383.00M,-14.00M,34.00M,,-363.00M,1.979B,-3.71B,-1.731B,430.00M,-2.29B,-1.86B,,-175.00M,,64.00M,-3.702B,10.93B,-995.00M,9.934B,430.00M,2.117B,-138.00M,-2.29B
2010-10,2.538B,,1.264B,1.264B,388.00M,,121.00M,-11.00M,211.00M,-3.243B,711.00M,-488.00M,,,1.564B,-1.456B,,3.151B,-1.232B,249.00M,-983.00M,-4.085B,2.00M,,-5.066B,2.986B,-837.00M,2.149B,110.00M,-3.963B,-3.853B,,-181.00M,,11.00M,-1.874B,14.72B,-3.789B,10.93B,110.00M,7.191B,-49.00M,-3.963B
2010-07,6.223B,-311.00M,1.21B,1.21B,95.00M,,166.00M,-20.00M,-3.579B,-864.00M,-791.00M,1.335B,,,-329.00M,-649.00M,,3.273B,-1.13B,85.00M,-1.045B,-1.38B,72.00M,,-2.353B,-959.00M,3.138B,2.179B,241.00M,-2.568B,-2.327B,,-205.00M,,20.00M,-333.00M,14.13B,587.00M,14.72B,241.00M,71.00M,-2.885B,-2.568B
2010-04,-2.25B,311.00M,1.184B,1.184B,-94.00M,,200.00M,-135.00M,4.463B,-166.00M,353.00M,-33.00M,,,-761.00M,-607.00M,,3.091B,-950.00M,156.00M,-794.00M,-2.512B,84.00M,-7.00M,-3.229B,-143.00M,1.855B,1.712B,947.00M,-1.798B,-851.00M,,-196.00M,,57.00M,722.00M,13.55B,584.00M,14.13B,947.00M,21.00M,1.691B,-1.798B
2010-01,2.25B,,1.162B,1.162B,-192.00M,,181.00M,-128.00M,218.00M,1.875B,-543.00M,-789.00M,,,-1.719B,-1.176B,,2.407B,-821.00M,112.00M,-709.00M,0.00,-9.00M,7.00M,-711.00M,-51.00M,0.00,-51.00M,1.319B,-2.713B,-1.394B,,-189.00M,,206.00M,-1.428B,13.28B,268.00M,13.55B,1.319B,29.00M,-80.00M,-2.713B
2009-10,7.66B,32.00M,1.234B,1.234B,107.00M,,134.00M,-95.00M,-4.896B,-2.184B,-311.00M,1.982B,,,43.00M,-470.00M,,3.433B,-946.00M,94.00M,-852.00M,-43.00M,13.00M,,-882.00M,-1.507B,10.00M,-1.497B,901.00M,-2.102B,-1.201B,,-190.00M,,95.00M,-2.793B,13.52B,-242.00M,13.28B,901.00M,22.00M,5.337B,-2.102B
2009-07,-3.577B,362.00M,1.179B,1.179B,220.00M,,150.00M,-39.00M,5.075B,-141.00M,-144.00M,1.20B,,,-702.00M,213.00M,,3.856B,-1.091B,151.00M,-940.00M,0.00,-50.00M,,-990.00M,929.00M,-2.417B,-1.488B,443.00M,-999.00M,-556.00M,,-191.00M,,39.00M,-2.196B,12.85B,670.00M,13.52B,443.00M,2.00B,-3.488B,-999.00M
2009-04,1.721B,94.00M,1.153B,1.153B,115.00M,,191.00M,-15.00M,323.00M,-4.00M,1.831B,224.00M,,,-584.00M,1.467B,,4.964B,-842.00M,98.00M,-744.00M,-3.00M,2.00M,,-745.00M,4.668B,-4.506B,-1.773B,194.00M,-801.00M,-607.00M,,-192.00M,,15.00M,-2.557B,11.19B,1.662B,12.85B,194.00M,4.778B,-4.559B,-801.00M
2009-01,1.856B,152.00M,1.214B,1.214B,-63.00M,,160.00M,-13.00M,86.00M,1.78B,156.00M,-2.826B,,,-1.461B,-2.351B,,1.126B,-816.00M,152.00M,-664.00M,-345.00M,46.00M,,-963.00M,,57.00M,1.992B,299.00M,-1.238B,-939.00M,,-193.00M,,13.00M,873.00M,10.15B,1.036B,11.19B,299.00M,,,-1.238B
2008-10,2.112B,283.00M,1.088B,1.088B,-390.00M,,157.00M,-80.00M,-118.00M,173.00M,344.00M,82.00M,,,-650.00M,-51.00M,,3.276B,-1.024B,154.00M,-870.00M,-9.77B,-24.00M,,-10.66B,4.311B,,4.311B,463.00M,-1.90B,-1.437B,,-196.00M,,80.00M,2.758B,14.78B,-4.63B,10.15B,463.00M,5.082B,-771.00M,-1.90B
2008-07,2.027B,5.00M,759.00M,759.00M,177.00M,,140.00M,-50.00M,109.00M,-239.00M,-541.00M,1.718B,,,-742.00M,196.00M,,3.363B,-651.00M,78.00M,-573.00M,-213.00M,13.00M,,-773.00M,1.87B,,1.87B,430.00M,-1.551B,-1.121B,,-197.00M,,50.00M,602.00M,11.59B,3.192B,14.78B,430.00M,36.00M,1.834B,-1.551B
2008-04,2.057B,21.00M,760.00M,760.00M,625.00M,,309.00M,-163.00M,5.00M,-1.205B,232.00M,843.00M,,123.00M,1.158B,1.151B,,4.765B,-704.00M,105.00M,-599.00M,-1.001B,27.00M,,-1.573B,112.00M,,1.10B,363.00M,-2.845B,-2.482B,,-197.00M,,75.00M,-1.504B,9.903B,1.688B,11.59B,363.00M,3.018B,-2.906B,-2.845B
2008-01,2.133B,6.00M,749.00M,749.00M,361.00M,,,,157.00M,1.007B,54.00M,-659.00M,,-123.00M,-498.00M,-219.00M,,3.187B,-611.00M,88.00M,-523.00M,-264.00M,86.00M,,-701.00M,,,-988.00M,554.00M,-3.324B,-2.77B,,-206.00M,,88.00M,-3.876B,11.29B,-1.39B,9.903B,554.00M,,,-3.324B
2007-10,2.164B,36.00M,699.00M,699.00M,116.00M,,,,164.00M,-1.843B,-130.00M,100.00M,,254.00M,2.049B,430.00M,,3.609B,-813.00M,65.00M,-748.00M,-1.90B,-224.00M,,-2.873B,,,-498.00M,710.00M,-2.04B,-1.33B,,-206.00M,,141.00M,-1.893B,12.45B,-1.157B,11.29B,710.00M,,,-2.04B
2007-07,1.778B,-9.00M,685.00M,685.00M,59.00M,,,,-17.00M,-310.00M,-800.00M,168.00M,,-67.00M,380.00M,-629.00M,,1.867B,-751.00M,203.00M,-548.00M,-57.00M,38.00M,,-567.00M,,,292.00M,1.177B,-2.511B,-1.334B,,-209.00M,,165.00M,-1.086B,12.24B,214.00M,12.45B,1.177B,,,-2.511B
2007-04,1.775B,-45.00M,678.00M,678.00M,149.00M,,,,144.00M,-1.203B,995.00M,145.00M,,-141.00M,1.664B,1.46B,,4.161B,-758.00M,161.00M,-597.00M,-372.00M,250.00M,,-719.00M,,,2.48B,419.00M,-4.024B,-3.605B,,-213.00M,,75.00M,-1.263B,10.06B,2.179B,12.24B,419.00M,,,-4.024B
2007-01,1.547B,-22.00M,643.00M,643.00M,91.00M,,,,266.00M,548.00M,-698.00M,-759.00M,,-150.00M,-1.488B,-2.547B,,-22.00M,-718.00M,139.00M,-579.00M,-4.464B,79.00M,,-4.964B,,,276.00M,797.00M,-2.312B,-1.515B,,-218.00M,,100.00M,-1.357B,16.40B,-6.343B,10.06B,797.00M,,,-2.312B
2006-10,1.697B,133.00M,596.00M,596.00M,312.00M,,,,142.00M,-1.246B,-381.00M,1.407B,,-358.00M,942.00M,364.00M,,3.244B,-965.00M,97.00M,-868.00M,-32.00M,19.00M,,-881.00M,,,-1.623B,848.00M,-1.042B,-194.00M,,-219.00M,,92.00M,-1.944B,15.98B,419.00M,16.40B,848.00M,,,-1.042B
2006-07,1.375B,-368.00M,598.00M,598.00M,125.00M,,,,414.00M,226.00M,-732.00M,618.00M,,-123.00M,496.00M,485.00M,,2.629B,-623.00M,234.00M,-389.00M,-63.00M,11.00M,,-441.00M,,,1.705B,536.00M,-2.294B,-1.758B,,-222.00M,,36.00M,-239.00M,14.03B,1.949B,15.98B,536.00M,,,-2.294B
2006-04,1.899B,113.00M,596.00M,596.00M,201.00M,,,,,-1.055B,-85.00M,1.145B,,-608.00M,1.428B,825.00M,,3.634B,-521.00M,120.00M,-401.00M,-107.00M,10.00M,,-498.00M,,,-57.00M,507.00M,-1.32B,-813.00M,,-226.00M,,58.00M,-1.038B,11.93B,2.098B,14.03B,507.00M,,,-1.32B
2006-01,1.227B,325.00M,563.00M,563.00M,55.00M,,,,,1.193B,89.00M,-1.291B,,-234.00M,-81.00M,-324.00M,,1.846B,-427.00M,105.00M,-322.00M,-653.00M,8.00M,,-967.00M,,,-218.00M,647.00M,-3.123B,-2.476B,,-227.00M,,65.00M,-2.856B,13.91B,-1.977B,11.93B,647.00M,,,-3.123B
2005-10,416.00M,-393.00M,545.00M,545.00M,-38.00M,,,,,-1.129B,-260.00M,1.153B,,-259.00M,-116.00M,-611.00M,,1.886B,-522.00M,76.00M,-446.00M,-302.00M,114.00M,,-634.00M,,,-521.00M,363.00M,-1.399B,-1.036B,,-229.00M,,,-1.786B,14.44B,-534.00M,13.91B,363.00M,,,-1.399B
2005-07,73.00M,172.00M,588.00M,588.00M,-301.00M,,,,,635.00M,-402.00M,487.00M,,1.203B,-245.00M,1.678B,,2.21B,-332.00M,124.00M,-208.00M,-7.00M,22.00M,,-193.00M,,,-1.289B,446.00M,-860.00M,-414.00M,,-231.00M,,,-1.934B,14.36B,83.00M,14.44B,446.00M,,,-860.00M
2005-04,966.00M,25.00M,599.00M,599.00M,-53.00M,,,,,-438.00M,608.00M,349.00M,,-103.00M,421.00M,837.00M,,2.374B,-566.00M,186.00M,-380.00M,-325.00M,186.00M,,-519.00M,,,-34.00M,90.00M,-618.00M,-528.00M,,-233.00M,,,-795.00M,13.30B,1.06B,14.36B,90.00M,,,-618.00M
2005-01,943.00M,127.00M,612.00M,612.00M,230.00M,,,,,1.598B,-154.00M,-1.143B,,-340.00M,-315.00M,-354.00M,,1.558B,-575.00M,156.00M,-419.00M,-7.00M,15.00M,,-411.00M,,,100.00M,262.00M,-637.00M,-375.00M,,-233.00M,,,-508.00M,12.66B,639.00M,13.30B,262.00M,,,-637.00M
2004-10,1.091B,-413.00M,602.00M,602.00M,-191.00M,,,,718.00M,-1.716B,-391.00M,846.00M,,113.00M,1.328B,180.00M,,1.987B,-739.00M,99.00M,-640.00M,-277.00M,75.00M,,-842.00M,,,-54.00M,32.00M,-2.205B,-2.173B,,-240.00M,,,-2.467B,13.98B,-1.322B,12.66B,32.00M,,,-2.205B
