,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-04,14.00B,14.00B,11.30B,2.702B,,1.318B,356.00M,20.00M,,-228.00M,671.00M,88.00M,-88.00M,,2.365B,337.00M,88.00M,-88.00M,-166.00M,-88.00M,83.00M,-975.00M,1.058B,,,1.058B,1.224B,298.00M,127.00M,171.00M,0.65,,,,0.7521,0.65,0.64,,,,0.7411,0.64,1.63B,1.646B,0.1393
2018-01,14.52B,14.52B,11.94B,2.582B,,1.229B,347.00M,20.00M,,-73.00M,,87.00M,-87.00M,,1.596B,986.00M,87.00M,-87.00M,6.00M,-87.00M,905.00M,-1.033B,1.938B,,,1.938B,1.991B,1.121B,129.00M,992.00M,1.17,,,,1.202,1.17,1.16,,,,1.192,1.16,1.65B,1.669B,0.1393
2017-10,13.93B,13.93B,11.41B,2.52B,,1.328B,291.00M,0.00,,-162.00M,-23.00M,84.00M,-84.00M,,1.596B,924.00M,84.00M,-84.00M,8.00M,-84.00M,848.00M,188.00M,660.00M,,,660.00M,786.08M,1.023B,91.00M,932.00M,0.4,0.0,,,0.4755,0.4,0.39,0.0,,,0.4645,0.39,1.67B,1.693B,0.1327
2017-07,13.06B,13.06B,10.63B,2.427B,,1.097B,289.00M,0.00,,-86.00M,-10.00M,79.00M,-79.00M,,1.376B,1.051B,79.00M,-79.00M,-73.00M,-79.00M,899.00M,203.00M,696.00M,,,696.00M,762.65M,1.068B,90.00M,978.00M,0.41,,,,0.4496,0.41,0.41,,,,0.4493,0.41,1.681B,1.695B,0.1327
2017-04,12.38B,12.38B,10.00B,2.383B,,1.09B,314.00M,1.00M,,-160.00M,-5.00M,73.00M,-73.00M,,1.40B,983.00M,73.00M,-73.00M,-156.00M,-73.00M,754.00M,195.00M,559.00M,,,559.00M,690.90M,916.00M,89.00M,827.00M,0.33,,,,0.4081,0.33,0.33,,,,0.4072,0.33,1.688B,1.709B,0.1327
2017-01,12.68B,12.68B,10.44B,2.248B,,1.017B,296.00M,0.00,,-79.00M,,73.00M,-73.00M,,1.313B,935.00M,73.00M,-73.00M,-87.00M,-73.00M,775.00M,164.00M,611.00M,,,611.00M,696.10M,932.00M,84.00M,848.00M,0.36,,,,0.4099,0.36,0.36,,,,0.4094,0.36,1.704B,1.721B,0.1327
2016-10,12.51B,12.51B,10.22B,2.291B,1.075B,1.075B,318.00M,0.00,,-235.00M,,,-138.00M,,921.00M,1.37B,,-138.00M,-222.00M,-138.00M,1.01B,497.00M,513.00M,-21.00M,,492.00M,654.00M,1.075B,83.00M,992.00M,0.3,-0.01,,,0.3822,0.29,0.3,-0.02,,,0.3815,0.28,1.715B,1.731B,0.124
2016-07,11.89B,11.89B,9.72B,2.172B,719.00M,719.00M,298.00M,2.00M,,-36.00M,,,-36.00M,,1.019B,1.153B,,-36.00M,-36.00M,-36.00M,1.081B,238.00M,843.00M,-60.00M,,783.00M,871.08M,1.238B,85.00M,1.153B,0.49,-0.03,,,0.5064,0.46,0.49,-0.04,,,0.5063,0.45,1.711B,1.725B,0.124
2016-04,11.59B,11.59B,9.338B,2.25B,1.002B,1.002B,301.00M,6.00M,,-100.00M,,,-5.00M,,1.309B,941.00M,,-5.00M,-100.00M,-5.00M,836.00M,176.00M,660.00M,-31.00M,,629.00M,738.90M,1.026B,85.00M,941.00M,0.38,-0.01,,,0.4259,0.37,0.38,-0.02,,,0.4256,0.36,1.72B,1.731B,0.124
2016-01,12.25B,12.25B,9.961B,2.285B,,1.037B,292.00M,8.00M,,-20.00M,,,-94.00M,,1.337B,948.00M,,-94.00M,-20.00M,-94.00M,834.00M,184.00M,650.00M,-58.00M,,592.00M,665.60M,1.027B,79.00M,948.00M,0.37,-0.04,,,0.3788,0.33,0.36,-0.04,,,0.3687,0.33,1.776B,1.785B,0.124
2015-10,12.27B,12.27B,9.90B,2.366B,1.211B,1.211B,282.00M,26.00M,,-49.00M,,,122.00M,,1.519B,847.00M,,122.00M,-270.00M,122.00M,699.00M,-816.00M,1.515B,-192.00M,,1.323B,1.544B,1.626B,1.007B,619.00M,0.73,-0.11,,,0.7463,0.73,0.73,-0.11,,,0.7462,0.73,1.805B,1.818B,0.17600000000000002
2015-07,12.36B,12.36B,10.04B,2.326B,1.058B,1.058B,300.00M,24.00M,,63.00M,,,-90.00M,,1.382B,944.00M,,-90.00M,63.00M,-90.00M,917.00M,217.00M,700.00M,154.00M,,854.00M,651.93M,1.967B,1.023B,944.00M,0.39,0.08,,,0.3634,0.47,0.39,0.08,,,0.3637,0.47,1.805B,1.828B,0.17600000000000002
2015-04,12.98B,12.98B,10.42B,2.562B,,1.228B,305.00M,25.00M,,-7.00M,,,-78.00M,,1.558B,1.004B,,-78.00M,-7.00M,-78.00M,919.00M,186.00M,733.00M,278.00M,,1.011B,738.59M,2.007B,1.003B,1.004B,0.41,0.15,,,0.4131,0.56,0.4,0.15,,,0.403,0.55,1.814B,1.836B,0.16
2015-01,13.86B,13.86B,11.17B,2.685B,,1.222B,304.00M,27.00M,,-14.00M,,,-121.00M,,1.553B,1.132B,,-121.00M,-14.00M,-121.00M,997.00M,227.00M,770.00M,596.00M,,1.366B,780.82M,2.16B,1.028B,1.132B,0.42,0.33,,,0.4259,0.75,0.41,0.32,,,0.4158,0.73,1.833B,1.861B,0.16
2014-10,-26.09B,-26.40B,-17.98B,-8.414B,-4.628B,-4.628B,-1.273B,-645.00M,,847.00M,,,89.00M,,-6.546B,-1.868B,,89.00M,847.00M,89.00M,-932.00M,-173.00M,-759.00M,,,1.33B,-1.449B,-793.00M,1.075B,-1.868B,0.71,,,,0.3394,0.71,0.7,,,,0.3387,0.7,1.861B,1.909B,0.16
2014-07,27.48B,27.58B,20.97B,6.611B,3.388B,3.388B,887.00M,227.00M,0.0,-651.00M,,,-145.00M,,4.502B,2.109B,,-145.00M,-651.00M,-145.00M,1.313B,328.00M,985.00M,,,985.00M,1.473B,3.164B,1.055B,2.109B,0.53,,,,0.7911,0.53,0.52,,,,0.7771,0.52,1.87B,1.899B,0.16
2014-04,27.21B,27.31B,20.70B,6.605B,,3.391B,873.00M,264.00M,,-255.00M,,,-174.00M,,4.528B,2.077B,,-174.00M,-255.00M,-174.00M,1.648B,375.00M,1.273B,,,1.273B,1.470B,3.164B,1.087B,2.077B,0.67,,,,0.7742,0.67,0.66,,,,0.7627,0.66,1.89B,1.916B,0.1452
2014-01,28.05B,28.15B,21.74B,6.418B,,3.21B,811.00M,283.00M,,-117.00M,,,-163.00M,,4.304B,2.114B,,-163.00M,-117.00M,-163.00M,1.834B,409.00M,1.425B,,,1.425B,1.516B,3.231B,1.117B,2.114B,0.75,,,,0.7977,0.75,0.74,,,,0.787,0.74,1.907B,1.935B,0.1452
2013-10,29.03B,29.13B,22.44B,6.694B,,3.351B,729.00M,317.00M,,-374.00M,,,-103.00M,,4.397B,2.297B,,-103.00M,-374.00M,-103.00M,1.82B,406.00M,1.414B,,,1.414B,1.705B,3.417B,1.12B,2.297B,0.74,,,,0.8914,0.74,0.73,,,,0.8795,0.73,1.919B,1.944B,0.1452
2013-07,27.12B,27.23B,20.86B,6.367B,,3.274B,797.00M,356.00M,,-85.00M,,,-146.00M,,4.427B,1.94B,,-146.00M,-85.00M,-146.00M,1.709B,319.00M,1.39B,,,1.39B,1.459B,3.098B,1.158B,1.94B,0.72,,,,0.7558,0.72,0.71,,,,0.7455,0.71,1.929B,1.948B,0.1452
2013-04,27.47B,27.58B,21.06B,6.527B,,3.342B,815.00M,350.00M,,-419.00M,,,-193.00M,,4.507B,2.02B,,-193.00M,-419.00M,-193.00M,1.408B,331.00M,1.077B,,,1.077B,1.398B,3.19B,1.17B,2.02B,0.56,,,,0.7257,0.56,0.55,,,,0.7146,0.55,1.935B,1.947B,0.132
2013-01,28.24B,28.36B,22.03B,6.33B,,3.30B,794.00M,350.00M,,-134.00M,,,-179.00M,,4.444B,1.886B,,-179.00M,-134.00M,-179.00M,1.573B,341.00M,1.232B,,,1.232B,1.337B,3.049B,1.163B,1.886B,0.63,,,,0.6837,0.63,0.63,,,,0.6836,0.63,1.953B,1.956B,0.132
2012-10,29.84B,29.96B,22.71B,7.248B,,3.227B,909.00M,372.00M,,-9.228B,,,-188.00M,,4.508B,2.74B,,-188.00M,-9.228B,-188.00M,-6.676B,178.00M,-6.854B,,,-6.854B,-855.80M,3.941B,1.201B,2.74B,-3.48,,,,-0.4275,-3.48,-3.48,,,,-0.4275,-3.48,1.965B,1.965B,0.132
2012-07,29.56B,29.67B,22.82B,6.849B,,3.366B,854.00M,476.00M,,-10.99B,,,-224.00M,,4.696B,2.153B,,-224.00M,-10.99B,-224.00M,-9.057B,-200.00M,-8.857B,,,-8.857B,1.887B,3.459B,1.306B,2.153B,-4.49,,,,0.9612,-4.49,-4.49,,,,0.9612,-4.49,1.971B,1.971B,0.132
2012-04,30.58B,30.69B,23.54B,7.152B,,3.54B,850.00M,470.00M,,-70.00M,,,-243.00M,,4.86B,2.292B,,-243.00M,-70.00M,-243.00M,1.979B,386.00M,1.593B,,,1.593B,1.649B,3.577B,1.285B,2.292B,0.8,,,,0.8285,0.8,0.8,,,,0.8284,0.8,1.979B,1.987B,0.12
2012-01,29.92B,30.04B,23.31B,6.723B,,3.367B,786.00M,466.00M,,-62.00M,,,-221.00M,,4.619B,2.104B,,-221.00M,-62.00M,-221.00M,1.821B,353.00M,1.468B,,,1.468B,1.518B,3.407B,1.303B,2.104B,0.74,,,,0.7652,0.74,0.73,,,,0.755,0.73,1.981B,1.998B,0.12
2011-10,31.67B,32.12B,25.30B,6.818B,,3.605B,829.00M,411.00M,,-1.178B,,,-401.00M,,4.845B,1.973B,,-401.00M,-1.178B,-401.00M,394.00M,155.00M,239.00M,,,239.00M,953.57M,3.235B,1.262B,1.973B,0.17,,,,0.5293,0.17,0.16,,,,0.5122,0.16,1.989B,2.029B,0.12
2011-07,31.19B,31.19B,23.90B,7.288B,,3.43B,812.00M,358.00M,,-168.00M,,,-121.00M,,4.60B,2.688B,,-121.00M,-168.00M,-121.00M,2.399B,473.00M,1.926B,,,1.926B,2.061B,3.913B,1.225B,2.688B,0.94,0.0,,,1.006,0.94,0.93,0.0,,,0.9948,0.93,2.054B,2.08B,0.12
2011-04,31.63B,31.63B,23.83B,7.80B,,3.425B,815.00M,413.00M,,-179.00M,,76.00M,-76.00M,,4.653B,3.147B,76.00M,-76.00M,-179.00M,-76.00M,2.892B,588.00M,2.304B,,,2.304B,2.447B,4.21B,1.242B,2.968B,1.07,0.0,,,1.136,1.07,1.05,0.0,,,1.115,1.05,2.15B,2.184B,0.08
2011-01,32.30B,32.30B,24.38B,7.921B,,3.117B,798.00M,425.00M,,-187.00M,,,-97.00M,,4.34B,3.581B,,-97.00M,-187.00M,-97.00M,3.297B,692.00M,2.605B,,,2.605B,2.753B,4.836B,1.255B,3.581B,1.19,0.0,,,1.258,1.19,1.17,0.0,,,1.236,1.17,2.182B,2.226B,0.08
2010-10,32.86B,33.28B,25.12B,8.16B,,3.568B,814.00M,424.00M,,-286.00M,,,146.00M,,4.806B,3.354B,,146.00M,-286.00M,146.00M,3.214B,676.00M,2.538B,,,2.538B,2.764B,5.769B,1.264B,4.505B,1.12,,,,1.22,1.12,1.09,,,,1.188,1.09,2.25B,2.294B,0.08
2010-07,30.73B,30.73B,23.29B,7.439B,,3.191B,742.00M,383.00M,,-725.00M,,209.00M,-209.00M,,4.316B,3.123B,209.00M,-209.00M,-725.00M,-209.00M,2.189B,416.00M,1.773B,,,1.773B,2.360B,3.608B,1.21B,2.398B,0.76,0.0,,,1.013,0.76,0.75,0.0,,,0.9971,0.75,2.322B,2.376B,0.08
2010-04,30.85B,30.85B,23.57B,7.28B,,3.096B,722.00M,347.00M,,-257.00M,,91.00M,-91.00M,,4.165B,3.115B,91.00M,-91.00M,-257.00M,-91.00M,2.767B,567.00M,2.20B,,,2.20B,2.404B,4.042B,1.184B,2.858B,0.94,0.0,,,1.0270000000000001,0.94,0.91,0.0,,,0.9949,0.91,2.345B,2.406B,0.08
2010-01,31.18B,31.18B,24.03B,7.15B,,2.967B,681.00M,330.00M,,-169.00M,,,-199.00M,,3.978B,3.172B,,-199.00M,-169.00M,-199.00M,2.804B,554.00M,2.25B,,,2.25B,2.386B,4.334B,1.162B,3.172B,0.95,0.0,,,1.008,0.95,0.93,0.0,,,0.9859,0.93,2.358B,2.427B,0.08
2009-10,30.78B,30.78B,23.48B,7.302B,,2.966B,704.00M,407.00M,,-92.00M,,132.00M,-132.00M,,4.077B,3.225B,132.00M,-132.00M,-92.00M,-132.00M,3.001B,589.00M,2.412B,,,2.412B,2.486B,4.367B,1.234B,3.133B,1.02,0.0,,,1.051,1.02,0.99,0.0,,,1.021,0.99,2.367B,2.422B,0.08
2009-07,27.58B,27.58B,21.03B,6.554B,,2.874B,667.00M,379.00M,,-421.00M,,177.00M,-177.00M,,3.92B,2.634B,177.00M,-177.00M,-421.00M,-177.00M,2.036B,365.00M,1.671B,,,1.671B,2.017B,3.392B,1.179B,2.213B,0.7,0.0,,,0.8451,0.7,0.69,0.0,,,0.8318,0.69,2.382B,2.436B,0.08
2009-04,27.38B,27.38B,20.94B,6.438B,,2.88B,716.00M,380.00M,,-169.00M,,,-180.00M,,3.976B,2.462B,,-180.00M,-169.00M,-180.00M,2.113B,392.00M,1.721B,,,1.721B,1.859B,3.615B,1.153B,2.462B,0.72,0.0,,,0.7775,0.72,0.71,0.0,,,0.7665,0.71,2.394B,2.438B,0.08
2009-01,28.81B,28.81B,22.07B,6.734B,,2.893B,732.00M,412.00M,,-200.00M,,232.00M,-232.00M,,4.037B,2.697B,232.00M,-232.00M,-200.00M,-232.00M,2.265B,409.00M,1.856B,,,1.856B,2.020B,3.711B,1.214B,2.497B,0.77,0.0,,,0.838,0.77,0.75,0.0,,,0.8165,0.75,2.41B,2.464B,0.08
2008-10,33.60B,33.60B,25.85B,7.75B,,3.506B,842.00M,337.00M,,-324.00M,,,0.00,,4.685B,3.065B,,0.00,-324.00M,0.00,2.643B,531.00M,2.112B,,,2.112B,2.371B,4.153B,1.088B,3.065B,0.86,0.0,,,0.9661,0.86,0.84,0.0,,,0.9421,0.84,2.441B,2.537B,0.08
2008-07,28.03B,28.03B,21.20B,6.835B,,3.193B,895.00M,213.00M,,-5.00M,,,0.00,,4.301B,2.534B,,0.00,-5.00M,0.00,2.552B,525.00M,2.027B,,,2.027B,2.031B,3.293B,759.00M,2.534B,0.82,0.0,,,0.8216,0.82,0.8,0.0,,,0.8016,0.8,2.459B,2.533B,0.08
2008-04,28.26B,28.26B,21.20B,7.057B,,3.331B,908.00M,211.00M,,-17.00M,,,3.00M,,4.45B,2.607B,,3.00M,-17.00M,3.00M,2.593B,536.00M,2.057B,,,2.057B,2.070B,3.367B,760.00M,2.607B,0.83,0.0,,,0.8355,0.83,0.8,0.0,,,0.8053,0.8,2.473B,2.557B,0.08
2008-01,28.47B,28.47B,21.50B,6.968B,,3.241B,898.00M,206.00M,,-10.00M,,,,,4.345B,2.623B,,,-10.00M,,2.685B,552.00M,2.133B,,,2.133B,2.141B,3.372B,749.00M,2.623B,0.83,0.0,,,0.8331,0.83,0.8,0.0,,,0.803,0.8,2.56B,2.655B,0.08
2007-10,28.29B,28.29B,20.77B,7.52B,,3.272B,914.00M,187.00M,,2.00M,,,,531.00M,4.904B,2.616B,,,2.00M,,2.699B,535.00M,2.164B,,,2.164B,2.162B,3.315B,699.00M,2.616B,0.83,0.0,,,0.8294,0.83,0.81,0.0,,,0.8094,0.81,2.576B,2.662B,0.08
2007-07,25.38B,25.38B,19.16B,6.213B,,3.002B,917.00M,183.00M,,10.00M,,,,,4.102B,2.111B,,,10.00M,,2.286B,508.00M,1.778B,,,1.778B,1.770B,2.796B,685.00M,2.111B,0.68,0.0,,,0.677,0.68,0.66,0.0,,,0.6571,0.66,2.60B,2.697B,0.08
2007-04,25.53B,25.53B,19.28B,6.251B,,3.044B,903.00M,212.00M,,49.00M,,,,-508.00M,3.651B,2.60B,,,49.00M,,2.228B,453.00M,1.775B,,,1.775B,1.736B,3.278B,678.00M,2.60B,0.67,0.0,,,0.6552,0.67,0.65,0.0,,,0.6357,0.65,2.638B,2.731B,0.08
2007-01,25.08B,25.08B,19.14B,5.946B,,2.899B,877.00M,201.00M,,-117.00M,,,,,3.977B,1.969B,,,-117.00M,,1.964B,417.00M,1.547B,,,1.547B,1.639B,2.612B,643.00M,1.969B,0.57,0.0,,,0.6041,0.57,0.55,0.0,,,0.5829,0.55,2.705B,2.801B,0.08
2006-10,24.56B,24.56B,18.59B,5.962B,,2.886B,870.00M,153.00M,,-138.00M,,,,,3.909B,2.053B,,,-138.00M,,2.105B,408.00M,1.697B,,,1.697B,1.808B,2.649B,596.00M,2.053B,0.62,0.0,,,0.6607,0.62,0.61,0.0,,,0.6498,0.61,2.731B,2.798B,0.08
2006-07,21.89B,21.89B,16.47B,5.418B,,2.83B,920.00M,153.00M,,2.00M,,,,,3.903B,1.515B,,,2.00M,,1.738B,363.00M,1.375B,,,1.375B,1.373B,2.113B,598.00M,1.515B,0.5,0.0,,,0.4994,0.5,0.48,0.0,,,0.4794,0.48,2.768B,2.839B,0.08
2006-04,22.55B,22.55B,16.97B,5.584B,,2.858B,930.00M,151.00M,,18.00M,,,,,3.939B,1.645B,,,18.00M,,1.82B,-79.00M,1.899B,,,1.899B,1.888B,2.241B,596.00M,1.645B,0.68,0.0,,,0.6762,0.68,0.66,0.0,,,0.6563,0.66,2.809B,2.887B,0.08
2006-01,22.66B,22.66B,17.39B,5.267B,,2.692B,871.00M,147.00M,,-67.00M,,,,,3.71B,1.557B,,,-67.00M,,1.528B,301.00M,1.227B,,,1.227B,1.281B,2.12B,563.00M,1.557B,0.43,0.0,,,0.4491,0.43,0.42,0.0,,,0.4386,0.42,2.822B,2.893B,0.08
2005-10,22.91B,22.91B,17.53B,5.381B,,2.786B,859.00M,136.00M,,-1.351B,,,,,3.582B,1.799B,,,-1.351B,,381.00M,-35.00M,416.00M,,,416.00M,1.227B,2.344B,545.00M,1.799B,0.14,0.0,,,0.4245,0.14,0.14,0.0,,,0.4216,0.14,2.849B,2.879B,0.08
2005-07,20.76B,20.76B,15.94B,4.817B,,2.761B,863.00M,168.00M,,-111.00M,,,,,3.792B,1.025B,,,-111.00M,,1.033B,960.00M,73.00M,,,73.00M,139.60M,1.613B,588.00M,1.025B,0.03,0.0,,,0.0532,0.03,0.03,0.0,,,0.0529,0.03,2.873B,2.907B,0.08
2005-04,21.57B,21.57B,16.43B,5.141B,,2.933B,890.00M,151.00M,,-1.00M,,,,,3.974B,1.167B,,,-1.00M,,1.079B,113.00M,966.00M,,,966.00M,966.90M,1.766B,599.00M,1.167B,0.33,0.0,,,0.3303,0.33,0.33,0.0,,,0.3303,0.33,2.886B,2.917B,0.08
2005-01,21.45B,21.45B,16.54B,4.917B,,2.704B,878.00M,167.00M,,-143.00M,,,,,3.749B,1.168B,,,-143.00M,,1.05B,107.00M,943.00M,,,943.00M,1.071B,1.78B,612.00M,1.168B,0.32,0.0,,,0.3642,0.32,0.32,0.0,,,0.3637,0.32,2.908B,2.936B,0.08
2004-10,21.39B,21.39B,16.39B,4.996B,,2.632B,873.00M,165.00M,,-38.00M,,,,,3.67B,1.326B,,,-38.00M,,1.29B,199.00M,1.091B,,,1.091B,1.123B,1.928B,602.00M,1.326B,0.37,0.0,,,0.3808,0.37,0.37,0.0,,,0.3808,0.37,2.967B,2.989B,0.08
2004-07,18.89B,18.89B,14.54B,4.344B,,2.621B,877.00M,146.00M,,-42.00M,,,,,3.644B,700.00M,,,-42.00M,,678.00M,92.00M,586.00M,,,586.00M,622.30M,1.302B,602.00M,700.00M,0.19,0.0,,,0.202,0.19,0.19,0.0,,,0.2019,0.19,3.037B,3.057B,0.08
2004-04,20.11B,20.11B,15.18B,4.931B,,2.665B,924.00M,148.00M,,-131.00M,,,,,3.737B,1.194B,,,-131.00M,,1.065B,181.00M,884.00M,,,884.00M,992.74M,1.82B,626.00M,1.194B,0.29,0.0,,,0.3257,0.29,0.29,0.0,,,0.3253,0.29,3.043B,3.081B,0.08
2004-01,19.51B,19.51B,14.69B,4.823B,,2.578B,889.00M,144.00M,,-60.00M,,,,,3.611B,1.212B,,,-60.00M,,1.163B,227.00M,936.00M,,,936.00M,984.29M,1.777B,565.00M,1.212B,0.31,0.0,,,0.3258,0.31,0.3,0.0,,,0.3156,0.3,3.05B,3.088B,0.08
2003-10,19.85B,19.85B,14.80B,5.049B,,2.707B,907.00M,143.00M,,-207.00M,,,,0.00,3.757B,1.292B,,,-207.00M,,1.065B,203.00M,862.00M,,,862.00M,1.030B,1.893B,601.00M,1.292B,0.28,0.0,,,0.335,0.28,0.28,0.0,,,0.3347,0.28,3.044B,3.063B,0.08
2003-07,17.35B,17.35B,12.81B,4.538B,,2.785B,896.00M,141.00M,,-440.00M,,,,-1.00M,3.821B,717.00M,,,-440.00M,,287.00M,-10.00M,297.00M,,,297.00M,561.00M,1.323B,606.00M,717.00M,0.1,0.0,,,0.1866,0.1,0.1,0.0,,,0.186,0.1,3.048B,3.071B,0.08
2003-04,17.98B,17.98B,13.10B,4.88B,,2.795B,941.00M,141.00M,,-372.00M,,,,,3.877B,1.003B,,,-372.00M,,611.00M,-48.00M,659.00M,,,659.00M,882.20M,1.633B,630.00M,1.003B,0.22,0.0,,,0.2933,0.22,0.22,0.0,,,0.293,0.22,3.047B,3.059B,0.08
2003-01,17.88B,17.88B,13.14B,4.736B,,2.725B,908.00M,138.00M,,-91.00M,,,,,3.771B,965.00M,,,-91.00M,,925.00M,204.00M,721.00M,,,721.00M,791.93M,1.655B,690.00M,965.00M,0.24,0.0,,,0.2636,0.24,0.24,0.0,,,0.2636,0.24,3.004B,3.004B,0.08
