,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,26.82B,26.82B,9.269B,17.55B,4.335B,1.208B,5.543B,3.715B,,691.00M,,-691.00M,9.258B,8.292B,,691.00M,-691.00M,1.04B,-691.00M,8.641B,1.217B,7.424B,,,7.424B,6.536B,12.04B,2.71B,9.332B,0.96,,,0.8446,0.96,0.95,,,0.836,0.95,7.698B,7.794B,0.42
2017-12,28.92B,28.92B,11.06B,17.85B,4.562B,1.109B,5.671B,3.504B,,698.00M,,-698.00M,9.175B,8.679B,,698.00M,-698.00M,1.188B,-698.00M,9.169B,15.47B,-6.302B,,,-6.302B,-6.994B,12.40B,2.536B,9.867B,-0.82,,,-0.9098,-0.82,-0.82,,,-0.9098,-0.82,7.71B,7.71B,0.42
2017-09,24.54B,24.54B,8.278B,16.26B,3.812B,1.166B,4.978B,3.574B,,672.00M,,-672.00M,8.552B,7.708B,,672.00M,-672.00M,948.00M,-672.00M,7.984B,1.408B,6.576B,,,6.576B,5.767B,11.16B,2.499B,8.656B,0.85,,,0.745,0.85,0.84,,,0.7362,0.84,7.708B,7.799B,0.39
2017-06,25.60B,25.60B,8.456B,17.15B,4.292B,1.355B,5.647B,3.514B,,655.00M,,-655.00M,9.161B,7.988B,,655.00M,-655.00M,625.00M,-655.00M,7.958B,-111.00M,8.069B,,,8.069B,7.496B,10.96B,2.343B,8.613B,0.84,,,0.7657,0.84,0.83,,,0.7566,0.83,7.716B,7.808B,0.39
2017-03,23.21B,23.21B,8.06B,15.15B,3.872B,1.202B,5.074B,3.355B,,609.00M,,-609.00M,8.429B,6.723B,,609.00M,-609.00M,980.00M,-609.00M,7.094B,1.608B,5.486B,,,5.486B,4.701B,10.16B,2.453B,7.703B,0.71,,,0.6083,0.71,0.7,,,0.5995,0.7,7.725B,7.813B,0.39
2016-12,25.83B,25.83B,9.901B,15.92B,4.079B,879.00M,4.958B,3.062B,,521.00M,,-521.00M,8.02B,7.905B,,521.00M,-521.00M,638.00M,-521.00M,8.022B,1.755B,6.267B,,,6.267B,5.635B,10.71B,2.166B,8.543B,0.81,,,0.7285,0.81,0.8,,,0.7193,0.8,7.755B,7.83B,0.39
2016-09,21.93B,21.93B,7.844B,14.08B,3.218B,1.045B,4.263B,3.106B,,437.00M,,-437.00M,7.369B,6.715B,,437.00M,-437.00M,549.00M,-437.00M,6.827B,1.16B,5.667B,,,5.667B,5.199B,9.08B,1.816B,7.264B,0.73,,,0.6699,0.73,0.72,,,0.6606,0.72,7.789B,7.876B,0.36
2016-06,26.45B,26.45B,7.979B,18.47B,3.936B,1.301B,5.237B,3.146B,,345.00M,,-345.00M,8.383B,10.09B,,345.00M,-345.00M,-506.00M,-345.00M,9.235B,2.372B,6.863B,,,6.863B,6.385B,11.49B,1.91B,9.58B,0.4,,,0.3391,0.4,0.39,,,0.3297,0.39,7.844B,7.929B,0.36
2016-03,20.53B,20.53B,7.722B,12.81B,3.406B,1.14B,4.546B,2.98B,,340.00M,,-340.00M,7.526B,5.283B,,340.00M,-340.00M,93.00M,-340.00M,5.036B,1.28B,3.756B,,,3.756B,3.650B,7.083B,1.707B,5.376B,0.48,,,0.4665,0.48,0.47,,,0.4567,0.47,7.895B,7.985B,0.36
2015-12,23.80B,23.80B,9.872B,13.92B,3.96B,1.038B,4.998B,2.90B,,309.00M,,-309.00M,7.898B,6.026B,,309.00M,-309.00M,138.00M,-309.00M,5.855B,837.00M,5.018B,,,5.018B,4.887B,7.708B,1.544B,6.164B,0.63,,,0.6136,0.63,0.62,,,0.6038,0.62,7.964B,8.051B,0.36
2015-09,20.38B,20.38B,7.207B,13.17B,3.333B,1.084B,4.417B,2.962B,,249.00M,,-249.00M,7.379B,5.793B,,249.00M,-249.00M,-31.00M,-249.00M,5.513B,611.00M,4.902B,,,4.902B,4.847B,7.223B,1.461B,5.762B,0.61,,,0.6031,0.61,0.61,,,0.6032,0.61,7.996B,8.084B,0.31
2015-06,22.18B,22.18B,7.468B,14.71B,3.961B,1.272B,5.233B,3.094B,-8.438B,247.00M,,-247.00M,8.327B,6.385B,,247.00M,-247.00M,-7.894B,-247.00M,-1.756B,1.439B,-3.195B,,,-3.195B,1.544B,-16.00M,1.493B,-1.509B,-0.4,,,0.1877,-0.4,-0.4,,,0.1824,-0.4,8.063B,8.137B,0.31
2015-03,21.73B,21.73B,7.161B,14.57B,3.709B,1.091B,4.80B,2.984B,-190.00M,211.00M,,-211.00M,7.784B,6.784B,,211.00M,-211.00M,-56.00M,-211.00M,6.517B,1.532B,4.985B,,,4.985B,5.007B,8.243B,1.515B,6.728B,0.61,,,0.6127,0.61,0.61,,,0.6127,0.61,8.167B,8.237B,0.31
2014-12,26.47B,26.47B,10.14B,16.33B,4.315B,1.097B,5.412B,2.903B,-243.00M,162.00M,,-162.00M,8.315B,8.019B,,162.00M,-162.00M,-7.00M,-162.00M,7.85B,1.987B,5.863B,,,5.863B,5.712B,9.533B,1.521B,8.012B,0.71,,,0.6916,0.71,0.71,,,0.6917,0.71,8.228B,8.297B,0.31
2014-09,23.20B,23.20B,8.273B,14.93B,3.728B,1.151B,4.879B,3.065B,-1.14B,161.00M,,-161.00M,7.944B,6.984B,,161.00M,-161.00M,-927.00M,-161.00M,5.896B,1.356B,4.54B,,,4.54B,5.227B,7.485B,1.428B,6.057B,0.55,,,0.6333,0.55,0.54,,,0.6222,0.54,8.249B,8.351B,0.28
2014-06,23.38B,23.38B,7.633B,15.75B,4.682B,1.335B,6.017B,3.123B,-127.00M,169.00M,,-169.00M,9.14B,6.609B,,169.00M,-169.00M,137.00M,-169.00M,6.577B,1.965B,4.612B,,,4.612B,4.470B,8.488B,1.742B,6.746B,0.56,,,0.5427,0.56,0.55,,,0.533,0.55,8.245B,8.363B,0.28
2014-03,20.40B,20.40B,5.978B,14.42B,3.542B,1.166B,4.708B,2.743B,0.00,175.00M,,-175.00M,7.451B,6.974B,,175.00M,-175.00M,158.00M,-175.00M,6.957B,1.297B,5.66B,,,5.66B,5.474B,8.387B,1.255B,7.132B,0.68,,,0.6575,0.68,0.68,,,0.6577,0.68,8.284B,8.367B,0.28
2013-12,24.52B,24.52B,8.322B,16.20B,4.283B,1.197B,5.48B,2.748B,0.00,135.00M,,-135.00M,8.228B,7.969B,,135.00M,-135.00M,44.00M,-135.00M,7.878B,1.32B,6.558B,,,6.558B,6.429B,9.274B,1.261B,8.013B,0.79,,,0.7745,0.79,0.78,,,0.7647,0.78,8.326B,8.395B,0.28
2013-09,18.53B,18.53B,5.145B,13.38B,3.304B,979.00M,4.283B,2.767B,0.00,118.00M,,-118.00M,7.05B,6.334B,,118.00M,-118.00M,192.00M,-118.00M,6.408B,1.164B,5.244B,,,5.244B,5.152B,7.48B,954.00M,6.526B,0.63,,,0.619,0.63,0.62,,,0.6091,0.62,8.339B,8.434B,0.23
2013-06,19.90B,19.90B,5.738B,14.16B,4.228B,1.074B,5.302B,2.783B,,120.00M,,-120.00M,8.085B,6.073B,,120.00M,-120.00M,192.00M,-120.00M,6.145B,1.18B,4.965B,,,4.965B,4.895B,7.248B,983.00M,6.265B,0.59,,,0.5816,0.59,0.59,,,0.5817,0.59,8.345B,8.464B,0.23
2013-03,20.49B,20.49B,4.787B,15.70B,3.794B,1.656B,5.45B,2.64B,,109.00M,,-109.00M,8.09B,7.612B,,109.00M,-109.00M,100.00M,-109.00M,7.603B,1.548B,6.055B,,,6.055B,5.911B,8.765B,1.053B,7.712B,0.72,,,0.7028,0.72,0.72,,,0.7029,0.72,8.364B,8.429B,0.23
2012-12,21.46B,21.46B,5.692B,15.76B,4.309B,1.156B,5.465B,2.528B,,105.00M,,-105.00M,7.993B,7.771B,,105.00M,-105.00M,104.00M,-105.00M,7.77B,1.393B,6.377B,,,6.377B,6.265B,8.884B,1.009B,7.875B,0.76,,,0.7466,0.76,0.76,,,0.7467,0.76,8.393B,8.444B,0.23
2012-09,16.01B,16.01B,4.168B,11.84B,2.945B,1.127B,4.072B,2.46B,,95.00M,,-95.00M,6.532B,5.308B,,95.00M,-95.00M,321.00M,-95.00M,5.534B,1.068B,4.466B,,,4.466B,4.370B,6.339B,710.00M,5.629B,0.53,,,0.5185,0.53,0.53,,,0.5187,0.53,8.396B,8.494B,0.2
2012-06,18.06B,18.06B,4.163B,13.90B,3.781B,1.136B,4.917B,2.594B,,96.00M,,-96.00M,7.511B,6.385B,,96.00M,-96.00M,-5.93B,-96.00M,359.00M,851.00M,-492.00M,,,-492.00M,-679.20M,1.252B,797.00M,455.00M,-0.06,,,-0.0823,-0.06,-0.06,,,-0.082,-0.06,8.39B,8.518B,0.2
2012-03,17.41B,17.41B,3.952B,13.46B,3.414B,1.15B,4.564B,2.517B,,95.00M,,-95.00M,7.081B,6.374B,,95.00M,-95.00M,84.00M,-95.00M,6.363B,1.255B,5.108B,,,5.108B,5.025B,7.224B,766.00M,6.458B,0.61,,,0.6001,0.61,0.6,,,0.5902,0.6,8.401B,8.498B,0.2
2011-12,20.88B,20.88B,5.638B,15.25B,3.762B,1.12B,4.882B,2.371B,,95.00M,,-95.00M,7.253B,7.994B,,95.00M,-95.00M,340.00M,-95.00M,8.239B,1.615B,6.624B,,,6.624B,6.392B,9.012B,678.00M,8.334B,0.79,,,0.7624,0.79,0.78,,,0.7526,0.78,8.402B,8.465B,0.2
2011-09,17.37B,17.37B,3.777B,13.60B,2.90B,1.163B,4.063B,2.329B,,94.00M,,-94.00M,6.392B,7.203B,,94.00M,-94.00M,197.00M,-94.00M,7.306B,1.568B,5.738B,,,5.738B,5.579B,8.126B,726.00M,7.40B,0.68,,,0.6611,0.68,0.68,,,0.6613,0.68,8.392B,8.49B,0.16
2011-06,17.37B,17.37B,3.708B,13.66B,3.916B,1.179B,5.095B,2.393B,-762.00M,,,,7.488B,6.171B,,,,443.00M,,6.319B,445.00M,5.874B,,,5.874B,6.582B,8.065B,689.00M,7.376B,0.7,,,0.7841,0.7,0.68,,,0.7629,0.68,8.427B,8.545B,0.16
2011-03,16.43B,16.43B,3.897B,12.53B,3.393B,1.16B,4.553B,2.269B,316.00M,,,,6.822B,5.709B,,,,316.00M,,6.025B,793.00M,5.232B,,,5.232B,4.958B,6.429B,720.00M,5.709B,0.62,0.0,,0.5874,0.62,0.61,0.0,,0.5778,0.61,8.42B,8.51B,0.16
2010-12,19.95B,19.95B,4.833B,15.12B,3.825B,945.00M,4.77B,2.185B,,72.00M,205.00M,133.00M,6.955B,8.165B,205.00M,72.00M,133.00M,199.00M,133.00M,8.497B,1.863B,6.634B,,,6.634B,6.479B,9.232B,663.00M,8.569B,0.78,0.0,,0.7617,0.78,0.77,0.0,,0.7519,0.77,8.497B,8.57B,0.16
2010-09,16.20B,16.20B,3.139B,13.06B,2.806B,938.00M,3.744B,2.196B,-38.00M,45.00M,210.00M,165.00M,5.94B,7.116B,210.00M,45.00M,165.00M,-51.00M,165.00M,7.23B,1.82B,5.41B,,,5.41B,5.448B,7.969B,694.00M,7.275B,0.63,0.0,,0.6344,0.63,0.62,0.0,,0.6244,0.62,8.614B,8.695B,0.13
2010-06,16.04B,16.04B,3.17B,12.87B,3.602B,987.00M,4.589B,2.35B,-33.00M,37.00M,,-641.00M,6.939B,5.93B,,37.00M,-641.00M,735.00M,-641.00M,6.024B,1.506B,4.518B,,,4.518B,3.977B,6.779B,718.00M,6.061B,0.52,,,0.4579,0.52,0.51,,,0.4488,0.51,8.714B,8.843B,0.13
2010-03,14.50B,14.50B,2.755B,11.75B,3.203B,1.152B,4.355B,2.22B,-10.00M,38.00M,204.00M,166.00M,6.575B,5.173B,204.00M,38.00M,166.00M,2.00M,166.00M,5.341B,1.335B,4.006B,,,4.006B,4.004B,6.073B,694.00M,5.379B,0.46,0.0,,0.4598,0.46,0.45,0.0,,0.4498,0.45,8.767B,8.876B,0.13
2009-12,19.02B,19.02B,3.628B,15.39B,3.619B,1.183B,4.802B,2.079B,46.00M,38.00M,197.00M,159.00M,6.881B,8.513B,197.00M,38.00M,159.00M,211.00M,159.00M,8.883B,2.221B,6.662B,,,6.662B,6.504B,9.536B,615.00M,8.921B,0.75,0.0,,0.7321,0.75,0.74,0.0,,0.7223,0.74,8.856B,8.951B,0.13
2009-09,12.92B,12.92B,2.842B,10.08B,2.79B,741.00M,3.531B,2.065B,-3.00M,38.00M,203.00M,165.00M,5.596B,4.482B,203.00M,38.00M,165.00M,118.00M,165.00M,4.765B,1.191B,3.574B,,,3.574B,3.485B,5.449B,646.00M,4.803B,0.4,0.0,,0.3901,0.4,0.4,0.0,,0.3901,0.4,8.914B,8.983B,0.13
2009-06,13.10B,13.10B,2.586B,10.51B,3.192B,1.109B,4.301B,2.225B,558.00M,,198.00M,160.00M,6.526B,3.987B,198.00M,,160.00M,-5.00M,160.00M,4.142B,1.097B,3.045B,,,3.045B,3.049B,4.164B,681.00M,3.483B,0.34,0.0,,0.3404,0.34,0.34,0.0,,0.3404,0.34,8.90B,8.96B,0.13
2009-03,13.65B,13.65B,2.814B,10.83B,2.981B,1.203B,4.184B,2.212B,-497.00M,,164.00M,164.00M,6.396B,4.438B,164.00M,,164.00M,-552.00M,164.00M,4.05B,1.073B,2.977B,,,2.977B,3.383B,5.102B,664.00M,4.438B,0.33,0.0,,0.3756,0.33,0.33,0.0,,0.3756,0.33,8.891B,8.904B,0.13
2008-12,16.63B,16.63B,3.907B,12.72B,3.662B,831.00M,4.493B,2.29B,-476.00M,,175.00M,175.00M,6.783B,5.939B,175.00M,,175.00M,-476.00M,175.00M,5.638B,1.464B,4.174B,,,4.174B,4.526B,6.571B,632.00M,5.939B,0.47,0.0,,0.5096,0.47,0.47,0.0,,0.5095,0.47,8.903B,8.914B,0.13
2008-09,15.06B,15.06B,2.848B,12.21B,,,3.931B,2.283B,-215.00M,,,,6.214B,5.999B,,,,-215.00M,,5.991B,1.618B,4.373B,,,4.373B,4.530B,6.584B,585.00M,5.999B,0.48,0.0,,0.4973,0.48,0.48,0.0,,0.4971,0.48,9.084B,9.183B,0.11
2008-06,15.84B,15.84B,2.866B,12.97B,,,5.101B,2.407B,-367.00M,,,,7.508B,5.463B,,,,1.282B,,5.968B,1.671B,4.297B,,,4.297B,4.561B,7.72B,608.00M,7.112B,0.47,,,0.4985,0.47,0.46,,,0.4881,0.46,9.265B,9.404B,0.11
2008-03,14.45B,14.45B,2.514B,11.94B,,,5.496B,2.035B,175.00M,,,,7.531B,4.409B,,,,175.00M,,4.81B,422.00M,4.388B,,,4.388B,4.228B,4.941B,532.00M,4.409B,0.47,0.0,,0.4528,0.47,0.47,0.0,,0.4531,0.47,9.307B,9.428B,0.11
2007-12,16.37B,16.37B,3.543B,12.82B,,,4.458B,1.885B,133.00M,,,,6.343B,6.481B,,,,133.00M,,6.82B,2.113B,4.707B,,,4.707B,4.615B,6.962B,481.00M,6.481B,0.5,0.0,,0.4902,0.5,0.5,0.0,,0.4903,0.5,9.361B,9.503B,0.11
2007-09,13.76B,13.76B,2.675B,11.09B,,,3.332B,1.837B,59.00M,,,,5.169B,5.918B,,,,59.00M,,6.216B,1.927B,4.289B,,,4.289B,4.248B,6.353B,435.00M,5.918B,0.46,0.0,,0.4557,0.46,0.45,0.0,,0.4457,0.45,9.38B,9.513B,0.1
2007-06,13.37B,13.37B,3.237B,10.13B,,,4.283B,1.948B,-1.286B,,,,6.231B,3.903B,,,,-938.00M,,4.284B,1.249B,3.035B,,,3.035B,3.946B,4.284B,381.00M,3.903B,0.32,0.0,,0.4159,0.32,0.31,0.0,,0.4041,0.31,9.505B,9.679B,0.1
2007-03,14.40B,14.40B,2.14B,12.26B,,,3.919B,1.75B,382.00M,,,,5.669B,6.589B,,,,382.00M,,6.971B,2.045B,4.926B,,,4.926B,4.656B,7.034B,445.00M,6.589B,0.51,0.0,,0.4822,0.51,0.5,0.0,,0.4726,0.5,9.725B,9.862B,0.1
2006-12,12.54B,12.54B,3.62B,8.922B,,,3.813B,1.637B,333.00M,,,,5.45B,3.472B,,,,333.00M,,3.805B,1.179B,2.626B,,,2.626B,2.396B,3.837B,365.00M,3.472B,0.27,0.0,,0.2466,0.27,0.26,0.0,,0.2369,0.26,9.806B,9.942B,0.1
2006-09,10.81B,10.81B,1.696B,9.115B,,,2.855B,1.786B,567.00M,,,,4.641B,4.474B,,,,567.00M,,5.041B,1.563B,3.478B,,,3.478B,3.087B,4.723B,249.00M,4.474B,0.35,0.0,,0.3106,0.35,0.35,0.0,,0.3109,0.35,9.929B,10.01B,0.09
2006-06,11.80B,11.80B,2.13B,9.674B,,,3.932B,1.861B,-1.107B,,,,5.793B,3.881B,,,,-1.133B,,4.258B,1.43B,2.828B,,,2.828B,3.563B,4.142B,261.00M,3.881B,0.28,0.0,,0.3522,0.28,0.28,0.0,,0.3518,0.28,10.19B,10.24B,0.09
2006-03,10.90B,10.90B,2.028B,8.872B,,,3.367B,1.617B,428.00M,,,,4.984B,3.888B,,,,427.00M,,4.315B,1.338B,2.977B,,,2.977B,2.682B,4.065B,177.00M,3.888B,0.29,0.0,,0.2613,0.29,0.29,0.0,,0.2616,0.29,10.30B,10.42B,0.09
2005-12,11.84B,11.84B,2.239B,9.598B,,,3.35B,1.591B,480.00M,,,,4.941B,4.657B,,,,480.00M,,5.137B,1.484B,3.653B,,,3.653B,3.312B,4.888B,231.00M,4.657B,0.35,0.0,,0.3177,0.35,0.34,0.0,,0.3079,0.34,10.56B,10.64B,0.08
2005-09,9.741B,9.741B,1.253B,8.488B,,,2.927B,1.515B,506.00M,,,,4.442B,4.046B,,,,506.00M,,4.552B,1.411B,3.141B,,,3.141B,2.792B,4.28B,234.00M,4.046B,0.29,0.0,,0.2574,0.29,0.29,0.0,,0.2576,0.29,10.70B,10.77B,0.08
2005-06,10.16B,10.16B,1.388B,8.773B,,,4.12B,1.664B,884.00M,,,,5.784B,2.989B,,,,872.00M,,3.861B,161.00M,3.70B,,,3.70B,2.853B,3.271B,282.00M,2.989B,0.34,0.0,,0.2612,0.34,0.34,0.0,,0.2617,0.34,10.75B,10.82B,0.08
2005-03,9.62B,9.62B,1.363B,8.257B,,,3.446B,1.482B,497.00M,,,,4.928B,3.329B,,,,496.00M,,3.825B,1.262B,2.563B,,,2.563B,2.230B,3.611B,282.00M,3.329B,0.24,0.0,,0.2093,0.24,0.23,0.0,,0.1995,0.23,10.86B,10.93B,0.08
2004-12,10.82B,10.82B,1.922B,8.896B,,,2.71B,1.437B,417.00M,,,,4.147B,4.749B,,,,420.00M,,5.169B,1.706B,3.463B,,,3.463B,3.184B,4.857B,108.00M,4.749B,0.32,0.0,,0.2943,0.32,0.32,0.0,,0.2945,0.32,10.88B,10.96B,0.08
2004-09,9.189B,9.189B,1.405B,7.784B,,,2.76B,1.53B,279.00M,,,,4.29B,3.494B,,,,279.00M,,3.773B,1.245B,2.528B,,,2.528B,2.341B,3.677B,183.00M,3.494B,0.23,0.0,,0.2128,0.23,0.23,0.0,,0.2129,0.23,10.87B,10.92B,0.08
2004-06,9.292B,9.292B,1.481B,7.811B,,,3.019B,1.659B,570.00M,,,,4.678B,3.133B,,,,571.00M,,3.704B,1.014B,2.69B,,,2.69B,2.276B,3.442B,309.00M,3.133B,0.25,0.0,,0.2118,0.25,0.25,0.0,,0.2119,0.25,10.82B,10.88B,0.0
2004-03,9.175B,9.175B,1.411B,7.764B,,,4.948B,1.538B,1.012B,,,,6.486B,1.278B,,,,1.001B,,2.279B,964.00M,1.315B,,,1.315B,707.80M,1.527B,249.00M,1.278B,0.12,0.0,,0.0637,0.12,0.12,0.0,,0.0641,0.12,10.78B,10.86B,0.0
2003-12,10.15B,10.15B,2.344B,7.809B,,,3.363B,2.971B,842.00M,,,,6.334B,1.475B,,,,837.00M,,2.312B,763.00M,1.549B,,,1.549B,984.87M,1.775B,300.00M,1.475B,0.14,0.0,,0.0878,0.14,0.14,0.0,,0.0882,0.14,10.81B,10.90B,0.16
2003-09,8.215B,8.215B,1.48B,6.735B,,,1.976B,1.611B,763.00M,,,,3.587B,3.148B,,,,753.00M,,3.901B,1.287B,2.614B,,,2.614B,2.103B,3.476B,328.00M,3.148B,0.24,0.0,,0.1927,0.24,0.24,0.0,,0.193,0.24,10.81B,10.88B,0.0
2003-06,8.065B,8.065B,1.304B,6.761B,,,3.54B,1.681B,689.00M,,,,5.221B,1.54B,,,,674.00M,,2.214B,731.00M,1.483B,,,1.483B,1.021B,1.966B,426.00M,1.54B,0.14,0.0,,0.097,0.14,0.14,0.0,,0.097,0.14,10.73B,10.74B,0.0
2003-03,7.835B,7.835B,1.274B,6.561B,,,2.125B,1.692B,472.00M,,,,3.817B,2.744B,,,,453.00M,,3.197B,1.055B,2.142B,,,2.142B,1.826B,3.163B,419.00M,2.744B,0.2,0.0,,0.1705,0.2,0.2,0.0,,0.1708,0.2,10.72B,10.84B,0.08
2002-12,8.541B,8.541B,2.137B,6.404B,,,2.656B,1.515B,375.00M,,,,4.171B,2.233B,,,,363.00M,,2.596B,731.00M,1.865B,,,1.865B,1.596B,2.508B,275.00M,2.233B,0.17,0.0,,0.1448,0.17,0.17,0.0,,0.1452,0.17,10.70B,10.85B,
2002-09,7.746B,7.746B,1.344B,6.402B,,,1.667B,1.707B,41.00M,,,,3.374B,3.028B,,,,19.00M,,3.047B,1.006B,2.041B,,,2.041B,2.014B,3.301B,273.00M,3.028B,0.19,0.0,,0.1874,0.19,0.19,0.0,,0.1875,0.19,10.74B,10.93B,
2002-06,7.253B,7.253B,1.368B,5.885B,,,1.827B,1.184B,-1.079B,,,,3.011B,2.874B,,,,-1.093B,,2.243B,718.00M,1.525B,,,1.525B,2.259B,3.233B,359.00M,2.874B,0.14,,,0.2077,0.14,0.13,,,0.1964,0.13,10.83B,11.05B,
2002-03,7.245B,7.245B,1.395B,5.85B,,,1.486B,1.066B,306.00M,,,,2.552B,3.298B,,,,295.00M,,4.026B,1.288B,2.738B,,,2.738B,2.530B,3.446B,148.00M,3.298B,0.25,0.0,,0.2308,0.25,0.25,0.0,,0.2313,0.25,10.83B,11.13B,
