,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,7.424B,-438.00M,-438.00M,2.71B,2.71B,249.00M,969.00M,,969.00M,1.285B,-75.00M,-393.00M,-149.00M,546.00M,23.00M,1.237B,12.15B,-2.934B,,-2.934B,-248.00M,7.045B,-19.00M,3.844B,-4.883B,-7.373B,-12.26B,251.00M,-3.781B,-3.53B,-3.232B,-3.232B,-640.00M,-19.66B,12.86B,-3.663B,25.00M,9.221B,251.00M,0.00,-4.883B,-3.781B
2017-12,-6.302B,-684.00M,-684.00M,2.536B,2.536B,13.67B,986.00M,,986.00M,-3.908B,1.205B,938.00M,354.00M,643.00M,-1.562B,-2.33B,7.875B,-2.586B,,-2.586B,-27.00M,2.459B,-177.00M,-331.00M,-98.00M,3.759B,3.661B,189.00M,-2.008B,-1.819B,-3.238B,-3.238B,-156.00M,-1.552B,6.884B,5.992B,-17.00M,12.86B,189.00M,3.229B,-3.327B,-2.008B
2017-09,6.576B,-523.00M,-523.00M,2.499B,2.499B,608.00M,973.00M,,973.00M,7.949B,-1.023B,-407.00M,-318.00M,-2.164B,-1.73B,2.307B,12.44B,-2.132B,,-2.132B,-179.00M,-4.699B,106.00M,-6.904B,2.785B,-3.71B,-925.00M,307.00M,-2.57B,-2.263B,-3.003B,-3.003B,-150.00M,-6.341B,7.663B,-805.00M,26.00M,6.884B,307.00M,3.954B,-1.169B,-2.57B
2017-06,8.069B,-520.00M,-520.00M,2.343B,2.343B,-1.952B,913.00M,,913.00M,-7.029B,-199.00M,850.00M,724.00M,1.413B,6.393B,2.152B,11.00B,-2.283B,,-2.283B,-358.00M,-4.625B,-103.00M,-7.369B,-1.617B,3.484B,1.867B,221.00M,-1.765B,-1.544B,-3.009B,-3.009B,-15.00M,-2.701B,6.713B,935.00M,15.00M,7.663B,221.00M,1.751B,-3.368B,-1.765B
2017-03,5.486B,-590.00M,-590.00M,2.453B,2.453B,963.00M,883.00M,,883.00M,1.415B,-16.00M,-425.00M,-31.00M,670.00M,-148.00M,1.465B,10.66B,-1.695B,,-1.695B,-802.00M,-2.614B,-1.08B,-6.191B,336.00M,-1.302B,-966.00M,179.00M,-2.062B,-1.883B,-3.012B,-3.012B,-375.00M,-6.236B,8.468B,-1.767B,12.00M,6.713B,179.00M,547.00M,-211.00M,-2.062B
2016-12,6.267B,-652.00M,-652.00M,2.166B,2.166B,1.412B,767.00M,,767.00M,-2.789B,1.132B,99.00M,1.30B,-1.406B,-2.003B,-3.667B,6.293B,-1.988B,,-1.988B,-24.76B,10.93B,1.07B,-14.75B,12.95B,-3.755B,9.196B,131.00M,-3.599B,-3.468B,-3.024B,-3.024B,312.00M,3.016B,13.93B,-5.442B,-18.00M,8.468B,131.00M,17.07B,-4.118B,-3.599B
2016-09,5.667B,-311.00M,-311.00M,1.816B,1.816B,540.00M,703.00M,,703.00M,7.187B,-867.00M,-443.00M,-965.00M,-321.00M,-1.457B,3.134B,11.55B,-2.163B,,-2.163B,-24.00M,-16.20B,-84.00M,-18.47B,24.75B,-3.39B,21.36B,241.00M,-4.362B,-4.121B,-2.80B,-2.80B,-112.00M,14.33B,6.51B,7.408B,10.00M,13.93B,241.00M,24.98B,-225.00M,-4.362B
2016-06,6.863B,-439.00M,35.06B,1.91B,1.91B,2.004B,664.00M,,1.294B,-4.984B,192.00M,-17.00M,702.00M,1.114B,-35.67B,-38.66B,8.464B,-2.655B,,-2.655B,-63.00M,-7.277B,-78.00M,-10.07B,585.00M,6.714B,7.299B,173.00M,-3.677B,-3.504B,-2.821B,-2.821B,-3.00M,971.00M,7.17B,-638.00M,-22.00M,6.51B,173.00M,610.00M,-25.00M,-3.677B
2016-03,3.756B,65.00M,-12.14B,1.707B,1.707B,351.00M,672.00M,,672.00M,2.288B,241.00M,-129.00M,-420.00M,626.00M,13.42B,16.03B,10.37B,-2.308B,,-2.308B,-559.00M,-2.55B,-66.00M,-5.483B,-875.00M,2.622B,1.747B,159.00M,-3.857B,-3.698B,-2.842B,-2.842B,-123.00M,-4.916B,7.185B,-32.00M,17.00M,7.17B,159.00M,25.00M,-900.00M,-3.857B
2015-12,5.018B,50.00M,-11.88B,1.544B,1.544B,-247.00M,658.00M,,658.00M,-3.118B,1.104B,369.00M,-932.00M,105.00M,13.00B,10.52B,5.618B,-2.024B,,-2.024B,-381.00M,-1.208B,285.00M,-3.328B,13.01B,-7.031B,5.976B,117.00M,-3.678B,-3.561B,-2.868B,-2.868B,-65.00M,-518.00M,5.431B,1.772B,-18.00M,7.185B,117.00M,13.13B,-121.00M,-3.678B
2015-09,4.902B,101.00M,-11.25B,1.461B,1.461B,73.00M,674.00M,,674.00M,6.376B,-937.00M,-135.00M,-562.00M,-2.024B,10.30B,13.02B,8.876B,-1.356B,,-1.356B,-390.00M,-3.382B,62.00M,-5.066B,-1.629B,4.89B,3.261B,219.00M,-4.757B,-4.538B,-2.475B,-2.475B,-178.00M,-3.93B,5.595B,-120.00M,-44.00M,5.431B,219.00M,121.00M,-1.75B,-4.757B
2015-06,-3.195B,-264.00M,-11.84B,1.493B,1.493B,-644.00M,654.00M,,8.152B,-5.448B,-429.00M,-142.00M,612.00M,1.328B,16.96B,12.88B,6.849B,-1.781B,,-1.781B,-626.00M,-2.657B,-3.00M,-5.067B,0.00,3.259B,3.259B,151.00M,-4.279B,-4.128B,-2.496B,-2.496B,-239.00M,-3.604B,7.414B,-1.822B,3.00M,5.595B,151.00M,-1.222B,0.00,-4.279B
2015-03,4.985B,-55.00M,-11.26B,1.515B,1.515B,253.00M,641.00M,524.00M,1.165B,3.655B,-430.00M,-390.00M,-111.00M,200.00M,10.55B,13.47B,10.12B,-1.391B,,-1.391B,-162.00M,-3.594B,-334.00M,-5.481B,10.68B,-6.575B,4.105B,146.00M,-5.131B,-4.985B,-2.532B,-2.532B,-208.00M,-3.62B,6.426B,1.024B,-36.00M,7.414B,146.00M,11.90B,0.00,-5.131B
2014-12,5.863B,-179.00M,-11.67B,1.521B,1.521B,314.00M,633.00M,-22.00M,611.00M,-3.378B,1.07B,137.00M,-159.00M,-986.00M,11.02B,7.705B,4.34B,-1.49B,,-1.49B,-2.794B,-670.00M,238.00M,-4.716B,0.00,4.798B,4.798B,121.00M,-2.145B,-2.024B,-2.547B,-2.547B,307.00M,534.00M,6.302B,158.00M,-34.00M,6.426B,121.00M,0.00,0.00,-2.145B
2014-09,4.54B,55.00M,-10.59B,1.428B,1.428B,301.00M,646.00M,-502.00M,144.00M,6.627B,-483.00M,-659.00M,-280.00M,-1.166B,8.49B,12.53B,8.354B,-1.282B,,-1.282B,-141.00M,-5.947B,-367.00M,-7.737B,-1.50B,2.999B,1.499B,216.00M,-2.888B,-2.672B,-2.307B,-2.307B,502.00M,-2.978B,8.669B,-2.361B,-6.00M,6.302B,216.00M,0.00,-1.50B,-2.888B
2014-06,4.612B,-209.00M,-11.55B,1.742B,1.742B,-369.00M,618.00M,247.00M,865.00M,-5.363B,-199.00M,863.00M,282.00M,1.072B,17.83B,14.49B,9.785B,-1.33B,,-1.33B,-5.626B,-1.718B,-236.00M,-8.91B,-500.00M,500.00M,0.00,146.00M,-1.17B,-1.024B,-2.309B,-2.309B,-247.00M,-3.58B,11.57B,-2.705B,-198.00M,8.669B,146.00M,1.50B,-2.00B,-1.17B
2014-03,5.66B,-40.00M,-10.18B,1.255B,1.255B,-190.00M,602.00M,-22.00M,580.00M,2.501B,-324.00M,-716.00M,340.00M,870.00M,10.30B,12.97B,10.10B,-1.192B,,-1.192B,-157.00M,-2.981B,46.00M,-4.284B,-300.00M,0.00,-300.00M,141.00M,-1.845B,-1.704B,-2.322B,-2.322B,22.00M,-4.304B,10.06B,1.511B,2.00M,11.57B,141.00M,0.00,-300.00M,-1.845B
2013-12,6.558B,47.00M,-10.53B,1.261B,1.261B,-176.00M,591.00M,-20.00M,571.00M,-4.875B,1.029B,602.00M,-95.00M,388.00M,9.681B,6.73B,4.413B,-1.732B,,-1.732B,-139.00M,679.00M,167.00M,-1.025B,7.674B,-712.00M,6.962B,117.00M,-2.113B,-1.996B,-2.332B,-2.332B,-19.00M,2.615B,4.023B,6.003B,33.00M,10.06B,117.00M,8.262B,-588.00M,-2.113B
2013-09,5.244B,93.00M,-9.584B,954.00M,954.00M,404.00M,635.00M,-205.00M,430.00M,6.617B,-667.00M,-276.00M,-556.00M,-1.255B,6.894B,10.76B,8.205B,-1.231B,,-1.231B,-15.00M,-3.304B,-64.00M,-4.614B,-412.00M,712.00M,300.00M,203.00M,-2.188B,-1.985B,-1.916B,-1.916B,205.00M,-3.396B,3.804B,195.00M,24.00M,4.023B,203.00M,588.00M,-1.00B,-2.188B
2013-06,4.965B,99.00M,-10.97B,983.00M,983.00M,-423.00M,601.00M,-17.00M,584.00M,-5.666B,187.00M,486.00M,-33.00M,27.00M,15.76B,10.76B,5.903B,-1.794B,,-1.794B,-20.00M,-4.106B,81.00M,-5.839B,1.305B,0.00,1.305B,166.00M,-1.042B,-876.00M,-1.921B,-1.921B,23.00M,-1.469B,5.24B,-1.405B,-31.00M,3.804B,166.00M,2.651B,-1.346B,-1.042B
2013-03,6.055B,-52.00M,-11.65B,1.053B,1.053B,226.00M,599.00M,-6.00M,593.00M,2.191B,-483.00M,-67.00M,139.00M,1.238B,10.37B,13.39B,9.666B,-930.00M,,-930.00M,-108.00M,-7.165B,543.00M,-7.66B,0.00,,0.00,203.00M,-1.028B,-825.00M,-1.925B,-1.925B,6.00M,-2.744B,6.017B,-738.00M,-39.00M,5.24B,203.00M,0.00,0.00,-1.028B
2012-12,6.377B,22.00M,-10.46B,1.009B,1.009B,140.00M,603.00M,-9.00M,594.00M,-4.488B,-33.00M,685.00M,150.00M,168.00M,10.64B,7.121B,4.78B,-930.00M,,-930.00M,-311.00M,-959.00M,-393.00M,-2.593B,2.232B,0.00,2.232B,145.00M,-1.658B,-1.513B,-1.933B,-1.933B,-7.00M,-1.221B,5.036B,966.00M,15.00M,6.017B,145.00M,2.232B,0.00,-1.658B
2012-09,4.466B,11.00M,-8.759B,710.00M,710.00M,38.00M,603.00M,-177.00M,426.00M,6.156B,-473.00M,-567.00M,-385.00M,-1.287B,8.159B,11.60B,8.484B,-603.00M,,-603.00M,-1.145B,-5.572B,-399.00M,-7.719B,0.00,0.00,0.00,417.00M,-1.632B,-1.215B,-1.676B,-1.676B,177.00M,-2.714B,6.938B,-1.949B,47.00M,5.036B,417.00M,0.00,0.00,-1.632B
2012-06,-492.00M,-126.00M,-9.48B,797.00M,797.00M,672.00M,520.00M,-9.00M,6.704B,-5.007B,263.00M,349.00M,-445.00M,517.00M,13.80B,9.476B,7.677B,-622.00M,,-622.00M,-526.00M,-3.117B,-397.00M,-4.662B,0.00,,0.00,278.00M,-1.03B,-752.00M,-1.678B,-1.678B,9.00M,-2.421B,6.388B,594.00M,-44.00M,6.938B,278.00M,0.00,,-1.03B
2012-03,5.108B,68.00M,-8.215B,766.00M,766.00M,-134.00M,591.00M,-10.00M,581.00M,2.77B,-50.00M,-114.00M,73.00M,492.00M,8.317B,11.49B,9.594B,-749.00M,,-749.00M,-84.00M,-11.77B,361.00M,-12.24B,0.00,,0.00,1.091B,-1.023B,68.00M,-1.683B,-1.683B,10.00M,-1.605B,10.61B,-4.252B,30.00M,6.388B,1.091B,0.00,,-1.023B
2011-12,6.624B,-112.00M,-8.169B,678.00M,678.00M,14.00M,575.00M,-4.00M,571.00M,-3.652B,891.00M,176.00M,605.00M,394.00M,7.73B,6.144B,5.862B,-498.00M,,-498.00M,-8.627B,3.849B,-292.00M,-5.568B,0.00,,0.00,208.00M,-1.042B,-834.00M,-1.683B,-1.683B,4.00M,-2.513B,12.88B,-2.219B,-52.00M,10.61B,208.00M,0.00,,-1.042B
2011-09,5.738B,-30.00M,-7.683B,726.00M,726.00M,402.00M,558.00M,-70.00M,488.00M,4.733B,-920.00M,-442.00M,260.00M,-993.00M,6.184B,8.822B,8.493B,-436.00M,,-436.00M,-875.00M,-938.00M,-66.00M,-2.315B,,,,336.00M,-1.934B,-1.598B,-1.341B,-1.341B,70.00M,-2.869B,9.61B,3.309B,-38.00M,12.88B,336.00M,,,-1.934B
2011-06,5.874B,15.00M,-28.92B,689.00M,689.00M,326.00M,544.00M,-3.00M,4.007B,-4.886B,-303.00M,293.00M,-772.00M,28.00M,31.21B,25.57B,5.942B,-642.00M,,-642.00M,-2.00M,-1.332B,1.026B,-950.00M,,-6.146B,0.00,180.00M,-1.256B,-1.076B,-1.35B,-1.35B,3.00M,-2.423B,7.021B,2.569B,20.00M,9.61B,180.00M,186.00M,-186.00M,-1.256B
2011-03,17.28B,-122.00M,-122.00M,720.00M,720.00M,-59.00M,541.00M,-5.00M,-12.45B,3.031B,-170.00M,-51.00M,-618.00M,237.00M,346.00M,2.775B,8.672B,-658.00M,,-658.00M,0.00,-5.307B,-1.174B,-7.139B,,2.239B,2.239B,1.405B,-848.00M,557.00M,-1.349B,-1.349B,-10.00M,1.437B,4.023B,2.97B,28.00M,7.021B,1.405B,2.239B,0.00,-848.00M
2010-12,,-226.00M,-226.00M,663.00M,663.00M,-117.00M,553.00M,-4.00M,6.167B,-3.27B,380.00M,216.00M,-77.00M,-500.00M,401.00M,-2.85B,4.186B,-491.00M,,-491.00M,-69.00M,-1.457B,447.00M,-1.57B,,-1.00B,-1.00B,660.00M,-5.052B,-4.392B,-1.363B,-1.363B,4.00M,-6.751B,8.161B,-4.135B,-3.00M,4.023B,660.00M,-1.00B,0.00,-5.052B
2010-09,,-29.00M,-29.00M,694.00M,694.00M,-148.00M,528.00M,-5.00M,4.429B,3.674B,-468.00M,-400.00M,208.00M,-911.00M,622.00M,2.725B,8.194B,-564.00M,,-564.00M,0.00,-5.12B,727.00M,-4.957B,,4.721B,4.721B,177.00M,-4.399B,-4.222B,-1.118B,-1.118B,-20.00M,-639.00M,5.505B,2.598B,58.00M,8.161B,177.00M,5.535B,-814.00M,-4.399B
2010-06,18.76B,114.00M,-28.70B,718.00M,718.00M,-483.00M,482.00M,-7.00M,-10.33B,-4.144B,-260.00M,755.00M,374.00M,597.00M,29.69B,27.01B,5.604B,-758.00M,,-758.00M,0.00,-749.00M,-2.612B,-4.119B,1.181B,-1.239B,-58.00M,912.00M,-3.839B,-2.927B,-1.13B,-1.13B,17.00M,-4.098B,8.155B,-2.613B,-37.00M,5.505B,912.00M,2.021B,-1.088B,-3.839B
2010-03,-10.24B,-68.00M,-68.00M,694.00M,694.00M,-241.00M,481.00M,-14.00M,13.93B,1.947B,77.00M,122.00M,-361.00M,775.00M,283.00M,2.843B,7.393B,-408.00M,,-408.00M,-143.00M,-5.236B,-117.00M,-5.904B,-345.00M,345.00M,0.00,422.00M,-2.023B,-1.601B,-1.139B,-1.139B,14.00M,-2.726B,9.422B,-1.237B,-30.00M,8.155B,422.00M,405.00M,-405.00M,-2.023B
2009-12,6.662B,-188.00M,-188.00M,615.00M,615.00M,550.00M,485.00M,-15.00M,-2.20B,-2.789B,558.00M,3.00M,686.00M,282.00M,320.00M,-940.00M,4.969B,-376.00M,,-376.00M,-63.00M,970.00M,-623.00M,-92.00M,473.00M,-475.00M,-2.00M,729.00M,-3.867B,-3.138B,-1.152B,-1.152B,15.00M,-4.277B,8.823B,600.00M,-1.00M,9.422B,729.00M,1.046B,-670.00M,-3.867B
2009-09,3.574B,-66.00M,-66.00M,646.00M,646.00M,-46.00M,443.00M,-9.00M,442.00M,2.748B,-419.00M,-36.00M,-235.00M,-1.203B,268.00M,1.123B,6.107B,-435.00M,,-435.00M,-39.00M,-2.575B,1.85B,-1.199B,-128.00M,378.00M,250.00M,248.00M,-1.54B,-1.292B,-1.157B,-1.157B,9.00M,-2.19B,6.076B,2.718B,29.00M,8.823B,248.00M,695.00M,-823.00M,-1.54B
2009-06,3.045B,1.00M,1.00M,2.562B,681.00M,300.00M,416.00M,-4.00M,2.007B,-1.82B,,,-1.022B,1.124B,-471.00M,-2.605B,3.841B,-867.00M,,-867.00M,-41.00M,-6.949B,,-7.857B,,3.751B,3.751B,95.00M,-22.00M,73.00M,-1.158B,-1.158B,33.00M,2.699B,7.285B,-1.317B,108.00M,6.076B,95.00M,3.979B,-228.00M,-22.00M
2009-03,2.977B,507.00M,507.00M,,664.00M,-368.00M,432.00M,-2.00M,-771.00M,1.697B,,,106.00M,114.00M,688.00M,2.605B,6.044B,-632.00M,,-632.00M,0.00,-5.377B,,-6.009B,,-1.00M,-1.00M,114.00M,-18.00M,96.00M,-1.155B,-1.155B,,-1.06B,8.346B,-1.025B,-36.00M,7.285B,114.00M,-1.00M,0.00,-18.00M
2008-12,4.174B,175.00M,139.00M,-585.00M,632.00M,454.00M,860.00M,-46.00M,-794.00M,-1.647B,,,797.00M,614.00M,599.00M,363.00M,5.782B,-842.00M,,-842.00M,-450.00M,-2.75B,1.543B,-2.499B,,1.996B,21.00M,142.00M,-2.82B,-2.678B,-2.155B,-1.157B,-44.00M,-3.858B,9.004B,-575.00M,-83.00M,8.346B,142.00M,1.996B,0.00,-2.82B
2008-09,4.373B,,36.00M,585.00M,585.00M,376.00M,,,-1.459B,3.985B,,,-558.00M,-4.552B,584.00M,-541.00M,3.37B,-778.00M,,-778.00M,-377.00M,3.293B,-1.543B,595.00M,,,1.975B,228.00M,-6.493B,-6.265B,,-998.00M,44.00M,-5.244B,10.34B,-1.279B,-56.00M,9.004B,228.00M,,,-6.493B
2008-06,4.297B,,-22.02B,608.00M,608.00M,152.00M,,,404.00M,-3.646B,,,12.00M,-1.273B,25.55B,20.64B,4.085B,-1.218B,,-1.218B,-2.086B,2.663B,138.00M,-503.00M,,,,245.00M,-4.306B,-4.061B,,-1.02B,9.00M,-5.072B,11.82B,-1.49B,9.00M,10.34B,245.00M,,,-4.306B
2008-03,4.388B,,-179.00M,532.00M,532.00M,103.00M,,,364.00M,1.857B,,,-69.00M,1.389B,-1.303B,1.874B,7.082B,-759.00M,,-759.00M,-138.00M,-190.00M,309.00M,-778.00M,,,,268.00M,-1.24B,-972.00M,,-1.023B,9.00M,-1.986B,7.46B,4.318B,42.00M,11.82B,268.00M,,,-1.24B
2007-12,4.707B,,-134.00M,481.00M,481.00M,323.00M,,,1.471B,-2.586B,,,445.00M,325.00M,-465.00M,-2.281B,4.567B,-695.00M,,-695.00M,-433.00M,849.00M,-770.00M,-1.049B,,,,2.335B,-4.057B,-1.722B,,-1.034B,33.00M,-2.723B,6.637B,795.00M,28.00M,7.46B,2.335B,,,-4.057B
2007-09,4.289B,,-187.00M,435.00M,435.00M,357.00M,,,-880.00M,2.806B,,,-235.00M,-1.189B,482.00M,1.864B,5.878B,-510.00M,,-510.00M,-5.396B,3.453B,196.00M,-2.257B,,,,646.00M,-2.93B,-2.284B,,-938.00M,69.00M,-3.153B,6.111B,468.00M,58.00M,6.637B,646.00M,,,-2.93B
2007-06,3.035B,,4.00M,381.00M,381.00M,-209.00M,,,14.93B,-2.775B,,,582.00M,-128.00M,-12.89B,-15.21B,4.402B,-820.00M,,-820.00M,-648.00M,2.833B,-290.00M,1.075B,,,,1.164B,-7.217B,-6.053B,,-952.00M,22.00M,-6.983B,7.611B,-1.506B,6.00M,6.111B,1.164B,,,-7.217B
2007-03,4.926B,,-61.00M,445.00M,445.00M,981.00M,,,-15.05B,1.455B,,,7.00M,772.00M,13.82B,16.05B,7.291B,-461.00M,,-461.00M,-41.00M,695.00M,318.00M,511.00M,,,,784.00M,-6.878B,-6.094B,,-976.00M,7.00M,-7.063B,6.859B,739.00M,13.00M,7.611B,784.00M,,,-6.878B
2006-12,2.626B,,-29.00M,365.00M,365.00M,-517.00M,,,1.36B,-2.945B,,,723.00M,-354.00M,813.00M,-1.763B,2.042B,-572.00M,,-572.00M,-125.00M,-329.00M,-932.00M,-1.958B,,,,4.449B,-5.797B,-1.348B,,-980.00M,5.00M,-2.323B,9.076B,-2.239B,22.00M,6.859B,4.449B,,,-5.797B
2006-09,3.478B,,-206.00M,249.00M,249.00M,166.00M,,,416.00M,2.501B,,,-1.08B,-842.00M,-621.00M,-42.00M,4.061B,-411.00M,,-411.00M,-336.00M,6.68B,528.00M,6.461B,,,,385.00M,-7.683B,-7.298B,,-897.00M,20.00M,-8.175B,6.714B,2.347B,15.00M,9.076B,385.00M,,,-7.683B
2006-06,2.828B,,-1.007B,261.00M,261.00M,448.00M,,,,-2.439B,,,-577.00M,-76.00M,493.00M,-2.599B,3.281B,-745.00M,,-745.00M,-316.00M,3.02B,1.78B,3.739B,,,,125.00M,-3.981B,-3.856B,,-917.00M,89.00M,-4.684B,4.351B,2.336B,27.00M,6.714B,125.00M,,,-3.981B
2006-03,2.977B,,347.00M,177.00M,177.00M,-271.00M,,,,972.00M,,,-134.00M,229.00M,266.00M,1.333B,4.563B,-302.00M,,-302.00M,-83.00M,-119.00M,1.337B,833.00M,,,-1.467B,1.976B,-4.675B,-2.699B,,-925.00M,-44.00M,-5.135B,4.083B,261.00M,7.00M,4.351B,1.976B,,,-4.675B
2005-12,3.653B,,474.00M,231.00M,231.00M,170.00M,,,,-2.012B,,,-354.00M,-89.00M,158.00M,-2.297B,2.231B,-318.00M,,-318.00M,-63.00M,7.073B,,6.692B,,,1.467B,-1.001B,-7.435B,-8.436B,,-846.00M,13.00M,-7.802B,2.974B,1.121B,-12.00M,4.083B,-1.001B,,,-7.435B
