,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,,9.221B,123.05B,132.27B,17.21B,17.21B,627.00M,67.00M,1.39B,2.084B,,5.097B,156.66B,,,,,63.16B,,63.16B,-28.38B,34.79B,35.58B,8.544B,44.13B,2.818B,,7.106B,88.84B,245.50B,7.623B,814.00M,,8.437B,,8.437B,3.677B,3.677B,21.37B,21.37B,,7.50B,46.13B,73.48B,5.751B,79.23B,2.417B,2.585B,5.002B,,5.223B,120.12B,166.26B,70.42B,9.974B,,,-1.153B,79.24B
2017-12,,12.86B,129.92B,142.78B,18.43B,18.43B,491.00M,91.00M,1.421B,2.003B,,4.422B,167.63B,,,,,59.90B,,59.90B,-26.85B,33.05B,35.36B,9.034B,44.39B,3.961B,,6.967B,88.37B,256.00B,7.85B,788.00M,26.00M,8.664B,,8.664B,15.91B,15.91B,21.31B,21.31B,,7.787B,58.10B,73.35B,5.64B,78.99B,3.186B,2.50B,5.686B,,4.82B,119.54B,177.64B,70.19B,8.567B,,,-399.00M,78.36B
2017-09,,6.884B,131.59B,138.47B,14.56B,14.56B,766.00M,112.00M,2.333B,3.211B,,4.788B,161.03B,,,,,57.18B,,57.18B,-25.52B,31.65B,35.39B,9.598B,44.99B,5.343B,,6.083B,88.07B,249.10B,6.866B,920.00M,203.00M,7.989B,,7.989B,9.22B,9.22B,22.78B,22.78B,,7.52B,51.62B,76.26B,5.768B,82.02B,5.513B,2.126B,7.639B,,18.17B,107.84B,159.45B,69.42B,19.70B,,,526.00M,89.65B
2017-06,,7.663B,125.32B,132.98B,22.43B,22.43B,797.00M,145.00M,1.239B,2.181B,,5.103B,162.70B,0.0,1.107B,16.28B,25.46B,6.555B,5.064B,54.47B,-24.18B,30.29B,35.12B,10.11B,45.23B,6.023B,,6.076B,87.62B,250.31B,7.39B,718.00M,,8.108B,,8.108B,10.12B,10.12B,24.01B,24.01B,,7.684B,55.74B,76.07B,5.372B,81.44B,5.734B,2.643B,8.377B,,3.549B,106.86B,162.60B,69.32B,17.77B,,,627.00M,87.71B
2017-03,,6.713B,119.30B,126.02B,12.88B,12.88B,555.00M,127.00M,1.297B,1.979B,,5.434B,146.31B,,,,,44.95B,,44.95B,-22.99B,21.96B,34.67B,10.55B,45.22B,7.381B,,4.146B,78.70B,225.02B,6.217B,654.00M,201.00M,7.072B,,7.072B,7.786B,7.786B,26.52B,26.52B,,6.025B,52.00B,76.22B,,76.22B,465.00M,9.215B,9.68B,,17.38B,103.28B,155.29B,68.55B,531.00M,,,644.00M,69.73B
2016-12,,8.468B,114.31B,122.78B,14.34B,14.34B,363.00M,98.00M,1.50B,1.961B,,5.864B,144.95B,,,,,43.27B,,43.27B,-21.89B,21.38B,34.52B,11.00B,45.52B,8.912B,,3.845B,79.66B,224.61B,6.58B,508.00M,1.28B,8.368B,,8.368B,25.66B,25.66B,26.08B,26.08B,,6.688B,70.79B,59.31B,,59.31B,1.133B,8.595B,9.728B,,15.98B,85.01B,155.80B,68.18B,120.00M,,,512.00M,68.81B
2016-09,,13.93B,123.00B,136.93B,11.13B,11.13B,582.00M,110.00M,2.43B,3.122B,,6.726B,157.91B,,,,,40.11B,,40.11B,-20.88B,19.22B,17.91B,3.522B,21.43B,10.49B,,3.476B,54.62B,212.52B,6.296B,720.00M,210.00M,7.226B,,7.226B,14.54B,14.54B,26.30B,26.30B,,7.123B,58.81B,60.15B,,60.15B,1.564B,7.284B,8.848B,,14.34B,83.34B,142.15B,67.75B,944.00M,,,1.681B,70.37B
2016-06,,6.51B,106.73B,113.24B,18.28B,18.28B,612.00M,158.00M,1.481B,2.251B,,5.892B,139.66B,0.0,824.00M,12.39B,21.28B,,3.659B,38.16B,-19.80B,18.36B,17.87B,3.733B,21.60B,10.43B,,3.416B,53.81B,193.47B,6.898B,580.00M,294.00M,7.772B,,7.772B,12.90B,12.90B,27.47B,27.47B,,5.949B,59.36B,40.56B,,40.56B,1.476B,6.441B,7.917B,,13.64B,62.11B,121.47B,68.18B,2.282B,,,1.537B,72.00B
2016-03,,7.17B,98.38B,105.55B,12.25B,12.25B,636.00M,122.00M,1.692B,2.45B,1.574B,6.598B,128.42B,,,,,35.72B,,35.72B,-18.88B,16.83B,17.95B,4.459B,22.41B,11.32B,,2.895B,53.45B,181.87B,6.759B,685.00M,373.00M,7.817B,,7.817B,5.498B,5.498B,20.88B,20.88B,,5.887B,44.35B,40.90B,,40.90B,2.674B,5.017B,7.691B,,14.12B,62.71B,107.06B,68.01B,4.954B,,,1.84B,74.81B
2015-12,,7.185B,95.46B,102.64B,14.51B,14.51B,1.791B,120.00M,791.00M,2.702B,1.618B,6.345B,127.81B,,,,,33.80B,,33.80B,-18.01B,15.79B,17.44B,4.619B,22.06B,11.51B,,2.928B,52.29B,180.10B,6.936B,493.00M,439.00M,7.868B,,7.868B,3.75B,3.75B,20.93B,20.93B,,6.447B,42.64B,40.68B,,40.68B,2.194B,4.102B,6.296B,,13.70B,60.68B,103.32B,68.28B,6.728B,,,1.773B,76.78B
2015-09,,5.431B,93.92B,99.36B,11.44B,11.44B,1.192B,155.00M,2.469B,3.816B,1.447B,5.594B,121.66B,,,,,33.06B,,33.06B,-18.01B,15.05B,17.14B,4.745B,21.89B,11.44B,,2.869B,51.24B,172.90B,6.63B,607.00M,154.00M,7.391B,,7.391B,10.75B,10.75B,21.60B,21.60B,,6.207B,49.40B,27.82B,,27.82B,2.169B,2.784B,4.953B,,13.28B,46.05B,95.45B,68.09B,7.614B,,,1.738B,77.44B
2015-06,,5.595B,90.93B,96.53B,17.91B,17.91B,1.10B,202.00M,1.60B,2.902B,,5.461B,122.80B,0.0,769.00M,10.80B,17.19B,,3.577B,32.34B,-17.61B,14.73B,16.94B,4.835B,21.77B,12.05B,,3.117B,51.68B,174.47B,6.591B,606.00M,92.00M,7.289B,,7.289B,7.484B,7.484B,23.22B,23.22B,,6.555B,49.65B,27.81B,,27.81B,1.295B,2.095B,3.39B,,13.54B,44.74B,94.39B,68.46B,9.096B,,,2.522B,80.08B
2015-03,,7.414B,88.02B,95.44B,12.43B,12.43B,1.019B,293.00M,1.157B,2.469B,1.688B,6.376B,118.40B,,,,,31.21B,,31.21B,-16.84B,14.38B,21.73B,6.963B,28.69B,12.02B,,3.20B,58.28B,176.68B,6.69B,758.00M,96.00M,7.544B,,7.544B,4.224B,4.224B,18.23B,18.23B,,6.846B,40.75B,27.64B,,27.64B,2.919B,1.966B,4.885B,,13.27B,45.80B,86.55B,68.48B,18.19B,,,3.471B,90.13B
2014-12,,6.426B,83.82B,90.25B,16.19B,16.19B,681.00M,260.00M,1.112B,2.053B,1.701B,6.173B,116.36B,,,,,29.80B,,29.80B,-16.19B,13.61B,21.86B,7.299B,29.15B,12.66B,,3.06B,58.49B,174.85B,6.932B,711.00M,430.00M,8.073B,,8.073B,10.05B,10.05B,19.19B,19.19B,,6.623B,47.42B,18.26B,,18.26B,2.82B,2.051B,4.871B,,12.42B,35.55B,82.97B,68.76B,19.73B,,,3.383B,91.88B
2014-09,,6.302B,82.89B,89.19B,12.89B,12.89B,840.00M,286.00M,2.015B,3.141B,1.784B,5.434B,112.44B,,,,,28.60B,,28.60B,-15.37B,13.23B,20.08B,6.693B,26.77B,13.94B,,3.271B,57.22B,169.66B,6.769B,903.00M,191.00M,7.863B,,7.863B,5.248B,5.248B,20.71B,20.71B,,7.13B,44.69B,18.47B,,18.47B,2.714B,1.825B,4.539B,,11.78B,34.79B,79.49B,68.36B,18.05B,,,3.757B,90.17B
2014-06,,8.669B,77.04B,85.71B,19.54B,19.54B,944.00M,266.00M,1.45B,2.66B,1.941B,4.392B,114.25B,0.0,541.00M,8.867B,14.84B,,3.56B,27.80B,-14.79B,13.01B,20.13B,6.981B,27.11B,14.60B,,3.422B,58.14B,172.38B,7.432B,782.00M,558.00M,8.772B,,8.772B,2.00B,2.00B,23.15B,23.15B,,6.906B,45.62B,20.64B,,20.64B,2.728B,2.008B,4.736B,,11.59B,36.98B,82.60B,68.37B,17.71B,,,3.708B,89.78B
2014-03,,11.57B,76.85B,88.42B,13.50B,13.50B,508.00M,60.00M,1.352B,1.92B,1.424B,3.74B,109.01B,,,,,26.21B,,26.21B,-14.44B,11.77B,14.75B,2.901B,17.65B,14.79B,,2.898B,47.11B,156.12B,4.583B,694.00M,794.00M,6.071B,,6.071B,2.00B,2.00B,17.67B,17.67B,,4.275B,33.90B,20.68B,,20.68B,2.318B,1.842B,4.16B,,9.953B,34.79B,68.70B,67.80B,16.29B,,,3.332B,87.42B
2013-12,,10.06B,73.88B,83.94B,15.99B,15.99B,389.00M,80.00M,1.125B,1.594B,1.328B,4.018B,106.87B,,,,,25.25B,,25.25B,-13.69B,11.57B,14.68B,2.945B,17.62B,14.61B,,2.874B,46.67B,153.54B,5.398B,591.00M,748.00M,6.737B,,6.737B,2.30B,2.30B,17.62B,17.62B,,3.92B,33.74B,20.68B,,20.68B,2.377B,1.858B,4.235B,,9.79B,34.70B,68.44B,67.48B,14.35B,,,3.277B,85.10B
2013-09,,4.023B,76.65B,80.67B,11.01B,11.01B,673.00M,166.00M,1.774B,2.613B,1.258B,3.90B,99.45B,,,,,23.81B,,23.81B,-13.04B,10.77B,14.67B,2.982B,17.65B,12.00B,,2.48B,42.90B,142.35B,4.841B,834.00M,582.00M,6.257B,,6.257B,3.30B,3.30B,18.58B,18.58B,,3.625B,34.62B,12.63B,,12.63B,2.236B,1.629B,3.865B,,9.587B,26.08B,60.71B,67.23B,11.68B,,,2.731B,81.64B
2013-06,,3.804B,73.22B,77.02B,17.49B,17.49B,328.00M,201.00M,1.409B,1.938B,1.632B,3.388B,101.47B,0.0,525.00M,7.326B,11.71B,,2.946B,22.50B,-12.51B,9.991B,14.66B,3.083B,17.74B,10.84B,,2.392B,40.96B,142.43B,4.828B,592.00M,645.00M,6.065B,,6.065B,2.999B,2.999B,20.64B,20.64B,,3.597B,37.42B,12.60B,,12.60B,1.709B,1.76B,3.469B,,10.00B,26.07B,63.49B,67.31B,9.895B,,,1.743B,78.94B
2013-03,,5.24B,69.24B,74.48B,11.99B,11.99B,802.00M,11.00M,1.32B,2.133B,1.676B,3.241B,93.52B,,,,,21.45B,,21.45B,-12.25B,9.204B,14.68B,3.24B,17.92B,11.19B,,2.262B,40.58B,134.10B,4.532B,689.00M,564.00M,5.785B,,5.785B,2.246B,2.246B,16.51B,16.51B,,3.913B,31.93B,11.95B,,11.95B,2.424B,1.394B,3.818B,,9.721B,25.49B,57.42B,66.83B,7.657B,,,2.205B,76.69B
2012-12,,6.017B,62.30B,68.31B,14.32B,14.32B,646.00M,76.00M,939.00M,1.661B,1.983B,3.301B,89.57B,,,,,20.47B,,20.47B,-11.77B,8.698B,14.73B,3.341B,18.07B,10.71B,,1.636B,39.11B,128.68B,4.356B,630.00M,21.00M,5.007B,,5.007B,2.241B,2.241B,18.35B,18.35B,,3.366B,31.91B,11.95B,,11.95B,2.394B,1.459B,3.853B,,8.397B,24.20B,56.11B,66.33B,4.236B,,,2.006B,72.58B
2012-09,,5.036B,61.61B,66.64B,9.871B,9.871B,461.00M,48.00M,1.115B,1.624B,2.052B,3.86B,84.05B,,,,,19.73B,,19.73B,-11.40B,8.329B,14.47B,3.423B,17.89B,10.04B,,1.569B,37.82B,121.88B,3.631B,847.00M,415.00M,4.893B,,4.893B,2.236B,2.236B,18.30B,18.30B,,3.312B,31.40B,9.714B,,9.714B,2.209B,1.292B,3.501B,,8.423B,21.64B,53.04B,66.08B,932.00M,,,1.82B,68.84B
2012-06,,6.938B,56.10B,63.04B,15.78B,15.78B,210.00M,96.00M,831.00M,1.137B,2.035B,3.092B,85.08B,0.0,528.00M,6.768B,9.385B,,2.55B,19.23B,-10.96B,8.269B,13.45B,3.17B,16.62B,9.776B,,1.52B,36.19B,121.27B,4.175B,789.00M,814.00M,5.778B,,5.778B,1.231B,1.231B,18.65B,18.65B,,3.151B,32.69B,10.71B,,10.71B,1.893B,1.406B,3.299B,,8.208B,22.22B,54.91B,65.80B,-856.00M,,,1.422B,66.36B
2012-03,,6.388B,53.14B,59.53B,10.96B,10.96B,233.00M,73.00M,1.106B,1.412B,2.35B,2.608B,76.86B,,,,,,,19.18B,-10.95B,8.225B,19.70B,2.756B,22.45B,9.068B,,1.403B,41.15B,118.01B,3.79B,958.00M,1.21B,5.958B,3.272B,9.23B,,,13.93B,13.93B,,3.011B,26.17B,11.94B,,11.94B,1.456B,1.262B,2.718B,,8.525B,23.18B,49.35B,65.27B,3.386B,,,,68.66B
2011-12,,10.61B,41.13B,51.74B,13.64B,13.64B,243.00M,81.00M,1.027B,1.351B,2.169B,3.614B,72.51B,,,,,,,18.56B,-10.55B,8.01B,19.67B,2.581B,22.25B,7.55B,,1.919B,39.73B,112.24B,3.884B,921.00M,849.00M,5.654B,,5.654B,,,13.98B,13.98B,,3.057B,25.37B,11.93B,,11.93B,1.082B,1.349B,2.431B,,8.386B,22.75B,48.12B,63.90B,219.00M,,,,64.12B
2011-09,,12.88B,44.52B,57.40B,10.15B,10.15B,235.00M,56.00M,1.979B,2.27B,2.19B,3.255B,75.27B,,,,,,,18.24B,-10.21B,8.033B,12.54B,1.026B,13.56B,8.576B,,1.972B,32.14B,107.42B,3.719B,705.00M,1.141B,5.565B,,5.565B,,,14.34B,14.34B,,3.245B,25.54B,11.93B,,11.93B,1.04B,1.313B,2.353B,,8.201B,22.48B,48.02B,63.49B,-4.101B,,,,59.39B
2011-06,,9.61B,43.16B,52.77B,14.99B,14.99B,232.00M,56.00M,1.084B,1.372B,2.467B,3.32B,74.92B,0.0,533.00M,6.521B,8.592B,,2.345B,17.99B,-9.829B,8.162B,12.58B,744.00M,13.32B,10.86B,,1.434B,33.79B,108.70B,4.197B,580.00M,1.208B,5.985B,,5.985B,,,15.72B,15.72B,,3.492B,28.77B,11.92B,,11.92B,1.456B,1.398B,2.854B,,8.072B,22.85B,51.62B,63.42B,-6.332B,,,,57.08B
2011-03,,7.021B,43.13B,50.15B,10.03B,10.03B,175.00M,54.00M,827.00M,1.056B,2.586B,2.438B,66.26B,,,,,,,17.53B,-9.564B,7.969B,12.55B,840.00M,13.39B,10.75B,,1.353B,33.46B,99.73B,3.829B,839.00M,1.245B,5.913B,,5.913B,,,11.89B,11.89B,,3.325B,24.04B,11.92B,,11.92B,1.185B,1.132B,2.317B,,8.001B,22.23B,46.28B,63.23B,-9.782B,,,,53.45B
2010-12,1.811B,4.023B,37.23B,41.25B,12.87B,12.87B,151.00M,54.00M,656.00M,861.00M,2.548B,2.149B,59.68B,,,,17.08B,,,17.08B,-9.279B,7.799B,12.50B,992.00M,13.49B,10.02B,,1.307B,32.62B,92.31B,3.863B,1.439B,1.355B,6.657B,,6.657B,,,12.06B,12.06B,,3.19B,24.31B,9.671B,,9.671B,826.00M,1.354B,2.18B,,7.662B,19.51B,43.82B,61.65B,-13.16B,,,,48.48B
2010-09,,8.161B,36.01B,44.17B,9.646B,9.646B,189.00M,10.00M,1.043B,1.242B,2.344B,2.176B,59.58B,,,,,,,16.71B,-8.942B,7.771B,12.47B,1.077B,13.55B,9.211B,,1.429B,31.96B,91.54B,3.654B,2.136B,909.00M,6.699B,,6.699B,1.00B,1.00B,12.77B,12.77B,,3.139B,25.86B,9.665B,,9.665B,540.00M,1.152B,1.692B,,7.384B,18.74B,44.60B,61.94B,-14.99B,,,,46.94B
2010-06,,5.505B,31.28B,36.79B,13.01B,13.01B,172.00M,16.00M,552.00M,740.00M,2.184B,2.95B,55.68B,0.0,526.00M,6.087B,7.546B,,2.10B,16.26B,-8.629B,7.63B,12.39B,1.158B,13.55B,7.754B,,1.501B,30.44B,86.11B,4.025B,1.074B,182.00M,5.281B,,5.281B,1.00B,1.00B,13.65B,13.65B,,2.931B,26.15B,4.939B,,4.939B,229.00M,1.178B,1.407B,,7.445B,13.79B,39.94B,62.86B,-17.74B,,,1.055B,46.18B
2010-03,,8.155B,31.51B,39.67B,9.137B,9.137B,120.00M,4.00M,377.00M,501.00M,2.222B,2.992B,54.52B,,,,,,,15.76B,-8.393B,7.372B,12.46B,1.282B,13.74B,7.797B,0.00,1.478B,30.39B,84.91B,3.279B,901.00M,2.794B,6.974B,2.885B,9.859B,2.249B,2.249B,11.17B,11.17B,,3.145B,26.42B,3.746B,,3.746B,828.00M,1.089B,1.917B,,7.113B,12.78B,39.20B,62.52B,-16.81B,,,,45.71B
2009-12,,9.422B,26.68B,36.10B,11.20B,11.20B,100.00M,11.00M,478.00M,589.00M,2.056B,2.547B,52.49B,,,,,,,15.57B,-8.17B,7.402B,12.37B,1.346B,13.71B,6.976B,0.00,1.517B,29.61B,82.10B,3.171B,721.00M,2.911B,6.803B,2.417B,9.22B,2.249B,2.249B,11.36B,11.36B,,2.885B,25.72B,3.746B,,3.746B,377.00M,1.167B,1.544B,,6.808B,12.10B,37.81B,62.57B,-19.60B,,,1.322B,44.28B
2009-09,,8.823B,27.90B,36.73B,8.587B,8.587B,165.00M,30.00M,955.00M,1.15B,2.441B,3.325B,52.23B,,,,,,,15.36B,-7.853B,7.512B,12.58B,1.653B,14.24B,6.006B,0.00,1.628B,29.38B,81.61B,3.287B,847.00M,3.534B,7.668B,2.224B,9.892B,2.25B,2.25B,13.57B,13.57B,,3.052B,28.76B,3.746B,,3.746B,155.00M,1.201B,1.356B,,6.537B,11.64B,40.40B,62.29B,-22.42B,,,1.334B,41.21B
2009-06,,6.076B,25.37B,31.45B,11.19B,11.19B,170.00M,45.00M,502.00M,717.00M,2.213B,3.711B,49.28B,0.0,526.00M,5.886B,6.732B,,1.938B,15.08B,-7.547B,7.535B,12.50B,1.759B,14.26B,4.933B,279.00M,1.599B,28.61B,77.89B,3.324B,725.00M,1.684B,5.733B,,5.733B,2.00B,2.00B,13.00B,13.00B,,3.142B,27.03B,3.746B,,3.746B,0.00,1.281B,1.281B,,6.269B,11.30B,38.33B,62.38B,-22.82B,,,,39.56B
2009-03,,7.285B,18.06B,25.34B,9.182B,9.182B,173.00M,58.00M,426.00M,657.00M,1.926B,3.619B,40.72B,,,,,,,14.35B,-7.236B,7.112B,12.55B,1.756B,14.31B,4.112B,956.00M,1.639B,28.13B,68.85B,3.017B,773.00M,1.533B,5.323B,2.644B,7.967B,1.999B,1.999B,10.92B,10.92B,,2.933B,23.82B,,,,,1.388B,1.388B,,6.699B,8.087B,31.91B,61.90B,-25.68B,,,726.00M,36.94B
2008-12,,8.346B,12.37B,20.72B,10.95B,10.95B,263.00M,57.00M,648.00M,968.00M,1.504B,3.59B,37.73B,,,,,,,13.96B,-6.959B,6.996B,12.49B,1.815B,14.30B,,1.109B,5.646B,28.06B,65.79B,3.533B,,,3.533B,2.239B,5.772B,2.00B,2.00B,11.53B,11.53B,,4.406B,23.71B,,,,,,,,,7.598B,31.31B,61.39B,-27.50B,,,585.00M,34.48B
2008-09,,9.004B,11.72B,20.72B,9.535B,9.535B,402.00M,58.00M,1.18B,1.64B,1.974B,3.331B,37.20B,,,,,,,13.17B,-6.622B,6.552B,12.29B,1.899B,14.19B,,1.041B,6.132B,27.92B,65.12B,3.351B,,,3.351B,2.138B,5.489B,1.975B,1.975B,11.82B,11.82B,,5.104B,24.38B,,,,,,,,,7.14B,31.52B,61.66B,-28.94B,,,877.00M,33.59B
2008-06,3.274B,10.34B,13.32B,23.66B,13.59B,13.59B,417.00M,31.00M,537.00M,985.00M,2.017B,2.989B,43.24B,0.0,518.00M,4.302B,5.996B,,1.728B,12.54B,-6.302B,6.242B,12.11B,1.973B,14.08B,6.588B,949.00M,1.691B,29.55B,72.79B,4.034B,3.248B,2.614B,9.896B,,9.896B,,,13.40B,13.40B,,3.659B,29.89B,,,,,1.90B,1.90B,,909.00M,6.621B,36.51B,62.85B,-27.70B,,,1.14B,36.29B
2008-03,,11.82B,14.52B,26.34B,9.871B,9.871B,444.00M,66.00M,264.00M,774.00M,1.721B,2.782B,41.49B,,,,,,,10.53B,-5.016B,5.516B,10.35B,1.639B,11.98B,,1.367B,10.39B,29.26B,70.75B,3.60B,,,3.60B,2.427B,6.027B,,,10.38B,10.38B,,10.62B,27.03B,,,,,,,,,6.165B,33.19B,0.00,-25.82B,63.38B,,,37.55B
