,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,113.00M,1.045B,,1.045B,738.00M,,738.00M,69.00M,520.00M,126.00M,715.00M,85.00M,,,168.00M,2.751B,0.00,,,747.00M,,64.00M,173.00M,984.00M,-694.00M,290.00M,289.00M,308.00M,597.00M,57.00M,1.012B,3.763B,,2018-03,456.00M,,54.00M,884.00M,302.00M,1.186B,,,223.00M,,223.00M,,,,159.00M,1.697B,1.165B,,,,186.00M,1.351B,3.048B,10.00M,-7.692B,8.502B,108.00M,,,,3.00M,715.00M
2017-12,108.00M,1.185B,0.00,1.185B,454.00M,,454.00M,34.00M,446.00M,214.00M,694.00M,110.00M,,,191.00M,2.634B,0.00,,,758.00M,,56.00M,187.00M,1.001B,-740.00M,261.00M,289.00M,239.00M,528.00M,58.00M,918.00M,3.552B,,2017-12,384.00M,,41.00M,837.00M,308.00M,1.145B,,,70.00M,,70.00M,,,,92.00M,1.513B,1.325B,,,,118.00M,1.443B,2.956B,9.00M,-7.775B,8.464B,108.00M,,,,6.00M,596.00M
2017-09,118.00M,879.00M,,879.00M,771.00M,,771.00M,52.00M,521.00M,221.00M,794.00M,98.00M,,,157.00M,2.699B,0.00,,,758.00M,,69.00M,151.00M,978.00M,-742.00M,236.00M,289.00M,248.00M,537.00M,57.00M,887.00M,3.586B,,2017-09,472.00M,,54.00M,970.00M,259.00M,1.229B,,,70.00M,,70.00M,72.00M,72.00M,,73.00M,1.591B,1.356B,,,,119.00M,1.475B,3.066B,10.00M,-7.821B,8.437B,108.00M,,,,2.00M,520.00M
2017-06,90.00M,760.00M,84.00M,844.00M,614.00M,,614.00M,26.00M,566.00M,241.00M,833.00M,78.00M,,,142.00M,2.511B,0.00,,,743.00M,,37.00M,150.00M,930.00M,-730.00M,200.00M,289.00M,253.00M,542.00M,58.00M,859.00M,3.37B,,2017-06,483.00M,,53.00M,910.00M,256.00M,1.166B,,,42.00M,,42.00M,72.00M,72.00M,,48.00M,1.449B,1.375B,,,,129.00M,1.504B,2.953B,9.00M,-7.892B,8.405B,105.00M,,,,0.00,417.00M
2017-03,93.00M,722.00M,221.00M,943.00M,494.00M,,494.00M,19.00M,598.00M,222.00M,839.00M,104.00M,,,118.00M,2.498B,0.00,,,726.00M,,32.00M,147.00M,905.00M,-725.00M,180.00M,289.00M,222.00M,511.00M,58.00M,801.00M,3.299B,,2017-03,529.00M,,45.00M,903.00M,226.00M,1.129B,,,,,,62.00M,62.00M,,67.00M,1.372B,1.408B,,,,110.00M,1.518B,2.89B,9.00M,-7.876B,8.379B,99.00M,,,,-4.00M,409.00M
2016-12,67.00M,1.264B,,1.264B,311.00M,,311.00M,11.00M,564.00M,176.00M,751.00M,95.00M,,,109.00M,2.53B,0.00,,,714.00M,,19.00M,148.00M,881.00M,-717.00M,164.00M,289.00M,234.00M,523.00M,59.00M,791.00M,3.321B,,2016-12,440.00M,,24.00M,847.00M,251.00M,1.098B,,,,,,63.00M,63.00M,,69.00M,1.346B,1.435B,,,,124.00M,1.559B,2.905B,9.00M,-7.803B,8.334B,119.00M,,,,-5.00M,416.00M
2016-09,306.00M,1.258B,,1.258B,640.00M,,640.00M,15.00M,533.00M,224.00M,772.00M,76.00M,,,78.00M,2.824B,0.00,,,741.00M,,10.00M,148.00M,899.00M,-738.00M,161.00M,289.00M,235.00M,524.00M,60.00M,792.00M,3.616B,,2016-09,582.00M,,43.00M,1.053B,210.00M,1.263B,,,,,,54.00M,54.00M,,25.00M,1.473B,1.632B,,,,126.00M,1.758B,3.231B,9.00M,-7.752B,8.258B,127.00M,,,,-3.00M,385.00M
2016-06,407.00M,957.00M,,957.00M,671.00M,,671.00M,13.00M,579.00M,151.00M,743.00M,80.00M,,,55.00M,2.506B,0.00,,,791.00M,,12.00M,147.00M,950.00M,-781.00M,169.00M,289.00M,231.00M,520.00M,62.00M,810.00M,3.316B,,2016-06,616.00M,,19.00M,879.00M,261.00M,1.14B,,,226.00M,,226.00M,42.00M,42.00M,,61.00M,1.581B,2.012B,,,,136.00M,2.148B,3.729B,8.00M,-7.346B,7.053B,125.00M,,,,-3.00M,-413.00M
2016-03,309.00M,716.00M,,716.00M,508.00M,,508.00M,13.00M,542.00M,120.00M,675.00M,75.00M,,,47.00M,2.226B,0.00,,,825.00M,,13.00M,145.00M,983.00M,-807.00M,176.00M,278.00M,245.00M,523.00M,,755.00M,2.981B,,2016-03,324.00M,,22.00M,579.00M,215.00M,794.00M,,,230.00M,,230.00M,43.00M,43.00M,,151.00M,1.328B,2.006B,,,,150.00M,2.156B,3.484B,8.00M,-7.415B,7.033B,123.00M,,,,-6.00M,-503.00M
2015-12,409.00M,785.00M,,785.00M,533.00M,,533.00M,16.00M,482.00M,180.00M,678.00M,76.00M,,,65.00M,2.32B,0.00,,,821.00M,,17.00M,146.00M,984.00M,-796.00M,188.00M,278.00M,189.00M,467.00M,0.00,764.00M,3.084B,,2015-12,279.00M,,50.00M,574.00M,327.00M,901.00M,,,230.00M,,230.00M,53.00M,53.00M,,124.00M,1.403B,2.007B,,,,86.00M,2.093B,3.496B,8.00M,-7.306B,7.017B,123.00M,,,,-8.00M,-412.00M
2015-09,370.00M,755.00M,0.00,755.00M,648.00M,,648.00M,20.00M,461.00M,280.00M,761.00M,83.00M,,,63.00M,2.466B,0.00,1.00M,178.00M,1.349B,,21.00M,,1.549B,-1.355B,194.00M,283.00M,197.00M,480.00M,,763.00M,3.229B,,2015-09,388.00M,,48.00M,662.00M,261.00M,923.00M,,,230.00M,,230.00M,60.00M,60.00M,,137.00M,1.449B,2.03B,,,,86.00M,2.116B,3.565B,8.00M,-7.204B,6.997B,122.00M,,,,-15.00M,-336.00M
2015-06,352.00M,829.00M,0.00,829.00M,687.00M,,687.00M,33.00M,515.00M,251.00M,799.00M,136.00M,,,,2.451B,0.00,2.00M,230.00M,1.407B,,23.00M,,1.662B,-1.373B,289.00M,320.00M,213.00M,533.00M,,930.00M,3.381B,,2015-06,454.00M,,43.00M,694.00M,323.00M,1.017B,,,235.00M,,235.00M,51.00M,51.00M,,,1.399B,2.034B,,,,89.00M,2.123B,3.522B,8.00M,-7.007B,6.984B,121.00M,,,,-5.00M,-141.00M
2015-03,402.00M,677.00M,229.00M,906.00M,771.00M,,771.00M,38.00M,465.00M,185.00M,688.00M,132.00M,,,,2.497B,0.00,2.00M,231.00M,1.42B,,25.00M,,1.678B,-1.381B,297.00M,320.00M,203.00M,523.00M,,931.00M,3.428B,,2015-03,381.00M,,45.00M,547.00M,309.00M,856.00M,,,235.00M,,235.00M,61.00M,61.00M,,,1.292B,2.033B,,,,86.00M,2.119B,3.411B,8.00M,-6.826B,6.967B,120.00M,,,,-12.00M,17.00M
2014-12,391.00M,805.00M,235.00M,1.04B,818.00M,,818.00M,40.00M,431.00M,214.00M,685.00M,145.00M,,,48.00M,2.736B,0.00,4.00M,246.00M,1.416B,,14.00M,,1.68B,-1.378B,302.00M,320.00M,284.00M,604.00M,,1.031B,3.767B,,2014-12,415.00M,,39.00M,672.00M,340.00M,1.012B,,,177.00M,,177.00M,72.00M,72.00M,,40.00M,1.44B,2.035B,,,,105.00M,2.14B,3.58B,8.00M,-6.646B,6.949B,119.00M,,,,-5.00M,187.00M
2014-09,362.00M,640.00M,298.00M,938.00M,973.00M,,973.00M,36.00M,648.00M,213.00M,897.00M,212.00M,,,,3.02B,0.00,4.00M,252.00M,1.45B,,34.00M,,1.74B,-1.412B,328.00M,553.00M,307.00M,860.00M,0.00,1.305B,4.325B,,2014-09,498.00M,,63.00M,878.00M,314.00M,1.192B,,,102.00M,,102.00M,94.00M,94.00M,,,1.566B,2.106B,,,,118.00M,2.224B,3.79B,8.00M,-6.282B,6.928B,118.00M,,,,-1.00M,535.00M
2014-06,372.00M,503.00M,445.00M,948.00M,872.00M,,872.00M,34.00M,688.00M,238.00M,960.00M,152.00M,,,,2.932B,0.00,4.00M,252.00M,1.457B,,16.00M,,1.729B,-1.40B,329.00M,553.00M,313.00M,866.00M,0.00,1.314B,4.246B,,2014-06,511.00M,,41.00M,847.00M,299.00M,1.146B,,,101.00M,,101.00M,118.00M,118.00M,,,1.505B,2.109B,,,,131.00M,2.24B,3.745B,8.00M,-6.299B,6.905B,114.00M,,,,1.00M,501.00M
2014-03,285.00M,554.00M,348.00M,902.00M,840.00M,,840.00M,29.00M,650.00M,190.00M,869.00M,79.00M,,,,2.69B,0.00,4.00M,252.00M,1.446B,,23.00M,,1.725B,-1.388B,337.00M,553.00M,335.00M,888.00M,80.00M,1.418B,4.108B,,2014-03,483.00M,,56.00M,752.00M,298.00M,1.05B,,,60.00M,,60.00M,146.00M,146.00M,,,1.384B,2.078B,,,,135.00M,2.213B,3.597B,8.00M,-6.263B,6.883B,114.00M,,,,-3.00M,511.00M
2013-12,,869.00M,228.00M,1.097B,832.00M,,832.00M,30.00M,727.00M,127.00M,884.00M,71.00M,,,,2.884B,0.00,3.00M,246.00M,1.466B,,18.00M,,1.733B,-1.387B,346.00M,553.00M,358.00M,911.00M,90.00M,1.453B,4.337B,,2013-12,519.00M,,27.00M,910.00M,317.00M,1.227B,,,60.00M,,60.00M,145.00M,145.00M,,,1.618B,1.998B,,,,177.00M,2.175B,3.793B,7.00M,-6.243B,6.894B,112.00M,,,,-2.00M,544.00M
2013-09,,543.00M,517.00M,1.06B,873.00M,,873.00M,30.00M,667.00M,225.00M,922.00M,84.00M,,,,2.939B,0.00,7.00M,238.00M,1.505B,,16.00M,,1.766B,-1.408B,358.00M,553.00M,82.00M,635.00M,121.00M,1.378B,4.317B,,2013-09,574.00M,,21.00M,1.09B,317.00M,1.407B,,,5.00M,,5.00M,139.00M,139.00M,,21.00M,1.762B,2.044B,,,,77.00M,2.121B,3.883B,7.00M,-6.332B,6.872B,111.00M,,,,-2.00M,434.00M
2013-06,,334.00M,634.00M,968.00M,670.00M,,670.00M,29.00M,516.00M,166.00M,711.00M,109.00M,,,,2.458B,0.00,7.00M,324.00M,1.51B,,31.00M,,1.872B,-1.47B,402.00M,553.00M,87.00M,640.00M,149.00M,1.439B,3.897B,,2013-06,402.00M,,18.00M,834.00M,290.00M,1.124B,,,5.00M,,5.00M,129.00M,129.00M,,26.00M,1.451B,2.042B,,,,45.00M,2.087B,3.538B,7.00M,-6.38B,6.848B,110.00M,,,,-6.00M,359.00M
2013-03,,441.00M,562.00M,1.003B,645.00M,,645.00M,32.00M,422.00M,159.00M,613.00M,77.00M,,,,2.338B,0.00,29.00M,296.00M,1.572B,,20.00M,,1.917B,-1.506B,411.00M,553.00M,92.00M,645.00M,180.00M,1.459B,3.797B,,2013-03,301.00M,,12.00M,692.00M,302.00M,994.00M,,,5.00M,,5.00M,132.00M,132.00M,,43.00M,1.321B,2.039B,,,,22.00M,2.061B,3.382B,7.00M,-6.306B,6.827B,109.00M,,,,-4.00M,415.00M
2012-12,,549.00M,453.00M,1.002B,630.00M,,630.00M,29.00M,357.00M,176.00M,562.00M,71.00M,,,,2.265B,0.00,31.00M,591.00M,1.585B,,11.00M,,2.218B,-1.56B,658.00M,553.00M,251.00M,804.00M,181.00M,1.735B,4.00B,,2012-12,278.00M,,18.00M,750.00M,376.00M,1.126B,,,5.00M,,5.00M,108.00M,108.00M,,,1.397B,2.037B,,,,28.00M,2.065B,3.462B,7.00M,-6.16B,6.803B,109.00M,,,,-3.00M,538.00M
2012-09,,776.00M,524.00M,1.30B,683.00M,,683.00M,39.00M,547.00M,158.00M,744.00M,88.00M,,,,2.815B,0.00,31.00M,591.00M,1.59B,,20.00M,,2.232B,-1.547B,685.00M,553.00M,100.00M,653.00M,180.00M,1.797B,4.612B,,2012-09,860.00M,,22.00M,882.00M,167.00M,1.049B,,,5.00M,,5.00M,110.00M,110.00M,,201.00M,1.555B,2.035B,,,,33.00M,2.068B,3.623B,7.00M,-5.687B,6.78B,109.00M,,,,-2.00M,989.00M
2012-06,,1.015B,564.00M,1.579B,744.00M,,744.00M,30.00M,557.00M,246.00M,833.00M,77.00M,,,,3.233B,0.00,31.00M,594.00M,1.52B,,76.00M,,2.221B,-1.514B,707.00M,553.00M,105.00M,658.00M,180.00M,1.808B,5.041B,,2012-06,471.00M,,681.00M,1.152B,358.00M,1.51B,,,489.00M,,489.00M,126.00M,126.00M,,57.00M,2.352B,,1.532B,,,40.00M,1.572B,3.924B,7.00M,-5.53B,6.752B,108.00M,,,,-4.00M,1.117B
2012-03,,1.193B,351.00M,1.544B,962.00M,,962.00M,26.00M,411.00M,148.00M,585.00M,104.00M,,,,3.195B,0.00,31.00M,588.00M,1.51B,,70.00M,,2.199B,-1.484B,715.00M,553.00M,109.00M,662.00M,169.00M,1.793B,4.988B,,2012-03,1.087B,,,1.087B,556.00M,1.643B,,,490.00M,,490.00M,137.00M,137.00M,,77.00M,2.347B,,1.529B,,,60.00M,1.589B,3.936B,7.00M,-5.567B,6.722B,107.00M,,,,-3.00M,1.052B
2011-12,,869.00M,896.00M,1.765B,919.00M,,919.00M,25.00M,295.00M,156.00M,476.00M,69.00M,,,,3.229B,0.00,31.00M,544.00M,1.507B,,114.00M,,2.196B,-1.47B,726.00M,323.00M,8.00M,331.00M,427.00M,1.725B,4.954B,,2011-12,363.00M,,20.00M,560.00M,369.00M,929.00M,,,489.00M,,489.00M,123.00M,123.00M,,72.00M,1.774B,1.527B,,,,63.00M,1.59B,3.364B,7.00M,-4.977B,6.672B,107.00M,,,,-5.00M,1.59B
2011-09,,625.00M,1.182B,1.807B,908.00M,,908.00M,25.00M,395.00M,120.00M,540.00M,157.00M,,,,3.412B,0.00,31.00M,542.00M,1.468B,,81.00M,,2.122B,-1.425B,697.00M,323.00M,11.00M,334.00M,536.00M,1.824B,5.236B,,2011-09,618.00M,,42.00M,660.00M,548.00M,1.208B,,,489.00M,,489.00M,131.00M,131.00M,,27.00M,1.855B,,1.571B,,,66.00M,1.637B,3.492B,7.00M,-4.80B,6.652B,107.00M,,,,-8.00M,1.744B
2011-06,,554.00M,1.307B,1.861B,759.00M,,759.00M,28.00M,446.00M,168.00M,642.00M,176.00M,,,,3.438B,0.00,30.00M,540.00M,1.455B,,67.00M,,2.092B,-1.406B,686.00M,323.00M,19.00M,342.00M,486.00M,1.786B,5.224B,,2011-06,572.00M,,41.00M,613.00M,534.00M,1.147B,,,4.00M,,4.00M,132.00M,132.00M,,29.00M,1.312B,,2.195B,,,76.00M,2.271B,3.583B,7.00M,-4.897B,6.637B,106.00M,,,,0.00,1.641B
2011-03,,602.00M,1.143B,1.745B,797.00M,,797.00M,25.00M,496.00M,127.00M,648.00M,221.00M,,,,3.411B,0.00,30.00M,541.00M,1.471B,,37.00M,,2.079B,-1.403B,676.00M,323.00M,28.00M,351.00M,486.00M,1.798B,5.209B,,2011-03,538.00M,,,538.00M,605.00M,1.143B,,,4.00M,,4.00M,165.00M,165.00M,,63.00M,1.375B,,2.192B,,,84.00M,2.276B,3.651B,7.00M,-4.958B,6.611B,104.00M,,,,2.00M,1.558B
2010-12,,606.00M,1.183B,1.789B,968.00M,,968.00M,28.00M,441.00M,163.00M,632.00M,205.00M,,,,3.594B,0.00,31.00M,540.00M,1.479B,,29.00M,,2.079B,-1.379B,700.00M,323.00M,37.00M,360.00M,,1.37B,4.964B,,2010-12,581.00M,,,581.00M,698.00M,1.279B,,,233.00M,,233.00M,143.00M,143.00M,,19.00M,1.674B,2.188B,,,0.00,89.00M,2.277B,3.951B,7.00M,-5.468B,6.575B,102.00M,,,,1.00M,1.013B
2010-09,,620.00M,1.106B,1.726B,765.00M,,765.00M,29.00M,397.00M,196.00M,622.00M,99.00M,,0.00,,3.212B,0.00,31.00M,531.00M,1.492B,,26.00M,,2.08B,-1.357B,723.00M,323.00M,48.00M,371.00M,,1.383B,4.595B,,2010-09,680.00M,,,680.00M,601.00M,1.281B,,,3.00M,,3.00M,151.00M,151.00M,,230.00M,1.665B,2.185B,,0.00,0.00,131.00M,2.316B,3.981B,7.00M,-5.843B,6.54B,102.00M,,,,12.00M,614.00M
2010-06,,1.084B,812.00M,1.896B,725.00M,,725.00M,35.00M,364.00M,182.00M,581.00M,111.00M,,0.00,,3.313B,0.00,31.00M,531.00M,1.502B,,24.00M,,2.088B,-1.333B,755.00M,323.00M,64.00M,387.00M,148.00M,1.642B,4.955B,,2010-06,622.00M,,,622.00M,663.00M,1.285B,,,3.00M,,3.00M,148.00M,148.00M,,194.00M,1.63B,2.418B,,1.00M,0.00,154.00M,2.573B,4.203B,7.00M,-5.725B,6.562B,99.00M,,,,7.00M,752.00M
2010-03,,642.00M,1.29B,1.932B,675.00M,,675.00M,28.00M,349.00M,200.00M,577.00M,147.00M,,0.00,,3.331B,0.00,31.00M,541.00M,1.491B,,5.00M,,2.068B,-1.279B,789.00M,323.00M,81.00M,404.00M,270.00M,1.901B,5.232B,,2010-03,616.00M,,,616.00M,674.00M,1.29B,,,3.00M,,3.00M,149.00M,149.00M,,203.00M,1.645B,2.601B,,1.00M,0.00,189.00M,2.791B,4.436B,7.00M,-5.682B,6.548B,99.00M,,,,22.00M,796.00M
2009-12,,1.657B,1.019B,2.676B,745.00M,,745.00M,34.00M,359.00M,174.00M,567.00M,287.00M,,,,4.275B,0.00,58.00M,2.015B,5.023B,,399.00M,,7.495B,-3.686B,3.809B,323.00M,98.00M,421.00M,,4.803B,9.078B,,2009-12,647.00M,,,647.00M,795.00M,1.442B,,,479.00M,,479.00M,121.00M,121.00M,,168.00M,2.21B,4.252B,,,1.076B,892.00M,5.144B,7.354B,7.00M,-5.939B,6.524B,98.00M,,,,154.00M,648.00M
2009-09,,1.847B,664.00M,2.511B,572.00M,6.00M,572.00M,30.00M,341.00M,144.00M,515.00M,279.00M,,41.00M,,3.918B,0.00,58.00M,2.01B,4.961B,,350.00M,,7.379B,-3.484B,3.895B,323.00M,116.00M,439.00M,,4.829B,8.747B,,2009-09,589.00M,14.00M,,603.00M,781.00M,1.384B,,,295.00M,,295.00M,127.00M,127.00M,,270.00M,2.076B,5.275B,,243.00M,1.077B,645.00M,6.163B,8.239B,7.00M,-7.125B,6.51B,98.00M,,,,137.00M,-569.00M
2009-06,,1.979B,535.00M,2.514B,366.00M,6.00M,366.00M,23.00M,312.00M,158.00M,493.00M,302.00M,,38.00M,,3.713B,0.00,58.00M,2.009B,4.935B,,308.00M,,7.31B,-3.268B,4.042B,323.00M,133.00M,456.00M,,4.97B,8.683B,,2009-06,571.00M,34.00M,,605.00M,804.00M,1.409B,,,289.00M,,289.00M,87.00M,87.00M,,237.00M,2.022B,5.243B,,221.00M,1.085B,577.00M,6.041B,8.063B,7.00M,-6.997B,6.495B,97.00M,,,,127.00M,-465.00M
2009-03,,2.402B,317.00M,2.719B,414.00M,7.00M,414.00M,22.00M,433.00M,84.00M,539.00M,254.00M,,45.00M,,3.971B,0.00,50.00M,1.974B,4.883B,,300.00M,,7.207B,-3.07B,4.137B,323.00M,150.00M,473.00M,,5.081B,9.052B,,2009-03,497.00M,32.00M,,529.00M,831.00M,1.36B,,,281.00M,,281.00M,87.00M,87.00M,,351.00M,2.079B,5.282B,,219.00M,1.089B,546.00M,6.047B,8.126B,7.00M,-6.667B,6.477B,97.00M,,,,117.00M,-163.00M
2008-12,,933.00M,163.00M,1.096B,320.00M,,320.00M,41.00M,352.00M,263.00M,656.00M,279.00M,,28.00M,,2.379B,0.00,50.00M,1.927B,4.896B,,285.00M,,7.158B,-2.862B,4.296B,323.00M,168.00M,491.00M,,5.293B,7.672B,,2008-12,631.00M,,,631.00M,970.00M,1.601B,,,286.00M,,286.00M,50.00M,50.00M,,289.00M,2.226B,4.49B,,91.00M,169.00M,569.00M,5.15B,7.376B,6.00M,-6.244B,6.354B,97.00M,,,,108.00M,127.00M
