,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment
2018-03,81.00M,0.00,,,1.00M,,,44.00M,44.00M,,,,32.00M,11.00M,-295.00M,-21.00M,39.00M,1.00M,,,,-107.00M,,2018-03,-46.00M,,-46.00M,,0.00,21.00M,,2018-03,-14.00M,,-14.00M,,,,,,,6.00M,-8.00M,,2018-03,1.191B,,1.051B,,2018-03,,,-14.00M
2017-12,-19.00M,,,,3.00M,,,39.00M,39.00M,-3.00M,,,21.00M,5.00M,424.00M,-8.00M,-101.00M,-37.00M,,,,324.00M,,2017-12,-44.00M,,-44.00M,,0.00,61.00M,,2017-12,-40.00M,0.00,-40.00M,,,,,,,5.00M,-34.00M,,2017-12,884.00M,,1.191B,,2017-12,,,-40.00M
2017-09,61.00M,,,,2.00M,,,36.00M,36.00M,3.00M,,,29.00M,12.00M,-89.00M,-28.00M,-40.00M,83.00M,,,,69.00M,,2017-09,-34.00M,,-34.00M,,84.00M,1.00M,,2017-09,-28.00M,28.00M,0.00,,,,,,,5.00M,2.00M,,2017-09,762.00M,,884.00M,,2017-09,,,-28.00M
2017-06,-42.00M,,,,3.00M,,,35.00M,35.00M,,,,24.00M,5.00M,-43.00M,-43.00M,-4.00M,-17.00M,,,,-82.00M,,2017-06,-12.00M,,-12.00M,,137.00M,-1.00M,,2017-06,-42.00M,42.00M,0.00,,,,,,,2.00M,-4.00M,,2017-06,724.00M,,762.00M,,2017-06,,,-42.00M
2017-03,-33.00M,,,,4.00M,,,34.00M,34.00M,,,,23.00M,14.00M,-395.00M,76.00M,-28.00M,6.00M,,,,-299.00M,,2017-03,-23.00M,,-23.00M,,-221.00M,-2.00M,,2017-03,,,,,,,,,,8.00M,3.00M,,2017-03,1.266B,,724.00M,,2017-03,,,
2016-12,-52.00M,,0.00,0.00,8.00M,,,34.00M,34.00M,0.00,,,29.00M,7.00M,285.00M,46.00M,-48.00M,-130.00M,,,,179.00M,,2016-12,-21.00M,,-21.00M,-4.00M,0.00,9.00M,,2016-12,-35.00M,,-265.00M,-1.00M,,-1.00M,,,,109.00M,-156.00M,,2016-12,1.258B,,1.266B,,2016-12,-1.00M,,-35.00M
2016-09,-406.00M,,240.00M,4.00M,305.00M,,,33.00M,33.00M,0.00,,,23.00M,-27.00M,31.00M,-28.00M,-18.00M,82.00M,,,,29.00M,,2016-09,-9.00M,,-9.00M,-5.00M,0.00,4.00M,,2016-09,-1.074B,,-1.074B,668.00M,,668.00M,,,,691.00M,282.00M,,2016-09,957.00M,,1.258B,,2016-09,668.00M,,-1.074B
2016-06,69.00M,,,-150.00M,-150.00M,,,33.00M,33.00M,11.00M,,,18.00M,35.00M,-164.00M,-69.00M,-125.00M,291.00M,,,,-85.00M,,2016-06,-21.00M,,-21.00M,351.00M,0.00,-1.00M,,2016-06,-4.00M,,-4.00M,,,,,,,2.00M,-3.00M,,2016-06,716.00M,,957.00M,,2016-06,,,-4.00M
2016-03,-109.00M,,,,,,,33.00M,33.00M,,,,16.00M,-1.00M,26.00M,3.00M,29.00M,-39.00M,,,,-42.00M,,2016-03,-26.00M,,-26.00M,,0.00,,,2016-03,,,,,,,,,,0.00,-1.00M,,2016-03,785.00M,,716.00M,,2016-03,,,
2015-12,-102.00M,,,,,,,34.00M,34.00M,,,,16.00M,-12.00M,116.00M,82.00M,-11.00M,-64.00M,,,,59.00M,,2015-12,-32.00M,0.00,-32.00M,,0.00,,,2015-12,-100.00M,,0.00,,,,,,,4.00M,3.00M,,2015-12,755.00M,,785.00M,,2015-12,,-100.00M,0.00
2015-09,-197.00M,,,0.00,0.00,,,42.00M,42.00M,0.00,,,13.00M,22.00M,35.00M,24.00M,-37.00M,42.00M,,,,-56.00M,,2015-09,-25.00M,8.00M,-17.00M,0.00,0.00,,,2015-09,0.00,,0.00,-1.00M,,-1.00M,,,,1.00M,-1.00M,,2015-09,829.00M,,755.00M,,2015-09,-1.00M,0.00,0.00
2015-06,-181.00M,,,0.00,0.00,,,45.00M,45.00M,0.00,,,17.00M,7.00M,83.00M,-111.00M,-31.00M,114.00M,,,,-57.00M,,2015-06,-17.00M,,-17.00M,0.00,228.00M,,,2015-06,-1.00M,,-1.00M,1.00M,,1.00M,,,,,-2.00M,,2015-06,677.00M,,829.00M,,2015-06,1.00M,42.00M,-43.00M
2015-03,-180.00M,,,,,,,46.00M,46.00M,,,,17.00M,74.00M,46.00M,-6.00M,52.00M,-221.00M,,,,-172.00M,,2015-03,-22.00M,,-22.00M,,7.00M,,,2015-03,57.00M,,57.00M,,,,,,,,59.00M,,2015-03,805.00M,,677.00M,,2015-03,,58.00M,-1.00M
2014-12,-364.00M,,,,-3.00M,,,48.00M,48.00M,0.00,,,16.00M,16.00M,151.00M,213.00M,36.00M,-230.00M,,,,116.00M,,2014-12,-22.00M,0.00,-22.00M,,65.00M,,,2014-12,-1.077B,,-1.077B,-4.00M,,-4.00M,,,,,6.00M,,2014-12,640.00M,,805.00M,,2014-12,-4.00M,-1.005B,-72.00M
2014-09,17.00M,,,,0.00,,,49.00M,49.00M,-1.00M,,,21.00M,-2.00M,-104.00M,62.00M,-72.00M,48.00M,,,,18.00M,,2014-09,-29.00M,0.00,-29.00M,,148.00M,,,2014-09,-1.00M,,-1.00M,2.00M,,2.00M,,,,,0.00,,2014-09,503.00M,,640.00M,,2014-09,2.00M,0.00,-1.00M
2014-06,-36.00M,,,,49.00M,,,53.00M,53.00M,1.00M,,,21.00M,2.00M,-32.00M,-90.00M,-76.00M,80.00M,,,,-28.00M,,2014-06,-23.00M,,-23.00M,,-20.00M,,,2014-06,18.00M,,18.00M,1.00M,,1.00M,,,,,20.00M,,2014-06,554.00M,,503.00M,,2014-06,1.00M,491.00M,-473.00M
2014-03,-20.00M,,,,15.00M,,,53.00M,53.00M,,,,23.00M,2.00M,-8.00M,14.00M,-8.00M,-275.00M,,,,-204.00M,,2014-03,-21.00M,,-21.00M,,-110.00M,,,2014-03,20.00M,,20.00M,1.00M,,1.00M,,,,,20.00M,,2014-03,869.00M,,554.00M,,2014-03,1.00M,589.00M,-569.00M
2013-12,89.00M,1.00M,,,2.00M,,,54.00M,54.00M,,,,24.00M,5.00M,42.00M,38.00M,-18.00M,-215.00M,,,,21.00M,,2013-12,-21.00M,0.00,-21.00M,,317.00M,,,2013-12,4.00M,,4.00M,0.00,,0.00,,,,,9.00M,,2013-12,543.00M,,869.00M,,2013-12,0.00,55.00M,-51.00M
2013-09,48.00M,-17.00M,,,-17.00M,,,57.00M,57.00M,-1.00M,,,23.00M,6.00M,-203.00M,-211.00M,-10.00M,329.00M,,,,21.00M,,2013-09,-15.00M,57.00M,42.00M,,144.00M,,,2013-09,-2.00M,,-2.00M,1.00M,,1.00M,,,,,2.00M,,2013-09,334.00M,,543.00M,,2013-09,1.00M,0.00,-2.00M
2013-06,-74.00M,-1.00M,,,-1.00M,,,59.00M,59.00M,0.00,,,20.00M,8.00M,-25.00M,-97.00M,-74.00M,149.00M,,,,-35.00M,,2013-06,-28.00M,3.00M,-25.00M,,-49.00M,,,2013-06,-1.00M,,-1.00M,1.00M,,1.00M,,,,,2.00M,,2013-06,441.00M,,334.00M,,2013-06,1.00M,0.00,-1.00M
2013-03,-146.00M,48.00M,,,48.00M,,,66.00M,66.00M,1.00M,,,24.00M,5.00M,-14.00M,-52.00M,-1.00M,-86.00M,,,,-155.00M,,2013-03,-20.00M,178.00M,158.00M,,-111.00M,,,2013-03,-1.00M,,-1.00M,1.00M,,1.00M,,,,,0.00,,2013-03,549.00M,,441.00M,,2013-03,1.00M,0.00,-1.00M
2012-12,-473.00M,1.00M,,0.00,1.00M,,,66.00M,66.00M,1.00M,,,23.00M,13.00M,53.00M,183.00M,-2.00M,-164.00M,,,13.00M,-286.00M,,2012-12,-22.00M,0.00,-22.00M,0.00,62.00M,14.00M,,2012-12,-1.00M,,-1.00M,2.00M,,2.00M,,,,,5.00M,,2012-12,776.00M,,549.00M,,2012-12,2.00M,0.00,-1.00M
2012-09,-157.00M,0.00,,0.00,0.00,,,66.00M,66.00M,-1.00M,,,27.00M,5.00M,60.00M,89.00M,-14.00M,-320.00M,,,5.00M,-240.00M,,2012-09,-32.00M,0.00,-32.00M,0.00,40.00M,-18.00M,,2012-09,5.00M,,5.00M,0.00,,0.00,,,,,11.00M,,2012-09,1.015B,,776.00M,,2012-09,0.00,491.00M,-486.00M
2012-06,37.00M,0.00,,0.00,0.00,,,65.00M,65.00M,-4.00M,,,26.00M,8.00M,217.00M,-249.00M,25.00M,-42.00M,,,-2.00M,81.00M,,2012-06,-39.00M,0.00,-39.00M,0.00,-223.00M,-1.00M,,2012-06,-1.00M,,-1.00M,3.00M,,3.00M,,,,,4.00M,,2012-06,1.193B,,1.015B,,2012-06,3.00M,,-1.00M
2012-03,-590.00M,0.00,,278.00M,278.00M,,,63.00M,63.00M,-36.00M,,,21.00M,3.00M,-40.00M,-106.00M,-41.00M,571.00M,,,-16.00M,107.00M,,2012-03,-40.00M,0.00,-40.00M,-281.00M,525.00M,-4.00M,,2012-03,-1.00M,,-1.00M,9.00M,,9.00M,,,,,17.00M,,2012-03,869.00M,,1.193B,,2012-03,9.00M,,-1.00M
2011-12,,,,0.00,-5.00M,,,70.00M,70.00M,-6.00M,,,21.00M,-658.00M,-10.00M,65.00M,73.00M,-65.00M,,,2.00M,187.00M,,2011-12,-87.00M,0.00,-87.00M,0.00,186.00M,-2.00M,,2011-12,-51.00M,,-51.00M,1.00M,,1.00M,,,,,-40.00M,,2011-12,625.00M,,869.00M,,2011-12,1.00M,0.00,-51.00M
2011-09,,,,0.00,0.00,,,79.00M,79.00M,2.00M,,,22.00M,95.00M,-150.00M,102.00M,6.00M,37.00M,,,-4.00M,189.00M,,2011-09,-58.00M,16.00M,-42.00M,0.00,76.00M,0.00,,2011-09,12.00M,,-153.00M,2.00M,,2.00M,,,,,-152.00M,,2011-09,554.00M,,625.00M,,2011-09,2.00M,170.00M,-158.00M
2011-06,,,,0.00,0.00,,,80.00M,80.00M,-1.00M,,,20.00M,67.00M,2.00M,6.00M,47.00M,-38.00M,,,-9.00M,174.00M,,2011-06,-67.00M,,-67.00M,0.00,-163.00M,0.00,,2011-06,-164.00M,,1.00M,6.00M,,6.00M,,,,,8.00M,,2011-06,602.00M,,554.00M,,2011-06,6.00M,-165.00M,1.00M
2011-03,,,,-492.00M,-492.00M,,,88.00M,88.00M,-1.00M,,,27.00M,526.00M,-189.00M,-16.00M,-11.00M,-110.00M,,,10.00M,-168.00M,,2011-03,-38.00M,,-38.00M,0.00,41.00M,-17.00M,,2011-03,164.00M,,164.00M,9.00M,,9.00M,,,,,178.00M,,2011-03,606.00M,,602.00M,,2011-03,9.00M,165.00M,-1.00M
2010-12,471.00M,,-17.00M,-352.00M,-20.00M,,,89.00M,89.00M,-5.00M,,,22.00M,-120.00M,-465.00M,-10.00M,-105.00M,-68.00M,,,-2.00M,-213.00M,,2010-12,-38.00M,0.00,-38.00M,0.00,-61.00M,-4.00M,,2010-12,281.00M,,281.00M,6.00M,,6.00M,,,,,302.00M,,2010-12,620.00M,,606.00M,,2010-12,6.00M,297.00M,-16.00M
2010-09,,,8.00M,186.00M,194.00M,,,94.00M,94.00M,,,,22.00M,-101.00M,-285.00M,-41.00M,4.00M,-10.00M,,,-1.00M,-124.00M,,2010-09,-31.00M,1.00M,-30.00M,0.00,-296.00M,5.00M,,2010-09,-18.00M,,-18.00M,2.00M,,2.00M,,,,,-19.00M,,2010-09,1.084B,,620.00M,,2010-09,2.00M,800.00M,-818.00M
2010-06,-257.00M,,-8.00M,120.00M,112.00M,,,100.00M,100.00M,,,,23.00M,212.00M,-254.00M,-4.00M,10.00M,-41.00M,,,1.00M,-98.00M,,2010-06,-31.00M,,-31.00M,0.00,530.00M,17.00M,,2010-06,9.00M,,9.00M,4.00M,,4.00M,,,,,24.00M,,2010-06,642.00M,,1.084B,,2010-06,4.00M,224.00M,-215.00M
2010-03,257.00M,,,183.00M,-142.00M,,,100.00M,100.00M,0.00,,,20.00M,12.00M,-134.00M,-89.00M,-6.00M,-8.00M,,,13.00M,23.00M,,2010-03,-48.00M,,-48.00M,-904.00M,-264.00M,1.00M,,2010-03,174.00M,,174.00M,3.00M,,3.00M,,,,,177.00M,,2010-03,1.657B,,642.00M,,2010-03,3.00M,199.00M,-25.00M
2009-12,1.177B,16.00M,1.00M,0.00,28.00M,,,284.00M,284.00M,-12.00M,-32.00M,0.00,18.00M,51.00M,-349.00M,-52.00M,12.00M,28.00M,,,-3.00M,1.15B,,2009-12,-173.00M,57.00M,-116.00M,0.00,-383.00M,-58.00M,,2009-12,-654.00M,,-654.00M,2.00M,,2.00M,-178.00M,-178.00M,,,-783.00M,,2009-12,1.847B,,1.657B,,2009-12,-176.00M,839.00M,-1.493B
2009-09,-135.00M,8.00M,0.00,0.00,-58.00M,,,282.00M,282.00M,18.00M,-25.00M,0.00,17.00M,52.00M,-316.00M,-22.00M,31.00M,19.00M,,,-5.00M,-142.00M,,2009-09,-97.00M,1.00M,-96.00M,0.00,-122.00M,-2.00M,,2009-09,52.00M,,52.00M,0.00,,0.00,178.00M,178.00M,,,230.00M,,2009-09,1.979B,,1.847B,,2009-09,178.00M,227.00M,-175.00M
2009-06,-335.00M,4.00M,-1.00M,0.00,-3.00M,,,282.00M,282.00M,8.00M,-27.00M,3.00M,19.00M,38.00M,-108.00M,46.00M,-27.00M,-31.00M,,,-9.00M,-144.00M,,2009-06,-112.00M,,-112.00M,0.00,-207.00M,2.00M,,2009-06,33.00M,,33.00M,0.00,,0.00,0.00,0.00,,,38.00M,,2009-06,2.402B,,1.979B,,2009-06,0.00,112.00M,-79.00M
2009-03,-414.00M,,,0.00,-136.00M,,,280.00M,280.00M,116.00M,-26.00M,,21.00M,21.00M,-187.00M,117.00M,-33.00M,-149.00M,,,-1.00M,-391.00M,,2009-03,-84.00M,,-84.00M,0.00,-157.00M,62.00M,,2009-03,1.046B,,1.046B,125.00M,,125.00M,1.091B,1.091B,,,2.039B,,2009-03,933.00M,,2.402B,,2009-03,1.216B,1.151B,-105.00M
2008-12,-1.43B,0.00,,,-34.00M,,,303.00M,303.00M,147.00M,-35.00M,716.00M,21.00M,-9.00M,177.00M,195.00M,8.00M,-270.00M,,,-39.00M,-250.00M,,2008-12,-113.00M,0.00,-113.00M,,-58.00M,95.00M,,2008-12,58.00M,,58.00M,0.00,,0.00,0.00,0.00,,,24.00M,,2008-12,1.108B,,933.00M,,2008-12,0.00,126.00M,-68.00M
2008-09,-127.00M,5.00M,,,5.00M,,,293.00M,293.00M,5.00M,-26.00M,137.00M,21.00M,-38.00M,-261.00M,-56.00M,22.00M,-202.00M,,,11.00M,-216.00M,,2008-09,-82.00M,0.00,-82.00M,,15.00M,-75.00M,,2008-09,70.00M,,70.00M,0.00,,0.00,0.00,0.00,,,156.00M,,2008-09,1.31B,,1.108B,,2008-09,0.00,117.00M,-47.00M
2008-06,-1.188B,-169.00M,,,-169.00M,,,310.00M,310.00M,-20.00M,-24.00M,911.00M,20.00M,8.00M,81.00M,-23.00M,78.00M,-218.00M,,,-8.00M,-242.00M,,2008-06,-106.00M,290.00M,184.00M,,75.00M,3.00M,,2008-06,17.00M,,17.00M,0.00,,0.00,0.00,0.00,,,-114.00M,,2008-06,1.404B,,1.31B,,2008-06,0.00,65.00M,-48.00M
2008-03,-351.00M,,,,,,,317.00M,317.00M,-50.00M,-22.00M,0.00,21.00M,-4.00M,104.00M,36.00M,-44.00M,14.00M,,,-5.00M,16.00M,,2008-03,-323.00M,53.00M,-270.00M,,89.00M,-17.00M,,2008-03,-3.00M,,-3.00M,0.00,,0.00,0.00,0.00,,,154.00M,,2008-03,1.432B,,1.404B,,2008-03,0.00,0.00,-3.00M
2007-12,-1.772B,,,,45.00M,,,164.00M,164.00M,-41.00M,,,,1.781B,24.00M,27.00M,46.00M,-259.00M,,1.00M,45.00M,61.00M,,2007-12,-266.00M,31.00M,-235.00M,157.00M,-87.00M,-161.00M,,2007-12,,,-36.00M,624.00M,,624.00M,,,,,601.00M,,2007-12,1.096B,,1.432B,,2007-12,624.00M,,
2007-09,-396.00M,,,,151.00M,,,334.00M,334.00M,-10.00M,,,,-95.00M,-16.00M,55.00M,-65.00M,192.00M,,2.00M,71.00M,223.00M,,2007-09,-419.00M,41.00M,-378.00M,-13.00M,-22.00M,182.00M,,2007-09,,,-62.00M,16.00M,,16.00M,,,,,-200.00M,,2007-09,1.304B,,1.096B,,2007-09,16.00M,,
2007-06,-600.00M,,,,-26.00M,,,326.00M,326.00M,25.00M,,,,50.00M,19.00M,46.00M,-64.00M,-353.00M,,-60.00M,2.00M,-635.00M,,2007-06,-414.00M,0.00,-414.00M,13.00M,-126.00M,1.00M,,2007-06,,,1.477B,16.00M,,16.00M,,,,,1.474B,,2007-06,991.00M,,1.304B,,2007-06,16.00M,,
2007-03,-611.00M,,,,-1.00M,,,314.00M,314.00M,10.00M,,,,23.00M,476.00M,-124.00M,-51.00M,91.00M,,-19.00M,-67.00M,41.00M,,2007-03,-586.00M,1.00M,-585.00M,,-3.00M,-4.00M,,2007-03,,,-21.00M,30.00M,,30.00M,,,,,162.00M,,2007-03,1.38B,,991.00M,,2007-03,30.00M,,
2006-12,-574.00M,,,,28.00M,318.00M,-88.00M,230.00M,230.00M,-2.00M,,,,453.00M,-268.00M,82.00M,117.00M,226.00M,,-15.00M,-5.00M,272.00M,,2006-12,-666.00M,19.00M,-647.00M,,917.00M,-197.00M,,2006-12,,,3.04B,18.00M,,18.00M,,,,,3.069B,,2006-12,1.385B,,1.38B,,2006-12,18.00M,,
2006-09,134.63M,,,,86.86M,180.24M,-90.70M,89.54M,89.54M,-0.719M,,,,13.43M,-116.45M,-63.34M,36.48M,186.42M,,-28.24M,-108.81M,229.80M,,2006-09,-425.31M,0.715M,-424.60M,,871.94M,0.578M,,2006-09,,,-0.938M,21.06M,,21.06M,,,,,17.68M,,2006-09,688.66M,,1.385B,,2006-09,21.06M,,
2006-06,88.37M,,,,-39.86M,178.76M,13.70M,192.46M,192.46M,4.719M,,,,43.57M,262.45M,-64.66M,-25.48M,-124.42M,,-53.76M,-64.19M,219.20M,,2006-06,-455.69M,1.285M,-454.40M,,-207.94M,181.42M,,2006-06,,,-1.062M,31.94M,,31.94M,,,,,127.32M,,2006-06,829.00M,-5.00M,688.66M,,2006-06,31.94M,,
2006-03,185.00M,,,,12.00M,160.00M,14.00M,174.00M,174.00M,-4.00M,,,,,67.00M,52.00M,-32.00M,13.00M,,96.00M,3.00M,566.00M,,2006-03,-310.00M,2.00M,-308.00M,,-634.00M,17.00M,,2006-03,,,-211.00M,655.00M,,655.00M,,,,,549.00M,,2006-03,633.00M,5.00M,829.00M,,2006-03,655.00M,,
2005-12,95.59M,,,,81.31M,262.99M,14.27M,277.26M,277.26M,-0.685M,,,,,45.39M,28.16M,-12.50M,180.76M,-123.98M,-34.02M,,537.28M,,2005-12,-329.14M,2.547M,-326.59M,,-364.93M,-133.08M,,2005-12,,,-55.43M,68.48M,,68.48M,,,,,102.81M,,2005-12,806.12M,11.46M,633.07M,,2005-12,68.48M,,
2005-09,76.00M,,,,-47.58M,276.55M,14.20M,290.75M,290.75M,-0.571M,,,,,-136.83M,-20.60M,30.86M,375.05M,3.047M,-141.05M,,429.09M,,2005-09,-362.30M,1.343M,-360.95M,,-27.21M,0.00,,2005-09,,,-0.258M,67.80M,,67.80M,,,,,59.53M,,2005-09,711.22M,-5.564M,806.12M,,2005-09,67.80M,,
2005-06,11.32M,,,,-64.65M,305.60M,12.85M,318.46M,318.46M,-13.22M,,,,,-35.56M,-63.97M,43.04M,-41.52M,1.712M,109.55M,,265.16M,,2005-06,-303.26M,5.573M,-297.69M,,-86.02M,-3.50M,,2005-06,,,-58.41M,17.87M,,17.87M,,,,,173.80M,,2005-06,661.98M,-2.517M,711.22M,,2005-06,17.87M,,
2005-03,-17.42M,,,,-68.53M,318.80M,14.08M,332.88M,332.88M,-7.329M,,,,,23.64M,28.64M,-53.02M,12.34M,-9.803M,9.931M,,251.33M,,2005-03,-518.47M,0.216M,-518.26M,,-145.73M,-5.625M,,2005-03,,,44.71M,35.19M,,35.19M,,,,,158.05M,,2005-03,918.38M,3.845M,661.98M,,2005-03,35.19M,,
2004-12,-29.96M,,,,12.06M,312.84M,16.31M,329.15M,329.15M,-24.29M,,,,,59.13M,-67.56M,-8.406M,-127.14M,-5.882M,225.10M,,362.19M,,2004-12,-470.38M,9.836M,-460.54M,,-83.45M,,,2004-12,,,-23.24M,65.84M,,65.84M,,,,,313.91M,,2004-12,776.59M,9.68M,918.38M,,2004-12,65.84M,,
2004-09,43.85M,,,,-40.48M,292.64M,12.09M,304.73M,304.73M,-9.624M,,,,,-87.51M,-81.05M,12.15M,130.58M,-6.588M,-2.646M,,263.40M,,2004-09,-406.75M,17.13M,-389.62M,,37.63M,,,2004-09,,,11.90M,13.16M,,13.16M,,,,,164.98M,,2004-09,698.25M,1.948M,776.59M,,2004-09,13.16M,,
2004-06,32.18M,,,,-5.493M,281.10M,11.29M,292.39M,292.39M,-4.489M,,,,,-65.09M,-36.44M,21.91M,7.056M,-19.91M,18.37M,,240.49M,,2004-06,-360.96M,1.159M,-359.80M,,-92.27M,,,2004-06,,,-43.06M,25.06M,,25.06M,,,,,-45.59M,,2004-06,957.42M,-1.994M,698.25M,,2004-06,25.06M,,
2004-03,45.09M,,,,-34.01M,287.02M,10.96M,297.98M,297.98M,-0.833M,,,,,-68.98M,5.07M,9.406M,-4.72M,11.32M,-39.87M,,220.45M,,2004-03,-202.05M,6.058M,-195.99M,,-11.74M,,,2004-03,,,-67.74M,19.62M,,19.62M,,,,,-20.50M,,2004-03,968.18M,-2.977M,957.42M,,2004-03,19.62M,,
