,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2000-09,1.207B,1.207B,639.01M,567.54M,141.93M,162.76M,,336.90M,,,,,304.70M,262.84M,,,,341.30M,,602.15M,175.01M,431.55M,,,,416.60M,153.76M,262.84M,,2000-09,-0.0737,0.6139,1.31,,2000-09,-0.0737,0.7028,1.31,311.94M,352.89M
2000-06,1.170B,1.170B,464.76M,705.68M,152.02M,155.65M,,,,,,,455.48M,250.20M,,,,0.032M,,258.92M,51.78M,207.14M,,,,398.01M,147.81M,250.20M,,2000-06,0.0000,0.67,0.67,,2000-06,0.0000,0.61,0.61,309.12M,352.44M
2000-03,1.092B,1.092B,605.76M,486.27M,144.31M,161.30M,,,,,,,305.60M,180.67M,,,,-0.969M,,,,189.35M,,,,308.56M,127.89M,180.67M,,2000-03,,0.63,0.63,,2000-03,,0.58,0.58,301.76M,343.88M
1999-12,968.70M,968.70M,451.60M,517.10M,158.80M,150.90M,,-7.00M,,,,,439.60M,77.50M,,,,-7.00M,,65.10M,0.00,65.10M,,,,207.40M,129.90M,77.50M,,1999-12,,0.2536,0.23,,1999-12,,0.2536,0.23,296.51M,296.51M
1999-09,662.20M,662.20M,343.90M,318.30M,129.40M,157.60M,,4.70M,,,,,417.20M,-98.90M,,,,4.70M,,,,-105.50M,,,,31.30M,130.20M,-98.90M,,1999-09,,-0.3696,-0.36,,1999-09,,-0.3696,-0.36,295.22M,295.22M
1999-06,595.10M,595.10M,330.40M,264.70M,124.50M,167.30M,,425.80M,,,,,419.70M,-155.00M,,,,425.80M,,252.70M,172.80M,79.90M,,,,-27.09M,127.91M,-155.00M,,1999-06,,-1.469,0.27,,1999-06,,-1.438,0.27,146.95M,149.54M
1999-03,631.59M,631.59M,322.94M,308.65M,127.31M,159.95M,,-17.75M,,,,,414.74M,-106.09M,,,,-17.75M,,-133.84M,-5.473M,-128.37M,,,,21.39M,127.49M,-106.09M,,1999-03,,-0.3817,-0.44,,1999-03,,-0.3817,-0.44,291.82M,291.82M
1998-12,788.80M,788.80M,356.90M,431.90M,120.50M,156.50M,,-26.70M,,,,,402.10M,29.80M,,,,-26.70M,,22.10M,-0.20M,22.30M,,,,154.90M,125.10M,29.80M,,1998-12,,0.1356,0.08,,1998-12,,0.1356,0.08,288.21M,288.21M
1998-09,685.90M,685.90M,305.90M,380.00M,109.80M,143.70M,,12.10M,,,,,370.60M,9.40M,,,,12.10M,,0.40M,-0.60M,1.00M,,,,126.50M,117.10M,9.40M,,1998-09,,-0.0154,0.01,,1998-09,,-0.0154,0.01,285.97M,285.97M
1998-06,526.50M,526.50M,277.00M,249.50M,101.20M,139.20M,,12.90M,,,,,353.50M,-104.00M,,,,12.90M,,-108.70M,-44.10M,-64.60M,,,,9.10M,113.10M,-104.00M,,1998-06,,-0.2576,-0.23,,1998-06,,-0.2576,-0.23,280.87M,280.87M
