,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-03,7.839B,522.00M,8.361B,1.309B,,1.309B,,689.00M,3.264B,13.62B,,,,,1.681B,,1.681B,16.58B,2.038B,18.62B,9.22B,1.932B,31.45B,45.07B,,,11.36B,,11.36B,1.073B,1.073B,,,5.599B,18.03B,6.45B,6.45B,1.163B,1.163B,,,,1.785B,9.398B,27.43B,13.00M,10.84B,6.841B,,,,-48.00M,17.65B
2005-12,5.421B,590.00M,6.011B,1.207B,,1.207B,,650.00M,2.679B,10.55B,,,,,2.613B,-966.00M,1.647B,16.24B,2.02B,18.26B,8.971B,1.865B,30.74B,41.29B,7.262B,3.285B,10.55B,,10.55B,3.261B,3.261B,,,2.845B,16.65B,3.834B,3.834B,1.225B,1.225B,,,,1.761B,6.82B,23.47B,14.00M,10.26B,7.51B,,,,33.00M,17.82B
2005-09,5.177B,316.00M,5.493B,941.00M,,941.00M,,1.019B,1.799B,9.252B,,,,,1.345B,,1.345B,9.783B,1.081B,10.86B,8.235B,,20.44B,29.70B,,,8.335B,,8.335B,631.00M,631.00M,,,3.063B,12.03B,3.85B,3.85B,838.00M,838.00M,,,,1.75B,6.438B,18.47B,13.00M,9.895B,1.279B,,,,42.00M,11.23B
2005-06,4.042B,301.00M,4.343B,914.00M,,914.00M,,964.00M,1.839B,8.06B,,,,,1.29B,,1.29B,9.669B,1.072B,10.74B,8.43B,,20.46B,28.52B,,,8.405B,,8.405B,400.00M,400.00M,,,2.757B,11.56B,3.85B,3.85B,861.00M,861.00M,,,,1.719B,6.43B,17.99B,13.00M,9.053B,1.34B,,,,123.00M,10.53B
2005-03,4.073B,277.00M,4.35B,908.00M,,908.00M,,937.00M,1.862B,8.057B,,,,,1.27B,,1.27B,9.489B,1.189B,10.68B,8.213B,,20.16B,28.22B,,,8.152B,,8.152B,400.00M,400.00M,,,2.733B,11.28B,3.85B,3.85B,837.00M,837.00M,,,,1.691B,6.378B,17.66B,6.00M,8.263B,2.244B,,,,42.00M,10.56B
2004-12,3.991B,514.00M,4.505B,906.00M,,906.00M,,353.00M,2.477B,8.241B,,,,,1.799B,-660.00M,1.139B,9.47B,1.205B,10.68B,7.748B,76.00M,19.64B,27.88B,5.54B,2.107B,7.647B,,7.647B,673.00M,673.00M,,,3.009B,11.33B,3.35B,3.35B,814.00M,814.00M,,,,1.669B,5.833B,17.16B,13.00M,7.484B,3.088B,,,,132.00M,10.72B
2004-09,3.635B,774.00M,4.409B,910.00M,,910.00M,,918.00M,1.959B,8.196B,,,,,1.196B,,1.196B,9.165B,1.249B,10.41B,8.091B,,19.70B,27.90B,,,7.69B,,7.69B,150.00M,150.00M,,,2.727B,10.57B,3.75B,3.75B,871.00M,871.00M,,,,1.642B,6.263B,16.83B,7.00M,6.745B,4.179B,,,,136.00M,11.07B
2004-06,3.10B,409.00M,3.509B,836.00M,,836.00M,,751.00M,1.932B,7.028B,,,,,1.162B,,1.162B,5.479B,530.00M,6.009B,6.684B,,13.86B,20.88B,,,6.669B,,6.669B,150.00M,150.00M,,,2.553B,9.372B,2.25B,2.25B,529.00M,529.00M,,,,1.614B,4.393B,13.76B,6.00M,6.046B,1.029B,,,,37.00M,7.118B
2004-03,2.714B,216.00M,2.93B,873.00M,,873.00M,,652.00M,1.989B,6.444B,,,,,1.182B,,1.182B,5.446B,531.00M,5.977B,7.249B,,14.41B,20.85B,,,6.253B,,6.253B,150.00M,150.00M,,,2.736B,9.139B,2.25B,2.25B,622.00M,622.00M,,,,1.614B,4.486B,13.62B,6.00M,5.469B,1.558B,,,,194.00M,7.227B
2003-12,,,,,,,,,,,,,,,,,,,,,,,,17.67B,,,,,,,,,,,,,,,,,,,,,12.43B,,,,,,,,5.236B
2003-09,2.067B,373.00M,2.44B,880.00M,,880.00M,,427.00M,2.024B,5.771B,,,,,1.054B,,1.054B,3.424B,139.00M,3.563B,4.514B,,9.131B,14.90B,,,5.633B,,5.633B,350.00M,350.00M,,,2.276B,8.259B,1.40B,1.40B,497.00M,497.00M,,,,,1.897B,10.16B,6.00M,4.584B,0.00,,,,156.00M,4.746B
2003-06,2.253B,231.00M,2.484B,836.00M,,836.00M,,457.00M,2.007B,5.784B,,,,,1.036B,,1.036B,3.403B,145.00M,3.548B,4.47B,,9.054B,14.84B,,,5.784B,,5.784B,350.00M,350.00M,,,2.217B,8.351B,1.40B,1.40B,414.00M,414.00M,,,,,1.814B,10.16B,6.00M,4.468B,14.00M,,,,185.00M,4.673B
2003-03,1.802B,238.00M,2.04B,835.00M,,835.00M,,458.00M,2.036B,5.369B,,,,,1.035B,,1.035B,3.367B,119.00M,3.486B,4.555B,,9.076B,14.44B,,,5.53B,,5.53B,402.00M,402.00M,,,2.24B,8.172B,1.40B,1.40B,429.00M,429.00M,,,,,1.829B,10.00B,3.00M,4.291B,0.00,,,,150.00M,4.444B
2002-12,1.13B,701.00M,1.831B,664.00M,,664.00M,,389.00M,2.29B,5.174B,,,,,1.411B,-456.00M,955.00M,3.363B,122.00M,3.485B,4.498B,52.00M,8.99B,14.16B,5.20B,,5.20B,,5.20B,811.00M,811.00M,,,2.368B,8.379B,950.00M,950.00M,407.00M,407.00M,,,,,1.357B,9.736B,6.00M,4.104B,170.00M,,,,148.00M,4.428B
2002-09,1.066B,515.00M,1.581B,873.00M,,873.00M,,451.00M,2.023B,4.928B,,,,,955.00M,,955.00M,2.793B,611.00M,3.404B,4.42B,,8.779B,13.71B,,,5.083B,,5.083B,374.00M,374.00M,,,2.19B,7.647B,1.30B,1.30B,399.00M,399.00M,,,,,1.699B,9.346B,3.00M,3.724B,478.00M,,,,156.00M,4.361B
2002-06,1.696B,209.00M,1.905B,898.00M,,898.00M,,473.00M,1.937B,5.213B,,,,,963.00M,,963.00M,2.284B,552.00M,2.836B,3.826B,,7.625B,12.84B,,,4.992B,,4.992B,230.00M,230.00M,,,2.006B,7.228B,1.30B,1.30B,329.00M,329.00M,,,,,1.629B,8.857B,3.00M,3.892B,0.00,,,,86.00M,3.981B
2002-03,1.447B,226.00M,1.673B,834.00M,,834.00M,,404.00M,1.894B,4.805B,,,,,952.00M,,952.00M,2.221B,538.00M,2.759B,3.768B,,7.479B,12.28B,,,4.801B,,4.801B,210.00M,210.00M,,,1.908B,6.919B,1.30B,1.30B,216.00M,216.00M,,,,,1.516B,8.435B,3.00M,3.816B,0.00,,,,30.00M,3.849B
2001-12,1.54B,270.00M,1.81B,856.00M,,856.00M,,316.00M,1.964B,4.946B,,,,,847.00M,,847.00M,2.723B,27.00M,2.75B,3.888B,55.00M,7.54B,12.49B,,,4.669B,,4.669B,684.00M,684.00M,,,2.138B,7.491B,900.00M,900.00M,204.00M,204.00M,,,,,1.104B,8.595B,3.00M,3.805B,39.00M,,,,44.00M,3.891B
2001-09,1.525B,166.00M,1.691B,894.00M,,894.00M,,,2.174B,4.759B,,,,,387.00M,,387.00M,,3.078B,3.078B,3.878B,,7.343B,12.10B,,,4.722B,,4.722B,790.00M,790.00M,,,2.047B,7.559B,650.00M,650.00M,178.00M,178.00M,,,,,828.00M,8.387B,3.00M,3.614B,0.00,,,,98.00M,3.715B
2001-06,1.34B,171.00M,1.511B,876.00M,,876.00M,,,2.091B,4.478B,,,,,365.00M,,365.00M,,3.052B,3.052B,3.737B,,7.154B,11.63B,,,4.583B,,4.583B,702.00M,702.00M,,,1.926B,7.211B,650.00M,650.00M,179.00M,179.00M,,,,,829.00M,8.04B,3.00M,3.517B,0.00,,,,72.00M,3.592B
2001-03,1.319B,180.00M,1.499B,895.00M,,895.00M,,,1.998B,4.392B,,,,,332.00M,,332.00M,,3.004B,3.004B,3.625B,,6.961B,11.35B,,,4.472B,,4.472B,460.00M,460.00M,,,1.842B,6.774B,650.00M,650.00M,147.00M,147.00M,,,,,797.00M,7.571B,3.00M,3.687B,0.00,,,,92.00M,3.782B
2000-12,1.419B,200.00M,1.619B,867.00M,,867.00M,,,1.919B,4.405B,,,,,303.00M,,303.00M,,2.911B,2.911B,3.434B,,6.648B,11.05B,,,4.316B,,4.316B,559.00M,559.00M,,,1.695B,6.57B,650.00M,650.00M,145.00M,145.00M,,,,,795.00M,7.365B,3.00M,3.595B,0.00,,,,90.00M,3.688B
2000-09,1.103B,274.00M,1.377B,906.00M,,906.00M,,,1.712B,3.995B,,,,,269.00M,,269.00M,,2.891B,2.891B,3.308B,,6.468B,10.46B,,,4.233B,,4.233B,665.00M,665.00M,,,1.383B,6.281B,400.00M,400.00M,125.00M,125.00M,,,,,525.00M,6.806B,2.00M,3.566B,0.00,,,,89.00M,3.657B
2000-06,1.322B,255.00M,1.577B,914.00M,,914.00M,,,1.669B,4.16B,,,,,267.00M,,267.00M,,2.893B,2.893B,2.993B,,6.153B,10.31B,,,4.093B,,4.093B,474.00M,474.00M,,,1.509B,6.076B,400.00M,400.00M,128.00M,128.00M,,,,,528.00M,6.604B,2.00M,3.646B,0.00,,,,61.00M,3.709B
2000-03,1.276B,348.00M,1.624B,919.00M,,919.00M,,,1.619B,4.162B,,,,,281.00M,,281.00M,,2.888B,2.888B,2.821B,,5.99B,10.15B,,,3.996B,,3.996B,496.00M,496.00M,,,1.476B,5.968B,400.00M,400.00M,124.00M,124.00M,,,,,524.00M,6.492B,2.00M,3.562B,0.00,,,,96.00M,3.66B
1999-12,0.00,3.114B,3.114B,,,,,,,3.114B,,,,,278.00M,,278.00M,,2.859B,2.859B,,,3.137B,10.27B,,,,,,591.00M,591.00M,,,,591.00M,400.00M,400.00M,,,,,,,400.00M,6.41B,3.00M,3.445B,250.00M,,,,,3.863B
1999-09,0.00,3.251B,3.251B,,,,,,,3.251B,,,,,295.00M,,295.00M,,2.817B,2.817B,,,3.112B,9.785B,,,,,,400.00M,400.00M,,,,400.00M,250.00M,250.00M,,,,,,,250.00M,5.815B,2.00M,3.29B,483.00M,,,,,3.97B
1999-06,0.00,3.378B,3.378B,,,,,,,3.378B,,,,,280.00M,,280.00M,,2.621B,2.621B,,,2.901B,9.754B,,,,,,400.00M,400.00M,,,,400.00M,249.00M,249.00M,,,,,,,249.00M,5.596B,2.00M,3.146B,591.00M,,,,,4.158B
1999-03,0.00,2.903B,2.903B,,,,,,,2.903B,,,,,294.00M,,294.00M,,2.509B,2.509B,,,2.803B,9.49B,,,,,,400.00M,400.00M,,,,400.00M,249.00M,249.00M,,,,,,,249.00M,5.542B,2.00M,3.017B,762.00M,,,,,3.948B
1998-12,1.644B,170.00M,1.814B,965.00M,,965.00M,,,1.475B,4.254B,,,,,294.00M,,294.00M,,2.517B,2.517B,2.61B,,5.421B,9.675B,,,3.729B,,3.729B,459.00M,459.00M,,,1.128B,5.316B,249.00M,249.00M,72.00M,72.00M,,,,,321.00M,5.637B,2.00M,2.885B,1.107B,,,,44.00M,4.038B
1998-09,0.00,3.023B,3.023B,,,,,,,3.023B,,,,,332.00M,,332.00M,,2.20B,2.20B,,,2.532B,8.914B,,,,,,,,,,,,22.00M,22.00M,,,,,,,22.00M,4.314B,2.00M,2.779B,1.263B,,,,,4.60B
1998-06,0.00,3.406B,3.406B,,,,,,,3.406B,,,,,333.00M,,333.00M,,2.02B,2.02B,,,2.353B,8.888B,,,,,,,,,,,,21.00M,21.00M,,,,,,,21.00M,4.257B,2.00M,2.649B,1.449B,,,,,4.631B
