,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2007-05,9.151B,9.151B,3.628B,5.523B,,,,,-4.758B,,,,-244.00M,5.767B,,,-4.758B,,993.00M,383.00M,610.00M,,,610.00M,3.533B,1.551B,464.00M,1.087B,1.98,0.0,,11.44,1.98,1.96,0.0,,11.36,1.96,309.05M,310.81M,0.19
2007-02,8.592B,8.592B,598.00M,7.994B,,,,,-1.00M,,,6.904B,7.353B,641.00M,,,-1.00M,,629.00M,209.00M,420.00M,,,420.00M,420.67M,1.09B,449.00M,641.00M,1.37,0.0,,1.3719999999999999,1.37,1.35,0.0,,1.3519999999999999,1.35,306.57M,311.11M,0.09
2006-11,8.926B,8.926B,584.00M,8.342B,,,,,1.00M,,,7.073B,7.503B,839.00M,,,1.00M,,823.00M,312.00M,511.00M,,,511.00M,510.38M,1.269B,430.00M,839.00M,1.67,0.0,,1.6680000000000001,1.67,1.64,0.0,,1.6380000000000001,1.64,305.99M,311.59M,0.09
2006-08,8.545B,8.545B,570.00M,7.975B,,,,,-5.00M,,,6.792B,7.191B,784.00M,,,-5.00M,,770.00M,295.00M,475.00M,,,475.00M,478.08M,1.183B,399.00M,784.00M,1.55,0.0,,1.56,1.55,1.53,0.0,,1.54,1.53,306.45M,310.46M,0.09
2006-05,8.494B,8.494B,-1.262B,9.756B,,,403.00M,,2.00M,,,15.90B,5.177B,4.579B,,,2.00M,,907.00M,339.00M,568.00M,,,568.00M,566.75M,4.982B,403.00M,4.579B,1.86,0.0,,1.8559999999999999,1.86,1.82,0.0,,1.8159999999999998,1.82,305.87M,312.92M,0.08
2006-02,8.003B,8.003B,577.00M,7.426B,,,391.00M,,-2.00M,,,6.322B,6.713B,713.00M,,,-2.00M,,683.00M,255.00M,428.00M,,,428.00M,429.25M,1.104B,391.00M,713.00M,1.41,0.0,,1.4140000000000001,1.41,1.38,0.0,,1.3840000000000001,1.38,303.55M,310.14M,0.08
2005-11,8.09B,8.09B,584.00M,7.506B,,,386.00M,,0.00,,,6.33B,6.716B,790.00M,,,,,760.00M,289.00M,471.00M,,,471.00M,471.00M,1.176B,386.00M,790.00M,1.55,0.0,,1.55,1.55,1.53,0.0,,1.53,1.53,303.87M,307.84M,0.08
2005-08,7.707B,7.707B,665.00M,7.042B,,,,,-11.00M,,,6.088B,6.458B,584.00M,,,-11.00M,,549.00M,210.00M,339.00M,,,339.00M,345.79M,954.00M,368.00M,584.00M,1.12,0.0,,1.1420000000000001,1.12,1.1,0.0,,1.122,1.1,302.68M,308.18M,0.08
2005-05,7.715B,7.715B,586.00M,7.129B,,,,,-1.00M,,,-5.945B,6.389B,740.00M,,,-1.00M,,711.00M,263.00M,448.00M,,,448.00M,448.63M,1.111B,371.00M,740.00M,1.48,0.0,,1.482,1.48,1.46,0.0,,1.462,1.46,303.19M,306.80M,0.07
2005-02,7.339B,7.339B,585.00M,6.754B,,,,,-4.00M,,,5.834B,6.202B,552.00M,,,-4.00M,,514.00M,197.00M,317.00M,,,317.00M,319.47M,920.00M,368.00M,552.00M,1.05,0.0,,1.058,1.05,1.03,0.0,,1.038,1.03,301.90M,307.77M,0.07
2004-11,7.334B,7.334B,1.154B,6.18B,3.507B,3.507B,363.00M,-577.00M,-8.00M,,,2.864B,6.734B,-554.00M,,,-8.00M,,554.00M,200.00M,354.00M,,,354.00M,359.11M,-191.00M,363.00M,-554.00M,1.18,0.0,,1.197,1.18,1.15,0.0,,1.167,1.15,300.00M,307.83M,0.07
2004-08,6.975B,6.975B,551.00M,6.424B,,,360.00M,,-6.00M,,,5.002B,5.362B,1.062B,,,-6.00M,,534.00M,204.00M,330.00M,,,330.00M,333.71M,1.422B,360.00M,1.062B,1.1,0.0,,1.112,1.1,1.08,0.0,,1.092,1.08,300.00M,305.56M,0.07
2004-05,7.041B,7.041B,1.136B,5.905B,3.518B,3.518B,365.00M,-568.00M,-8.00M,,,2.024B,5.907B,-2.00M,,,-8.00M,,643.00M,231.00M,412.00M,,,412.00M,417.13M,363.00M,365.00M,-2.00M,1.37,0.0,,1.3869999999999998,1.37,1.36,0.0,,1.3769999999999998,1.36,303.44M,303.44M,0.06
2004-02,6.062B,6.062B,948.00M,5.114B,3.123B,3.123B,340.00M,-474.00M,-16.00M,,,1.811B,5.274B,-160.00M,,,-16.00M,,334.00M,127.00M,207.00M,,,207.00M,216.92M,180.00M,340.00M,-160.00M,0.69,0.0,,0.7231,0.69,0.68,0.0,,0.7126,0.68,300.00M,304.41M,0.06
2003-11,5.92B,5.92B,894.00M,5.026B,3.006B,3.006B,336.00M,-447.00M,-285.00M,,,1.76B,5.102B,-76.00M,,,-285.00M,,146.00M,55.00M,91.00M,,,91.00M,268.64M,260.00M,336.00M,-76.00M,0.31,0.0,,0.9151,0.31,0.3,0.0,,0.8856,0.3,293.55M,303.33M,0.05
2003-08,5.687B,5.687B,429.00M,5.258B,,,,,1.00M,,,4.402B,4.736B,522.00M,,,1.00M,,196.00M,68.00M,128.00M,,,128.00M,127.35M,856.00M,334.00M,522.00M,0.43,0.0,,0.4278,0.43,0.42,0.0,,0.4179,0.42,297.67M,304.76M,0.05
2003-05,5.83B,5.83B,2.245B,3.585B,,,,,-11.00M,,,-5.589B,6.332B,-2.747B,,,-11.00M,,451.00M,171.00M,280.00M,,,280.00M,286.83M,-2.407B,340.00M,-2.747B,0.94,0.0,,0.9629,0.94,0.92,0.0,,0.9424,0.92,298.07M,305.09M,0.05
2003-02,5.545B,5.545B,452.00M,5.093B,,,,,-3.00M,,,4.138B,4.472B,621.00M,,,-3.00M,,237.00M,90.00M,147.00M,,,147.00M,148.86M,2.309B,1.688B,621.00M,0.49,0.0,,0.4962,0.49,0.49,0.0,,0.4962,0.49,300.00M,300.00M,0.05
2002-11,5.667B,5.667B,2.964B,2.703B,2.868B,2.868B,338.00M,-465.00M,-4.00M,,,795.00M,4.001B,-1.298B,,,-4.00M,,395.00M,150.00M,245.00M,,,245.00M,247.48M,-960.00M,-338.00M,-1.298B,0.82,0.0,,0.8283,0.82,0.81,0.0,,0.8182,0.81,298.00M,303.00M,0.05
2002-08,5.445B,5.445B,2.841B,2.604B,2.87B,2.87B,339.00M,-444.00M,3.00M,,,770.00M,3.979B,-1.375B,,,3.00M,,255.00M,97.00M,158.00M,,,158.00M,156.14M,-1.036B,-339.00M,-1.375B,0.53,0.0,,0.5238,0.53,0.52,0.0,,0.5138,0.52,298.00M,302.00M,0.05
2002-05,5.416B,5.416B,-4.461B,9.877B,2.818B,2.818B,345.00M,-432.00M,-15.00M,,,3.815B,6.978B,2.899B,,,-15.00M,,371.00M,135.00M,236.00M,,0.00,236.00M,245.54M,5.282B,2.383B,2.899B,0.79,0.0,0.0,0.8219,0.79,0.78,0.0,0.0001,0.8113,0.78,299.28M,304.68M,
