,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2015-09,54.00M,,,5.00M,,,5.00M,538.00M,538.00M,-142.00M,,20.00M,8.00M,30.00M,1.00M,175.00M,,,206.00M,689.00M,-481.00M,,-509.00M,,,-19.63B,-20.11B,19.38B,19.38B,,-1.00M,-1.00M,,,16.00M,-10.00M,19.39B,30.00M,-30.00M,0.00,,19.75B,-366.00M,-1.00M,,202.00M
2015-06,-122.00M,,,-1.00M,,0.00,127.00M,528.00M,528.00M,32.00M,,38.00M,-9.00M,-58.00M,6.00M,-11.00M,,,-63.00M,531.00M,-373.00M,,-432.00M,,,7.056B,6.683B,-7.172B,-7.172B,0.00,-7.00M,-7.00M,,,0.00,-25.00M,-7.204B,20.00M,10.00M,30.00M,0.00,2.981B,-10.15B,-7.00M,,290.00M
2015-03,-81.00M,,,6.00M,,,6.00M,514.00M,514.00M,34.00M,,,30.00M,21.00M,-26.00M,30.00M,,,25.00M,528.00M,-427.00M,,-351.00M,,,-14.00M,-441.00M,-60.00M,-60.00M,,-16.00M,-16.00M,,,6.00M,,-70.00M,3.00M,17.00M,20.00M,,332.00M,-392.00M,-16.00M,,255.00M
2014-12,-48.00M,,,4.00M,,,4.00M,534.00M,534.00M,56.00M,,,-25.00M,-15.00M,12.00M,57.00M,,,54.00M,630.00M,-530.00M,,-532.00M,,,-3.609B,-4.139B,3.426B,3.426B,,-1.00M,-1.00M,,,80.00M,-3.00M,3.502B,10.00M,-7.00M,3.00M,,3.892B,-466.00M,-1.00M,,227.00M
2014-09,-53.00M,,,-5.00M,,,-5.00M,535.00M,535.00M,53.00M,,,23.00M,-18.00M,-10.00M,-5.00M,,,-33.00M,520.00M,-582.00M,,-569.00M,,,-3.517B,-4.099B,3.571B,3.571B,,-1.00M,-1.00M,,,14.00M,-4.00M,3.58B,9.00M,1.00M,10.00M,,4.284B,-713.00M,-1.00M,,223.00M
2014-06,-45.00M,,,6.00M,,,6.00M,528.00M,528.00M,62.00M,,,24.00M,-36.00M,6.00M,87.00M,,,57.00M,632.00M,-562.00M,,-570.00M,,,-5.00M,-567.00M,-76.00M,-76.00M,,-6.00M,-6.00M,,,23.00M,-1.00M,-60.00M,4.00M,5.00M,9.00M,,337.00M,-413.00M,-6.00M,,176.00M
2014-03,-37.00M,,,2.00M,,,2.00M,505.00M,505.00M,62.00M,,,25.00M,18.00M,-17.00M,19.00M,,,20.00M,577.00M,-503.00M,,-539.00M,,,4.00M,-499.00M,-95.00M,-95.00M,,-11.00M,-11.00M,,,6.00M,5.00M,-95.00M,21.00M,-17.00M,4.00M,,293.00M,-388.00M,-11.00M,,225.00M
2013-12,39.00M,,,-2.00M,,,-2.00M,500.00M,500.00M,0.00,,,23.00M,0.00,13.00M,22.00M,,,35.00M,595.00M,-514.00M,,-569.00M,,,-3.00M,-517.00M,-130.00M,-130.00M,,-4.00M,-4.00M,,,37.00M,-1.00M,-98.00M,41.00M,-20.00M,21.00M,,213.00M,-343.00M,-4.00M,,179.00M
2013-09,-70.00M,,,8.00M,,,8.00M,493.00M,493.00M,56.00M,,,26.00M,-1.00M,-7.00M,33.00M,,,25.00M,538.00M,-1.079B,,-1.098B,,,-1.00M,-1.08B,507.00M,507.00M,,-1.00M,-1.00M,,,52.00M,-19.00M,539.00M,44.00M,-3.00M,41.00M,,1.859B,-1.352B,-1.00M,,214.00M
2013-06,-96.00M,,,-20.00M,,,61.00M,436.00M,436.00M,54.00M,,,51.00M,-15.00M,10.00M,-17.00M,,,-22.00M,484.00M,-409.00M,,-422.00M,,,-5.00M,-414.00M,-75.00M,-75.00M,,-5.00M,-5.00M,,,10.00M,-21.00M,-91.00M,65.00M,-21.00M,44.00M,,3.395B,-3.47B,-5.00M,,250.00M
2013-03,-42.00M,,,3.00M,,,45.00M,425.00M,425.00M,2.00M,,,25.00M,26.00M,-16.00M,76.00M,,,86.00M,541.00M,-423.00M,,-412.00M,,,-9.00M,-432.00M,-40.00M,-40.00M,,-5.00M,-5.00M,,,5.00M,-11.00M,-51.00M,7.00M,58.00M,65.00M,,1.315B,-1.355B,-5.00M,,120.00M
2012-12,-40.00M,,,,,,-19.00M,466.00M,466.00M,47.00M,,,32.00M,16.00M,4.00M,-21.00M,,,-1.00M,485.00M,-452.00M,,-449.00M,,,-6.00M,-458.00M,-870.00M,-870.00M,,-7.00M,-7.00M,,,2.00M,-13.00M,-888.00M,868.00M,-861.00M,7.00M,,1.477B,-2.347B,-7.00M,,257.00M
2012-09,-87.00M,,,,,,0.00,424.00M,424.00M,67.00M,,,23.00M,2.00M,-1.00M,40.00M,,,41.00M,468.00M,-466.00M,,-469.00M,,,-28.00M,-494.00M,901.00M,901.00M,,0.00,0.00,,,13.00M,-25.00M,889.00M,5.00M,863.00M,868.00M,,1.536B,-635.00M,0.00,,199.00M
2012-06,-83.00M,,,,,,59.00M,415.00M,415.00M,66.00M,,,10.00M,-24.00M,-3.00M,29.00M,,,2.00M,469.00M,-443.00M,,-468.00M,,,23.00M,-420.00M,-32.00M,-32.00M,,-1.00M,-1.00M,,,,-15.00M,-48.00M,4.00M,1.00M,5.00M,,1.348B,-1.38B,-1.00M,,232.00M
2012-03,-94.00M,,,,,,15.00M,408.00M,408.00M,70.00M,,,25.00M,40.00M,-8.00M,-2.00M,,,30.00M,454.00M,-352.00M,,-340.00M,,,-13.00M,-365.00M,-70.00M,-70.00M,,-3.00M,-3.00M,,,,-14.00M,-87.00M,2.00M,2.00M,4.00M,,1.469B,-1.539B,-3.00M,,216.00M
2011-12,,,,,,,19.00M,411.00M,411.00M,65.00M,,,316.00M,-19.00M,5.00M,-3.00M,,,-17.00M,425.00M,-258.00M,,-326.00M,,,-4.00M,-262.00M,261.00M,261.00M,,-410.00M,-410.00M,,,,-21.00M,-165.00M,32.00M,-2.00M,2.00M,,1.688B,-1.427B,-410.00M,,250.00M
2011-09,,,,,,,4.00M,405.00M,405.00M,70.00M,,,-68.00M,-10.00M,2.00M,2.00M,,,-6.00M,405.00M,-404.00M,,-393.00M,,,-6.00M,-410.00M,-39.00M,-39.00M,,-116.00M,-116.00M,,,,-2.00M,-157.00M,194.00M,-162.00M,32.00M,,240.00M,-279.00M,-116.00M,,247.00M
2011-06,,,,,,,53.00M,393.00M,393.00M,78.00M,,,-90.00M,-19.00M,3.00M,42.00M,,,26.00M,460.00M,-305.00M,,-324.00M,,,-8.00M,-313.00M,15.00M,15.00M,,0.00,0.00,,,,-22.00M,-7.00M,54.00M,140.00M,194.00M,,1.715B,-1.70B,0.00,,200.00M
2011-03,,,,,,,67.00M,383.00M,383.00M,77.00M,,,-91.00M,24.00M,-9.00M,-4.00M,,,11.00M,447.00M,-375.00M,,-356.00M,,,-6.00M,-381.00M,180.00M,180.00M,,-207.00M,-207.00M,,,,-17.00M,-44.00M,32.00M,22.00M,54.00M,,1.846B,-1.666B,-207.00M,,202.00M
2010-12,-237.00M,,,,,,46.00M,390.00M,390.00M,83.00M,,,186.00M,-6.00M,7.00M,37.00M,,,38.00M,506.00M,-253.00M,,-261.00M,,,45.00M,-208.00M,-924.00M,-924.00M,,-6.00M,-6.00M,0.00,0.00,,-1.00M,-931.00M,682.00M,-633.00M,4.00M,,358.00M,-1.282B,-6.00M,,174.00M
2010-09,57.00M,,,,,,3.00M,385.00M,385.00M,106.00M,,,-125.00M,8.00M,3.00M,4.00M,,,15.00M,441.00M,-299.00M,,-299.00M,,,-10.00M,-309.00M,561.00M,561.00M,,0.00,0.00,0.00,0.00,,-78.00M,483.00M,67.00M,615.00M,682.00M,,1.132B,-571.00M,0.00,,224.00M
2010-06,-81.00M,,,,,,31.00M,380.00M,380.00M,82.00M,,,23.00M,-26.00M,12.00M,30.00M,,,16.00M,451.00M,-324.00M,,-339.00M,,,1.00M,-323.00M,-176.00M,-176.00M,,0.00,0.00,-138.00M,-138.00M,,-1.00M,-315.00M,254.00M,-187.00M,67.00M,,1.625B,-1.801B,-138.00M,,185.00M
2010-03,24.00M,,,,,,1.00M,369.00M,369.00M,16.00M,,,24.00M,25.00M,0.00,71.00M,,,96.00M,530.00M,-325.00M,,-310.00M,,,-5.00M,-330.00M,-698.00M,-698.00M,,0.00,0.00,,,,-2.00M,-700.00M,754.00M,-500.00M,254.00M,,0.00,-698.00M,0.00,,152.00M
2009-09,-2.43B,,,,,,,327.00M,327.00M,-567.00M,2.854B,,42.00M,4.00M,7.00M,146.00M,,,157.00M,383.00M,-278.00M,,-279.00M,,,-4.00M,-282.00M,-18.00M,-18.00M,,,,0.00,0.00,,,-18.00M,992.00M,83.00M,1.075B,,0.00,-18.00M,0.00,,154.00M
2009-06,-159.00M,,,,,,,329.00M,329.00M,57.00M,,,41.00M,-27.00M,34.00M,163.00M,,,170.00M,438.00M,-263.00M,,-271.00M,,,-4.00M,-267.00M,-17.00M,-17.00M,,,,0.00,0.00,,2.00M,-15.00M,836.00M,156.00M,992.00M,,0.00,-17.00M,0.00,,310.00M
2009-03,-334.00M,,,,,,,321.00M,321.00M,59.00M,,,139.00M,34.00M,-78.00M,46.00M,,,2.00M,187.00M,-296.00M,,-269.00M,,,4.00M,-292.00M,-17.00M,-17.00M,,,,,,,-2.00M,-19.00M,960.00M,-124.00M,836.00M,,,-17.00M,,,221.00M
2008-12,-1.496B,,,,-5.00M,,24.00M,329.00M,329.00M,-276.00M,1.521B,,31.00M,24.00M,8.00M,-176.00M,,,-144.00M,-11.00M,-262.00M,,-264.00M,,,32.00M,-230.00M,676.00M,676.00M,,,,,,,-44.00M,632.00M,569.00M,391.00M,960.00M,,750.00M,-74.00M,,,606.00M
2008-09,-322.00M,,,,1.00M,,1.00M,332.00M,332.00M,55.00M,0.00,,22.00M,3.00M,-9.00M,160.00M,,,154.00M,242.00M,-288.00M,,-288.00M,,,10.00M,-278.00M,544.00M,544.00M,,,,,,,-2.00M,542.00M,63.00M,506.00M,569.00M,,590.00M,-46.00M,,,329.00M
2008-06,-274.00M,,,,2.00M,,2.00M,328.00M,328.00M,57.00M,,,-7.00M,-42.00M,2.00M,-102.00M,,,-142.00M,-36.00M,-326.00M,,-316.00M,,74.00M,-14.00M,-266.00M,-93.00M,-93.00M,,,,,,,-9.00M,-102.00M,467.00M,-404.00M,63.00M,,0.00,-93.00M,,,589.00M
2008-03,-359.00M,,,,2.00M,,2.00M,321.00M,321.00M,57.00M,,,62.00M,18.00M,-2.00M,105.00M,,,121.00M,204.00M,-365.00M,,-334.00M,,-74.00M,3.00M,-436.00M,624.00M,624.00M,,,,,,,,624.00M,75.00M,392.00M,467.00M,,1.765B,-1.141B,,,323.00M
2007-12,-386.00M,,,,,,-94.00M,329.00M,329.00M,37.00M,,,-19.00M,-3.00M,24.00M,-122.00M,,,-101.00M,0.00,-356.00M,-37.00M,-391.00M,,,190.00M,-203.00M,,229.00M,,,,,,,-10.00M,219.00M,59.00M,16.00M,75.00M,,,,,,
2007-09,-407.00M,,,,,,8.00M,334.00M,334.00M,38.00M,,,82.00M,-4.00M,-5.00M,163.00M,,,154.00M,209.00M,-311.00M,37.00M,-274.00M,,,-74.00M,-348.00M,,111.00M,,,,,,,6.00M,117.00M,81.00M,-22.00M,59.00M,,,,,,
2007-06,-360.00M,,,,,,22.00M,334.00M,334.00M,55.00M,,,19.00M,-66.00M,30.00M,-182.00M,,,-218.00M,-148.00M,-281.00M,,-281.00M,,,15.00M,-266.00M,,300.00M,,,,,,,-10.00M,290.00M,205.00M,-124.00M,81.00M,,,,,,
2007-03,-381.00M,,,,,,12.00M,331.00M,331.00M,68.00M,,,11.00M,37.00M,-4.00M,192.00M,,,225.00M,266.00M,-298.00M,,-298.00M,,,-23.00M,-321.00M,,220.00M,,,,,,,-20.00M,200.00M,60.00M,145.00M,205.00M,,,,,,
2006-12,-396.00M,,,,,,24.00M,330.00M,330.00M,79.00M,,,20.00M,-22.00M,32.00M,-92.00M,,,-82.00M,-25.00M,-266.00M,32.00M,-234.00M,,-42.00M,15.00M,-261.00M,,304.00M,,,,,,,-43.00M,261.00M,85.00M,-25.00M,60.00M,,,,,,
2006-09,-133.00M,,,,,,-235.00M,334.00M,334.00M,63.00M,,,-10.00M,16.00M,-6.00M,114.00M,,,124.00M,143.00M,-298.00M,979.00M,681.00M,,14.00M,54.00M,749.00M,,-892.00M,,,,,,,29.00M,-863.00M,56.00M,29.00M,85.00M,,,,,,
2006-06,-382.00M,,,,,,-75.00M,340.00M,340.00M,53.00M,,,134.00M,-31.00M,26.00M,-69.00M,,,-74.00M,-4.00M,-256.00M,0.00,-256.00M,,23.00M,-44.00M,-277.00M,,316.00M,,,,,,,-19.00M,297.00M,40.00M,16.00M,56.00M,,,,,,
2006-03,-459.00M,,,,,,92.00M,358.00M,358.00M,7.00M,,,52.00M,61.00M,3.00M,95.00M,,,159.00M,209.00M,-283.00M,9.00M,-274.00M,,5.00M,-7.00M,-276.00M,,96.00M,,,,,,,-10.00M,86.00M,21.00M,19.00M,40.00M,,,,,,
2005-12,-336.00M,,,,,,217.00M,365.00M,365.00M,38.00M,,,-188.00M,-26.00M,12.00M,60.00M,,,46.00M,142.00M,-273.00M,6.00M,-267.00M,,-14.00M,-15.00M,-296.00M,,212.00M,,,,,,,-3.00M,153.00M,22.00M,-1.00M,21.00M,,,,,,
2005-09,76.00M,,,,,,-440.00M,375.00M,375.00M,28.00M,,,35.00M,-4.00M,85.00M,-218.00M,,,-137.00M,-63.00M,-273.00M,30.00M,-243.00M,,0.00,-9.00M,-252.00M,,361.00M,,,,,,,-64.00M,297.00M,40.00M,-18.00M,22.00M,,,,,,
2005-06,-355.00M,,,,,,-97.00M,378.00M,378.00M,30.00M,,,153.00M,-44.00M,4.00M,-41.00M,,,-81.00M,28.00M,-331.00M,2.00M,-329.00M,,16.00M,29.00M,-284.00M,,264.00M,,,,,,,0.00,264.00M,32.00M,8.00M,40.00M,,,,,,
2005-03,-352.00M,,,,,,52.00M,381.00M,381.00M,13.00M,,,,45.00M,-4.00M,18.00M,,,59.00M,153.00M,-211.00M,6.00M,-205.00M,,-2.00M,14.00M,-193.00M,,-575.00M,,,,,,,-3.00M,-578.00M,650.00M,-618.00M,32.00M,,,,,,
2004-12,-339.00M,,,,,,318.00M,390.00M,390.00M,10.00M,,,-237.00M,-8.00M,-4.00M,-41.00M,,,-53.00M,89.00M,-328.00M,15.00M,-313.00M,,-2.00M,22.00M,-293.00M,,916.00M,,,,,,,-191.00M,725.00M,129.00M,521.00M,650.00M,,,,,,
2004-09,-3.294B,,,,,,3.018B,371.00M,371.00M,-216.00M,,,237.00M,0.00,-1.00M,100.00M,,,99.00M,215.00M,-249.00M,0.00,-249.00M,,-3.00M,29.00M,-223.00M,,13.00M,,,,,,,0.00,13.00M,124.00M,5.00M,129.00M,,,,,,
2004-06,-415.00M,,,,,,141.00M,364.00M,364.00M,43.00M,,,,-21.00M,10.00M,-69.00M,,,-80.00M,53.00M,-200.00M,4.00M,-196.00M,,-9.00M,-48.00M,-253.00M,,268.00M,,,,,,,-97.00M,171.00M,153.00M,-29.00M,124.00M,,,,,,
2004-03,-293.00M,,,,,,18.00M,370.00M,370.00M,54.00M,,,,22.00M,-7.00M,-49.00M,,,-34.00M,115.00M,-190.00M,725.00M,535.00M,,-3.00M,-6.00M,526.00M,,-615.00M,,,,,,,,-615.00M,127.00M,26.00M,153.00M,,,,,,
2003-12,-57.00M,,,,,,-80.00M,335.00M,335.00M,-24.00M,,,9.00M,0.00,-2.00M,-45.00M,,-9.00M,-56.00M,127.00M,-384.00M,,-293.00M,,-3.00M,107.00M,-189.00M,,63.00M,,,,,,,-9.00M,54.00M,135.00M,-8.00M,127.00M,,,,,,
2003-09,37.00M,,,,,,-173.00M,362.00M,362.00M,-28.00M,,,2.00M,28.00M,0.00,116.00M,,9.00M,153.00M,353.00M,-239.00M,,-239.00M,,-4.00M,1.00M,-242.00M,,-170.00M,,,,,,,-18.00M,-188.00M,212.00M,-77.00M,135.00M,,,,,,
2003-06,-37.00M,,,,,,-45.00M,386.00M,386.00M,-98.00M,,,-2.00M,16.00M,10.00M,-99.00M,-8.00M,,-81.00M,123.00M,-160.00M,,-160.00M,,-1.00M,6.00M,-155.00M,,-188.00M,,,,,,,-14.00M,-202.00M,446.00M,-234.00M,212.00M,,,,,,
2003-03,-181.00M,,,,,,-57.00M,370.00M,370.00M,40.00M,,,,26.00M,-3.00M,-41.00M,8.00M,,-10.00M,162.00M,-104.00M,,-104.00M,,-3.00M,-124.00M,-231.00M,,194.00M,,,,,,,,194.00M,321.00M,125.00M,446.00M,,,,,,
2002-12,-1.872B,,,,,,2.086B,375.00M,375.00M,-448.00M,,,,-18.00M,19.00M,84.00M,,3.00M,88.00M,226.00M,-634.00M,,-634.00M,0.00,-2.00M,98.00M,-538.00M,,124.00M,2.00M,,2.00M,,,,-1.00M,125.00M,508.00M,-187.00M,321.00M,2.00M,,,,,
2002-09,-265.83M,,,,,,305.06M,81.86M,81.86M,-12.00M,,,,-7.00M,5.529M,190.41M,,-3.00M,185.94M,295.02M,-474.10M,,-474.10M,-13.98M,-1.601M,-86.95M,-576.62M,,822.91M,-1.182M,,-1.182M,,,,-39.00M,782.73M,6.552M,501.13M,508.00M,-1.182M,,,,,
2002-06,-60.17M,,,,,,-349.06M,653.14M,653.14M,,,,,-12.00M,4.471M,-113.41M,2.00M,,-118.94M,124.98M,-678.90M,,-678.90M,-47.02M,-4.399M,85.95M,-644.38M,,467.09M,1.182M,,1.182M,,,,41.00M,509.27M,17.00M,-10.13M,6.552M,1.182M,,,,,
