,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2018-03,137.10M,,137.10M,688.60M,,688.60M,1.135B,,,99.70M,2.060B,,,,,,,,,889.00M,,,,80.30M,969.30M,3.030B,148.10M,42.10M,190.20M,199.70M,389.90M,,,,13.10M,,13.10M,,,,403.00M,391.90M,,391.90M,62.70M,62.70M,,454.60M,857.60M,2.90M,2.178B,13.70M,-23.10M,2.172B
2017-12,116.90M,,116.90M,607.80M,,607.80M,1.093B,0.00,,118.10M,1.936B,0.0,38.20M,308.20M,1.109B,,149.30M,1.605B,-711.30M,893.60M,,,,81.20M,974.80M,2.910B,147.50M,57.60M,205.10M,132.30M,337.40M,,,,3.00M,,3.00M,,,,351.00M,412.00M,,412.00M,50.60M,50.60M,,462.60M,813.60M,2.90M,2.111B,8.50M,-25.10M,2.097B
2017-09,133.40M,,133.40M,632.10M,,632.10M,1.047B,0.00,,117.70M,1.930B,,,,,,,,,889.30M,,,,82.10M,971.40M,2.902B,147.10M,6.60M,153.70M,198.70M,352.40M,,,,8.00M,,8.00M,,,,360.40M,432.00M,,432.00M,82.90M,82.90M,,514.90M,875.30M,2.90M,2.050B,1.30M,-28.10M,2.026B
2017-06,115.10M,,115.10M,613.50M,,613.50M,1.044B,0.00,,100.00M,1.873B,,,,,,,,,895.20M,,,,83.30M,978.50M,2.851B,141.20M,11.90M,153.10M,180.40M,333.50M,,,,8.80M,,8.80M,,,,342.30M,436.20M,,436.20M,81.40M,81.40M,,517.60M,859.90M,2.90M,2.024B,1.20M,-36.30M,1.992B
2017-03,134.30M,,134.30M,574.70M,,574.70M,1.007B,0.00,,94.30M,1.811B,,,,,,,,,890.70M,,,,85.00M,975.70M,2.786B,129.70M,65.50M,195.20M,163.50M,358.70M,,,,10.90M,,10.90M,,,,369.60M,354.10M,,354.10M,81.00M,81.00M,,435.10M,804.70M,2.90M,1.982B,41.50M,-44.40M,1.982B
2016-12,112.70M,,112.70M,499.70M,,499.70M,993.00M,12.90M,,102.50M,1.721B,0.0,37.30M,297.10M,1.012B,,152.50M,1.499B,-599.10M,899.70M,,,,48.40M,948.10M,2.669B,108.80M,43.40M,152.20M,104.30M,256.50M,,,,10.50M,,10.50M,,,,275.70M,379.50M,,379.50M,80.60M,80.60M,,460.10M,735.80M,2.90M,1.940B,37.40M,-47.30M,1.933B
2016-09,146.98M,,146.98M,543.74M,,543.74M,966.93M,0.00,,120.00M,1.778B,,,,,,,,,904.20M,,,,48.60M,952.81M,2.730B,117.76M,11.68M,129.44M,189.01M,318.46M,,,,12.61M,,12.61M,,,,331.06M,432.39M,,432.39M,57.72M,57.72M,,490.10M,821.17M,2.89M,1.912B,31.50M,-37.14M,1.909B
2016-06,155.46M,,155.46M,537.34M,,537.34M,985.08M,0.00,,113.02M,1.791B,,,,,,,,,859.49M,,,,48.74M,908.23M,2.699B,158.70M,8.318M,167.02M,176.56M,343.57M,,,,67.61M,,67.61M,,,,411.18M,362.39M,,362.39M,57.40M,57.40M,,419.79M,830.97M,2.89M,1.872B,27.70M,-34.24M,1.868B
2016-03,150.55M,,150.55M,533.48M,,533.48M,965.05M,0.00,,118.09M,1.767B,,,,,,,,,826.74M,,,,48.86M,875.60M,2.643B,158.50M,56.22M,214.71M,179.35M,394.06M,,,,7.61M,,7.61M,,,,401.67M,362.39M,,362.39M,56.84M,56.84M,,419.23M,820.90M,2.889M,1.827B,24.72M,-32.69M,1.822B
2015-12,129.02M,,129.02M,468.38M,,468.38M,913.26M,22.56M,,131.56M,1.665B,0.0,37.67M,271.30M,815.06M,,200.89M,1.325B,-506.03M,818.89M,,,,48.80M,867.69M,2.532B,125.97M,66.56M,192.54M,102.04M,294.57M,,,,62.05M,,62.05M,2.875M,2.875M,,373.17M,302.95M,,302.95M,55.06M,55.06M,,358.01M,731.17M,2.896M,1.843B,2.024M,-46.40M,1.801B
2015-09,111.78M,,111.78M,537.06M,,537.06M,883.21M,2.839M,20.43M,117.69M,1.673B,,,,,,,,,810.65M,,,,11.64M,822.29M,2.495B,131.98M,0.00,131.98M,194.79M,326.77M,,41.51M,,41.51M,,41.51M,,,,368.28M,273.49M,,273.49M,70.02M,70.02M,,343.51M,711.79M,2.897M,1.820B,1.031M,-40.23M,1.783B
2015-06,121.17M,,121.17M,537.65M,,537.65M,876.70M,,20.65M,107.21M,1.663B,,,,,,,,,805.85M,,,,11.70M,817.56M,2.481B,133.47M,1.132M,134.60M,182.40M,317.00M,,79.58M,,79.58M,,79.58M,,,,396.58M,250.42M,,250.42M,69.95M,69.95M,,320.37M,716.95M,2.902M,1.782B,2.934M,-23.50M,1.764B
2015-03,120.79M,,120.79M,521.09M,,521.09M,867.92M,,21.58M,97.56M,1.629B,,,,,,,,,783.15M,,,,11.84M,794.99M,2.424B,132.23M,66.19M,198.42M,168.94M,367.36M,,125.00M,,125.00M,,125.00M,,,,492.36M,,,,68.76M,68.76M,,68.76M,561.12M,2.94M,1.887B,0.00,-27.29M,1.863B
2014-12,114.50M,,114.50M,462.08M,,462.08M,869.22M,0.00,21.76M,115.70M,1.583B,0.0,36.51M,224.36M,695.22M,,237.64M,1.194B,-429.84M,763.89M,,,,11.95M,775.84M,2.359B,103.91M,66.16M,170.07M,100.70M,270.77M,,,,90.00M,,90.00M,3.125M,3.125M,,375.35M,,,,68.53M,68.53M,,68.53M,443.88M,2.959M,1.886B,33.74M,-7.836M,1.915B
2014-09,116.33M,0.00,116.33M,522.26M,,522.26M,836.38M,0.00,17.10M,127.33M,1.619B,,,,,,,,,741.49M,,,,12.10M,753.59M,2.373B,112.58M,8.181M,120.76M,182.14M,302.90M,,105.00M,,105.00M,,105.00M,,,,407.90M,,,,63.52M,63.52M,,63.52M,471.42M,2.965M,1.842B,56.73M,-0.12M,1.902B
2014-06,105.94M,0.453M,106.39M,502.33M,,502.33M,818.77M,0.00,17.28M,111.01M,1.556B,,,,,,,,,714.91M,,,,12.28M,727.19M,2.283B,109.49M,5.35M,114.84M,166.62M,281.46M,,70.00M,,70.00M,,70.00M,,,,351.46M,,,,63.39M,63.39M,,63.39M,414.85M,2.968M,1.783B,70.63M,11.65M,1.868B
2014-03,89.02M,0.453M,89.47M,473.18M,,473.18M,793.99M,0.00,17.89M,100.96M,1.475B,,,,,,,,,677.30M,,,,12.32M,689.61M,2.165B,105.70M,47.26M,152.96M,148.57M,301.53M,,,,,,,,,,301.53M,,,,63.26M,63.26M,,63.26M,364.78M,2.966M,1.727B,64.57M,6.266M,1.800B
2013-12,58.51M,0.451M,58.96M,414.33M,,414.33M,784.07M,24.87M,18.25M,107.99M,1.408B,0.0,36.64M,216.85M,618.23M,,148.17M,1.020B,-365.05M,654.85M,,,,12.47M,667.32M,2.076B,91.25M,47.78M,139.04M,86.14M,225.17M,,0.00,,0.00,,0.00,2.447M,2.447M,,239.83M,,,,63.26M,63.26M,,63.26M,303.09M,2.968M,1.689B,69.85M,11.10M,1.773B
2013-09,92.19M,0.441M,92.63M,453.65M,,453.65M,755.98M,0.00,13.82M,120.75M,1.437B,,,,,,,,,611.05M,,,,12.54M,623.59M,2.060B,105.13M,1.994M,107.12M,152.45M,259.57M,,,,,,,,,,259.57M,,,,51.21M,51.21M,,51.21M,310.78M,2.968M,1.664B,68.12M,14.75M,1.750B
2013-06,122.85M,0.437M,123.29M,436.45M,,436.45M,725.11M,0.00,14.59M,105.88M,1.405B,,,,,,,,,575.57M,,,,12.55M,588.12M,1.993B,89.75M,7.097M,96.85M,139.29M,236.14M,,,,,,,,,,236.14M,,,,51.25M,51.25M,,51.25M,287.39M,2.969M,1.619B,73.34M,11.08M,1.706B
2013-03,159.24M,0.417M,159.66M,418.73M,,418.73M,700.48M,0.00,14.08M,83.88M,1.377B,,,,,,,,,555.73M,,,,12.73M,568.46M,1.945B,75.33M,51.68M,127.01M,126.09M,253.10M,,,,,,,,,,253.10M,,,,51.34M,51.34M,,51.34M,304.43M,2.967M,1.557B,66.56M,14.35M,1.641B
2012-12,79.61M,0.354M,79.96M,372.16M,,372.16M,715.38M,7.368M,14.42M,97.36M,1.287B,0.0,31.83M,200.44M,519.74M,,88.07M,840.08M,-323.65M,516.43M,,,,12.75M,529.18M,1.816B,78.02M,38.56M,116.58M,76.28M,192.86M,0.20M,,,,,,,,,204.17M,,,,51.30M,51.30M,,51.30M,255.47M,2.966M,1.478B,61.44M,18.36M,1.560B
2012-09,195.60M,27.23M,222.83M,411.03M,,411.03M,675.83M,,13.06M,100.13M,1.423B,,,,,,,,,483.94M,,,,12.89M,496.82M,1.920B,84.88M,7.955M,92.84M,123.18M,216.02M,,,,,,,,,,216.02M,,,,39.32M,39.32M,,39.32M,255.33M,2.963M,1.589B,53.04M,19.00M,1.664B
2012-06,185.92M,27.17M,213.08M,399.99M,,399.99M,662.69M,,13.74M,88.59M,1.378B,,,,,,,,,459.65M,,,,13.00M,472.65M,1.851B,81.24M,9.997M,91.24M,119.28M,210.52M,,,,,,,,,,210.52M,,,,39.33M,39.33M,,39.33M,249.85M,2.962M,1.536B,47.25M,14.34M,1.601B
2012-03,198.88M,27.19M,226.07M,386.88M,,386.88M,647.89M,,14.84M,74.30M,1.350B,,,,,,,,,450.24M,,,,13.12M,463.36M,1.813B,76.11M,47.02M,123.13M,113.10M,236.23M,,,,,,,,,,236.23M,,,,38.14M,38.14M,,38.14M,274.36M,0.00,1.474B,46.84M,17.76M,1.539B
2011-12,117.68M,27.16M,144.84M,338.59M,,338.59M,646.15M,0.00,16.72M,89.83M,1.236B,0.0,31.35M,172.37M,449.92M,,71.47M,725.10M,-289.50M,435.60M,,,,13.21M,448.81M,1.685B,73.78M,28.75M,102.53M,76.83M,179.36M,0.743M,,,,,,,,,187.82M,,,,38.15M,38.15M,,38.15M,225.97M,2.953M,1.424B,16.86M,14.80M,1.459B
2011-09,111.05M,26.20M,137.25M,361.08M,,361.08M,618.15M,,16.50M,84.39M,1.217B,,,,,,,,,420.39M,,,0.00,13.27M,433.66M,1.651B,86.84M,23.46M,110.30M,108.57M,218.87M,,,,,,,,,,218.87M,,,,23.32M,23.32M,,23.32M,242.19M,2.952M,1.378B,14.32M,13.33M,1.409B
2011-06,89.41M,26.24M,115.65M,357.20M,,357.20M,608.66M,,17.41M,72.90M,1.172B,,,,,,,,,396.46M,,,0.00,13.60M,410.06M,1.582B,83.12M,20.85M,103.97M,100.43M,204.39M,,,,,,,,,,204.39M,,,,23.31M,23.31M,,23.31M,227.70M,0.00,1.320B,12.99M,21.39M,1.354B
2011-03,124.85M,26.21M,151.06M,325.68M,,325.68M,576.45M,,17.95M,61.78M,1.133B,,,,,,,,,373.50M,,,4.548M,13.65M,391.69M,1.525B,68.52M,48.52M,117.04M,92.48M,209.52M,,,,,,,,,,209.52M,,,,23.58M,23.58M,,23.58M,233.10M,1.474M,1.264B,5.263M,20.76M,1.292B
2010-12,143.69M,26.07M,169.76M,270.13M,,270.13M,557.37M,0.00,17.90M,70.54M,1.086B,0.0,31.54M,209.41M,344.83M,,46.56M,632.33M,-268.91M,363.42M,,,5.152M,14.01M,382.58M,1.468B,60.47M,5.299M,65.77M,96.41M,162.18M,,,,,,,,,,162.18M,,,,23.59M,23.59M,,23.59M,185.77M,1.474M,1.258B,4.363M,18.49M,1.283B
2010-06,196.39M,24.46M,220.86M,280.82M,,280.82M,522.21M,,14.76M,49.83M,1.088B,,,,,,,,,344.46M,,,5.197M,3.707M,353.37M,1.442B,71.44M,8.941M,80.38M,85.79M,166.16M,,,,,,,,,,166.16M,,,,16.82M,16.82M,,16.82M,182.99M,1.474M,1.242B,2.333M,13.19M,1.259B
2010-03,178.82M,24.44M,203.26M,262.46M,,262.46M,507.24M,0.00,12.91M,43.31M,1.029B,,,,,,,,,332.10M,,,5.21M,3.779M,341.09M,1.370B,65.78M,21.80M,87.58M,74.73M,162.31M,,,,,,,,,,162.31M,,,,17.00M,17.00M,,17.00M,179.31M,1.474M,1.173B,1.333M,15.46M,1.191B
2009-12,164.85M,24.40M,189.25M,214.17M,,214.17M,508.40M,11.66M,12.92M,45.96M,982.36M,0.0,31.00M,206.68M,317.87M,,15.91M,571.47M,-236.46M,335.00M,,,6.238M,3.752M,344.99M,1.327B,53.49M,0.00,53.49M,66.02M,119.51M,,,,,,,,,,119.51M,,,,17.01M,17.01M,,17.01M,136.52M,1.474M,1.176B,0.333M,13.40M,1.191B
2009-09,193.74M,1.295M,195.04M,239.32M,,239.32M,498.11M,,19.00M,46.63M,998.09M,,,,,,,,,330.44M,,,5.551M,3.686M,339.67M,1.338B,61.35M,5.175M,66.53M,72.22M,138.74M,,,,,,,,,,138.74M,,,,13.88M,13.88M,,13.88M,152.62M,1.485M,1.167B,4.409M,12.12M,1.185B
2009-06,173.67M,0.916M,174.58M,228.26M,,228.26M,519.12M,,18.97M,48.07M,989.00M,,,,,,,,,335.23M,,,0.805M,3.65M,339.69M,1.329B,54.46M,1.952M,56.42M,71.54M,127.95M,,,,,,,,,,127.95M,,,,13.89M,13.89M,,13.89M,141.84M,1.485M,1.174B,3.459M,7.409M,1.187B
2009-03,109.87M,0.899M,110.77M,240.66M,,240.66M,555.28M,,15.91M,44.96M,967.58M,,,,,,,,,330.61M,,,0.817M,3.638M,335.07M,1.303B,51.00M,26.89M,77.89M,73.55M,151.44M,,,,,,,,,,151.44M,,,,13.90M,13.90M,,13.90M,165.34M,1.485M,1.131B,2.459M,2.414M,1.137B
2008-12,85.89M,0.851M,86.74M,244.94M,,244.94M,564.25M,0.00,15.91M,63.56M,975.40M,0.0,30.70M,145.34M,335.10M,,27.66M,538.80M,-214.62M,324.18M,,,0.846M,3.718M,328.75M,1.304B,63.95M,0.499M,64.45M,83.54M,147.99M,,,,,,,,,,147.99M,,,,13.90M,13.90M,,13.90M,161.89M,1.485M,1.134B,1.559M,4.971M,1.142B
2008-09,52.11M,0.228M,52.34M,309.18M,,309.18M,537.64M,,16.02M,65.85M,981.03M,,,,,,,511.52M,-188.87M,322.66M,,,,5.201M,327.86M,1.309B,74.70M,,74.70M,90.18M,164.88M,,,,,,,,,7.123M,172.01M,,,,15.11M,15.11M,,15.11M,187.12M,1.485M,1.112B,0.625M,7.855M,1.122B
2008-06,76.44M,0.678M,77.12M,292.06M,,292.06M,507.99M,,14.70M,67.16M,959.02M,,,,,,,495.26M,-188.87M,306.40M,,,,5.245M,311.64M,1.271B,67.24M,,67.24M,77.00M,144.24M,,,,,,,,,2.645M,146.89M,,,,15.11M,15.11M,,15.11M,162.00M,1.489M,1.096B,,11.42M,1.109B
2008-03,75.21M,0.207M,75.42M,273.36M,,273.36M,494.36M,,14.70M,60.53M,918.38M,,,,,,,487.42M,-188.87M,298.55M,,,,5.647M,304.20M,1.223B,59.57M,,59.57M,66.69M,126.26M,,,,,,,,,40.85M,167.11M,,,,15.11M,15.11M,,15.11M,182.22M,1.491M,1.027B,0.90M,11.10M,1.040B
2007-12,57.22M,0.159M,57.38M,236.33M,,236.33M,504.59M,,14.70M,67.77M,880.77M,0.0,23.39M,126.09M,293.28M,,22.72M,465.49M,-188.87M,276.63M,,,,5.663M,282.29M,1.163B,55.35M,,55.35M,75.56M,130.92M,,,,,,,,,6.873M,137.79M,,,,15.11M,15.11M,,15.11M,152.90M,1.491M,996.05M,0.227M,12.39M,1.010B
2007-09,54.14M,4.46M,58.60M,258.74M,,258.74M,488.82M,,11.43M,59.11M,876.70M,,,,,,,426.38M,-159.09M,267.29M,,,,5.785M,273.07M,1.150B,54.97M,,54.97M,69.23M,124.20M,,,,,,,,,3.962M,128.16M,,,,14.00M,14.00M,,14.00M,142.16M,1.503M,989.40M,0.227M,16.48M,1.008B
2007-06,57.33M,4.145M,61.48M,255.10M,,255.10M,471.56M,,11.43M,57.18M,856.75M,,,,,,,425.45M,-159.09M,266.36M,,,,5.92M,272.28M,1.129B,57.45M,,57.45M,66.03M,123.48M,,,,,,,,,5.857M,129.34M,,,,14.00M,14.00M,,14.00M,143.34M,1.506M,972.12M,0.383M,11.68M,985.69M
2007-03,59.39M,9.924M,69.31M,238.66M,,238.66M,446.19M,,11.71M,57.04M,822.91M,,,,,,,425.00M,-159.09M,265.90M,,,,6.373M,272.28M,1.095B,44.81M,,44.81M,61.92M,106.73M,,,,,,,,,33.34M,140.08M,,,,13.03M,13.03M,,13.03M,153.10M,1.511M,925.00M,9.263M,6.309M,942.08M
2006-12,19.35M,10.84M,30.18M,209.53M,,209.53M,456.00M,,11.71M,60.36M,767.78M,0.0,21.85M,123.90M,267.87M,,9.495M,423.12M,-159.09M,264.03M,,,,7.21M,271.24M,1.039B,41.37M,,41.37M,61.54M,102.92M,,,,,,,,,0.981M,103.90M,,,,13.03M,13.03M,,13.03M,116.92M,1.512M,902.55M,12.70M,5.334M,922.09M
2006-09,7.438M,6.305M,13.74M,232.09M,,232.09M,418.70M,,9.534M,50.03M,724.09M,,,,,,,394.61M,-132.88M,261.73M,,,,11.45M,273.18M,997.27M,48.51M,,48.51M,59.27M,107.78M,,,,,,,,,0.059M,107.84M,,,,17.03M,17.03M,,17.03M,124.87M,1.51M,856.98M,5.803M,8.109M,872.40M
2006-06,42.79M,7.027M,49.82M,228.06M,1.618M,229.68M,395.03M,,9.534M,39.94M,724.00M,,,,,,,378.86M,-132.88M,245.98M,,,,10.55M,256.53M,980.53M,55.77M,,55.77M,57.48M,113.25M,,,,,,,,,,113.25M,,,,17.03M,17.03M,,17.03M,130.28M,1.51M,836.60M,3.765M,8.377M,850.25M
2006-03,69.12M,0.781M,69.90M,212.52M,,212.52M,371.10M,,9.925M,36.73M,700.17M,,,,,,,369.53M,-132.88M,236.66M,,,,16.55M,253.20M,953.37M,54.84M,,54.84M,51.09M,105.93M,,,,,,,,,29.99M,135.92M,,,,16.08M,16.08M,,16.08M,152.00M,1.511M,794.24M,0.168M,5.448M,801.37M
2005-12,56.20M,0.669M,56.87M,183.56M,,183.56M,361.56M,,9.925M,37.09M,649.01M,0.0,19.65M,106.39M,217.37M,,13.92M,357.33M,-132.88M,224.45M,,,,16.58M,241.03M,890.04M,38.57M,,38.57M,50.26M,88.83M,,,,,,,,,2.708M,91.54M,,,,14.95M,14.95M,,14.95M,106.49M,1.511M,776.60M,,5.44M,783.55M
2005-09,32.03M,0.28M,32.31M,204.34M,,204.34M,352.09M,,6.494M,26.16M,621.39M,,,,,,,328.05M,-118.08M,209.97M,,,,16.83M,226.80M,848.19M,40.98M,,40.98M,43.05M,84.03M,,,,,,,,,1.178M,85.21M,,,,14.68M,14.68M,,14.68M,99.89M,0.755M,738.19M,,9.357M,748.30M
2005-06,39.64M,2.248M,41.89M,195.12M,,195.12M,333.50M,,6.494M,17.46M,594.47M,,,,,,,322.43M,-118.08M,204.35M,,,,21.54M,225.89M,820.37M,43.55M,,43.55M,37.35M,80.91M,,,,,,,,,4.076M,84.98M,,,,14.68M,14.68M,,14.68M,99.66M,0.755M,715.63M,,4.317M,720.70M
2005-03,66.00M,2.487M,68.48M,183.43M,,183.43M,310.40M,,6.494M,20.29M,589.10M,,,,315.41M,,,315.41M,-118.08M,197.33M,,,,21.99M,219.32M,808.42M,43.11M,,43.11M,34.98M,78.09M,,,,,,,,,19.20M,97.29M,,,,14.68M,14.68M,,14.68M,111.98M,0.759M,676.03M,13.69M,5.962M,696.44M
2004-12,33.50M,5.496M,39.00M,162.50M,,162.50M,307.33M,,6.494M,27.87M,543.19M,0.0,15.97M,83.63M,190.06M,,21.86M,311.52M,-118.08M,193.45M,,,,38.72M,232.17M,775.36M,39.28M,,39.28M,36.76M,76.04M,,,,,,,,,0.274M,76.31M,,,,14.68M,14.68M,,14.68M,90.99M,1.518M,662.52M,12.93M,7.40M,684.37M
2004-09,26.03M,7.583M,33.62M,170.26M,,170.26M,289.91M,,4.154M,22.07M,520.02M,,,,,,,282.49M,-96.77M,185.72M,,,,39.42M,225.14M,745.15M,47.24M,,47.24M,29.44M,76.68M,,,,,,,,,9.566M,86.25M,,,,13.86M,13.86M,,13.86M,100.11M,0.759M,629.25M,9.445M,5.593M,645.04M
2004-06,42.70M,19.66M,62.36M,163.95M,,163.95M,262.03M,,4.154M,16.82M,509.30M,,,,,,,274.38M,-96.77M,177.61M,,,,40.86M,218.47M,727.78M,48.26M,,48.26M,28.33M,76.59M,,,,,,,,,10.89M,87.48M,,,,13.86M,13.86M,,13.86M,101.34M,0.759M,613.48M,9.445M,2.761M,626.44M
2004-03,53.09M,22.60M,75.69M,151.19M,,151.19M,240.93M,,4.154M,14.71M,486.68M,,,,,,,268.62M,-96.77M,171.85M,,,,31.70M,203.55M,690.23M,42.88M,,42.88M,,42.88M,,,,24.50M,,24.50M,,,15.98M,83.36M,,,,13.86M,13.86M,,13.86M,97.22M,0.759M,578.64M,9.445M,4.16M,593.01M
2003-12,49.75M,21.14M,70.89M,128.76M,,128.76M,232.88M,,4.154M,17.51M,454.20M,0.0,12.90M,69.22M,166.49M,,17.71M,266.32M,-96.77M,169.55M,,,,27.79M,197.35M,651.54M,40.12M,,40.12M,20.82M,60.94M,,,,,,,,,,60.94M,,,,13.86M,13.86M,,13.86M,74.80M,0.759M,561.88M,9.445M,4.658M,576.74M
