,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-03,201.02M,201.02M,96.41M,104.60M,71.56M,-0.085M,,,,,71.56M,33.05M,,,,-0.085M,,33.61M,12.87M,20.74M,20.74M,20.79M,36.38M,3.33M,33.05M,0.0344,0.0,,0.0345,0.0344,0.0344,0.0,,0.0345,0.0344,607.02M,607.02M,0.0056
2000-12,187.96M,187.96M,86.39M,101.57M,68.02M,-0.011M,,,,,71.34M,30.23M,,,,-0.011M,,30.79M,11.88M,18.91M,18.91M,18.91M,33.55M,3.317M,30.23M,0.0312,0.0,,0.0313,0.0312,0.0311,,,0.0312,0.0311,607.02M,607.02M,0.0
2000-09,192.92M,192.92M,89.44M,103.49M,66.88M,-0.032M,,,,,69.91M,33.58M,,,,-0.032M,,33.88M,13.08M,20.80M,20.80M,20.82M,36.60M,3.027M,33.58M,0.0344,0.0,,0.0344,0.0344,0.0344,0.0,,0.0344,0.0344,607.02M,607.02M,0.0
2000-06,188.59M,188.59M,88.01M,100.58M,63.95M,-0.041M,,,,,66.86M,33.71M,,,,-0.041M,,34.16M,13.19M,20.98M,20.98M,21.00M,36.63M,2.916M,33.71M,0.0344,0.0,,0.0344,0.0344,0.0344,0.0,,0.0344,0.0344,607.02M,607.02M,0.0
2000-03,176.27M,176.27M,81.36M,94.90M,60.15M,-0.078M,,,,,62.87M,32.04M,,,,-0.078M,,32.60M,12.55M,20.05M,20.05M,20.09M,34.75M,2.717M,32.04M,0.0331,0.0,,0.0332,0.0331,0.0331,0.0,,0.0332,0.0331,607.02M,607.02M,0.005
1999-12,155.30M,155.30M,71.40M,83.90M,55.60M,-0.10M,,,,,58.30M,25.60M,,,,-0.10M,,25.80M,9.90M,15.90M,15.90M,15.96M,28.30M,2.70M,25.60M,0.0262,0.0,,0.0264,0.0262,0.0262,0.0,,0.0264,0.0262,610.69M,610.69M,0.0
1999-09,159.40M,159.40M,73.20M,86.20M,55.70M,0.10M,,,,,58.60M,27.60M,,,,0.10M,,27.80M,10.70M,17.10M,17.10M,17.04M,30.50M,2.90M,27.60M,0.0281,0.0,,0.028,0.0281,0.0281,0.0,,0.028,0.0281,608.00M,608.00M,0.0
1999-06,153.90M,153.90M,69.60M,84.30M,53.60M,0.30M,,,,,56.90M,27.40M,,,,0.30M,,27.80M,10.70M,17.10M,17.10M,16.92M,30.75M,3.349M,27.40M,0.0281,0.0,,0.0278,0.0281,0.0281,0.0,,0.0278,0.0281,608.00M,608.00M,0.0
1999-03,140.63M,140.63M,63.79M,76.84M,48.67M,0.014M,,,,,51.72M,25.12M,,,,0.014M,,25.08M,9.663M,15.42M,15.42M,15.41M,28.17M,3.051M,25.12M,0.0256,0.0,,0.0256,0.0256,0.0256,0.0,,0.0256,0.0256,601.56M,601.56M,0.0025
1998-12,128.60M,128.60M,59.10M,69.50M,45.80M,,,,,,49.10M,20.40M,,,,,,20.50M,7.90M,12.60M,12.60M,12.60M,23.70M,3.30M,20.40M,0.0206,0.0,,0.0206,0.0206,0.0206,0.0,,0.0206,0.0206,615.74M,615.74M,0.0
1998-09,131.30M,131.30M,58.90M,72.40M,46.40M,,,,,,49.30M,23.10M,,,,,,22.80M,8.80M,14.00M,14.00M,14.00M,26.00M,2.90M,23.10M,0.0231,0.0,,0.0231,0.0231,0.0231,0.0,,0.0231,0.0231,605.41M,605.41M,0.0
1998-06,126.40M,126.40M,56.90M,69.50M,43.80M,,,,,,46.40M,23.10M,,,,,,22.80M,8.80M,14.00M,14.00M,14.00M,25.70M,2.60M,23.10M,0.0231,0.0,,0.0231,0.0231,0.0231,0.0,,0.0231,0.0231,605.41M,605.41M,0.0
