,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,174.30M,0.40M,0.40M,32.40M,1.00M,33.40M,33.40M,12.10M,1.30M,1.40M,,2.70M,-82.40M,-41.20M,6.30M,18.40M,,35.70M,-63.20M,159.70M,-31.50M,2.70M,-28.80M,,,-0.10M,-28.90M,-10.00M,-10.00M,,,,-106.40M,-106.40M,3.80M,,-112.60M,116.90M,18.20M,2.00M,137.10M,,180.00M,-190.00M,,9.60M,2.70M
2017-12,152.40M,0.10M,0.10M,31.30M,1.00M,32.30M,32.30M,-32.30M,2.00M,1.20M,,3.20M,22.50M,-45.10M,-4.30M,-0.40M,,0.90M,-26.40M,129.30M,-37.20M,1.20M,-36.00M,0.00,,-5.10M,-41.10M,-20.00M,-20.00M,,0.00,0.00,-92.00M,-92.00M,6.00M,,-106.00M,133.40M,-17.80M,1.30M,116.90M,,210.00M,-230.00M,0.00,80.30M,2.60M
2017-09,143.10M,-0.10M,-0.10M,31.50M,1.00M,32.50M,32.50M,1.50M,2.20M,1.20M,,3.40M,-18.20M,0.90M,24.20M,-17.70M,,-7.00M,-17.80M,162.60M,-25.30M,1.60M,-23.70M,0.00,,-4.80M,-28.50M,0.00,0.00,,-25.90M,-25.90M,-92.00M,-92.00M,0.20M,,-117.70M,115.10M,16.40M,1.90M,133.40M,,255.00M,-255.00M,-25.90M,360.90M,9.60M
2017-06,148.90M,-0.60M,-0.60M,30.90M,1.00M,31.90M,31.90M,0.40M,1.80M,1.60M,,3.40M,-38.00M,-33.50M,29.30M,-5.70M,,-53.20M,-101.10M,82.90M,-36.20M,2.50M,-33.70M,-0.80M,,-0.10M,-34.60M,80.00M,80.00M,,-56.70M,-56.70M,-92.50M,-92.50M,0.40M,,-68.80M,134.30M,-20.50M,1.30M,115.10M,,310.00M,-230.00M,-56.70M,-137.10M,-5.00M
2017-03,134.20M,-0.40M,-0.40M,29.90M,0.80M,30.70M,30.70M,0.40M,2.20M,1.20M,,3.40M,-70.00M,1.40M,24.70M,8.20M,,77.80M,42.10M,210.40M,-21.20M,2.10M,-19.10M,-57.90M,,1.90M,-75.10M,-25.00M,-25.00M,,,,-92.60M,-92.60M,2.90M,,-114.70M,112.70M,20.60M,1.00M,134.30M,,240.00M,-265.00M,,,1.50M
2016-12,114.80M,-0.20M,-0.20M,29.00M,0.10M,29.10M,29.10M,22.90M,2.00M,1.20M,,3.20M,39.90M,-29.90M,-41.40M,17.50M,,-22.90M,-36.80M,133.00M,-27.50M,1.90M,-25.60M,0.00,,-4.90M,-30.50M,-50.00M,-50.00M,,0.00,0.00,-86.70M,-86.70M,4.30M,,-132.40M,147.00M,-29.90M,-4.40M,112.70M,,190.00M,-240.00M,0.00,67.10M,1.80M
2016-09,126.90M,-0.20M,-0.20M,26.60M,0.10M,26.70M,26.70M,0.40M,2.70M,1.20M,,3.90M,-9.80M,17.10M,-28.60M,-6.90M,,3.90M,-24.30M,133.40M,-73.30M,1.60M,-71.70M,0.00,,0.00,-71.70M,15.00M,15.00M,,0.00,0.00,-86.70M,-86.70M,2.60M,,-69.10M,155.40M,-7.40M,-1.00M,147.00M,,325.00M,-310.00M,0.00,70.30M,1.50M
2016-06,131.50M,-0.20M,-0.20M,24.60M,0.20M,24.80M,24.80M,0.50M,1.80M,0.70M,,2.50M,-6.20M,-21.00M,-2.50M,5.00M,,-47.40M,-72.10M,87.00M,-59.00M,2.10M,-56.90M,0.00,,-0.10M,-57.00M,60.00M,60.00M,,0.00,0.00,-86.70M,-86.70M,1.90M,,-24.80M,150.60M,5.20M,-0.40M,155.40M,,255.00M,-195.00M,0.00,110.90M,1.50M
2016-03,126.20M,0.10M,0.10M,23.30M,0.10M,23.40M,23.40M,1.80M,2.10M,1.00M,,3.10M,-64.40M,-47.10M,26.70M,13.50M,,83.20M,11.90M,166.50M,-29.70M,0.90M,-28.80M,0.00,,-0.10M,-28.90M,5.00M,5.00M,,-59.50M,-59.50M,-86.50M,-86.50M,20.50M,,-120.50M,129.00M,17.10M,4.50M,150.60M,,180.00M,-175.00M,-59.50M,,1.40M
2015-12,111.94M,-0.741M,-0.741M,25.60M,0.105M,25.70M,25.70M,5.478M,2.032M,1.159M,1.756M,4.947M,67.82M,-23.18M,-17.16M,-13.82M,,-12.68M,0.983M,148.32M,-35.74M,3.204M,-32.53M,,,-11.72M,-67.75M,35.00M,35.00M,,-19.41M,-19.41M,-81.12M,-81.12M,9.811M,-1.756M,-57.47M,111.78M,23.09M,-5.77M,129.00M,,250.00M,-215.00M,-19.41M,78.53M,1.004M
2015-09,136.49M,-0.161M,-0.161M,21.20M,0.132M,21.34M,21.34M,0.295M,1.962M,1.20M,-0.482M,2.68M,-4.868M,-12.01M,10.90M,-10.48M,,-3.359M,-19.81M,140.83M,-31.44M,2.584M,-28.86M,,,-0.062M,-28.92M,-15.00M,-15.00M,,-23.06M,-23.06M,-81.25M,-81.25M,2.378M,0.482M,-116.45M,121.17M,-4.541M,-4.85M,111.78M,,175.00M,-190.00M,-23.06M,85.58M,0.941M
2015-06,140.36M,-0.39M,-0.39M,19.88M,0.131M,20.01M,20.01M,2.111M,1.923M,1.821M,-0.823M,2.921M,-17.49M,-7.464M,14.69M,-9.644M,,-64.06M,-83.96M,81.05M,-44.10M,2.449M,-41.65M,,,0.003M,-41.65M,205.00M,205.00M,,-168.56M,-168.56M,-81.89M,-81.89M,4.831M,0.823M,-39.80M,120.79M,-0.393M,0.769M,121.17M,,615.00M,-410.00M,-168.56M,146.60M,0.797M
2015-03,127.61M,-0.108M,-0.108M,19.41M,0.132M,19.54M,19.54M,0.416M,2.883M,1.62M,-0.451M,4.052M,-66.06M,-5.151M,23.27M,18.14M,,58.40M,28.60M,180.10M,-43.92M,1.663M,-42.26M,,,-0.023M,-42.28M,35.00M,35.00M,,-81.86M,-81.86M,-82.85M,-82.85M,2.08M,0.451M,-127.18M,114.50M,10.64M,-4.349M,120.79M,,175.00M,-140.00M,-81.86M,16.29M,0.358M
2014-12,118.39M,-0.242M,-0.242M,18.67M,0.132M,18.80M,18.80M,0.346M,3.051M,2.419M,-0.169M,5.301M,52.94M,-35.31M,-17.13M,11.84M,,11.51M,23.85M,166.45M,-45.93M,1.665M,-44.26M,,0.00,0.021M,-49.82M,-15.00M,-15.00M,,-26.24M,-26.24M,-74.04M,-74.04M,0.661M,0.169M,-114.45M,116.33M,2.184M,-4.017M,114.50M,,165.00M,-180.00M,-26.24M,82.06M,0.324M
2014-09,133.31M,-0.31M,-0.31M,18.29M,0.132M,18.42M,18.42M,0.314M,3.008M,1.62M,-0.437M,4.191M,-22.94M,-17.61M,18.61M,-16.32M,,-7.647M,-45.91M,110.01M,-45.99M,1.434M,-44.55M,,0.453M,0.046M,-44.05M,35.00M,35.00M,,-17.85M,-17.85M,-74.19M,-74.19M,1.893M,0.437M,-54.71M,105.94M,11.25M,-0.857M,116.33M,,160.00M,-125.00M,-17.85M,76.10M,0.271M
2014-06,130.51M,-0.196M,-0.196M,17.91M,0.131M,18.04M,18.04M,0.744M,2.625M,1.62M,-0.938M,3.307M,-31.77M,-24.78M,29.85M,-10.05M,,-36.02M,-72.78M,79.63M,-65.00M,1.666M,-63.33M,,0.00,-0.091M,-63.42M,70.00M,70.00M,,0.00,0.00,-74.16M,-74.16M,3.502M,0.938M,0.28M,89.02M,16.49M,0.429M,105.94M,,240.00M,-170.00M,0.00,99.35M,0.25M
2014-03,111.93M,-0.216M,-0.216M,17.28M,0.132M,17.41M,17.41M,0.356M,2.796M,1.38M,-0.55M,3.626M,-61.65M,-9.919M,6.434M,7.031M,,68.29M,10.19M,143.30M,-32.56M,1.054M,-31.51M,,-0.002M,0.022M,-31.49M,0.00,0.00,,-8.847M,-8.847M,-74.19M,-74.19M,1.641M,0.55M,-80.85M,58.51M,30.96M,-0.444M,89.02M,,140.00M,-140.00M,-8.847M,,0.07M
2013-12,99.23M,-0.075M,-0.075M,16.56M,0.131M,16.69M,16.69M,7.61M,2.334M,1.35M,-0.105M,3.579M,36.99M,-28.08M,-17.75M,12.76M,,-30.10M,-26.18M,100.85M,-60.98M,0.699M,-60.28M,,-0.01M,-0.066M,-60.36M,0.00,0.00,,0.00,0.00,-74.24M,-74.24M,0.267M,0.105M,-73.86M,92.19M,-33.38M,-0.308M,58.51M,,160.00M,-160.00M,0.00,78.21M,0.052M
2013-09,119.35M,-0.112M,-0.112M,16.24M,0.132M,16.38M,16.38M,0.739M,2.751M,1.35M,-0.589M,3.512M,-19.95M,-30.88M,28.54M,-14.87M,,-1.291M,-38.46M,101.41M,-53.00M,1.387M,-51.61M,,-0.004M,-0.116M,-51.73M,0.00,0.00,,-9.08M,-9.08M,-74.22M,-74.22M,1.921M,0.589M,-80.79M,122.85M,-31.11M,0.449M,92.19M,,70.00M,-70.00M,-9.08M,71.69M,0.024M
2013-06,121.01M,-0.243M,-0.243M,15.82M,0.132M,15.95M,15.95M,-0.599M,2.291M,1.35M,-1.139M,2.502M,-20.01M,-24.62M,27.62M,-21.99M,,-46.00M,-85.00M,53.62M,-37.05M,1.637M,-35.41M,,-0.02M,0.04M,-35.39M,0.00,0.00,,0.00,0.00,-59.34M,-59.34M,4.297M,1.139M,-53.90M,159.24M,-35.67M,-0.715M,122.85M,,10.00M,-10.00M,0.00,114.21M,0.003M
2013-03,109.05M,-0.213M,-0.213M,15.15M,0.026M,15.18M,15.18M,0.379M,2.045M,1.35M,-0.954M,2.441M,-48.62M,14.90M,-2.756M,13.48M,,56.41M,33.41M,160.24M,-55.51M,1.267M,-54.25M,,-0.063M,-0.003M,-54.31M,0.00,0.00,,0.00,0.00,-29.66M,-29.66M,2.821M,0.954M,-25.89M,79.61M,80.04M,-0.416M,159.24M,,20.00M,-20.00M,0.00,6.502M,0.034M
2012-12,98.72M,-0.137M,-0.137M,14.31M,0.148M,14.45M,14.45M,10.62M,2.486M,1.35M,-1.192M,2.644M,36.39M,-39.56M,-3.887M,2.773M,,-14.82M,-19.11M,107.20M,-50.08M,3.422M,-46.66M,,26.87M,-0.011M,-19.80M,0.00,0.00,,0.00,0.00,-210.50M,-210.50M,5.859M,1.192M,-203.44M,195.60M,-116.05M,0.055M,79.61M,,0.00,0.00,0.00,84.19M,0.00
2012-09,109.32M,-0.158M,-0.158M,13.44M,0.148M,13.59M,13.59M,0.663M,2.449M,1.35M,-0.854M,2.945M,-13.49M,-13.14M,7.539M,-11.54M,,2.938M,-27.69M,98.66M,-37.34M,-0.223M,-37.57M,,-0.062M,-0.035M,-37.66M,0.00,0.00,,0.00,0.00,-56.28M,-56.28M,3.584M,0.854M,-51.84M,185.92M,9.159M,0.528M,195.60M,,0.00,0.00,0.00,70.36M,0.00
2012-06,112.31M,-0.282M,-0.282M,13.30M,0.149M,13.45M,13.45M,2.291M,2.462M,1.05M,-8.103M,-4.591M,-15.57M,-14.80M,11.31M,-14.29M,,-31.57M,-64.93M,58.24M,-22.77M,0.34M,-22.43M,,0.028M,-0.03M,-22.43M,0.00,0.00,,,,-50.33M,-50.33M,1.916M,0.406M,-48.01M,198.88M,-12.20M,-0.765M,185.92M,,0.00,0.00,,91.98M,0.00
2012-03,100.19M,0.174M,0.174M,12.42M,0.148M,12.56M,12.56M,1.863M,2.329M,1.05M,0.00,3.379M,-50.62M,-1.734M,3.468M,15.54M,,47.36M,14.02M,132.19M,-28.21M,0.985M,-27.23M,,-0.029M,-0.057M,-27.31M,0.00,0.00,,,,-50.20M,-50.20M,18.28M,7.697M,-24.22M,117.68M,80.66M,0.542M,198.88M,,0.00,0.00,,21.83M,0.00
2011-12,,0.011M,0.011M,11.67M,0.148M,11.82M,11.82M,14.61M,,1.125M,0.00,-257.19M,19.86M,-28.00M,-27.83M,-5.446M,,-1.935M,-43.36M,74.31M,-27.56M,0.668M,-26.90M,,-0.962M,-0.089M,-27.95M,,,,,,,-41.33M,1.233M,0.182M,-39.91M,111.05M,6.449M,0.179M,117.68M,,,,,60.26M,
2011-09,,-0.101M,-0.101M,11.08M,0.148M,11.23M,11.23M,0.93M,,1.125M,0.00,96.80M,-6.213M,-9.492M,14.48M,-11.49M,,-6.689M,-19.41M,92.90M,-36.16M,1.251M,-34.90M,,0.04M,0.179M,-34.68M,,,,,,,-38.37M,2.353M,0.801M,-35.21M,89.41M,23.01M,-1.367M,111.05M,,,,,55.78M,
2011-06,,0.259M,0.259M,10.88M,0.149M,11.03M,11.03M,0.26M,,0.90M,0.00,91.84M,-33.50M,-32.21M,-5.122M,-11.12M,,0.385M,-81.56M,26.99M,-35.12M,1.014M,-34.10M,,4.293M,0.122M,-29.69M,,,,,,,-38.33M,5.353M,,-32.98M,124.85M,-35.68M,0.236M,89.41M,,,,,83.48M,
2011-03,,0.025M,0.025M,10.48M,0.148M,10.63M,10.63M,-0.056M,,0.90M,,81.81M,-57.82M,-19.08M,47.33M,8.757M,,1.785M,-19.03M,74.28M,-21.21M,0.621M,-20.58M,,0.683M,,-19.90M,,,,,,,-73.72M,0.00,,-73.72M,143.69M,-19.33M,0.488M,124.85M,,,,,6.10M,
2010-12,265.36M,-0.068M,-0.068M,10.26M,0.017M,10.27M,10.27M,3.58M,,1.015M,,-187.51M,28.93M,-11.31M,-31.91M,-13.44M,,19.30M,-8.42M,74.20M,-30.95M,1.195M,-29.76M,,-1.412M,-10.51M,-41.68M,,,,,,,-61.92M,0.00,,-61.92M,172.56M,-29.41M,0.536M,143.69M,,,,,41.42M,
2010-09,,-0.003M,-0.003M,10.03M,0.016M,10.04M,10.04M,0.047M,,1.015M,,71.62M,-23.53M,-23.85M,10.98M,-7.27M,,1.707M,-41.96M,46.77M,-10.43M,1.024M,-9.408M,,-0.146M,0.171M,-9.383M,,,,,,,-61.92M,0.00,,-61.92M,196.39M,-24.54M,0.711M,172.56M,,,,,46.29M,
2010-06,-56.03M,0.039M,0.039M,10.12M,0.017M,10.13M,10.13M,-2.031M,,1.00M,,126.95M,-20.11M,-14.97M,3.855M,-6.526M,,-1.808M,-39.56M,40.50M,-24.07M,1.555M,-22.52M,,0.033M,0.011M,-22.47M,,,,,,,0.00,0.00,,0.00,178.82M,18.02M,-0.455M,196.39M,,,,,57.85M,
2010-03,56.03M,0.067M,0.067M,10.29M,0.017M,10.30M,10.30M,0.006M,,1.00M,,1.624M,-49.92M,1.162M,54.46M,2.655M,,1.637M,9.993M,79.03M,-8.138M,0.685M,-7.453M,,0.944M,,-6.509M,,,,,,,-58.97M,,,-58.97M,164.85M,13.55M,0.423M,178.82M,,,,,1.169M,
2009-12,44.54M,0.06M,0.06M,9.873M,0.017M,9.89M,9.89M,9.203M,,1.00M,,2.109M,23.04M,-5.716M,-33.28M,0.809M,,1.227M,-13.91M,52.89M,-12.41M,0.599M,-11.81M,,-23.79M,-0.083M,-40.72M,,,,-41.10M,-41.10M,,0.00,,,-41.10M,193.74M,-28.94M,0.044M,164.85M,,,,-41.10M,36.46M,
2009-09,47.59M,0.038M,0.038M,9.784M,0.016M,9.80M,9.80M,-0.04M,,0.95M,,2.611M,-13.68M,21.01M,12.68M,1.445M,,3.224M,24.68M,85.63M,-7.49M,0.578M,-6.912M,,-5.159M,-0.018M,-12.09M,,,,0.00,0.00,,-54.96M,,,-54.96M,173.67M,18.59M,1.491M,193.74M,,,,0.00,26.19M,
2009-06,43.54M,0.424M,0.424M,10.06M,0.017M,10.08M,10.08M,-3.064M,,1.00M,,2.122M,10.28M,36.16M,-26.70M,-3.107M,,3.286M,19.92M,74.02M,-13.60M,1.713M,-11.89M,,-0.034M,,-11.93M,,,,,,,0.00,,,0.00,109.87M,62.09M,1.708M,173.67M,,,,,51.80M,
2009-03,48.69M,0.328M,0.328M,10.30M,0.017M,10.32M,10.32M,0.00,,0.90M,,2.567M,1.715M,8.964M,3.448M,18.60M,,-1.999M,30.73M,93.53M,-19.03M,1.973M,-17.06M,,0.044M,,-17.02M,,,,,,,-51.99M,,,-51.99M,85.89M,24.53M,-0.557M,109.87M,,,,,3.579M,
2008-12,62.54M,-0.032M,-0.032M,10.05M,-0.05M,9.998M,9.998M,-1.101M,,0.934M,,1.971M,62.27M,-26.60M,-17.64M,2.288M,,-2.149M,11.80M,86.17M,-16.30M,4.759M,-11.54M,,-0.006M,0.003M,-11.54M,,,,-0.003M,-0.003M,,-40.10M,,,-40.11M,52.11M,34.52M,-0.733M,85.89M,,,,-0.003M,,
2008-09,72.91M,-0.046M,-0.046M,9.857M,0.016M,9.873M,9.873M,-1.318M,,0.884M,,1.991M,-19.12M,-29.65M,25.12M,1.304M,,-2.899M,-25.25M,59.04M,-27.93M,1.862M,-26.07M,,0.478M,0.00,-25.59M,,,,-17.01M,-17.01M,,-40.09M,,,-57.10M,76.44M,-23.65M,-0.683M,52.11M,,,,-17.01M,-93.75M,
2008-06,76.17M,0.141M,0.141M,9.772M,0.017M,9.789M,9.789M,0.00,,0.756M,,1.641M,-20.34M,-13.63M,-20.23M,-6.622M,,0.272M,-60.54M,27.95M,-18.43M,0.675M,-17.76M,,-0.038M,-0.048M,-17.84M,,,,-8.944M,-8.944M,,0.00,,,-8.944M,75.21M,1.16M,0.066M,76.44M,,,,-8.944M,85.64M,
2008-03,68.09M,0.104M,0.104M,9.524M,0.017M,9.541M,9.541M,,,0.673M,,1.895M,-38.92M,10.23M,29.32M,7.233M,,-1.435M,6.429M,86.74M,-32.64M,1.087M,-31.55M,,-0.022M,-0.027M,-31.60M,,,,,,,-37.28M,,,-37.28M,57.22M,17.85M,0.139M,75.21M,,,,,8.113M,
2007-12,56.19M,,-0.014M,9.373M,0.017M,9.39M,9.39M,-2.167M,,,,1.71M,21.38M,-15.77M,0.384M,-8.657M,9.245M,-4.225M,2.356M,67.47M,-19.17M,0.469M,-18.70M,,4.415M,-0.009M,-14.29M,,,,-50.23M,-50.23M,,0.00,,,-50.23M,54.14M,2.941M,0.134M,57.22M,,,,-50.23M,,
2007-09,62.14M,,-0.002M,9.359M,0.016M,9.375M,9.375M,0.00,,,,2.067M,-4.853M,-17.26M,-2.483M,-1.925M,1.306M,4.291M,-20.93M,52.66M,-11.78M,1.49M,-10.29M,,-0.189M,-0.007M,-10.48M,,,,-11.23M,-11.23M,,-34.63M,,,-45.86M,57.33M,-3.69M,0.505M,54.14M,,,,-11.23M,,
2007-06,60.26M,,-0.198M,9.374M,0.017M,9.391M,9.391M,1.256M,,,,1.964M,-18.02M,-25.37M,12.64M,-0.144M,-23.38M,4.925M,-49.35M,23.32M,-12.12M,2.486M,-9.633M,,6.358M,-0.143M,-3.418M,,,,-22.41M,-22.41M,,0.00,,,-22.41M,59.39M,-2.512M,0.454M,57.33M,,,,-22.41M,,
2007-03,54.03M,,0.115M,9.226M,0.017M,9.243M,9.243M,,,,,1.516M,-30.64M,9.805M,3.443M,3.316M,32.74M,0.887M,19.55M,84.46M,-12.70M,1.484M,-11.21M,,1.837M,-0.106M,-9.482M,,,,-3.435M,-3.435M,,-31.58M,,,-35.02M,19.35M,39.95M,0.088M,59.39M,,,,-3.435M,,
2006-12,45.57M,,0.047M,10.59M,0.017M,10.60M,10.60M,-6.177M,,,,1.014M,21.54M,-37.30M,-7.143M,-10.33M,3.20M,-2.823M,-32.85M,18.20M,-14.00M,1.072M,-12.93M,,-0.272M,-0.036M,-13.24M,,,5.062M,-0.005M,5.057M,,0.00,,1.838M,6.895M,7.438M,11.86M,0.049M,19.35M,5.062M,,,-0.005M,,
2006-09,54.10M,,-1.714M,7.881M,0.016M,7.897M,7.897M,0.00,,,,2.708M,-4.998M,-23.66M,-7.255M,-10.09M,3.462M,-0.197M,-42.74M,20.25M,-24.49M,0.838M,-23.65M,,-0.133M,-0.061M,-23.85M,,,3.693M,-7.855M,-4.162M,,-30.34M,,2.815M,-31.68M,42.79M,-35.28M,-0.072M,7.438M,3.693M,,,-7.855M,,
2006-06,51.51M,,1.855M,7.026M,0.017M,7.043M,7.043M,1.335M,,,,-0.726M,-16.45M,-23.94M,0.926M,-3.203M,-25.21M,2.811M,-65.06M,-4.041M,-17.66M,1.184M,-16.47M,,-0.181M,-0.084M,-16.74M,,,3.767M,-9.434M,-5.667M,,0.00,,,-5.667M,69.12M,-26.44M,0.118M,42.79M,3.767M,,,-9.434M,,
2006-03,47.85M,,0.035M,8.035M,0.017M,8.052M,8.052M,1.137M,,,,1.005M,-29.80M,-9.532M,16.27M,0.359M,28.11M,-0.03M,5.378M,63.46M,-21.43M,1.152M,-20.28M,,-0.047M,-0.05M,-20.37M,,,,,,,-30.21M,,,-30.21M,56.20M,12.88M,0.038M,69.12M,,,,,,
2005-12,39.16M,,6.067M,7.379M,0.017M,7.396M,7.396M,,,,,-4.482M,19.33M,-9.475M,-2.408M,-5.805M,3.606M,-3.896M,1.355M,46.34M,-23.53M,1.538M,-21.99M,,-0.109M,-0.04M,-22.14M,,,,0.00,0.00,,0.00,,,0.00,32.03M,24.20M,-0.021M,56.20M,,,,0.00,,
