,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,325.97M,325.97M,2.641B,2.641B,3.773B,3.773B,841.57M,,7.582B,,,,,,2.015B,-1.084B,931.29M,2.203B,1.416B,3.618B,,39.83M,588.24M,5.178B,12.76B,,3.773B,105.65M,28.14M,3.907B,,3.907B,751.61M,751.61M,1.099B,5.757B,2.564B,,2.564B,184.38M,,184.38M,200.25M,51.30M,491.79M,3.441B,9.198B,,146.74M,4.114B,68.13M,,,-819.26M,3.510B,,AOR,Restated
2017-12,314.90M,314.90M,2.422B,2.422B,3.771B,3.771B,805.34M,,7.313B,0.00,104.05M,689.39M,1.188B,,1.981B,-1.044B,936.70M,2.154B,1.400B,3.554B,,40.16M,568.25M,5.099B,12.41B,,3.635B,99.00M,,3.734B,,3.734B,694.99M,694.99M,1.045B,5.474B,2.550B,,2.550B,193.31M,,193.31M,229.87M,52.00M,501.00M,3.474B,8.948B,,146.65M,4.050B,68.13M,,,-852.59M,3.412B,,AOR,Restated
2017-09,210.08M,210.08M,2.156B,2.156B,3.354B,3.354B,596.40M,,6.317B,,,,,,1.778B,-1.018B,760.21M,1.060B,653.93M,1.714B,,122.80M,581.05M,3.178B,9.494B,,3.275B,98.96M,26.67M,3.401B,,3.401B,595.00M,595.00M,806.89M,4.803B,550.00M,,550.00M,50.11M,,50.11M,260.24M,11.89M,441.09M,1.301B,6.104B,,146.61M,4.042B,66.15M,,,-876.93M,3.378B,,AOR,Restated
2017-06,203.14M,203.14M,2.170B,2.170B,3.330B,3.330B,598.11M,,6.301B,,,,,,1.746B,-1.005B,740.78M,1.031B,647.09M,1.678B,,126.30M,565.90M,3.111B,9.412B,,3.303B,99.11M,28.30M,3.430B,,3.430B,580.00M,580.00M,790.79M,4.801B,550.00M,,550.00M,48.26M,,48.26M,272.39M,13.22M,438.98M,1.310B,6.111B,,146.83M,4.001B,61.61M,,,-921.39M,3.288B,,AOR,Restated
2017-03,177.92M,177.92M,2.085B,2.085B,3.287B,3.287B,644.23M,,6.194B,,,,,,1.719B,-981.90M,737.21M,985.36M,623.11M,1.608B,,129.54M,497.55M,2.973B,9.167B,,3.231B,99.82M,65.27M,3.396B,,3.396B,475.00M,475.00M,708.75M,4.580B,550.00M,,550.00M,49.33M,,49.33M,287.59M,13.37M,467.73M,1.355B,5.934B,,147.39M,3.964B,57.66M,,,-950.27M,3.219B,,AOR,Restated
2016-12,242.88M,242.88M,1.939B,1.939B,3.210B,3.210B,556.67M,,5.948B,0.00,92.05M,606.32M,990.76M,,1.689B,-961.00M,728.12M,956.15M,618.51M,1.575B,28.79M,161.87M,216.41M,2.911B,8.859B,,3.081B,97.58M,,3.179B,,3.179B,325.00M,325.00M,597.51M,4.244B,550.00M,39.22M,589.22M,48.33M,79.53M,127.85M,398.23M,13.63M,275.59M,1.408B,5.652B,,148.41M,4.002B,56.60M,,,-1.013B,3.194B,,AOR,Restated
2016-09,225.18M,225.18M,2.033B,2.033B,3.146B,3.146B,504.60M,,5.908B,,,,,,1.651B,-962.48M,688.85M,950.30M,600.13M,1.550B,,109.68M,491.92M,2.841B,8.749B,,3.099B,97.96M,32.59M,3.230B,,3.230B,475.00M,475.00M,696.54M,4.402B,300.00M,,300.00M,51.47M,,51.47M,202.13M,13.08M,458.94M,1.013B,5.414B,,148.74M,3.984B,55.00M,,,-865.51M,3.322B,,AOR,Restated
2016-06,233.63M,233.63M,2.031B,2.031B,3.063B,3.063B,538.75M,,5.866B,,,,,,1.644B,-958.22M,685.38M,903.54M,574.75M,1.478B,,112.32M,491.97M,2.768B,8.634B,,3.076B,97.98M,28.45M,3.202B,,3.202B,525.00M,525.00M,678.98M,4.406B,250.00M,,250.00M,51.71M,,51.71M,217.05M,12.61M,458.95M,977.71M,5.384B,,148.91M,3.921B,50.10M,,,-882.16M,3.238B,,AOR,Restated
2016-03,205.14M,205.14M,1.982B,1.982B,3.075B,3.075B,508.84M,,5.770B,,,,,,1.584B,-935.50M,648.20M,877.28M,535.70M,1.413B,,114.92M,504.15M,2.680B,8.451B,,2.961B,98.34M,46.14M,3.106B,,3.106B,450.00M,450.00M,656.13M,4.212B,250.00M,,250.00M,50.74M,,50.74M,231.65M,11.98M,462.50M,994.89M,5.207B,,149.62M,3.900B,45.04M,,,-862.52M,3.232B,,AOR,Restated
2015-12,211.63M,211.63M,1.822B,1.822B,3.000B,3.000B,521.30M,,5.555B,0.00,85.45M,550.25M,915.43M,,1.551B,-902.92M,648.22M,840.58M,521.21M,1.362B,28.35M,147.01M,213.03M,2.589B,8.145B,,2.822B,92.60M,,2.914B,,2.914B,375.00M,375.00M,503.27M,3.941B,250.00M,37.64M,287.64M,50.68M,85.55M,136.24M,338.27M,12.68M,267.23M,1.045B,4.986B,,150.08M,3.886B,41.35M,,,-930.62M,3.147B,,AOR,Restated
2015-09,199.29M,199.29M,1.963B,1.963B,2.968B,2.968B,493.31M,,5.623B,,,,,,1.528B,-899.93M,628.46M,815.47M,512.96M,1.328B,,136.62M,486.14M,2.580B,8.203B,,2.851B,92.90M,6.643M,2.951B,,2.951B,125.00M,125.00M,688.50M,3.764B,500.00M,,500.00M,62.42M,,62.42M,248.71M,12.24M,456.91M,1.268B,5.032B,,150.76M,3.883B,39.21M,,,-914.59M,3.159B,,AOR,Restated
2015-06,223.84M,223.84M,2.008B,2.008B,3.025B,3.025B,506.07M,,5.764B,,,,,,1.537B,-896.28M,640.53M,845.91M,536.86M,1.383B,,139.93M,486.88M,2.650B,8.414B,,2.743B,93.50M,1.069M,2.838B,,2.838B,350.00M,350.00M,679.61M,3.868B,500.00M,,500.00M,68.43M,,68.43M,261.78M,11.68M,460.30M,1.291B,5.158B,,151.71M,3.867B,34.31M,,,-809.50M,3.244B,,AOR,Restated
2015-03,166.50M,166.50M,1.978B,1.978B,3.007B,3.007B,482.68M,,5.635B,,,,,,1.521B,-874.99M,646.12M,818.47M,527.86M,1.346B,,144.11M,467.09M,2.604B,8.238B,,2.608B,93.84M,26.48M,2.729B,,2.729B,393.70M,393.70M,636.85M,3.759B,500.00M,,500.00M,67.67M,,67.67M,275.47M,11.10M,444.81M,1.288B,5.047B,,152.32M,3.826B,29.58M,,,-827.68M,3.180B,,AOR,Restated
2014-12,137.73M,137.73M,1.872B,1.872B,3.044B,3.044B,538.58M,,5.593B,0.00,87.65M,552.77M,898.76M,,1.539B,-869.08M,670.10M,839.08M,547.52M,1.387B,29.14M,173.16M,201.63M,2.654B,8.246B,,2.555B,88.04M,,2.643B,,2.643B,265.47M,265.47M,510.56M,3.584B,500.00M,40.04M,540.04M,72.48M,81.50M,153.98M,387.28M,11.12M,249.51M,1.350B,4.934B,,153.11M,3.842B,26.41M,,,-720.21M,3.301B,,AOR,Restated
2014-09,135.54M,135.54M,1.976B,1.976B,3.014B,3.014B,459.68M,,5.585B,,,,,,1.526B,-863.64M,662.25M,869.22M,575.14M,1.444B,,90.54M,558.93M,2.756B,8.341B,,2.549B,87.91M,24.48M,2.662B,,2.662B,335.39M,335.39M,638.81M,3.636B,500.00M,,500.00M,79.69M,,79.69M,135.41M,10.97M,482.43M,1.198B,4.833B,,152.86M,3.765B,26.36M,,,-446.85M,3.497B,,AOR,Restated
2014-06,152.86M,152.86M,1.909B,1.909B,2.987B,2.987B,463.09M,,5.512B,,,,,,1.522B,-860.43M,661.30M,870.22M,562.65M,1.433B,,89.20M,555.82M,2.739B,8.252B,,2.490B,88.21M,22.64M,2.600B,,2.600B,306.36M,306.36M,600.08M,3.507B,500.00M,,500.00M,85.58M,,85.58M,137.62M,10.32M,484.00M,1.207B,4.714B,,153.31M,3.703B,21.82M,,,-351.42M,3.527B,,AOR,Restated
2014-03,103.47M,103.47M,1.828B,1.828B,2.974B,2.974B,440.34M,,5.346B,,,,,,1.498B,-833.31M,664.69M,848.68M,561.13M,1.410B,,92.54M,468.90M,2.636B,7.982B,,2.335B,88.42M,76.68M,2.500B,,2.500B,399.76M,399.76M,522.55M,3.423B,500.00M,,500.00M,87.73M,,87.73M,137.64M,9.447M,423.06M,1.148B,4.571B,,153.60M,3.625B,17.28M,,,-393.76M,3.402B,,AOR,Restated
2013-12,196.89M,196.89M,1.665B,1.665B,2.946B,2.946B,413.76M,,5.221B,0.00,87.66M,532.95M,856.89M,,1.477B,-807.44M,670.06M,789.97M,499.38M,1.289B,28.76M,122.49M,179.29M,2.459B,7.680B,,2.270B,82.75M,,2.352B,420.92M,2.773B,264.66M,264.66M,,3.183B,500.00M,27.82M,527.82M,83.32M,65.83M,149.14M,195.32M,9.694M,207.10M,1.138B,4.322B,,153.77M,3.578B,14.94M,,,-397.66M,3.349B,,AOR,Restated
2013-09,320.87M,320.87M,1.760B,1.760B,2.832B,2.832B,382.98M,,5.295B,,,,,,1.463B,-814.71M,648.50M,,1.280B,1.280B,,257.57M,462.17M,2.648B,7.944B,,2.213B,82.98M,19.18M,2.315B,,2.315B,583.90M,583.90M,554.85M,3.454B,250.00M,,250.00M,90.58M,,90.58M,481.33M,10.11M,514.72M,1.337B,4.791B,,154.36M,3.570B,,,,-581.65M,3.143B,,AOR,Restated
2013-06,196.77M,196.77M,1.759B,1.759B,2.799B,2.799B,352.64M,,5.108B,,,,,,1.433B,-789.96M,642.96M,,1.270B,1.270B,,179.85M,459.32M,2.553B,7.660B,,2.065B,83.41M,10.86M,2.159B,,2.159B,650.10M,650.10M,513.70M,3.323B,250.00M,,250.00M,,,,494.57M,9.768M,506.66M,1.251B,4.574B,,154.86M,3.522B,,,,-600.22M,3.076B,,AOR,Restated
2013-03,841.89M,841.89M,1.625B,1.625B,2.560B,2.560B,324.68M,,5.352B,,,,,,1.355B,-773.38M,581.28M,,492.76M,492.76M,,273.49M,639.34M,1.987B,7.338B,,1.801B,83.27M,68.38M,1.952B,,1.952B,664.74M,664.74M,406.20M,3.023B,250.00M,,250.00M,,,,505.54M,10.09M,485.16M,1.241B,4.264B,,154.97M,3.407B,,,,-497.93M,3.064B,,AOR,Restated
2012-12,403.10M,403.10M,1.490B,1.490B,2.603B,2.603B,324.45M,,4.820B,0.00,88.71M,504.20M,733.10M,,1.326B,-759.64M,566.36M,298.04M,199.80M,497.84M,206.49M,300.10M,213.23M,1.987B,6.807B,,1.682B,76.64M,4.354M,1.763B,359.40M,2.122B,250.00M,250.00M,,2.488B,250.00M,33.75M,283.75M,0.00,161.94M,161.94M,608.26M,10.29M,199.79M,1.311B,3.799B,,154.84M,3.345B,,,,-501.49M,2.998B,,AOR,Restated
2012-09,398.12M,398.12M,1.606B,1.606B,,2.351B,308.84M,,4.665B,,,,,,1.323B,-762.50M,560.90M,,,504.19M,,232.84M,483.37M,1.781B,6.446B,,1.754B,76.81M,26.68M,1.858B,,1.858B,,,243.87M,2.102B,500.00M,,500.00M,,,,476.11M,10.37M,301.99M,1.278B,3.380B,,155.13M,3.322B,,,,-420.84M,3.056B,,AOR,Restated
2012-06,171.58M,171.58M,1.606B,1.606B,,2.334B,312.51M,,4.423B,,,,,,1.359B,-792.22M,567.01M,,,498.29M,,240.26M,455.99M,1.762B,6.185B,,1.600B,77.08M,32.79M,1.710B,,1.710B,,,268.69M,1.978B,500.00M,,500.00M,,,,485.32M,10.01M,289.53M,1.275B,3.253B,,155.10M,3.225B,,,,-458.44M,2.922B,,AOR,Restated
2012-03,424.42M,424.42M,1.605B,1.605B,,2.264B,307.26M,,4.602B,,,,,,1.244B,-742.81M,500.84M,,,292.89M,,246.59M,453.96M,1.494B,6.096B,,1.560B,77.17M,86.27M,1.723B,,1.723B,,,208.06M,1.931B,500.00M,,500.00M,,,,487.93M,9.485M,282.53M,1.270B,3.202B,,155.91M,3.182B,,,,-453.52M,2.885B,,AOR,Restated
2011-12,525.05M,525.05M,1.461B,1.461B,2.440B,2.440B,328.53M,,4.755B,0.00,74.33M,459.64M,698.62M,,1.233B,-732.39M,500.20M,177.62M,102.16M,279.78M,27.81M,279.83M,204.48M,1.448B,6.203B,,1.441B,70.02M,21.08M,1.532B,331.58M,1.863B,,,,2.013B,500.00M,34.19M,534.19M,,161.94M,161.94M,529.52M,9.584M,154.63M,1.437B,3.449B,,155.65M,3.070B,,,,-482.04M,2.744B,,AOR,Restated
2011-09,534.80M,534.80M,1.531B,1.531B,,2.250B,330.16M,,4.646B,,,,,,1.210B,-730.46M,479.55M,,,277.92M,,153.32M,227.62M,1.138B,5.785B,,1.587B,70.13M,44.81M,1.702B,,1.702B,250.00M,250.00M,288.39M,2.241B,250.00M,,250.00M,,,,212.88M,9.663M,189.79M,652.67M,2.893B,,155.65M,3.051B,,,,-325.39M,2.882B,,AOR,Restated
2011-06,516.73M,516.73M,1.566B,1.566B,,2.252B,299.08M,,4.633B,,,,,,1.246B,-759.80M,486.28M,,,227.94M,,151.04M,218.45M,1.084B,5.717B,,1.492B,70.76M,33.52M,1.596B,,1.596B,250.00M,250.00M,261.10M,2.107B,250.00M,,250.00M,,,,243.93M,9.272M,184.36M,678.29M,2.786B,,156.77M,3.024B,,,,-258.48M,2.922B,,AOR,Restated
2011-03,465.88M,465.88M,1.491B,1.491B,,2.237B,301.84M,,4.495B,,,,,,1.228B,-748.26M,479.82M,,,229.28M,,155.54M,209.66M,1.074B,5.570B,,1.370B,70.95M,74.66M,1.515B,,1.515B,250.00M,250.00M,238.48M,2.004B,250.00M,,250.00M,,,,252.43M,8.606M,184.58M,687.02M,2.691B,,157.54M,2.983B,,,,-270.03M,2.870B,,AOR,Restated
2010-12,529.97M,529.97M,1.364B,1.364B,,2.225B,295.80M,,4.415B,0.00,72.64M,393.10M,747.58M,,1.213B,-729.19M,484.13M,150.28M,59.27M,209.55M,,157.39M,199.09M,1.050B,5.465B,,1.375B,64.60M,23.14M,1.463B,259.14M,1.722B,250.00M,250.00M,,1.972B,250.00M,,250.00M,,,,258.81M,8.895M,181.71M,690.52M,2.662B,,157.64M,2.935B,,,,-298.35M,2.794B,,AOR,Restated
2010-09,531.73M,531.73M,1.395B,1.395B,,2.182B,282.29M,,4.391B,,,,,,1.197B,-718.56M,478.44M,,,207.24M,,152.25M,184.55M,1.022B,5.414B,,1.372B,64.58M,46.14M,1.482B,,1.482B,,,238.44M,1.721B,500.00M,,500.00M,,,,239.33M,8.594M,175.78M,915.10M,2.636B,,157.54M,2.880B,,,,-268.50M,2.769B,,AOR,Restated
2010-06,411.87M,411.87M,1.354B,1.354B,,2.165B,280.16M,,4.210B,,,,,,1.180B,-711.00M,469.15M,,,201.33M,,164.66M,173.73M,1.009B,5.219B,,1.287B,64.69M,35.49M,1.387B,,1.387B,,,188.51M,1.575B,500.00M,,500.00M,,,,296.82M,8.707M,173.96M,970.78M,2.546B,,157.61M,2.815B,,,,-308.54M,2.664B,,AOR,Restated
2010-03,333.54M,333.54M,1.324B,1.324B,,2.211B,277.26M,,4.146B,,,,,,1.183B,-705.60M,477.27M,,,204.91M,,167.63M,172.72M,1.023B,5.169B,,1.185B,65.08M,78.61M,1.329B,,1.329B,,,185.26M,1.514B,500.00M,,500.00M,,,,299.57M,7.984M,169.50M,969.07M,2.483B,,158.79M,2.802B,,,,-283.58M,2.678B,,AOR,Restated
2009-12,336.80M,336.80M,1.187B,1.187B,,2.214B,294.87M,,4.033B,0.00,69.83M,384.76M,721.61M,,1.176B,-691.18M,485.02M,132.89M,38.64M,171.53M,,167.72M,147.58M,971.86M,5.005B,,1.094B,63.59M,42.99M,1.201B,207.36M,1.408B,,,,1.408B,500.00M,,500.00M,,,,300.20M,8.042M,166.84M,967.03M,2.375B,,158.92M,2.772B,,,,-309.90M,2.621B,,AOR,Restated
2009-09,363.13M,363.13M,1.251B,1.251B,,2.188B,232.45M,,4.034B,,,,,,1.162B,-676.45M,485.65M,,,171.57M,,152.79M,132.94M,942.95M,4.977B,,1.124B,63.82M,57.00M,1.245B,,1.245B,,,199.42M,1.445B,500.00M,,500.00M,,,,289.66M,7.447M,128.73M,918.39M,2.363B,,159.55M,2.752B,8.681M,,,-313.79M,2.607B,,AOR,Restated
2009-06,238.59M,238.59M,1.239B,1.239B,,2.216B,222.40M,,3.916B,,,,,,1.148B,-660.20M,487.31M,,,166.68M,,160.58M,124.36M,938.93M,4.855B,,1.063B,63.81M,44.69M,1.172B,,1.172B,,,240.81M,1.413B,500.00M,,500.00M,,,,305.52M,7.822M,121.17M,926.69M,2.339B,,159.53M,2.709B,6.675M,,,-366.97M,2.508B,,AOR,Restated
2009-03,133.28M,133.28M,1.211B,1.211B,,2.253B,222.25M,,3.820B,,,,,,1.047B,-635.00M,412.37M,,,158.43M,,216.65M,117.50M,904.95M,4.725B,,964.27M,63.78M,70.88M,1.099B,,1.099B,,,158.44M,1.257B,500.00M,,500.00M,,,,448.84M,69.68M,110.21M,1.059B,2.316B,,159.45M,2.671B,,,,-491.92M,2.339B,,AOR,Restated
2008-12,67.78M,67.78M,1.225B,1.225B,,2.317B,262.24M,,3.871B,0.00,51.84M,309.98M,689.98M,,1.052B,-628.53M,423.26M,124.47M,34.35M,158.82M,,218.50M,114.34M,914.93M,4.786B,,1.009B,62.15M,24.68M,1.096B,190.85M,1.287B,,,,1.287B,500.00M,,500.00M,,,,502.60M,69.05M,103.26M,1.106B,2.393B,,159.44M,2.643B,,,,-478.56M,2.324B,,,Restated
2008-09,124.43M,124.43M,1.351B,1.351B,,2.318B,279.93M,,4.073B,,,,,,413.39M,-0.639M,412.76M,147.94M,,147.94M,,,185.42M,746.12M,4.819B,,1.071B,,,1.071B,,1.071B,250.00M,250.00M,305.14M,1.626B,250.00M,,250.00M,,,,,68.44M,206.06M,456.06M,2.082B,,160.56M,2.659B,,,,-150.77M,2.669B,,,
2008-06,135.84M,135.84M,1.343B,1.343B,,2.319B,264.80M,,4.063B,,,,,,1.065B,-642.83M,422.15M,126.01M,,126.01M,,,186.41M,734.58M,4.797B,,1.065B,,,1.065B,,1.065B,250.00M,250.00M,266.51M,1.581B,250.00M,,250.00M,,,,,67.30M,201.41M,451.41M,2.033B,,162.48M,2.664B,,,,-128.84M,2.697B,,,Restated
2008-03,161.52M,161.52M,1.304B,1.304B,,2.315B,245.89M,,4.026B,,,,,,1.048B,-627.92M,419.82M,114.49M,,114.49M,,,195.37M,729.68M,4.755B,,1.003B,,,1.003B,,1.003B,250.00M,250.00M,316.71M,1.569B,250.00M,,250.00M,,,,,65.46M,200.83M,450.83M,2.020B,,163.82M,2.644B,,,,-138.26M,2.670B,,,Restated
2007-12,231.84M,231.84M,1.216B,1.216B,,2.336B,269.24M,,4.053B,0.00,47.42M,297.55M,704.80M,,1.050B,-623.78M,425.99M,82.45M,,82.45M,,35.78M,176.84M,721.06M,4.774B,,989.82M,,,989.82M,201.79M,1.192B,250.00M,250.00M,106.37M,1.548B,250.00M,13.71M,263.71M,,,,,66.23M,179.44M,443.15M,1.991B,,166.06M,2.674B,,129.70M,-253.42M,-123.72M,2.717B,,,
2007-09,330.05M,330.05M,1.334B,1.334B,,2.226B,243.30M,,4.133B,,,,,,1.081B,-622.46M,458.60M,70.54M,,70.54M,,,172.58M,701.72M,4.835B,,1.088B,,,1.088B,,1.088B,,,280.41M,1.369B,500.00M,,500.00M,,,,,64.77M,191.75M,691.75M,2.060B,,167.90M,2.692B,,,,-150.02M,2.710B,,,
2007-06,274.56M,274.56M,1.323B,1.323B,,2.223B,219.69M,,4.040B,,,,,,1.046B,-600.76M,445.18M,61.96M,,61.96M,,,177.65M,684.79M,4.725B,,1.029B,,,1.029B,,1.029B,,,256.63M,1.285B,500.00M,,500.00M,,,,,63.15M,179.06M,679.06M,1.964B,,169.93M,2.718B,,,,-190.50M,2.698B,,,
2007-03,250.08M,250.08M,1.297B,1.297B,,2.201B,214.12M,,3.962B,,,,,,1.008B,-577.48M,430.81M,62.14M,,62.14M,,,170.68M,663.62M,4.626B,,971.40M,,,971.40M,,971.40M,,,312.91M,1.284B,500.00M,,500.00M,,,,,61.62M,171.75M,671.75M,1.956B,,170.38M,2.672B,,,,-233.81M,2.608B,,,
2006-12,135.97M,135.97M,1.228B,1.228B,,2.236B,234.98M,,3.835B,0.00,50.73M,305.00M,634.67M,,990.40M,-561.14M,429.26M,62.25M,,62.25M,,,170.34M,661.86M,4.497B,,910.26M,,,910.26M,193.05M,1.103B,,,95.45M,1.199B,500.00M,12.25M,512.25M,,,,,60.72M,175.26M,687.51M,1.886B,,170.53M,2.622B,,50.82M,-293.36M,-242.53M,2.550B,,,
