,NetIncome,NetForeignCurrencyExchangeGain/Loss,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-03,176.58M,0.00,0.00,58.36M,58.36M,,3.686M,-2.517M,1.169M,,,,,,,-97.74M,,138.37M,,-31.63M,,-31.63M,-38.59M,,,-70.22M,,47.69M,47.69M,,,,-99.00M,-99.00M,-4.176M,,-55.48M,,314.90M,12.66M,-1.587M,325.97M,,,1.201B,-1.154B,,,AOR,Restated
2017-12,108.18M,,,50.05M,50.05M,,3.98M,-0.63M,-28.45M,,,,,,,63.15M,,272.69M,,-59.58M,,-38.30M,-1.205B,,,-1.244B,,1.176B,1.176B,,-1.64M,-1.64M,-98.96M,-98.96M,-1.95M,,1.074B,,210.08M,102.69M,2.128M,314.90M,,,3.210B,-2.034B,-1.64M,,AOR,Restated
2017-09,158.44M,,,40.28M,40.28M,,4.826M,-0.259M,4.567M,,,,,,,-6.212M,,197.07M,,-43.09M,,-43.09M,-49.14M,,,-92.22M,,15.00M,15.00M,,-18.38M,-18.38M,-99.11M,-99.11M,-0.275M,,-102.76M,,203.14M,2.09M,4.847M,210.08M,,,1.17B,-1.155B,-18.38M,,AOR,Restated
2017-06,189.97M,,,39.23M,39.23M,,5.369M,-0.699M,4.67M,,,,,,,9.59M,,243.46M,,-29.29M,,-29.29M,-133.98M,,,-163.27M,,105.00M,105.00M,,-61.52M,-61.52M,-99.82M,-99.82M,-1.39M,,-57.74M,,177.92M,22.46M,2.771M,203.14M,,,1.245B,-1.14B,-61.52M,,AOR,Restated
2017-03,160.16M,,,38.13M,38.13M,,2.717M,-1.546M,1.171M,,,,,,,-97.64M,,101.82M,,-24.81M,,-24.81M,-106.24M,,,-131.04M,,150.00M,150.00M,,-91.98M,-91.98M,-97.58M,-97.58M,-1.624M,,-41.19M,,242.88M,-70.41M,5.452M,177.92M,,,1.005B,-855.00M,-91.98M,,AOR,Restated
2016-12,152.52M,,,39.24M,39.24M,,4.357M,-1.546M,2.811M,,,,,,,-7.834M,,204.73M,,-73.99M,,-45.18M,-96.62M,,,-141.80M,,100.00M,100.00M,,-37.61M,-37.61M,-97.95M,-97.95M,-4.205M,1.546M,-38.22M,,225.18M,24.70M,-7.00M,242.88M,,,1.33B,-1.23B,-37.61M,,AOR,Restated
2016-09,185.33M,,,37.68M,37.68M,,5.36M,-2.935M,2.425M,,,,,,,-14.57M,,210.86M,,-36.94M,,-36.94M,-60.11M,,,-97.05M,,0.00,0.00,,-24.41M,-24.41M,-97.98M,-97.98M,-3.315M,2.935M,-122.77M,,233.63M,-8.957M,0.507M,225.18M,,,1.07B,-1.07B,-24.41M,,AOR,Restated
2016-06,191.37M,,,35.91M,35.91M,,5.753M,-2.396M,3.357M,,,,,,,164.81M,,395.45M,,-38.04M,,-38.04M,-231.81M,,,-269.85M,,75.00M,75.00M,,-72.97M,-72.97M,-98.34M,-98.34M,-3.041M,2.396M,-96.95M,,205.14M,28.65M,-0.155M,233.63M,,,975.00M,-900.00M,-72.97M,,AOR,Restated
2016-03,158.02M,,,34.65M,34.65M,,4.249M,-5.144M,-0.895M,,,,,,,-56.74M,,135.04M,,-11.67M,,-11.67M,-73.62M,,,-85.30M,,75.00M,75.00M,,-46.43M,-46.43M,-92.60M,-92.60M,-5.586M,5.144M,-64.47M,,211.63M,-14.72M,8.223M,205.14M,,,975.00M,-900.00M,-46.43M,,AOR,Restated
2015-12,161.27M,,,35.91M,35.91M,,4.135M,-1.643M,2.492M,,,,,,,31.36M,,263.39M,,-47.55M,,-38.93M,-47.29M,,,-86.22M,,0.00,0.00,,-67.10M,-67.10M,-92.90M,-92.90M,-3.542M,1.643M,-161.90M,,199.29M,15.26M,-2.926M,211.63M,,,1.325B,-1.325B,-67.10M,,AOR,Restated
2015-09,188.02M,,,34.28M,34.28M,,4.936M,-0.081M,4.855M,,,,,,,214.73M,,441.88M,,-24.53M,,-24.53M,-35.27M,,,-59.80M,,-225.00M,-225.00M,,-79.96M,-79.96M,-93.50M,-93.50M,-0.116M,0.081M,-398.49M,,223.84M,-16.41M,-8.134M,199.29M,,,902.64M,-1.128B,-79.96M,,AOR,Restated
2015-06,195.37M,,,35.60M,35.60M,,5.33M,-1.566M,3.764M,,,,,,,96.86M,,331.60M,,-21.04M,,-21.04M,-50.01M,,,-71.05M,,-47.88M,-47.88M,,-60.97M,-60.97M,-93.84M,-93.84M,-2.11M,1.566M,-203.23M,,166.50M,57.32M,0.029M,223.84M,,,854.68M,-902.55M,-60.97M,,AOR,Restated
2015-03,161.01M,,,35.88M,35.88M,,3.316M,-3.734M,-0.418M,,,,,,,-73.96M,,122.51M,,-16.43M,,-16.43M,-30.13M,,,-46.56M,,129.91M,129.91M,,-84.25M,-84.25M,-88.04M,-88.04M,-3.804M,3.734M,-42.45M,,137.73M,33.50M,-4.74M,166.50M,,,779.91M,-650.00M,-84.25M,,AOR,Restated
2014-12,165.56M,,,39.69M,39.69M,,3.598M,-10.50M,-6.899M,,,,,,,-48.13M,,200.82M,,-33.90M,,-25.03M,-12.60M,,,-37.64M,,-65.91M,-65.91M,,-0.40M,-0.40M,-87.91M,-87.91M,-13.78M,10.50M,-157.50M,,135.54M,5.686M,-3.493M,137.73M,,,695.37M,-761.28M,-0.40M,,AOR,Restated
2014-09,190.52M,,,34.98M,34.98M,,4.786M,-1.321M,3.465M,,,,,,,-6.743M,,222.22M,,-33.86M,,-33.86M,-96.41M,,,-130.27M,,25.52M,25.52M,,-41.78M,-41.78M,-88.19M,-88.19M,-1.512M,1.321M,-104.64M,,152.86M,-12.68M,-4.642M,135.54M,,,785.94M,-760.41M,-41.78M,,AOR,Restated
2014-06,197.73M,,,36.78M,36.78M,,4.782M,-1.842M,2.94M,,,,,,,69.87M,,307.32M,,-21.54M,,-21.54M,-22.04M,,,-43.57M,,-96.96M,-96.96M,,-31.06M,-31.06M,-88.42M,-88.42M,-2.018M,1.842M,-216.62M,,103.47M,47.13M,2.261M,152.86M,,,506.60M,-603.56M,-31.06M,,AOR,Restated
2014-03,157.48M,,,36.86M,36.86M,,3.073M,-4.106M,-1.033M,,,,,,,-133.53M,,59.78M,,-18.39M,,-18.39M,-156.85M,,,-175.24M,,129.41M,129.41M,,-22.71M,-22.71M,-82.75M,-82.75M,-4.736M,4.106M,23.32M,,196.89M,-92.14M,-1.279M,103.47M,,,740.01M,-610.60M,-22.71M,,AOR,Restated
2013-12,150.47M,,,35.88M,35.88M,,3.716M,-0.885M,50.35M,,,,,,,64.81M,,219.25M,,-39.92M,,-29.26M,-98.06M,,,-127.32M,,-79.75M,-79.75M,,-48.94M,-48.94M,-82.96M,-82.96M,-1.415M,0.885M,-212.17M,,320.87M,-120.25M,-3.729M,196.89M,,,925.38M,-1.005B,-48.94M,,AOR,Restated
2013-09,173.75M,,,35.22M,35.22M,,3.477M,-2.61M,0.443M,,,,,,,160.13M,,370.41M,,-33.34M,,-33.34M,-18.00M,,,-51.34M,,-66.21M,-66.21M,,-45.42M,-45.42M,-83.35M,-83.35M,-3.365M,2.61M,-195.74M,,196.77M,123.33M,0.771M,320.87M,,,825.00M,-891.21M,-45.42M,,AOR,Restated
2013-06,216.36M,,,36.85M,36.85M,,2.978M,-5.57M,-50.98M,,,,,,,151.07M,,350.70M,,-37.88M,,-37.88M,-589.36M,,,-627.24M,,-244.19M,-244.19M,,-26.21M,-26.21M,-83.27M,-83.27M,-6.523M,5.57M,-354.62M,,841.89M,-631.16M,-13.96M,196.77M,,,829.81M,-1.074B,-26.21M,,AOR,Restated
2013-03,144.39M,,,26.00M,26.00M,,2.477M,-3.84M,-0.067M,,,,,,,-52.58M,,116.38M,,-12.92M,,-12.92M,-6.745M,,,-19.67M,,414.74M,414.74M,,-0.11M,-0.11M,-76.64M,-76.64M,-4.425M,3.84M,337.41M,,403.10M,434.12M,4.684M,841.89M,,,439.74M,-25.00M,-0.11M,,AOR,Restated
2012-12,160.22M,,,25.05M,25.05M,,2.649M,-1.779M,0.74M,,,,,,,-56.35M,,141.62M,,-30.36M,,-21.86M,-13.01M,,,-34.86M,,0.00,0.00,,-23.02M,-23.02M,-76.81M,-76.81M,-3.035M,1.779M,-101.09M,,398.12M,5.669M,-0.692M,403.10M,,,0.00,0.00,-23.02M,,AOR,Restated
2012-09,172.94M,,,25.61M,25.61M,,2.999M,-2.065M,-0.308M,,,,,,,144.33M,,343.51M,,-20.26M,,-20.26M,-19.48M,,,-39.74M,,0.00,0.00,,-3.793M,-3.793M,-76.98M,-76.98M,-1.105M,2.065M,-79.82M,,171.58M,223.96M,2.586M,398.12M,,,200.00M,-200.00M,-3.793M,,AOR,Restated
2012-06,168.62M,,,24.74M,24.74M,,3.35M,-1.839M,-0.653M,,,,,,,54.80M,,249.02M,,-34.48M,,-34.48M,-336.98M,,,-371.46M,,0.00,0.00,,-54.72M,-54.72M,-77.17M,-77.17M,0.219M,1.839M,-129.83M,,424.42M,-252.28M,-0.572M,171.58M,,,550.00M,-550.00M,-54.72M,,AOR,Restated
2012-03,146.26M,,,22.98M,22.98M,,1.749M,-5.335M,-0.05M,,,,,,,6.693M,,172.30M,,-16.89M,,-16.89M,-188.92M,,,-205.81M,,0.00,0.00,,-0.296M,-0.296M,-70.02M,-70.02M,-3.122M,5.335M,-68.10M,,525.05M,-101.61M,0.982M,424.42M,,,0.00,0.00,-0.296M,,AOR,Restated
2011-12,565.12M,,,22.00M,22.00M,,1.712M,-2.91M,-427.02M,,,,,,,-23.84M,,127.52M,,-39.54M,,-30.63M,-31.81M,,,-62.44M,,0.00,0.00,,-8.719M,-8.719M,,-70.13M,-2.687M,2.91M,-78.63M,,534.80M,-13.55M,3.799M,525.05M,,,250.00M,-250.00M,-8.719M,,AOR,Restated
2011-09,-278.33M,,,21.46M,21.46M,,1.812M,-0.644M,429.80M,,,,,,,73.35M,,247.46M,,-22.18M,,-22.18M,-67.00M,,,-89.19M,,0.00,0.00,,-57.94M,-57.94M,,-70.69M,0.336M,0.644M,-127.65M,,516.73M,30.62M,-12.55M,534.80M,,,0.00,0.00,-57.94M,,AOR,Restated
2011-06,278.33M,,,22.93M,22.93M,,3.511M,-1.273M,-127.19M,,,,,,,20.24M,,196.54M,,-27.21M,,-27.21M,-4.223M,,,-31.44M,,0.00,0.00,,-46.32M,-46.32M,,-70.95M,0.693M,1.273M,-115.30M,,465.88M,49.80M,1.048M,516.73M,,,0.00,0.00,-46.32M,,AOR,Restated
2011-03,,,,22.54M,22.54M,,0.512M,-0.529M,126.60M,,,,,,,-95.72M,,53.41M,,-14.53M,,-14.53M,-33.90M,,,-48.44M,,,,,-9.095M,-9.095M,,-64.60M,0.609M,0.529M,-72.56M,,529.97M,-67.58M,3.497M,465.88M,,,,,-9.095M,,AOR,Restated
2010-12,475.51M,,,21.91M,21.91M,,2.342M,-1.751M,-353.76M,,,,,,,-40.56M,,110.24M,,-26.45M,,-22.77M,-7.565M,,,-30.34M,,,,,-5.569M,-5.569M,,-64.58M,1.908M,1.751M,-66.50M,,531.73M,13.41M,-15.17M,529.97M,,,,,-5.569M,,AOR,Restated
2010-09,-225.08M,,,22.09M,22.09M,,1.541M,-0.415M,357.92M,,,,,,,59.90M,,215.97M,,-31.02M,,-31.02M,-15.39M,,,-46.41M,,,,,-6.301M,-6.301M,,-64.69M,1.793M,0.415M,-68.78M,,411.87M,100.78M,19.07M,531.73M,,,,,-6.301M,,AOR,Restated
2010-06,124.47M,,,23.19M,23.19M,,2.042M,-1.085M,-0.42M,,,,,,,64.62M,,212.81M,,-18.06M,,-18.06M,-1.921M,,,-19.98M,,,,,-53.83M,-53.83M,,-65.08M,2.803M,1.085M,-115.03M,,333.54M,77.80M,0.537M,411.87M,,,,,-53.83M,,AOR,Restated
2010-03,100.61M,,,22.14M,22.14M,,1.091M,0.00,0.019M,,,,,,,15.78M,,139.64M,,-9.85M,,-9.85M,-65.77M,,,-75.62M,,,,,-9.306M,-9.306M,,-63.54M,2.581M,,-70.27M,,336.80M,-6.246M,2.98M,333.54M,,,,,-9.306M,,AOR,Restated
2009-12,99.17M,,,22.92M,22.92M,,1.869M,0.747M,-125.73M,,,,,,,55.68M,,78.80M,,-20.09M,,-8.046M,-11.16M,,,-19.20M,,0.00,0.00,,-25.86M,-25.86M,,-63.82M,-0.30M,-0.747M,-90.73M,,363.13M,-31.13M,4.803M,336.80M,,,,-795.00M,-25.86M,,AOR,Restated
2009-09,107.64M,,,22.56M,22.56M,,1.97M,-0.063M,0.26M,,,,,,,145.30M,,277.67M,,-85.22M,,-85.22M,-15.64M,,,-100.86M,,0.00,0.00,,-0.023M,-0.023M,,-63.81M,0.018M,0.063M,-63.76M,,238.59M,113.06M,11.48M,363.13M,,,,0.00,-0.023M,,AOR,Restated
2009-06,103.61M,,,22.41M,22.41M,,2.369M,,0.85M,,,,,,,159.17M,,288.41M,,-22.86M,,-22.86M,-101.63M,,,-124.48M,,0.00,0.00,,-0.02M,-0.02M,,-63.78M,2.018M,,-61.78M,,133.28M,102.14M,3.163M,238.59M,,,,0.00,-0.02M,,AOR,Restated
2009-03,89.16M,,,22.52M,22.52M,,2.37M,,0.807M,,,,,,,85.56M,,200.42M,,-14.10M,,-14.10M,-5.779M,,,-19.88M,,-52.00M,-52.00M,,-0.116M,-0.116M,,-62.15M,0.142M,,-114.12M,,67.78M,66.42M,-0.92M,133.28M,,,,-52.00M,-0.116M,,AOR,Restated
2008-12,87.78M,,-5.448M,22.23M,22.23M,,12.98M,0.586M,3.858M,,,,,,47.62M,-7.096M,,61.30M,,-44.94M,,-33.21M,-22.29M,,,-55.51M,,52.00M,52.00M,-1.364M,-44.14M,-45.50M,,-63.00M,0.821M,-0.899M,-56.58M,,124.43M,-50.79M,-5.865M,67.78M,,-1.364M,,-1.283B,-44.14M,,,Restated
2008-09,131.02M,,3.362M,21.77M,21.77M,,-6.559M,0.287M,8.901M,,,,,,1.836M,33.03M,,191.80M,,-15.76M,,-15.76M,-45.08M,,,-60.84M,,,,1.364M,-77.76M,-76.40M,,-63.75M,-1.355M,0.026M,-141.48M,,135.84M,-10.51M,-0.906M,124.43M,,1.364M,,,-77.76M,,,
2008-06,133.07M,,,22.02M,22.02M,,4.959M,-0.07M,0.00,,,,,,,-28.67M,,131.31M,,-22.57M,,-22.57M,-14.65M,,,-37.22M,,0.00,0.00,,-56.78M,-56.78M,,-64.26M,0.603M,0.07M,-120.37M,,161.52M,-26.28M,0.604M,135.84M,,,,0.00,-56.78M,,,Restated
2008-03,123.54M,,,22.68M,22.68M,,1.60M,-0.217M,0.804M,,,,,,,-2.527M,,145.89M,,-21.76M,,-21.76M,-39.00M,,,-60.76M,,0.00,0.00,,-94.32M,-94.32M,,-60.79M,0.752M,0.217M,-154.14M,,231.84M,-69.02M,-1.295M,161.52M,,,,0.00,-94.32M,,,Restated
2007-12,126.08M,,-0.904M,23.69M,23.69M,,,,3.288M,,,,,,-172.69M,-111.34M,,32.75M,,-31.87M,,35.79M,-39.61M,,20.32M,16.50M,,,,0.396M,-89.06M,-88.66M,,-61.32M,,0.262M,-149.72M,,330.05M,-100.47M,2.255M,231.84M,,0.396M,,,-89.06M,,,
2007-09,128.58M,,1.349M,21.99M,21.99M,,,,3.158M,,,,,,100.88M,100.88M,,255.96M,,-31.02M,,-31.02M,6.329M,,-20.32M,-45.00M,,,,0.92M,-100.15M,-99.23M,,-62.21M,,0.392M,-161.05M,,274.56M,49.91M,5.58M,330.05M,,0.92M,,,-100.15M,,,
2007-06,130.12M,,1.39M,21.32M,21.32M,,,,3.066M,,,,,,-9.186M,-9.186M,,146.71M,,-29.08M,,-29.08M,-6.329M,,-0.672M,-36.08M,,,,2.909M,-31.12M,-28.21M,,-62.17M,,1.484M,-88.90M,,250.08M,21.72M,2.753M,274.56M,,2.909M,,,-31.12M,,,
2007-03,121.55M,,0.89M,20.70M,20.70M,,,,0.35M,,,,,,62.56M,62.56M,,206.05M,,-23.68M,,-23.68M,,,0.672M,-23.01M,,,,6.305M,-20.89M,-14.58M,,-57.54M,,2.30M,-69.83M,,135.97M,113.21M,0.899M,250.08M,,6.305M,,,-20.89M,,,
2006-12,119.47M,,1.826M,17.93M,17.93M,,,,2.094M,,,,,,-11.80M,-116.97M,,18.86M,,-32.89M,,-28.44M,,,16.61M,-40.83M,,,0.00,2.494M,-0.929M,1.565M,,-57.52M,,1.185M,-54.77M,,214.39M,-76.74M,-1.684M,135.97M,,2.494M,,,-0.929M,,,
2006-09,121.33M,,1.066M,20.24M,20.24M,,,,3.079M,,,,,,24.31M,24.31M,,170.02M,,-34.56M,,-34.56M,,,-14.43M,-48.99M,,,0.00,1.026M,-39.07M,-38.05M,,-58.10M,,0.20M,-95.95M,,189.14M,25.08M,0.171M,214.39M,,1.026M,,,-39.07M,,,
2006-06,120.68M,,-0.409M,17.63M,17.63M,,,,3.77M,,,,,,42.88M,42.88M,,184.56M,,-31.07M,,-31.07M,,,1.083M,-29.99M,,,0.00,1.948M,-60.93M,-58.98M,,-58.28M,,0.271M,-117.00M,,150.17M,37.57M,1.403M,189.14M,,1.948M,,,-60.93M,,,
2006-03,113.92M,,2.017M,17.62M,17.62M,,,,,,,,,,-73.51M,-73.51M,,60.06M,,-27.52M,,-27.52M,,,1.733M,-25.79M,,,-0.881M,3.209M,-22.54M,-19.33M,,-54.14M,,1.349M,-73.01M,,188.91M,-38.74M,,150.17M,,3.209M,,,-22.54M,,,
2005-12,108.99M,,6.016M,14.10M,14.10M,,,,,,,,,,-258.62M,-226.35M,,-53.31M,,-26.40M,,16.65M,,,-11.43M,-22.29M,,,-0.028M,1.704M,-23.43M,-21.73M,,-54.33M,,,-76.09M,,339.50M,-151.69M,,188.91M,,1.704M,,,-23.43M,,,
2005-09,110.88M,,6.706M,17.17M,17.17M,,,,-2.188M,,,,,,44.04M,44.04M,,176.60M,,-18.99M,,-18.99M,,,5.157M,-13.83M,,,-0.022M,4.452M,-33.82M,-29.37M,,-54.41M,,,-83.80M,,260.54M,78.97M,,339.50M,,4.452M,,,-33.82M,,,
2005-06,110.97M,,-2.525M,17.19M,17.19M,,,,2.188M,,,,,,73.20M,73.20M,,201.02M,,-19.56M,,-19.56M,,,-0.533M,-20.09M,,,0.034M,7.407M,-31.02M,-23.61M,,-54.63M,,,-78.21M,,157.82M,102.72M,,260.54M,,7.407M,,,-31.02M,,,
2005-03,106.60M,,2.525M,17.07M,17.07M,,,,,,,,,,-9.983M,-9.983M,,116.21M,,-20.77M,,-20.77M,,,6.804M,-13.96M,,,-0.071M,4.162M,-30.97M,-26.80M,,-52.50M,,,-79.37M,,134.94M,22.88M,,157.82M,,4.162M,,,-30.97M,,,
2004-12,96.31M,,6.285M,12.43M,12.43M,,,,,,,,,,-131.35M,-49.67M,,85.03M,,-25.53M,,-18.39M,,,,-21.40M,,,-167.24M,5.874M,-1.189M,4.685M,,-52.42M,,,-214.98M,,284.70M,-151.36M,,134.94M,,5.874M,,,-1.189M,,,
2004-09,97.89M,,3.337M,16.58M,16.58M,,,,-1.656M,,,,,,116.37M,116.37M,,232.53M,,-20.98M,,-20.98M,,,,-20.98M,,,12.34M,2.731M,-17.17M,-14.44M,,-52.48M,,,-54.58M,,127.73M,156.97M,,284.70M,,2.731M,,,-17.17M,,,
2004-06,101.15M,,-2.517M,17.00M,17.00M,,,,1.656M,,,,,,39.26M,39.26M,,156.55M,,-13.51M,,-13.51M,,,,-13.51M,,,-6.167M,17.80M,-2.686M,15.11M,,-52.34M,,,-43.39M,,28.09M,99.64M,,127.73M,,17.80M,,,-2.686M,,,
2004-03,100.20M,,2.517M,16.19M,16.19M,,,,,,,,,,-37.78M,-37.78M,,81.13M,,-12.06M,,-12.06M,,,,-12.06M,,,-15.73M,11.12M,-0.43M,10.69M,,-51.33M,,,-56.38M,,15.39M,12.70M,,28.09M,,11.12M,,,-0.43M,,,
2003-12,86.74M,,-1.359M,16.91M,16.91M,,,,,,,,,,-8.704M,-53.44M,,76.20M,,-10.29M,,3.328M,,,-7.237M,-18.90M,,,-22.94M,1.763M,-0.032M,1.731M,,-51.30M,,,-72.51M,,31.48M,-15.21M,,15.39M,,1.763M,,,-0.032M,,,
2003-09,88.33M,,-0.032M,16.34M,16.34M,,,,2.242M,,,,,,73.19M,73.19M,,180.07M,,-26.42M,,-26.42M,,,8.10M,-18.32M,,,-101.03M,1.437M,-1.306M,0.131M,,-51.31M,,,-152.21M,,21.94M,9.534M,,31.48M,,1.437M,,,-1.306M,,,
2003-06,90.15M,,0.462M,18.74M,18.74M,,,,-2.242M,,,,,,-3.621M,-3.621M,,103.49M,,-11.53M,,-11.53M,,,0.00,-11.53M,,,-45.00M,0.773M,0.00,0.773M,,-50.82M,,,-95.05M,,25.03M,-3.088M,,21.94M,,0.773M,,,0.00,,,
2003-03,68.88M,,19.08M,17.03M,17.03M,,,,,,,,,,-62.56M,-62.56M,,42.43M,,-25.66M,,-25.66M,,,-0.863M,-26.52M,,,56.00M,0.628M,-16.37M,-15.74M,,-51.13M,,,-10.87M,,20.00M,5.035M,,25.03M,,0.628M,,,-16.37M,,,
2002-12,90.40M,,-2.938M,17.15M,17.15M,,,,,,,,,,35.54M,-180.46M,,-31.85M,,-18.25M,,-8.116M,3.862M,,,-4.254M,,,72.68M,0.469M,-8.789M,-8.32M,,-48.17M,,,16.19M,,39.60M,-19.91M,,20.00M,,0.469M,,,-8.789M,,,
2002-09,94.03M,,3.158M,16.70M,16.70M,,,,,,,,,,-15.03M,-15.03M,,98.85M,,-20.52M,,-20.52M,-9.904M,,,-30.43M,,,-0.329M,0.249M,-2.551M,-2.302M,,-50.74M,,,-53.37M,,24.55M,15.05M,,39.60M,,0.249M,,,-2.551M,,,
