,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2018-03,517.31M,517.31M,63.21M,454.10M,109.15M,33.30M,142.45M,224.18M,3.63M,,1.991M,6.975M,,-6.975M,,370.26M,83.84M,,6.975M,-6.975M,1.302M,-6.975M,78.17M,5.284M,72.88M,,,72.88M,71.03M,114.53M,29.39M,85.14M,0.27,,,0.2632,0.27,0.26,,,0.2534,0.26,273.77M,281.65M
2017-12,501.72M,501.72M,60.28M,441.44M,107.65M,33.29M,140.94M,203.47M,3.571M,,-12.18M,6.712M,,-2.833M,,347.98M,93.46M,,6.712M,-2.833M,-13.67M,-2.833M,76.95M,91.39M,-14.44M,,,-14.44M,-7.135M,112.58M,28.92M,83.66M,-0.05,,,-0.0233,-0.05,-0.05,,,-0.0241,-0.05,273.17M,282.22M
2017-09,485.40M,485.40M,54.48M,430.92M,104.26M,36.30M,140.56M,206.57M,3.453M,,0.055M,6.225M,,-6.225M,,350.59M,80.33M,,6.225M,-6.225M,12.44M,-6.225M,86.55M,5.39M,81.16M,,,81.16M,81.11M,121.07M,28.30M,92.77M,0.3,,,0.2998,0.3,0.29,,,0.2898,0.29,273.16M,281.40M
2017-06,479.00M,479.00M,60.83M,418.17M,103.90M,32.77M,136.67M,195.90M,3.836M,,0.929M,6.248M,,-6.248M,,336.41M,81.76M,,6.248M,-6.248M,1.853M,-6.248M,77.37M,8.239M,69.13M,,,69.13M,68.30M,113.02M,29.41M,83.61M,0.25,,,0.2469,0.25,0.25,,,0.247,0.25,271.89M,279.53M
2017-03,476.91M,476.91M,61.79M,415.12M,103.35M,31.82M,135.16M,198.29M,3.856M,,1.788M,6.479M,,-6.479M,,337.30M,77.81M,,6.479M,-6.479M,2.847M,-6.479M,74.18M,5.923M,68.26M,,,68.26M,66.61M,109.56M,28.89M,80.66M,0.25,,,0.2439,0.25,0.25,,,0.2441,0.25,270.17M,277.74M
2016-12,468.98M,468.98M,76.05M,392.93M,98.09M,29.98M,128.07M,181.52M,3.889M,,-25.42M,6.364M,,-3.447M,,313.47M,79.46M,,6.364M,-3.447M,-23.78M,-3.447M,52.23M,13.76M,38.48M,,,38.48M,57.20M,88.46M,29.86M,58.60M,0.14,,,0.2087,0.14,0.14,,,0.2071,0.14,272.58M,278.92M
2016-09,446.22M,446.22M,56.61M,389.61M,96.79M,30.44M,127.23M,191.55M,3.889M,,-0.101M,6.053M,,-6.053M,,322.67M,66.94M,,6.053M,-6.053M,2.735M,-6.053M,63.62M,-1.087M,64.71M,,,64.71M,64.77M,96.64M,26.97M,69.68M,0.23,,,0.2302,0.23,0.23,,,0.2302,0.23,280.62M,287.47M
2016-06,453.02M,453.02M,61.78M,391.24M,101.11M,36.39M,137.50M,182.37M,4.537M,,0.074M,5.896M,,-5.896M,,324.41M,66.83M,,5.896M,-5.896M,2.916M,-5.896M,63.85M,14.52M,49.34M,,,49.34M,49.28M,101.28M,31.53M,69.75M,0.17,,,0.1698,0.17,0.17,,,0.1698,0.17,288.19M,295.20M
2016-03,447.86M,447.86M,62.05M,385.81M,99.20M,28.30M,127.50M,179.91M,5.78M,,-14.59M,5.357M,,-5.357M,,313.19M,72.62M,,5.357M,-5.357M,-9.823M,-5.357M,57.44M,6.88M,50.56M,,,50.56M,63.40M,94.03M,31.23M,62.80M,0.17,,,0.2133,0.17,0.17,,,0.2123,0.17,296.62M,303.43M
2015-12,441.08M,441.08M,60.90M,380.18M,103.55M,26.79M,130.34M,161.97M,5.679M,,-0.347M,4.20M,,-1.533M,,297.99M,82.19M,,4.20M,-1.533M,-0.504M,-1.533M,80.15M,-0.224M,80.37M,,,80.37M,80.58M,114.51M,30.16M,84.35M,0.27,,,0.2707,0.27,0.26,,,0.2607,0.26,297.43M,310.51M
2015-09,433.76M,433.76M,65.21M,368.55M,101.95M,28.08M,130.03M,154.63M,5.687M,,-0.303M,4.177M,,-4.177M,,290.35M,78.20M,,4.177M,-4.177M,1.536M,-4.177M,75.56M,-2.061M,77.62M,,,77.62M,77.81M,108.78M,29.04M,79.74M,0.27,,,0.2706,0.27,0.25,,,0.2506,0.25,284.82M,313.19M
2015-06,415.88M,415.88M,51.76M,364.13M,96.66M,27.47M,124.13M,157.97M,6.119M,,0.498M,8.18M,,-8.18M,,288.22M,75.91M,,8.18M,-8.18M,1.845M,-8.18M,69.57M,11.41M,58.16M,,,58.16M,57.74M,107.28M,29.53M,77.75M,0.2,,,0.1985,0.2,0.19,,,0.1887,0.19,285.30M,313.66M
2015-03,411.37M,411.37M,60.58M,350.78M,100.27M,27.64M,127.91M,163.00M,6.231M,,-4.359M,11.75M,,-11.75M,,297.14M,53.64M,,11.75M,-11.75M,0.422M,-11.75M,42.31M,6.053M,36.26M,,,36.26M,39.99M,83.50M,29.43M,54.07M,0.13,,,0.1431,0.13,0.12,,,0.132,0.12,284.52M,311.85M
2014-12,423.10M,423.10M,58.12M,364.98M,102.37M,26.94M,129.31M,155.12M,6.912M,,-0.811M,11.96M,,-10.13M,,291.34M,73.64M,,11.96M,-10.13M,3.197M,-10.13M,66.70M,1.674M,65.03M,,,65.03M,65.82M,110.00M,31.34M,78.66M,0.23,,,0.2328,0.23,0.21,,,0.2125,0.21,283.97M,310.32M
2014-09,400.50M,400.50M,54.08M,346.42M,100.39M,25.89M,126.28M,148.74M,6.316M,,-11.03M,7.523M,,-7.523M,,281.34M,65.08M,,7.523M,-7.523M,-11.44M,-7.523M,46.11M,8.574M,37.54M,,,37.54M,46.51M,84.32M,30.69M,53.63M,0.13,,,0.1616,0.13,0.12,,,0.149,0.12,284.46M,310.00M
2014-06,378.79M,378.79M,54.41M,324.38M,98.61M,32.04M,130.65M,152.67M,5.579M,,0.026M,7.369M,,-7.369M,,288.90M,35.47M,,7.369M,-7.369M,1.661M,-7.369M,29.76M,6.50M,23.26M,,,23.26M,23.24M,64.72M,27.59M,37.13M,0.08,,,0.0799,0.08,0.08,,,0.0799,0.08,283.34M,305.76M
2014-03,378.55M,378.55M,57.10M,321.45M,98.32M,28.74M,127.07M,146.47M,5.21M,,-0.396M,7.268M,,-7.268M,,278.74M,42.71M,,7.268M,-7.268M,2.986M,-7.268M,38.43M,5.356M,33.07M,,,33.07M,33.41M,71.71M,26.02M,45.69M,0.12,,,0.1212,0.12,0.11,,,0.1111,0.11,281.62M,301.03M
2013-12,376.72M,376.72M,59.03M,317.69M,94.38M,29.48M,123.86M,135.46M,5.157M,0.00,-15.40M,9.208M,0.431M,-8.777M,,264.49M,53.20M,0.431M,9.208M,-8.777M,-14.99M,-8.777M,29.43M,-8.272M,37.70M,,,37.70M,47.68M,64.27M,25.63M,38.64M,0.13,,,0.1656,0.13,0.13,,,0.1638,0.13,280.08M,294.66M
2013-09,366.65M,366.65M,49.74M,316.91M,98.09M,27.58M,125.68M,138.08M,5.141M,0.00,-0.086M,9.583M,0.366M,-9.217M,,268.90M,48.02M,0.366M,9.583M,-9.217M,2.083M,-9.217M,40.88M,2.382M,38.50M,,,38.50M,36.65M,76.17M,25.70M,50.46M,0.14,,,0.1334,0.14,0.13,,,0.1238,0.13,278.98M,296.96M
2013-06,362.48M,362.48M,43.24M,319.24M,95.28M,34.44M,129.72M,136.40M,5.327M,,-2.656M,9.528M,0.484M,-9.044M,,271.44M,47.80M,0.484M,9.528M,-9.044M,-1.122M,-9.044M,37.63M,28.20M,9.429M,,,9.429M,10.05M,72.46M,25.30M,47.16M,0.03,,,0.0323,0.03,0.03,,,0.0321,0.03,277.15M,294.44M
2013-03,354.27M,354.27M,48.19M,306.08M,90.40M,29.81M,120.21M,124.08M,3.791M,,0.148M,9.262M,0.425M,-8.837M,,248.09M,57.99M,0.425M,9.262M,-8.837M,1.898M,-8.837M,51.05M,-27.56M,78.61M,,,78.61M,77.35M,81.99M,21.68M,60.31M,0.29,,,0.2854,0.29,0.27,,,0.2657,0.27,274.94M,292.15M
2012-12,345.58M,345.58M,43.79M,301.80M,95.60M,27.71M,123.32M,118.38M,3.772M,0.00,-0.064M,8.902M,0.449M,-8.453M,,245.47M,56.32M,0.449M,8.902M,-8.453M,4.856M,-8.453M,52.73M,-261.15M,313.87M,,,313.87M,310.81M,83.68M,22.05M,61.63M,1.15,,,1.139,1.15,1.1,,,1.089,1.1,272.99M,286.39M
2012-09,338.53M,338.53M,51.27M,287.26M,82.46M,26.35M,108.81M,115.08M,3.876M,1.081M,-1.138M,8.737M,0.399M,-8.338M,,227.76M,59.50M,0.399M,8.737M,-8.338M,-0.587M,-8.338M,50.57M,-8.011M,58.58M,,,58.58M,58.97M,82.74M,23.44M,59.31M,0.22,,,0.2214,0.22,0.21,,,0.2114,0.21,271.35M,283.33M
2012-06,326.48M,326.48M,49.48M,277.00M,80.42M,30.24M,110.66M,112.03M,3.643M,,-0.043M,8.566M,0.308M,-8.258M,,226.34M,50.66M,0.308M,8.566M,-8.258M,3.318M,-8.258M,45.72M,9.337M,36.39M,,,36.39M,33.76M,76.09M,21.80M,54.29M,0.13,,,0.1202,0.13,0.13,,,0.1204,0.13,269.74M,275.32M
2012-03,315.83M,315.83M,46.59M,269.24M,83.80M,27.77M,111.56M,108.59M,3.786M,,0.051M,8.537M,0.337M,-8.20M,,223.94M,45.30M,0.337M,8.537M,-8.20M,2.148M,-8.20M,39.25M,8.143M,31.10M,,,31.10M,29.47M,69.72M,21.94M,47.78M,0.12,,,0.1139,0.12,0.11,,,0.1041,0.11,267.94M,277.73M
2011-12,308.01M,308.01M,48.76M,259.24M,88.51M,24.14M,112.65M,97.02M,3.786M,0.00,-0.373M,10.44M,0.288M,-10.15M,,213.46M,45.78M,0.288M,10.44M,-10.15M,-2.404M,-10.15M,33.22M,22.33M,10.89M,,,10.89M,12.59M,66.38M,22.71M,43.67M,0.04,,,0.0464,0.04,0.04,,,0.0462,0.04,266.12M,273.06M
2011-09,292.46M,292.46M,49.82M,242.64M,79.91M,24.04M,103.96M,103.15M,3.786M,0.00,0.517M,10.83M,0.318M,-10.51M,,210.90M,31.74M,0.318M,10.83M,-10.51M,7.359M,-10.51M,28.59M,0.485M,28.11M,,,28.11M,20.87M,62.07M,22.65M,39.42M,0.11,0.0,,0.0827,0.11,0.1,0.0,,0.0733,0.1,264.72M,270.74M
2011-06,283.27M,283.27M,51.41M,231.86M,77.01M,25.38M,102.38M,99.27M,4.505M,,7.643M,10.77M,,-10.77M,,206.16M,25.71M,,10.77M,-10.77M,7.643M,-10.77M,22.58M,-4.325M,26.91M,,,26.91M,21.94M,56.73M,23.38M,33.35M,0.1,0.0,,0.0811,0.1,0.1,0.0,,0.0817,0.1,263.19M,270.88M
2011-03,266.10M,266.10M,45.17M,220.94M,78.37M,19.30M,97.67M,101.30M,4.459M,,1.96M,10.99M,0.373M,-10.61M,,203.43M,17.50M,0.373M,10.99M,-10.61M,4.137M,-10.61M,11.03M,4.704M,6.323M,,,6.323M,3.614M,44.92M,22.91M,22.01M,0.02,0.0,,0.0096,0.02,0.02,0.0,,0.0099,0.02,261.53M,268.58M
2010-12,249.02M,249.02M,38.85M,210.17M,83.22M,21.42M,104.64M,97.83M,4.459M,0.00,-29.66M,10.46M,0.348M,-10.12M,,206.93M,3.243M,0.348M,10.46M,-10.12M,-26.80M,-10.12M,-33.67M,3.365M,-37.04M,,,-37.04M,-19.24M,0.332M,23.54M,-23.21M,-0.14,,,-0.0715,-0.14,-0.14,,,-0.0734,-0.14,259.78M,267.34M
2010-09,237.93M,237.93M,39.82M,198.12M,76.06M,25.08M,101.15M,97.28M,4.459M,0.00,-0.34M,10.48M,0.303M,-10.17M,,202.88M,-4.765M,0.303M,10.48M,-10.17M,-1.528M,-10.17M,-16.47M,-143.22M,126.75M,,,126.75M,127.73M,17.47M,23.46M,-5.99M,0.49,0.0,,0.4938,0.49,0.48,0.0,,0.4837,0.48,258.61M,263.30M
2010-06,227.06M,227.06M,39.16M,187.90M,71.51M,17.06M,88.57M,91.88M,2.551M,1.50M,-6.381M,7.972M,0.302M,-7.67M,,183.00M,4.902M,0.302M,7.972M,-7.67M,-3.085M,-7.67M,-5.853M,-54.46M,48.61M,,,48.61M,50.58M,21.99M,19.87M,2.119M,0.19,0.0,,0.1975,0.19,0.18,0.0,,0.1874,0.18,262.16M,266.42M
2010-03,221.94M,221.94M,38.62M,183.32M,74.76M,22.83M,97.60M,89.43M,2.691M,,1.044M,7.431M,0.248M,-7.183M,,189.72M,-6.394M,0.248M,7.431M,-7.183M,6.80M,-7.183M,-6.777M,5.008M,-11.78M,,,-11.78M,-16.22M,22.12M,21.46M,0.654M,-0.04,0.0,,-0.0569,-0.04,-0.04,0.0,,-0.0569,-0.04,262.60M,262.60M
2009-12,220.28M,220.28M,40.39M,179.89M,72.23M,21.34M,93.57M,81.31M,2.726M,0.00,-15.28M,7.28M,0.539M,-6.741M,,177.60M,2.287M,0.539M,7.28M,-6.741M,-9.359M,-6.741M,-13.81M,-15.60M,1.79M,,,1.79M,7.801M,15.27M,21.80M,-6.533M,0.01,0.0,,0.0331,0.01,0.01,0.0,,0.0331,0.01,260.75M,260.75M
2009-09,216.12M,216.12M,38.65M,177.47M,68.28M,28.73M,97.01M,88.05M,2.726M,0.601M,-0.732M,7.278M,0.278M,-7.00M,,187.79M,-10.32M,0.278M,7.278M,-7.00M,2.814M,-7.00M,-14.50M,-0.455M,-14.05M,,,-14.05M,-16.91M,14.09M,21.31M,-7.224M,-0.05,0.0,,-0.061,-0.05,-0.05,0.0,,-0.061,-0.05,259.19M,259.19M
2009-06,209.93M,209.93M,46.03M,163.90M,71.43M,34.24M,105.67M,90.65M,2.828M,0.613M,-20.10M,7.266M,0.75M,-6.516M,,199.15M,-35.25M,0.75M,7.266M,-6.516M,-21.81M,-6.516M,-63.58M,10.78M,-74.36M,,,-74.36M,-60.24M,-32.54M,23.77M,-56.31M,-0.29,0.0,,-0.235,-0.29,-0.29,0.0,,-0.235,-0.29,256.88M,256.88M
2009-03,206.30M,206.30M,44.18M,162.12M,74.89M,38.34M,113.23M,94.69M,3.14M,3.993M,-0.144M,7.048M,1.029M,-6.019M,,211.06M,-48.94M,1.029M,7.048M,-6.019M,-6.658M,-6.019M,-61.61M,1.644M,-63.26M,,,-63.26M,-59.02M,-28.31M,26.26M,-54.56M,-0.25,0.0,,-0.2334,-0.25,-0.25,0.0,,-0.2334,-0.25,254.30M,254.30M
2008-12,227.34M,227.34M,49.27M,178.07M,84.39M,46.42M,130.82M,99.98M,5.526M,5.987M,-1.378B,6.706M,2.594M,-4.112M,,236.33M,-58.26M,2.594M,6.706M,-4.112M,-1.379B,-4.112M,-1.441B,193.05M,-1.634B,,,-1.634B,-738.04M,-1.404B,30.45M,-1.434B,-6.43,0.0,,-2.83,-6.43,-6.43,0.0,,-2.83,-6.43,248.94M,248.94M
2008-09,232.49M,232.49M,51.42M,181.07M,91.08M,32.94M,124.01M,112.49M,5.626M,2.362M,-50.01M,7.042M,3.989M,-3.053M,,242.12M,-61.05M,3.989M,7.042M,-3.053M,-59.82M,-3.053M,-123.93M,46.73M,-170.66M,,,-170.66M,-131.84M,-85.27M,31.62M,-116.89M,-0.67,0.0,,-0.5165,-0.67,-0.67,0.0,,-0.5165,-0.67,252.92M,252.92M
2008-06,308.04M,308.04M,57.06M,250.98M,89.91M,34.96M,124.87M,120.09M,5.82M,2.903M,-4.116M,6.74M,5.059M,-1.681M,,250.78M,0.201M,5.059M,6.74M,-1.681M,-6.454M,-1.681M,-7.934M,10.88M,-18.81M,,,-18.81M,-14.87M,30.83M,32.02M,-1.194M,-0.07,0.0,,-0.0544,-0.07,-0.07,0.0,,-0.0544,-0.07,252.63M,252.63M
2008-03,270.75M,270.75M,51.73M,219.02M,93.03M,37.71M,130.74M,125.36M,5.76M,6.001M,-3.503M,6.914M,8.775M,1.861M,,261.86M,-42.84M,8.775M,6.914M,1.861M,-3.612M,1.861M,-44.59M,-11.45M,-33.14M,,,-33.14M,-30.71M,-5.281M,32.40M,-37.68M,-0.13,0.0,,-0.1207,-0.13,-0.13,0.0,,-0.1207,-0.13,262.82M,262.82M
2007-12,457.94M,457.94M,56.15M,401.79M,,,155.06M,128.61M,5.76M,,-2.438M,,,,,289.43M,112.36M,,,,0.066M,,120.06M,0.554M,119.50M,,,119.50M,121.93M,211.75M,33.85M,177.90M,0.44,0.0,,0.449,0.44,0.41,0.0,,0.4184,0.41,268.76M,289.02M
2007-09,400.92M,400.92M,52.40M,348.52M,,,137.91M,125.39M,4.739M,,6.764M,,,,,268.04M,80.48M,,,,5.98M,,96.22M,23.49M,72.73M,,,72.73M,67.62M,113.97M,33.49M,80.48M,0.27,0.0,,0.2513,0.27,0.24,0.0,,0.2229,0.24,272.98M,299.51M
2007-06,390.96M,390.96M,51.56M,339.40M,,,139.87M,122.96M,4.413M,,4.222M,,,,,267.25M,72.15M,,,,3.139M,,84.87M,25.27M,59.60M,,,59.60M,56.63M,103.54M,31.39M,72.15M,0.22,0.0,,0.2092,0.22,0.2,0.0,,0.1902,0.2,274.42M,302.75M
2007-03,365.18M,365.18M,54.39M,310.80M,,,143.31M,117.06M,4.509M,,8.89M,,,,,264.88M,45.91M,,,,8.253M,,62.93M,18.51M,44.42M,,,44.42M,38.15M,77.83M,31.92M,45.91M,0.16,0.0,,0.1367,0.16,0.15,0.0,,0.1286,0.15,269.66M,293.60M
2006-12,431.02M,431.02M,53.92M,377.10M,,,150.56M,117.93M,5.159M,,-31.98M,,,,,275.08M,102.02M,,,,-33.18M,,77.49M,29.12M,48.36M,0.00,,48.36M,68.33M,135.27M,33.26M,102.02M,0.18,-0.01,0.0,0.2528,0.17,0.16,-0.01,0.0,0.225,0.16,274.18M,307.26M
2006-09,366.15M,366.15M,52.74M,313.41M,,,132.74M,110.34M,4.606M,,0.145M,,,,-0.428M,247.25M,66.16M,,,,0.145M,,72.78M,30.72M,42.06M,,,42.06M,41.97M,100.48M,34.32M,66.16M,0.15,0.0,,0.1497,0.15,0.14,0.0,,0.1397,0.14,279.33M,312.27M
2006-06,358.51M,358.51M,59.85M,298.67M,,,136.08M,115.54M,5.026M,,15.03M,,,,,256.64M,42.03M,,,,15.03M,,53.68M,23.29M,30.39M,,,30.39M,21.37M,80.63M,38.60M,42.03M,0.11,0.0,,0.0781,0.11,0.1,0.0,,0.0716,0.1,282.31M,317.00M
2006-03,328.21M,328.21M,60.60M,267.62M,,,129.52M,116.26M,8.35M,,27.98M,,,,,254.13M,13.49M,,,,27.98M,,37.93M,16.57M,21.36M,0.418M,,21.78M,4.573M,54.43M,40.94M,13.49M,0.08,0.0,0.0,0.0204,0.08,0.07,0.0,0.0013,0.0168,0.07,281.64M,315.35M
2005-12,378.36M,378.36M,53.51M,324.86M,,,130.92M,94.80M,8.562M,,3.192M,,,,,234.27M,90.58M,,,,3.192M,,92.27M,65.70M,26.57M,,,26.57M,24.65M,131.57M,40.99M,90.58M,0.1,0.0,,0.0932,0.1,0.08,0.0,,0.074,0.08,281.66M,319.77M
2005-09,337.38M,337.38M,56.26M,281.12M,,,139.66M,93.54M,13.91M,,0.885M,,,,,247.11M,34.02M,,,,0.885M,,33.68M,12.41M,21.27M,,,21.27M,20.71M,82.34M,48.32M,34.02M,0.08,0.0,,0.078,0.08,0.07,0.0,,0.0682,0.07,281.22M,317.74M
2005-06,320.91M,320.91M,60.33M,260.58M,,,122.76M,91.42M,14.68M,,-29.37M,,,,8.635M,237.48M,23.10M,,,,-29.37M,,1.023M,0.54M,0.483M,,,0.483M,18.10M,74.15M,51.05M,23.10M,0.0017,,,0.0654,0.0017,0.0016,,,0.0582,0.0016,277.00M,310.82M
2005-03,292.54M,292.54M,58.69M,233.85M,,,116.98M,90.39M,10.61M,,-12.98M,,,,,217.98M,15.87M,,,,-12.98M,,1.505M,0.482M,1.023M,,,1.023M,9.847M,60.22M,44.35M,15.87M,0.0037,,,0.0359,0.0037,0.0033,,,0.032,0.0033,274.20M,307.35M
2004-12,343.10M,343.10M,58.12M,284.97M,,,90.35M,87.71M,42.44M,,1.281M,,,,,220.50M,64.47M,,,,1.281M,,64.38M,4.581M,59.80M,,,59.80M,58.61M,136.58M,72.10M,64.47M,0.22,0.0,,0.2156,0.22,0.2,0.0,,0.1961,0.2,270.77M,302.44M
2004-09,301.58M,301.58M,60.81M,240.77M,,,105.42M,85.30M,12.74M,,-7.217M,,,,,203.46M,37.32M,,,,-7.217M,,28.54M,8.904M,19.63M,,,19.63M,24.60M,66.80M,29.49M,37.32M,0.07,0.0,,0.0884,0.07,0.07,0.0,,0.0865,0.07,270.51M,301.71M
2004-06,287.08M,287.08M,51.80M,235.28M,,,100.38M,91.09M,24.22M,,-13.14M,,,,7.00M,222.68M,12.59M,,,,-13.14M,,4.751M,0.948M,3.803M,,,3.803M,14.32M,76.26M,63.66M,12.59M,0.01,0.0,,0.0486,0.01,0.01,0.0,,0.0478,0.01,272.36M,278.64M
2004-03,265.72M,265.72M,55.32M,210.41M,,,105.26M,87.15M,15.91M,,-11.75M,,,,,208.32M,2.085M,,,,-11.75M,,-11.22M,-2.47M,-8.755M,,,-8.755M,0.4118M,47.44M,45.36M,2.085M,-0.03,0.0,,0.0038,-0.03,-0.03,0.0,,0.0038,-0.03,271.48M,271.48M
2003-12,311.09M,311.09M,52.06M,259.03M,,,96.55M,82.44M,31.88M,,-8.01M,,,,0.00,210.87M,48.16M,,,,-8.01M,,38.85M,23.62M,15.23M,,,15.23M,20.04M,111.99M,63.83M,48.16M,0.05,0.0,,0.0682,0.05,0.05,0.0,,0.0682,0.05,264.36M,264.36M
2003-09,268.76M,268.76M,51.36M,217.40M,,,99.57M,84.18M,27.98M,,-49.17M,,,,-12.50M,199.23M,18.16M,,,,-49.17M,,-45.89M,-31.44M,-14.46M,,,-14.46M,15.04M,72.72M,54.55M,18.16M,-0.05,0.0,,0.0606,-0.05,-0.05,0.0,,0.0606,-0.05,266.76M,266.76M
