,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,72.88M,,,,-0.996M,,,29.39M,29.39M,1.363M,,,37.90M,0.122M,-10.99M,2.105M,8.392M,-46.96M,,,63.76M,16.32M,157.65M,-13.13M,,-13.13M,,,0.00,,-13.13M,,-43.87M,-43.87M,23.34M,-76.53M,-53.19M,,,,-97.06M,688.09M,47.46M,11.42M,746.97M,23.34M,0.00,-43.87M,-76.53M,6.025M,2.716M
2017-12,-14.44M,,,,3.048M,,,28.92M,28.92M,79.72M,,,36.02M,-2.819M,-21.49M,2.752M,-21.17M,15.14M,,,20.06M,-4.711M,126.86M,-18.22M,,-18.22M,,-142.70M,0.412M,,-160.51M,0.00,88.87M,88.87M,3.546M,-53.04M,-49.50M,,,0.00,39.37M,678.28M,5.714M,4.089M,688.09M,3.546M,88.87M,0.00,-53.04M,19.05M,9.972M
2017-09,81.16M,,,,-10.42M,,,28.30M,28.30M,-4.601M,,,36.09M,1.893M,-15.88M,-0.253M,-3.07M,-19.13M,,,-6.27M,-44.61M,89.31M,-12.19M,,-12.19M,,-0.55M,9.34M,,-3.398M,0.00,0.00,0.00,15.45M,-78.32M,-62.87M,,,0.00,-62.87M,656.00M,23.04M,-0.758M,678.28M,15.45M,0.00,0.00,-78.32M,12.78M,2.076M
2017-06,69.13M,,,,-0.855M,,,29.41M,29.41M,2.823M,,,30.48M,1.081M,28.82M,-3.465M,2.22M,24.16M,,,-21.66M,30.07M,162.14M,-12.64M,,-12.64M,,,0.082M,,-12.56M,,-50.00M,-50.00M,7.252M,-3.349M,3.903M,,,0.00,-46.10M,544.13M,103.48M,8.39M,656.00M,7.252M,0.00,-50.00M,-3.349M,17.47M,9.893M
2017-03,68.26M,,,,-1.228M,,,28.89M,28.89M,1.99M,,,27.44M,1.709M,-22.48M,6.00M,-3.777M,-46.16M,,,31.78M,-34.63M,92.43M,-14.84M,,-14.84M,,,0.107M,,-14.74M,,0.00,0.00,22.72M,-22.47M,0.245M,,,-0.793M,-0.548M,465.23M,77.15M,1.75M,544.13M,22.72M,50.00M,-50.00M,-22.47M,9.767M,2.219M
2016-12,38.48M,-0.441M,,,-1.096M,,,29.86M,29.86M,-13.53M,,,29.23M,2.435M,-6.48M,21.27M,5.232M,49.24M,,,41.91M,111.17M,196.86M,-11.26M,0.441M,-10.82M,,0.00,5.605M,,-5.214M,0.00,0.00,0.00,5.147M,-241.79M,-236.64M,,,0.00,-236.64M,524.33M,-44.99M,-14.11M,465.23M,5.147M,65.00M,-65.00M,-241.79M,9.491M,9.786M
2016-09,64.71M,-0.482M,,,-1.287M,,,26.97M,26.97M,-1.595M,,,30.00M,1.384M,6.405M,-6.043M,-3.445M,-32.57M,,,-0.063M,-35.72M,84.46M,-14.16M,0.482M,-13.68M,,0.00,26.83M,,13.14M,0.00,0.00,0.00,14.00M,-258.14M,-244.14M,,,0.00,-244.14M,669.57M,-146.54M,1.297M,524.33M,14.00M,0.00,0.00,-258.14M,13.60M,1.815M
2016-06,49.34M,,,,-0.648M,,,31.53M,31.53M,8.629M,,,25.36M,0.813M,-15.15M,-6.582M,1.442M,28.54M,,,-42.90M,-34.65M,80.37M,-16.17M,,-16.17M,,-37.77M,61.28M,,7.338M,0.00,0.00,0.00,12.10M,-242.36M,-230.27M,,,-0.08M,-230.35M,810.40M,-142.64M,1.818M,669.57M,12.10M,0.00,0.00,-242.36M,8.931M,9.314M
2016-03,50.56M,,,,-2.617M,,,31.23M,31.23M,1.623M,,,24.63M,0.464M,11.62M,-3.714M,-10.13M,-42.56M,,,22.08M,-22.70M,83.19M,-12.12M,,-12.12M,,-3.853M,2.058M,,-13.91M,300.00M,50.00M,350.00M,24.20M,-255.22M,-231.02M,,,-0.542M,118.43M,616.69M,187.71M,6.001M,810.40M,24.20M,350.00M,0.00,-255.22M,4.799M,0.109M
2015-12,80.37M,,,,-0.69M,,,30.16M,30.16M,-14.86M,,,24.66M,0.932M,-34.63M,0.741M,11.07M,43.48M,,,-18.38M,2.277M,122.85M,-10.72M,,-10.72M,,0.00,0.738M,,-9.977M,0.00,0.00,0.00,15.49M,-121.91M,-106.42M,,,-1.349M,-107.77M,616.09M,5.105M,-4.51M,616.69M,15.49M,0.00,0.00,-121.91M,5.564M,7.784M
2015-09,77.62M,,,,0.156M,,,29.04M,29.04M,-5.384M,,,24.12M,-0.997M,-2.022M,4.382M,-4.415M,-7.501M,,,-28.10M,-37.65M,86.91M,-10.03M,,-10.03M,,,3.603M,,-6.423M,0.00,,0.00,21.28M,-136.04M,-114.76M,,,6.843M,-107.92M,647.85M,-27.43M,-4.328M,616.09M,21.28M,,0.00,-136.04M,7.557M,0.128M
2015-06,58.16M,,,,-0.32M,,,29.53M,29.53M,5.233M,,,21.70M,3.239M,4.372M,-7.925M,1.968M,24.10M,,,-18.31M,4.209M,121.75M,-16.55M,,-16.55M,,0.00,-3.141M,,-19.69M,-296.14M,0.00,-296.14M,13.56M,-72.09M,-58.54M,,,17.73M,-336.94M,887.74M,-234.88M,-5.008M,647.85M,13.56M,0.00,-296.14M,-72.09M,5.505M,11.88M
2015-03,36.26M,,,,-1.27M,,,29.43M,29.43M,1.864M,,,21.86M,6.874M,-12.45M,1.682M,-10.00M,-44.75M,,,17.19M,-48.33M,46.69M,-7.52M,,-7.52M,,,-0.896M,,-8.416M,-53.86M,,-53.86M,24.61M,-36.80M,-12.19M,,,-7.632M,-73.68M,932.16M,-35.41M,-9.015M,887.74M,24.61M,,-53.86M,-36.80M,10.87M,0.125M
2014-12,65.03M,,,,-1.505M,,,31.34M,31.34M,-6.485M,,,22.97M,6.299M,-16.07M,4.088M,-2.493M,19.48M,,,9.409M,14.42M,132.07M,-11.85M,,-11.85M,,0.127M,4.994M,,-6.731M,348.65M,0.00,348.65M,11.20M,-38.62M,-27.42M,,,-4.381M,316.84M,500.48M,442.18M,-10.50M,932.16M,11.20M,348.65M,0.00,-38.62M,5.043M,4.85M
2014-09,37.54M,,,,1.926M,,,30.69M,30.69M,14.18M,,,22.88M,7.576M,-7.194M,-3.53M,13.59M,-2.073M,,,-27.89M,-27.09M,87.69M,-10.24M,,-10.24M,,-3.563M,3.012M,,-10.79M,-0.001M,-100.00M,-100.00M,18.24M,-48.90M,-30.66M,,,2.822M,-127.84M,557.42M,-50.94M,-5.988M,500.48M,18.24M,0.00,-100.00M,-48.90M,11.18M,0.282M
2014-06,23.26M,,,,-1.477M,,,27.59M,27.59M,2.533M,,,19.08M,6.282M,5.444M,-2.893M,-3.849M,16.13M,,,-23.24M,-8.405M,68.86M,-11.46M,,-11.46M,,-136.26M,1.424M,,-146.30M,0.00,100.00M,100.00M,13.10M,-13.83M,-0.721M,,,0.815M,100.09M,532.76M,22.66M,1.998M,557.42M,13.10M,100.00M,0.00,-13.83M,4.838M,4.719M
2014-03,33.07M,,,,-3.651M,,,26.02M,26.02M,2.245M,,,18.86M,7.226M,-0.108M,-9.373M,-9.753M,-29.68M,,,-6.759M,-55.67M,28.10M,-6.252M,,-6.252M,,-27.42M,-0.514M,,-34.19M,0.00,,0.00,23.38M,-23.50M,-0.121M,,,-0.008M,-0.129M,536.26M,-6.219M,2.72M,532.76M,23.38M,,0.00,-23.50M,5.393M,0.112M
2013-12,37.70M,,,,-1.276M,,,25.63M,25.63M,4.059M,,,18.80M,8.031M,-5.801M,-4.589M,3.441M,23.45M,,,9.719M,26.22M,119.16M,-8.979M,,-8.979M,,0.00,-0.861M,,-9.84M,-144.56M,-50.00M,-194.56M,1.966M,-0.679M,1.287M,,,-0.46M,-193.73M,620.40M,-84.41M,0.267M,536.26M,1.966M,0.00,-194.56M,-0.679M,-5.281M,5.891M
2013-09,38.50M,,,,-1.558M,,,25.70M,25.70M,-2.012M,,,18.57M,8.227M,-6.527M,-7.333M,0.411M,8.254M,,,15.98M,10.78M,98.21M,-12.21M,,-12.21M,,-0.686M,6.75M,,-6.147M,-0.078M,-50.00M,-50.08M,10.46M,-7.703M,2.761M,,,2.099M,-45.22M,577.23M,46.84M,-3.675M,620.40M,10.46M,0.00,-50.08M,-7.703M,-1.317M,0.244M
2013-06,9.429M,,,,-1.471M,,,25.30M,25.30M,-13.11M,,,15.11M,7.784M,-14.93M,-1.693M,27.62M,21.03M,,,-0.16M,31.86M,74.90M,-17.17M,,-17.17M,,-391.38M,-0.535M,,-409.09M,,100.00M,100.00M,8.426M,-2.983M,5.443M,,,2.024M,107.47M,810.15M,-226.72M,-6.194M,577.23M,8.426M,100.00M,,-2.983M,6.598M,6.111M
2013-03,78.61M,,,,-1.006M,,,21.68M,21.68M,8.695M,,,13.81M,5.274M,23.65M,-0.979M,-1.099M,-11.00M,,,-62.30M,-51.73M,75.34M,-6.569M,,-6.569M,,-0.757M,5.505M,,-1.821M,,,,21.80M,-8.775M,13.03M,,,2.168M,15.19M,726.36M,88.71M,-4.914M,810.15M,21.80M,,,-8.775M,,0.183M
2012-12,313.87M,,,,-4.098M,,,22.05M,22.05M,-226.32M,,,13.28M,5.985M,21.35M,-1.691M,-13.97M,19.24M,,,-53.82M,-28.89M,95.88M,-10.03M,,-10.03M,,0.00,-4.824M,,-14.86M,0.00,0.00,0.00,3.932M,-2.271M,1.661M,,,-3.97M,-2.309M,649.10M,78.71M,-1.451M,726.36M,3.932M,0.00,0.00,-2.271M,6.156M,5.677M
2012-09,58.58M,,,,1.947M,,,23.44M,23.44M,-14.57M,,,12.40M,5.965M,7.763M,6.437M,1.133M,2.98M,,,-14.15M,4.166M,91.93M,-7.663M,,-7.663M,,-65.39M,-44.86M,,-117.92M,0.00,0.00,0.00,15.69M,-3.56M,12.13M,,,1.715M,13.85M,661.66M,-12.14M,-0.417M,649.10M,15.69M,0.00,0.00,-3.56M,2.68M,0.00
2012-06,36.39M,,,,-2.22M,,,21.80M,21.80M,0.236M,,,10.36M,8.613M,-43.66M,0.653M,5.959M,14.89M,,,14.46M,-7.694M,67.48M,-10.07M,,-10.07M,,0.00,-48.95M,,-59.02M,,0.00,0.00,0.302M,-3.724M,-3.422M,,,-1.674M,-5.096M,659.69M,3.368M,-1.397M,661.66M,0.302M,0.00,,-3.724M,5.102M,5.677M
2012-03,31.10M,,,,-1.949M,,,21.94M,21.94M,0.223M,,,11.52M,6.48M,60.17M,-0.154M,-5.545M,-19.58M,,,-43.50M,-8.613M,60.71M,-8.201M,,-8.201M,,-1.041M,-0.206M,,-9.448M,,,,12.76M,-6.173M,6.588M,,,2.803M,9.391M,601.60M,60.65M,-2.567M,659.69M,12.76M,,,-6.173M,4.699M,0.00
2011-12,72.23M,,19.22M,,3.483M,,,22.71M,22.71M,5.416M,-22.07M,,12.00M,-32.53M,13.06M,2.947M,0.335M,24.88M,,,-40.33M,0.89M,62.14M,-13.72M,,-13.72M,,0.00,5.172M,,-8.546M,-147.17M,,-147.17M,2.72M,-4.299M,-1.579M,,,-3.19M,-151.94M,696.10M,-98.35M,3.85M,601.60M,2.72M,,-147.17M,-4.299M,,
2011-09,-33.23M,,-5.544M,,-5.544M,,,22.65M,22.65M,0.07M,7.481M,,11.89M,62.57M,-0.806M,-2.78M,17.75M,-23.18M,,,-3.735M,-12.75M,52.43M,-6.391M,,-6.391M,,-21.19M,2.039M,,-25.54M,0.00,,0.00,6.692M,-2.537M,4.155M,,,1.93M,6.085M,665.32M,32.97M,-2.189M,696.10M,6.692M,,0.00,-2.537M,,
2011-06,33.23M,,-9.229M,,-9.229M,,,23.38M,23.38M,-4.876M,7.324M,,10.34M,-4.222M,26.89M,-2.971M,7.425M,-27.97M,,,10.78M,14.16M,69.41M,-6.131M,,-6.131M,,-20.33M,8.199M,,-18.26M,0.00,,0.00,1.405M,-4.535M,-3.13M,,,0.807M,-2.323M,612.21M,48.83M,4.278M,665.32M,1.405M,,0.00,-4.535M,,
2011-03,,,-4.447M,,-4.447M,,,22.91M,22.91M,0.065M,7.263M,,9.357M,6.876M,37.64M,-4.016M,-5.456M,-20.68M,,,12.05M,19.54M,56.36M,-5.181M,,-5.181M,,-2.538M,3.566M,,-4.153M,-2.829M,,-2.829M,8.897M,-2.854M,6.043M,,,0.16M,3.374M,557.41M,55.59M,-0.787M,612.21M,8.897M,,-2.829M,-2.854M,,
2010-12,126.54M,0.799M,5.133M,-0.105M,0.227M,,,23.54M,23.54M,6.426M,-18.33M,0.00,10.64M,-136.86M,17.98M,-10.52M,1.436M,56.97M,,,-17.28M,48.59M,57.01M,-3.136M,0.00,-5.842M,2.706M,-2.706M,0.317M,,-5.525M,85.10M,,85.10M,0.374M,-3.065M,-2.691M,,0.00,-90.23M,-7.821M,509.04M,43.67M,4.706M,557.41M,0.374M,-0.28M,85.38M,-3.065M,,
2010-09,-36.82M,-0.799M,1.802M,0.032M,1.035M,,,23.46M,23.46M,-1.351M,7.03M,-1.436M,12.01M,163.99M,8.301M,-5.082M,-10.05M,-2.718M,,,-111.58M,-121.13M,46.43M,-10.36M,0.90M,-9.275M,-0.189M,-2.166M,-2.357M,,-13.99M,-2.44M,,-2.44M,5.15M,-1.761M,3.389M,,0.00,-9.683M,-8.734M,475.60M,23.71M,9.725M,509.04M,5.15M,0.00,-2.44M,-1.761M,,
2010-06,48.61M,,-6.935M,0.046M,4.023M,,,19.87M,19.87M,-67.56M,5.778M,1.763M,10.44M,2.40M,11.32M,-4.876M,-12.26M,5.101M,,,34.79M,34.07M,49.00M,-10.90M,,-8.866M,-2.03M,-253.95M,0.669M,,-264.18M,76.70M,,76.70M,0.075M,-42.03M,-41.96M,,37.45M,0.029M,72.22M,619.30M,-142.96M,-0.737M,475.60M,0.075M,350.28M,-273.58M,-42.03M,,
2010-03,-11.78M,,,0.027M,-5.564M,,,21.46M,21.46M,-1.706M,5.523M,0.164M,10.37M,0.94M,33.78M,-6.047M,-1.518M,0.925M,,,2.747M,29.89M,46.70M,-10.39M,,-9.899M,-0.487M,0.00,8.964M,,-1.422M,-1.719M,,-1.719M,8.044M,-2.079M,5.965M,,,0.03M,4.276M,569.12M,49.56M,0.631M,619.30M,8.044M,,-1.719M,-2.079M,,
2009-12,1.79M,0.00,,0.112M,-11.31M,,,21.80M,21.80M,3.082M,5.355M,5.334M,11.02M,-15.08M,-2.434M,1.05M,2.648M,-15.46M,,,-27.83M,-42.03M,0.908M,-10.80M,3.864M,-6.94M,0.00,0.00,3.996M,,-2.944M,-2.467M,,-2.467M,0.148M,4.055M,4.203M,,0.00,-2.109M,-0.373M,570.62M,-2.409M,0.907M,569.12M,0.148M,0.00,-2.467M,4.055M,,
2009-09,-14.05M,0.00,,0.138M,-3.546M,,,21.31M,21.31M,-1.476M,5.313M,2.908M,14.46M,5.862M,45.66M,-3.001M,-3.916M,-13.15M,,,-34.65M,-9.057M,21.72M,-8.602M,0.00,-8.222M,-0.38M,-9.23M,-0.611M,,-18.44M,0.00,,0.00,8.261M,-1.616M,6.645M,,0.00,-1.671M,4.974M,556.92M,8.254M,5.438M,570.62M,8.261M,0.00,0.00,-1.616M,,
2009-06,-74.36M,,,0.085M,4.077M,,,23.77M,23.77M,-1.971M,5.215M,0.266M,16.51M,8.387M,43.39M,6.512M,-0.297M,-2.511M,,,-18.64M,28.45M,10.34M,-7.858M,,-7.464M,-0.394M,-1.353M,-0.40M,,-9.611M,0.796M,,0.796M,0.08M,-1.78M,-1.70M,,0.00,-0.796M,-1.70M,554.40M,-0.967M,3.488M,556.92M,0.08M,0.00,0.796M,-1.78M,,
2009-03,-63.26M,,,0.146M,9.972M,,,26.26M,26.26M,-3.073M,5.029M,3.429M,12.73M,5.542M,89.70M,-0.665M,0.172M,-63.74M,,,-29.44M,-3.965M,-7.338M,-14.82M,,-14.82M,0.00,-3.543M,-1.15M,,-19.51M,-0.796M,,-0.796M,19.52M,-0.659M,18.86M,,,,18.07M,568.26M,-8.783M,-5.068M,554.40M,19.52M,,-0.796M,-0.659M,,
2008-12,-1.634B,-0.35M,,0.122M,-38.20M,,,30.45M,30.45M,209.88M,4.696M,1.382B,23.60M,49.91M,-19.26M,-2.902M,-1.197M,-1.30M,,,24.71M,0.058M,32.56M,-17.37M,,-16.18M,-1.189M,-0.31M,3.191M,,-14.49M,-0.793M,,-0.793M,0.076M,3.693M,3.769M,,,-5.058M,-2.082M,551.75M,15.99M,0.512M,568.26M,0.076M,0.00,-0.793M,3.693M,,
2008-09,-170.66M,1.42M,,0.105M,31.85M,,,31.62M,31.62M,1.763M,4.411M,0.514M,14.63M,2.374M,25.63M,0.743M,4.654M,15.10M,,,35.59M,81.72M,-1.777M,-21.17M,,-20.34M,-0.824M,-14.43M,16.77M,,-18.83M,-230.21M,,-230.21M,21.48M,-58.12M,-36.64M,,,0.139M,-266.71M,836.51M,-287.32M,2.558M,551.75M,21.48M,0.00,-230.21M,-58.12M,,
2008-06,-18.81M,-0.535M,,0.385M,16.65M,,,32.02M,32.02M,-12.86M,4.409M,0.393M,21.45M,0.398M,19.89M,3.462M,-4.529M,24.25M,,,-28.14M,14.93M,58.59M,-36.17M,,-36.17M,0.00,-0.629M,-29.48M,,-66.29M,17.97M,,17.97M,1.152M,-1.08M,0.072M,,,0.193M,18.24M,825.54M,10.53M,0.434M,836.51M,1.152M,17.97M,0.00,-1.08M,,
2008-03,-33.14M,-0.535M,,0.333M,15.23M,,,32.40M,32.40M,0.00,4.503M,1.097M,21.59M,5.837M,22.17M,1.281M,-3.546M,-80.93M,,,-5.571M,-66.60M,-19.08M,-24.97M,,-24.60M,-0.375M,-5.56M,3.25M,,-27.28M,0.00,,0.00,25.48M,-218.44M,-192.96M,,,0.095M,-192.86M,1.063B,-239.22M,1.849M,825.54M,25.48M,,,-218.44M,,
2007-12,119.50M,,,,213.95M,,,33.85M,33.85M,7.963M,,,,-234.98M,-113.65M,6.878M,22.63M,55.87M,,,-19.91M,-48.19M,193.51M,-26.39M,0.00,-24.39M,,-6.608M,0.00,,-33.00M,,,0.00,6.456M,-34.47M,-28.01M,,,-8.195M,-36.21M,935.59M,124.31M,3.027M,1.063B,6.456M,,,-34.47M,,
2007-09,72.73M,,,,-80.47M,,,33.49M,33.49M,3.516M,,,,190.49M,-288.42M,0.291M,-15.47M,-16.02M,,,188.64M,-130.97M,88.78M,-19.41M,0.00,-19.41M,,-66.72M,2.028M,,-84.10M,,,0.00,43.79M,-252.36M,-208.57M,,,11.55M,-197.02M,1.129B,-192.34M,-0.602M,935.59M,43.79M,,,-252.36M,,
2007-06,59.60M,,,,30.32M,,,31.39M,31.39M,1.141M,,,,30.51M,6.012M,-0.321M,2.072M,18.24M,,,-77.77M,-51.77M,101.18M,-17.60M,0.00,-17.60M,,-5.847M,4.064M,,-19.38M,,,0.00,93.60M,-4.114M,89.49M,,,9.09M,98.58M,946.75M,180.38M,1.399M,1.129B,93.60M,,,-4.114M,,
2007-03,44.42M,,,,23.45M,,,31.92M,31.92M,0.191M,,,,34.09M,18.16M,-0.651M,-9.832M,-37.73M,,,-85.05M,-115.10M,18.96M,-20.39M,46.50M,26.11M,,-1.547M,3.485M,,28.04M,,,-28.00M,111.62M,-127.68M,-16.06M,,,8.642M,-35.42M,934.34M,11.59M,0.825M,946.75M,111.62M,,,-127.68M,,
2006-12,48.36M,,,,42.59M,,,33.26M,33.26M,15.84M,,,,52.43M,-246.50M,-8.095M,15.50M,55.68M,,-13.28M,208.93M,12.25M,204.72M,-21.37M,,-21.05M,,-0.426M,4.603M,,-16.87M,,,282.35M,69.73M,-365.66M,-295.92M,,,3.156M,-10.41M,757.51M,177.44M,-0.605M,934.34M,69.73M,,,-365.66M,,
2006-09,42.06M,,,,55.93M,,,34.32M,34.32M,5.404M,,,,24.54M,153.38M,-3.467M,2.109M,-39.11M,,-33.59M,-181.42M,-102.10M,60.14M,-13.33M,,-13.33M,,-21.64M,3.454M,,-31.52M,,,-33.00M,30.34M,-97.55M,-67.21M,,,0.383M,-99.83M,825.86M,-71.20M,2.848M,757.51M,30.34M,,,-97.55M,,
2006-06,30.39M,,,,14.61M,,,38.60M,38.60M,4.413M,,,,60.38M,-84.57M,-1.443M,-2.985M,21.50M,,46.86M,-12.79M,-33.43M,114.96M,-26.07M,,-26.07M,,-40.38M,-2.00M,,-68.45M,,,-33.00M,34.51M,-91.80M,-57.28M,,,1.033M,-89.25M,872.89M,-42.75M,-4.273M,825.86M,34.51M,,,-91.80M,,
2006-03,21.78M,,,,35.75M,,,40.94M,40.94M,3.88M,,,,2.251M,8.682M,2.133M,-8.492M,-89.53M,,,24.00M,-63.21M,41.39M,-15.28M,,-15.28M,,-3.329M,23.69M,,5.079M,,,-33.00M,61.46M,-69.03M,-7.572M,,,6.14M,-34.43M,861.32M,12.04M,-0.47M,872.89M,61.46M,,,-69.03M,,
2005-12,26.57M,,,,84.24M,,,40.99M,40.99M,-17.60M,,,,-2.131M,-110.11M,-2.536M,8.948M,69.46M,1.64M,65.09M,12.10M,44.60M,176.67M,-21.70M,0.00,-21.70M,,-1.69M,0.042M,-7.10M,-30.45M,,,160.00M,37.07M,,-64.00M,,,,96.00M,618.77M,242.22M,0.324M,861.32M,37.07M,,,,,
