,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2014-06,775.00M,,,,,524.00M,,0.00,159.00M,-419.00M,-113.00M,195.00M,,,,-337.00M,,1.121B,,2014-06,-732.00M,,,94.00M,-208.00M,-846.00M,,2014-06,,,,0.00,0.00,-127.00M,-127.00M,,117.00M,-10.00M,,2014-06,2.123B,265.00M,2.36B,,2014-06,,,0.00,342.00M,24.00M,,2014-06,AOR
2014-03,616.00M,,,,,510.00M,,0.00,-52.00M,-175.00M,-105.00M,160.00M,,,,-120.00M,,954.00M,,2014-03,-643.00M,,,-5.00M,-26.00M,-674.00M,,2014-03,,,,-500.00M,-500.00M,-127.00M,-127.00M,,113.00M,-514.00M,,2014-03,2.356B,-234.00M,2.123B,,2014-03,,,-500.00M,,167.00M,,2014-03,AOR
2013-12,795.00M,,,,,497.00M,141.00M,,-129.00M,407.00M,103.00M,84.00M,,,,594.00M,,1.898B,,2013-12,-859.00M,,-82.00M,-99.00M,-204.00M,-1.003B,,2013-12,0.00,,,0.00,0.00,-128.00M,-128.00M,,-236.00M,-87.00M,,2013-12,1.491B,808.00M,2.356B,,2013-12,,,0.00,347.00M,24.00M,,2013-12,AOR
2013-09,708.00M,,,,,481.00M,-273.00M,,445.00M,-243.00M,-56.00M,16.00M,,,,-283.00M,,1.078B,,2013-09,-679.00M,,-12.00M,4.00M,11.00M,-676.00M,,2013-09,2.968B,,,-3.341B,-3.341B,-106.00M,-106.00M,,141.00M,-338.00M,,2013-09,1.412B,64.00M,1.491B,,2013-09,,,-3.341B,176.00M,123.00M,,2013-09,AOR
2013-06,648.00M,,,,,474.00M,,,222.00M,-207.00M,-84.00M,69.00M,,,,-222.00M,,1.122B,,2013-06,-711.00M,,,141.00M,30.00M,-540.00M,,2013-06,,,,-965.00M,-965.00M,-115.00M,-115.00M,,-104.00M,-1.184B,,2013-06,2.029B,-602.00M,1.412B,,2013-06,,,-965.00M,253.00M,23.00M,,2013-06,AOR
2013-03,-16.00M,,,,,448.00M,,,235.00M,-406.00M,-70.00M,158.00M,,,,-318.00M,,349.00M,,2013-03,-685.00M,,,-19.00M,53.00M,-651.00M,,2013-03,,,,-50.00M,-50.00M,-116.00M,-116.00M,,21.00M,-145.00M,,2013-03,2.484B,-447.00M,2.029B,,2013-03,,,-50.00M,137.00M,123.00M,,2013-03,AOR
2012-12,672.00M,,,,,431.00M,,,-98.00M,94.00M,357.00M,-97.00M,,,,354.00M,,1.741B,,2012-12,-1.047B,,,-327.00M,-37.00M,-1.23B,,2012-12,0.00,,,0.00,0.00,-83.00M,-83.00M,,-78.00M,-54.00M,,2012-12,2.032B,457.00M,2.484B,,2012-12,,,0.00,66.00M,25.00M,,2012-12,AOR
2012-09,604.00M,,,,,406.00M,,,178.00M,-174.00M,-244.00M,8.00M,,,,-410.00M,,778.00M,,2012-09,-868.00M,,,-21.00M,-52.00M,-941.00M,,2012-09,0.00,,,0.00,0.00,-83.00M,-83.00M,,107.00M,24.00M,,2012-09,2.172B,-139.00M,2.032B,,2012-09,,,0.00,135.00M,123.00M,,2012-09,AOR
2012-06,739.00M,,,,,406.00M,,,-182.00M,-369.00M,-378.00M,185.00M,,,,-562.00M,,401.00M,,2012-06,-869.00M,,,50.00M,29.00M,-790.00M,,2012-06,,,,0.00,0.00,-84.00M,-84.00M,,-9.00M,-93.00M,,2012-06,2.655B,-482.00M,2.172B,,2012-06,,,0.00,732.00M,24.00M,,2012-06,AOR
2012-03,630.00M,,,,,385.00M,,,194.00M,-233.00M,-346.00M,104.00M,,,,-475.00M,,734.00M,,2012-03,-782.00M,,,50.00M,5.00M,-727.00M,,2012-03,,,,,,-83.00M,-83.00M,,34.00M,-49.00M,,2012-03,2.698B,-42.00M,2.655B,,2012-03,,,,165.00M,122.00M,,2012-03,AOR
