,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,1.629B,,,,,3.671B,3.671B,141.00M,1.182B,,-128.00M,1.029B,2.22B,,-12.44B,,,906.00M,-8.286B,-1.791B,-3.098B,371.00M,-2.727B,-13.00M,2.207B,,-533.00M,-2.164B,,-2.164B,,,,,-2.164B,21.86B,-4.488B,248.00M,17.62B,,125.00M,-2.289B,,513.00M,411.00M
2017-12,1.857B,,,,,3.498B,3.498B,-308.00M,1.179B,,52.00M,-2.764B,-2.255B,,10.96B,,,135.00M,6.08B,12.36B,-3.619B,583.00M,-3.036B,-81.00M,1.136B,,-1.981B,-2.571B,,-2.571B,,,,,-2.571B,13.96B,7.806B,90.00M,21.86B,,109.00M,-2.68B,,92.00M,257.00M
2017-09,255.00M,,,,,2.912B,2.912B,-75.00M,1.084B,,-84.00M,-1.759B,-1.593B,,2.853B,,,184.00M,-315.00M,3.777B,-3.075B,415.00M,-2.66B,-13.21B,-2.606B,,-18.48B,14.66B,,14.66B,,,,,14.66B,13.85B,-40.00M,149.00M,13.96B,,16.05B,-1.387B,,172.00M,117.00M
2017-06,197.00M,,,,,2.633B,2.633B,376.00M,1.16B,,-60.00M,-1.222B,-682.00M,,1.835B,,,-388.00M,-457.00M,3.849B,-3.113B,612.00M,-2.501B,-633.00M,-2.14B,,-5.274B,-1.275B,,-1.275B,,,,,-1.275B,16.30B,-2.70B,250.00M,13.85B,,49.00M,-1.324B,,447.00M,208.00M
2017-03,724.00M,,,,,2.435B,2.435B,-22.00M,792.00M,,2.00M,965.00M,947.00M,,-8.269B,,,807.00M,-5.55B,-1.619B,-2.148B,287.00M,-1.861B,-45.00M,556.00M,,-1.35B,-888.00M,,-888.00M,,,,,-888.00M,19.93B,-3.857B,224.00M,16.30B,,21.00M,-909.00M,,246.00M,65.00M
2016-12,749.00M,,,,,2.297B,2.297B,-282.00M,887.00M,,53.00M,-1.993B,-1.043B,,9.537B,,,714.00M,7.215B,10.92B,-3.073B,,-2.006B,-3.00M,-1.805B,,-3.814B,-568.00M,,-568.00M,,,,,-568.00M,13.66B,6.537B,-544.00M,19.93B,,535.00M,-1.103B,,95.00M,205.00M
2016-09,252.00M,,,,,2.083B,2.083B,-81.00M,776.00M,,8.00M,-671.00M,-1.095B,,2.982B,,,405.00M,1.621B,4.659B,-1.841B,,-1.841B,-83.00M,-646.00M,,-2.57B,-1.00B,,-1.00B,,,,,-1.00B,12.52B,1.089B,46.00M,13.66B,,8.00M,-1.008B,,91.00M,51.00M
2016-06,857.00M,,,,,1.909B,1.909B,106.00M,768.00M,,86.00M,-1.184B,-57.00M,,961.00M,,,132.00M,-148.00M,3.578B,-1.711B,,-1.711B,-14.00M,-714.00M,,-2.439B,-1.152B,,-1.152B,,,,,-1.152B,12.47B,-13.00M,64.00M,12.52B,,66.00M,-1.218B,,87.00M,191.00M
2016-03,513.00M,,,,,1.827B,1.827B,11.00M,544.00M,,-7.00M,412.00M,769.00M,,-6.726B,,,704.00M,-4.841B,-1.953B,-1.179B,,-1.179B,-16.00M,502.00M,,-693.00M,-996.00M,,-996.00M,,,,,-996.00M,15.89B,-3.642B,222.00M,12.47B,,9.00M,-1.005B,,139.00M,49.00M
2015-12,482.00M,,,,,1.752B,1.752B,189.00M,606.00M,212.00M,115.00M,-1.178B,-1.343B,,7.978B,,,118.00M,5.575B,8.931B,-2.107B,,-1.309B,-317.00M,-224.00M,,-1.85B,-1.597B,,-1.597B,,,,-212.00M,-1.809B,10.71B,5.272B,-91.00M,15.89B,,93.00M,-1.69B,,73.00M,192.00M
2015-09,79.00M,-2.00M,-2.00M,,,1.599B,1.599B,-63.00M,544.00M,-95.00M,94.00M,-588.00M,-1.537B,,2.173B,,,406.00M,454.00M,2.61B,-1.196B,,-1.196B,-104.00M,-77.00M,,-1.377B,-824.00M,,-824.00M,,,,95.00M,-729.00M,10.27B,504.00M,-64.00M,10.71B,,34.00M,-858.00M,,81.00M,50.00M
2015-06,92.00M,1.00M,1.00M,,,1.504B,1.504B,-43.00M,562.00M,-95.00M,61.00M,-430.00M,-28.00M,,245.00M,,,128.00M,-85.00M,1.997B,-1.213B,,-1.213B,-9.00M,-154.00M,,-1.376B,-787.00M,,-787.00M,,,,95.00M,-692.00M,10.24B,-71.00M,103.00M,10.27B,,43.00M,-830.00M,,64.00M,187.00M
2015-03,-57.00M,1.00M,1.00M,,,1.426B,1.426B,-2.00M,407.00M,-22.00M,135.00M,441.00M,721.00M,,-5.189B,,,640.00M,-3.387B,-1.499B,-871.00M,,-871.00M,-365.00M,-611.00M,,-1.847B,-674.00M,,-674.00M,,,,22.00M,-652.00M,14.56B,-3.998B,-322.00M,10.24B,,183.00M,-857.00M,,55.00M,49.00M
2014-12,214.00M,4.00M,4.00M,,,1.38B,1.38B,187.00M,408.00M,115.00M,111.00M,-1.105B,-1.139B,,6.501B,,,39.00M,4.296B,6.715B,-1.145B,,-1.145B,-53.00M,-1.267B,,-2.465B,5.324B,,5.324B,,,,-115.00M,5.209B,5.258B,9.459B,-160.00M,14.56B,,5.98B,-656.00M,,29.00M,121.00M
2014-09,-437.00M,-3.00M,-3.00M,,,1.247B,1.247B,-269.00M,378.00M,0.00,72.00M,-362.00M,-845.00M,,1.728B,,,258.00M,779.00M,1.767B,-1.378B,,-1.378B,-860.00M,1.292B,,-946.00M,-413.00M,,-413.00M,,,,0.00,-413.00M,5.057B,408.00M,-207.00M,5.258B,,28.00M,-441.00M,,39.00M,7.00M
2014-06,-126.00M,-1.00M,-1.00M,,,1.109B,1.109B,-49.00M,390.00M,0.00,20.00M,-299.00M,92.00M,,-358.00M,,,84.00M,-481.00M,862.00M,-1.29B,,-1.29B,-66.00M,626.00M,,-730.00M,-189.00M,,-189.00M,,,,0.00,-189.00M,5.074B,-57.00M,40.00M,5.057B,,286.00M,-475.00M,,71.00M,31.00M
2014-03,108.00M,,,,,1.01B,1.01B,-185.00M,321.00M,-121.00M,-15.00M,727.00M,699.00M,,-5.406B,,,360.00M,-3.62B,-2.502B,-1.08B,,-1.08B,0.00,156.00M,,-924.00M,-296.00M,,-296.00M,,,,121.00M,-175.00M,8.658B,-3.601B,17.00M,5.074B,,65.00M,-361.00M,,38.00M,18.00M
2013-12,240.00M,0.00,0.00,,,962.00M,962.00M,-109.00M,326.00M,-78.00M,91.00M,-1.239B,-1.33B,,6.717B,,,-2.00M,4.146B,5.578B,-879.00M,,-879.00M,-60.00M,95.00M,,-844.00M,-21.00M,,-21.00M,,,,,57.00M,3.872B,4.791B,-5.00M,8.658B,,262.00M,-283.00M,,26.00M,78.00M
2013-09,-41.00M,1.00M,1.00M,,,834.00M,834.00M,11.00M,282.00M,0.00,16.00M,-125.00M,-585.00M,,874.00M,,,122.00M,286.00M,1.389B,-1.039B,,-1.039B,-1.00M,-23.00M,,-1.063B,-230.00M,,-230.00M,,,,,-230.00M,3.704B,96.00M,72.00M,3.872B,,25.00M,-255.00M,,23.00M,8.00M
2013-06,-7.00M,,,,,757.00M,757.00M,22.00M,297.00M,0.00,74.00M,-211.00M,-30.00M,,-77.00M,,,55.00M,-263.00M,880.00M,-856.00M,,-856.00M,-148.00M,-415.00M,,-1.419B,-209.00M,,-209.00M,,,,,-209.00M,4.481B,-748.00M,-29.00M,3.704B,,82.00M,-291.00M,,34.00M,39.00M
2013-03,82.00M,,,,,700.00M,700.00M,-80.00M,229.00M,0.00,99.00M,729.00M,535.00M,,-4.89B,,,224.00M,-3.402B,-2.372B,-670.00M,,-670.00M,-103.00M,-177.00M,,-950.00M,-157.00M,,-157.00M,,,,,-157.00M,8.084B,-3.479B,-124.00M,4.481B,,25.00M,-182.00M,,86.00M,13.00M
2012-12,98.00M,-1.00M,-1.00M,,,662.00M,662.00M,-148.00M,236.00M,-239.00M,136.00M,-1.025B,-974.00M,,6.337B,,,-1.00M,4.337B,5.081B,-2.026B,,-2.026B,-34.00M,-1.022B,,-3.082B,2.927B,,2.927B,,0.00,0.00,239.00M,3.166B,2.98B,5.165B,-61.00M,8.084B,,3.078B,-151.00M,0.00,52.00M,10.00M
2012-09,-274.00M,-4.00M,-4.00M,,,555.00M,555.00M,-36.00M,216.00M,-65.00M,196.00M,-416.00M,-647.00M,,1.319B,,,99.00M,355.00M,943.00M,-716.00M,,-716.00M,-38.00M,385.00M,,-369.00M,-34.00M,,-34.00M,,0.00,0.00,65.00M,31.00M,2.335B,605.00M,40.00M,2.98B,,110.00M,-144.00M,0.00,21.00M,7.00M
2012-06,7.00M,-2.00M,-2.00M,,,485.00M,485.00M,-43.00M,221.00M,-85.00M,14.00M,-166.00M,-125.00M,,239.00M,,,49.00M,-3.00M,594.00M,-657.00M,,-657.00M,-623.00M,686.00M,,-594.00M,-18.00M,,-18.00M,,0.00,0.00,85.00M,67.00M,2.288B,67.00M,-20.00M,2.335B,,122.00M,-140.00M,0.00,20.00M,8.00M
2012-03,130.00M,-2.00M,-2.00M,,,457.00M,457.00M,-38.00M,160.00M,-40.00M,61.00M,746.00M,747.00M,,-4.787B,,,128.00M,-3.166B,-2.438B,-386.00M,,-386.00M,-50.00M,886.00M,,450.00M,-85.00M,,-85.00M,,-960.00M,-960.00M,40.00M,-1.005B,5.269B,-2.993B,12.00M,2.288B,,68.00M,-153.00M,-960.00M,19.00M,6.00M
2011-12,177.00M,0.00,-73.00M,-724.00M,,359.00M,359.00M,68.00M,160.00M,-1.00M,-238.00M,-1.077B,-1.26B,,5.76B,,,58.00M,3.481B,4.269B,-550.00M,,-550.00M,-49.00M,-870.00M,,-1.469B,-57.00M,,-57.00M,,-277.00M,-277.00M,1.00M,-333.00M,2.823B,2.467B,-21.00M,5.269B,,46.00M,-103.00M,-277.00M,15.00M,4.00M
2011-09,63.00M,-7.00M,-6.00M,278.00M,,278.00M,278.00M,33.00M,143.00M,0.00,143.00M,-75.00M,-586.00M,,958.00M,,,-11.00M,286.00M,797.00M,-530.00M,,-530.00M,-48.00M,678.00M,,100.00M,-82.00M,,-82.00M,,0.00,0.00,0.00,-82.00M,2.047B,815.00M,-39.00M,2.823B,,8.00M,-90.00M,0.00,12.00M,4.00M
2011-06,190.00M,1.00M,3.00M,244.00M,,244.00M,244.00M,20.00M,144.00M,-15.00M,129.00M,-73.00M,-274.00M,,178.00M,,,6.00M,-163.00M,423.00M,-433.00M,,-433.00M,-469.00M,-49.00M,,-951.00M,-106.00M,,-106.00M,,0.00,0.00,15.00M,-91.00M,2.641B,-619.00M,25.00M,2.047B,,34.00M,-140.00M,0.00,-1.00M,3.00M
2011-03,201.00M,2.00M,72.00M,202.00M,,202.00M,202.00M,15.00M,110.00M,-46.00M,64.00M,359.00M,343.00M,,-2.832B,,,-10.00M,-2.14B,-1.586B,-298.00M,,-298.00M,-139.00M,827.00M,,390.00M,-22.00M,,-22.00M,,0.00,0.00,46.00M,24.00M,3.777B,-1.172B,36.00M,2.641B,,89.00M,-111.00M,0.00,7.00M,3.00M
2010-12,416.00M,0.00,-15.00M,-399.00M,,169.00M,169.00M,48.00M,120.00M,-23.00M,-41.00M,-643.00M,-693.00M,,4.16B,,,-78.00M,2.746B,3.488B,-328.00M,,-328.00M,-270.00M,-617.00M,,-1.215B,-66.00M,,-66.00M,,,,23.00M,-43.00M,1.539B,2.23B,8.00M,3.777B,,33.00M,-99.00M,,13.00M,3.00M
2010-09,231.00M,-2.00M,-11.00M,150.00M,,150.00M,150.00M,-16.00M,108.00M,-75.00M,33.00M,-64.00M,-506.00M,,1.086B,,,-48.00M,468.00M,855.00M,-315.00M,,-315.00M,-42.00M,-771.00M,,-1.128B,19.00M,,19.00M,,,,75.00M,94.00M,1.629B,-179.00M,89.00M,1.539B,,43.00M,-24.00M,,16.00M,3.00M
2010-06,206.00M,,4.00M,130.00M,,130.00M,130.00M,-8.00M,109.00M,-75.00M,34.00M,-42.00M,-141.00M,,120.00M,,,-53.00M,-116.00M,250.00M,-196.00M,,-196.00M,-21.00M,-258.00M,,-475.00M,-32.00M,,-32.00M,,,,75.00M,43.00M,1.844B,-182.00M,-33.00M,1.629B,,5.00M,-37.00M,,42.00M,3.00M
2010-03,299.00M,,20.00M,119.00M,,119.00M,119.00M,-20.00M,87.00M,-86.00M,1.00M,454.00M,321.00M,,-2.253B,,,-39.00M,-1.517B,-1.098B,-140.00M,,-140.00M,-19.00M,-383.00M,,-542.00M,1.00M,,1.00M,,,,86.00M,87.00M,3.444B,-1.553B,-47.00M,1.844B,,62.00M,-61.00M,,4.00M,2.00M
2009-12,384.00M,-1.00M,22.00M,112.00M,,112.00M,112.00M,-3.00M,99.00M,-53.00M,6.00M,-509.00M,-339.00M,,2.662B,,,230.00M,2.044B,2.611B,-137.00M,,-137.00M,0.00,-1.471B,,-1.608B,-103.00M,,-103.00M,,0.00,0.00,52.00M,-51.00M,2.514B,952.00M,-22.00M,3.444B,,-10.00M,-93.00M,0.00,-44.00M,-30.00M
2009-09,199.00M,-1.00M,8.00M,95.00M,,95.00M,95.00M,77.00M,90.00M,18.00M,-9.00M,-155.00M,-276.00M,,698.00M,,,54.00M,321.00M,799.00M,-103.00M,,-103.00M,-5.00M,-194.00M,,-302.00M,80.00M,,80.00M,,0.00,0.00,-17.00M,63.00M,1.936B,560.00M,18.00M,2.514B,,91.00M,-11.00M,0.00,10.00M,2.00M
2009-06,142.00M,0.00,71.00M,171.00M,,84.00M,84.00M,7.00M,85.00M,-21.00M,-25.00M,16.00M,-23.00M,,50.00M,,,82.00M,125.00M,468.00M,-78.00M,,-78.00M,-20.00M,-182.00M,,-280.00M,-22.00M,,-22.00M,,,,21.00M,-1.00M,1.701B,187.00M,48.00M,1.936B,,3.00M,-25.00M,,34.00M,28.00M
2009-03,177.00M,-2.00M,-2.00M,,,87.00M,87.00M,0.00,67.00M,-49.00M,13.00M,167.00M,107.00M,,-1.251B,,,99.00M,-878.00M,-585.00M,-55.00M,,-55.00M,-15.00M,-77.00M,,-147.00M,-340.00M,,-340.00M,,0.00,0.00,49.00M,-291.00M,2.769B,-1.023B,-45.00M,1.701B,,3.00M,-343.00M,0.00,,
2008-12,225.00M,0.00,-24.00M,287.00M,,77.00M,77.00M,42.00M,78.00M,1.00M,15.00M,-324.00M,-102.00M,,1.544B,,,39.00M,1.157B,1.571B,-102.00M,,-102.00M,-86.00M,-176.00M,,-364.00M,36.00M,,36.00M,,-100.00M,-100.00M,-1.00M,-65.00M,1.65B,1.142B,-23.00M,2.769B,,36.00M,0.00,-100.00M,-28.00M,-61.00M
2008-09,119.00M,-2.00M,33.00M,,,76.00M,76.00M,-18.00M,197.00M,-160.00M,-70.00M,-9.00M,-243.00M,,401.00M,,-102.00M,200.00M,247.00M,424.00M,-101.00M,,-101.00M,-8.00M,102.00M,,-7.00M,-293.00M,,-285.00M,-8.00M,0.00,-8.00M,54.00M,-239.00M,1.548B,178.00M,-76.00M,1.65B,-8.00M,62.00M,-355.00M,0.00,28.00M,61.00M
2008-06,158.00M,,-38.00M,-65.00M,64.00M,133.00M,133.00M,-10.00M,,,32.00M,-24.00M,-35.00M,,117.00M,,227.00M,-213.00M,72.00M,347.00M,-69.00M,,-69.00M,-45.00M,-187.00M,,-301.00M,,,-34.00M,6.00M,,6.00M,42.00M,14.00M,1.496B,60.00M,-8.00M,1.548B,6.00M,,,,,
2008-03,143.00M,,3.00M,65.00M,-64.00M,1.00M,1.00M,-19.00M,,,-11.00M,139.00M,148.00M,,-1.003B,,-125.00M,79.00M,-762.00M,-645.00M,-61.00M,,-61.00M,-355.00M,-111.00M,,-527.00M,,,26.00M,2.00M,,2.00M,64.00M,92.00M,2.539B,-1.08B,37.00M,1.496B,2.00M,,,,,
2007-12,207.00M,,3.00M,,,63.00M,63.00M,-98.00M,,,-37.00M,-238.00M,-231.00M,,1.573B,,-29.00M,7.00M,1.082B,1.148B,-73.00M,,-73.00M,-28.00M,-38.00M,,-139.00M,,,-8.00M,-79.00M,0.00,-79.00M,164.00M,168.00M,1.366B,1.177B,-4.00M,2.539B,-79.00M,,,0.00,,
2007-09,80.00M,,-6.00M,,,61.00M,61.00M,-1.00M,,,29.00M,-73.00M,-223.00M,,304.00M,,57.00M,9.00M,74.00M,237.00M,-69.00M,,-69.00M,-25.00M,128.00M,,34.00M,,,4.00M,35.00M,0.00,35.00M,33.00M,72.00M,1.004B,343.00M,19.00M,1.366B,35.00M,,,0.00,,
2007-06,78.00M,,10.00M,,,60.00M,60.00M,-2.00M,,,10.00M,-10.00M,25.00M,,82.00M,,30.00M,16.00M,143.00M,299.00M,-48.00M,,-48.00M,-21.00M,-19.00M,,-88.00M,,,-29.00M,35.00M,0.00,35.00M,36.00M,42.00M,748.00M,253.00M,3.00M,1.004B,35.00M,,,0.00,,
2007-03,111.00M,,3.00M,,,62.00M,62.00M,2.00M,,,10.00M,66.00M,126.00M,,-602.00M,,-58.00M,1.00M,-467.00M,-279.00M,-34.00M,,-34.00M,-1.00M,270.00M,,235.00M,,,-17.00M,9.00M,-248.00M,-239.00M,24.00M,-232.00M,1.022B,-276.00M,2.00M,748.00M,9.00M,,,-248.00M,,
2006-12,97.00M,,1.00M,,,59.00M,59.00M,7.00M,,,-32.00M,-116.00M,-127.00M,,830.00M,,6.00M,20.00M,613.00M,744.00M,-50.00M,,-50.00M,-2.00M,-471.00M,,-523.00M,,,10.00M,-17.00M,0.00,-17.00M,64.00M,92.00M,693.00M,313.00M,16.00M,1.022B,-17.00M,,,0.00,,
2006-09,20.00M,,9.00M,,,63.00M,63.00M,7.00M,,,-17.00M,-53.00M,-218.00M,,251.00M,,65.00M,4.00M,49.00M,131.00M,-62.00M,,-62.00M,-2.00M,211.00M,,147.00M,,,-30.00M,4.00M,-252.00M,-248.00M,9.00M,-269.00M,683.00M,9.00M,1.00M,693.00M,4.00M,,,-252.00M,,
2006-06,22.00M,,-22.00M,,,43.00M,43.00M,-2.00M,,,43.00M,16.00M,30.00M,,4.00M,,-6.00M,2.00M,46.00M,130.00M,-58.00M,,-58.00M,0.00,17.00M,,-41.00M,,,45.00M,-1.00M,,-1.00M,29.00M,73.00M,507.00M,162.00M,14.00M,683.00M,-1.00M,,,,,
2006-03,51.00M,,20.00M,,,40.00M,40.00M,10.00M,,,,50.00M,33.00M,,-442.00M,,-65.00M,,-424.00M,-303.00M,-46.00M,,-46.00M,-28.00M,158.00M,,84.00M,,,-310.00M,14.00M,,14.00M,,-296.00M,1.013B,-515.00M,9.00M,507.00M,14.00M,,,,,
2005-12,199.00M,,-11.00M,36.00M,87.00M,123.00M,123.00M,-46.00M,,,-60.00M,-90.00M,-114.00M,,565.00M,,-23.00M,,345.00M,630.00M,-55.00M,,-55.00M,0.00,-176.00M,,-231.00M,,,0.00,-42.00M,,-42.00M,7.00M,24.00M,600.00M,423.00M,-10.00M,1.013B,-42.00M,,,,,
2005-09,30.00M,,17.00M,85.00M,-87.00M,-57.00M,-57.00M,22.00M,,,4.00M,-13.00M,-75.00M,,146.00M,,79.00M,,137.00M,153.00M,-76.00M,,-76.00M,-4.00M,-126.00M,,-206.00M,,,7.00M,25.00M,,25.00M,-2.00M,30.00M,629.00M,-23.00M,-6.00M,600.00M,25.00M,,,,,
2005-06,52.00M,,12.00M,,,27.00M,27.00M,44.00M,,,,9.00M,13.00M,,55.00M,,32.00M,,109.00M,244.00M,-47.00M,,-47.00M,-5.00M,-92.00M,,-144.00M,,,-1.00M,8.00M,,8.00M,2.00M,9.00M,533.00M,109.00M,-13.00M,629.00M,8.00M,,,,,
2005-03,78.00M,,-19.00M,,,28.00M,28.00M,50.00M,,,,10.00M,72.00M,,-425.00M,,-88.00M,,-431.00M,-294.00M,-26.00M,,-26.00M,-15.00M,-156.00M,,-197.00M,,,-265.00M,9.00M,,9.00M,,-256.00M,1.303B,-747.00M,-23.00M,533.00M,9.00M,,,,,
2004-12,346.00M,,-4.00M,21.00M,76.00M,97.00M,97.00M,-245.00M,,,-5.00M,7.00M,-108.00M,,410.00M,,-2.00M,,310.00M,557.00M,-37.00M,,-37.00M,0.00,-28.00M,,-65.00M,,,0.00,-43.00M,,-43.00M,,17.00M,746.00M,509.00M,48.00M,1.303B,-43.00M,,,,,
2004-09,54.00M,,17.00M,55.00M,-76.00M,-57.00M,-57.00M,-4.00M,,,3.00M,-19.00M,-69.00M,,95.00M,,97.00M,,104.00M,117.00M,-28.00M,,-28.00M,-71.00M,14.00M,,-85.00M,,,-1.00M,8.00M,,8.00M,,7.00M,701.00M,39.00M,6.00M,746.00M,8.00M,,,,,
2004-06,76.86M,,-0.267M,-17.68M,24.07M,42.39M,42.39M,-8.00M,,,,-0.298M,-5.17M,,22.99M,,14.18M,,31.70M,142.69M,-14.49M,,-14.49M,,-208.09M,,-222.58M,,,-0.353M,20.19M,,20.19M,,19.83M,768.59M,-60.06M,-7.259M,701.00M,20.19M,,,,,
2004-03,111.14M,,-13.73M,17.68M,-24.07M,-6.386M,-6.386M,,,,,10.30M,13.17M,,-255.99M,,-109.18M,,-341.70M,-250.69M,-9.513M,,-9.513M,,65.09M,,55.58M,,,-155.65M,14.81M,,14.81M,,-140.83M,1.102B,-335.94M,2.259M,768.59M,14.81M,,,,,
2003-12,73.15M,,54.26M,-57.09M,83.11M,101.58M,101.58M,,,,,-16.69M,-42.78M,,299.32M,,11.20M,,251.05M,480.96M,-17.24M,0.00,-17.24M,,110.72M,,93.49M,,,-207.73M,30.49M,,30.49M,,-177.24M,666.42M,397.21M,38.64M,1.102B,30.49M,,,,,
2003-09,15.56M,,33.28M,18.34M,-84.93M,-66.60M,-66.60M,,,,,-14.84M,-62.15M,,49.54M,,82.02M,,54.57M,36.82M,-15.19M,5.072M,-10.12M,,-49.89M,,-60.01M,,,-3.437M,41.24M,,41.24M,,37.80M,641.73M,14.60M,10.09M,666.42M,41.24M,,,,,
