,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2012-03,2.288B,3.427B,5.715B,1.813B,1.813B,,4.255B,,371.00M,,12.15B,,,,,,,,,4.653B,1.97B,,1.97B,27.00M,1.535B,8.185B,20.34B,6.886B,6.886B,3.602B,10.49B,,,,,,10.49B,,,,,,,2.58B,13.07B,5.00M,2.085B,7.192B,1.837B,-174.00M,7.271B
2011-12,5.269B,4.307B,9.576B,2.571B,2.571B,4.992B,4.992B,,351.00M,,17.49B,0.0,1.437B,,4.106B,137.00M,106.00M,5.786B,-1.369B,4.417B,1.955B,647.00M,2.602B,28.00M,741.00M,7.788B,25.28B,11.14B,11.14B,3.751B,14.90B,,,,,,14.90B,255.00M,1.16B,1.415B,266.00M,266.00M,944.00M,2.625B,17.52B,5.00M,1.955B,6.99B,877.00M,-316.00M,7.757B
2011-09,2.823B,3.503B,6.326B,1.496B,1.496B,,3.77B,,312.00M,,11.90B,,,,,,,,,3.999B,1.934B,,1.934B,27.00M,1.19B,7.15B,19.05B,6.552B,6.552B,2.426B,8.978B,,,,,,8.978B,,,,,,,2.31B,11.29B,5.00M,1.778B,6.824B,600.00M,-241.00M,7.766B
2011-06,2.047B,4.308B,6.355B,1.438B,1.438B,,3.229B,,257.00M,,11.28B,,,,,,,,,3.47B,1.909B,,1.909B,30.00M,1.253B,6.662B,17.94B,5.721B,5.721B,2.324B,8.045B,,,,,,8.045B,,,,,,,2.131B,10.18B,5.00M,1.715B,6.675B,600.00M,-30.00M,7.765B
2011-03,2.641B,4.24B,6.881B,1.304B,1.304B,,2.888B,,215.00M,,11.29B,,,,,,,,,2.902B,1.513B,,1.513B,28.00M,1.151B,5.594B,16.88B,5.54B,5.54B,2.19B,7.73B,,,,,,7.73B,,,,,,,1.805B,9.535B,5.00M,1.525B,6.483B,600.00M,-66.00M,7.347B
2010-12,3.777B,4.985B,8.762B,1.587B,1.587B,,3.202B,,196.00M,,13.75B,,,,1.679B,1.193B,384.00M,3.256B,-842.00M,2.414B,1.349B,563.00M,1.912B,22.00M,702.00M,5.05B,18.80B,8.051B,8.051B,2.321B,10.37B,,,,,,10.37B,184.00M,457.00M,641.00M,,,920.00M,1.561B,11.93B,5.00M,1.324B,6.325B,600.00M,-190.00M,6.864B
2010-09,1.539B,4.346B,5.885B,959.00M,959.00M,,2.515B,,200.00M,,9.559B,,,,,,,,,2.099B,1.277B,,1.277B,43.00M,1.184B,4.603B,14.16B,4.614B,4.614B,1.761B,6.375B,,,,,,6.375B,164.00M,,164.00M,,,1.226B,1.39B,7.765B,5.00M,908.00M,6.215B,600.00M,-131.00M,6.397B
2010-06,1.629B,3.479B,5.108B,805.00M,805.00M,,1.94B,,265.00M,,8.118B,,,,,,,,,1.704B,1.229B,,1.229B,29.00M,1.317B,4.279B,12.40B,3.545B,3.545B,1.705B,5.25B,,,,,,5.25B,132.00M,,132.00M,,,1.158B,1.29B,6.54B,5.00M,678.00M,6.056B,600.00M,-282.00M,5.857B
2010-03,1.844B,3.219B,5.063B,815.00M,815.00M,,1.82B,,266.00M,,7.964B,,,,,,,,,1.436B,1.234B,,1.234B,16.00M,1.392B,4.078B,12.04B,3.619B,3.619B,1.574B,5.193B,,,,,,5.193B,131.00M,,131.00M,,,1.10B,1.231B,6.424B,5.00M,471.00M,5.887B,600.00M,-145.00M,5.618B
2009-12,3.444B,2.922B,6.366B,988.00M,988.00M,,2.171B,,272.00M,,9.797B,,,,1.50B,137.00M,278.00M,1.915B,-625.00M,1.29B,1.234B,567.00M,1.801B,18.00M,907.00M,4.016B,13.81B,5.605B,5.605B,1.759B,7.364B,,,,,,7.364B,109.00M,143.00M,252.00M,,,738.00M,1.192B,8.556B,5.00M,172.00M,5.736B,600.00M,-56.00M,5.257B
2009-09,2.514B,1.487B,4.001B,671.00M,671.00M,,1.617B,,80.00M,,6.369B,,,,,,,,,1.086B,457.00M,,457.00M,206.00M,854.00M,2.603B,8.972B,3.354B,3.354B,1.183B,4.537B,,,,,,4.537B,116.00M,,116.00M,,,734.00M,850.00M,5.387B,4.00M,-212.00M,4.428B,600.00M,-35.00M,3.585B
2009-06,1.936B,1.276B,3.212B,584.00M,584.00M,,1.325B,,183.00M,,5.304B,,,,,,,,,981.00M,451.00M,,451.00M,118.00M,821.00M,2.371B,7.675B,2.508B,2.508B,1.128B,3.636B,,,,,,3.636B,109.00M,,109.00M,,,674.00M,783.00M,4.419B,4.00M,-411.00M,4.321B,600.00M,-58.00M,3.256B
2009-03,1.701B,1.029B,2.73B,587.00M,587.00M,,1.266B,,192.00M,,4.775B,,,,,,,,,889.00M,433.00M,,433.00M,118.00M,765.00M,2.205B,6.98B,2.38B,2.38B,1.03B,3.41B,,,,,,3.41B,74.00M,,74.00M,,,578.00M,652.00M,4.062B,4.00M,-553.00M,4.21B,600.00M,-143.00M,2.918B
2008-12,2.769B,958.00M,3.727B,827.00M,827.00M,,1.399B,,204.00M,,6.157B,,,,1.243B,79.00M,87.00M,1.409B,-555.00M,854.00M,438.00M,160.00M,598.00M,145.00M,560.00M,2.157B,8.314B,3.594B,3.594B,1.152B,4.746B,,,,,,4.746B,409.00M,124.00M,533.00M,,,219.00M,896.00M,5.642B,4.00M,-730.00M,4.121B,600.00M,-123.00M,2.672B
2008-09,1.65B,674.00M,2.324B,597.00M,597.00M,,1.315B,,194.00M,,4.43B,,,,,,,1.211B,-480.00M,731.00M,405.00M,,405.00M,278.00M,722.00M,2.136B,6.566B,2.242B,2.242B,860.00M,3.102B,42.00M,42.00M,,,,3.144B,393.00M,,393.00M,,,502.00M,895.00M,4.039B,4.00M,-955.00M,4.051B,500.00M,-73.00M,2.527B
2008-06,1.548B,832.00M,2.38B,586.00M,586.00M,,1.107B,,163.00M,,4.236B,,,,,,,1.131B,-480.00M,651.00M,400.00M,,400.00M,284.00M,751.00M,2.086B,6.322B,1.963B,1.963B,812.00M,2.775B,441.00M,441.00M,,,,3.216B,433.00M,,433.00M,,,443.00M,876.00M,4.092B,4.00M,-1.074B,3.794B,500.00M,6.00M,2.23B
2008-03,1.496B,655.00M,2.151B,581.00M,581.00M,,1.077B,,156.00M,,3.965B,,,,,,,1.074B,-480.00M,594.00M,392.00M,,392.00M,280.00M,652.00M,1.918B,5.883B,1.864B,1.864B,781.00M,2.645B,906.00M,906.00M,,,,3.551B,467.00M,,467.00M,,,395.00M,862.00M,4.413B,4.00M,-1.232B,3.191B,500.00M,7.00M,1.47B
2007-12,2.539B,573.00M,3.112B,705.00M,705.00M,,1.20B,,147.00M,,5.164B,,,,945.00M,63.00M,15.00M,1.023B,-480.00M,543.00M,222.00M,27.00M,249.00M,260.00M,269.00M,1.321B,6.485B,2.795B,2.795B,902.00M,3.697B,17.00M,17.00M,,,,3.714B,1.282B,62.00M,1.344B,,,132.00M,1.574B,5.288B,4.00M,-1.375B,3.063B,500.00M,5.00M,1.197B
2007-09,1.366B,543.00M,1.909B,474.00M,474.00M,,970.00M,,71.00M,,3.424B,,,,,,,858.00M,-367.00M,491.00M,218.00M,,218.00M,231.00M,254.00M,1.194B,4.618B,1.674B,1.674B,645.00M,2.319B,,,,,,2.319B,1.273B,,1.273B,,,265.00M,1.538B,3.857B,4.00M,-1.581B,2.827B,500.00M,11.00M,761.00M
2007-06,1.004B,661.00M,1.665B,384.00M,384.00M,,735.00M,,75.00M,,2.859B,,,,,,,810.00M,-367.00M,443.00M,214.00M,,214.00M,224.00M,244.00M,1.125B,3.984B,1.295B,1.295B,641.00M,1.936B,,,,,,1.936B,1.256B,,1.256B,,,242.00M,1.498B,3.434B,4.00M,-1.661B,2.704B,500.00M,3.00M,550.00M
2007-03,748.00M,672.00M,1.42B,358.00M,358.00M,,754.00M,,68.00M,,2.60B,,,,,,,809.00M,-367.00M,442.00M,196.00M,,196.00M,225.00M,198.00M,1.061B,3.661B,1.211B,1.211B,636.00M,1.847B,,,,,,1.847B,1.251B,,1.251B,,,210.00M,1.461B,3.308B,4.00M,-1.74B,2.586B,500.00M,3.00M,353.00M
2006-12,1.022B,997.00M,2.019B,399.00M,399.00M,,877.00M,,78.00M,,3.373B,,,,762.00M,62.00M,0.00,824.00M,-367.00M,457.00M,195.00M,21.00M,216.00M,199.00M,118.00M,990.00M,4.363B,1.816B,1.816B,716.00M,2.532B,,,,,,2.532B,1.247B,20.00M,1.267B,,,58.00M,1.40B,3.932B,4.00M,-1.837B,2.517B,252.00M,-1.00M,431.00M
2006-09,693.00M,526.00M,1.219B,281.00M,281.00M,,736.00M,,79.00M,,2.315B,,,,,,,672.00M,-223.00M,449.00M,194.00M,,194.00M,180.00M,130.00M,953.00M,3.268B,1.196B,1.196B,572.00M,1.768B,,,,,,1.768B,1.304B,,1.304B,,,,1.304B,3.072B,4.00M,-1.934B,2.377B,252.00M,1.00M,196.00M
2006-06,683.00M,736.00M,1.419B,225.00M,225.00M,,521.00M,,66.00M,,2.231B,,,,,,,628.00M,-223.00M,405.00M,193.00M,,193.00M,208.00M,128.00M,934.00M,3.165B,943.00M,943.00M,515.00M,1.458B,,,,,,1.458B,1.324B,,1.324B,,,,1.324B,2.782B,4.00M,-1.953B,2.334B,,-2.00M,383.00M
2006-03,507.00M,827.00M,1.334B,228.00M,228.00M,,538.00M,,86.00M,,2.186B,,,,,,,584.00M,-223.00M,361.00M,,193.00M,193.00M,205.00M,45.00M,804.00M,2.99B,920.00M,920.00M,487.00M,1.407B,,,,,,1.407B,1.259B,,1.259B,,,,1.259B,2.666B,4.00M,-1.976B,2.287B,,9.00M,324.00M
2005-12,1.013B,987.00M,2.00B,274.00M,274.00M,,566.00M,,89.00M,,2.929B,,,,516.00M,55.00M,,571.00M,-223.00M,348.00M,159.00M,11.00M,170.00M,223.00M,26.00M,767.00M,3.696B,1.366B,1.366B,533.00M,1.899B,,,,,,1.899B,1.48B,5.00M,1.485B,,,46.00M,1.551B,3.45B,4.00M,-2.027B,2.263B,0.00,6.00M,246.00M
2005-09,600.00M,819.00M,1.419B,188.00M,188.00M,,456.00M,,58.00M,,2.121B,,,,,,,499.00M,-177.00M,322.00M,,159.00M,159.00M,190.00M,40.00M,711.00M,2.832B,876.00M,876.00M,340.00M,1.216B,17.00M,17.00M,48.00M,48.00M,32.00M,1.313B,1.513B,,1.513B,,,,1.513B,2.826B,4.00M,-2.226B,2.215B,,13.00M,6.00M
2005-06,629.00M,696.00M,1.325B,155.00M,155.00M,,383.00M,,63.00M,,1.926B,,,,,,,444.00M,-177.00M,267.00M,,154.00M,154.00M,206.00M,48.00M,675.00M,2.601B,735.00M,735.00M,317.00M,1.052B,8.00M,8.00M,52.00M,52.00M,32.00M,1.144B,1.521B,,1.521B,,,,1.521B,2.665B,4.00M,-2.256B,2.161B,,27.00M,-64.00M
2005-03,533.00M,618.00M,1.151B,171.00M,171.00M,,403.00M,,68.00M,,1.793B,,,,,,,421.00M,-176.00M,245.00M,,149.00M,149.00M,239.00M,46.00M,679.00M,2.472B,704.00M,704.00M,309.00M,1.013B,2.00M,2.00M,45.00M,45.00M,13.00M,1.073B,1.561B,,1.561B,,,,1.561B,2.634B,4.00M,-2.308B,2.118B,,24.00M,-162.00M
2004-12,1.303B,476.00M,1.779B,199.00M,199.00M,,480.00M,,81.00M,,2.539B,,,,,,,423.00M,-177.00M,246.00M,,139.00M,139.00M,282.00M,42.00M,709.00M,3.248B,1.142B,1.142B,361.00M,1.503B,2.00M,2.00M,41.00M,41.00M,74.00M,1.62B,1.855B,,1.855B,,,,1.855B,3.475B,4.00M,-2.386B,2.125B,,30.00M,-227.00M
2004-09,745.61M,439.09M,1.185B,150.76M,150.76M,,357.32M,,,,1.693B,,,,,,,374.22M,-147.45M,226.76M,,137.58M,137.58M,,51.54M,415.88M,2.109B,688.30M,688.30M,269.18M,957.48M,3.452M,3.452M,46.14M,46.14M,43.95M,1.051B,1.779B,,1.779B,,,,1.779B,2.830B,4.075M,-2.733B,1.982B,,25.85M,-721.08M
