,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2015-03,22.72B,22.72B,18.15B,4.563B,1.083B,427.00M,1.51B,2.754B,,,,115.00M,11.00M,-104.00M,44.00M,4.308B,255.00M,11.00M,115.00M,-104.00M,-130.00M,-104.00M,21.00M,71.00M,-57.00M,,-57.00M,-57.00M,1.562B,1.426B,136.00M,-0.12,,,-0.12,-0.12,-0.12,,,-0.12,-0.12,465.00M,465.00M
2014-12,29.33B,29.33B,24.10B,5.233B,1.526B,442.00M,1.968B,2.636B,,,,74.00M,8.00M,-66.00M,39.00M,4.643B,590.00M,8.00M,74.00M,-66.00M,-95.00M,-66.00M,429.00M,205.00M,214.00M,,214.00M,214.00M,1.883B,1.38B,503.00M,0.46,,,0.46,0.46,0.45,,,0.45,0.45,465.00M,465.00M
2014-09,20.58B,20.58B,17.27B,3.309B,993.00M,406.00M,1.399B,2.423B,,,,49.00M,9.00M,-40.00M,31.00M,3.853B,-544.00M,9.00M,49.00M,-40.00M,-50.00M,-40.00M,-634.00M,-205.00M,-437.00M,,-437.00M,-437.00M,662.00M,1.247B,-585.00M,-0.95,,,-0.95,-0.95,-0.95,,,-0.95,-0.95,463.00M,463.00M
2014-06,19.34B,19.34B,15.78B,3.559B,943.00M,377.00M,1.32B,2.226B,,,,45.00M,11.00M,-34.00M,28.00M,3.574B,-15.00M,11.00M,45.00M,-34.00M,22.00M,-34.00M,-27.00M,94.00M,-126.00M,,-126.00M,-126.00M,1.127B,1.109B,18.00M,-0.27,,,-0.27,-0.27,-0.27,,,-0.27,-0.27,461.00M,461.00M
2014-03,19.74B,19.74B,16.37B,3.369B,870.00M,327.00M,1.197B,1.991B,,,,42.00M,11.00M,-31.00M,35.00M,3.223B,146.00M,11.00M,42.00M,-31.00M,5.00M,-31.00M,120.00M,73.00M,108.00M,,108.00M,108.00M,1.172B,1.01B,162.00M,0.23,,,0.23,0.23,0.23,,,0.23,0.23,460.00M,468.00M
2013-12,25.59B,25.59B,21.72B,3.863B,1.132B,319.00M,1.451B,1.862B,,,,39.00M,10.00M,-29.00M,40.00M,3.353B,510.00M,10.00M,39.00M,-29.00M,-29.00M,-29.00M,452.00M,179.00M,240.00M,,240.00M,240.00M,1.453B,962.00M,491.00M,0.52,,,0.52,0.52,0.51,,,0.51,0.51,460.00M,468.00M
2013-09,17.09B,17.09B,14.40B,2.692B,694.00M,278.00M,972.00M,1.734B,,,,36.00M,9.00M,-27.00M,11.00M,2.717B,-25.00M,9.00M,36.00M,-27.00M,9.00M,-27.00M,-43.00M,-12.00M,-41.00M,,-41.00M,-41.00M,827.00M,834.00M,-7.00M,-0.09,,,-0.09,-0.09,-0.09,,,-0.09,-0.09,457.00M,457.00M
2013-06,15.70B,15.70B,13.05B,2.658B,675.00M,286.00M,961.00M,1.586B,,,,33.00M,9.00M,-24.00M,32.00M,2.579B,79.00M,9.00M,33.00M,-24.00M,-38.00M,-24.00M,17.00M,13.00M,-7.00M,,-7.00M,-7.00M,806.00M,756.00M,50.00M,-0.02,,,-0.02,-0.02,-0.02,,,-0.02,-0.02,456.00M,456.00M
2013-03,16.07B,16.07B,13.60B,2.473B,632.00M,246.00M,878.00M,1.383B,,,,33.00M,10.00M,-23.00M,31.00M,2.292B,181.00M,10.00M,33.00M,-23.00M,-77.00M,-23.00M,81.00M,-18.00M,82.00M,,82.00M,82.00M,814.00M,700.00M,114.00M,0.18,,,0.18,0.18,0.18,,,0.18,0.18,455.00M,463.00M
2012-12,21.27B,21.27B,18.40B,2.873B,851.00M,234.00M,1.085B,1.345B,,,,27.00M,8.00M,-19.00M,38.00M,2.468B,405.00M,8.00M,27.00M,-19.00M,-49.00M,-19.00M,337.00M,194.00M,98.00M,,98.00M,98.00M,1.026B,662.00M,364.00M,0.21,,,0.21,0.21,0.21,,,0.21,0.21,456.00M,456.00M
2012-09,13.81B,13.81B,11.83B,1.977B,540.00M,230.00M,770.00M,1.192B,,,,22.00M,10.00M,-12.00M,43.00M,2.005B,-28.00M,10.00M,22.00M,-12.00M,18.00M,-12.00M,-22.00M,83.00M,-274.00M,,-274.00M,-274.00M,554.00M,554.00M,0.00,-0.6,,,-0.6,-0.6,-0.6,,,-0.6,-0.6,452.00M,452.00M
2012-06,12.83B,12.83B,10.84B,1.99B,537.00M,232.00M,769.00M,1.082B,,,,21.00M,10.00M,-11.00M,32.00M,1.883B,107.00M,10.00M,21.00M,-11.00M,50.00M,-11.00M,146.00M,109.00M,7.00M,,7.00M,7.00M,652.00M,485.00M,167.00M,0.02,,,0.02,0.02,0.01,,,0.01,0.01,451.00M,458.00M
2012-03,13.18B,13.18B,11.32B,1.863B,480.00M,200.00M,680.00M,945.00M,,,,21.00M,12.00M,-9.00M,46.00M,1.671B,192.00M,12.00M,21.00M,-9.00M,-99.00M,-9.00M,84.00M,43.00M,130.00M,,130.00M,130.00M,562.00M,457.00M,105.00M,0.29,,,0.29,0.29,0.28,,,0.28,0.28,453.00M,460.00M
2011-12,17.43B,17.43B,18.41B,-976.00M,593.00M,-2.733B,-2.14B,862.00M,,,,20.00M,14.00M,-6.00M,42.00M,-1.236B,260.00M,14.00M,20.00M,-6.00M,19.00M,-6.00M,273.00M,86.00M,177.00M,,177.00M,177.00M,652.00M,359.00M,293.00M,0.39,,,0.39,0.39,0.38,,,0.38,0.38,453.00M,464.00M
2011-09,10.88B,10.88B,8.325B,2.551B,370.00M,1.296B,1.666B,769.00M,,,52.00M,17.00M,16.00M,-1.00M,37.00M,2.472B,79.00M,16.00M,17.00M,-1.00M,52.00M,-1.00M,130.00M,67.00M,63.00M,,63.00M,29.20M,425.00M,278.00M,147.00M,0.14,0.0,,0.0656,0.14,0.14,0.0,,0.0667,0.14,454.00M,461.00M
2011-06,9.913B,9.913B,7.525B,2.388B,341.00M,1.107B,1.448B,698.00M,,,23.00M,15.00M,16.00M,1.00M,41.00M,2.187B,201.00M,16.00M,15.00M,1.00M,23.00M,1.00M,225.00M,49.00M,191.00M,,191.00M,173.01M,484.00M,244.00M,240.00M,0.42,0.0,,0.3803,0.42,0.41,0.0,,0.3709,0.41,453.00M,460.00M
2011-03,9.857B,9.857B,7.608B,2.249B,327.00M,988.00M,1.315B,579.00M,,,-51.00M,12.00M,15.00M,3.00M,,1.894B,355.00M,15.00M,12.00M,3.00M,-51.00M,3.00M,307.00M,89.00M,201.00M,,201.00M,237.21M,521.00M,202.00M,319.00M,0.44,0.0,,0.5203,0.44,0.44,0.0,,0.5189,0.44,451.00M,459.00M
2010-12,12.95B,12.95B,13.22B,-268.00M,376.00M,-1.665B,-1.289B,518.00M,,,,11.00M,15.00M,4.00M,,-665.00M,397.00M,15.00M,11.00M,4.00M,106.00M,4.00M,507.00M,85.00M,416.00M,,416.00M,416.00M,687.00M,169.00M,518.00M,0.93,,,0.93,0.93,0.91,,,0.91,0.91,447.00M,459.00M
2010-09,7.56B,7.56B,5.786B,1.774B,241.00M,797.00M,1.038B,442.00M,,,-4.00M,11.00M,13.00M,2.00M,,1.48B,294.00M,13.00M,11.00M,2.00M,-4.00M,2.00M,292.00M,79.00M,231.00M,,231.00M,233.92M,453.00M,150.00M,303.00M,0.51,0.0,,0.5165,0.51,0.51,0.0,,0.5164,0.51,448.00M,456.00M
2010-06,6.566B,6.566B,4.957B,1.609B,211.00M,695.00M,906.00M,408.00M,,,-1.00M,9.00M,12.00M,3.00M,,1.314B,295.00M,12.00M,9.00M,3.00M,-1.00M,3.00M,297.00M,88.00M,207.00M,,207.00M,207.70M,436.00M,130.00M,306.00M,0.46,0.0,,0.4616,0.46,0.45,0.0,,0.4515,0.45,447.00M,455.00M
2010-03,7.131B,7.131B,5.501B,1.63B,201.00M,643.00M,844.00M,366.00M,,,-23.00M,7.00M,11.00M,4.00M,,1.21B,420.00M,11.00M,7.00M,4.00M,-23.00M,4.00M,401.00M,100.00M,299.00M,,299.00M,316.26M,527.00M,119.00M,408.00M,0.67,0.0,,0.7088,0.67,0.66,0.0,,0.698,0.66,445.00M,454.00M
2009-12,9.52B,9.52B,7.543B,1.977B,274.00M,855.00M,1.129B,350.00M,,,-28.00M,8.00M,9.00M,1.00M,,1.479B,498.00M,9.00M,8.00M,1.00M,-28.00M,1.00M,471.00M,84.00M,384.00M,,384.00M,407.01M,591.00M,112.00M,479.00M,0.88,0.0,,0.9324,0.88,0.86,0.0,,0.911,0.86,439.00M,451.00M
2009-09,5.449B,5.449B,4.176B,1.273B,149.00M,549.00M,698.00M,315.00M,,,2.00M,7.00M,7.00M,0.00,,1.013B,260.00M,7.00M,7.00M,0.00,2.00M,0.00,262.00M,60.00M,199.00M,,199.00M,197.46M,365.00M,96.00M,269.00M,0.46,0.0,,0.4564,0.46,0.45,0.0,,0.4465,0.45,432.00M,441.00M
2009-06,4.651B,4.651B,3.518B,1.133B,129.00M,486.00M,615.00M,299.00M,,,-41.00M,7.00M,8.00M,1.00M,,914.00M,219.00M,8.00M,7.00M,1.00M,-41.00M,1.00M,179.00M,39.00M,142.00M,,142.00M,174.07M,270.00M,84.00M,186.00M,0.33,0.0,,0.4044,0.33,0.32,0.0,,0.3929,0.32,431.00M,440.00M
2009-03,4.889B,4.889B,3.741B,1.148B,128.00M,765.00M,893.00M,,,,4.00M,12.00M,12.00M,0.00,11.00M,904.00M,244.00M,12.00M,12.00M,0.00,4.00M,0.00,248.00M,69.00M,177.00M,,177.00M,174.11M,347.00M,87.00M,260.00M,0.41,0.0,,0.4033,0.41,0.41,0.0,,0.4034,0.41,429.00M,437.00M
2008-12,6.703B,6.703B,5.355B,1.348B,169.00M,-135.00M,34.00M,,,,49.00M,11.00M,16.00M,5.00M,,1.099B,249.00M,16.00M,11.00M,5.00M,49.00M,5.00M,303.00M,80.00M,225.00M,,225.00M,188.94M,391.00M,77.00M,314.00M,0.52,0.0,,0.4359,0.52,0.52,0.0,,0.4371,0.52,429.00M,435.00M
2008-09,4.264B,4.264B,3.265B,999.00M,108.00M,730.00M,838.00M,,,,24.00M,17.00M,21.00M,4.00M,7.00M,845.00M,154.00M,21.00M,17.00M,4.00M,24.00M,4.00M,182.00M,59.00M,118.00M,,118.00M,101.78M,275.00M,76.00M,199.00M,0.28,0.0,,0.242,0.28,0.27,0.0,,0.2328,0.27,427.00M,436.00M
2008-06,4.063B,4.063B,3.096B,967.00M,,,537.00M,258.00M,,,37.00M,,,,-45.00M,750.00M,217.00M,,,,33.00M,,208.00M,46.00M,158.00M,,158.00M,129.18M,350.00M,133.00M,217.00M,0.38,0.0,,0.3114,0.38,0.37,0.0,,0.303,0.37,420.00M,430.00M
2008-03,4.135B,4.135B,3.179B,956.00M,,,524.00M,234.00M,,,5.00M,,,,,758.00M,198.00M,,,,3.00M,,207.00M,62.00M,143.00M,,143.00M,139.50M,199.00M,1.00M,198.00M,0.34,0.0,,0.3316,0.34,0.34,0.0,,0.3318,0.34,417.00M,426.00M
2007-12,5.672B,5.672B,4.502B,1.17B,,,668.00M,222.00M,,,-6.00M,,,,,890.00M,280.00M,,,,-7.00M,,281.00M,74.00M,207.00M,,207.00M,211.42M,416.00M,63.00M,353.00M,0.5,0.0,,0.5106,0.5,0.48,0.0,,0.4904,0.48,416.00M,427.00M
2007-09,3.262B,3.262B,2.50B,762.00M,,,430.00M,209.00M,,,-3.00M,,,,,639.00M,123.00M,,,,-3.00M,,124.00M,44.00M,80.00M,,80.00M,81.94M,184.00M,61.00M,123.00M,0.19,0.0,,0.1947,0.19,0.19,0.0,,0.1946,0.19,414.00M,425.00M
2007-06,2.886B,2.886B,2.185B,701.00M,,,384.00M,201.00M,,,-6.00M,,,,,585.00M,116.00M,,,,-6.00M,,111.00M,33.00M,78.00M,,78.00M,82.22M,176.00M,60.00M,116.00M,0.19,0.0,,0.2002,0.19,0.19,0.0,,0.2,0.19,412.00M,423.00M
2007-03,3.015B,3.015B,2.296B,719.00M,,,388.00M,186.00M,,,-2.00M,,,,,574.00M,145.00M,,,,-2.00M,,144.00M,33.00M,111.00M,,111.00M,112.54M,207.00M,62.00M,145.00M,0.27,0.0,,0.2737,0.27,0.26,0.0,,0.2637,0.26,412.00M,420.00M
2006-12,3.986B,3.986B,3.136B,850.00M,,,466.00M,177.00M,,,-30.00M,,,,,643.00M,207.00M,,,,-17.00M,,188.00M,91.00M,97.00M,,97.00M,115.00M,322.00M,59.00M,263.00M,0.24,0.0,,0.2836,0.24,0.23,0.0,,0.2728,0.23,413.00M,421.00M
2006-09,2.307B,2.307B,1.758B,549.00M,,,337.00M,172.00M,,,5.00M,,,,,509.00M,40.00M,,,,5.00M,,38.00M,19.00M,19.00M,,19.00M,16.00M,103.00M,63.00M,40.00M,0.05,0.0,,0.0428,0.05,0.05,0.0,,0.0429,0.05,417.00M,424.00M
2006-06,2.139B,2.139B,1.63B,509.00M,,,295.00M,167.00M,,,13.00M,,,,,462.00M,47.00M,,,,13.00M,,54.00M,32.00M,22.00M,,22.00M,14.20M,90.00M,43.00M,47.00M,0.05,0.0,,0.0313,0.05,0.05,0.0,,0.0317,0.05,418.00M,426.00M
2006-03,2.279B,2.279B,1.735B,544.00M,,,292.00M,146.00M,,,-4.00M,,,,3.00M,441.00M,103.00M,,,,-4.00M,,96.00M,45.00M,51.00M,,51.00M,53.40M,143.00M,40.00M,103.00M,0.12,0.0,,0.1258,0.12,0.12,0.0,,0.1256,0.12,417.00M,426.00M
2005-12,2.977B,2.977B,2.31B,667.00M,,,47.00M,,,,-43.00M,,,,,455.00M,212.00M,,,,0.00,,161.00M,-38.00M,199.00M,0.00,199.00M,224.80M,376.00M,123.00M,253.00M,0.54,-0.06,0.0,0.6022,0.48,0.52,-0.06,-0.0002,0.5806,0.46,415.00M,426.00M
2005-09,1.858B,1.858B,1.395B,463.00M,,,368.00M,,,,-34.00M,,,,40.00M,408.00M,55.00M,,,,-34.00M,,51.00M,21.00M,30.00M,,30.00M,50.40M,55.00M,-57.00M,55.00M,0.07,0.0,,0.1194,0.07,0.07,0.0,,0.1177,0.07,413.00M,428.00M
2005-06,1.753B,1.753B,1.303B,450.00M,,,240.00M,106.00M,,,17.00M,,,,,346.00M,104.00M,,,,17.00M,,108.00M,56.00M,52.00M,,52.00M,41.80M,131.00M,27.00M,104.00M,0.13,0.0,,0.1052,0.13,0.12,0.0,,0.096,0.12,411.00M,425.00M
2005-03,1.902B,1.902B,1.444B,458.00M,,,257.00M,92.00M,,,16.00M,,,,1.00M,350.00M,108.00M,,,,16.00M,,108.00M,56.00M,52.00M,26.00M,78.00M,42.40M,136.00M,28.00M,108.00M,0.13,0.06,0.0,0.1066,0.19,0.12,0.06,0.0613,0.0974,0.18,410.00M,424.00M
2004-12,2.541B,2.541B,1.996B,545.00M,,,104.00M,,,,-8.00M,,,,,390.00M,155.00M,,,,-32.00M,,107.00M,-239.00M,346.00M,,346.00M,350.80M,282.00M,97.00M,185.00M,0.85,0.0,,0.8617,0.85,0.82,0.0,,0.8312,0.82,409.00M,428.00M
2004-09,1.463B,1.463B,1.107B,356.00M,,,270.00M,,,,-10.00M,,,,5.00M,275.00M,81.00M,,,,-10.00M,,57.00M,3.00M,54.00M,,54.00M,63.47M,81.00M,-57.00M,81.00M,0.13,0.0,,0.1533,0.13,0.13,0.0,,0.1523,0.13,407.00M,425.00M
2004-06,1.387B,1.387B,1.046B,341.00M,,,191.00M,71.00M,,,23.00M,,,,-7.00M,255.00M,86.00M,,,,23.00M,,81.00M,5.00M,76.00M,,76.00M,54.42M,128.39M,42.39M,86.00M,0.19,0.0,,0.1367,0.19,0.18,0.0,,0.1292,0.18,405.00M,425.00M
2004-03,1.530B,1.530B,1.170B,360.83M,,,195.32M,55.08M,,,22.88M,,,,,250.40M,110.44M,,,,22.88M,,,,111.14M,,111.14M,97.41M,110.44M,-6.386M,110.44M,0.28,0.0,,0.246,0.28,0.26,0.0,,0.2277,0.26,403.54M,424.52M
2003-12,1.946B,1.946B,1.519B,426.84M,,,234.52M,51.81M,,,-39.68M,,,,,289.22M,137.62M,,,,-39.68M,,,,73.15M,,73.15M,96.96M,239.19M,101.58M,137.62M,0.19,0.0,,0.2493,0.19,0.18,0.0,,0.2279,0.18,401.48M,496.98M
2003-09,1.134B,1.134B,848.64M,285.82M,,,180.12M,53.78M,,,-10.89M,,,,,233.89M,51.93M,,,,-10.89M,,,,15.56M,,15.56M,22.10M,51.93M,-66.60M,51.93M,0.04,0.0,,0.0564,0.04,0.04,0.0,,0.0555,0.04,397.91M,422.80M
2003-06,1.100B,1.100B,825.98M,273.93M,,,179.06M,52.14M,,0.913M,-56.53M,,,,,232.10M,41.82M,,,,-56.53M,,,,-43.31M,,-43.31M,-9.395M,89.64M,47.82M,41.82M,-0.11,0.0,,-0.0239,-0.11,-0.11,0.0,,-0.0239,-0.11,393.88M,393.88M
2003-03,1.084B,1.084B,812.98M,270.58M,,,180.36M,50.09M,,0.912M,-18.94M,,,,,231.36M,39.22M,,,,-19.38M,,,,-10.12M,,-10.12M,1.242M,40.14M,-7.243M,39.22M,-0.03,0.0,,-0.0008,-0.03,-0.03,0.0,,-0.0008,-0.03,388.54M,388.54M
2002-12,1.429B,1.429B,1.093B,335.16M,,,219.83M,49.05M,,,-43.04M,,,,,311.37M,23.79M,,,,-39.57M,,,,2.651M,0.00,2.651M,28.47M,136.83M,113.04M,23.79M,0.01,0.0,0.0,0.0773,0.01,0.0068,,-0.0,0.0734,0.0068,383.76M,387.91M
