,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.131B,1.131B,757.00M,374.00M,194.00M,194.00M,,3.90M,,-8.60M,47.70M,5.70M,-43.00M,,197.90M,176.10M,5.70M,47.70M,-43.00M,-19.60M,-43.00M,113.50M,321.50M,-208.00M,7.40M,,-200.60M,-193.18M,194.00M,32.80M,161.20M,-1.25,0.04,-1.16,-1.21,-1.25,0.04,-1.16,-1.21,165.30M,165.30M,0.16
2017-12,1.228B,1.228B,855.30M,372.50M,,207.40M,,3.90M,,-4.20M,30.50M,,-42.00M,,211.30M,161.20M,,30.50M,-42.00M,-0.20M,-42.00M,119.00M,94.00M,25.00M,-58.50M,,-33.50M,26.38M,184.40M,34.90M,149.50M,0.14,-0.33,0.1479,-0.19,0.14,-0.33,0.1478,-0.19,174.90M,176.90M,0.16
2017-09,1.131B,1.131B,770.60M,360.70M,207.90M,207.90M,,3.10M,,-7.10M,54.00M,4.90M,-50.50M,,211.00M,149.70M,4.90M,54.00M,-50.50M,7.00M,-50.50M,106.20M,43.70M,62.50M,725.00M,,787.50M,66.94M,192.10M,31.90M,160.20M,0.33,3.86,0.3538,4.19,0.33,3.82,0.3535,4.15,186.90M,188.90M,0.16
2017-06,1.070B,1.070B,726.80M,343.50M,202.90M,202.90M,,1.10M,,-1.20M,50.90M,3.20M,-49.10M,,204.00M,139.50M,3.20M,50.90M,-49.10M,-5.00M,-49.10M,85.40M,56.40M,29.00M,75.10M,,104.10M,31.82M,166.00M,29.70M,136.30M,0.14,0.39,0.1546,0.53,0.14,0.38,0.1545,0.52,192.50M,194.80M,0.16
2017-03,1.032B,1.032B,696.80M,335.40M,197.40M,197.40M,,5.00M,,0.40M,48.80M,2.20M,-48.40M,,202.40M,133.00M,2.20M,48.80M,-48.40M,-1.90M,-48.40M,82.70M,136.40M,-53.70M,10.50M,,-43.20M,-51.54M,184.30M,52.80M,131.50M,-0.27,0.05,-0.2588,-0.22,-0.27,0.05,-0.259,-0.22,193.40M,195.70M,0.16
2016-12,1.101B,1.101B,742.30M,359.10M,187.60M,187.60M,,4.60M,,1.50M,48.00M,2.20M,-47.30M,,192.20M,166.90M,2.20M,48.00M,-47.30M,2.50M,-47.30M,122.10M,-29.10M,151.20M,19.90M,,171.10M,148.80M,222.90M,52.80M,170.10M,0.89,0.1,0.8775,0.89,0.87,0.1,0.8578,0.87,192.20M,196.30M,0.16
2016-09,1.065B,1.065B,708.40M,356.70M,184.20M,184.20M,,4.10M,,-1.10M,49.60M,1.70M,-49.10M,,188.30M,168.40M,1.70M,49.60M,-49.10M,-1.40M,-49.10M,117.90M,54.10M,63.80M,99.50M,,163.30M,63.92M,222.10M,54.60M,167.50M,0.33,0.51,0.3306,0.84,0.32,0.51,0.3206,0.83,194.10M,196.70M,0.16
2016-06,1.039B,1.039B,689.30M,349.60M,197.30M,197.30M,,3.50M,,-1.70M,50.90M,2.00M,-50.30M,,200.80M,148.80M,2.00M,50.90M,-50.30M,-43.90M,-50.30M,54.60M,53.00M,1.60M,48.00M,,49.60M,-0.14M,163.00M,57.50M,105.50M,0.01,0.24,0.0011,0.25,0.01,0.24,0.0012,0.25,195.60M,198.40M,0.16
2016-03,1.006B,1.006B,670.30M,335.60M,185.10M,185.10M,,2.80M,,-2.40M,50.90M,1.60M,-50.60M,,187.90M,147.70M,1.60M,50.90M,-50.60M,-4.60M,-50.60M,92.50M,17.60M,74.90M,27.50M,,102.40M,77.98M,192.50M,49.10M,143.40M,0.37,0.14,0.3858,0.51,0.37,0.14,0.3856,0.51,195.20M,197.50M,0.13
2015-12,-867.30M,-867.30M,-372.50M,-494.80M,-469.80M,-469.80M,,-56.30M,,1.20M,38.70M,-2.50M,-42.70M,,-526.10M,31.30M,-2.50M,38.70M,-42.70M,2.60M,-42.70M,-8.80M,44.30M,-53.10M,,,123.50M,-58.50M,81.20M,51.30M,29.90M,0.63,,0.6024,0.63,0.62,,0.5928,0.62,195.50M,198.30M,0.13
2015-09,1.746B,1.746B,1.110B,636.60M,401.00M,401.00M,,21.80M,,-38.50M,54.80M,2.80M,-53.80M,,422.80M,213.80M,2.80M,54.80M,-53.80M,-34.80M,-53.80M,126.00M,39.40M,86.60M,,,86.60M,113.46M,233.60M,52.80M,180.80M,0.43,,0.5624,0.43,0.42,,0.5505,0.42,202.90M,205.80M,0.13
2015-06,1.785B,1.785B,1.121B,663.80M,416.90M,416.90M,,23.00M,,-98.00M,59.00M,3.30M,-57.00M,,439.90M,223.90M,3.30M,59.00M,-57.00M,-124.00M,-57.00M,42.90M,14.80M,28.10M,,,28.10M,110.24M,156.30M,54.40M,101.90M,0.13,,0.5239,0.13,0.13,,0.5187,0.13,208.50M,211.30M,0.13
2015-03,1.746B,1.746B,1.097B,649.60M,430.70M,430.70M,,22.60M,,-9.40M,58.50M,3.20M,-56.40M,,453.30M,196.30M,3.20M,58.50M,-56.40M,-8.60M,-56.40M,131.30M,34.10M,97.20M,,,97.20M,103.94M,244.60M,54.80M,189.80M,0.46,,0.4923,0.46,0.46,,0.4919,0.46,208.90M,211.70M,0.13
2014-12,1.974B,1.974B,1.301B,672.30M,468.40M,468.40M,,26.10M,0.00,-118.10M,65.60M,4.70M,-61.60M,,494.50M,177.80M,4.70M,65.60M,-61.60M,-120.60M,-61.60M,-4.40M,-70.70M,66.30M,,,66.30M,143.72M,122.90M,61.70M,61.20M,0.31,0.0,0.6797,0.31,0.31,0.0,0.6792,0.31,209.40M,209.70M,0.13
2014-09,1.976B,1.976B,1.279B,696.10M,469.80M,469.80M,,30.40M,0.00,-29.10M,69.70M,4.30M,-66.40M,,500.20M,195.90M,4.30M,69.70M,-66.40M,-32.00M,-66.40M,97.50M,36.70M,60.80M,,,60.80M,83.83M,234.10M,66.90M,167.20M,0.29,,0.3994,0.29,0.28,,0.3878,0.28,210.40M,213.50M,0.13
2014-06,1.974B,1.974B,1.294B,679.60M,462.40M,462.40M,,31.20M,,-14.50M,73.90M,3.00M,-72.60M,,493.60M,186.00M,3.00M,73.90M,-72.60M,-20.40M,-72.60M,93.00M,32.90M,60.10M,,,60.10M,71.02M,236.70M,69.80M,166.90M,0.28,,0.3311,0.28,0.28,,0.3307,0.28,213.50M,215.50M,0.13
2014-03,1.828B,1.828B,1.188B,639.60M,447.90M,447.90M,,31.20M,,14.00M,78.50M,3.60M,-76.50M,,479.10M,160.50M,3.60M,78.50M,-76.50M,-2.90M,-76.50M,81.10M,10.20M,70.90M,,,70.90M,73.52M,227.90M,68.30M,159.60M,0.34,,0.3527,0.34,0.33,,0.3422,0.33,206.70M,215.10M,0.13
2013-12,2.012B,2.012B,1.344B,668.70M,450.90M,450.90M,,30.80M,0.00,-15.80M,91.60M,2.90M,-89.90M,,481.70M,187.00M,2.90M,91.60M,-89.90M,-26.90M,-89.90M,70.20M,65.00M,5.20M,24.00M,,29.20M,19.56M,231.60M,69.80M,161.80M,0.02,0.12,0.0937,0.14,0.02,0.11,0.0877,0.13,194.90M,212.10M,0.13
2013-09,1.912B,1.912B,1.262B,649.90M,434.70M,434.70M,,29.10M,2.10M,-51.90M,88.90M,2.50M,-88.70M,,463.80M,186.10M,2.50M,88.90M,-88.70M,-51.10M,-88.70M,46.30M,11.20M,35.10M,2.50M,,37.60M,73.15M,202.40M,67.20M,135.20M,0.18,0.01,0.3752,0.19,0.17,0.01,0.3467,0.18,194.90M,215.30M,0.13
2013-06,1.937B,1.937B,1.278B,659.10M,450.00M,450.00M,,31.40M,,-12.00M,89.70M,2.40M,-89.00M,,481.40M,177.70M,2.40M,89.70M,-89.00M,-16.50M,-89.00M,72.20M,17.90M,54.30M,2.00M,,56.30M,66.56M,236.40M,74.50M,161.90M,0.28,0.01,0.3429,0.29,0.25,0.01,0.3074,0.26,194.80M,213.60M,0.13
2013-03,1.829B,1.829B,1.217B,612.20M,452.70M,452.70M,,31.90M,,-32.50M,90.80M,3.20M,-89.20M,,484.60M,127.60M,3.20M,90.80M,-89.20M,-46.90M,-89.20M,-8.50M,-9.20M,0.70M,2.00M,,2.70M,31.38M,154.20M,71.90M,82.30M,0.0031,0.01,0.1614,0.01,0.0028,0.01,0.1471,0.01,193.80M,212.70M,0.13
2012-12,1.889B,1.889B,1.261B,627.50M,431.30M,431.30M,,33.20M,0.00,-629.90M,93.50M,1.80M,-96.30M,,464.50M,163.00M,1.80M,93.50M,-96.30M,-628.40M,-96.30M,-561.70M,-210.00M,-351.70M,192.30M,,-159.40M,44.39M,-398.90M,69.30M,-468.20M,-0.06,0.95,1.9909999999999999,0.89,-0.06,0.95,1.9909999999999999,0.89,193.10M,193.10M,0.13
2012-09,1.900B,1.900B,1.257B,643.60M,429.20M,429.20M,,33.00M,0.00,-1.372B,96.60M,3.50M,-93.50M,,462.20M,181.40M,3.50M,96.60M,-93.50M,-1.374B,-93.50M,-1.286B,-48.00M,-1.238B,5.90M,,-1.232B,84.19M,-1.114B,75.70M,-1.190B,-6.41,0.03,0.4352,-6.38,-6.41,0.03,0.4352,-6.38,193.20M,193.20M,0.13
2012-06,1.925B,1.925B,1.296B,628.30M,458.10M,458.10M,,33.80M,23.50M,-51.50M,97.30M,3.10M,-94.30M,,491.90M,136.40M,3.10M,97.30M,-94.30M,-60.30M,-94.30M,-18.20M,2.50M,-20.70M,7.00M,,-13.70M,17.00M,154.30M,75.20M,79.10M,-0.11,0.04,0.0853,-0.07,-0.11,0.04,0.0853,-0.07,193.00M,193.00M,0.13
2012-03,1.845B,1.845B,1.224B,621.10M,456.50M,456.50M,,32.70M,,-48.80M,97.30M,3.50M,-93.90M,,489.20M,131.90M,3.50M,97.30M,-93.90M,-56.30M,-93.90M,-18.30M,-9.90M,-8.40M,2.40M,,-6.00M,25.72M,159.00M,80.00M,79.00M,-0.04,0.01,0.1378,-0.03,-0.04,0.01,0.1378,-0.03,191.90M,191.90M,0.13
2011-12,1.879B,1.879B,1.268B,611.60M,,455.40M,,30.90M,,-89.50M,106.10M,,-102.70M,,486.30M,125.30M,,106.10M,-102.70M,-105.40M,-102.70M,-82.80M,-17.10M,-65.70M,16.40M,,-49.30M,16.66M,96.40M,73.10M,23.30M,-0.45,0.1,-0.0181,-0.35,-0.45,0.09,-0.0561,-0.35,190.70M,209.10M,0.13
2011-09,1.247B,1.247B,911.40M,335.70M,,179.40M,,2.50M,,-18.40M,36.60M,,-36.60M,,181.90M,153.80M,,36.60M,-36.60M,-17.10M,-36.60M,100.10M,26.40M,73.70M,0.00,,73.70M,86.29M,173.40M,36.70M,136.70M,0.46,0.0,0.539,0.46,0.41,0.0,0.4808,0.41,159.30M,177.90M,0.13
2011-06,1.213B,1.213B,888.30M,324.30M,,186.10M,,2.50M,,-5.50M,36.90M,,-36.90M,,188.60M,135.70M,,36.90M,-36.90M,-8.60M,-36.90M,90.20M,25.20M,65.00M,,,65.00M,71.20M,164.00M,36.90M,127.10M,0.41,0.0,0.4489,0.41,0.37,0.0,0.4049,0.37,159.20M,177.50M,0.13
2011-03,1.128B,1.128B,819.50M,309.00M,,183.50M,,2.50M,,-3.90M,37.00M,,-37.00M,,186.00M,123.00M,,37.00M,-37.00M,-4.10M,-37.00M,81.90M,22.20M,59.70M,,,59.70M,62.69M,154.90M,36.00M,118.90M,0.37,0.0,0.3888,0.37,0.34,0.0,0.3569,0.34,158.70M,176.90M,0.13
2010-12,1.209B,1.209B,877.40M,331.80M,,178.60M,,,,-49.70M,39.20M,,-32.50M,,189.80M,142.00M,,39.20M,-32.50M,-50.30M,-32.50M,59.20M,7.90M,51.30M,,,51.30M,91.68M,139.10M,40.70M,98.40M,0.32,0.0,0.5746,0.32,0.29,0.0,0.5174,0.29,158.60M,177.60M,0.13
2010-09,1.13B,1.13B,809.50M,320.50M,,173.30M,,,,-3.00M,40.70M,,-40.70M,,173.30M,147.20M,,40.70M,-40.70M,-1.00M,-40.70M,105.50M,29.00M,76.50M,,,76.50M,77.23M,183.60M,37.40M,146.20M,0.48,0.0,0.4846,0.48,0.43,0.0,0.4341,0.43,158.30M,176.70M,0.13
2010-06,1.090B,1.090B,789.20M,300.50M,,171.60M,,,,0.50M,41.00M,,-41.00M,,171.60M,128.90M,,41.00M,-41.00M,4.90M,-41.00M,92.80M,25.80M,67.00M,,,67.00M,63.46M,170.80M,37.00M,133.80M,0.42,0.0,0.3977,0.42,0.38,0.0,0.36,0.38,158.30M,176.50M,0.12
2010-03,1.061B,1.061B,761.20M,300.00M,,175.50M,,,,2.20M,40.70M,,-40.70M,,175.50M,124.50M,,40.70M,-40.70M,2.20M,-40.70M,86.00M,24.80M,61.20M,,,61.20M,59.63M,166.30M,39.60M,126.70M,0.38,0.0,0.3701,0.38,0.35,0.0,0.3411,0.35,157.80M,176.10M,0.12
2009-12,1.146B,1.146B,812.80M,333.60M,,203.70M,,,,19.60M,40.30M,,-46.30M,,217.70M,115.90M,,40.30M,-46.30M,18.80M,-46.30M,87.10M,22.00M,65.10M,,,65.10M,51.05M,168.10M,40.70M,127.40M,0.41,0.0,0.3208,0.41,0.36,0.0,0.28,0.36,157.50M,175.70M,0.12
2009-09,1.080B,1.080B,768.80M,311.10M,,180.00M,,,,-9.20M,41.90M,2.00M,-39.90M,,180.00M,131.10M,2.00M,41.90M,-39.90M,-12.40M,-39.90M,79.30M,18.70M,60.60M,,,60.60M,70.08M,160.40M,39.20M,121.20M,0.38,0.0,0.4402,0.38,0.34,0.0,0.3931,0.34,157.40M,178.30M,0.12
2009-06,1.028B,1.028B,739.90M,288.10M,,169.30M,,,,0.90M,37.80M,,-37.80M,,169.30M,118.80M,,37.80M,-37.80M,0.90M,-37.80M,81.90M,21.40M,60.50M,,,60.50M,59.84M,156.10M,36.40M,119.70M,0.38,0.0,0.3758,0.38,0.33,0.0,0.3265,0.33,157.30M,188.60M,0.12
2009-03,988.50M,988.50M,702.80M,285.70M,,166.20M,,,,-3.00M,34.90M,,-34.90M,,166.20M,119.50M,,34.90M,-34.90M,-3.00M,-34.90M,81.60M,23.50M,58.10M,,,58.10M,60.24M,154.70M,38.20M,116.50M,0.37,0.0,0.3836,0.37,0.32,0.0,0.3314,0.32,156.70M,187.90M,0.12
2008-12,1.168B,1.168B,860.70M,307.60M,,172.10M,,,,-50.50M,31.70M,,-31.70M,,172.10M,135.50M,,31.70M,-31.70M,-50.50M,-31.70M,53.30M,6.00M,47.30M,,,47.30M,92.12M,109.40M,24.40M,85.00M,0.3,0.0,0.5865,0.3,0.26,0.0,0.4991,0.26,156.40M,187.40M,0.12
2008-09,1.219B,1.219B,925.30M,293.70M,,193.20M,,,,-66.30M,30.70M,,-30.70M,,193.20M,100.50M,,30.70M,-30.70M,-66.30M,-30.70M,3.50M,-5.70M,9.20M,,,9.20M,52.30M,77.10M,42.90M,34.20M,0.06,0.0,0.3355,0.06,0.05,0.0,0.2968,0.05,156.40M,174.60M,0.12
2008-06,1.279B,1.279B,948.60M,330.20M,,203.30M,,,,-12.60M,30.30M,,-30.30M,,203.30M,126.90M,,30.30M,-30.30M,-12.60M,-30.30M,84.00M,21.40M,62.60M,,,62.60M,71.99M,157.30M,43.00M,114.30M,0.39,0.0,0.4494,0.39,0.34,0.0,0.3897,0.34,158.00M,189.00M,0.12
2008-03,1.177B,1.177B,872.30M,305.10M,,186.40M,,,,-1.80M,35.40M,,-35.40M,,186.40M,118.70M,,35.40M,-35.40M,-1.80M,-35.40M,81.50M,20.70M,60.80M,,,60.80M,62.14M,161.60M,44.70M,116.90M,0.38,0.0,0.3884,0.38,0.33,0.0,0.337,0.33,159.70M,190.50M,0.12
2007-12,1.250B,1.250B,906.70M,343.50M,,197.50M,,,,-13.90M,,,,,190.70M,152.80M,,,,-13.90M,,103.00M,23.30M,79.70M,,,79.70M,90.46M,196.30M,43.50M,152.80M,0.5,0.0,0.5675,0.5,0.43,0.0,0.488,0.43,159.44M,185.51M,0.1
2007-09,1.161B,1.161B,840.80M,320.10M,,185.80M,,,,1.50M,,,,,185.80M,134.30M,,,,1.50M,,105.40M,33.00M,72.40M,,,72.40M,71.37M,176.40M,42.10M,134.30M,0.45,0.0,0.4436,0.45,0.39,0.0,0.3844,0.39,160.89M,185.64M,0.1
2007-06,1.145B,1.145B,822.10M,323.30M,,189.00M,,,,3.20M,,,,,189.00M,134.30M,,,,3.20M,,107.50M,33.60M,73.90M,,,73.90M,71.70M,176.30M,42.00M,134.30M,0.46,0.0,0.4463,0.46,0.4,0.0,0.3881,0.4,160.65M,184.75M,0.1
2007-03,1.095B,1.095B,780.50M,314.20M,,177.90M,,,,-0.40M,,,,,177.90M,136.30M,,,,34.90M,,140.10M,13.10M,127.00M,,,127.00M,127.36M,177.50M,41.20M,136.30M,0.79,0.0,0.7923,0.79,0.67,0.0,0.6719,0.67,160.76M,189.55M,0.1
2006-12,1.146B,1.146B,806.10M,339.40M,,187.20M,,,,0.80M,,,,,187.20M,152.20M,,,,0.80M,,121.80M,38.50M,83.30M,,,83.30M,82.75M,195.30M,43.10M,152.20M,0.525,0.0,0.5215,0.525,0.45,0.0,0.447,0.45,157.79M,184.67M,0.075
2006-09,1.081B,1.081B,771.60M,309.80M,,170.10M,,,,3.20M,,,,,170.10M,139.70M,,,,3.20M,,111.30M,34.10M,77.20M,,,77.20M,74.98M,181.60M,41.90M,139.70M,0.475,0.0,0.4613,0.475,0.41,0.0,0.3982,0.41,162.53M,188.29M,0.075
2006-06,1.082B,1.082B,774.60M,307.30M,,176.40M,,,,-11.80M,,,,,176.40M,130.90M,,,,-11.80M,,85.00M,27.20M,57.80M,,,57.80M,65.82M,174.60M,43.70M,130.90M,0.36,0.0,0.41,0.36,0.31,0.0,0.353,0.31,160.56M,186.45M,0.075
2006-03,1.019B,1.019B,735.50M,283.60M,,167.50M,,,,4.30M,,,,,167.50M,116.10M,,,,4.30M,,82.00M,26.20M,55.80M,,,55.80M,52.87M,158.20M,42.10M,116.10M,0.34,0.0,0.3222,0.34,0.3,0.0,0.2843,0.3,164.12M,186.00M,0.075
2005-12,1.076B,1.076B,778.90M,296.80M,,160.70M,,,,11.50M,,,,,160.70M,136.10M,,,,11.50M,,102.70M,29.70M,73.00M,,,73.00M,64.83M,181.30M,45.20M,136.10M,0.445,0.0,0.3951,0.445,0.385,0.0,0.3419,0.385,163.72M,189.49M,
2005-09,1.020B,1.020B,731.90M,287.80M,,156.40M,,,,-0.20M,,,,,156.40M,131.40M,,,,-0.20M,,96.20M,32.00M,64.20M,,,64.20M,64.33M,174.40M,43.00M,131.40M,0.39,0.0,0.3908,0.39,0.34,0.0,0.3407,0.34,164.62M,188.82M,
2005-06,1.02B,1.02B,724.10M,295.90M,,169.50M,,,,2.90M,,,,,169.50M,126.40M,,,,2.90M,,94.00M,31.30M,62.70M,,,62.70M,60.77M,171.00M,44.60M,126.40M,0.375,0.0,0.3634,0.375,0.33,0.0,0.3198,0.33,167.20M,190.00M,
2005-03,969.80M,969.80M,692.30M,277.50M,,159.30M,,,,2.20M,,,,,159.30M,118.20M,,,,2.20M,,83.60M,27.80M,55.80M,,,55.80M,54.33M,163.20M,45.00M,118.20M,0.335,0.0,0.3262,0.335,0.29,0.0,0.2824,0.29,166.57M,192.41M,
2004-12,1.017B,1.017B,709.30M,307.80M,,159.50M,,,,-68.50M,,,,,159.50M,148.30M,,,,-68.50M,,41.10M,10.80M,30.30M,,,30.30M,80.80M,195.20M,46.90M,148.30M,0.18,0.0,0.4818,0.18,0.165,0.0,0.4639,0.165,167.35M,168.98M,
2004-09,944.20M,944.20M,658.80M,285.40M,,152.70M,,,,3.30M,,,,,152.70M,132.70M,,,,3.30M,,97.00M,33.20M,63.80M,,,63.80M,61.63M,178.00M,45.30M,132.70M,0.38,0.0,0.367,0.38,0.33,0.0,0.319,0.33,167.60M,198.00M,
2004-06,923.70M,923.70M,640.90M,282.80M,,155.10M,,,,0.40M,,,,,155.10M,127.70M,,,,0.40M,,90.80M,29.40M,61.40M,,,61.40M,61.13M,172.70M,45.00M,127.70M,0.365,0.0,0.3634,0.365,0.32,0.0,0.3186,0.32,168.22M,191.88M,
2004-03,913.10M,913.10M,627.00M,286.10M,,158.70M,,,,5.30M,,,,,158.70M,127.40M,,,,5.30M,,94.00M,33.80M,60.20M,,,60.20M,56.81M,172.90M,45.50M,127.40M,0.355,0.0,0.335,0.355,0.31,0.0,0.2925,0.31,169.58M,194.19M,
2003-12,934.80M,934.80M,639.90M,294.90M,,147.70M,,,,-32.20M,,,,,147.70M,147.20M,,,,-32.20M,,72.10M,25.20M,46.90M,,25.90M,46.90M,67.85M,191.10M,43.90M,147.20M,0.275,0.0,0.3981,0.275,0.25,0.0,0.3731,0.25,170.17M,170.17M,
2003-09,908.70M,908.70M,619.80M,288.90M,,145.60M,,,,3.20M,,,,,145.60M,143.30M,,,,3.20M,,104.00M,37.90M,66.10M,,27.90M,66.10M,64.07M,186.30M,43.00M,143.30M,0.225,0.0,0.213,0.225,0.205,0.0,0.1942,0.205,169.74M,187.84M,
2003-06,865.60M,865.60M,596.10M,269.50M,,142.10M,,,,1.90M,,,,300.00M,442.10M,-172.60M,,,,1.90M,,102.80M,37.00M,65.80M,,12.90M,65.80M,64.58M,-128.60M,44.00M,-172.60M,0.315,0.0,0.3078,0.315,0.28,0.0,0.2735,0.28,169.02M,187.84M,
2003-03,822.90M,822.90M,563.40M,259.50M,,138.70M,,,,-0.50M,,,,,138.70M,120.80M,,,,-0.50M,,87.90M,36.20M,61.70M,,13.30M,61.70M,62.00M,163.50M,42.70M,120.80M,0.285,0.0,0.2868,0.285,0.26,0.0,0.2616,0.26,168.43M,186.43M,
2002-12,846.07M,846.07M,563.14M,282.93M,,146.77M,,,,-835.39M,,,,,146.77M,136.16M,,,,-835.39M,,-715.88M,-214.06M,-501.82M,,13.30M,-501.82M,83.78M,177.54M,41.38M,136.16M,-3.065,0.0,0.0522,-3.065,-3.065,,0.0522,-3.065,187.86M,187.86M,
