,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,326.90M,,326.90M,465.10M,,99.30M,577.80M,95.90M,138.80M,329.10M,563.80M,195.00M,,,1.665B,0.0,43.90M,729.00M,2.374B,121.30M,114.20M,3.383B,-2.369B,1.014B,1.943B,87.20M,2.030B,,127.00M,204.80M,3.376B,5.041B,729.90M,46.20M,776.10M,20.60M,796.70M,,,,157.30M,,157.30M,,,468.80M,1.423B,3.248B,,3.248B,27.40M,27.40M,,,,707.80M,3.983B,5.406B,23.20M,1.503B,2.026B,3.091B,,,,,,-825.80M,-364.80M
2017-12,594.00M,,594.00M,552.40M,,90.20M,727.70M,82.80M,125.70M,298.30M,506.80M,33.90M,,,1.866B,0.0,43.50M,718.90M,2.330B,116.30M,114.70M,3.324B,-2.326B,998.40M,1.940B,83.60M,2.023B,,176.20M,215.90M,3.414B,5.280B,723.80M,47.30M,771.10M,573.00M,1.344B,,,,27.50M,,27.50M,,,2.20M,1.378B,3.230B,,3.230B,28.50M,28.50M,215.40M,,,275.40M,3.750B,5.128B,23.00M,1.735B,1.940B,2.701B,,,-103.40M,-694.40M,-47.10M,-844.90M,152.30M
2017-09,1.305B,,1.305B,540.50M,,81.70M,638.90M,91.60M,143.60M,312.50M,547.70M,63.60M,,,2.576B,0.0,43.90M,696.10M,2.238B,109.60M,170.20M,3.258B,-2.307B,951.00M,1.898B,44.80M,1.943B,,275.70M,193.90M,3.364B,5.939B,778.20M,183.60M,961.80M,16.10M,977.90M,,,,86.00M,,86.00M,,,453.00M,1.517B,3.219B,,3.219B,4.70M,4.70M,,,,437.80M,3.662B,5.179B,23.00M,1.796B,1.933B,2.156B,,,,,,-835.90M,760.60M
2017-06,243.00M,,243.00M,310.30M,,77.30M,403.50M,85.00M,144.00M,303.10M,532.10M,251.90M,,,4.447B,0.0,43.60M,685.10M,2.180B,107.00M,177.70M,3.194B,-2.267B,926.70M,1.889B,41.00M,1.930B,,129.70M,193.50M,3.18B,7.627B,646.70M,,646.70M,29.70M,676.40M,,,,655.50M,,655.50M,,,1.738B,3.07B,3.790B,,3.790B,4.40M,4.40M,,,,422.90M,4.217B,7.287B,23.00M,1.023B,1.944B,1.729B,,,,,,-920.60M,339.50M
2017-03,258.40M,,258.40M,450.50M,,73.70M,534.50M,88.10M,128.80M,290.10M,507.00M,95.80M,,,4.288B,0.0,42.90M,609.70M,2.128B,105.40M,232.80M,3.119B,-2.209B,910.10M,1.885B,39.30M,1.924B,,122.40M,177.20M,3.134B,7.421B,581.10M,,581.10M,35.10M,616.20M,,,,393.40M,,393.40M,,,1.652B,2.662B,3.763B,,3.763B,4.30M,4.30M,,,,397.80M,4.165B,6.826B,23.00M,965.40M,1.984B,1.478B,,,,,,-899.00M,594.80M
2016-12,333.70M,,333.70M,460.50M,,72.70M,544.70M,81.50M,114.40M,260.80M,456.70M,54.50M,,,2.215B,0.0,41.60M,600.20M,2.092B,104.30M,210.10M,3.048B,-2.158B,889.60M,1.883B,40.10M,1.923B,,197.10M,2.190B,5.200B,7.416B,539.20M,48.30M,587.50M,465.00M,1.052B,,,,380.00M,,380.00M,,,683.30M,2.119B,3.763B,,3.763B,4.90M,4.90M,224.10M,,,178.00M,4.687B,6.806B,22.80M,1.04B,1.974B,1.478B,,,-276.70M,-701.90M,29.50M,-949.10M,609.70M
2016-09,332.80M,,332.80M,779.40M,,144.20M,948.60M,133.30M,131.30M,501.40M,766.00M,321.70M,,,2.376B,0.0,86.10M,614.80M,2.181B,144.40M,298.00M,3.325B,-2.291B,1.034B,2.914B,741.80M,3.655B,,178.40M,362.50M,5.230B,7.606B,823.30M,,823.30M,40.90M,864.20M,,,,660.80M,,660.80M,,,758.80M,2.284B,4.001B,,4.001B,58.60M,58.60M,,,,709.90M,4.769B,7.053B,22.70M,900.30M,1.959B,1.470B,,,,,,-858.90M,552.80M
2016-06,297.50M,,297.50M,839.90M,,153.60M,1.018B,127.80M,127.70M,492.50M,748.00M,293.60M,,,2.36B,0.0,88.10M,611.40M,2.173B,132.70M,240.60M,3.246B,-2.266B,980.00M,2.907B,764.40M,3.671B,,170.30M,345.20M,5.167B,7.527B,777.60M,,777.60M,44.50M,822.10M,,,,357.60M,,357.60M,,,713.70M,1.893B,4.259B,,4.259B,61.40M,61.40M,,,,725.80M,5.046B,6.940B,22.70M,758.60M,1.954B,1.305B,,,,,,-843.50M,587.00M
2016-03,315.70M,,315.70M,787.60M,,141.80M,954.70M,130.80M,122.20M,483.50M,736.50M,308.70M,,,2.319B,0.0,89.00M,617.50M,2.177B,131.40M,210.90M,3.226B,-2.272B,954.40M,2.929B,783.60M,3.713B,,201.60M,351.20M,5.220B,7.539B,719.70M,,719.70M,61.20M,780.90M,,,,414.70M,,414.70M,,,704.30M,1.900B,4.28B,,4.28B,63.60M,63.60M,,,,734.70M,5.078B,6.978B,22.70M,740.80M,1.937B,1.285B,,,,,,-854.30M,561.10M
2015-12,351.70M,,351.70M,758.40M,,131.50M,912.60M,109.60M,112.40M,438.80M,660.80M,280.30M,,,2.216B,0.0,86.70M,606.20M,2.141B,139.90M,190.70M,3.165B,-2.219B,945.70M,2.910B,784.30M,3.694B,,204.70M,345.10M,5.189B,7.405B,669.00M,49.70M,718.70M,787.00M,1.506B,,,,294.80M,,294.80M,,,,1.807B,4.267B,,4.267B,75.00M,75.00M,440.30M,,,288.70M,5.071B,6.878B,22.60M,675.20M,1.915B,1.266B,,,-266.00M,-564.00M,10.00M,-820.00M,527.10M
2015-09,334.30M,,334.30M,898.60M,,127.20M,1.082B,131.50M,130.80M,503.20M,765.50M,199.30M,99.40M,,2.486B,0.0,95.10M,606.80M,2.204B,133.70M,136.00M,3.176B,-2.270B,905.90M,2.917B,812.80M,3.730B,,102.70M,362.30M,5.101B,7.586B,716.60M,,716.60M,65.70M,782.30M,,,,315.20M,,315.20M,8.60M,8.60M,877.10M,1.983B,4.335B,,4.335B,146.30M,146.30M,,,,679.90M,5.161B,7.144B,22.60M,577.90M,1.844B,1.189B,,,,,,-813.20M,442.00M
2015-06,569.20M,,569.20M,1.041B,,139.40M,1.224B,120.00M,120.80M,524.40M,765.20M,88.30M,92.20M,,2.745B,0.0,100.60M,620.60M,2.243B,140.60M,117.90M,3.222B,-2.294B,928.40M,2.960B,832.40M,3.792B,,120.40M,369.50M,5.210B,7.955B,733.30M,,733.30M,55.40M,788.70M,,,,94.30M,,94.30M,7.70M,7.70M,763.30M,1.654B,4.369B,,4.369B,156.30M,156.30M,,,,701.40M,5.227B,6.881B,22.60M,517.90M,1.830B,611.50M,,,-220.90M,-448.80M,-14.40M,-684.10M,1.075B
2015-03,536.30M,,536.30M,975.50M,,143.80M,1.164B,104.80M,116.30M,523.20M,744.30M,92.60M,91.90M,,2.677B,0.0,98.80M,612.10M,2.167B,123.50M,102.70M,3.104B,-2.190B,913.70M,2.955B,837.50M,3.792B,,100.60M,370.50M,5.177B,7.854B,686.80M,,686.80M,52.90M,739.70M,,,,86.50M,,86.50M,6.10M,6.10M,761.90M,1.594B,4.262B,,4.262B,154.90M,154.90M,,,,692.90M,5.110B,6.704B,22.60M,517.60M,1.810B,524.90M,,,-219.20M,-455.30M,-0.80M,-675.30M,1.150B
2014-12,286.40M,,286.40M,1.002B,,126.80M,1.406B,103.90M,100.70M,483.90M,688.50M,131.50M,,-0.20M,2.619B,0.0,98.60M,636.00M,2.196B,140.00M,109.00M,3.180B,-2.236B,943.00M,2.997B,872.20M,3.869B,,122.90M,399.60M,5.335B,7.953B,624.20M,38.10M,662.30M,899.00M,1.561B,,,,144.30M,,144.30M,,,13.00M,1.727B,4.282B,,4.282B,77.10M,77.10M,425.00M,,,279.10M,5.063B,6.790B,22.50M,448.50M,1.787B,481.40M,,,-250.10M,-369.90M,6.20M,-613.80M,1.163B
2014-09,420.70M,,420.70M,1.043B,,362.60M,1.405B,115.90M,126.10M,576.70M,765.70M,219.20M,101.80M,,2.913B,0.0,114.70M,661.90M,2.422B,164.10M,120.50M,3.483B,-2.459B,1.024B,-1.091B,5.058B,3.967B,,78.00M,372.90M,5.442B,8.354B,660.20M,,660.20M,46.20M,706.40M,,,,418.30M,,418.30M,9.50M,9.50M,886.10M,2.020B,4.198B,,4.198B,231.30M,231.30M,,0.00,,577.90M,5.007B,7.027B,22.50M,383.90M,1.733B,431.30M,,,-132.90M,-251.90M,4.00M,-380.80M,1.327B
2014-06,356.50M,,356.50M,961.00M,,371.10M,1.332B,116.60M,127.00M,590.10M,783.50M,314.40M,100.90M,,2.887B,0.0,126.30M,734.90M,2.501B,170.10M,114.20M,3.646B,-2.546B,1.100B,3.123B,961.20M,4.084B,,80.60M,380.30M,5.645B,8.532B,592.00M,,592.00M,54.30M,646.30M,,,,713.80M,,713.80M,9.70M,9.70M,847.70M,2.218B,4.055B,,4.055B,231.60M,231.60M,,1.30M,,612.70M,4.899B,7.117B,22.50M,352.60M,1.722B,427.20M,,,-143.80M,-111.30M,-0.20M,-255.30M,1.414B
2014-03,413.10M,,413.10M,911.60M,,154.60M,1.066B,121.40M,124.00M,579.70M,774.00M,319.40M,97.80M,,2.670B,0.0,136.30M,731.20M,2.503B,167.50M,100.70M,3.639B,-2.520B,1.118B,3.116B,990.20M,4.106B,,83.40M,592.10M,5.900B,8.570B,573.00M,,573.00M,56.80M,629.80M,,,,695.60M,,695.60M,9.70M,9.70M,790.30M,2.125B,4.110B,,4.110B,227.70M,227.70M,,1.40M,,626.40M,4.964B,7.090B,22.50M,319.70M,1.709B,297.10M,,,-144.40M,-132.00M,1.50M,-274.90M,1.479B
2013-12,992.40M,,992.40M,1.126B,,123.30M,1.274B,116.60M,110.90M,502.70M,730.20M,84.90M,377.70M,,3.460B,0.0,135.80M,729.60M,2.488B,164.80M,107.10M,3.626B,-2.491B,1.134B,3.115B,1.017B,4.132B,,63.10M,387.40M,5.716B,9.176B,524.50M,35.60M,560.10M,1.842B,2.403B,,,,283.10M,,283.10M,8.10M,8.10M,,2.701B,4.116B,,4.116B,294.60M,294.60M,332.10M,1.40M,,315.80M,5.059B,7.760B,22.40M,302.20M,1.695B,327.60M,,,-146.20M,-134.40M,3.20M,-277.40M,1.415B
2013-09,776.70M,,776.70M,1.216B,,133.30M,1.350B,133.30M,133.00M,614.00M,829.90M,95.60M,382.60M,,3.434B,0.0,139.10M,737.90M,2.512B,176.80M,84.50M,3.650B,-2.504B,1.145B,3.157B,1.047B,4.204B,,161.30M,398.80M,5.909B,9.344B,525.00M,,525.00M,990.30M,1.515B,,,,255.20M,,255.20M,17.20M,17.20M,844.00M,2.632B,4.335B,,4.335B,314.10M,314.10M,,1.70M,,646.80M,5.296B,7.928B,22.40M,274.50M,1.694B,327.60M,,,-137.50M,-112.90M,1.40M,-249.00M,1.414B
2013-06,640.10M,,640.10M,1.373B,,,1.373B,139.30M,132.30M,597.40M,819.40M,114.90M,384.40M,,3.332B,0.0,136.20M,724.70M,2.483B,172.60M,76.50M,3.593B,-2.453B,1.140B,3.134B,1.060B,4.193B,,153.20M,400.50M,5.887B,9.219B,557.50M,,557.50M,958.10M,1.516B,,,,229.90M,,229.90M,20.70M,20.70M,798.50M,2.565B,4.352B,,4.352B,309.60M,309.60M,,-0.10M,,620.10M,5.281B,7.846B,22.50M,262.40M,1.689B,327.60M,,,-136.30M,-141.20M,4.80M,-272.70M,1.373B
2013-03,625.80M,,625.80M,1.325B,,,1.325B,141.60M,124.40M,590.30M,803.90M,123.20M,398.50M,,3.277B,0.0,139.60M,706.30M,2.536B,155.10M,89.50M,3.627B,-2.446B,1.181B,3.160B,1.092B,4.252B,,150.50M,412.30M,5.997B,9.273B,573.90M,,573.90M,949.60M,1.524B,,,,231.40M,,231.40M,17.80M,17.80M,741.10M,2.514B,4.376B,,4.376B,325.50M,325.50M,,0.20M,,631.50M,5.334B,7.847B,22.50M,231.90M,1.681B,327.60M,,,-137.20M,-46.00M,1.60M,-181.60M,1.426B
2012-12,679.60M,,679.60M,1.213B,,100.90M,1.314B,124.20M,117.00M,539.10M,728.90M,86.60M,393.00M,,3.289B,0.0,139.40M,704.80M,2.531B,145.90M,85.70M,3.607B,-2.413B,1.194B,3.151B,1.132B,4.283B,,150.30M,415.10M,6.042B,9.332B,480.20M,23.50M,503.70M,1.761B,2.265B,,,,41.00M,,41.00M,10.30M,10.30M,8.90M,2.335B,4.541B,,4.541B,366.70M,366.70M,368.80M,0.50M,,276.10M,5.552B,7.887B,22.30M,254.80M,1.685B,353.40M,,,-142.30M,-24.10M,1.50M,-164.90M,1.444B
2012-09,540.80M,,540.80M,1.354B,,,1.354B,155.00M,147.00M,614.20M,861.00M,99.10M,362.40M,,3.482B,0.0,142.00M,712.00M,2.509B,146.30M,97.90M,3.608B,-2.374B,1.234B,3.117B,1.772B,4.890B,,118.50M,453.60M,6.696B,10.18B,545.90M,,545.90M,938.50M,1.484B,,,,451.00M,,451.00M,17.10M,17.10M,963.30M,2.916B,4.486B,,4.486B,528.30M,528.30M,,0.60M,,546.80M,5.561B,8.477B,22.30M,438.40M,1.686B,353.10M,,2.30M,-40.30M,-55.30M,,-93.30M,1.700B
2012-06,503.90M,,503.90M,1.360B,,,1.360B,161.90M,142.20M,635.90M,883.30M,144.00M,148.00M,,3.039B,0.0,168.80M,686.00M,2.462B,168.60M,116.00M,3.601B,-2.314B,1.287B,4.184B,2.020B,6.204B,,126.50M,452.60M,8.070B,11.11B,621.20M,,621.20M,908.50M,1.530B,,,,51.20M,,51.20M,19.10M,19.10M,722.80M,2.323B,4.936B,,4.936B,411.50M,411.50M,,-6.70M,,576.80M,5.924B,8.247B,22.30M,1.696B,1.687B,353.10M,,,,,,-183.90M,2.869B
2012-03,538.20M,,538.20M,1.331B,,,1.331B,154.70M,140.60M,652.00M,891.00M,97.80M,153.00M,,3.011B,0.0,173.30M,708.80M,2.516B,173.60M,107.90M,3.680B,-2.350B,1.330B,4.273B,2.103B,6.376B,,134.60M,469.70M,8.310B,11.32B,621.50M,,621.50M,889.40M,1.511B,,,,36.10M,,36.10M,18.40M,18.40M,668.90M,2.234B,4.988B,,4.988B,443.30M,443.30M,,-5.80M,,613.30M,6.045B,8.279B,22.30M,1.735B,1.680B,352.80M,,1.90M,-43.00M,3.80M,,-37.30M,3.048B
2011-12,703.60M,,703.60M,1.314B,,,1.314B,150.80M,121.00M,559.00M,777.50M,119.70M,156.20M,,3.350B,0.0,139.40M,702.30M,2.461B,151.60M,103.90M,3.558B,-2.289B,1.269B,4.210B,2.036B,6.245B,,112.30M,455.00M,8.082B,11.43B,554.90M,60.80M,615.70M,1.612B,2.227B,,,,36.40M,,36.40M,16.00M,16.00M,216.70M,2.506B,4.967B,,4.967B,439.70M,439.70M,295.10M,-5.10M,,271.90M,5.973B,8.480B,22.10M,1.766B,1.690B,375.60M,,,-43.20M,-104.00M,2.10M,-145.10M,2.958B
2011-09,800.30M,,800.30M,717.10M,,,717.10M,112.70M,133.10M,383.40M,575.90M,,161.10M,36.20M,2.291B,0.0,55.90M,618.90M,2.351B,107.00M,69.50M,3.203B,-2.287B,915.20M,1.948B,,1.948B,,167.00M,297.90M,3.328B,5.618B,279.20M,,279.20M,820.30M,1.100B,,,,24.10M,,24.10M,,,412.20M,1.536B,1.404B,,1.404B,,,,-5.10M,,145.80M,1.549B,3.085B,18.90M,1.841B,1.173B,375.50M,,3.10M,-43.70M,-78.70M,,-119.30M,2.538B
2011-06,705.00M,,705.00M,731.50M,,,731.50M,115.00M,143.80M,396.90M,601.80M,,135.60M,33.90M,2.208B,0.0,60.40M,644.40M,2.419B,111.10M,53.30M,3.288B,-2.331B,957.00M,1.954B,,1.954B,,172.20M,296.10M,3.380B,5.587B,263.60M,,263.60M,815.10M,1.079B,,,,11.70M,,11.70M,5.30M,5.30M,363.60M,1.459B,1.402B,,1.402B,9.90M,9.90M,,-4.20M,,143.50M,1.555B,3.015B,18.90M,1.788B,1.168B,375.50M,,3.20M,-45.80M,19.20M,,-23.40M,2.577B
2011-03,696.00M,,696.00M,696.10M,,,696.10M,104.50M,127.70M,374.80M,559.00M,,142.70M,28.30M,2.122B,0.0,59.50M,639.10M,2.392B,110.50M,47.60M,3.249B,-2.290B,958.30M,1.952B,,1.952B,,167.30M,290.50M,3.368B,5.490B,265.50M,,265.50M,798.70M,1.064B,,,,14.00M,,14.00M,5.10M,5.10M,357.70M,1.441B,1.399B,,1.399B,,,,-3.60M,,154.90M,1.554B,2.995B,18.90M,1.745B,1.161B,374.70M,,3.30M,-46.80M,-6.90M,,-50.40M,2.499B
2010-12,675.60M,,675.60M,,,,697.10M,94.50M,112.60M,337.80M,495.80M,25.30M,146.20M,,2.04B,0.0,53.00M,620.10M,2.326B,106.30M,43.60M,3.149B,-2.200B,948.30M,1.946B,,1.946B,,179.60M,285.60M,3.359B,5.399B,232.00M,,232.00M,795.80M,1.028B,,,,30.00M,,30.00M,5.00M,5.00M,384.90M,1.448B,1.399B,,1.399B,8.00M,8.00M,,-3.00M,,142.90M,1.550B,2.998B,18.80M,1.706B,1.153B,362.70M,,3.50M,-47.90M,-65.90M,,-110.30M,2.405B
2010-09,761.80M,,761.80M,691.90M,,,691.90M,96.70M,123.70M,369.40M,539.10M,38.10M,188.70M,,2.220B,0.0,53.30M,626.60M,2.330B,110.90M,49.40M,3.17B,-2.205B,965.30M,1.948B,,1.948B,,162.50M,276.40M,3.352B,5.572B,238.20M,,238.20M,779.80M,1.018B,,,,28.30M,,28.30M,8.60M,8.60M,390.20M,1.445B,1.560B,,1.560B,7.50M,7.50M,,-0.90M,,160.80M,1.728B,3.173B,18.70M,1.676B,1.144B,352.90M,,8.60M,-64.60M,-30.50M,,-86.50M,2.400B
2010-06,662.20M,,662.20M,642.80M,,,642.80M,95.10M,116.30M,351.50M,512.40M,41.40M,197.80M,,2.057B,0.0,50.40M,600.20M,2.245B,112.40M,35.30M,3.044B,-2.100B,943.30M,1.939B,,1.939B,,147.10M,253.00M,3.282B,5.339B,239.60M,,239.60M,771.40M,1.011B,,,,24.90M,,24.90M,7.90M,7.90M,357.50M,1.401B,1.559B,,1.559B,7.20M,7.20M,,-0.40M,,146.80M,1.713B,3.115B,18.70M,1.620B,1.136B,352.90M,,8.30M,-66.80M,-138.70M,,-197.20M,2.225B
2010-03,627.50M,,627.50M,641.50M,,,641.50M,96.80M,103.30M,347.00M,502.10M,71.10M,193.80M,,2.036B,0.0,49.30M,596.00M,2.302B,116.90M,46.90M,3.111B,-2.131B,979.70M,1.941B,,1.941B,,143.70M,235.10M,3.300B,5.336B,223.90M,,223.90M,766.60M,990.50M,,,,21.50M,,21.50M,7.90M,7.90M,367.00M,1.387B,1.561B,,1.561B,7.30M,7.30M,,0.10M,,150.10M,1.718B,3.105B,18.70M,1.573B,1.129B,352.10M,,8.80M,-68.70M,-77.70M,,-137.60M,2.231B
