,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2006-09,77.20M,,,,,-0.70M,41.20M,0.70M,41.90M,41.90M,-1.40M,,,,,,-16.90M,-22.50M,15.80M,0.00,14.10M,-11.50M,-21.00M,,96.00M,-42.30M,6.70M,-35.60M,-10.90M,-36.90M,6.00M,-77.40M,,,-263.70M,0.20M,-43.00M,-42.80M,,-12.10M,0.30M,-318.30M,531.00M,-299.70M,-4.10M,227.20M,0.20M,,,-43.00M,,
2006-06,57.80M,,,,,-1.00M,43.00M,0.70M,43.70M,43.70M,-0.60M,,,,,,-4.30M,-5.00M,5.00M,-3.60M,25.60M,6.10M,23.80M,,123.70M,-39.30M,2.90M,-36.40M,0.10M,-5.30M,-3.30M,-44.90M,,,19.90M,0.20M,-6.70M,-6.50M,,-12.20M,-0.30M,0.90M,438.20M,79.70M,13.10M,531.00M,0.20M,,,-6.70M,,
2006-03,55.80M,,,,,-1.20M,41.30M,0.80M,42.10M,42.10M,-0.80M,,,,,,22.60M,-21.70M,-7.30M,-1.70M,-26.50M,6.20M,-28.40M,,67.50M,-28.90M,5.20M,-23.70M,-41.30M,1.60M,-2.70M,-66.10M,,,-14.70M,1.70M,,1.70M,,-12.20M,,-25.20M,455.80M,-23.80M,6.20M,438.20M,1.70M,,,,,
2005-12,73.00M,,,,,-0.40M,44.30M,0.90M,45.20M,45.20M,-28.20M,,,,,,-6.00M,22.50M,10.60M,4.60M,10.10M,8.80M,50.60M,,127.60M,-30.30M,0.90M,-29.40M,0.00,-7.10M,,-41.60M,,,-0.20M,1.30M,-41.00M,-39.70M,,,0.00,-39.90M,417.00M,46.10M,-7.30M,455.80M,1.30M,,,-41.00M,,
2005-09,64.20M,,,,,-0.10M,42.30M,0.70M,43.00M,43.00M,-0.20M,,,,,,-27.30M,16.50M,-29.40M,2.10M,14.50M,-8.00M,-31.60M,,75.30M,-25.30M,0.40M,-24.90M,0.00,-37.00M,,-61.90M,,,-4.90M,0.60M,-38.70M,-38.10M,,,-1.80M,-44.80M,455.10M,-31.40M,-6.70M,417.00M,0.60M,,,-38.70M,,
2005-06,62.80M,,,,,-0.80M,43.80M,0.80M,44.60M,44.60M,-0.80M,,,,,,-18.20M,-4.40M,37.10M,-1.80M,11.50M,-5.80M,18.40M,,124.20M,-20.70M,0.70M,-20.00M,0.00,37.00M,,17.00M,,,-0.60M,0.40M,-35.20M,-34.80M,,,,-35.40M,377.70M,105.80M,-28.40M,455.10M,0.40M,,,-35.20M,,
2005-03,55.80M,,,,,-0.30M,44.20M,0.80M,45.00M,45.00M,-0.60M,,,,,,14.80M,-41.60M,-1.60M,0.90M,-41.20M,5.00M,-63.70M,,36.20M,-20.60M,1.30M,-19.30M,-0.20M,17.10M,,-2.40M,,,3.00M,0.20M,-1.50M,-1.30M,,,,1.70M,358.00M,35.50M,-15.80M,377.70M,0.20M,,,-1.50M,,
2004-12,30.30M,,,,,43.30M,26.20M,20.70M,46.90M,46.90M,-28.90M,,,,,,-22.20M,3.60M,22.80M,1.60M,38.50M,,44.30M,,120.30M,-25.50M,0.40M,-25.10M,0.10M,131.90M,,106.90M,,,-228.30M,0.40M,0.00,0.40M,,,,-226.30M,331.30M,0.90M,25.80M,358.00M,0.40M,,,0.00,,
2004-09,63.80M,,,,,0.40M,44.50M,0.80M,45.30M,45.30M,-1.00M,,,,,,-16.10M,-7.50M,15.10M,-3.30M,9.50M,0.60M,-1.70M,,106.80M,-25.80M,0.30M,-25.50M,-6.00M,-35.50M,,-67.00M,,,-1.50M,0.20M,-27.20M,-27.00M,,,,-28.50M,325.30M,11.30M,-5.30M,331.30M,0.20M,,,-27.20M,,
2004-06,61.30M,,,,,0.30M,44.20M,0.80M,45.00M,45.00M,-1.50M,,,,,,-12.90M,-5.20M,15.80M,0.10M,8.60M,-2.70M,3.70M,,108.80M,-24.00M,3.20M,-20.80M,0.00,-65.60M,,-86.40M,,,6.80M,0.30M,-34.00M,-33.70M,,,,-26.90M,327.90M,-4.50M,1.90M,325.30M,0.30M,,,-34.00M,,
2004-03,60.20M,,,,,-0.60M,44.70M,0.80M,45.50M,45.50M,-1.30M,,,,,,32.10M,-20.00M,-5.20M,4.00M,-16.50M,2.10M,-3.50M,,100.30M,-27.40M,1.10M,-26.30M,-0.50M,-17.70M,,-44.50M,,,6.20M,0.20M,-25.00M,-24.80M,,,,-18.60M,297.80M,37.20M,-7.10M,327.90M,0.20M,,,-25.00M,,
2003-12,46.90M,,,,,35.50M,24.80M,19.10M,43.90M,43.90M,-14.10M,,,,,,-4.90M,15.30M,15.40M,4.10M,13.10M,,43.00M,,155.20M,-47.50M,2.20M,-45.30M,-1.00M,,,-46.30M,,,-247.40M,2.40M,0.00,2.40M,,0.00,-18.80M,-263.80M,511.20M,-154.90M,8.70M,365.00M,2.40M,,,0.00,,
2003-09,66.00M,,,,,0.10M,43.00M,0.00,43.00M,43.00M,-2.10M,,,,,,-18.20M,6.90M,4.60M,-5.10M,60.70M,-9.50M,39.40M,,146.40M,-24.30M,0.00,-24.30M,-1.50M,,,-25.80M,,,1.250B,0.60M,-1.298B,-1.298B,,-15.30M,2.30M,-60.70M,450.30M,59.90M,1.00M,511.20M,0.60M,,,-1.298B,,
2003-06,65.80M,,,,,0.20M,43.70M,0.30M,44.00M,44.00M,-2.90M,,,,,,2.30M,-13.40M,-9.80M,-5.60M,-3.00M,9.50M,-20.00M,,87.10M,-30.40M,0.50M,-29.90M,,,,-29.90M,,,285.70M,1.70M,-36.70M,-35.00M,,-13.30M,11.60M,249.00M,150.50M,306.20M,-6.40M,450.30M,1.70M,,,-36.70M,,
2003-03,61.70M,,,,,0.10M,42.60M,0.10M,42.70M,42.70M,-4.30M,,,,,,0.50M,-20.40M,-1.00M,0.30M,1.40M,,-19.20M,,81.00M,-22.10M,0.70M,-21.40M,,,,-21.40M,,,-20.10M,,,,,-13.30M,,-33.40M,126.80M,26.20M,-2.50M,150.50M,,,,,,
2002-12,-501.82M,,,,,322.04M,20.30M,21.07M,41.38M,41.38M,-255.81M,,,,,,2.169M,-4.897M,6.852M,-9.775M,515.86M,,510.21M,,116.00M,-32.73M,2.254M,-30.48M,0.00,,,-30.48M,,,-20.15M,0.042M,-2.906M,-2.864M,,-13.33M,0.00,-36.34M,77.23M,49.18M,0.334M,126.75M,0.042M,,,-2.906M,,
2002-09,66.20M,,,,,-0.301M,41.25M,0.201M,41.45M,41.45M,-0.316M,,,,,,0.204M,-4.577M,-1.425M,-1.277M,25.20M,,18.13M,,125.16M,-14.37M,1.134M,-13.24M,-0.284M,,,-13.52M,,,-30.06M,0.00,-6.306M,-6.306M,,-13.56M,2.716M,-47.21M,15.20M,64.43M,-2.394M,77.23M,0.00,,,-6.306M,,
2002-06,66.05M,,,,,-0.323M,41.76M,0.213M,41.97M,41.97M,-1.385M,,,,,,-27.09M,-14.20M,19.50M,-6.27M,3.033M,,-25.04M,,81.28M,-26.62M,1.014M,-25.61M,-10.18M,,,-35.79M,,,-11.74M,0.575M,-18.02M,-17.45M,,-13.66M,,-42.85M,29.00M,2.639M,-16.44M,15.20M,0.575M,,,-18.02M,,
2002-03,60.50M,,,,,0.20M,40.70M,0.20M,40.90M,40.90M,0.30M,,,,,,-93.60M,-8.90M,-1.20M,-4.80M,8.10M,,-100.40M,,1.50M,-17.90M,0.80M,-17.10M,,,,-17.10M,,,26.20M,0.30M,-1.60M,-1.30M,,,,24.90M,13.80M,9.30M,5.90M,29.00M,0.30M,,,-1.60M,,
2001-12,38.46M,,,,,100.80M,-25.06M,79.15M,54.09M,54.09M,-3.088M,,,,,,13.12M,13.36M,-6.063M,-1.161M,-0.362M,,18.89M,,209.15M,-36.54M,1.42M,-35.12M,-23.92M,,,-59.04M,,,-160.09M,0.46M,-1.39M,-0.93M,,-27.49M,2.241M,-186.26M,51.53M,-36.15M,-1.579M,13.80M,0.46M,,,-1.39M,,
2001-09,44.41M,,,,,0.341M,53.35M,0.194M,53.54M,53.54M,-0.523M,,,,,,-16.28M,10.31M,-3.028M,3.918M,32.52M,,27.44M,,125.21M,-28.79M,1.201M,-27.59M,0.00,,,-27.59M,,,-88.49M,0.044M,-9.455M,-9.411M,,-13.68M,-0.366M,-111.94M,64.68M,-14.32M,1.179M,51.53M,0.044M,,,-9.455M,,
2001-06,39.26M,,,,,1.751M,56.21M,0.088M,56.30M,56.30M,-5.175M,,,,,,11.23M,6.291M,-7.949M,-1.159M,6.286M,,14.70M,,106.84M,-41.07M,0.52M,-40.55M,-12.09M,,,-52.63M,,,-73.67M,,0.00,0.00,,-13.88M,-1.875M,-89.42M,102.36M,-35.22M,-2.467M,64.68M,,,,0.00,,
2001-03,34.56M,,,,,-0.244M,57.17M,0.083M,57.25M,57.25M,-0.297M,,,,,,19.02M,-13.43M,11.38M,-7.234M,36.48M,,46.22M,,137.49M,-39.88M,1.211M,-38.67M,,,,-38.67M,,,7.099M,,-7.909M,-7.909M,,-14.14M,,-14.95M,11.23M,83.86M,7.265M,102.36M,,,,-7.909M,,
2000-12,61.79M,,,,,-0.753M,,,55.14M,55.14M,20.28M,,,,,,-3.152M,-3.519M,-11.24M,0.34M,-50.20M,,-67.78M,,68.68M,143.57M,1.792M,145.36M,-237.54M,,,-92.18M,,,156.63M,0.826M,-61.39M,-60.56M,,-67.88M,,28.18M,6.251M,4.687M,0.291M,11.23M,0.826M,,,-61.39M,,
2000-09,54.71M,,,,,-0.013M,-109.29M,-0.161M,55.37M,55.37M,0.255M,,,,,,0.447M,-20.48M,-1.964M,-3.459M,21.24M,,-4.214M,,106.11M,-201.95M,0.295M,-201.66M,28.34M,,,-173.31M,,,226.28M,0.153M,-209.80M,-209.65M,,34.89M,,51.51M,18.77M,-15.69M,3.178M,6.251M,0.153M,,,-209.80M,,
2000-06,53.83M,,,,,0.05M,54.20M,0.079M,54.28M,54.28M,-3.128M,,,,,,-15.97M,-10.16M,-11.72M,-3.588M,-17.37M,,-58.80M,,46.23M,-31.95M,0.366M,-31.58M,-0.80M,,,-32.38M,,,3.116M,0.291M,-4.023M,-3.732M,,-17.10M,,-17.71M,17.72M,-3.859M,4.904M,18.77M,0.291M,,,-4.023M,,
2000-03,54.98M,,,,,0.063M,55.09M,0.082M,55.17M,55.17M,2.953M,,,,,,-12.21M,-20.55M,1.44M,-2.506M,29.04M,,-4.786M,,108.39M,-23.87M,0.296M,-23.57M,-27.54M,,,-51.11M,,,34.85M,0.233M,-71.60M,-71.37M,,-17.79M,,-54.31M,13.67M,2.96M,1.089M,17.72M,0.233M,,,-71.60M,,
1999-12,60.00M,,,,,9.90M,,,55.60M,55.60M,21.60M,,,,,-0.10M,-7.90M,16.20M,7.30M,2.00M,-44.90M,,-27.30M,,119.70M,-39.30M,1.20M,-38.10M,,,,-38.10M,,,-104.30M,3.90M,-24.80M,-20.90M,,-17.90M,-3.20M,-146.30M,74.40M,-64.70M,4.00M,13.70M,3.90M,,,-24.80M,,
1999-09,53.70M,,,,,0.10M,,,56.00M,56.00M,0.00,,,,,-0.10M,-12.80M,6.00M,4.30M,2.40M,20.60M,,20.50M,,130.20M,-20.90M,0.20M,-20.70M,,,0.10M,-20.60M,,,-64.50M,0.20M,-14.20M,-14.00M,,-17.90M,2.00M,-94.40M,60.00M,15.20M,-0.80M,74.40M,0.20M,,,-14.20M,,
1999-06,51.20M,,,,,0.40M,,,56.20M,56.20M,-0.80M,,,,,0.10M,0.10M,1.50M,-3.20M,-0.50M,2.50M,,0.40M,,107.50M,-23.80M,1.30M,-22.50M,,,0.00,-22.50M,,,-91.90M,1.70M,-1.60M,0.10M,,-17.90M,-2.10M,-111.80M,0.00,-26.80M,1.50M,60.00M,1.70M,,,-1.60M,,
1999-03,46.60M,,,,,-0.30M,,,55.80M,55.80M,-1.40M,,,,,,-11.40M,-2.50M,-6.60M,-1.40M,-5.80M,,-27.70M,,73.00M,-16.90M,0.90M,-16.00M,,,-0.10M,-16.10M,,,4.40M,,-1.20M,-1.20M,,-17.90M,,-14.70M,45.00M,42.20M,-1.90M,0.00,,,,-1.20M,,
1998-12,64.50M,,,,,-21.80M,,,56.70M,56.70M,29.50M,,,,,0.10M,-8.00M,27.50M,19.80M,-18.80M,-14.40M,,6.10M,,135.10M,-26.50M,-7.30M,-33.80M,,,,-33.80M,,,-74.70M,,-11.90M,-11.90M,,-18.00M,12.00M,-92.60M,0.00,8.70M,-3.70M,45.00M,,,,-11.90M,,
1998-09,-54.10M,,,,,67.80M,,,53.30M,53.30M,-11.20M,,,,,0.00,-14.90M,0.30M,-9.90M,10.50M,78.80M,,64.80M,,120.60M,-23.40M,-1.80M,-25.20M,,,,-25.20M,,,1.213B,,-13.40M,-13.40M,,-18.00M,-1.271B,-89.00M,0.00,6.40M,-0.50M,0.00,,,,-13.40M,,
1998-06,35.50M,,,,,-3.70M,,,56.70M,56.70M,-13.30M,,,,,-0.10M,-3.50M,13.40M,10.50M,-7.20M,3.70M,,16.90M,,92.00M,-15.50M,50.50M,35.00M,,,,35.00M,,,-146.70M,,,,,,43.80M,-102.90M,0.00,24.10M,1.70M,0.00,,,,,,
