,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2012-09,6.19B,1.776B,4.466B,1.982B,2.484B,548.00M,,548.00M,5.00M,,-884.00M,282.00M,-282.00M,-48.00M,505.00M,1.979B,282.00M,-282.00M,-654.00M,-282.00M,1.043B,386.00M,657.00M,,,0.00,657.00M,1.214B,1.381B,56.00M,1.325B,0.32,,,0.5952,0.32,0.32,,,0.5952,0.32,2.024B,2.024B,0.44
2012-06,6.487B,1.907B,4.58B,2.086B,2.494B,596.00M,,596.00M,5.00M,,-16.00M,293.00M,-293.00M,,601.00M,1.893B,293.00M,-293.00M,207.00M,-293.00M,1.807B,581.00M,1.226B,,,-1.00M,1.225B,1.236B,2.157B,57.00M,2.10B,0.6,,,0.6054,0.6,0.6,,,0.6054,0.6,2.027B,2.027B,0.41
2012-03,5.593B,1.653B,3.994B,1.792B,2.202B,534.00M,,534.00M,5.00M,,-21.00M,,-293.00M,,539.00M,1.663B,,-293.00M,499.00M,-293.00M,1.869B,674.00M,1.195B,,,0.00,1.195B,1.208B,1.719B,56.00M,1.663B,0.59,,,0.5966,0.59,0.59,,,0.5966,0.59,2.034B,2.034B,0.41
2011-12,6.442B,1.783B,4.346B,1.972B,2.374B,,,790.00M,4.00M,,-238.00M,355.00M,-351.00M,,780.00M,1.594B,355.00M,-351.00M,-60.00M,-351.00M,1.183B,346.00M,837.00M,,,-1.00M,836.00M,1.004B,1.607B,69.00M,1.538B,0.41,,,0.4924,0.41,0.41,,,0.4924,0.41,2.043B,2.043B,0.41
2011-09,6.108B,1.78B,4.328B,1.883B,2.445B,,,581.00M,5.00M,,19.00M,293.00M,-293.00M,,586.00M,1.859B,293.00M,-293.00M,227.00M,-293.00M,1.793B,619.00M,1.174B,,,-1.00M,1.173B,1.161B,2.149B,63.00M,2.086B,0.57,0.0,,0.5639,0.57,0.57,0.0,,0.5639,0.57,2.054B,2.054B,0.41
2011-06,5.92B,1.918B,4.002B,2.03B,1.972B,,,671.00M,5.00M,,-1.00M,,-294.00M,,676.00M,1.296B,,-294.00M,154.00M,-294.00M,1.156B,712.00M,444.00M,,,0.00,444.00M,444.65M,1.357B,61.00M,1.296B,0.21,0.0,,0.2103,0.21,0.21,0.0,,0.2103,0.21,2.076B,2.076B,0.38
2011-03,5.643B,1.70B,3.943B,1.795B,2.148B,,,601.00M,6.00M,,-2.00M,,-278.00M,,607.00M,1.541B,,-278.00M,187.00M,-278.00M,1.45B,512.00M,938.00M,,,-1.00M,937.00M,938.29M,1.601B,60.00M,1.541B,0.45,0.0,,0.4506,0.45,0.45,0.0,,0.4506,0.45,2.084B,2.084B,0.38
2010-12,5.927B,1.788B,4.139B,1.885B,2.254B,,,752.00M,4.00M,,164.00M,,-277.00M,,925.00M,1.329B,,-277.00M,355.00M,-277.00M,1.407B,487.00M,920.00M,,,-1.00M,919.00M,811.76M,1.992B,68.00M,1.924B,0.44,,,0.3884,0.44,0.44,,,0.3885,0.44,2.08B,2.082B,0.38
2010-09,6.402B,1.941B,4.461B,1.985B,2.476B,,,691.00M,6.00M,,-3.00M,,-279.00M,,697.00M,1.779B,,-279.00M,183.00M,-279.00M,1.683B,552.00M,1.131B,,,0.00,1.131B,1.133B,1.85B,71.00M,1.779B,0.54,0.0,,0.541,0.54,0.54,0.0,,0.541,0.54,2.078B,2.08B,0.38
2010-06,6.274B,1.933B,4.341B,1.967B,2.374B,,,820.00M,4.00M,,-21.00M,,-290.00M,,824.00M,1.55B,,-290.00M,92.00M,-290.00M,1.352B,309.00M,1.043B,,,-1.00M,1.042B,1.058B,1.618B,68.00M,1.55B,0.5,0.0,,0.5078,0.5,0.5,0.0,,0.5078,0.5,2.076B,2.079B,0.35
2010-03,5.76B,1.809B,3.951B,1.867B,2.084B,,,641.00M,6.00M,,-7.00M,,-287.00M,,647.00M,1.437B,,-287.00M,131.00M,-287.00M,1.281B,468.00M,813.00M,,,0.00,813.00M,817.44M,1.506B,69.00M,1.437B,0.39,0.0,,0.3921,0.39,0.39,0.0,,0.3921,0.39,2.074B,2.077B,0.35
2009-12,6.014B,1.914B,4.10B,2.049B,2.051B,,,637.00M,4.00M,,-210.00M,287.00M,-283.00M,,641.00M,1.41B,287.00M,-283.00M,-52.00M,-283.00M,1.075B,349.00M,726.00M,,,-1.00M,725.00M,866.82M,1.435B,73.00M,1.362B,0.35,0.0,,0.4184,0.35,0.35,0.0,,0.4184,0.35,2.072B,2.074B,0.34
2009-09,6.30B,1.982B,4.318B,2.033B,2.285B,,,751.00M,7.00M,,-133.00M,279.00M,-279.00M,,758.00M,1.527B,279.00M,-279.00M,-14.00M,-279.00M,1.234B,352.00M,882.00M,,,,882.00M,977.06M,1.584B,71.00M,1.513B,0.43,0.0,,0.476,0.43,0.42,0.0,,0.4659,0.42,2.067B,2.072B,0.34
2009-06,6.719B,2.125B,4.594B,2.138B,2.456B,,,738.00M,3.00M,,-38.00M,287.00M,-287.00M,,741.00M,1.715B,287.00M,-287.00M,179.00M,-287.00M,1.607B,596.00M,1.011B,,,-1.00M,1.01B,1.034B,1.963B,69.00M,1.894B,0.49,0.0,,0.5016,0.49,0.49,0.0,,0.5016,0.49,2.064B,2.069B,0.32
2009-03,4.523B,711.00M,3.812B,1.77B,2.042B,128.00M,717.00M,845.00M,6.00M,,,336.00M,-336.00M,,851.00M,1.191B,336.00M,-336.00M,106.00M,-336.00M,961.00M,372.00M,589.00M,,,,589.00M,589.00M,1.375B,78.00M,1.297B,0.28,0.0,,0.28,0.28,0.28,0.0,,0.28,0.28,2.061B,2.067B,0.32
2008-12,2.076B,821.00M,1.255B,1.985B,1.848B,,,399.00M,2.00M,,-45.00M,210.00M,-140.00M,,805.00M,-1.535B,210.00M,-140.00M,78.00M,-140.00M,981.00M,302.00M,679.00M,0.00,,0.00,679.00M,710.15M,1.244B,53.00M,1.191B,0.33,0.0,,0.3451,0.33,0.33,0.0,,0.3451,0.33,2.06B,2.066B,0.32
2008-09,6.135B,897.00M,5.238B,2.23B,2.111B,17.00M,763.00M,780.00M,2.00M,,,25.00M,-25.00M,,782.00M,2.226B,25.00M,-25.00M,54.00M,-25.00M,1.358B,491.00M,867.00M,,,,867.00M,867.00M,1.435B,52.00M,1.383B,0.42,0.0,,0.42,0.42,0.42,0.0,,0.42,0.42,2.058B,2.067B,0.32
2008-06,5.929B,875.00M,5.054B,2.168B,2.011B,19.00M,649.00M,668.00M,1.00M,,,18.00M,-18.00M,,669.00M,2.217B,18.00M,-18.00M,147.00M,-18.00M,1.471B,541.00M,930.00M,,,0.00,930.00M,930.00M,1.54B,51.00M,1.489B,0.45,0.0,,0.45,0.45,0.446,0.0,,0.446,0.446,2.075B,2.085B,0.29
2008-03,4.41B,806.00M,3.604B,1.887B,1.717B,258.00M,648.00M,906.00M,2.00M,,-393.00M,,16.00M,-404.00M,504.00M,1.213B,,16.00M,-250.00M,16.00M,979.00M,365.00M,614.00M,1.901B,,-61.00M,2.454B,799.48M,1.272B,59.00M,1.213B,0.29,0.87,,0.407,1.16,0.29,0.87,,0.4064,1.16,2.107B,2.118B,0.75
2007-12,18.23B,8.976B,9.253B,4.048B,5.205B,,,2.054B,10.00M,,-105.00M,,,105.00M,2.169B,3.036B,,,-63.00M,,3.008B,862.00M,2.188B,0.00,,,2.188B,2.263B,3.312B,276.00M,3.036B,-1.83,2.87,,-1.794,1.04,-1.83,2.85,,-1.795,1.03,2.107B,2.115B,0.75
2007-09,19.21B,9.243B,9.964B,4.325B,5.639B,,,1.907B,6.00M,,-21.00M,,,21.00M,1.934B,3.705B,,,35.00M,,3.694B,1.117B,2.633B,,,,2.633B,2.648B,3.947B,242.00M,3.705B,1.25,0.0,,1.2570000000000001,1.25,1.24,0.0,,1.247,1.24,2.106B,2.123B,0.75
2007-06,18.81B,9.012B,9.797B,4.265B,5.532B,,,1.966B,6.00M,,-316.00M,,,316.00M,2.288B,3.244B,,,-217.00M,,3.182B,1.066B,2.215B,,,,2.215B,2.425B,3.643B,399.00M,3.244B,1.05,0.0,,1.15,1.05,1.05,0.0,,1.15,1.05,2.110B,2.110B,0.69
2007-03,4.288B,800.00M,3.488B,1.788B,1.70B,,,649.00M,,,68.00M,,,-68.00M,581.00M,1.119B,,,166.00M,,1.113B,417.00M,696.00M,2.054B,,,2.75B,653.48M,1.182B,63.00M,1.119B,0.33,0.98,,0.3097,1.31,0.33,0.97,,0.3099,1.3,2.099B,2.115B,0.86
2006-12,16.03B,7.413B,8.614B,3.836B,4.778B,,,1.961B,6.00M,,433.00M,,,-494.00M,1.473B,3.305B,,,497.00M,,3.202B,860.00M,2.406B,,,,266.00M,2.089B,4.424B,1.119B,3.305B,0.1268,,,-0.0242,0.1268,0.1268,,,-0.0242,0.1268,2.097B,2.097B,0.86
2006-09,17.64B,8.229B,9.413B,4.022B,5.391B,,,1.961B,6.00M,,-68.00M,,,68.00M,2.035B,3.356B,,,-26.00M,,3.297B,1.125B,2.214B,661.00M,,,2.875B,2.259B,3.591B,235.00M,3.356B,1.06,0.32,,1.082,1.38,1.05,0.31,,1.071,1.36,2.083B,2.114B,0.86
2006-06,25.04B,7.895B,17.15B,11.85B,5.297B,,,2.012B,6.00M,,-53.00M,,,53.00M,2.071B,3.226B,,,-7.00M,,3.107B,1.041B,2.112B,599.00M,,,2.711B,2.147B,3.446B,220.00M,3.226B,1.01,0.29,,1.0270000000000001,1.3,1.0,0.29,,1.0170000000000001,1.29,2.085B,2.102B,0.8
2006-03,16.23B,,16.23B,11.27B,4.962B,,,1.833B,5.00M,,-63.00M,,,63.00M,1.901B,3.061B,,,-6.00M,,2.914B,374.00M,2.597B,880.00M,,,3.477B,2.652B,3.291B,230.00M,3.061B,1.25,0.42,,1.276,1.67,1.24,0.41,,1.266,1.65,2.082B,2.107B,0.8
2005-12,19.31B,6.663B,12.65B,16.97B,-4.318B,,,-3.153B,4.00M,,47.00M,,,-74.00M,-3.223B,-1.095B,,,307.00M,,-736.00M,-172.00M,-209.00M,0.00,,,-209.00M,-245.02M,-643.00M,452.00M,-1.095B,1.1,0.0,,1.083,1.1,1.09,0.0,,1.073,1.09,2.077B,2.094B,0.8
2005-09,24.96B,7.656B,17.31B,9.082B,8.224B,,,3.619B,6.00M,,-284.00M,,,284.00M,3.909B,4.315B,,,-284.00M,,4.009B,1.098B,2.883B,,,-28.00M,2.883B,3.089B,4.721B,406.00M,4.315B,1.39,0.0,,1.489,1.39,1.38,0.0,,1.479,1.38,2.074B,2.089B,0.8
2005-06,24.78B,7.459B,17.32B,9.134B,8.191B,,,3.643B,4.00M,,-73.00M,,,71.00M,3.718B,4.473B,,,-73.00M,,4.151B,1.192B,2.912B,-245.00M,,-47.00M,2.667B,2.964B,4.883B,410.00M,4.473B,1.41,-0.12,,1.435,1.29,1.4,-0.12,,1.425,1.28,2.067B,2.084B,0.73
2005-03,23.62B,7.156B,16.46B,8.671B,7.791B,,,3.556B,4.00M,,-55.00M,,,55.00M,3.615B,4.176B,,,-55.00M,,3.895B,1.291B,2.584B,12.00M,,-20.00M,2.596B,2.621B,4.583B,407.00M,4.176B,1.25,0.01,,1.268,1.26,1.24,0.01,,1.258,1.25,2.060B,2.077B,0.73
2004-12,22.38B,6.016B,16.36B,8.924B,7.44B,,,2.743B,5.00M,,-329.00M,,,329.00M,3.886B,3.554B,,,-329.00M,,3.157B,1.121B,1.99B,-43.00M,,-46.00M,1.947B,2.202B,3.992B,438.00M,3.554B,0.97,-0.02,,1.074,0.95,0.96,-0.02,,1.063,0.94,2.049B,2.062B,0.73
2004-09,22.62B,6.751B,15.86B,8.347B,7.517B,,,3.302B,3.00M,,-74.00M,,,75.00M,3.38B,4.137B,,,-74.00M,,3.849B,1.287B,2.637B,11.00M,,75.00M,2.648B,2.686B,4.534B,397.00M,4.137B,1.29,0.0,,1.314,1.29,1.28,0.0,,1.304,1.29,2.053B,2.053B,0.73
2004-06,22.89B,6.563B,16.33B,8.57B,7.761B,,,3.453B,5.00M,,-420.00M,,,410.00M,3.868B,3.893B,,,-420.00M,,3.586B,952.00M,2.608B,19.00M,,-26.00M,2.627B,2.916B,4.281B,388.00M,3.893B,1.27,0.01,,1.42,1.28,1.26,0.01,,1.409,1.27,2.052B,2.069B,0.68
2004-03,21.72B,6.317B,15.40B,8.012B,7.392B,,,3.368B,4.00M,,-308.00M,,,308.00M,3.68B,3.712B,,,-308.00M,,3.412B,1.18B,2.185B,9.00M,,-47.00M,2.194B,2.386B,4.096B,384.00M,3.712B,1.07,0.0,,1.168,1.07,1.06,0.0,,1.158,1.07,2.050B,2.050B,0.68
2003-12,20.18B,5.26B,14.92B,8.009B,6.91B,,,2.451B,2.00M,,-112.00M,,,112.00M,3.321B,3.589B,,,-112.00M,,3.178B,1.101B,2.008B,,,-69.00M,2.091B,2.081B,3.979B,390.00M,3.589B,0.99,0.04,,1.026,1.03,0.98,0.04,,1.016,1.02,2.033B,2.055B,0.68
2003-09,20.94B,5.637B,15.30B,7.90B,7.402B,,,3.167B,2.00M,,-10.00M,,,10.00M,3.179B,4.223B,,,-10.00M,,3.922B,1.353B,2.49B,,,-79.00M,2.49B,2.497B,4.593B,370.00M,4.223B,1.23,0.0,,1.2329999999999999,1.23,1.22,0.0,,1.2229999999999999,1.22,2.024B,2.041B,0.68
2003-06,20.83B,5.344B,15.49B,7.991B,7.496B,,,3.111B,3.00M,,-191.00M,,,191.00M,3.305B,4.191B,,,-191.00M,,3.928B,1.382B,2.437B,,,-109.00M,2.437B,2.561B,4.53B,339.00M,4.191B,1.2,0.0,,1.261,1.2,1.2,0.0,,1.261,1.2,2.031B,2.031B,0.64
2003-03,19.37B,4.887B,14.48B,7.565B,6.919B,,,3.053B,2.00M,,,,,,3.055B,3.864B,,,,,3.581B,1.261B,2.186B,,,-134.00M,2.186B,2.186B,4.205B,341.00M,3.864B,1.08,0.0,,1.08,1.08,1.07,0.0,,1.07,1.07,2.024B,2.043B,0.64
