,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2013-03,3.775B,3.775B,112.00M,,112.00M,1.038B,339.00M,439.00M,,1.816B,1.216B,197.00M,7.116B,,,,,,4.763B,-2.695B,2.068B,5.174B,12.07B,17.25B,9.134B,441.00M,28.89B,36.01B,259.00M,886.00M,600.00M,1.745B,5.769B,7.514B,1.984B,1.984B,,9.498B,11.89B,11.89B,6.657B,6.657B,3.824B,1.00M,35.00M,528.00M,22.94B,32.44B,935.00M,24.82B,5.656B,25.77B,,,-2.068B,3.569B
2012-12,2.90B,2.90B,193.00M,,193.00M,1.049B,349.00M,348.00M,,1.746B,1.216B,260.00M,6.315B,0.0,292.00M,1.276B,3.068B,114.00M,4.75B,-2.648B,2.102B,5.174B,12.08B,17.25B,9.218B,442.00M,29.01B,35.33B,451.00M,888.00M,,1.339B,5.461B,6.80B,1.459B,1.459B,,8.259B,12.42B,12.42B,6.652B,6.652B,4.239B,2.00M,34.00M,556.00M,23.90B,32.16B,935.00M,24.32B,5.688B,25.73B,,,-2.04B,3.168B
2012-09,2.186B,2.186B,,,196.00M,934.00M,261.00M,429.00M,,1.624B,1.287B,641.00M,5.934B,,,,,,4.719B,-2.608B,2.111B,5.174B,12.08B,17.26B,9.273B,463.00M,29.10B,35.04B,289.00M,895.00M,65.00M,1.249B,4.953B,6.202B,,,,6.348B,13.88B,13.88B,6.815B,6.815B,3.475B,35.00M,,621.00M,24.79B,31.14B,935.00M,24.10B,5.67B,25.23B,,,-1.604B,3.866B
2012-06,1.528B,1.528B,,,256.00M,983.00M,269.00M,432.00M,,1.684B,1.207B,468.00M,5.143B,,,,,,4.75B,-2.619B,2.131B,5.174B,12.09B,17.26B,9.498B,513.00M,29.40B,34.55B,335.00M,836.00M,218.00M,1.389B,2.765B,4.154B,600.00M,600.00M,1.217B,6.081B,13.09B,13.09B,6.838B,6.838B,3.506B,35.00M,,725.00M,24.16B,30.24B,935.00M,24.33B,5.647B,24.97B,,,-1.674B,4.273B
2012-03,4.156B,4.156B,,,244.00M,1.11B,310.00M,410.00M,,1.83B,1.207B,456.00M,7.893B,,,,,,4.737B,-2.572B,2.165B,5.174B,12.09B,17.27B,9.212B,1.278B,29.92B,37.82B,328.00M,839.00M,589.00M,1.756B,5.012B,6.768B,600.00M,600.00M,1.338B,8.781B,13.09B,13.09B,7.446B,7.446B,3.521B,35.00M,,1.242B,25.30B,34.08B,935.00M,23.72B,5.633B,24.90B,,,-1.685B,3.701B
2011-12,3.27B,3.27B,268.00M,,268.00M,1.104B,316.00M,359.00M,,1.779B,1.207B,396.00M,6.92B,0.0,290.00M,1.271B,3.097B,70.00M,4.728B,-2.512B,2.216B,5.174B,12.10B,17.27B,9.068B,1.275B,29.83B,36.75B,503.00M,841.00M,,1.344B,5.488B,6.832B,600.00M,600.00M,,7.432B,13.09B,13.09B,7.562B,7.562B,4.021B,3.00M,32.00M,932.00M,25.64B,33.07B,935.00M,23.58B,5.674B,24.62B,,,-1.887B,3.68B
2011-09,3.043B,3.043B,,,194.00M,959.00M,243.00M,423.00M,,1.625B,1.187B,526.00M,6.575B,,,,,,4.762B,-2.478B,2.284B,5.174B,12.10B,17.28B,9.353B,1.713B,30.63B,37.20B,326.00M,846.00M,286.00M,1.458B,4.743B,6.201B,600.00M,600.00M,,6.979B,13.09B,13.09B,8.08B,8.08B,3.399B,36.00M,,1.20B,25.77B,32.75B,935.00M,23.58B,5.65B,24.29B,,,-1.461B,4.419B
2011-06,2.064B,2.064B,,,166.00M,990.00M,279.00M,404.00M,,1.673B,1.163B,591.00M,5.657B,,,,,,4.737B,-2.432B,2.305B,5.174B,12.11B,17.28B,9.796B,1.793B,31.18B,36.83B,252.00M,792.00M,399.00M,1.443B,2.555B,3.998B,,,1.31B,5.446B,13.69B,13.69B,8.212B,8.212B,3.406B,35.00M,,1.412B,26.72B,32.16B,935.00M,23.26B,5.627B,23.91B,,,-1.279B,4.633B
2011-03,3.432B,3.432B,,,71.00M,1.099B,299.00M,426.00M,,1.824B,1.163B,498.00M,6.988B,,,,,,5.099B,-2.76B,2.339B,5.174B,12.11B,17.29B,10.13B,1.839B,31.60B,38.58B,282.00M,798.00M,620.00M,1.70B,4.988B,6.688B,,,1.102B,7.884B,12.19B,12.19B,8.512B,8.512B,3.399B,35.00M,,1.107B,25.21B,33.10B,935.00M,23.60B,5.621B,23.31B,,,-1.391B,5.453B
2010-12,2.314B,2.314B,85.00M,,85.00M,1.12B,299.00M,384.00M,,1.803B,1.165B,614.00M,5.981B,0.0,291.00M,1.292B,3.473B,94.00M,5.15B,-2.77B,2.38B,5.174B,12.12B,17.29B,9.898B,1.851B,31.42B,37.40B,529.00M,797.00M,231.00M,1.557B,5.051B,6.608B,,,,6.84B,12.19B,12.19B,4.618B,4.618B,3.593B,35.00M,,4.93B,25.34B,32.18B,935.00M,23.46B,5.751B,23.47B,,,-1.484B,5.192B
2010-09,1.70B,1.70B,82.00M,,82.00M,1.003B,225.00M,390.00M,,1.618B,1.264B,842.00M,5.506B,,,,,,5.177B,-2.755B,2.422B,5.174B,12.12B,17.30B,10.02B,1.865B,31.60B,37.11B,320.00M,796.00M,132.00M,1.248B,3.71B,4.958B,,,1.211B,6.349B,12.19B,12.19B,8.771B,8.771B,3.516B,35.00M,,1.095B,25.58B,31.92B,935.00M,23.33B,5.76B,23.51B,,,-1.369B,5.15B
2010-06,854.00M,854.00M,,,90.00M,1.011B,248.00M,391.00M,,1.65B,1.267B,791.00M,4.652B,,,,,,5.821B,-3.286B,2.535B,5.174B,12.13B,17.30B,5.119B,5.637B,30.59B,35.24B,277.00M,733.00M,371.00M,1.381B,3.97B,5.351B,200.00M,200.00M,,5.551B,11.98B,11.98B,8.464B,8.464B,3.517B,2.00M,,1.206B,25.17B,30.72B,935.00M,23.00B,5.809B,23.64B,,,-1.576B,4.521B
2010-03,3.29B,3.29B,,,170.00M,1.144B,281.00M,388.00M,,1.813B,1.261B,504.00M,7.038B,,,,,,6.012B,-3.377B,2.635B,5.174B,12.13B,17.31B,5.177B,5.843B,30.96B,38.00B,311.00M,733.00M,204.00M,1.248B,6.817B,8.065B,975.00M,975.00M,,9.04B,11.18B,11.18B,8.481B,8.481B,3.504B,2.00M,,1.524B,24.69B,33.73B,935.00M,22.68B,5.82B,23.68B,,,-1.491B,4.263B
2009-12,1.871B,1.871B,96.00M,,96.00M,1.15B,293.00M,367.00M,,1.81B,1.336B,660.00M,5.773B,0.0,366.00M,1.909B,3.649B,220.00M,6.144B,-3.46B,2.684B,5.174B,12.14B,17.31B,9.811B,1.097B,30.90B,36.68B,494.00M,710.00M,318.00M,1.522B,5.456B,6.978B,775.00M,775.00M,,7.992B,11.18B,11.18B,4.383B,4.383B,3.483B,35.00M,,5.53B,24.58B,32.57B,935.00M,22.60B,5.997B,23.90B,,,-1.561B,4.069B
2009-09,1.03B,1.03B,,,92.00M,1.057B,231.00M,474.00M,,1.762B,1.501B,623.00M,5.008B,,,,,,6.127B,-3.353B,2.774B,4.998B,12.14B,17.14B,4.962B,5.996B,30.87B,35.88B,312.00M,709.00M,,1.021B,5.374B,6.395B,775.00M,775.00M,,7.17B,11.18B,11.18B,8.306B,8.306B,3.97B,2.00M,,1.527B,24.99B,32.16B,935.00M,22.58B,6.081B,24.04B,,,-1.834B,3.721B
2009-06,544.00M,544.00M,,,101.00M,1.091B,250.00M,540.00M,,1.881B,1.561B,795.00M,4.882B,,,,,,6.081B,-3.257B,2.824B,4.998B,12.15B,17.15B,4.78B,6.196B,30.95B,35.83B,293.00M,667.00M,,960.00M,4.849B,5.809B,1.168B,1.168B,,6.977B,11.68B,11.68B,8.191B,8.191B,3.944B,2.00M,,1.688B,25.51B,32.48B,935.00M,22.40B,6.082B,24.06B,,,-2.015B,3.343B
2009-03,3.858B,3.858B,,,86.00M,1.212B,,821.00M,,2.033B,1.751B,351.00M,8.079B,,,,,,6.049B,-3.205B,2.844B,4.998B,12.15B,17.15B,4.354B,6.229B,30.58B,38.66B,415.00M,666.00M,44.00M,1.125B,7.269B,8.394B,1.21B,1.21B,,9.604B,12.46B,12.46B,8.11B,8.11B,3.911B,3.00M,,1.79B,26.27B,35.88B,935.00M,22.06B,6.159B,24.20B,,,-2.171B,2.778B
2008-12,7.916B,7.916B,,,44.00M,872.00M,9.00M,188.00M,,1.069B,1.69B,357.00M,11.08B,0.0,174.00M,1.678B,3.122B,370.00M,5.344B,-3.145B,2.199B,77.00M,3.039B,3.116B,4.261B,6.563B,16.14B,27.22B,510.00M,665.00M,,1.175B,5.832B,7.007B,135.00M,135.00M,,7.142B,7.339B,7.339B,4.995B,4.995B,3.601B,0.00,,1.31B,17.24B,24.39B,935.00M,22.13B,6.35B,24.41B,,,-2.181B,2.828B
2008-09,915.00M,915.00M,52.00M,,52.00M,160.00M,,257.00M,643.00M,1.06B,,1.818B,3.845B,,,,,,5.316B,-3.154B,2.162B,81.00M,3.041B,3.122B,,11.54B,16.82B,20.67B,293.00M,,,293.00M,5.18B,5.473B,284.00M,284.00M,716.00M,6.473B,601.00M,601.00M,5.815B,5.815B,,,,3.603B,10.02B,16.49B,935.00M,22.11B,6.369B,24.44B,,,-795.00M,4.178B
2008-06,415.00M,415.00M,121.00M,,121.00M,165.00M,,278.00M,696.00M,1.139B,,1.882B,3.557B,,,,,,5.288B,-3.109B,2.179B,81.00M,3.043B,3.124B,,11.99B,17.29B,20.85B,271.00M,,,271.00M,3.01B,3.281B,2.089B,2.089B,1.511B,6.881B,601.00M,601.00M,5.912B,5.912B,,,,3.523B,10.04B,16.92B,935.00M,21.91B,6.368B,24.47B,,,-808.00M,3.934B
2008-03,4.813B,4.813B,72.00M,95.00M,167.00M,179.00M,,277.00M,821.00M,1.277B,,2.378B,8.635B,,,,,,5.294B,-3.087B,2.207B,81.00M,3.044B,3.125B,,11.88B,17.21B,25.85B,321.00M,,,321.00M,6.685B,7.006B,1.269B,1.269B,2.817B,11.09B,736.00M,736.00M,5.733B,5.733B,,,,3.578B,10.05B,21.14B,935.00M,21.58B,6.449B,23.44B,15.00M,-825.00M,-810.00M,4.708B
2007-12,4.842B,4.842B,83.00M,,83.00M,160.00M,,233.00M,861.00M,1.254B,,16.71B,22.89B,,,,,,5.626B,-3.204B,2.422B,76.00M,3.049B,3.125B,,28.77B,34.32B,57.21B,868.00M,,,868.00M,5.515B,6.383B,2.354B,2.354B,10.04B,18.78B,2.385B,2.385B,5.879B,5.879B,,,,11.61B,19.88B,38.66B,935.00M,34.43B,6.884B,23.45B,,,-237.00M,18.55B
