,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,1.895B,,,-342.00M,,-342.00M,53.00M,53.00M,54.00M,-7.00M,69.00M,9.00M,-30.00M,1.108B,,,1.087B,,2.809B,-34.00M,,,0.00,,-7.00M,-41.00M,0.00,0.00,0.00,,-513.00M,-513.00M,-1.257B,-1.257B,-23.00M,-1.793B,1.314B,975.00M,,2.289B,,0.00,0.00,-513.00M
2017-12,4.968B,,-434.00M,-200.00M,,-634.00M,54.00M,54.00M,-2.903B,-8.00M,-257.00M,6.00M,-238.00M,-1.037B,,,-1.269B,,757.00M,-48.00M,,,,-133.00M,331.00M,-265.00M,,,,,-558.00M,-558.00M,-1.263B,-1.263B,0.00,-1.821B,2.643B,-1.329B,,1.314B,,,,-558.00M
2017-09,1.867B,,0.00,-169.00M,,-169.00M,51.00M,51.00M,-253.00M,-5.00M,-14.00M,-29.00M,12.00M,739.00M,,,722.00M,,2.199B,-60.00M,,,,88.00M,16.00M,44.00M,,,,,-759.00M,-759.00M,-1.175B,-1.175B,0.00,-1.934B,2.334B,309.00M,,2.643B,,,,-759.00M
2017-06,1.99B,,434.00M,-140.00M,,294.00M,52.00M,52.00M,53.00M,-9.00M,-523.00M,15.00M,123.00M,-2.725B,,,-2.587B,,-730.00M,-58.00M,,,,43.00M,-1.00M,-16.00M,,,,,-1.049B,-1.049B,-1.182B,-1.182B,-9.00M,-2.24B,5.32B,-2.986B,,2.334B,,,,-1.049B
2017-03,1.402B,,,-23.00M,,-23.00M,52.00M,52.00M,-23.00M,-16.00M,3.00M,18.00M,-68.00M,1.33B,,,1.28B,,2.675B,-33.00M,,,,2.00M,-199.00M,-230.00M,,,,,-551.00M,-551.00M,-1.187B,-1.187B,-38.00M,-1.776B,4.651B,669.00M,,5.32B,,,,-551.00M
2016-12,10.28B,,,-231.00M,,-231.00M,55.00M,55.00M,3.119B,35.00M,-13.70B,-6.00M,-88.00M,433.00M,,69.00M,408.00M,,296.00M,-61.00M,,,,534.00M,50.00M,3.673B,0.00,,0.00,,-518.00M,-518.00M,-1.191B,-1.191B,16.00M,-1.693B,2.298B,2.276B,,4.651B,,0.00,0.00,-518.00M
2016-09,1.094B,,,-299.00M,,524.00M,51.00M,51.00M,-15.00M,-20.00M,-557.00M,-24.00M,-18.00M,1.073B,,-69.00M,962.00M,,2.442B,-51.00M,,,,151.00M,-2.00M,98.00M,234.00M,,234.00M,,-171.00M,-171.00M,-1.106B,-1.106B,-18.00M,-1.061B,819.00M,1.479B,,2.298B,,1.976B,-1.742B,-171.00M
2016-06,1.654B,,,-199.00M,,-199.00M,49.00M,49.00M,15.00M,-27.00M,-61.00M,-17.00M,151.00M,-3.227B,,32.00M,-3.061B,,-1.63B,-51.00M,,,,0.00,-46.00M,-97.00M,,,,,-173.00M,-173.00M,-1.107B,-1.107B,11.00M,-1.269B,3.815B,-2.996B,,819.00M,,,,-173.00M
2016-03,1.218B,,,-66.00M,,-66.00M,49.00M,49.00M,,118.00M,-22.00M,20.00M,-79.00M,1.512B,,-32.00M,1.421B,,2.718B,-26.00M,,,,56.00M,4.00M,34.00M,,,,,-168.00M,-168.00M,-1.108B,-1.108B,-30.00M,-1.306B,2.369B,1.446B,,3.815B,,,,-168.00M
2015-12,1.248B,,,-211.00M,,-211.00M,75.00M,75.00M,-132.00M,-1.00M,92.00M,-6.00M,-92.00M,658.00M,,1.00M,561.00M,,1.753B,-67.00M,,,,-33.00M,-10.00M,-110.00M,0.00,,0.00,,-36.00M,-36.00M,-1.108B,-1.108B,-37.00M,-1.181B,1.907B,462.00M,,2.369B,,0.00,0.00,-36.00M
2015-09,1.528B,,,-187.00M,,-187.00M,50.00M,50.00M,-28.00M,0.00,6.00M,-10.00M,-46.00M,1.157B,,-1.00M,1.10B,,2.843B,-63.00M,,,,70.00M,1.00M,8.00M,-1.00B,,-1.00B,,-63.00M,-63.00M,-1.021B,-1.021B,17.00M,-2.067B,1.123B,784.00M,,1.907B,,0.00,-1.00B,-63.00M
2015-06,1.449B,,,-225.00M,,-225.00M,51.00M,51.00M,28.00M,3.00M,78.00M,-6.00M,167.00M,-2.836B,,40.00M,-2.635B,,-1.251B,-51.00M,,,,38.00M,1.00M,-12.00M,0.00,,0.00,,-263.00M,-263.00M,-1.024B,-1.024B,-1.00M,-1.288B,3.674B,-2.551B,,1.123B,,,0.00,-263.00M
2015-03,1.018B,,,-134.00M,,94.00M,49.00M,49.00M,,-1.00M,106.00M,25.00M,-62.00M,1.309B,,-40.00M,1.232B,,2.498B,-48.00M,,,,147.00M,,99.00M,-1.019B,,-1.019B,,-192.00M,-192.00M,-1.026B,-1.026B,-7.00M,-2.244B,3.321B,353.00M,,3.674B,,,-1.019B,-192.00M
2014-12,1.236B,,,-253.00M,,-209.00M,59.00M,59.00M,-129.00M,,72.00M,-18.00M,-164.00M,617.00M,,36.00M,471.00M,,1.603B,-47.00M,,,-9.00M,179.00M,-6.00M,117.00M,655.00M,,655.00M,,-260.00M,-260.00M,-1.028B,-1.028B,-7.00M,-640.00M,2.241B,1.08B,,3.321B,,,-344.00M,-260.00M
2014-09,1.397B,,,-328.00M,,-328.00M,49.00M,49.00M,21.00M,,72.00M,-2.00M,-58.00M,842.00M,,-36.00M,746.00M,,2.301B,-56.00M,,,0.00,1.00M,13.00M,-42.00M,0.00,,0.00,,-275.00M,-275.00M,-952.00M,-952.00M,16.00M,-1.211B,1.193B,1.048B,,2.241B,,,0.00,-275.00M
2014-06,1.262B,,,-200.00M,,-200.00M,50.00M,50.00M,-21.00M,,29.00M,10.00M,129.00M,-2.638B,,13.00M,-2.486B,,-1.366B,-33.00M,,,-93.00M,91.00M,61.00M,26.00M,0.00,,0.00,,-132.00M,-132.00M,-955.00M,-955.00M,0.00,-1.087B,3.62B,-2.427B,,1.193B,,,0.00,-132.00M
2014-03,1.175B,,,-225.00M,,-225.00M,50.00M,50.00M,,,50.00M,2.00M,-91.00M,1.177B,,-13.00M,1.075B,,2.125B,-27.00M,,,,98.00M,5.00M,76.00M,-525.00M,,-525.00M,,-272.00M,-272.00M,-957.00M,-957.00M,-2.00M,-1.756B,3.175B,445.00M,,3.62B,,,-525.00M,-272.00M
2013-12,488.00M,,,-253.00M,,831.00M,54.00M,54.00M,-86.00M,,73.00M,-23.00M,-161.00M,127.00M,,105.00M,48.00M,,1.516B,-41.00M,,,0.00,157.00M,1.00M,117.00M,-1.43B,,-1.43B,,-252.00M,-252.00M,-960.00M,-960.00M,-27.00M,-2.669B,4.211B,-1.036B,,3.175B,,3.183B,-4.613B,-252.00M
2013-09,1.396B,,,-255.00M,,-255.00M,52.00M,52.00M,-50.00M,,-63.00M,22.00M,-17.00M,1.107B,,-105.00M,1.007B,,2.418B,-49.00M,,,0.00,285.00M,10.00M,246.00M,0.00,,0.00,,-156.00M,-156.00M,-883.00M,-883.00M,15.00M,-1.024B,2.571B,1.64B,,4.211B,,0.00,0.00,-156.00M
2013-06,1.266B,,,-227.00M,,-227.00M,52.00M,52.00M,34.00M,,31.00M,-2.00M,115.00M,-2.492B,,,-2.379B,,-1.223B,-26.00M,,,0.00,71.00M,6.00M,51.00M,996.00M,,996.00M,,-135.00M,-135.00M,-883.00M,-883.00M,-10.00M,-32.00M,3.775B,-1.204B,,2.571B,,996.00M,0.00,-135.00M
2013-03,1.385B,,,-256.00M,,-256.00M,54.00M,54.00M,16.00M,,-301.00M,81.00M,-70.00M,755.00M,,,766.00M,,1.664B,-15.00M,,,,203.00M,,188.00M,0.00,,0.00,,-91.00M,-91.00M,-886.00M,-886.00M,,-977.00M,2.90B,875.00M,,3.775B,,,0.00,-91.00M
2012-12,1.105B,,,-251.00M,,-251.00M,56.00M,56.00M,-929.00M,,71.00M,0.00,-122.00M,644.00M,,1.088B,1.61B,,1.765B,-47.00M,,,,236.00M,3.00M,192.00M,0.00,,0.00,,-487.00M,-487.00M,-892.00M,-892.00M,136.00M,-1.243B,2.186B,714.00M,,2.90B,,0.00,0.00,-487.00M
2012-09,657.00M,,,-230.00M,,644.00M,56.00M,56.00M,971.00M,,-54.00M,200.00M,60.00M,460.00M,,-1.088B,-368.00M,,2.205B,-38.00M,,,,261.00M,-5.00M,218.00M,-677.00M,,-677.00M,,-235.00M,-235.00M,-834.00M,-834.00M,-19.00M,-1.765B,1.528B,658.00M,,2.186B,,2.787B,-3.464B,-235.00M
2012-06,1.226B,,,-223.00M,,-223.00M,57.00M,57.00M,-874.00M,,-391.00M,-11.00M,146.00M,-1.852B,,,-1.717B,,-1.922B,-23.00M,,,,249.00M,-3.00M,223.00M,0.00,,0.00,,-94.00M,-94.00M,-836.00M,-836.00M,1.00M,-929.00M,4.156B,-2.628B,,1.528B,,0.00,,-94.00M
2012-03,1.195B,,,-520.00M,,-520.00M,56.00M,56.00M,-97.00M,,-466.00M,13.00M,-51.00M,1.707B,,,1.669B,,1.837B,-16.00M,,,,303.00M,,287.00M,,,,,-266.00M,-266.00M,-838.00M,-838.00M,-134.00M,-1.238B,3.27B,886.00M,,4.156B,,,,-266.00M
2011-12,837.00M,,,-178.00M,54.00M,-124.00M,69.00M,69.00M,6.00M,206.00M,-717.00M,-10.00M,-154.00M,339.00M,,208.00M,383.00M,,1.017B,-30.00M,,,,242.00M,1.00M,213.00M,0.00,,0.00,-29.00M,-327.00M,-356.00M,,-843.00M,196.00M,-1.003B,3.043B,227.00M,,3.27B,-29.00M,0.00,0.00,-327.00M
2011-09,1.174B,,,-208.00M,33.00M,-175.00M,63.00M,63.00M,-52.00M,-4.00M,92.00M,3.00M,48.00M,1.202B,,-266.00M,987.00M,,2.085B,-35.00M,,,,119.00M,0.00,84.00M,0.00,,0.00,0.00,-425.00M,-425.00M,,-790.00M,25.00M,-1.19B,2.064B,979.00M,,3.043B,0.00,0.00,0.00,-425.00M
2011-06,444.00M,,,-155.00M,54.00M,-101.00M,61.00M,61.00M,-359.00M,-8.00M,932.00M,-7.00M,151.00M,-2.85B,,154.00M,-2.552B,,-1.583B,-27.00M,,,,125.00M,0.00,98.00M,1.494B,,1.494B,8.00M,-575.00M,-567.00M,,-795.00M,-15.00M,117.00M,3.432B,-1.368B,,2.064B,8.00M,1.494B,,-575.00M
2011-03,938.00M,,,-189.00M,-141.00M,-330.00M,60.00M,60.00M,-38.00M,-16.00M,207.00M,-5.00M,-21.00M,1.363B,,-96.00M,1.241B,,2.062B,-13.00M,,,,4.00M,1.00M,-8.00M,,,,21.00M,,21.00M,,-794.00M,-163.00M,-936.00M,2.314B,1.118B,,3.432B,21.00M,,,
2010-12,920.00M,,,-191.00M,-128.00M,-319.00M,68.00M,68.00M,399.00M,-22.00M,-79.00M,-4.00M,-185.00M,248.00M,,-284.00M,-225.00M,,1.045B,-52.00M,,,,193.00M,35.00M,176.00M,0.00,,0.00,-89.00M,,-89.00M,-2.958B,-793.00M,275.00M,-607.00M,1.70B,614.00M,,2.314B,-89.00M,0.00,0.00,
2010-09,1.131B,,,-186.00M,27.00M,-159.00M,71.00M,71.00M,83.00M,-47.00M,-799.00M,3.00M,32.00M,1.027B,,89.00M,1.151B,,1.431B,-47.00M,,,,47.00M,62.00M,62.00M,210.00M,-200.00M,10.00M,50.00M,,50.00M,,-730.00M,23.00M,-647.00M,854.00M,846.00M,,1.70B,50.00M,10.00M,0.00,
2010-06,1.043B,,,-113.00M,57.00M,-56.00M,68.00M,68.00M,24.00M,-42.00M,-95.00M,74.00M,163.00M,-3.016B,,87.00M,-2.692B,,-1.75B,-31.00M,,,,32.00M,3.00M,4.00M,22.00M,0.00,22.00M,18.00M,,18.00M,706.00M,-729.00M,-1.00M,-690.00M,3.29B,-2.436B,,854.00M,18.00M,797.00M,-775.00M,
2010-03,813.00M,,,-138.00M,44.00M,-94.00M,69.00M,69.00M,-98.00M,-77.00M,255.00M,-58.00M,-3.00M,1.41B,,-176.00M,1.173B,,2.041B,-38.00M,,,,40.00M,15.00M,17.00M,,200.00M,200.00M,21.00M,,21.00M,-706.00M,-706.00M,-154.00M,-639.00M,1.871B,1.419B,,3.29B,21.00M,200.00M,,
2009-12,726.00M,,,-158.00M,137.00M,-21.00M,73.00M,73.00M,59.00M,-23.00M,-53.00M,-8.00M,-48.00M,513.00M,,218.00M,675.00M,,1.436B,-101.00M,,,0.00,26.00M,16.00M,-59.00M,0.00,-205.00M,0.00,32.00M,,32.00M,1.987B,-706.00M,138.00M,-536.00M,1.03B,841.00M,,1.871B,32.00M,0.00,-205.00M,
2009-09,882.00M,,,-119.00M,-86.00M,-205.00M,71.00M,71.00M,72.00M,13.00M,62.00M,12.00M,115.00M,1.187B,,-337.00M,977.00M,,1.872B,-60.00M,,,0.00,214.00M,1.00M,155.00M,-368.00M,-188.00M,-761.00M,6.00M,,6.00M,-663.00M,-663.00M,-123.00M,-1.541B,544.00M,486.00M,,1.03B,6.00M,-188.00M,-368.00M,
2009-06,1.011B,,,-217.00M,55.00M,-162.00M,69.00M,69.00M,189.00M,-12.00M,-91.00M,-29.00M,152.00M,-3.239B,,204.00M,-2.912B,,-1.908B,-69.00M,,,0.00,80.00M,10.00M,21.00M,-375.00M,-442.00M,-817.00M,40.00M,,40.00M,-663.00M,-663.00M,13.00M,-1.427B,3.858B,-3.314B,,544.00M,40.00M,-442.00M,-375.00M,
2009-03,589.00M,,,-106.00M,50.00M,-56.00M,78.00M,78.00M,-277.00M,,428.00M,18.00M,-168.00M,1.298B,,133.00M,1.281B,,2.043B,-43.00M,,,-10.24B,464.00M,-58.00M,-9.881B,4.089B,630.00M,4.719B,11.00M,,11.00M,-661.00M,-661.00M,-289.00M,3.78B,7.916B,-4.058B,,3.858B,11.00M,4.851B,-132.00M,
2008-12,679.00M,0.00,,163.00M,92.00M,-212.00M,53.00M,53.00M,10.00M,,80.00M,18.00M,-9.00M,70.00M,,87.00M,166.00M,0.00,973.00M,-110.00M,-525.00M,0.00,0.00,13.00M,0.00,-97.00M,6.496B,721.00M,7.217B,10.00M,0.00,10.00M,748.00M,-3.68B,2.578B,6.125B,915.00M,7.426B,0.00,7.916B,10.00M,6.738B,479.00M,0.00
2008-09,867.00M,0.00,,127.00M,-6.00M,121.00M,52.00M,52.00M,-120.00M,,184.00M,-33.00M,79.00M,1.468B,,70.00M,1.584B,0.00,2.688B,-46.00M,0.00,0.00,0.00,241.00M,0.00,195.00M,-94.00M,-1.711B,-1.805B,7.00M,0.00,7.00M,-599.00M,-599.00M,14.00M,-2.383B,415.00M,500.00M,0.00,915.00M,7.00M,-1.711B,-94.00M,0.00
2008-06,930.00M,0.00,,-147.00M,32.00M,-115.00M,51.00M,51.00M,430.00M,,-192.00M,71.00M,138.00M,-3.834B,,140.00M,-3.485B,0.00,-2.381B,-40.00M,0.00,0.00,0.00,26.00M,1.00M,-13.00M,-990.00M,1.689B,699.00M,37.00M,-1.166B,-1.129B,-1.585B,-1.585B,11.00M,-2.004B,4.813B,-4.398B,-126.00M,415.00M,37.00M,1.711B,-1.012B,-1.166B
2008-03,614.00M,-404.00M,,-143.00M,29.00M,-125.00M,59.00M,59.00M,-458.00M,,394.00M,-140.00M,-23.00M,1.938B,,-324.00M,1.451B,1.666B,3.601B,-45.00M,525.00M,525.00M,0.00,122.00M,109.00M,394.00M,-2.824B,-699.00M,-3.523B,35.00M,,35.00M,1.436B,1.436B,-623.00M,-4.323B,4.842B,-328.00M,,4.813B,35.00M,0.00,-3.523B,
2007-12,2.813B,,,,,250.00M,276.00M,276.00M,-150.00M,,1.197B,-664.00M,-980.00M,4.00M,-462.00M,372.00M,-1.73B,-625.00M,2.031B,-530.00M,-363.00M,-893.00M,-3.991B,,524.00M,-4.36B,,,2.71B,66.00M,,66.00M,,-1.583B,143.00M,1.336B,7.309B,-993.00M,182.00M,6.498B,66.00M,,,
2007-09,2.633B,,,,,6.00M,242.00M,242.00M,-430.00M,,153.00M,67.00M,-549.00M,9.00M,182.00M,853.00M,562.00M,0.00,3.166B,-327.00M,23.00M,-304.00M,-12.00M,,-18.00M,-334.00M,,,-399.00M,27.00M,,27.00M,,-1.453B,33.00M,-1.792B,6.156B,1.04B,113.00M,7.309B,27.00M,,,
2007-06,3.644B,,,,,115.00M,399.00M,399.00M,-358.00M,,414.00M,-136.00M,603.00M,104.00M,2.39B,-553.00M,2.408B,-1.304B,5.318B,-535.00M,340.00M,-195.00M,-410.00M,,-166.00M,-175.00M,,,238.00M,85.00M,,85.00M,,-1.811B,-764.00M,-1.518B,818.00M,3.625B,37.00M,6.156B,85.00M,,,
2007-03,696.00M,,,,,-98.00M,63.00M,63.00M,683.00M,,51.00M,28.00M,37.00M,-188.00M,-2.357B,-591.00M,-3.071B,1.465B,-211.00M,-66.00M,,-66.00M,,,250.00M,-386.00M,,,-498.00M,245.00M,,245.00M,,-1.805B,1.263B,-1.705B,3.105B,-2.302B,15.00M,818.00M,245.00M,,,
2006-12,2.959B,,,,,1.199B,1.119B,1.119B,27.00M,,-138.00M,-319.00M,-757.00M,255.00M,-858.00M,-50.00M,-1.729B,-656.00M,2.781B,-1.627B,-339.00M,-1.966B,1.377B,,328.00M,-330.00M,,,-1.356B,65.00M,-1.254B,-1.189B,,-1.803B,-1.041B,-2.833B,5.04B,-382.00M,46.00M,5.02B,65.00M,,,-1.254B
2006-09,2.875B,,,,,-805.00M,235.00M,235.00M,-303.00M,,182.00M,22.00M,-298.00M,39.00M,-348.00M,1.56B,975.00M,529.00M,3.688B,-352.00M,137.00M,-215.00M,75.00M,,22.00M,247.00M,,,-1.893B,213.00M,3.339B,3.552B,,-5.012B,436.00M,-4.224B,5.613B,-289.00M,32.00M,5.04B,213.00M,,,3.339B
2006-06,3.591B,,,,,-131.00M,220.00M,220.00M,-1.026B,,2.254B,-297.00M,692.00M,-61.00M,1.817B,1.102B,3.253B,-353.00M,7.808B,-251.00M,32.00M,-219.00M,0.00,,-17.00M,-439.00M,,,-2.316B,124.00M,-3.339B,-3.215B,,1.667B,354.00M,-4.316B,2.491B,3.053B,69.00M,5.613B,124.00M,,,-3.339B
2006-03,2.597B,,,,,568.00M,230.00M,230.00M,794.00M,,-1.433B,323.00M,-647.00M,-110.00M,-1.115B,-2.378B,-3.927B,480.00M,-691.00M,-224.00M,170.00M,-54.00M,10.00M,,41.00M,-96.00M,,,-899.00M,84.00M,,84.00M,,-1.667B,-68.00M,-2.993B,6.258B,-3.78B,13.00M,2.491B,84.00M,,,
2005-12,2.289B,,,,,533.00M,452.00M,452.00M,-497.00M,,-590.00M,42.00M,45.00M,143.00M,-365.00M,1.053B,918.00M,,3.105B,-717.00M,16.00M,-701.00M,-35.00M,,57.00M,-679.00M,,,-668.00M,184.00M,-392.00M,-208.00M,,-1.664B,259.00M,-2.281B,6.195B,145.00M,-82.00M,6.258B,184.00M,,,-392.00M
2005-09,2.883B,,,,,-288.00M,406.00M,406.00M,-241.00M,,483.00M,167.00M,-112.00M,117.00M,527.00M,-1.053B,-354.00M,,2.889B,-597.00M,12.00M,-585.00M,-2.00M,,137.00M,-450.00M,,,-2.972B,228.00M,-408.00M,-180.00M,,-1.514B,-36.00M,-4.702B,8.499B,-2.263B,-41.00M,6.195B,228.00M,,,-408.00M
2005-06,2.667B,,,,,460.00M,410.00M,410.00M,-1.147B,,-228.00M,360.00M,-386.00M,2.00M,2.984B,427.00M,3.387B,,5.549B,-537.00M,1.45B,913.00M,-3.372B,,351.00M,-2.108B,,,2.75B,243.00M,-208.00M,35.00M,,-1.51B,-26.00M,1.249B,4.208B,4.69B,-399.00M,8.499B,243.00M,,,-208.00M
2005-03,2.596B,,,,,-573.00M,407.00M,407.00M,896.00M,,335.00M,-316.00M,-71.00M,-235.00M,-3.095B,-427.00M,-4.144B,,-483.00M,-355.00M,190.00M,-165.00M,-1.523B,,40.00M,-1.648B,,,2.294B,330.00M,-167.00M,163.00M,,-1.503B,-354.00M,600.00M,5.744B,-1.531B,-5.00M,4.208B,330.00M,,,-167.00M
2004-12,1.947B,,,,,-197.00M,438.00M,438.00M,-406.00M,,-235.00M,-26.00M,-82.00M,366.00M,199.00M,83.00M,540.00M,,2.087B,-715.00M,7.00M,-708.00M,-2.00M,,16.00M,-694.00M,,,-1.257B,285.00M,-207.00M,78.00M,,-1.499B,-75.00M,-2.753B,6.669B,-1.36B,435.00M,5.744B,285.00M,,,-207.00M
2004-09,2.648B,,,,,-75.00M,397.00M,397.00M,-160.00M,,235.00M,243.00M,-391.00M,48.00M,1.575B,-83.00M,1.392B,,4.437B,-483.00M,11.00M,-472.00M,-6.00M,,278.00M,-200.00M,,,-1.047B,39.00M,-167.00M,-128.00M,,-1.395B,-65.00M,-2.635B,5.031B,1.602B,36.00M,6.669B,39.00M,,,-167.00M
2004-06,2.627B,,,,,-306.00M,388.00M,388.00M,-18.00M,,-144.00M,-182.00M,184.00M,98.00M,1.279B,151.00M,1.53B,,4.077B,-389.00M,,-389.00M,-19.00M,,254.00M,-154.00M,,,-420.00M,73.00M,-162.00M,-89.00M,,-1.393B,-115.00M,-2.017B,3.204B,1.906B,-79.00M,5.031B,73.00M,,,-162.00M
2004-03,2.194B,,,,,89.00M,384.00M,384.00M,972.00M,,144.00M,-228.00M,149.00M,-463.00M,-2.801B,-151.00M,-3.494B,,289.00M,-326.00M,,-326.00M,-152.00M,,110.00M,-368.00M,,,684.00M,430.00M,-152.00M,278.00M,,-1.385B,-154.00M,-577.00M,3.777B,-656.00M,83.00M,3.204B,430.00M,,,-152.00M
2003-12,2.091B,,,,,-907.00M,390.00M,390.00M,147.00M,,,156.00M,14.00M,347.00M,-322.00M,,195.00M,,1.916B,-621.00M,71.00M,-550.00M,-433.00M,,178.00M,-805.00M,,,-2.542B,255.00M,-246.00M,9.00M,,-1.38B,226.00M,-3.687B,6.048B,-2.576B,305.00M,3.777B,255.00M,,,-246.00M
