,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,3.263B,3.263B,1.889B,1.374B,810.40M,,,,28.60M,,-88.00M,810.40M,563.50M,,28.60M,-88.00M,-220.60M,-88.00M,254.90M,114.00M,140.90M,,,140.90M,140.90M,382.80M,99.30M,283.50M,,0.25,,,0.25,0.25,,0.25,,,0.25,0.25,,437.90M,440.90M,0.69,,AOR,Restated
2018-03,3.696B,3.696B,2.079B,1.617B,750.10M,,,0.00,18.60M,11.00M,-7.60M,750.10M,866.60M,11.00M,18.60M,-7.60M,16.20M,-7.60M,875.20M,214.20M,661.00M,,,661.00M,661.23M,990.10M,96.30M,893.80M,,1.50,,,1.501,1.50,,1.49,,,1.491,1.49,,441.00M,443.40M,0.63,,AOR,Restated
2017-12,3.238B,3.238B,1.938B,1.300B,723.60M,,,0.00,27.50M,22.70M,-4.80M,723.60M,576.80M,22.70M,27.50M,-4.80M,15.50M,-4.80M,587.50M,-82.90M,670.40M,,,670.40M,671.00M,709.80M,94.80M,615.00M,,1.52,,,1.521,1.52,,1.51,,,1.511,1.51,,441.30M,443.70M,0.63,,AOR,Restated
2017-09,3.077B,3.077B,1.852B,1.226B,675.40M,,,0.40M,28.00M,25.80M,-2.20M,675.40M,550.30M,25.80M,28.00M,-2.20M,16.80M,-2.20M,564.90M,152.30M,412.60M,,,412.60M,412.31M,680.10M,87.20M,592.90M,,0.93,,,0.9293,0.93,,0.93,,,0.9293,0.93,,442.20M,445.00M,0.57,,AOR,Restated
2017-06,3.057B,3.057B,1.822B,1.235B,820.20M,,,,22.80M,,-77.30M,820.20M,414.80M,,22.80M,-77.30M,136.70M,-77.30M,474.20M,154.00M,320.20M,,,320.20M,320.20M,579.50M,82.50M,497.00M,,0.60,0.00,,0.60,0.60,,0.59,0.00,,0.59,0.59,,444.50M,447.30M,0.57,,AOR,Restated
2017-03,3.411B,3.411B,1.911B,1.500B,665.00M,,,0.00,16.80M,10.10M,-6.70M,665.00M,834.80M,10.10M,16.80M,-6.70M,-0.20M,-6.70M,827.90M,240.00M,587.90M,,,587.90M,588.04M,922.30M,77.60M,844.70M,,1.32,,,1.320,1.32,,1.31,,,1.310,1.31,,446.50M,449.20M,0.57,,AOR,Restated
2016-12,2.987B,2.987B,1.768B,1.220B,640.80M,,,205.40M,20.50M,21.30M,0.80M,640.80M,578.70M,21.30M,20.50M,0.80M,206.70M,0.80M,786.20M,275.30M,510.90M,,,510.90M,376.54M,885.10M,78.40M,806.70M,,1.14,,,0.8400,1.14,,1.13,,,0.8316,1.13,,447.90M,450.30M,0.57,,AOR,Restated
2016-09,2.917B,2.917B,1.744B,1.173B,647.70M,,,0.00,19.90M,22.90M,3.00M,647.70M,525.60M,22.90M,19.90M,3.00M,0.10M,3.00M,528.70M,160.00M,368.70M,,,368.70M,368.63M,626.20M,77.60M,548.60M,,0.82,,,0.8198,0.82,,0.81,,,0.8098,0.81,,452.30M,455.30M,0.53,,AOR,Restated
2016-06,2.898B,2.898B,1.699B,1.200B,770.30M,,,0.00,18.10M,16.80M,-1.30M,770.30M,429.40M,16.80M,18.10M,-1.30M,-1.10M,-1.30M,427.00M,145.00M,282.00M,0.00,,282.00M,282.73M,519.00M,73.90M,445.10M,,0.62,0.00,,0.6216,0.62,,0.62,0.00,,0.6216,0.62,,453.40M,454.60M,0.53,,AOR,Restated
2016-03,3.249B,3.249B,1.813B,1.436B,634.40M,,,0.00,16.30M,9.70M,-6.60M,634.40M,801.50M,9.70M,16.30M,-6.60M,-0.10M,-6.60M,794.80M,262.30M,532.50M,0.00,,532.50M,532.57M,884.40M,73.30M,811.10M,,1.17,0.00,,1.170,1.17,,1.17,0.00,,1.170,1.17,,454.40M,456.90M,0.53,,AOR,Restated
2015-12,2.807B,2.807B,1.682B,1.124B,627.20M,,,13.90M,16.80M,17.30M,0.50M,627.20M,497.30M,17.30M,16.80M,0.50M,10.10M,0.50M,507.90M,166.50M,341.40M,0.00,,341.40M,334.61M,597.30M,72.60M,524.70M,,0.75,0.00,,0.7352,0.75,,0.74,0.00,,0.7253,0.74,,457.60M,460.30M,0.53,,AOR,Restated
2015-09,2.714B,2.714B,1.646B,1.068B,605.30M,,,29.10M,4.90M,18.60M,13.70M,605.30M,462.20M,18.60M,4.90M,13.70M,29.10M,13.70M,505.00M,167.50M,337.50M,-0.90M,,336.60M,318.06M,578.70M,68.80M,509.90M,,0.73,0.00,,0.6880,0.73,,0.72,0.00,,0.6783,0.72,,462.40M,465.70M,0.49,,AOR,Restated
2015-06,2.694B,2.694B,1.602B,1.093B,725.20M,,,0.00,1.60M,13.00M,11.40M,725.20M,367.60M,13.00M,1.60M,11.40M,2.60M,11.40M,381.60M,124.60M,257.00M,79.20M,,336.20M,255.25M,454.00M,70.80M,383.20M,,0.55,0.17,,0.5462,0.72,,0.55,0.17,,0.5463,0.72,,465.10M,468.30M,0.49,,AOR,Restated
2015-03,3.024B,3.024B,1.684B,1.34B,607.20M,,,0.00,0.80M,7.20M,6.40M,607.20M,732.80M,7.20M,0.80M,6.40M,0.70M,6.40M,739.90M,249.60M,490.30M,-0.70M,,489.60M,489.84M,810.70M,70.00M,740.70M,,1.04,0.00,,1.039,1.04,,1.03,0.00,,1.029,1.03,,470.30M,474.00M,0.49,,AOR,Restated
2014-12,2.654B,2.654B,1.583B,1.070B,588.50M,,,0.00,2.20M,18.30M,16.10M,588.50M,481.80M,18.30M,2.20M,16.10M,0.90M,16.10M,498.80M,166.30M,332.50M,-1.00M,,331.50M,331.90M,570.40M,69.40M,501.00M,,0.70,0.00,,0.6987,0.70,,0.69,0.00,,0.6888,0.69,,476.60M,480.30M,0.49,,AOR,Restated
2014-09,2.566B,2.566B,1.558B,1.008B,576.00M,,,1.40M,1.90M,18.30M,16.40M,576.00M,431.80M,18.30M,1.90M,16.40M,2.20M,16.40M,450.40M,153.80M,296.60M,-1.40M,,295.20M,295.15M,520.00M,67.70M,452.30M,,0.62,0.00,,0.6170,0.62,,0.62,0.00,,0.6170,0.61,,478.40M,481.70M,0.48,,AOR,Restated
2014-06,2.546B,2.546B,1.536B,1.010B,668.40M,,,0.00,1.40M,13.00M,11.60M,668.40M,341.30M,13.00M,1.40M,11.60M,0.00,11.60M,352.90M,122.50M,230.40M,58.40M,,288.80M,230.40M,425.00M,70.70M,354.30M,,0.60,0.00,,0.60,0.60,,0.60,0.00,,0.60,0.60,,478.30M,482.20M,0.48,,AOR,Restated
2014-03,2.825B,2.825B,1.586B,1.239B,585.30M,,,0.00,0.90M,6.10M,5.20M,585.30M,654.10M,6.10M,0.90M,5.20M,1.50M,5.20M,660.80M,227.60M,433.20M,88.40M,,521.60M,432.22M,726.60M,64.90M,661.70M,,0.90,0.18,,0.8979,1.09,,0.90,0.18,,0.8980,1.08,,478.90M,483.00M,0.48,,AOR,Restated
2013-12,2.494B,2.494B,1.479B,1.015B,578.80M,,,0.00,2.00M,16.10M,14.10M,578.80M,436.30M,16.10M,2.00M,14.10M,11.60M,14.10M,462.00M,147.80M,314.20M,62.80M,,377.00M,306.31M,531.00M,67.00M,464.00M,,0.66,0.13,,0.6435,0.79,,0.65,0.13,,0.6337,0.78,,478.40M,482.80M,0.48,,AOR,Restated
2013-09,2.362B,2.362B,1.441B,921.20M,537.70M,,,0.00,1.90M,18.50M,16.60M,537.70M,383.50M,18.50M,1.90M,16.60M,3.50M,16.60M,403.60M,138.70M,264.90M,63.70M,,328.60M,262.60M,469.50M,64.00M,405.50M,,0.55,0.13,,0.5452,0.68,,0.55,0.13,,0.5453,0.68,,480.10M,484.30M,0.435,,AOR,Restated
2013-06,957.20M,957.20M,625.50M,331.70M,312.40M,,,-44.90M,1.80M,,-53.10M,312.40M,19.30M,,1.80M,-53.10M,28.80M,-53.10M,-5.00M,6.90M,-11.90M,238.90M,,227.00M,17.28M,11.60M,14.80M,-3.20M,,0.47,0.00,,0.5305,0.47,,0.47,0.00,,0.5299,0.47,,482.40M,487.10M,0.435,,AOR,Restated
2013-03,3.109B,3.109B,1.743B,1.366B,653.60M,,,0.00,1.20M,6.00M,4.80M,653.60M,712.50M,6.00M,1.20M,4.80M,6.00M,4.80M,723.30M,241.70M,481.60M,1.10M,,482.70M,477.60M,805.30M,80.80M,724.50M,,1.00,0.00,,0.9917,1.00,,0.99,0.00,,0.9818,0.99,,482.70M,486.50M,0.435,,AOR,Restated
2012-12,2.748B,2.748B,1.624B,1.124B,624.70M,,,2.20M,3.00M,21.50M,18.50M,624.70M,498.80M,21.50M,3.00M,18.50M,11.50M,18.50M,528.80M,176.80M,352.00M,38.90M,,390.90M,344.34M,609.10M,77.30M,531.80M,,0.73,0.08,,0.7141,0.81,,0.72,0.08,,0.7043,0.80,,482.10M,486.80M,0.435,,AOR,Restated
2012-09,2.638B,2.638B,1.586B,1.051B,611.40M,,,,3.10M,23.80M,20.70M,611.40M,439.60M,23.80M,3.10M,20.70M,5.30M,20.70M,465.60M,163.10M,302.50M,2.80M,,305.30M,299.58M,547.00M,78.30M,468.70M,,0.63,0.01,,0.6240,0.63,,0.62,0.01,,0.6140,0.63,,483.50M,488.40M,0.395,,AOR,Restated
2012-06,2.603B,2.603B,1.572B,1.031B,671.20M,,0.00,0.00,2.30M,19.90M,17.60M,671.20M,360.20M,19.90M,2.30M,17.60M,9.90M,17.60M,387.70M,135.90M,251.80M,6.60M,,258.40M,246.21M,472.00M,82.00M,390.00M,,0.53,0.02,,0.5185,0.53,,0.53,0.02,,0.5186,0.53,,486.10M,490.70M,0.395,,AOR,Restated
2012-03,2.911B,2.911B,1.618B,1.293B,619.90M,,2.20M,-2.20M,1.20M,8.50M,7.30M,619.90M,672.80M,8.50M,1.20M,7.30M,2.00M,7.30M,682.10M,231.90M,450.20M,2.20M,,452.40M,449.28M,763.50M,80.20M,683.30M,,0.92,0.00,,0.9181,0.93,,0.91,0.00,,0.9081,0.92,,488.50M,493.20M,0.395,,AOR,Restated
2011-12,2.571B,2.571B,1.514B,1.057B,574.90M,,5.80M,60.20M,2.10M,27.20M,25.10M,574.90M,482.10M,27.20M,2.10M,25.10M,69.00M,25.10M,576.20M,203.40M,372.80M,2.20M,,375.00M,328.55M,656.50M,78.20M,578.30M,,0.77,0.00,,0.6791,0.77,,0.76,0.00,,0.6701,0.76,,486.70M,492.40M,0.395,,AOR,Restated
2011-09,2.511B,2.511B,1.500B,1.010B,586.90M,,,,2.10M,29.60M,27.50M,586.90M,423.60M,29.60M,2.10M,27.50M,4.60M,27.50M,455.70M,155.30M,300.40M,2.30M,,302.70M,297.76M,536.70M,78.90M,457.80M,,0.62,0.00,,0.6146,0.62,,0.61,0.00,,0.6047,0.61,,487.90M,493.30M,0.36,,AOR,Restated
2011-06,2.865B,2.865B,1.496B,1.369B,651.60M,,,-4.80M,1.70M,-384.40M,-386.10M,651.60M,717.80M,-384.40M,1.70M,-386.10M,12.30M,-386.10M,344.00M,111.40M,232.60M,,,241.80M,226.51M,421.10M,75.40M,345.70M,,0.47,0.02,,0.4577,0.49,,0.47,0.02,,0.4578,0.49,,494.40M,500.70M,0.36,,AOR,Restated
2011-03,2.589B,2.589B,1.521B,1.068B,577.30M,,,0.60M,1.40M,158.60M,157.20M,577.30M,490.80M,158.60M,1.40M,157.20M,5.00M,157.20M,653.00M,229.20M,423.80M,,,423.80M,420.56M,735.40M,81.00M,654.40M,,0.85,0.00,,0.8435,0.85,,0.85,0.00,,0.8435,0.85,,496.20M,501.30M,0.36,,AOR,Restated
2010-12,2.406B,2.406B,1.380B,1.025B,570.10M,,,0.60M,2.80M,27.90M,25.10M,570.10M,455.30M,27.90M,2.80M,25.10M,4.20M,25.10M,484.60M,174.50M,310.10M,,,310.10M,307.41M,570.10M,82.70M,487.40M,,0.63,0.00,,0.6245,0.63,,0.62,0.00,,0.6146,0.62,,492.00M,496.90M,0.36,,AOR,Restated
2010-09,2.229B,2.229B,1.312B,917.50M,515.60M,,,37.20M,2.70M,,-2.70M,515.60M,401.90M,,2.70M,-2.70M,37.20M,-2.70M,436.40M,157.90M,278.50M,,,278.50M,254.76M,514.60M,75.50M,439.10M,,0.57,0.00,,0.5217,0.57,,0.56,0.00,,0.5120,0.56,,491.40M,494.90M,0.34,,AOR,Restated
2010-06,2.594B,2.594B,1.282B,1.312B,611.90M,,,-106.70M,1.80M,-304.70M,-306.50M,611.90M,699.60M,-304.70M,1.80M,-306.50M,-87.60M,-306.50M,305.50M,97.90M,207.60M,0.30M,,207.90M,280.11M,383.70M,76.40M,307.30M,,0.42,0.00,,0.5661,0.42,,0.42,0.00,,0.5649,0.41,,496.30M,500.40M,0.34,,AOR,Restated
2010-03,2.295B,2.295B,1.331B,964.60M,504.90M,,,26.60M,1.20M,147.90M,146.70M,504.90M,459.70M,147.90M,1.20M,146.70M,26.60M,146.70M,633.00M,231.40M,401.60M,2.00M,,403.60M,384.72M,712.20M,78.00M,634.20M,,0.80,0.00,,0.7664,0.80,,0.79,0.00,,0.7566,0.80,,502.40M,505.50M,0.34,,AOR,Restated
2009-12,2.070B,2.070B,1.227B,843.10M,518.90M,,,29.60M,2.50M,127.70M,125.20M,518.90M,324.20M,127.70M,2.50M,125.20M,29.60M,125.20M,479.00M,164.00M,315.00M,0.80M,,315.80M,295.53M,558.80M,77.30M,481.50M,,0.63,0.00,,0.5912,0.63,,0.62,0.00,,0.5815,0.62,,502.00M,506.20M,0.34,,AOR,Restated
2009-09,1.968B,2.096B,1.190B,906.60M,491.50M,,,-3.30M,3.20M,164.20M,161.00M,491.50M,415.10M,164.20M,3.20M,161.00M,-2.60M,161.00M,445.60M,162.70M,282.90M,1.20M,,284.10M,284.55M,526.30M,77.50M,448.80M,,0.56,0.01,,0.5633,0.57,,0.56,0.00,,0.5633,0.56,,501.40M,503.70M,0.33,,AOR,Restated
2009-06,1.955B,2.101B,1.193B,907.70M,574.30M,,,-105.80M,3.50M,174.10M,170.60M,574.30M,333.40M,174.10M,3.50M,170.60M,-103.30M,170.60M,360.80M,13.60M,347.20M,5.40M,,352.60M,446.61M,443.60M,79.30M,364.30M,,0.69,0.01,,0.8885,0.71,,0.69,0.01,,0.8879,0.70,,500.80M,502.20M,0.33,,AOR,Restated
2009-03,2.204B,2.369B,1.215B,1.154B,518.90M,,,17.50M,2.50M,181.20M,178.70M,518.90M,635.10M,181.20M,2.50M,178.70M,-4.10M,178.70M,628.50M,226.40M,402.10M,0.40M,,402.50M,404.72M,708.20M,77.20M,631.00M,,0.80,0.00,,0.8052,0.80,,0.80,0.00,,0.8052,0.80,,501.20M,502.40M,0.33,,AOR,Restated
2008-12,2.056B,2.203B,1.188B,1.016B,573.10M,,,-6.20M,8.10M,190.60M,182.50M,573.10M,442.70M,190.60M,8.10M,182.50M,-4.70M,182.50M,473.20M,172.80M,300.40M,0.10M,,300.50M,303.38M,555.20M,73.90M,481.30M,,0.60,0.00,,0.6059,0.60,,0.59,0.00,,0.5959,0.59,,503.40M,506.10M,0.33,,,Restated
2008-09,2.030B,2.182B,1.237B,944.80M,526.70M,,,-4.70M,19.20M,197.90M,178.70M,526.70M,418.10M,197.90M,19.20M,178.70M,-3.60M,178.70M,441.30M,163.30M,278.00M,-1.10M,,276.90M,280.27M,537.80M,77.30M,460.50M,,0.55,0.00,,0.5545,0.55,,0.54,0.00,,0.5444,0.54,,507.50M,513.50M,0.29,,,Restated
2008-06,2.038B,2.207B,1.196B,1.012B,697.00M,,,-159.90M,12.50M,,-639.50M,697.00M,314.70M,,12.50M,-639.50M,-168.70M,-639.50M,354.50M,128.50M,226.00M,7.50M,,233.50M,327.94M,439.90M,72.90M,367.00M,,0.44,0.01,,0.6383,0.46,,0.43,0.01,,0.6264,0.45,,514.00M,519.10M,0.29,,,Restated
2008-03,2.229B,2.427B,1.224B,1.203B,585.30M,,,-2.50M,7.90M,223.50M,215.60M,585.30M,617.50M,223.50M,7.90M,215.60M,0.90M,215.60M,635.50M,231.90M,403.60M,10.00M,,413.60M,403.03M,722.00M,78.60M,643.40M,,0.78,0.02,,0.7789,0.80,,0.77,0.02,,0.7689,0.79,,519.80M,523.20M,0.29,,,Restated
2007-12,2.150B,2.150B,979.80M,1.170B,554.50M,128.80M,,0.70M,,,,742.90M,427.40M,,,,0.70M,,440.60M,149.00M,291.60M,-0.40M,,291.20M,291.14M,511.60M,84.20M,427.40M,,0.56,0.00,,0.5591,0.56,,0.55,0.00,,0.5491,0.55,,523.10M,530.40M,0.29,,,
2007-09,1.992B,1.992B,908.30M,1.084B,533.60M,124.40M,,0.60M,,,,717.40M,366.30M,,,,0.60M,,381.50M,141.10M,240.40M,57.00M,,297.40M,240.02M,449.70M,83.40M,366.30M,,0.45,0.11,,0.4493,0.56,,0.45,0.11,,0.4493,0.55,,529.30M,536.20M,0.23,,,
2007-06,2.000B,2.000B,875.90M,1.124B,649.20M,130.40M,,-9.00M,,,,834.10M,289.90M,,,,-9.00M,,307.40M,113.40M,194.00M,0.70M,,194.70M,199.68M,373.50M,83.60M,289.90M,,0.36,0.00,,0.3704,0.36,,0.35,0.00,,0.3602,0.35,,544.00M,556.10M,0.23,,,
2007-03,2.171B,2.189B,891.40M,1.298B,549.80M,122.20M,,-0.50M,,,,725.50M,572.40M,,,,-0.50M,,571.40M,211.30M,360.10M,28.80M,,388.90M,360.42M,649.60M,77.20M,572.40M,,0.65,0.05,,0.6506,0.70,,0.65,0.05,,0.6506,0.70,,552.10M,558.70M,0.23,,,
2006-12,1.874B,1.874B,821.50M,1.053B,514.60M,119.60M,,18.10M,,,,684.90M,367.90M,,,,18.10M,,395.50M,147.50M,248.00M,49.70M,,297.70M,236.65M,457.10M,89.20M,367.90M,,0.45,0.09,,0.4293,0.54,,0.45,0.09,,0.4296,0.54,,548.50M,555.30M,0.23,,,
2006-09,1.755B,1.755B,917.40M,837.40M,492.60M,,,90.00M,,,,542.80M,294.60M,,,,90.00M,,349.20M,130.00M,219.20M,38.30M,,257.50M,162.71M,373.90M,79.30M,294.60M,,0.40,0.07,,0.2981,0.46,,0.39,0.07,,0.2890,0.46,,554.20M,559.50M,0.185,,,
2006-06,2.107B,1.714B,1.443B,270.30M,557.30M,,,-83.20M,,,,91.20M,179.10M,,,,-83.20M,,214.80M,89.20M,125.60M,578.10M,,703.70M,175.52M,257.80M,78.70M,179.10M,,0.22,1.01,,0.3079,1.23,,0.22,1.00,,0.3071,1.22,,568.20M,573.10M,0.185,,,
2006-03,1.761B,1.927B,781.80M,1.145B,495.30M,120.50M,,23.00M,,,,658.10M,487.10M,,,,23.00M,,503.10M,188.50M,314.60M,56.00M,,370.60M,300.22M,543.00M,55.90M,487.10M,,0.54,0.10,,0.5151,0.64,,0.54,0.10,,0.5153,0.64,,577.50M,582.80M,0.185,,,
2005-12,2.030B,2.030B,947.70M,1.083B,481.00M,145.90M,,-3.10M,,,,677.90M,404.80M,,,,-3.10M,,413.80M,156.80M,257.00M,2.70M,,259.70M,258.93M,489.70M,84.90M,404.80M,,0.45,0.00,,0.4533,0.45,,0.44,0.00,,0.4433,0.45,,576.20M,582.30M,0.185,,,
2005-09,1.922B,1.922B,925.40M,996.30M,454.50M,142.00M,,-12.80M,,,,666.60M,329.70M,,,,-12.80M,,332.10M,126.00M,206.10M,13.90M,,220.00M,214.04M,431.60M,101.90M,329.70M,,0.36,0.02,,0.3738,0.38,,0.35,0.02,,0.3636,0.38,,577.30M,582.80M,0.155,,,
2005-06,1.038B,-65.93M,463.30M,-529.23M,419.00M,,,-475.80M,,,,-185.00M,-344.23M,,,,-475.80M,,42.60M,10.60M,32.00M,226.70M,,258.70M,389.41M,-217.43M,126.80M,-344.23M,,0.06,0.3912,,0.6741,-0.03,,0.05,0.3858,,0.6573,-0.03,,582.00M,588.50M,0.155,,,
2005-03,1.926B,2.215B,1.016B,1.200B,485.50M,136.50M,,165.50M,,,,691.60M,507.90M,,,,165.50M,,509.20M,190.20M,319.00M,19.40M,,338.40M,215.32M,589.82M,81.92M,507.90M,,0.55,0.03,,0.3725,0.58,,0.54,0.03,,0.3644,0.57,,584.00M,590.50M,0.155,,,
2004-12,1.902B,1.994B,915.72M,1.078B,465.36M,150.07M,,11.35M,,,,691.59M,386.27M,,,,11.35M,,397.62M,147.52M,250.10M,,,250.10M,242.96M,494.00M,107.73M,386.27M,,0.43,0.00,,0.4178,0.43,,0.42,0.00,,0.4079,0.42,,583.20M,591.10M,0.155,,,
2004-09,1.770B,1.855B,867.02M,987.66M,446.16M,148.72M,,12.58M,,,,669.30M,318.36M,,,,12.58M,,330.94M,122.78M,208.16M,,,208.16M,200.25M,426.30M,107.94M,318.36M,,0.36,0.00,,0.3464,0.36,,0.35,0.00,,0.3366,0.35,,583.55M,589.95M,0.14,,,
2004-06,1.517B,1.610B,759.79M,850.50M,416.12M,114.00M,,10.04M,,,,581.70M,268.81M,,,,10.04M,,278.85M,104.83M,174.02M,,,211.92M,167.75M,356.37M,87.56M,268.81M,,-0.03,0.0641,,-0.0406,-0.03,,-0.03,0.0633,,-0.0405,-0.03,,589.08M,597.42M,0.14,,,
2004-03,2.025B,2.121B,944.37M,1.177B,487.41M,144.82M,,12.00M,,,,709.42M,467.64M,,,,12.00M,,479.64M,179.39M,300.25M,,,300.25M,292.74M,544.83M,77.18M,467.64M,,0.51,0.00,,0.4973,0.51,,0.50,0.00,,0.4875,0.50,,591.21M,599.48M,0.14,,,
2003-12,1.745B,1.827B,810.30M,1.017B,459.29M,133.12M,,14.07M,,,,666.03M,351.07M,,,,14.07M,,365.14M,136.56M,228.58M,,,228.58M,219.77M,424.68M,73.61M,351.07M,,0.39,0.00,,0.3751,0.39,,0.38,0.00,,0.3653,0.38,,591.68M,597.62M,0.14,,,
2003-09,1.637B,1.720B,794.24M,926.04M,426.88M,131.75M,,18.59M,,,,633.36M,292.68M,,,,18.59M,,311.27M,116.42M,194.85M,,,194.85M,183.21M,367.40M,74.73M,292.68M,,0.33,0.00,,0.3104,0.33,,0.32,0.00,,0.3006,0.32,,594.84M,600.85M,0.12,,,
