,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2017-05,,3.808B,2.371B,6.179B,3.677B,3.677B,,,,5.055B,1.15B,,,16.06B,0.0,285.00M,1.564B,3.867B,,758.00M,1.484B,7.958B,-3.969B,3.989B,139.00M,283.00M,422.00M,2.787B,,7.198B,23.26B,2.048B,300.00M,280.00M,2.628B,1.08B,3.708B,,325.00M,6.00M,331.00M,,331.00M,168.00M,5.474B,3.471B,,3.471B,1.907B,1.907B,,,5.378B,10.85B,3.00M,6.907B,5.71B,,,,-213.00M,12.41B
2017-02,610.00M,4.021B,2.139B,6.16B,3.752B,3.752B,,,,4.932B,1.361B,,,16.20B,,,,,3.793B,,,3.793B,,3.793B,139.00M,283.00M,422.00M,2.732B,,6.947B,23.15B,1.938B,303.00M,265.00M,2.506B,1.156B,3.662B,,23.00M,6.00M,29.00M,,29.00M,411.00M,5.271B,3.472B,,3.472B,1.687B,1.687B,,,5.159B,10.43B,3.00M,4.095B,8.395B,,,,229.00M,12.72B
2016-11,681.00M,4.339B,1.604B,5.943B,3.478B,3.478B,,,,5.033B,1.557B,,,16.01B,,,,,3.566B,,,3.566B,,3.566B,139.00M,283.00M,422.00M,2.653B,,6.641B,22.65B,2.033B,304.00M,271.00M,2.608B,1.108B,3.716B,,20.00M,44.00M,64.00M,,64.00M,457.00M,5.225B,3.473B,,3.473B,1.631B,1.631B,,,5.104B,10.33B,3.00M,3.725B,8.196B,,,,399.00M,12.32B
2016-08,779.00M,2.659B,2.128B,4.787B,3.526B,3.526B,,,,4.896B,1.38B,,,14.59B,,,,,3.572B,,,3.572B,,3.572B,139.00M,284.00M,423.00M,2.572B,,6.567B,21.16B,2.088B,272.00M,278.00M,2.638B,1.174B,3.812B,,22.00M,44.00M,66.00M,,66.00M,331.00M,5.363B,1.993B,,1.993B,1.635B,1.635B,,,3.628B,8.991B,3.00M,4.078B,7.999B,,,,85.00M,12.16B
2016-05,774.00M,3.138B,2.319B,5.457B,3.241B,3.241B,,,,4.838B,1.489B,,,15.02B,0.0,286.00M,1.467B,3.51B,,437.00M,1.338B,7.038B,-3.518B,3.52B,131.00M,281.00M,412.00M,2.422B,,6.354B,21.38B,2.191B,271.00M,244.00M,2.706B,1.004B,3.71B,,1.00M,44.00M,45.00M,,45.00M,267.00M,5.358B,1.993B,,1.993B,1.77B,1.77B,,,3.763B,9.121B,3.00M,4.151B,7.786B,,,,318.00M,12.26B
2016-02,,3.044B,2.062B,5.106B,3.368B,3.368B,,,,4.59B,1.782B,410.00M,,15.26B,,,,,3.329B,,,3.329B,,3.329B,131.00M,281.00M,412.00M,1.99B,,5.731B,20.99B,1.714B,270.00M,207.00M,2.191B,1.089B,3.28B,,,7.00M,7.00M,,7.00M,498.00M,4.98B,2.048B,,2.048B,1.659B,1.659B,,,3.707B,8.687B,3.00M,4.113B,7.539B,,,,645.00M,12.30B
2015-11,,3.851B,2.265B,6.116B,3.437B,3.437B,,,,4.60B,2.197B,405.00M,,16.76B,,,,,3.235B,,,3.235B,,3.235B,131.00M,281.00M,412.00M,2.181B,,5.828B,22.58B,1.915B,273.00M,233.00M,2.421B,1.062B,3.483B,,99.00M,5.00M,104.00M,,104.00M,927.00M,5.511B,2.067B,,2.067B,1.60B,1.60B,,,3.667B,9.178B,3.00M,4.887B,7.408B,,,,1.107B,13.40B
2015-08,,3.246B,2.162B,5.408B,3.288B,3.288B,,,,4.414B,1.751B,377.00M,,15.24B,,,,,3.112B,,,3.112B,,3.112B,131.00M,281.00M,412.00M,2.004B,,5.528B,20.77B,1.933B,239.00M,293.00M,2.465B,1.031B,3.496B,,23.00M,106.00M,129.00M,,129.00M,586.00M,5.276B,1.079B,,1.079B,1.517B,1.517B,,,2.596B,7.872B,3.00M,5.029B,7.029B,,,,833.00M,12.89B
2015-05,,3.852B,2.072B,5.924B,3.358B,3.358B,,,,4.337B,1.968B,,,15.59B,0.0,273.00M,1.25B,3.329B,,350.00M,1.15B,6.352B,-3.341B,3.011B,131.00M,281.00M,412.00M,2.587B,,6.01B,21.60B,2.131B,240.00M,243.00M,2.614B,1.022B,3.636B,,74.00M,107.00M,181.00M,,181.00M,1.13B,6.332B,1.079B,,1.079B,1.479B,1.479B,,,2.558B,8.89B,3.00M,4.685B,6.773B,,,,1.246B,12.71B
2015-02,,3.015B,2.346B,5.361B,3.294B,3.294B,,,,4.246B,1.978B,328.00M,,15.21B,,,,,2.862B,,,2.862B,,2.862B,131.00M,281.00M,412.00M,2.06B,,5.334B,20.54B,1.821B,241.00M,270.00M,2.332B,985.00M,3.317B,,61.00M,108.00M,169.00M,,169.00M,936.00M,5.586B,1.082B,,1.082B,1.505B,1.505B,,,2.587B,8.173B,3.00M,4.737B,6.517B,,,,1.111B,12.37B
2014-11,,2.273B,2.44B,4.713B,3.457B,3.457B,,,,4.15B,1.379B,334.00M,,14.03B,,,,,2.927B,,,2.927B,,2.927B,131.00M,281.00M,412.00M,1.795B,,5.134B,19.17B,2.074B,242.00M,283.00M,2.599B,949.00M,3.548B,,93.00M,110.00M,203.00M,,203.00M,225.00M,4.937B,1.084B,,1.084B,1.446B,1.446B,,,2.53B,7.467B,3.00M,4.797B,6.375B,,,,525.00M,11.70B
2014-08,,2.303B,2.276B,4.579B,3.587B,3.587B,,,,4.03B,996.00M,348.00M,,13.54B,,,,,2.895B,,,2.895B,,2.895B,131.00M,282.00M,413.00M,1.673B,,4.981B,18.52B,1.97B,207.00M,482.00M,2.659B,943.00M,3.602B,,146.00M,6.00M,152.00M,,152.00M,61.00M,4.813B,1.195B,,1.195B,1.408B,1.408B,,,2.603B,7.416B,3.00M,4.808B,6.07B,,,,224.00M,11.10B
2014-05,,2.22B,2.922B,5.142B,3.434B,3.434B,,,,3.947B,818.00M,355.00M,,13.70B,0.0,270.00M,1.261B,3.376B,,247.00M,1.066B,6.22B,-3.386B,2.834B,131.00M,282.00M,413.00M,1.651B,,4.898B,18.59B,1.93B,209.00M,636.00M,2.775B,883.00M,3.658B,,167.00M,7.00M,174.00M,,174.00M,85.00M,5.027B,1.199B,,1.199B,1.544B,1.544B,,,2.743B,7.77B,3.00M,4.871B,5.865B,,,,85.00M,10.82B
2014-02,,1.864B,3.165B,5.029B,3.355B,3.355B,,,,3.825B,882.00M,319.00M,,13.41B,,,,,2.736B,,,2.736B,,2.736B,131.00M,386.00M,517.00M,1.14B,,4.393B,17.80B,1.48B,211.00M,233.00M,1.924B,863.00M,2.787B,,119.00M,7.00M,126.00M,,126.00M,111.00M,3.954B,1.201B,,1.201B,1.515B,1.515B,,,2.716B,6.67B,3.00M,5.374B,5.723B,,,,33.00M,11.13B
2013-11,,2.086B,3.101B,5.187B,3.208B,3.208B,,,,3.695B,1.202B,315.00M,,13.61B,,,,,2.645B,,,2.645B,,2.645B,131.00M,385.00M,516.00M,1.052B,,4.213B,17.82B,1.612B,213.00M,231.00M,2.056B,721.00M,2.777B,,180.00M,7.00M,187.00M,,187.00M,94.00M,3.851B,1.201B,,1.201B,1.424B,1.424B,,,2.625B,6.476B,3.00M,5.685B,5.566B,,,,90.00M,11.34B
2013-08,,2.936B,2.642B,5.578B,3.207B,3.207B,,,,3.472B,1.053B,308.00M,,13.62B,,,,,2.557B,,,2.557B,,2.557B,131.00M,383.00M,514.00M,985.00M,,4.056B,17.67B,1.559B,187.00M,422.00M,2.168B,662.00M,2.83B,,111.00M,57.00M,168.00M,,168.00M,45.00M,3.863B,1.207B,,1.207B,1.322B,1.322B,,,2.529B,6.392B,3.00M,5.762B,5.34B,,,,177.00M,11.28B
2013-05,,3.337B,2.628B,5.965B,3.117B,3.117B,,,,3.484B,756.00M,308.00M,,13.63B,0.0,268.00M,1.174B,2.985B,,128.00M,945.00M,5.50B,-3.048B,2.452B,131.00M,289.00M,420.00M,1.043B,,3.915B,17.54B,1.669B,188.00M,276.00M,2.133B,645.00M,2.778B,,98.00M,57.00M,155.00M,,155.00M,52.00M,3.962B,1.21B,,1.21B,1.292B,1.292B,,,2.502B,6.464B,3.00M,5.62B,5.184B,,,,274.00M,11.08B
2013-02,,2.557B,1.485B,4.042B,3.232B,3.232B,,,,3.329B,882.00M,275.00M,,11.79B,,,,,5.37B,,,5.37B,-3.11B,2.26B,131.00M,376.00M,507.00M,1.059B,,3.826B,15.62B,1.241B,188.00M,359.00M,1.788B,582.00M,2.37B,,103.00M,57.00M,160.00M,,160.00M,124.00M,3.50B,161.00M,,161.00M,1.287B,1.287B,,,1.448B,4.948B,3.00M,5.456B,4.977B,,,,231.00M,10.67B
2012-11,,2.291B,1.234B,3.525B,3.188B,3.188B,,,,3.318B,733.00M,327.00M,,11.44B,,,,,,,,5.31B,-3.052B,2.258B,131.00M,374.00M,505.00M,973.00M,,3.736B,15.17B,1.519B,188.00M,283.00M,1.99B,656.00M,2.646B,,100.00M,58.00M,158.00M,,158.00M,281.00M,3.799B,170.00M,,170.00M,1.188B,1.188B,0.00,,1.358B,5.157B,3.00M,5.029B,4.844B,,,,138.00M,10.01B
2012-08,,2.165B,1.102B,3.267B,3.431B,3.431B,,,,3.411B,745.00M,282.00M,,11.14B,,,,,,,,5.359B,-3.068B,2.291B,202.00M,536.00M,738.00M,949.00M,,3.978B,15.11B,1.551B,162.00M,113.00M,1.826B,1.073B,2.899B,,129.00M,9.00M,138.00M,,138.00M,,3.776B,226.00M,,226.00M,1.065B,1.065B,0.00,,1.291B,5.067B,3.00M,5.215B,4.718B,,,,111.00M,10.05B
2012-05,,2.317B,1.44B,3.757B,3.132B,3.132B,,,,3.222B,857.00M,262.00M,,11.84B,0.0,252.00M,1.158B,2.654B,,110.00M,883.00M,5.057B,-2.848B,2.209B,131.00M,370.00M,501.00M,910.00M,,3.62B,15.46B,1.549B,165.00M,234.00M,1.948B,573.00M,2.521B,,108.00M,49.00M,157.00M,,157.00M,225.00M,3.882B,228.00M,,228.00M,974.00M,974.00M,,,1.202B,5.084B,3.00M,5.588B,4.641B,,,,149.00M,10.38B
2012-02,,2.021B,1.176B,3.197B,3.296B,3.296B,,,3.356B,3.356B,772.00M,311.00M,,10.93B,,,,,,,,5.172B,-2.967B,2.205B,202.00M,534.00M,736.00M,921.00M,,3.862B,14.79B,1.298B,,59.00M,1.357B,1.913B,3.27B,,91.00M,49.00M,140.00M,,140.00M,,3.41B,229.00M,,229.00M,979.00M,979.00M,0.00,,1.208B,4.618B,3.00M,5.447B,4.483B,,,,243.00M,10.18B
2011-11,,1.929B,1.436B,3.365B,3.103B,3.103B,,,,3.164B,795.00M,298.00M,,10.72B,,,,,,,,5.064B,-2.887B,2.177B,201.00M,532.00M,733.00M,930.00M,,3.84B,14.56B,1.411B,165.00M,272.00M,1.848B,642.00M,2.49B,,123.00M,114.00M,237.00M,,237.00M,45.00M,3.563B,234.00M,,234.00M,925.00M,925.00M,0.00,,1.159B,4.722B,3.00M,5.29B,4.335B,,,,215.00M,9.843B
2011-08,,1.608B,2.092B,3.70B,3.279B,3.279B,,,,3.107B,638.00M,315.00M,,11.04B,,,,,,,,5.034B,-2.868B,2.166B,204.00M,536.00M,740.00M,858.00M,,3.764B,14.80B,1.421B,144.00M,362.00M,1.927B,1.107B,3.034B,,164.00M,116.00M,280.00M,,280.00M,,3.76B,238.00M,,238.00M,906.00M,906.00M,0.00,,1.144B,4.904B,3.00M,5.653B,4.138B,,,,105.00M,9.899B
2011-05,,1.955B,2.583B,4.538B,3.138B,3.138B,,,2.715B,2.715B,594.00M,312.00M,,11.30B,0.0,237.00M,1.124B,2.487B,,127.00M,931.00M,4.906B,-2.791B,2.115B,205.00M,487.00M,692.00M,894.00M,,3.701B,15.00B,1.469B,,117.00M,1.586B,1.985B,3.571B,,187.00M,200.00M,387.00M,,387.00M,,3.958B,276.00M,,276.00M,921.00M,921.00M,,,1.197B,5.155B,3.00M,5.801B,3.944B,,,,95.00M,9.843B
2010-11,,1.768B,3.021B,4.789B,2.792B,2.792B,,,,2.348B,720.00M,267.00M,,10.92B,,,,,,,,4.641B,-2.638B,2.003B,192.00M,469.00M,661.00M,884.00M,,3.548B,14.46B,1.225B,,78.00M,1.303B,1.685B,2.988B,,128.00M,132.00M,260.00M,,260.00M,,3.248B,338.00M,,338.00M,929.00M,929.00M,,,1.267B,4.515B,3.00M,6.043B,3.752B,,,,151.00M,9.949B
2010-08,,2.01B,2.678B,4.688B,2.791B,2.791B,,,,2.21B,583.00M,259.00M,,10.53B,,,,,,,,4.535B,-2.56B,1.975B,192.00M,470.00M,662.00M,883.00M,,3.52B,14.05B,1.101B,129.00M,323.00M,1.553B,616.00M,2.169B,,109.00M,132.00M,241.00M,,241.00M,104.00M,3.142B,342.00M,,342.00M,907.00M,907.00M,,,1.249B,4.391B,3.00M,6.011B,3.508B,,,,138.00M,9.66B
2010-05,,3.079B,2.067B,5.146B,2.650B,2.650B,,,2.041B,2.041B,873.90M,248.80M,,10.96B,0.0,222.80M,951.90M,2.218B,,177.00M,820.60M,4.390B,-2.458B,1.932B,187.60M,467.00M,654.60M,873.60M,,3.460B,14.42B,1.254B,130.70M,59.30M,1.444B,1.175B,2.619B,,138.60M,7.40M,146.00M,,146.00M,,3.364B,445.80M,,445.80M,855.30M,855.30M,0.30M,,1.301B,4.666B,2.80M,6.096B,3.441B,,,,214.80M,9.754B
2010-02,,2.225B,1.814B,4.039B,2.834B,2.834B,,,,2.150B,843.30M,221.70M,,10.09B,,,,,,,,4.437B,-2.475B,1.963B,190.70M,468.00M,658.70M,867.00M,,3.488B,13.58B,994.70M,,88.00M,1.083B,1.648B,2.730B,,108.80M,7.50M,116.30M,,116.30M,,2.847B,451.90M,,451.90M,848.50M,848.50M,0.30M,,1.301B,4.147B,2.80M,5.919B,3.273B,,,,234.40M,9.429B
2009-11,,2.035B,1.975B,4.01B,2.716B,2.716B,,,,2.176B,642.80M,220.00M,,9.766B,,,,,,,,4.502B,-2.479B,2.024B,196.20M,472.50M,668.70M,900.20M,,3.593B,13.36B,1.009B,,81.20M,1.090B,1.598B,2.688B,,103.10M,7.60M,110.70M,,110.70M,,2.798B,459.60M,,459.60M,876.10M,876.10M,0.30M,0.30M,1.336B,4.135B,2.80M,5.879B,3.186B,,,,156.00M,9.224B
2009-08,,2.261B,1.369B,3.630B,2.835B,2.835B,,,,2.288B,639.30M,214.10M,,9.607B,,,,,,,,4.374B,-2.393B,1.981B,194.90M,471.20M,666.10M,936.80M,,3.584B,13.19B,961.90M,,145.70M,1.108B,1.643B,2.751B,,94.70M,7.10M,101.80M,,101.80M,,2.853B,443.20M,,443.20M,803.60M,803.60M,0.30M,0.30M,1.247B,4.100B,2.80M,5.828B,3.016B,,,,244.30M,9.090B
2009-05,,2.291B,1.164B,3.455B,2.884B,2.884B,,,2.357B,2.357B,765.60M,272.40M,,9.734B,0.0,221.60M,974.00M,2.094B,,163.80M,802.00M,4.256B,-2.298B,1.958B,193.50M,467.40M,660.90M,897.00M,,3.516B,13.25B,1.032B,121.40M,86.30M,1.240B,1.171B,2.410B,,342.90M,32.00M,374.90M,,374.90M,,3.277B,437.20M,,437.20M,842.00M,842.00M,0.30M,,1.280B,4.556B,2.80M,5.451B,2.871B,,,,367.50M,8.693B
2009-02,,1.892B,712.10M,2.604B,2.892B,2.892B,,,,2.467B,970.90M,64.50M,,8.999B,,,,,,,,4.151B,-2.257B,1.894B,187.20M,460.70M,647.90M,715.30M,,3.257B,12.26B,952.00M,,,952.00M,1.431B,2.383B,,331.10M,32.00M,363.10M,,363.10M,112.40M,2.858B,437.80M,,437.80M,748.60M,748.60M,0.30M,,1.187B,4.045B,2.80M,5.232B,2.785B,,,,191.30M,8.211B
2008-11,,1.722B,1.008B,2.730B,2.737B,2.737B,,,,2.419B,947.90M,89.70M,,8.923B,,,,,,,,4.109B,-2.208B,1.901B,376.80M,650.20M,1.027B,783.40M,,3.711B,12.63B,1.124B,,,1.124B,1.500B,2.624B,,316.00M,32.40M,348.40M,,348.40M,117.40M,3.090B,445.50M,,445.50M,983.10M,983.10M,0.30M,,1.429B,4.518B,2.80M,5.109B,2.752B,,,,252.80M,8.116B
2008-08,,1.626B,966.10M,2.592B,3.035B,3.035B,,,,2.454B,687.80M,175.80M,,8.945B,,,,,,,,4.111B,-2.236B,1.875B,425.10M,712.40M,1.138B,637.90M,,3.650B,12.59B,1.206B,,,1.206B,1.640B,2.846B,,220.10M,31.50M,251.60M,,251.60M,214.30M,3.312B,407.30M,,407.30M,843.00M,843.00M,0.30M,,1.251B,4.562B,2.80M,5.046B,2.623B,,,,361.00M,8.033B
2008-05,,2.134B,642.20M,2.776B,2.795B,2.795B,,,,2.438B,602.30M,227.20M,,8.839B,0.0,209.40M,1.692B,2.005B,,196.70M,,4.103B,-2.212B,1.891B,448.80M,743.10M,1.192B,520.40M,,3.603B,12.44B,1.288B,,,1.288B,1.762B,3.050B,,177.70M,6.30M,184.00M,,184.00M,88.00M,3.322B,441.10M,,441.10M,854.50M,854.50M,0.30M,,1.296B,4.617B,2.80M,5.073B,2.498B,,356.40M,-105.00M,251.40M,7.825B
2008-02,,2.242B,684.20M,2.927B,2.776B,2.776B,,,,2.391B,566.70M,245.00M,,8.905B,,,,,,,,4.010B,-2.190B,1.82B,130.80M,384.40M,515.20M,548.30M,,2.884B,11.79B,1.005B,,,1.005B,1.630B,2.635B,,205.60M,6.30M,211.90M,,211.90M,96.40M,2.943B,446.70M,,446.70M,784.80M,784.80M,0.30M,,1.232B,4.175B,2.80M,4.983B,2.351B,,,,277.00M,7.613B
2007-11,,2.470B,601.00M,3.072B,2.617B,2.617B,,,2.224B,2.224B,521.20M,253.90M,,8.687B,,,,,,,,3.908B,-2.120B,1.788B,130.80M,409.70M,540.50M,438.60M,,2.767B,11.45B,1.054B,,,1.054B,1.501B,2.555B,,119.50M,6.10M,125.60M,,125.60M,108.40M,2.789B,436.30M,,436.30M,736.90M,736.90M,0.30M,,1.174B,3.962B,2.80M,4.973B,2.288B,,,,229.00M,7.492B
