,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2009-11,4.405B,4.405B,2.445B,1.96B,,,1.479B,12.00M,2.00M,-2.00M,1.479B,481.00M,2.00M,-2.00M,12.00M,-2.00M,491.00M,116.00M,375.00M,,,375.00M,365.84M,587.00M,94.00M,493.00M,0.1925,0.0,,0.1878,0.1925,0.19,0.0,,0.1854,0.19,1.949B,1.978B,0.0675
2009-08,4.799B,4.799B,2.583B,2.216B,,,1.546B,12.00M,,-1.00M,1.546B,670.00M,,-1.00M,12.00M,-1.00M,681.00M,168.00M,513.00M,,,513.00M,503.96M,751.00M,81.00M,670.00M,0.265,0.0,,0.2603,0.265,0.26,0.0,,0.2554,0.26,1.943B,1.966B,0.0625
2009-05,4.713B,4.713B,2.669B,2.044B,,,1.394B,-160.60M,,-2.60M,1.394B,649.50M,,-2.60M,-160.60M,-2.60M,486.30M,144.90M,341.40M,,,341.40M,454.15M,778.00M,128.50M,649.50M,0.1775,0.0,,0.2357,0.1775,0.175,0.0,,0.2326,0.175,1.938B,1.957B,0.0625
2009-02,4.441B,4.441B,2.492B,1.948B,,,1.352B,-358.00M,,-3.00M,1.352B,596.40M,,-3.00M,-358.00M,-3.00M,235.40M,-8.40M,243.80M,,,243.80M,476.50M,676.30M,79.90M,596.40M,0.125,0.0,,0.2452,0.125,0.125,0.0,,0.2442,0.125,1.936B,1.952B,0.0625
2008-11,4.590B,4.590B,2.540B,2.05B,,,1.547B,12.40M,,5.00M,1.547B,503.20M,,5.00M,12.40M,5.00M,520.60M,129.60M,391.00M,,,391.00M,381.69M,592.80M,89.60M,503.20M,0.2025,0.0,,0.1977,0.2025,0.2,0.0,,0.1952,0.2,1.935B,1.959B,0.0625
2008-08,5.432B,5.432B,2.870B,2.562B,,,1.856B,-1.60M,,,1.856B,705.70M,,,-1.60M,,714.20M,203.70M,510.50M,,,510.50M,511.64M,791.00M,85.30M,705.70M,0.2625,0.0,,0.2631,0.2625,0.2575,0.0,,0.2581,0.2575,1.949B,1.980B,0.0575
2008-05,5.088B,5.088B,2.757B,2.331B,,,1.686B,-7.50M,,,1.686B,645.10M,,,-7.50M,,648.30M,157.80M,490.50M,,,490.50M,496.17M,717.70M,72.60M,645.10M,0.25,0.0,,0.2529,0.25,0.245,0.0,,0.2478,0.245,1.960B,2.010B,0.0575
2008-02,4.544B,4.544B,2.496B,2.048B,,,1.403B,5.30M,,,1.403B,644.70M,,,5.30M,,668.70M,204.90M,463.80M,,,463.80M,460.12M,736.20M,91.50M,644.70M,0.235,0.0,,0.2331,0.235,0.23,0.0,,0.2282,0.23,1.974B,2.017B,0.0575
2007-11,4.340B,4.340B,2.418B,1.921B,,,1.430B,0.90M,,,1.430B,491.60M,,,0.90M,,515.60M,156.20M,359.40M,,,359.40M,358.77M,577.40M,85.80M,491.60M,0.18,0.0,,0.1797,0.18,0.1775,0.0,,0.1772,0.1775,1.997B,2.025B,0.0575
2007-08,4.655B,4.655B,2.568B,2.087B,,,1.435B,-6.60M,,,1.435B,652.30M,,,-6.60M,,670.30M,100.60M,569.70M,,,569.70M,575.31M,723.90M,71.60M,652.30M,0.285,0.0,,0.2878,0.285,0.28,0.0,,0.2828,0.28,1.999B,2.035B,0.0462
2007-05,4.383B,4.383B,2.464B,1.919B,,,1.272B,-12.40M,,,1.272B,647.00M,,,-12.40M,,658.80M,220.90M,437.90M,,,437.90M,446.14M,728.00M,81.00M,647.00M,0.4788,0.0,,0.4828,0.4788,0.4738,0.0,,0.4778,0.4738,2.017B,2.033B,0.0462
2007-02,3.927B,3.927B,2.192B,1.735B,,,1.243B,10.30M,,,1.243B,491.90M,,,10.30M,,518.00M,167.20M,350.80M,,,350.80M,343.82M,538.80M,46.90M,491.90M,0.0862,0.0,,0.0828,0.0862,0.085,0.0,,0.0816,0.085,2.015B,2.037B,0.0462
2006-11,3.822B,3.822B,2.165B,1.657B,,,1.224B,-0.20M,,,1.224B,433.40M,,,-0.20M,,447.30M,121.70M,325.60M,,,325.60M,325.75M,501.70M,68.30M,433.40M,0.0812,0.0,,0.0813,0.0812,0.08,0.0,,0.0801,0.08,2.025B,2.053B,0.0462
2006-08,4.194B,4.194B,2.345B,1.849B,,,1.290B,3.20M,,,1.290B,559.50M,,,3.20M,,575.80M,198.60M,377.20M,,,377.20M,375.10M,633.50M,74.00M,559.50M,0.0938,0.0,,0.0927,0.0938,0.0925,0.0,,0.0915,0.0925,2.006B,2.006B,0.0775
2006-05,4.005B,4.005B,2.252B,1.753B,,,1.232B,-26.40M,,,1.232B,521.30M,,,-26.40M,,511.20M,178.40M,332.80M,,,332.80M,349.99M,578.50M,57.20M,521.30M,0.0812,0.0,,0.0896,0.0812,0.08,0.0,,0.0881,0.08,2.066B,2.119B,0.0388
2006-02,3.613B,3.613B,2.039B,1.574B,,,1.087B,10.70M,,,1.087B,487.50M,,,10.70M,,506.60M,180.80M,325.80M,,,325.80M,318.92M,578.10M,90.60M,487.50M,0.0788,0.0,,0.0754,0.0788,0.0775,0.0,,0.0743,0.0775,2.081B,2.118B,0.0388
2005-11,3.475B,3.475B,1.963B,1.511B,,,1.055B,1.40M,,,1.055B,456.70M,,,1.40M,,463.80M,162.70M,301.10M,,,301.10M,300.19M,530.20M,73.50M,456.70M,0.145,0.0,,0.1446,0.145,0.1425,0.0,,0.1421,0.1425,2.077B,2.113B,0.0312
2005-08,3.862B,3.862B,2.114B,1.748B,,,1.104B,9.90M,,,1.104B,643.70M,,,9.90M,,660.00M,227.70M,432.30M,,,432.30M,425.82M,713.30M,69.60M,643.70M,0.2075,0.0,,0.2044,0.2075,0.2012,0.0,,0.1982,0.2012,2.083B,2.148B,0.0312
2005-05,3.721B,3.721B,2.039B,1.683B,,,1.139B,-9.20M,,,1.139B,543.50M,,,-9.20M,,537.90M,188.40M,349.50M,,,349.50M,355.48M,611.80M,68.30M,543.50M,0.1662,0.0,,0.1691,0.1662,0.1625,0.0,,0.1653,0.1625,2.102B,2.148B,0.0312
2005-02,3.308B,3.308B,1.849B,1.459B,,,1.036B,-9.80M,,,1.036B,423.10M,,,-9.80M,,413.40M,140.00M,273.40M,,,273.40M,279.88M,505.10M,82.00M,423.10M,0.13,0.0,,0.1331,0.13,0.1262,0.0,,0.1292,0.1262,2.103B,2.166B,0.0312
2004-11,3.148B,3.148B,1.760B,1.388B,,,973.20M,-8.20M,,,973.20M,414.90M,,,-8.20M,,403.00M,141.10M,261.90M,,,261.90M,267.23M,490.70M,75.80M,414.90M,0.1238,0.0,,0.1263,0.1238,0.1212,0.0,,0.1237,0.1212,2.116B,2.16B,0.025
2004-08,3.562B,3.562B,1.976B,1.586B,,,1.074B,-1.90M,,,1.074B,512.20M,,,-1.90M,,505.50M,178.70M,326.80M,,,326.80M,328.03M,573.80M,61.60M,512.20M,0.155,0.0,,0.1556,0.155,0.1512,0.0,,0.1518,0.1512,2.108B,2.161B,0.025
2004-05,3.487B,3.487B,1.958B,1.529B,,,1.038B,-19.40M,,,1.038B,490.80M,,,-19.40M,,467.50M,162.50M,305.00M,,,305.00M,317.66M,565.50M,74.70M,490.80M,0.145,0.0,,0.151,0.145,0.1412,0.0,,0.1471,0.1412,2.102B,2.161B,0.025
2004-02,2.904B,2.904B,1.682B,1.222B,,,892.00M,-17.20M,,,892.00M,329.90M,,,-17.20M,,307.20M,106.90M,200.30M,,,200.30M,211.51M,410.30M,80.40M,329.90M,0.095,0.0,,0.1003,0.095,0.0925,0.0,,0.0977,0.0925,2.108B,2.165B,0.025
2003-11,2.837B,2.837B,1.638B,1.200B,,,902.50M,-14.30M,,,902.50M,297.10M,,,-14.30M,,274.70M,95.60M,179.10M,,,179.10M,188.42M,383.70M,86.60M,297.10M,0.085,0.0,,0.0894,0.085,0.0825,0.0,,0.0868,0.0825,2.107B,2.171B,0.0175
2003-08,3.025B,3.025B,1.723B,1.302B,,,869.60M,-23.80M,,,869.60M,431.90M,,,-23.80M,,400.60M,139.40M,261.20M,,,261.20M,276.72M,503.70M,71.80M,431.90M,0.1238,0.0,,0.1311,0.1238,0.1225,0.0,,0.1298,0.1225,2.111B,2.132B,0.0175
2003-05,2.985B,2.985B,1.745B,1.240B,,,842.50M,-29.20M,,,842.50M,397.70M,,,-29.20M,,371.90M,125.70M,246.20M,,0.00,246.20M,265.53M,474.30M,76.60M,397.70M,-0.01,0.1262,0.0,-0.0008,0.1162,-0.01,0.1262,-0.0002,-0.0009,0.115,2.107B,2.131B,0.0175
2003-02,2.401B,2.401B,1.425B,976.00M,,,753.90M,-23.90M,,,753.90M,222.10M,,,-23.90M,,187.40M,62.70M,124.70M,,,124.70M,140.60M,286.10M,64.00M,222.10M,0.0588,0.0,,0.0662,0.0588,0.0588,0.0,,0.0662,0.0588,2.123B,2.123B,0.0175
2002-11,2.515B,2.515B,1.505B,1.010B,,,758.70M,-10.90M,,,758.70M,251.40M,,,-10.90M,,229.60M,77.60M,152.00M,,,152.00M,159.22M,314.80M,63.40M,251.40M,0.0712,0.0,,0.0746,0.0712,0.0712,0.0,,0.0746,0.0712,2.133B,2.133B,0.015
2002-08,2.796B,2.796B,1.639B,1.157B,,,799.00M,-13.50M,,,799.00M,358.10M,,,-13.50M,,334.10M,116.90M,217.20M,,-266.10M,-48.90M,225.98M,416.60M,58.50M,358.10M,0.1025,-0.125,0.0,0.1065,-0.0225,0.1012,-0.125,-0.1224,0.1053,-0.0225,2.173B,2.173B,0.015
2002-05,2.682B,2.682B,1.602B,1.080B,,,779.40M,10.60M,,,779.40M,301.10M,,,10.60M,,315.10M,106.70M,208.40M,,0.00,208.40M,201.39M,382.50M,81.40M,301.10M,0.0979,,0.0,0.0946,0.0979,0.0979,,0.0,0.0946,0.0979,2.129B,2.129B,0.015
2002-02,2.260B,2.260B,1.377B,883.50M,,,682.50M,0.10M,,,682.50M,201.00M,,,0.10M,,189.00M,62.70M,126.30M,,,126.30M,126.23M,251.50M,50.50M,201.00M,0.0294,0.0,,0.0294,0.0294,0.0288,0.0,,0.0287,0.0288,4.374B,4.374B,0.015
2001-11,2.337B,2.337B,1.441B,895.40M,,,677.70M,-6.50M,,,677.70M,217.70M,,,-6.50M,,198.90M,69.60M,129.30M,,,129.30M,133.53M,294.30M,76.60M,217.70M,0.06,0.0,,0.062,0.06,0.06,0.0,,0.062,0.06,2.155B,2.155B,0.015
2001-08,2.614B,2.614B,1.585B,1.029B,,,696.20M,-5.50M,,,696.20M,332.70M,,,-5.50M,,314.20M,110.00M,204.20M,,-5.00M,199.20M,207.77M,395.80M,63.10M,332.70M,0.0475,-0.0012,0.0,0.0483,0.0462,0.0469,-0.0012,-0.0012,0.0477,0.0456,4.298B,4.346B,0.015
2001-05,2.483B,2.483B,1.547B,936.50M,,,655.30M,-14.40M,,,655.30M,281.20M,,,-14.40M,,254.20M,91.50M,162.70M,,,162.70M,171.92M,328.30M,47.10M,281.20M,0.075,0.0,,0.0792,0.075,0.075,0.0,,0.0792,0.075,2.170B,2.170B,0.015
2001-02,2.170B,2.170B,1.342B,828.60M,,,660.20M,-6.20M,,,660.20M,168.40M,,,-6.20M,,148.20M,50.80M,97.40M,,,97.40M,101.47M,228.10M,59.70M,168.40M,0.045,0.0,,0.0469,0.045,0.0438,0.0,,0.0456,0.0438,2.164B,2.226B,0.015
2000-11,2.199B,2.199B,1.327B,871.40M,,,673.10M,6.40M,,,673.10M,198.30M,,,6.40M,,188.00M,68.60M,119.40M,,,119.40M,115.34M,253.20M,54.90M,198.30M,0.055,0.0,,0.0531,0.055,0.055,0.0,,0.0531,0.055,2.171B,2.171B,0.015
