,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-12,486.00M,0.00,,-158.00M,558.00M,558.00M,-662.00M,,47.00M,365.00M,603.00M,175.00M,-293.00M,-179.00M,,,1.885B,,2.521B,,-890.00M,,,-90.00M,-2.00M,-584.00M,115.00M,-1.361B,,893.00M,-671.00M,222.00M,,-23.00M,-23.00M,-533.00M,-533.00M,6.00M,-372.00M,-700.00M,,8.523B,460.00M,2.00M,8.985B,,,510.00M,-17.00M,-23.00M,,AOR,Restated
2017-09,1.434B,0.00,,0.00,543.00M,543.00M,222.00M,,49.00M,-2.473B,-100.00M,-183.00M,428.00M,51.00M,,,196.00M,,-29.00M,,-538.00M,,,-95.00M,-10.00M,-174.00M,54.00M,-668.00M,,55.00M,368.00M,423.00M,,-60.00M,-60.00M,-533.00M,-533.00M,3.00M,-74.00M,-241.00M,,9.345B,-938.00M,113.00M,8.523B,,,399.00M,24.00M,-60.00M,,AOR,Restated
2017-06,1.532B,0.00,,0.00,527.00M,527.00M,393.00M,,49.00M,-276.00M,-683.00M,-412.00M,968.00M,48.00M,,,-79.00M,,2.146B,,-540.00M,,,-94.00M,-49.00M,-274.00M,12.00M,-851.00M,,2.429B,-535.00M,1.894B,,-437.00M,-437.00M,-503.00M,-503.00M,11.00M,-88.00M,877.00M,,7.156B,2.172B,26.00M,9.345B,,,3.466B,-1.572B,-437.00M,,AOR,Restated
2017-03,1.468B,,,,512.00M,512.00M,109.00M,,47.00M,-668.00M,-268.00M,-654.00M,468.00M,-21.00M,,,-475.00M,,993.00M,,-426.00M,,,-101.00M,496.00M,-260.00M,51.00M,-139.00M,,-27.00M,567.00M,540.00M,,-933.00M,-933.00M,-505.00M,-505.00M,11.00M,-42.00M,-929.00M,,7.189B,-75.00M,69.00M,7.156B,,,579.00M,-39.00M,-933.00M,,AOR,Restated
2016-12,1.124B,,,,506.00M,506.00M,125.00M,,40.00M,512.00M,-305.00M,91.00M,-324.00M,76.00M,,,-462.00M,-46.00M,1.799B,,-743.00M,,,-87.00M,-112.00M,185.00M,60.00M,-610.00M,,1.736B,-268.00M,1.468B,,-1.726B,-1.726B,-508.00M,-508.00M,7.00M,-226.00M,-985.00M,,7.107B,204.00M,-148.00M,7.157B,,,3.987B,-2.519B,-1.726B,,AOR,Restated
2016-09,1.534B,,,,496.00M,496.00M,53.00M,,16.00M,-35.00M,43.00M,-344.00M,202.00M,-4.00M,,,-103.00M,-23.00M,1.938B,,-496.00M,,,-102.00M,101.00M,-188.00M,64.00M,-519.00M,,-41.00M,115.00M,74.00M,,-492.00M,-492.00M,-526.00M,-526.00M,1.00M,-174.00M,-1.117B,,6.785B,302.00M,18.00M,7.107B,,,16.00M,58.00M,-492.00M,,AOR,Restated
2016-06,1.525B,,,,494.00M,494.00M,75.00M,,48.00M,-369.00M,-569.00M,-156.00M,702.00M,58.00M,,,35.00M,-236.00M,1.572B,,-464.00M,,,-101.00M,-425.00M,-24.00M,26.00M,-881.00M,,-2.00M,-484.00M,-486.00M,,-36.00M,-36.00M,-526.00M,-526.00M,3.00M,-71.00M,-1.116B,,7.215B,-425.00M,-7.00M,6.785B,,,-164.00M,-322.00M,-36.00M,,AOR,Restated
2016-03,1.253B,,,,466.00M,466.00M,145.00M,,48.00M,-483.00M,-110.00M,-310.00M,-130.00M,-81.00M,,,-631.00M,-2.227B,-1.429B,,-384.00M,,,-98.00M,-63.00M,55.00M,-101.00M,-493.00M,,2.324B,306.00M,2.63B,,0.00,0.00,-509.00M,-509.00M,2.00M,-93.00M,2.03B,,7.12B,108.00M,17.00M,7.215B,,,2.63B,0.00,0.00,,AOR,Restated
2015-12,-177.00M,,,,462.00M,462.00M,218.00M,,50.00M,1.239B,-8.00M,304.00M,578.00M,45.00M,,,919.00M,-73.00M,2.638B,,-714.00M,,,-106.00M,-181.00M,-106.00M,-377.00M,7.688B,,-24.00M,-2.096B,-2.12B,0.00,-6.00B,-6.00B,-541.00M,-541.00M,2.00M,-256.00M,-8.923B,,5.477B,1.403B,-31.00M,7.075B,,0.00,-356.00M,-1.764B,-6.00B,,AOR,Restated
2015-09,1.526B,,,,486.00M,486.00M,109.00M,,16.00M,-150.00M,-12.00M,-497.00M,-507.00M,51.00M,,,-965.00M,-125.00M,897.00M,,-474.00M,,,-84.00M,-67.00M,-300.00M,-79.00M,-926.00M,,2.00M,246.00M,248.00M,1.10B,-1.00B,100.00M,-547.00M,-547.00M,13.00M,-134.00M,-316.00M,,5.818B,-345.00M,-95.00M,5.477B,,1.10B,248.00M,0.00,-1.00B,,AOR,Restated
2015-06,1.572B,,,,457.00M,457.00M,182.00M,,46.00M,-431.00M,-61.00M,-115.00M,-118.00M,-156.00M,,,-450.00M,162.00M,1.538B,,-446.00M,,,-115.00M,-18.00M,-236.00M,-2.00M,-729.00M,,-7.00M,468.00M,461.00M,,0.00,0.00,-543.00M,-543.00M,2.00M,-78.00M,-162.00M,,5.281B,647.00M,5.00M,5.818B,,,461.00M,0.00,0.00,,AOR,Restated
2015-03,1.435B,,,,458.00M,458.00M,153.00M,,46.00M,-173.00M,-357.00M,-458.00M,537.00M,5.00M,,,-273.00M,-336.00M,1.31B,,-455.00M,,,-132.00M,-72.00M,555.00M,178.00M,173.00M,,9.00M,2.177B,2.186B,,-3.00B,-3.00B,-553.00M,-553.00M,24.00M,-40.00M,-1.384B,,5.235B,99.00M,-53.00M,5.281B,,,2.186B,,-3.00B,,AOR,Restated
2014-12,1.38B,,,,468.00M,468.00M,172.00M,,32.00M,-235.00M,63.00M,207.00M,-132.00M,2.00M,,,140.00M,339.00M,2.296B,,-665.00M,,,-134.00M,76.00M,-3.00M,17.00M,-603.00M,,15.00M,-209.00M,-194.00M,0.00,-405.00M,-405.00M,-510.00M,-510.00M,56.00M,-123.00M,-1.188B,,5.035B,505.00M,-97.00M,5.229B,,0.00,98.00M,-292.00M,-405.00M,,AOR,Restated
2014-09,1.992B,,,,417.00M,417.00M,195.00M,,69.00M,-858.00M,360.00M,-52.00M,-108.00M,-70.00M,,,130.00M,3.00M,1.948B,,-475.00M,,,-151.00M,-206.00M,115.00M,47.00M,-604.00M,,-48.00M,-156.00M,-204.00M,0.00,-425.00M,-425.00M,-512.00M,-512.00M,18.00M,-107.00M,-1.23B,,4.962B,114.00M,-41.00M,5.035B,,0.00,-19.00M,-185.00M,-425.00M,,AOR,Restated
2014-06,1.79B,,,,468.00M,468.00M,-8.00M,,58.00M,-88.00M,-246.00M,-79.00M,-111.00M,-42.00M,,,-478.00M,,1.742B,,-572.00M,,,-166.00M,-34.00M,211.00M,-36.00M,-431.00M,,-179.00M,219.00M,40.00M,,-335.00M,-335.00M,-512.00M,-512.00M,27.00M,-68.00M,-848.00M,,4.477B,463.00M,22.00M,4.962B,,,13.00M,27.00M,-335.00M,,AOR,Restated
2014-03,1.306B,,,,467.00M,467.00M,44.00M,,60.00M,-21.00M,-66.00M,-712.00M,262.00M,-5.00M,,,-521.00M,,1.335B,,-475.00M,,,-142.00M,106.00M,-101.00M,28.00M,-442.00M,,6.00M,-200.00M,-194.00M,,-335.00M,-335.00M,-514.00M,-514.00M,86.00M,-38.00M,-995.00M,,4.619B,-102.00M,-40.00M,4.477B,,,6.00M,-200.00M,-335.00M,,AOR,Restated
2013-12,1.132B,,,,400.00M,400.00M,255.00M,,34.00M,-16.00M,-278.00M,996.00M,-54.00M,-46.00M,,,618.00M,166.00M,2.589B,,-697.00M,,,-175.00M,64.00M,-336.00M,245.00M,-865.00M,,-980.00M,91.00M,-889.00M,,-200.00M,-200.00M,-513.00M,-513.00M,42.00M,-145.00M,-1.714B,,4.621B,10.00M,-12.00M,4.619B,,,89.00M,-978.00M,-200.00M,,AOR,Restated
2013-09,1.526B,,,,452.00M,452.00M,3.00M,,83.00M,-321.00M,84.00M,-487.00M,153.00M,50.00M,,,-200.00M,91.00M,1.634B,,-630.00M,,,-247.00M,112.00M,-94.00M,-95.00M,-707.00M,,-571.00M,98.00M,-473.00M,,-330.00M,-330.00M,-465.00M,-465.00M,114.00M,-85.00M,-1.239B,,4.909B,-312.00M,24.00M,4.621B,,,,-473.00M,-330.00M,,AOR,Restated
2013-06,1.645B,,,,439.00M,439.00M,50.00M,,63.00M,-192.00M,-491.00M,-228.00M,529.00M,124.00M,,,-66.00M,21.00M,1.96B,,-512.00M,,,-143.00M,511.00M,-58.00M,-172.00M,171.00M,,-1.178B,27.00M,-1.151B,,-335.00M,-335.00M,-465.00M,-465.00M,69.00M,-86.00M,-1.968B,,4.781B,163.00M,-35.00M,4.909B,,,0.00,-1.151B,-335.00M,,AOR,Restated
2013-03,1.352B,,,,444.00M,444.00M,-40.00M,,70.00M,-219.00M,209.00M,-746.00M,395.00M,-56.00M,,,-198.00M,-715.00M,694.00M,,-452.00M,,,-157.00M,722.00M,31.00M,38.00M,288.00M,,-46.00M,-329.00M,-375.00M,,-335.00M,-335.00M,-465.00M,-465.00M,153.00M,3.00M,-1.019B,,4.836B,-37.00M,-18.00M,4.781B,,,0.00,-375.00M,-335.00M,,AOR,Restated
2012-12,1.037B,,,,477.00M,477.00M,91.00M,,60.00M,37.00M,-571.00M,623.00M,103.00M,97.00M,,,252.00M,19.00M,1.973B,,-790.00M,,,-149.00M,45.00M,-26.00M,-29.00M,2.526B,,-741.00M,-4.723B,-5.464B,,0.00,0.00,-464.00M,-464.00M,62.00M,-99.00M,-5.965B,,6.297B,-1.466B,5.00M,4.836B,,,-4.408B,-1.056B,0.00,,AOR,Restated
2012-09,1.341B,,,,422.00M,422.00M,18.00M,,54.00M,-162.00M,144.00M,-113.00M,-36.00M,-43.00M,,,-48.00M,19.00M,1.644B,,-467.00M,,,-150.00M,-15.72B,-25.00M,10.49B,-6.068B,,14.00M,4.927B,4.941B,,0.00,0.00,-463.00M,-463.00M,322.00M,-191.00M,4.609B,,6.05B,185.00M,62.00M,6.297B,,,4.523B,418.00M,0.00,,AOR,Restated
2012-06,1.558B,,,,307.00M,307.00M,-148.00M,,49.00M,-151.00M,-214.00M,-328.00M,675.00M,-45.00M,,,88.00M,24.00M,1.727B,,-1.488B,,,-1.244B,95.00M,10.00M,-10.78B,-12.17B,,10.85B,-14.00M,10.83B,,0.00,0.00,-413.00M,-413.00M,18.00M,-224.00M,10.22B,,6.362B,-225.00M,-87.00M,6.05B,,,10.78B,49.00M,0.00,,AOR,Restated
2012-03,1.264B,,,,318.00M,318.00M,159.00M,,47.00M,-276.00M,476.00M,-721.00M,69.00M,-13.00M,,,-189.00M,-21.00M,1.302B,,-187.00M,,,0.00,-20.00M,16.00M,81.00M,-111.00M,,-63.00M,-404.00M,-467.00M,,0.00,0.00,-412.00M,-412.00M,120.00M,-78.00M,-839.00M,,5.96B,352.00M,50.00M,6.362B,,,,-467.00M,0.00,,AOR,Restated
2011-12,1.375B,,246.00M,246.00M,301.00M,301.00M,-3.00M,,42.00M,-312.00M,-155.00M,550.00M,-140.00M,6.00M,,,261.00M,102.00M,2.012B,,-359.00M,,,0.00,-16.00M,,-59.00M,-409.00M,,-507.00M,-568.00M,-1.075B,-196.00M,0.00,-196.00M,-410.00M,-410.00M,,-138.00M,-1.595B,,5.966B,8.00M,-14.00M,5.96B,,-196.00M,671.00M,-616.00M,0.00,,AOR,Restated
2011-09,1.384B,,-176.00M,-176.00M,324.00M,324.00M,48.00M,,55.00M,33.00M,40.00M,-98.00M,303.00M,-6.00M,,,239.00M,52.00M,1.959B,,-199.00M,,,0.00,192.00M,,21.00M,9.00M,,10.00M,-32.00M,-22.00M,28.00M,-675.00M,-647.00M,-411.00M,-411.00M,,-211.00M,-1.301B,,5.396B,667.00M,-97.00M,5.966B,,28.00M,-50.00M,60.00M,-675.00M,,AOR,Restated
2011-06,1.403B,,-41.00M,-41.00M,322.00M,322.00M,167.00M,,74.00M,-83.00M,-541.00M,35.00M,-59.00M,46.00M,,,-519.00M,-65.00M,1.258B,,-200.00M,,,0.00,18.00M,,82.00M,-106.00M,,-27.00M,936.00M,909.00M,79.00M,-773.00M,-694.00M,-413.00M,-413.00M,,-30.00M,-230.00M,,4.44B,922.00M,34.00M,5.396B,,79.00M,,-27.00M,-773.00M,,AOR,Restated
2011-03,1.054B,,-29.00M,-29.00M,316.00M,316.00M,122.00M,,50.00M,79.00M,-41.00M,-817.00M,656.00M,-70.00M,,,-272.00M,41.00M,1.361B,,-171.00M,,,,-57.00M,,26.00M,-201.00M,,-33.00M,226.00M,193.00M,89.00M,-727.00M,-638.00M,-368.00M,-368.00M,,-58.00M,-879.00M,,4.083B,281.00M,76.00M,4.44B,,89.00M,,-33.00M,-727.00M,,AOR,Restated
2010-12,1.065B,,699.00M,699.00M,292.00M,292.00M,548.00M,,36.00M,-1.695B,-144.00M,673.00M,-10.00M,26.00M,,,545.00M,,1.676B,,-359.00M,,,,-186.00M,,138.00M,-501.00M,,1.00M,-2.023B,-2.022B,-211.00M,-556.00M,-767.00M,-368.00M,-368.00M,,-61.00M,-2.845B,,5.731B,-1.67B,22.00M,4.083B,,-211.00M,480.00M,,-556.00M,,AOR,Restated
2010-09,1.299B,,-438.00M,-438.00M,342.00M,342.00M,-251.00M,,24.00M,272.00M,383.00M,-279.00M,344.00M,-20.00M,,,428.00M,,1.676B,,-177.00M,,,,-115.00M,,-35.00M,-327.00M,,-496.00M,708.00M,212.00M,49.00M,-494.00M,-445.00M,-370.00M,-370.00M,,-110.00M,-713.00M,,4.997B,636.00M,98.00M,5.731B,,49.00M,708.00M,,-494.00M,,AOR,Restated
2010-06,1.212B,,-219.00M,-219.00M,339.00M,339.00M,69.00M,,43.00M,159.00M,-405.00M,-142.00M,312.00M,32.00M,,,-203.00M,,1.40B,,-155.00M,,,,-169.00M,,89.00M,-235.00M,,-1.106B,1.214B,108.00M,63.00M,-650.00M,-587.00M,-371.00M,-371.00M,,-63.00M,-913.00M,,4.788B,252.00M,-43.00M,4.997B,,63.00M,1.174B,,-650.00M,,AOR,Restated
2010-03,947.00M,,-42.00M,-42.00M,327.00M,327.00M,59.00M,,45.00M,12.00M,-147.00M,-511.00M,522.00M,-58.00M,,,-194.00M,,1.154B,,-147.00M,,,,-2.067B,,90.00M,-2.124B,,2.212B,-40.00M,2.172B,99.00M,-500.00M,-401.00M,-373.00M,-373.00M,,-80.00M,1.318B,,4.449B,348.00M,-9.00M,4.788B,,99.00M,,,-500.00M,,AOR,Restated
2009-12,1.169B,,-637.00M,-637.00M,333.00M,333.00M,415.00M,,43.00M,-629.00M,-26.00M,550.00M,202.00M,55.00M,,,781.00M,,1.475B,,-325.00M,,,,-95.00M,,47.00M,-373.00M,,-10.00M,-690.00M,-700.00M,130.00M,-320.00M,-190.00M,-338.00M,-338.00M,,-55.00M,-1.283B,,4.632B,-181.00M,-2.00M,4.449B,,130.00M,37.00M,-1.774B,-320.00M,,AOR,Restated
2009-09,1.145B,,-182.00M,-182.00M,316.00M,316.00M,13.00M,,32.00M,49.00M,160.00M,465.00M,-162.00M,17.00M,,,480.00M,,1.853B,,-161.00M,,,,-297.00M,,254.00M,-204.00M,,-89.00M,-320.00M,-409.00M,111.00M,-430.00M,-319.00M,-339.00M,-339.00M,,-56.00M,-1.123B,,4.016B,526.00M,90.00M,4.632B,,111.00M,-248.00M,,-430.00M,,AOR,Restated
2009-06,1.066B,,-428.00M,-428.00M,303.00M,303.00M,9.00M,,44.00M,24.00M,496.00M,184.00M,-142.00M,-16.00M,,,522.00M,,1.54B,,-173.00M,,,,-31.00M,,-102.00M,-306.00M,,-374.00M,343.00M,-31.00M,65.00M,-150.00M,-85.00M,-340.00M,-340.00M,,-120.00M,-576.00M,,3.272B,658.00M,86.00M,4.016B,,65.00M,248.00M,95.00M,-150.00M,,AOR,Restated
2009-03,799.00M,,-23.00M,-23.00M,306.00M,306.00M,14.00M,,34.00M,73.00M,325.00M,-504.00M,-480.00M,-59.00M,,,-718.00M,,485.00M,,-167.00M,,,,-122.00M,,68.00M,-221.00M,,-502.00M,-95.00M,-597.00M,36.00M,-200.00M,-164.00M,-339.00M,-339.00M,,-109.00M,-1.209B,,4.327B,-945.00M,-110.00M,3.272B,,36.00M,,-95.00M,-200.00M,,AOR,Restated
2008-12,1.229B,,-193.00M,-193.00M,350.00M,350.00M,188.00M,,50.00M,-64.00M,173.00M,510.00M,-311.00M,88.00M,,,460.00M,,2.02B,,-406.00M,,,,-477.00M,,-263.00M,-1.146B,,1.209B,-170.00M,1.039B,32.00M,-690.00M,-658.00M,-341.00M,-341.00M,,-42.00M,-2.00M,,3.615B,872.00M,-160.00M,4.327B,,32.00M,2.248B,-48.00M,-690.00M,,AOR,Restated
2008-09,1.37B,,0.00,0.00,326.00M,326.00M,-10.00M,,51.00M,49.00M,217.00M,-250.00M,119.00M,-37.00M,,,49.00M,,1.835B,,-268.00M,,,,23.00M,,286.00M,41.00M,,-3.00M,-325.00M,-328.00M,29.00M,-950.00M,-921.00M,-286.00M,-286.00M,,-89.00M,-1.624B,,3.442B,252.00M,-79.00M,3.615B,,29.00M,-586.00M,,-950.00M,,,Restated
2008-06,1.375B,,0.00,0.00,326.00M,326.00M,-95.00M,,52.00M,18.00M,-612.00M,-19.00M,349.00M,24.00M,,,-258.00M,,1.418B,,-305.00M,,,,-335.00M,,-159.00M,-799.00M,,1.00B,-282.00M,718.00M,60.00M,-719.00M,-659.00M,-290.00M,-290.00M,,-82.00M,-313.00M,,3.139B,306.00M,-3.00M,3.442B,,60.00M,-282.00M,6.00M,-719.00M,,,Restated
2008-03,1.079B,,,,319.00M,319.00M,-38.00M,,58.00M,-49.00M,-324.00M,-803.00M,686.00M,-40.00M,,,-481.00M,,888.00M,,-237.00M,,,,-126.00M,,-69.00M,-432.00M,,-6.00M,868.00M,862.00M,42.00M,-801.00M,-759.00M,-293.00M,-293.00M,,-109.00M,-299.00M,,2.904B,157.00M,78.00M,3.139B,,42.00M,868.00M,-6.00M,-801.00M,,,Restated
2007-12,,,,,310.00M,310.00M,206.00M,,57.00M,867.00M,325.00M,505.00M,-288.00M,63.00M,,,605.00M,,2.045B,,-456.00M,,,,1.742B,,-275.00M,-1.026B,,967.00M,-1.139B,-172.00M,43.00M,-501.00M,-458.00M,-294.00M,-294.00M,,-29.00M,-953.00M,,2.81B,66.00M,28.00M,2.904B,,43.00M,-298.00M,,-501.00M,,AOR,Restated
2007-09,-1.967B,,,162.00M,308.00M,308.00M,12.00M,,141.00M,2.905B,-181.00M,-417.00M,441.00M,-21.00M,,,-178.00M,,1.383B,,-238.00M,,459.00M,,-1.236B,,-145.00M,-1.619B,,-265.00M,1.33B,471.00M,108.00M,-500.00M,-392.00M,-786.00M,-296.00M,,-94.00M,-311.00M,,3.292B,-547.00M,65.00M,2.81B,,108.00M,1.33B,,-500.00M,,,
2007-06,1.148B,,,-255.00M,277.00M,277.00M,-10.00M,,,407.00M,-317.00M,-353.00M,333.00M,219.00M,,,-118.00M,,1.449B,,-251.00M,,-251.00M,,-98.00M,,-28.00M,-377.00M,,,,308.00M,143.00M,-500.00M,-357.00M,,-245.00M,,-20.00M,-314.00M,,2.481B,758.00M,53.00M,3.292B,,143.00M,,,-500.00M,,,
2007-03,819.00M,,,93.00M,278.00M,278.00M,-150.00M,,,-310.00M,-289.00M,-846.00M,1.075B,-217.00M,,,-277.00M,,453.00M,,-208.00M,,-208.00M,,-110.00M,,158.00M,-160.00M,,,,286.00M,121.00M,-500.00M,-379.00M,,-245.00M,,-39.00M,-377.00M,,2.546B,-84.00M,19.00M,2.481B,,121.00M,,,-500.00M,,,
