,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-12,8.487B,8.588B,6.31B,2.278B,1.10B,251.00M,,,,,,1.351B,927.00M,,,,,,831.00M,202.00M,756.00M,,-41.00M,,588.00M,588.00M,1.156B,229.00M,927.00M,,3.065,0.00,3.065,3.065,,2.925,0.00,2.925,2.925,,1.15B,1.15B,0.175,,AOR,Restated
2003-09,7.875B,7.954B,5.713B,2.241B,933.00M,260.00M,79.00M,,,,,1.193B,1.048B,,,,79.00M,,953.00M,267.00M,639.00M,,-47.00M,8.00M,639.00M,582.13M,1.251B,203.00M,1.048B,,0.67,0.00,0.6095,0.67,,0.635,0.00,0.5786,0.635,,940.00M,1.008B,0.135,,,
2003-06,7.708B,7.79B,5.619B,2.171B,857.00M,281.00M,82.00M,,,,,1.138B,1.033B,,,,82.00M,,940.00M,263.00M,632.00M,,-45.00M,8.00M,632.00M,572.94M,1.22B,187.00M,1.033B,,0.665,0.00,0.6019,0.665,,0.63,0.00,0.5709,0.63,,936.00M,1.00B,0.135,,,
2003-03,6.653B,6.702B,4.866B,1.836B,764.00M,235.00M,49.00M,,,,,999.00M,837.00M,,,,49.00M,,746.00M,209.00M,502.00M,,-35.00M,,502.00M,466.73M,1.017B,180.00M,837.00M,,0.525,0.00,0.4875,0.525,,0.50,0.00,0.4648,0.50,,940.00M,1.002B,0.1225,,,
2002-12,7.138B,7.215B,5.248B,1.967B,862.00M,278.00M,,,,,,1.14B,827.00M,,,,,,734.00M,165.00M,686.00M,,-36.00M,,533.00M,533.00M,1.017B,190.00M,827.00M,,0.56,0.00,0.56,0.56,,0.53,0.00,0.53,0.53,,941.20M,1.009B,0.1225,,AOR,Restated
2002-09,7.25B,7.299B,5.238B,2.061B,789.00M,270.00M,49.00M,,,,,1.059B,1.002B,,,,49.00M,,909.00M,258.00M,612.00M,,-39.00M,7.00M,612.00M,576.91M,1.175B,173.00M,1.002B,,0.64,0.00,0.6029,0.64,,0.605,0.00,0.5703,0.605,,946.00M,1.01B,0.1225,,,
2002-06,7.271B,7.324B,5.19B,2.134B,798.00M,305.00M,53.00M,,,,,1.103B,1.031B,,,,53.00M,,890.00M,266.00M,624.00M,,-45.00M,8.00M,624.00M,586.84M,1.22B,189.00M,1.031B,,0.65,0.00,0.6107,0.65,,0.615,0.00,0.5784,0.615,,946.00M,1.014B,0.1225,,,
2002-03,6.321B,6.374B,4.485B,1.889B,754.00M,338.00M,53.00M,,,,,1.092B,797.00M,,,,53.00M,,698.00M,198.00M,467.00M,,-33.00M,8.00M,467.00M,429.03M,972.00M,175.00M,797.00M,,0.485,0.00,0.4449,0.485,,0.46,0.00,0.4226,0.46,,946.00M,1.014B,0.1225,,,
2001-12,6.894B,6.974B,5.168B,1.806B,860.00M,301.00M,,,,,,1.161B,645.00M,,,,,,620.00M,161.00M,459.00M,,-29.00M,,345.00M,345.00M,883.00M,238.00M,645.00M,,0.36,0.00,0.36,0.36,,0.345,0.00,0.345,0.345,,941.60M,1.007B,0.1125,,AOR,Restated
2001-09,6.734B,6.92B,4.923B,1.997B,857.00M,318.00M,186.00M,,,,,1.175B,822.00M,,,,186.00M,,694.00M,129.00M,565.00M,,-28.00M,7.00M,565.00M,413.57M,1.042B,220.00M,822.00M,,0.595,0.00,0.4339,0.595,,0.56,0.00,0.4098,0.56,,940.00M,1.008B,0.1125,,,
2001-06,7.332B,7.332B,5.184B,2.148B,821.00M,338.00M,,,,,,1.159B,989.00M,,,,,,880.00M,261.00M,588.00M,,-31.00M,,588.00M,588.00M,1.214B,225.00M,989.00M,,0.615,0.00,0.615,0.615,,0.58,0.00,0.58,0.58,,942.00M,1.014B,0.1125,,,
2001-03,6.597B,6.671B,4.59B,2.081B,785.00M,297.00M,74.00M,,,,,1.304B,777.00M,,,,74.00M,,670.00M,204.00M,440.00M,,-26.00M,8.00M,440.00M,388.53M,999.00M,222.00M,777.00M,,0.46,0.00,0.4054,0.46,,0.43,0.00,0.3793,0.43,,942.00M,1.016B,0.1125,,,
2000-12,6.689B,7.066B,5.469B,1.597B,842.00M,350.00M,,,,,,553.00M,1.044B,,,,,,717.00M,194.00M,426.00M,,-19.00M,,426.00M,426.00M,1.264B,220.00M,1.044B,,0.445,0.00,0.445,0.445,,0.42,0.00,0.42,0.42,,940.80M,1.016B,0.1125,,,Restated
2000-09,6.339B,6.339B,4.315B,2.024B,761.00M,329.00M,126.00M,,,,,1.30B,724.00M,,,,126.00M,,726.00M,230.00M,496.00M,,-27.00M,8.00M,496.00M,409.92M,934.00M,210.00M,724.00M,,0.52,0.00,0.4280,0.52,,0.49,0.00,0.4049,0.49,,936.00M,1.012B,0.10,,,
2000-06,6.871B,6.871B,4.77B,2.101B,787.00M,309.00M,90.00M,,,,,1.313B,788.00M,,,,90.00M,,761.00M,252.00M,509.00M,,-24.00M,8.00M,509.00M,448.80M,1.005B,217.00M,788.00M,,0.535,0.00,0.4710,0.535,,0.50,0.00,0.4408,0.50,,940.00M,1.016B,0.10,,,
2000-03,6.307B,6.307B,4.416B,1.891B,781.00M,314.00M,83.00M,,,,,1.307B,584.00M,,,,83.00M,,554.00M,177.00M,377.00M,,-27.00M,8.00M,377.00M,320.52M,796.00M,212.00M,584.00M,,0.39,0.00,0.3303,0.39,,0.37,0.00,0.3147,0.37,,946.00M,1.022B,0.10,,,
1999-12,6.41B,6.41B,4.774B,1.636B,953.00M,406.00M,107.00M,,,,,1.589B,47.00M,,,,107.00M,,47.00M,-9.00M,56.00M,0.00,-22.00M,8.00M,56.00M,-8.20M,277.00M,230.00M,47.00M,,0.0506,0.00,-0.0171,0.0506,,0.0506,0.00,-0.0171,0.0506,,949.09M,949.09M,0.10,,,
1999-09,6.068B,6.068B,4.648B,1.42B,786.00M,306.00M,59.00M,,,,,1.301B,119.00M,,,,59.00M,,92.00M,2.00M,90.00M,,-23.00M,9.00M,90.00M,32.28M,328.00M,209.00M,119.00M,,0.0425,0.00,0.0124,0.0425,,0.04,0.00,0.0108,0.04,,1.92B,1.976B,0.10,,,
1999-06,5.984B,5.984B,4.15B,1.834B,693.00M,306.00M,57.00M,,,,,1.196B,638.00M,,,,57.00M,,613.00M,196.00M,417.00M,660.00M,-25.00M,8.00M,1.077B,378.23M,835.00M,197.00M,638.00M,,0.2225,0.36,0.2014,0.5825,,0.2075,0.33,0.1882,0.5375,,1.836B,2.004B,0.09,,,
1999-03,5.382B,5.382B,3.794B,1.588B,701.00M,274.00M,60.00M,,,,,1.158B,430.00M,,,,60.00M,,414.00M,136.00M,278.00M,30.00M,-21.00M,8.00M,308.00M,237.71M,613.00M,183.00M,430.00M,,0.075,0.0088,0.0638,0.0838,,0.0712,0.0075,0.0610,0.0788,,3.608B,3.936B,0.09,,,
1998-12,6.009B,6.009B,4.239B,1.77B,760.00M,324.00M,-22.00M,,,,,1.27B,500.00M,,,,-22.00M,,401.00M,132.00M,269.00M,18.00M,-20.00M,9.00M,287.00M,283.76M,686.00M,186.00M,500.00M,,0.2888,0.0200,0.3052,0.3088,,0.2888,0.0200,0.3052,0.3088,,900.21M,900.21M,0.09,,,
1998-09,5.71B,5.71B,3.986B,1.724B,639.00M,288.00M,-27.00M,,,,,1.143B,581.00M,,,,-27.00M,,485.00M,159.00M,326.00M,22.00M,-21.00M,8.00M,348.00M,344.15M,797.00M,184.00M,581.00M,,0.0875,0.0062,0.0925,0.0938,,0.0825,0.005,0.0871,0.0875,,3.632B,3.944B,0.09,,,
1998-06,5.848B,5.848B,4.095B,1.753B,677.00M,279.00M,-17.00M,,,,,1.17B,583.00M,,,,-17.00M,,496.00M,163.00M,333.00M,27.00M,-25.00M,8.00M,360.00M,344.41M,797.00M,179.00M,583.00M,,0.0888,0.0075,0.0919,0.0962,,0.0838,0.0062,0.0866,0.09,,3.664B,3.984B,0.09,,,
1998-03,5.22B,5.22B,3.78B,1.44B,661.00M,277.00M,88.00M,,,,,1.119B,321.00M,,,,88.00M,,343.00M,114.00M,229.00M,31.00M,-19.00M,8.00M,260.00M,170.25M,502.00M,181.00M,321.00M,,0.06,0.0088,0.044,0.0688,,0.0575,0.0075,0.0428,0.065,,3.672B,3.984B,0.0775,,,
1997-12,2.808B,2.808B,1.864B,944.00M,492.00M,214.00M,84.00M,,,,,781.00M,163.00M,,,,84.00M,,203.00M,69.00M,134.00M,,-2.00M,,244.00M,78.55M,238.00M,75.00M,163.00M,,0.2314,,0.1709,0.2314,,0.2314,,0.1709,0.2314,,916.28M,916.28M,0.0775,,,
1997-09,5.936B,5.936B,4.281B,1.655B,690.00M,268.00M,43.00M,,,,,1.16B,495.00M,,,,43.00M,,459.00M,159.00M,300.00M,,-30.00M,,300.00M,271.90M,697.00M,202.00M,495.00M,,0.0788,0.00,0.0486,0.0788,,0.0738,0.00,0.0436,0.0738,,931.91M,931.91M,0.0775,,,
1997-06,6.432B,6.432B,4.669B,1.763B,727.00M,316.00M,51.00M,,,,,1.262B,501.00M,,,,51.00M,,466.00M,162.00M,304.00M,,-37.00M,,304.00M,270.73M,720.00M,219.00M,501.00M,,0.0788,0.00,0.0434,0.0788,,0.075,0.00,0.0397,0.075,,941.70M,941.70M,0.0775,,,
1997-03,5.886B,5.886B,4.325B,1.561B,702.00M,271.00M,48.00M,,,,,1.184B,377.00M,,,,48.00M,,348.00M,124.00M,224.00M,,-29.00M,,224.00M,193.10M,588.00M,211.00M,377.00M,,0.0575,0.00,0.0249,0.0575,,0.055,0.00,0.0224,0.055,,947.56M,947.56M,0.0775,,,
1996-12,5.53B,5.53B,4.067B,1.463B,-98.00M,,147.00M,,,,,1.23B,233.00M,,,,147.00M,,329.00M,100.00M,229.00M,,-2.00M,,229.00M,126.68M,439.00M,206.00M,233.00M,,0.2406,,0.1331,0.2406,,0.2406,,0.1331,0.2406,,951.90M,951.90M,0.0688,,,
1996-09,5.908B,5.908B,4.265B,1.643B,978.00M,,31.00M,,,,,1.189B,454.00M,,,,31.00M,,398.00M,144.00M,254.00M,,-33.00M,,254.00M,234.22M,665.00M,211.00M,454.00M,,0.0319,0.00,0.0114,0.0319,,0.0306,0.00,0.0102,0.0306,,966.86M,966.86M,0.0688,,,
1996-06,6.002B,6.002B,4.343B,1.659B,983.00M,,41.00M,,,,,1.198B,461.00M,,,,41.00M,,410.00M,151.00M,259.00M,,-36.00M,,259.00M,233.10M,676.00M,215.00M,461.00M,,0.0325,0.00,0.0057,0.0325,,0.0312,0.00,0.0045,0.0312,,966.86M,966.86M,0.0688,,,
1996-03,5.348B,5.348B,3.899B,1.449B,683.00M,250.00M,44.00M,,,,,1.142B,307.00M,,,,44.00M,,263.00M,99.00M,164.00M,,-30.00M,,164.00M,136.56M,516.00M,209.00M,307.00M,,0.02,0.00,-0.0082,0.02,,0.02,0.00,-0.0082,0.02,,974.34M,974.34M,0.0688,,,
1995-12,5.928B,5.928B,4.383B,1.545B,708.00M,261.00M,39.00M,,,,,1.192B,353.00M,,,,39.00M,,300.00M,113.00M,187.00M,,-34.00M,1.00M,187.00M,162.69M,576.00M,223.00M,353.00M,,0.1905,,0.1656,0.1905,,0.1905,,0.1656,0.1905,,976.57M,976.57M,0.0688,,,
1995-09,5.604B,5.604B,4.125B,1.479B,642.00M,251.00M,47.00M,,,,,1.093B,386.00M,,,,47.00M,,341.00M,131.00M,210.00M,,-35.00M,7.00M,210.00M,181.06M,586.00M,200.00M,386.00M,,0.025,0.00,-0.0047,0.025,,0.025,0.00,-0.0047,0.025,,976.06M,976.06M,0.0625,,,
1995-06,5.774B,5.774B,4.272B,1.502B,672.00M,233.00M,66.00M,,,,,1.119B,383.00M,,,,66.00M,,350.00M,132.00M,218.00M,,-32.00M,7.00M,218.00M,176.89M,597.00M,214.00M,383.00M,,0.0262,0.00,-0.0154,0.0262,,0.0262,0.00,-0.0154,0.0262,,985.88M,985.88M,0.0625,,,
1995-03,5.318B,5.318B,3.976B,1.342B,629.00M,218.00M,26.00M,,,,,1.054B,288.00M,,,,26.00M,,223.00M,88.00M,135.00M,,-29.00M,6.00M,135.00M,119.26M,495.00M,207.00M,288.00M,,0.0162,0.00,0.0003,0.0162,,0.0162,0.00,0.0003,0.0162,,986.99M,986.99M,0.0625,,,
1994-12,5.615B,5.615B,4.165B,1.45B,674.00M,248.00M,2.00M,,,,,1.139B,311.00M,,,,2.00M,,187.00M,74.00M,113.00M,,-29.00M,0.00,113.00M,111.79M,528.00M,217.00M,311.00M,,0.1147,,0.1135,0.1147,,0.1147,,0.1135,0.1147,,985.09M,985.09M,0.0625,,,
1994-09,5.135B,5.135B,3.805B,1.33B,611.00M,229.00M,118.00M,,,,,1.048B,282.00M,,,,118.00M,,312.00M,118.00M,194.00M,,-29.00M,10.00M,194.00M,120.63M,490.00M,208.00M,282.00M,,0.0225,0.00,-0.0511,0.0225,,0.0212,0.00,-0.0523,0.0212,,997.26M,997.26M,0.0625,,,
1994-06,5.306B,5.306B,3.994B,1.312B,648.00M,261.00M,183.00M,,,,,1.117B,195.00M,,,,183.00M,,289.00M,117.00M,172.00M,,-26.00M,11.00M,172.00M,62.20M,406.00M,211.00M,195.00M,,0.02,0.00,-0.0887,0.02,,0.0188,0.00,-0.0899,0.0188,,1.010B,1.010B,0.0563,,,
1994-03,4.745B,4.745B,3.531B,1.214B,603.00M,240.00M,40.00M,,,,,1.047B,167.00M,,,,40.00M,,118.00M,51.00M,67.00M,,-23.00M,5.00M,67.00M,43.00M,371.00M,204.00M,167.00M,,0.0119,0.00,-0.0113,0.0119,,0.0112,0.00,-0.0119,0.0112,,1.035B,1.035B,0.0563,,,
1993-12,5.447B,5.447B,4.038B,1.409B,652.00M,305.00M,72.00M,,,,,1.173B,236.00M,,,,72.00M,,230.00M,94.00M,136.00M,,-19.00M,11.00M,136.00M,92.80M,452.00M,216.00M,236.00M,,0.1240,,0.0811,0.1240,,0.1240,,0.0811,0.1240,,1.008B,1.008B,0.0563,,,
1993-09,5.056B,5.056B,3.714B,1.342B,608.00M,263.00M,72.00M,,,,,1.071B,271.00M,,,,72.00M,,256.00M,99.00M,157.00M,,-27.00M,11.00M,157.00M,112.84M,479.00M,208.00M,271.00M,,0.0181,0.00,-0.0260,0.0181,,0.0169,0.00,-0.0273,0.0169,,999.91M,999.91M,0.0563,,,
1993-06,5.508B,5.508B,4.124B,1.384B,660.00M,286.00M,62.00M,,,,,1.142B,242.00M,,,,62.00M,,217.00M,87.00M,130.00M,,-23.00M,11.00M,130.00M,92.80M,438.00M,191.00M,242.00M,,0.015,0.00,-0.0224,0.015,,0.0144,0.00,-0.0230,0.0144,,994.71M,994.71M,0.0563,,,
1993-03,4.725B,4.725B,3.549B,1.176B,627.00M,283.00M,139.00M,,,,,1.11B,66.00M,,,,139.00M,,120.00M,56.00M,64.00M,,-17.00M,11.00M,64.00M,-19.40M,266.00M,200.00M,66.00M,,0.0069,0.00,-0.0772,0.0069,,0.0069,0.00,-0.0772,0.0069,,992.01M,992.01M,0.0563,,,
1992-12,5.364B,5.364B,4.745B,619.00M,-55.00M,,,,,,,1.407B,-788.00M,,,,,,-579.00M,-197.00M,-382.00M,,-27.00M,10.00M,-704.00M,-382.00M,-547.00M,241.00M,-788.00M,,-0.7211,,-0.7211,-0.7211,,-0.7211,,-0.7211,-0.7211,,990.20M,990.20M,0.0563,,,
1992-09,5.375B,5.375B,3.815B,1.56B,1.024B,,,,,,,1.228B,332.00M,,,,,,238.00M,96.00M,142.00M,,-23.00M,11.00M,142.00M,142.00M,537.00M,205.00M,332.00M,,0.015,0.00,0.015,0.015,,0.0144,0.00,0.0144,0.0144,,984.06M,984.06M,0.0563,,,
1992-06,5.736B,5.736B,4.157B,1.579B,1.013B,,,,,,,1.216B,363.00M,,,,,,273.00M,107.00M,166.00M,,-22.00M,10.00M,166.00M,166.00M,569.00M,206.00M,363.00M,,0.02,0.00,0.02,0.02,,0.0188,0.00,0.0188,0.0188,,985.54M,985.54M,0.0563,,,
1992-03,5.166B,5.166B,3.668B,1.498B,1.029B,,,,,,,1.229B,269.00M,,,,,,180.00M,71.00M,109.00M,,-16.00M,11.00M,109.00M,109.00M,469.00M,200.00M,269.00M,,0.0131,0.00,0.0131,0.0131,,0.0125,0.00,0.0125,0.0125,,975.18M,975.18M,0.0563,,,
1991-12,5.386B,5.386B,4.841B,545.00M,-391.40M,,,,,,,901.70M,-356.70M,,,,,,-1.301B,-76.50M,-1.224B,,-1.30M,,-1.224B,-1.224B,-196.60M,160.10M,-356.70M,,-1.319,,-1.319,-1.319,,-1.319,,-1.319,-1.319,,975.18M,975.18M,0.0563,,,
1991-09,5.274B,5.274B,3.784B,1.490B,991.10M,,,,,,,1.183B,306.80M,,,,,,201.90M,82.40M,119.50M,,-20.20M,,119.50M,119.50M,498.40M,177.00M,306.80M,,0.0144,0.00,0.0144,0.0144,,0.0138,0.00,0.0138,0.0138,,973.06M,973.06M,0.0563,,,
1991-06,5.377B,5.377B,3.940B,1.437B,1.055B,,,,,,,1.254B,183.70M,,,,,,81.30M,37.90M,43.40M,,-20.60M,,43.40M,43.40M,382.60M,196.60M,183.70M,,0.0044,0.00,0.0044,0.0044,,0.0044,0.00,0.0044,0.0044,,972.37M,972.37M,0.0563,,,
1991-03,4.804B,4.804B,3.422B,1.381B,1.013B,,,,,,,1.214B,167.20M,,,,,,71.40M,31.20M,40.20M,,-12.90M,,40.20M,40.20M,368.50M,201.30M,167.20M,,0.0044,0.00,0.0044,0.0044,,0.0044,0.00,0.0044,0.0044,,973.65M,973.65M,0.0563,,,
1990-12,5.946B,5.946B,4.351B,1.594B,1.107B,,,,,,,1.247B,347.40M,,,,,,268.30M,99.50M,168.80M,,-13.00M,,168.80M,168.80M,487.10M,139.70M,347.40M,,0.1371,,0.1371,0.1371,,0.1371,,0.1371,0.1371,,969.25M,969.25M,0.0563,,,
1990-09,5.346B,5.346B,3.634B,1.712B,1.026B,,,,,,,1.205B,507.20M,,,,,,394.00M,154.20M,239.80M,,-22.80M,,239.80M,239.80M,685.60M,170.40M,507.20M,,0.03,0.00,0.03,0.03,,0.0275,0.00,0.0275,0.0275,,965.41M,965.41M,0.0563,,,
1990-06,5.690B,5.690B,4.040B,1.65B,1.004B,,,,,,,1.186B,463.60M,,,,,,341.60M,134.10M,207.50M,,-14.30M,,207.50M,207.50M,647.90M,184.30M,463.60M,,0.0256,0.00,0.0256,0.0256,,0.0238,0.00,0.0238,0.0238,,964.38M,964.38M,0.0563,,,
1990-03,4.731B,4.731B,3.308B,1.422B,977.80M,,70.80M,,,,,1.158B,263.80M,,,,70.80M,,225.80M,91.30M,134.50M,,-11.40M,4.60M,134.50M,92.02M,444.40M,180.60M,263.80M,,0.0169,0.00,-0.0273,0.0169,,0.0162,0.00,-0.0279,0.0162,,962.02M,962.02M,0.0563,,,
1989-12,5.169B,5.169B,3.692B,1.478B,1.005B,,95.00M,,,,,1.155B,323.10M,,,,95.00M,,316.20M,131.80M,184.40M,,-17.70M,,184.40M,127.40M,472.60M,149.50M,323.10M,,0.1751,,0.1162,0.1751,,0.1751,,0.1162,0.1751,,968.74M,968.74M,0.05,,,
1989-09,4.710B,4.710B,3.287B,1.423B,871.50M,,43.70M,,,,,1.028B,394.70M,,,,43.70M,,335.20M,138.50M,196.70M,,-15.50M,,196.70M,170.48M,551.60M,156.90M,394.70M,,0.0231,0.00,-0.0026,0.0231,,0.0219,0.00,-0.0039,0.0219,,1.019B,1.019B,0.05,,,
1989-06,5.274B,5.274B,,,,,,,,,,,5.274B,,,,,,,,197.30M,,,,197.30M,,5.274B,,5.274B,,0.0238,0.00,0.0238,0.0238,,0.0238,0.00,0.0238,0.0238,,1.046B,1.046B,0.05,,,
1989-03,4.465B,4.465B,,,,,,,,,,,4.465B,,,,,,,,123.70M,,,,123.70M,,4.465B,,4.465B,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,1.046B,1.046B,0.05,,,
1988-12,5.175B,5.175B,,,,,,,,,,,-11.87B,,,,,,,,150.60M,,,,150.60M,,-11.87B,,-11.87B,,,,,,,,,,,,1.046B,1.046B,0.05,,,
1988-09,4.356B,4.356B,,,,,,,,,,,4.356B,,,,,,,,190.10M,,,,190.10M,,4.356B,,4.356B,,0.0231,0.00,0.0231,0.0231,,0.0231,0.00,0.0231,0.0231,,1.045B,1.045B,0.05,,,
1988-06,4.360B,4.360B,,,,,,,,,,,4.360B,,,,,,,,196.20M,,,,196.20M,,4.360B,,4.360B,,0.0238,0.00,0.0238,0.0238,,0.0238,0.00,0.0238,0.0238,,1.043B,1.043B,0.05,,,
1988-03,4.109B,4.109B,,,,,,,,,,,4.109B,,,,,,,,122.20M,,,,122.20M,,4.109B,,4.109B,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,1.043B,1.043B,0.0438,,,
1987-12,4.735B,4.735B,,,,,,,,,,,-11.27B,,,,,,,,172.50M,,,,172.50M,,-11.27B,,-11.27B,,,,,,,,,,,,1.043B,1.043B,0.0438,,,
1987-09,4.213B,4.213B,,,,,,,,,,,4.213B,,,,,,,,165.00M,,,,165.00M,,4.213B,,4.213B,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,1.049B,1.049B,0.0438,,,
1987-06,4.285B,4.285B,,,,,,,,,,,4.285B,,,,,,,,156.00M,,,,156.00M,,4.285B,,4.285B,,0.0188,0.00,0.0188,0.0188,,0.0188,0.00,0.0188,0.0188,,1.049B,1.049B,0.0438,,,
1987-03,3.937B,3.937B,,,,,,,,,,,3.937B,,,,,,,,98.20M,,,,98.20M,,3.937B,,3.937B,,0.0119,0.00,0.0119,0.0119,,0.0119,0.00,0.0119,0.0119,,1.043B,1.043B,0.0438,,,
1986-12,4.401B,4.401B,,,,,,,,,,,-11.11B,,,,,,,,-252.60M,,,,-252.60M,,-11.11B,,-11.11B,,,,,,,,,,,,1.044B,1.044B,0.0438,,,
1986-09,3.849B,3.849B,,,,,,,,,,,3.849B,,,,,,,,108.20M,,,,108.20M,,3.849B,,3.849B,,0.0131,0.00,0.0131,0.0131,,0.0125,0.00,0.0125,0.0125,,1.043B,1.043B,0.0438,,,
1986-06,4.006B,4.006B,,,,,,,,,,,4.006B,,,,,,,,64.90M,,,,64.90M,,4.006B,,4.006B,,0.0069,0.00,0.0069,0.0069,,0.0069,0.00,0.0069,0.0069,,983.16M,983.16M,0.0438,,,
1986-03,3.503B,3.503B,,,,,,,,,,,3.503B,,,,,,,,127.60M,,,,127.60M,,3.503B,,3.503B,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,983.16M,983.16M,0.0438,,,
1985-12,4.203B,4.203B,,,,,,,,,,,-9.610B,,,,,,,,166.00M,-0.10M,,,165.90M,,-9.610B,,-9.610B,,,-0.0001,,-0.0001,,,-0.0001,,-0.0001,,983.16M,983.16M,0.0438,,,
1985-09,3.412B,3.412B,,,,,,,,,,,3.412B,,,,,,,,147.40M,-193.00M,,,-45.60M,,3.412B,,3.412B,,0.0169,-0.025,0.0169,-0.0081,,0.0169,-0.025,0.0169,-0.0081,,983.16M,983.16M,0.0438,,,
1985-06,3.770B,3.770B,,,,,,,,,,,3.770B,,,,,,,,151.70M,-96.90M,,,54.80M,,3.770B,,3.770B,,0.0181,-0.0125,0.0181,0.0056,,0.0175,-0.0125,0.0175,0.0056,,983.16M,983.16M,0.0438,,,
1985-03,3.606B,3.606B,,,,,,,,,,,3.606B,,,,,,,,171.30M,-33.70M,,,137.60M,,3.606B,,3.606B,,0.0206,-0.0044,0.0206,0.0162,,0.0194,-0.0044,0.0194,0.015,,983.16M,983.16M,0.0438,,,
1984-12,4.376B,4.376B,,,,,,,,,,,-10.89B,,,,,,,,149.80M,,,,149.80M,,-10.89B,,-10.89B,,,,,,,,,,,,970.96M,970.96M,,,,
1984-09,3.886B,3.886B,,,,,,,,,,,3.886B,,,,,,,,192.70M,,,,192.70M,,3.886B,,3.886B,,0.0231,0.00,0.0231,0.0231,,0.0219,0.00,0.0219,0.0219,,966.78M,966.78M,,,,
1984-06,4.178B,4.178B,,,,,,,,,,,4.178B,,,,,,,,169.00M,,,,169.00M,,4.178B,,4.178B,,0.0206,0.00,0.0206,0.0206,,0.0194,0.00,0.0194,0.0194,,961.22M,961.22M,,,,
1984-03,3.891B,3.891B,,,,,,,,,,,3.891B,,,,,,,,133.50M,,,,133.50M,,3.891B,,3.891B,,0.0078,0.00,0.0078,0.0078,,0.0078,0.00,0.0078,0.0078,,961.22M,961.22M,,,,
