,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,TreasuryStock,PreferredStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,11.07B,11.07B,11.97B,3.273B,15.25B,2.298B,2.306B,4.375B,,8.979B,,,1.263B,36.56B,,,,,,,21.60B,-11.48B,10.12B,27.70B,15.74B,43.44B,2.763B,1.626B,,7.071B,65.01B,101.57B,,9.623B,,9.623B,8.73B,18.35B,876.00M,187.00M,1.063B,,1.063B,5.652B,5.652B,,25.07B,27.25B,,27.25B,,,,2.589B,1.982B,130.00M,13.19B,43.16B,68.22B,,17.75B,57.03B,35.64B,,,,,-7.684B,31.36B,,AOR,Restated
2018-03,7.667B,7.667B,11.70B,2.989B,14.69B,2.079B,2.526B,4.333B,,8.938B,,,1.448B,32.74B,,,,,,,21.82B,-11.54B,10.28B,28.34B,16.00B,44.33B,2.522B,1.763B,,7.136B,66.04B,98.78B,,8.875B,,8.875B,7.951B,16.83B,930.00M,1.264B,2.194B,,2.194B,5.727B,5.727B,,24.75B,25.15B,,25.15B,,,,2.847B,1.958B,135.00M,13.40B,41.54B,66.29B,,17.64B,55.53B,35.62B,,,,,-6.937B,30.53B,,AOR,Restated
2017-12,8.985B,8.985B,12.60B,,12.60B,2.038B,13.57B,3.845B,,9.881B,,,1.397B,32.86B,0.00,412.00M,5.727B,13.48B,1.749B,,21.36B,-11.18B,10.19B,27.91B,15.88B,43.79B,2.372B,1.723B,,5.988B,64.06B,96.92B,,9.579B,543.00M,10.12B,7.022B,17.14B,300.00M,2.196B,2.496B,,2.496B,4.547B,4.547B,,24.39B,24.99B,,24.99B,,,,3.036B,1.811B,131.00M,12.95B,41.11B,65.50B,,17.57B,55.24B,35.60B,,,,,-7.525B,29.61B,,AOR,Restated
2017-09,8.523B,8.523B,13.13B,,13.13B,2.189B,13.87B,3.715B,,10.08B,,,1.229B,32.96B,,,,,,,20.98B,-11.21B,9.763B,27.92B,15.96B,43.87B,2.184B,1.723B,,5.848B,63.39B,96.35B,,8.999B,,8.999B,13.05B,22.05B,943.00M,2.254B,3.197B,,3.197B,,,,25.25B,24.06B,,24.06B,,,,3.227B,1.81B,429.00M,11.69B,39.41B,64.66B,,17.49B,55.38B,35.58B,,,,,-7.327B,29.88B,,AOR,Restated
2017-06,9.345B,9.345B,12.60B,,12.60B,2.146B,13.07B,3.753B,,9.86B,,,1.027B,32.83B,,,,,,,20.31B,-10.83B,9.475B,27.59B,15.88B,43.47B,1.701B,1.817B,,5.503B,61.96B,94.79B,,8.542B,,8.542B,12.63B,21.18B,559.00M,2.184B,2.743B,,2.743B,,,,23.92B,23.88B,,23.88B,,,,5.249B,1.713B,406.00M,11.18B,40.72B,64.64B,,17.37B,54.64B,35.52B,,,,,-7.964B,28.44B,,AOR,Restated
2017-03,7.156B,7.156B,11.84B,,11.84B,2.154B,12.67B,3.528B,,9.386B,,,923.00M,29.30B,,,,,,,19.89B,-10.64B,9.255B,27.27B,15.78B,43.05B,1.593B,1.804B,,5.363B,61.07B,90.37B,,7.52B,,7.52B,12.52B,20.04B,1.074B,2.61B,3.684B,,3.684B,,,,23.73B,20.90B,,20.90B,,,,5.433B,1.678B,307.00M,10.74B,37.38B,61.10B,,17.36B,53.74B,35.08B,,,,,-8.333B,27.59B,,AOR,Restated
2016-12,7.157B,7.157B,11.48B,,11.48B,2.04B,12.18B,3.305B,,8.704B,,,1.208B,28.55B,0.00,392.00M,5.18B,12.47B,1.426B,,19.47B,-10.31B,9.158B,27.06B,15.68B,42.74B,1.398B,1.809B,,6.048B,61.16B,89.71B,,7.483B,671.00M,8.154B,7.123B,15.28B,522.00M,1.682B,2.204B,,2.204B,4.217B,4.217B,,21.91B,21.70B,,21.70B,,,,5.612B,1.59B,296.00M,11.03B,38.63B,60.54B,,17.28B,52.87B,34.15B,,,,,-8.334B,27.58B,,AOR,Restated
2016-09,7.107B,7.107B,11.50B,,11.50B,2.209B,12.39B,3.438B,,9.081B,,,860.00M,28.55B,,,,,,,19.38B,-10.40B,8.989B,27.42B,15.80B,43.22B,1.077B,1.765B,,6.461B,61.51B,90.06B,,7.432B,,7.432B,12.63B,20.07B,780.00M,1.695B,2.475B,,2.475B,,,,22.54B,20.19B,,20.19B,,,,5.552B,1.577B,315.00M,10.70B,36.76B,59.30B,,17.21B,52.38B,32.58B,,,,,-7.729B,29.19B,,AOR,Restated
2016-06,6.785B,6.785B,11.54B,,11.54B,2.225B,11.94B,3.229B,,8.747B,,,894.00M,27.97B,,,,,,,19.16B,-10.25B,8.911B,27.54B,15.84B,43.38B,1.00B,1.812B,,6.41B,61.51B,89.48B,,7.242B,,7.242B,12.53B,19.78B,615.00M,1.792B,2.407B,,2.407B,,,,22.18B,20.13B,,20.13B,,,,5.713B,1.558B,314.00M,10.49B,36.65B,58.83B,,16.34B,51.45B,31.12B,,,,,-7.484B,29.09B,,AOR,Restated
2016-03,7.215B,7.215B,10.90B,,10.90B,2.218B,11.54B,3.058B,,8.507B,,,906.00M,27.53B,,,,,,,18.81B,-10.05B,8.763B,27.41B,15.72B,43.13B,967.00M,1.905B,,6.282B,61.04B,88.57B,,6.579B,,6.579B,12.58B,19.16B,1.073B,290.00M,1.363B,,1.363B,,,,20.52B,21.69B,,21.69B,,,,5.869B,1.55B,127.00M,10.46B,38.14B,58.67B,,16.26B,50.62B,31.08B,,,,,-7.344B,28.35B,,AOR,Restated
2015-12,7.075B,7.075B,10.65B,,10.65B,2.037B,11.09B,3.183B,,8.135B,,,843.00M,26.71B,0.00,384.00M,5.03B,11.72B,1.363B,,18.49B,-9.762B,8.732B,27.30B,15.60B,42.90B,1.018B,1.961B,,6.163B,60.78B,87.48B,,6.875B,2.79B,9.665B,7.684B,17.35B,727.00M,378.00M,1.105B,,1.105B,3.952B,3.952B,,22.62B,19.32B,,19.32B,,,,6.022B,1.486B,122.00M,10.56B,36.02B,58.64B,,16.03B,49.96B,30.91B,,,,,-7.619B,27.36B,,AOR,Restated
2015-09,5.477B,5.477B,10.65B,,12.64B,1.695B,11.20B,3.654B,,8.453B,,,949.00M,32.36B,,,,,,,18.24B,-9.729B,8.515B,27.35B,15.57B,42.93B,1.008B,1.341B,,5.986B,59.78B,92.14B,,6.333B,,6.333B,11.88B,18.21B,2.86B,379.00M,3.239B,,3.239B,,,2.242B,23.69B,19.43B,,19.43B,,,,6.235B,1.526B,132.00M,10.60B,36.40B,60.08B,,16.73B,47.24B,25.95B,,,,,-7.388B,30.52B,,AOR,Restated
2015-06,5.933B,5.933B,11.52B,,13.46B,2.011B,12.46B,4.116B,,10.30B,,,983.00M,30.67B,,,,,,,19.96B,-10.70B,9.266B,27.93B,15.71B,43.64B,1.037B,1.378B,,6.784B,62.10B,92.77B,,7.153B,,7.153B,13.62B,20.78B,2.50B,454.00M,2.954B,,2.954B,,,,23.73B,19.49B,,19.49B,,,,6.373B,1.561B,134.00M,11.11B,37.11B,60.84B,,15.14B,46.44B,24.52B,,,,,-6.577B,30.38B,,AOR,Restated
2015-03,5.281B,5.281B,11.51B,,13.40B,2.058B,12.22B,3.941B,,10.34B,,,936.00M,29.96B,,,,,,,19.63B,-10.46B,9.175B,27.56B,15.57B,43.13B,993.00M,1.462B,,6.611B,61.37B,91.33B,,6.929B,,6.929B,14.62B,21.54B,2.18B,2.004B,4.184B,,4.184B,,,,25.73B,17.81B,,17.81B,,,,6.494B,1.517B,135.00M,10.99B,35.43B,61.16B,,15.03B,45.46B,24.52B,,,,,-7.211B,28.65B,,AOR,Restated
2014-12,5.229B,5.229B,10.45B,,12.37B,1.948B,10.28B,2.975B,,7.642B,,,1.373B,31.48B,0.00,392.00M,5.098B,11.40B,1.181B,,18.07B,-9.477B,8.592B,27.45B,15.53B,42.98B,958.00M,1.491B,,5.706B,59.72B,91.21B,,6.25B,585.00M,6.835B,7.486B,14.32B,0.00,1.917B,1.917B,,1.917B,4.241B,4.241B,2.781B,23.48B,17.78B,,17.78B,,,,6.681B,1.351B,140.00M,10.56B,35.17B,58.64B,,15.30B,44.61B,21.92B,,,,,-6.661B,31.21B,,AOR,Restated
2014-09,5.035B,5.035B,11.08B,,13.07B,2.073B,12.70B,3.957B,,10.34B,,,966.00M,29.41B,,,,,,,19.74B,-10.56B,9.182B,28.17B,15.68B,43.85B,1.081B,1.223B,,7.024B,62.36B,91.77B,,7.046B,,7.046B,14.72B,21.77B,135.00M,2.006B,2.141B,,2.141B,,,,23.91B,17.86B,,17.86B,,,,3.033B,1.34B,141.00M,11.45B,32.48B,56.38B,,15.19B,43.67B,21.52B,,,,,-3.169B,34.05B,,AOR,Restated
2014-06,4.962B,4.962B,11.80B,,13.79B,2.039B,12.36B,3.824B,,9.896B,,,992.00M,29.64B,,,,,,,19.22B,-10.19B,9.026B,28.38B,15.72B,44.09B,1.098B,1.273B,,7.011B,62.50B,92.14B,,7.297B,,7.297B,14.80B,22.10B,230.00M,2.005B,2.235B,,2.235B,,,,24.33B,17.84B,,17.84B,,,,3.207B,1.408B,146.00M,11.43B,32.62B,56.95B,,15.06B,42.34B,21.09B,,,,,-2.403B,33.78B,,AOR,Restated
2014-03,4.477B,4.477B,11.54B,,13.46B,2.038B,13.02B,3.653B,,10.99B,,,892.00M,29.82B,,,,,,,18.87B,-9.974B,8.895B,28.22B,15.53B,43.74B,1.105B,1.237B,,6.428B,61.41B,91.23B,,6.949B,,6.949B,15.68B,22.63B,0.00,304.00M,304.00M,,304.00M,,,,22.93B,19.74B,,19.74B,,,,3.32B,1.378B,137.00M,11.41B,34.60B,57.53B,,14.94B,41.20B,20.76B,,,,,-2.941B,32.32B,,AOR,Restated
2013-12,4.619B,4.619B,11.46B,,13.42B,1.983B,12.53B,3.36B,,10.33B,,,1.071B,29.44B,0.00,434.00M,5.633B,11.35B,1.241B,,18.66B,-9.795B,8.866B,28.17B,15.52B,43.69B,1.156B,1.236B,,6.205B,61.15B,90.59B,,6.965B,820.00M,7.785B,7.853B,15.64B,200.00M,300.00M,500.00M,,500.00M,6.444B,6.444B,,22.80B,19.74B,,19.74B,,,,3.444B,1.353B,111.00M,11.28B,34.58B,57.38B,,14.76B,40.54B,20.43B,,,,,-2.88B,31.87B,,AOR,Restated
2013-09,4.621B,4.621B,11.14B,,13.07B,1.967B,12.90B,3.556B,,10.76B,,,895.00M,29.35B,,,,,,,18.39B,-9.839B,8.549B,28.10B,15.50B,43.60B,1.229B,1.583B,,6.019B,60.98B,90.33B,,6.628B,,6.628B,15.49B,22.12B,100.00M,1.303B,1.403B,,1.403B,,,,23.52B,19.78B,,19.78B,,,,7.175B,1.342B,124.00M,9.804B,36.89B,60.41B,,14.66B,39.60B,20.23B,,,,,-5.325B,28.58B,,AOR,Restated
2013-06,4.909B,4.909B,11.16B,,12.75B,1.928B,12.23B,3.385B,,10.23B,,,902.00M,28.79B,,,,,,,18.01B,-9.61B,8.399B,27.84B,15.30B,43.14B,1.147B,1.596B,,5.676B,59.95B,88.74B,,6.645B,,6.645B,15.24B,21.88B,50.00M,1.231B,1.281B,,1.281B,,,,23.16B,20.38B,,20.38B,,,,7.231B,1.382B,174.00M,9.431B,37.21B,60.38B,,14.40B,38.63B,19.91B,,,,,-6.00B,26.99B,,AOR,Restated
2013-03,4.767B,4.767B,10.79B,,12.44B,1.868B,11.97B,3.438B,,10.16B,,,850.00M,29.16B,,,,,,,17.95B,-9.519B,8.428B,27.52B,15.12B,42.64B,1.105B,1.552B,,5.626B,59.35B,88.51B,,6.192B,,6.192B,14.85B,21.05B,0.00,1.252B,1.252B,,1.252B,,,261.00M,22.56B,21.57B,,21.57B,,,,7.358B,1.369B,255.00M,9.206B,38.39B,60.95B,,14.22B,37.55B,19.58B,,,,,-5.867B,26.19B,,AOR,Restated
2012-12,4.819B,4.819B,11.10B,,12.71B,1.861B,11.50B,3.205B,,9.537B,,,1.473B,29.61B,0.00,433.00M,5.436B,10.88B,1.316B,,18.06B,-9.547B,8.518B,27.80B,15.19B,42.99B,1.15B,1.599B,,5.542B,59.80B,89.41B,,6.431B,1.434B,7.865B,7.707B,15.57B,320.00M,1.304B,1.624B,,1.624B,5.936B,5.936B,421.00M,23.79B,21.60B,,21.60B,,,,7.52B,1.155B,238.00M,9.199B,38.55B,62.34B,,13.98B,36.78B,19.25B,,,,,-5.448B,25.91B,,AOR,Restated
2012-09,6.242B,6.242B,10.61B,,10.61B,1.912B,12.29B,3.463B,,10.47B,,1.474B,1.008B,31.68B,,,,,,,17.86B,-9.622B,8.239B,27.63B,15.15B,42.78B,,,1.541B,7.705B,60.26B,91.95B,,6.156B,,6.156B,14.60B,20.76B,,,5.291B,,5.291B,,,405.00M,26.45B,23.41B,,23.41B,,,,6.632B,1.369B,,9.129B,39.17B,65.62B,,13.80B,35.22B,19.26B,,,,,-4.663B,24.96B,,AOR,Restated
2012-06,5.966B,5.966B,9.538B,,9.538B,1.139B,10.92B,3.083B,,8.502B,10.72B,1.677B,755.00M,39.14B,,,,,,,15.01B,-9.295B,5.717B,16.12B,4.893B,21.01B,,,2.443B,6.342B,35.51B,74.65B,,5.752B,,5.752B,12.85B,18.60B,,,271.00M,,271.00M,,,917.00M,19.79B,20.45B,,20.45B,,,,5.087B,1.121B,,5.598B,31.14B,50.93B,,13.54B,34.28B,19.40B,,,,,-5.675B,22.60B,,AOR,Restated
2012-03,6.285B,6.285B,8.833B,,8.833B,1.247B,10.77B,3.238B,,8.366B,,1.695B,727.00M,27.85B,,,,,,,15.52B,-9.687B,5.835B,16.17B,3.742B,19.91B,,,2.357B,5.774B,33.88B,61.72B,,5.281B,,5.281B,11.98B,17.26B,,,300.00M,,300.00M,,,771.00M,18.33B,9.491B,,9.491B,,,,5.177B,1.057B,,5.177B,19.84B,38.18B,,13.65B,33.39B,19.40B,,,,,-5.001B,22.49B,,AOR,Restated
2011-12,5.96B,5.96B,9.546B,,11.21B,1.321B,10.07B,3.078B,,7.797B,,,793.00M,25.76B,0.00,335.00M,4.885B,9.994B,766.00M,,15.98B,-9.779B,6.201B,17.94B,3.918B,21.86B,1.035B,2.387B,,4.21B,35.69B,61.45B,,5.57B,744.00M,6.314B,6.30B,12.61B,455.00M,304.00M,759.00M,,759.00M,5.028B,5.028B,,18.62B,9.501B,,9.501B,,,,5.007B,940.00M,358.00M,5.15B,20.02B,38.63B,,13.44B,33.49B,19.41B,,,,,-5.49B,21.88B,,AOR,Restated
2011-09,5.966B,5.966B,9.503B,,9.503B,1.357B,10.75B,3.258B,,8.617B,,1.551B,787.00M,26.42B,,,,,,,16.04B,-9.905B,6.137B,17.98B,3.966B,21.95B,,,1.744B,5.697B,35.52B,61.95B,,5.597B,,5.597B,12.60B,18.20B,,,1.863B,,1.863B,,,,20.06B,9.501B,,9.501B,,,,3.409B,1.325B,,5.059B,17.97B,38.03B,,13.33B,32.59B,19.41B,,,,,-3.766B,22.59B,,AOR,Restated
2011-06,5.396B,5.396B,9.801B,,9.801B,1.361B,10.50B,3.426B,,8.795B,,1.557B,880.00M,26.43B,,,,,,,16.36B,-10.04B,6.329B,18.31B,4.141B,22.45B,,,1.724B,5.215B,35.72B,62.15B,,5.686B,,5.686B,12.62B,18.31B,,,1.906B,,1.906B,,,,20.21B,9.492B,,9.492B,,,,3.528B,1.364B,,4.826B,17.85B,38.06B,,13.04B,31.70B,18.96B,,,,,-2.896B,22.72B,,AOR,Restated
2011-03,4.44B,4.44B,9.26B,,9.26B,1.36B,10.38B,3.397B,,8.827B,,1.578B,900.00M,25.00B,,,,,,,16.31B,-9.924B,6.382B,18.19B,4.177B,22.37B,,,1.861B,5.046B,35.66B,60.66B,,5.635B,,5.635B,12.78B,18.42B,,,501.00M,,501.00M,,,,18.92B,9.986B,,9.986B,,,,3.583B,1.319B,,4.734B,18.30B,37.22B,,12.79B,30.81B,18.21B,,,,,-3.101B,22.13B,,AOR,Restated
2010-12,4.083B,4.083B,8.925B,,8.925B,1.221B,9.599B,3.026B,,7.766B,,1.623B,1.113B,23.51B,0.00,342.00M,4.908B,10.01B,,654.00M,15.91B,-9.634B,6.28B,17.72B,4.06B,21.78B,,,1.97B,4.952B,34.98B,58.49B,,5.206B,,5.206B,12.25B,17.45B,,,279.00M,,279.00M,,,,17.73B,10.01B,,10.01B,,,,3.592B,1.264B,,4.51B,18.11B,35.84B,,12.60B,30.19B,17.47B,,,366.00M,-4.135B,-3.769B,21.38B,,AOR,Restated
2010-09,5.731B,5.731B,8.731B,,8.731B,1.251B,10.27B,3.11B,,8.43B,,1.603B,842.00M,25.34B,,,,,,,15.80B,-9.648B,6.148B,17.42B,4.07B,21.49B,,,2.308B,5.364B,35.31B,60.65B,,4.964B,,4.964B,12.42B,17.39B,,,2.231B,,2.231B,,,,19.62B,10.07B,,10.07B,,,,3.927B,999.00M,318.00M,4.46B,18.78B,38.40B,,12.32B,29.38B,16.92B,,,,,-3.357B,21.25B,,AOR,Restated
2010-06,4.997B,4.997B,8.881B,,8.881B,1.281B,9.774B,3.077B,,8.083B,,1.624B,816.00M,24.40B,,,,,,,15.52B,-9.429B,6.09B,16.91B,3.899B,20.81B,,,2.037B,5.002B,33.94B,58.34B,,5.057B,,5.057B,11.68B,16.74B,,,2.026B,,2.026B,,,,18.76B,10.04B,,10.04B,,,,3.996B,982.00M,311.00M,4.32B,18.67B,37.43B,,12.20B,28.57B,16.43B,,,,,-4.238B,19.93B,,AOR,Restated
2010-03,4.788B,4.788B,8.737B,,8.737B,1.309B,9.84B,3.194B,,8.172B,,1.676B,948.00M,24.32B,,,,,,,15.83B,-9.499B,6.335B,17.07B,4.047B,21.12B,,,2.081B,4.535B,34.07B,58.39B,,4.801B,,4.801B,11.92B,16.72B,,,1.948B,,1.948B,,,,18.67B,10.00B,,10.00B,,,,4.099B,960.00M,377.00M,4.314B,18.79B,37.46B,,11.94B,27.85B,15.90B,,,,,-3.746B,19.96B,,AOR,Restated
2009-12,4.449B,4.449B,8.469B,,8.469B,1.281B,9.576B,2.889B,,7.509B,,1.689B,1.078B,23.19B,0.00,345.00M,4.898B,9.941B,,493.00M,15.68B,-9.313B,6.364B,16.30B,3.538B,19.84B,,,2.102B,4.266B,32.57B,55.76B,,4.634B,,4.634B,11.79B,16.43B,,,1.487B,,1.487B,,,,17.91B,8.257B,,8.257B,,,,4.15B,1.322B,,4.054B,16.46B,34.37B,,11.75B,27.40B,15.41B,,,379.00M,-3.866B,-3.487B,20.07B,,AOR,Restated
2009-09,4.632B,4.632B,8.46B,,8.46B,1.239B,10.12B,3.286B,,8.086B,,1.666B,885.00M,23.73B,,,,,,,15.48B,-9.197B,6.278B,16.20B,3.546B,19.75B,,,3.268B,4.552B,33.85B,57.58B,,4.43B,,4.43B,12.07B,16.50B,,,1.703B,,1.703B,,,,18.20B,8.729B,,8.729B,,,,6.663B,1.157B,,4.339B,19.73B,37.93B,,11.52B,26.83B,15.09B,,,,,-4.58B,18.49B,,AOR,Restated
