,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2003-09,,2.257B,,2.257B,1.640B,1.640B,3.936B,,,,,,,,407.93M,,,3.166B,37.44B,621.42M,-279.24M,36.54B,6.211B,46.32B,50.26B,1.170B,1.170B,,1.170B,601.27M,601.27M,601.27M,6.073B,6.199B,,6.199B,32.41B,38.61B,44.69B,66.17M,2.605B,2.860B,,,40.65M,5.572B
2003-06,,2.576B,,2.576B,1.599B,1.599B,4.188B,,,,,,,,413.59M,,,3.188B,37.29B,603.50M,-291.97M,36.40B,6.212B,46.21B,50.40B,,,,,1.069B,1.069B,1.069B,4.631B,6.759B,,6.759B,32.54B,39.30B,44.97B,66.08M,2.485B,2.830B,,,52.37M,5.433B
2003-03,,850.62M,,850.62M,1.180B,1.180B,2.032B,,,,,,,,231.83M,,,1.205B,26.43B,444.68M,-203.80M,25.78B,4.196B,31.41B,33.44B,424.89M,424.89M,,424.89M,524.93M,524.93M,524.93M,2.812B,5.395B,,5.395B,21.92B,27.32B,30.13B,54.96M,2.387B,1.188B,365.95M,,49.36M,3.313B
2002-12,,971.63M,,971.63M,1.156B,1.156B,2.448B,,,,,,,,238.99M,,,1.216B,25.94B,436.47M,-209.16M,25.29B,4.007B,30.75B,33.20B,400.99M,400.99M,,400.99M,1.362B,1.362B,1.362B,3.830B,4.497B,,4.497B,21.66B,26.16B,29.99B,54.76M,2.298B,1.193B,391.90M,,54.77M,3.208B
2002-09,,1.204B,,1.204B,1.131B,1.131B,2.573B,,,,,,,,243.86M,,,1.228B,26.51B,437.34M,-201.04M,25.87B,4.232B,31.58B,34.15B,424.67M,424.67M,,424.67M,1.212B,1.212B,1.212B,4.235B,4.314B,,4.314B,22.54B,26.85B,31.09B,54.72M,2.308B,1.059B,404.23M,,41.78M,3.059B
2002-06,,869.84M,,869.84M,1.113B,1.113B,2.027B,,,,,,,,247.40M,,,1.241B,25.81B,436.40M,-207.80M,25.17B,3.003B,29.66B,31.69B,394.88M,394.88M,,394.88M,1.112B,1.112B,1.112B,2.639B,4.212B,,4.212B,21.86B,26.07B,28.71B,54.78M,2.213B,1.062B,388.70M,,35.35M,2.977B
2002-03,,701.05M,,701.05M,1.169B,1.169B,2.190B,,,,,,,,254.15M,,,1.254B,25.34B,433.03M,-204.06M,24.70B,2.893B,29.11B,31.30B,472.49M,472.49M,,472.49M,1.067B,1.067B,1.067B,2.615B,4.109B,,4.109B,21.62B,25.73B,28.35B,54.88M,2.115B,1.075B,310.19M,,12.58M,2.947B
2001-12,,970.00M,,970.00M,1.084B,1.084B,2.095B,,,,,,,,261.88M,,,1.268B,25.40B,425.01M,-207.71M,24.76B,3.063B,29.36B,31.45B,422.75M,422.75M,,422.75M,912.27M,912.27M,912.27M,3.469B,3.462B,,3.462B,21.58B,25.04B,28.51B,54.73M,2.018B,1.096B,252.14M,,22.82M,2.939B
2001-09,,788.99M,,788.99M,1.037B,1.037B,1.829B,,,,,,,,264.26M,,,1.317B,25.16B,412.73M,-209.55M,24.53B,3.195B,29.31B,31.14B,458.45M,458.45M,,458.45M,876.81M,876.81M,876.81M,4.046B,3.616B,,3.616B,20.52B,24.14B,28.18B,54.78M,1.939B,1.105B,186.43M,,42.75M,2.956B
2001-06,,717.53M,,717.53M,1.058B,1.058B,1.806B,,,,,,,,268.58M,,,1.348B,24.99B,408.51M,-212.70M,24.37B,3.414B,29.40B,31.20B,475.60M,475.60M,,475.60M,891.78M,891.78M,891.78M,4.447B,3.727B,,3.727B,20.04B,23.77B,28.22B,54.97M,1.866B,1.129B,73.14M,,10.42M,2.987B
2001-03,,694.62M,,694.62M,1.054B,1.054B,1.755B,,,,,,,,272.79M,,,1.379B,24.39B,399.41M,-219.75M,23.77B,3.749B,29.17B,30.92B,520.38M,520.38M,,520.38M,888.76M,888.76M,888.76M,3.464B,3.490B,,3.490B,20.98B,24.47B,27.93B,54.94M,1.795B,1.121B,,,21.09M,2.992B
2000-12,,753.36M,,753.36M,1.006B,1.006B,1.777B,,,,,,,,257.98M,,,1.199B,22.97B,374.70M,-227.50M,22.37B,3.347B,27.17B,28.95B,528.96M,528.96M,,528.96M,631.94M,631.94M,631.94M,2.602B,3.415B,,3.415B,20.23B,23.65B,26.25B,50.70M,1.736B,914.58M,,,-0.432M,2.700B
2000-09,,564.24M,,564.24M,829.63M,829.63M,1.395B,,,,,,,,161.68M,,,610.84M,17.50B,323.31M,-176.08M,17.00B,2.841B,20.61B,22.01B,319.61M,319.61M,,319.61M,613.53M,613.53M,613.53M,3.593B,1.794B,,1.794B,14.68B,16.48B,20.07B,44.61M,1.687B,435.56M,195.16M,,-32.38M,1.940B
2000-06,,547.06M,,547.06M,819.87M,819.87M,1.431B,,,,,,,,161.37M,,,624.65M,17.11B,320.16M,-161.58M,16.63B,2.901B,20.32B,21.75B,290.86M,290.86M,,290.86M,605.48M,605.48M,605.48M,2.896B,1.775B,,1.775B,15.22B,17.00B,19.89B,44.71M,1.622B,442.03M,209.12M,,-47.72M,1.852B
2000-03,,478.33M,,478.33M,775.17M,775.17M,1.845B,,,,,,,,169.19M,,,638.24M,17.86B,318.60M,-157.41M,17.38B,2.725B,20.92B,22.76B,934.86M,934.86M,,934.86M,660.18M,660.18M,660.18M,4.003B,1.774B,,1.774B,15.15B,16.93B,20.93B,44.58M,1.560B,446.92M,195.47M,,-23.93M,1.832B
1999-12,,593.90M,,593.90M,717.60M,717.60M,1.955B,,,,,,,,173.80M,,,648.00M,17.57B,316.20M,-166.10M,17.09B,2.542B,20.45B,22.41B,909.20M,909.20M,,909.20M,765.30M,765.30M,765.30M,3.463B,1.775B,,1.775B,15.37B,17.15B,20.61B,44.40M,1.502B,458.70M,181.60M,,-26.00M,1.797B
1999-09,,1.036B,,1.036B,714.30M,714.30M,1.750B,,,,,,,,169.70M,,,662.60M,17.16B,315.00M,-171.80M,16.67B,2.508B,20.01B,21.76B,920.70M,920.70M,,920.70M,460.00M,460.00M,460.00M,2.751B,1.775B,,1.775B,15.42B,17.19B,19.94B,44.50M,1.445B,460.20M,110.60M,,-22.10M,1.817B
1999-06,,965.20M,,965.20M,724.60M,724.60M,1.690B,,,,,,,,164.90M,,,620.90M,16.71B,314.40M,-193.20M,16.20B,2.531B,19.52B,21.21B,761.00M,761.00M,,761.00M,467.20M,467.20M,467.20M,2.702B,1.822B,,1.822B,14.91B,16.73B,19.43B,,1.387B,,,,-13.60M,1.772B
1999-03,,806.90M,,806.90M,716.90M,716.90M,1.524B,,,,,,,,159.20M,,,534.50M,16.02B,306.70M,-202.60M,15.51B,2.561B,18.76B,20.28B,705.40M,705.40M,,705.40M,373.50M,373.50M,373.50M,2.425B,1.717B,,1.717B,14.48B,16.19B,18.62B,,1.330B,,,,0.60M,1.667B
1998-12,,723.60M,,723.60M,707.60M,707.60M,1.431B,,,,,,,,162.80M,,,546.00M,16.01B,306.30M,-214.20M,15.49B,2.959B,19.15B,20.58B,446.90M,446.90M,,446.90M,483.90M,483.90M,483.90M,2.677B,1.568B,,1.568B,14.74B,16.30B,18.98B,,1.271B,,,,2.90M,1.602B
1998-09,,543.50M,,543.50M,1.267B,1.267B,1.811B,,,,,,,,170.90M,,,,15.39B,309.50M,-224.80M,14.85B,2.643B,17.67B,19.48B,400.20M,400.20M,,400.20M,354.60M,354.60M,354.60M,2.241B,1.194B,,1.194B,14.39B,15.59B,17.83B,,1.221B,,,,6.80M,1.649B
1998-06,,848.40M,,848.40M,741.10M,741.10M,1.590B,,,,,,,,173.70M,,,566.90M,15.49B,310.80M,-242.60M,14.93B,2.874B,18.55B,20.14B,399.40M,399.40M,,399.40M,394.70M,394.70M,394.70M,2.972B,694.60M,,694.60M,14.81B,15.51B,18.48B,,1.172B,,,,6.60M,1.659B
