,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2014-09,3.411B,3.411B,,,,,67.00M,-67.00M,,,67.00M,-67.00M,18.00M,-67.00M,601.00M,162.00M,439.00M,,,,,439.00M,439.00M,,668.00M,,1.69,,,1.69,1.69,,1.65,,,1.65,1.65,,260.37M,266.79M,0.16,,AOR,Restated
2014-06,3.282B,3.282B,,,,,67.00M,-67.00M,,,67.00M,-67.00M,18.00M,-67.00M,537.00M,139.00M,398.00M,,,,,398.00M,398.00M,,604.00M,,1.52,,,1.52,1.52,,1.48,,,1.48,1.48,,262.27M,268.94M,0.16,,AOR,Restated
2014-03,3.176B,3.176B,,,,,67.00M,-67.00M,,,67.00M,-67.00M,19.00M,-67.00M,427.00M,98.00M,329.00M,,,,,329.00M,329.00M,,494.00M,,1.25,,,1.25,1.25,,1.21,,,1.21,1.21,,262.74M,272.12M,0.16,,AOR,Restated
2013-12,3.122B,3.122B,,,,,69.00M,-133.00M,,,69.00M,-133.00M,18.00M,-133.00M,466.00M,115.00M,351.00M,,,,,351.00M,351.00M,,535.00M,,1.335,,,1.335,1.335,,1.29,0.00,,1.29,1.29,,262.42M,272.73M,0.12,,AOR,Restated
2013-09,3.009B,3.009B,,,,,67.00M,-67.00M,,,67.00M,-67.00M,19.00M,-67.00M,442.00M,105.00M,337.00M,,,,,337.00M,337.00M,,509.00M,,1.28,,,1.28,1.28,,1.23,,,1.23,1.23,,263.55M,273.69M,0.12,,AOR,Restated
2013-06,2.999B,2.999B,,,,,65.00M,-65.00M,,,65.00M,-65.00M,19.00M,-65.00M,418.00M,101.00M,317.00M,,,,,317.00M,317.00M,,483.00M,,1.19,,,1.19,1.19,,1.15,,,1.15,1.15,,266.37M,275.66M,0.12,,AOR,Restated
2013-03,2.839B,2.839B,,,,,64.00M,-64.00M,,,64.00M,-64.00M,19.00M,-64.00M,305.00M,66.00M,239.00M,,,,,239.00M,239.00M,,369.00M,,0.89,,,0.89,0.89,,0.86,,,0.86,0.86,,270.27M,278.59M,0.12,,AOR,Restated
2012-12,2.973B,2.973B,,,,,70.00M,-126.00M,,,70.00M,-126.00M,18.00M,-126.00M,400.00M,79.00M,321.00M,0.00,,,,321.00M,321.00M,,470.00M,,1.179,0.00,,1.179,1.179,,1.14,0.00,,1.14,1.14,,273.62M,281.09M,0.00,,AOR,Restated
2012-09,2.954B,2.954B,,,,,68.00M,-68.00M,,,68.00M,-68.00M,19.00M,-68.00M,418.00M,18.00M,400.00M,28.00M,,,,428.00M,400.00M,,486.00M,,1.44,0.10,,1.44,1.54,,1.41,0.10,,1.41,1.51,,277.88M,284.65M,0.08,,AOR,Restated
2012-06,2.898B,2.898B,,,,,68.00M,-68.00M,,,68.00M,-68.00M,19.00M,-68.00M,442.00M,121.00M,321.00M,0.00,,,,321.00M,321.00M,,510.00M,,1.14,0.00,,1.14,1.14,,1.09,0.00,,1.09,1.09,,282.09M,289.96M,0.08,,AOR,Restated
2012-03,2.71B,2.71B,,,,,68.00M,-68.00M,,,68.00M,-68.00M,19.00M,-68.00M,308.00M,64.00M,244.00M,-1.00M,,,,243.00M,244.00M,,376.00M,,0.84,0.00,,0.84,0.84,,0.82,0.00,,0.82,0.82,,289.06M,295.91M,0.08,,AOR,Restated
2011-12,2.568B,2.568B,-2.398B,,-975.00M,,71.00M,-118.00M,,-975.00M,71.00M,-118.00M,-287.00M,-118.00M,-489.00M,60.00M,-549.00M,0.00,,,,-549.00M,-549.00M,,-418.00M,,-1.76,0.00,,-1.76,-1.76,,-1.76,0.00,,-1.76,-1.76,,297.79M,304.33M,0.08,,AOR,Restated
