,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2016-09,233.60M,233.60M,441.27M,50.25M,491.52M,169.29M,,335.69M,,504.98M,,,72.03M,1.558B,,,,,,,,3.890B,-1.545B,2.345B,1.484B,380.37M,1.865B,468.76M,,,3.161B,7.839B,9.397B,241.51M,34.08M,23.97M,299.56M,240.65M,540.21M,,400.89M,,400.89M,,,,135.74M,1.077B,,3.048B,,3.048B,783.27M,,783.27M,342.01M,152.41M,228.27M,4.869B,5.946B,1.124M,1.554B,2.078B,,,-334.43M,3.299B
2016-06,193.66M,193.66M,446.35M,44.44M,490.79M,164.47M,,352.58M,,517.05M,,,70.32M,1.528B,,,,,,,,3.847B,-1.501B,2.346B,1.473B,380.98M,1.854B,458.65M,,,3.126B,7.785B,9.312B,253.07M,34.04M,21.53M,308.64M,211.44M,520.08M,,493.70M,,493.70M,,,,145.27M,1.159B,,3.019B,,3.019B,799.01M,,799.01M,342.69M,149.73M,230.35M,4.847B,6.006B,1.124M,1.460B,2.071B,,,-375.46M,3.157B
2016-03,252.38M,252.38M,565.72M,87.24M,652.96M,185.45M,,345.78M,,531.23M,,,68.52M,1.615B,,,,,,,,3.929B,-1.440B,2.490B,2.931B,1.731B,4.663B,476.70M,,,194.81M,7.824B,9.439B,303.80M,34.02M,58.26M,396.08M,315.65M,711.73M,,484.75M,,484.75M,,,,28.62M,1.225B,,3.105B,,3.105B,735.11M,,735.11M,430.36M,154.57M,248.18M,4.519B,5.744B,1.123M,1.809B,2.062B,,,-331.66M,3.540B
2015-12,213.73M,213.73M,397.91M,51.23M,495.55M,175.49M,,264.02M,,439.51M,38.61M,,1.664M,1.831B,0.00,178.54M,236.58M,2.216B,652.87M,416.40M,,3.700B,-1.379B,2.321B,1.461B,383.87M,1.844B,435.58M,31.78M,75.81M,3.058B,7.767B,9.598B,239.57M,32.31M,26.96M,298.83M,221.29M,520.12M,,674.99M,,674.99M,,,,329.60M,1.617B,67.22M,3.142B,,3.142B,384.85M,,384.85M,371.26M,146.92M,48.57M,4.580B,6.197B,1.122M,1.615B,2.059B,,,-421.29M,3.254B
2015-09,234.49M,234.49M,618.30M,76.27M,694.57M,169.65M,45.14M,414.61M,,629.39M,,,162.46M,1.721B,,,,,,,,4.097B,-1.496B,2.601B,2.811B,1.897B,4.708B,453.87M,,,191.35M,7.954B,9.675B,371.65M,32.30M,67.30M,471.25M,566.93M,1.038B,,284.37M,,284.37M,,,,,1.323B,,3.559B,,3.559B,761.84M,,761.84M,506.46M,130.02M,250.74M,5.078B,6.401B,1.122M,1.474B,2.056B,,,-386.41M,3.144B
2015-06,207.24M,207.24M,638.34M,72.24M,710.58M,171.00M,50.13M,380.90M,,602.02M,,,134.24M,1.654B,,,,,,,,4.074B,-1.455B,2.619B,2.770B,1.939B,4.709B,605.44M,,,183.95M,8.117B,9.771B,342.48M,32.29M,60.00M,434.77M,505.31M,940.08M,,428.00M,,428.00M,,,,,1.368B,,3.562B,,3.562B,766.71M,,766.71M,511.39M,136.83M,246.41M,5.087B,6.455B,1.122M,1.441B,2.054B,,,-316.41M,3.179B
2015-03,261.42M,261.42M,626.96M,83.03M,710.00M,149.65M,58.14M,412.39M,,620.18M,,,94.95M,1.687B,,,,,,,,4.022B,-1.405B,2.617B,2.710B,1.948B,4.658B,652.97M,,,180.21M,8.108B,9.795B,340.82M,32.26M,57.51M,430.59M,553.95M,984.54M,,471.81M,,471.81M,,,,,1.456B,,3.541B,,3.541B,801.31M,,801.31M,506.49M,137.95M,241.97M,5.091B,6.547B,1.122M,1.421B,2.049B,,,-362.28M,3.109B
2014-12,2.490B,2.490B,385.21M,26.22M,457.47M,95.59M,,262.77M,,358.36M,41.45M,1.801M,,3.349B,0.00,105.35M,214.36M,2.106B,85.89M,108.62M,,2.621B,-1.389B,1.232B,243.26M,44.12M,287.39M,194.04M,34.08M,86.02M,40.85M,1.874B,5.223B,231.70M,21.46M,9.453M,262.62M,117.10M,379.72M,,711.10M,,711.10M,,,,,1.140B,19.93M,2.223B,,2.223B,56.88M,,56.88M,249.13M,129.17M,20.27M,2.595B,3.734B,0.78M,1.411B,10.45M,,,-62.41M,1.359B
2014-09,653.12M,653.12M,383.32M,41.26M,424.59M,99.64M,,268.28M,,367.91M,,,62.69M,1.508B,,,,,,,,2.623B,-1.393B,1.230B,251.96M,46.12M,298.08M,196.51M,,,160.29M,1.885B,3.393B,205.81M,21.28M,3.115M,230.20M,214.24M,444.44M,,368.27M,,368.27M,,,,,812.71M,,684.11M,,684.11M,95.12M,,95.12M,120.53M,130.53M,93.73M,993.48M,1.806B,0.782M,1.451B,6.992M,,,-1.651M,1.457B
2014-06,515.12M,515.12M,407.30M,39.41M,446.71M,89.68M,,280.89M,,370.56M,,,55.50M,1.526B,,,,,,,,2.628B,-1.389B,1.240B,265.23M,43.42M,308.65M,224.05M,,,156.36M,1.929B,3.455B,185.02M,21.27M,4.691M,210.98M,216.23M,427.22M,,377.52M,,377.52M,,,,11.18M,815.91M,,685.84M,,685.84M,106.44M,,106.44M,124.78M,122.11M,96.47M,1.014B,1.829B,0.782M,1.399B,3.213M,,,99.64M,1.503B
2014-03,524.04M,524.04M,427.98M,34.92M,462.90M,98.56M,,321.74M,,420.30M,,,70.16M,1.477B,,,,,,,,2.976B,-1.635B,1.340B,283.36M,85.76M,369.13M,219.08M,,,152.79M,2.081B,3.559B,183.46M,21.49M,5.26M,210.21M,194.93M,405.14M,,18.06M,,18.06M,,,,,423.20M,,1.053B,,1.053B,127.60M,,127.60M,125.90M,122.85M,101.63M,1.408B,1.831B,0.795M,1.494B,3.113M,,,106.93M,1.605B
2013-12,477.24M,477.24M,446.86M,23.14M,518.27M,95.19M,,340.86M,,436.05M,47.45M,3.912M,,1.483B,0.00,115.60M,235.93M,2.420B,85.51M,115.50M,,2.972B,-1.615B,1.357B,284.20M,88.20M,372.41M,212.18M,25.12M,69.82M,65.29M,2.102B,3.585B,208.18M,19.20M,17.76M,245.14M,103.88M,349.02M,,24.55M,,24.55M,17.90M,20.75M,2.853M,,436.36M,26.14M,1.054B,,1.054B,129.19M,2.444M,131.63M,134.58M,115.42M,29.16M,1.406B,1.842B,0.801M,1.500B,9.957M,,,116.24M,1.627B
2013-09,401.43M,401.43M,409.21M,37.51M,446.71M,103.51M,,382.30M,,485.80M,,,60.76M,1.395B,,,,,,,,2.935B,-1.586B,1.349B,279.67M,89.56M,369.23M,208.08M,,,149.08M,2.075B,3.470B,192.90M,19.18M,19.13M,231.21M,160.02M,391.24M,,19.60M,,19.60M,,,,,410.84M,,1.060B,,1.060B,68.77M,,68.77M,252.10M,110.05M,100.92M,1.482B,1.893B,0.814M,1.364B,6.016M,,,96.30M,1.467B
2013-06,314.66M,314.66M,407.84M,43.40M,451.24M,98.35M,,353.65M,,452.00M,,,63.98M,1.282B,,,,,,,,2.896B,-1.562B,1.334B,272.77M,90.73M,363.50M,206.76M,,,150.05M,2.054B,3.336B,179.17M,19.18M,7.055M,205.40M,160.82M,366.23M,,9.355M,,9.355M,,,,,375.58M,,1.068B,,1.068B,68.47M,,68.47M,254.85M,112.40M,103.79M,1.495B,1.871B,0.814M,1.293B,3.005M,,,56.18M,1.353B
2013-03,434.90M,434.90M,407.82M,47.13M,454.96M,101.18M,,331.88M,,433.06M,,,80.58M,1.404B,,,,,,,,2.851B,-1.533B,1.318B,269.71M,91.83M,361.54M,215.90M,,,151.74M,2.047B,3.450B,207.50M,20.89M,7.472M,235.86M,189.17M,425.02M,,9.228M,,9.228M,,,,,434.25M,,686.59M,,686.59M,66.26M,,66.26M,254.83M,104.24M,106.28M,1.114B,1.548B,0.881M,1.744B,2.007M,,,51.01M,1.798B
2012-12,477.70M,477.70M,378.97M,21.45M,449.02M,102.38M,,325.76M,,428.14M,48.25M,4.197M,,1.407B,0.00,112.34M,198.26M,2.190B,83.09M,234.95M,,2.819B,-1.522B,1.297B,276.97M,94.46M,371.43M,207.14M,25.02M,64.51M,65.31M,2.030B,3.437B,172.87M,17.47M,29.45M,219.79M,99.12M,318.91M,,12.70M,,12.70M,13.96M,13.96M,,,385.01M,33.73M,686.59M,,686.59M,63.37M,3.362M,66.73M,276.56M,98.41M,27.49M,1.120B,1.505B,0.889M,1.745B,2.761M,,,85.26M,1.834B
2012-09,402.64M,402.64M,378.94M,,378.94M,118.84M,,373.10M,,491.93M,,,113.34M,1.387B,,,,,,,,2.830B,-1.577B,1.253B,271.57M,95.50M,367.07M,199.86M,,,155.73M,1.976B,3.363B,166.56M,17.52M,4.646M,188.73M,181.21M,369.94M,,12.57M,,12.57M,,,,,382.51M,,701.16M,,701.16M,99.27M,,99.27M,170.28M,92.93M,108.15M,1.079B,1.461B,0.893M,1.990B,10.29M,,,-192.42M,1.808B
2012-06,461.75M,461.75M,416.15M,,416.15M,130.21M,,369.47M,,499.68M,,,74.10M,1.452B,,,,,,,,2.725B,-1.548B,1.177B,265.65M,97.16M,362.81M,196.10M,,,115.16M,1.851B,3.303B,194.90M,17.55M,3.615M,216.07M,184.66M,400.73M,,12.57M,,12.57M,,,,,413.30M,,742.25M,,742.25M,70.50M,,70.50M,170.09M,87.95M,112.92M,1.096B,1.509B,0.895M,1.908B,28.26M,,,-231.64M,1.706B
2012-03,519.36M,519.36M,425.85M,,425.85M,128.72M,,332.08M,,460.81M,,,63.54M,1.470B,,,,,,,,2.681B,-1.514B,1.167B,278.92M,128.07M,406.99M,209.41M,,,110.33M,1.894B,3.363B,224.27M,17.48M,8.875M,250.62M,168.28M,418.90M,,14.46M,,14.46M,,,,,433.36M,,742.20M,,742.20M,81.56M,,81.56M,184.19M,84.44M,114.82M,1.123B,1.556B,0.892M,1.888B,21.69M,,,-187.98M,1.723B
2011-12,469.42M,469.42M,355.37M,19.96M,399.87M,119.63M,,311.87M,,431.50M,45.45M,9.383M,,1.356B,0.00,109.44M,194.73M,2.086B,86.90M,142.14M,,2.619B,-1.490B,1.129B,273.14M,130.28M,403.43M,198.43M,0.00,50.96M,65.91M,1.848B,3.204B,184.47M,15.24M,31.66M,231.37M,69.12M,300.49M,,14.42M,,14.42M,18.82M,18.82M,,,401.18M,25.79M,749.26M,,749.26M,77.90M,11.41M,89.32M,202.34M,87.55M,26.44M,1.124B,1.525B,0.888M,1.515B,15.19M,,,60.33M,1.591B
2011-09,481.26M,481.26M,439.95M,,439.95M,138.05M,,336.74M,,474.79M,,,53.36M,1.449B,,,,,,,,2.570B,-1.479B,1.091B,281.40M,134.17M,415.58M,201.05M,,,58.84M,1.820B,3.269B,192.92M,14.35M,20.82M,228.09M,161.51M,389.60M,,12.80M,,12.80M,,,,,402.39M,,878.38M,,878.38M,113.05M,,113.05M,54.56M,83.05M,150.05M,1.196B,1.598B,0.888M,1.714B,3.245M,,,-130.78M,1.588B
2011-06,490.72M,490.72M,457.23M,,457.23M,130.15M,,313.11M,,443.25M,,,64.50M,1.456B,,,,,,,,2.541B,-1.477B,1.063B,295.37M,137.60M,432.97M,216.98M,,,123.25M,1.837B,3.292B,205.36M,14.85M,19.11M,239.31M,142.22M,381.53M,,12.88M,,12.88M,,,,,394.41M,,758.87M,,758.87M,120.84M,,120.84M,111.05M,76.09M,105.06M,1.096B,1.490B,0.917M,1.751B,36.76M,,,-62.64M,1.726B
2011-03,441.01M,441.01M,446.50M,,446.50M,107.63M,,295.34M,,402.97M,,,55.89M,1.346B,,,,,,,,2.506B,-1.466B,1.040B,287.26M,135.50M,422.76M,207.38M,,,123.36M,1.794B,3.140B,210.57M,14.81M,15.47M,240.86M,131.65M,372.51M,,9.097M,,9.097M,,,,,381.61M,,758.60M,,758.60M,123.58M,,123.58M,107.80M,66.56M,105.62M,1.096B,1.477B,0.917M,1.652B,28.86M,,,-85.64M,1.596B
2010-12,529.65M,529.65M,374.66M,,374.66M,109.84M,,279.36M,,389.21M,,,54.68M,1.348B,60.63M,104.44M,204.86M,1.987B,,58.18M,24.65M,2.440B,-1.434B,1.006B,272.24M,134.76M,407.00M,180.69M,,,125.88M,1.720B,3.068B,175.18M,12.55M,23.78M,211.51M,143.68M,355.19M,,8.983M,,8.983M,,,,,364.18M,,851.93M,,851.93M,109.57M,,109.57M,157.85M,59.67M,108.81M,1.228B,1.592B,0.916M,1.561B,18.84M,,,-164.20M,1.416B
2010-09,424.67M,424.67M,370.73M,,370.73M,112.01M,,261.39M,,373.41M,,,43.25M,1.212B,,,,,,,,2.430B,-1.420B,1.010B,278.39M,138.96M,417.35M,174.53M,,,122.85M,1.725B,2.937B,169.65M,12.48M,22.12M,204.25M,133.31M,337.56M,,10.18M,,10.18M,,,,,347.74M,,755.55M,,755.55M,109.45M,,109.45M,174.82M,55.31M,111.05M,1.151B,1.499B,0.914M,1.488B,11.22M,,,-117.77M,1.383B
2010-06,324.12M,324.12M,384.38M,,384.38M,96.99M,,227.70M,,324.70M,,,47.88M,1.081B,,,,,,,,2.366B,-1.388B,977.34M,261.20M,137.38M,398.59M,160.04M,,,114.01M,1.650B,2.731B,162.78M,12.44M,9.528M,184.75M,123.80M,308.54M,,8.603M,,8.603M,,,,,317.15M,,784.96M,,784.96M,95.33M,,95.33M,173.95M,51.97M,110.22M,1.164B,1.482B,0.912M,1.407B,3.506M,,,-214.41M,1.197B
2010-03,267.32M,267.32M,405.06M,,405.06M,106.02M,,227.82M,,333.83M,,,57.42M,1.064B,,,,,,,,2.388B,-1.385B,1.003B,278.69M,143.22M,421.91M,157.05M,,,111.54M,1.693B,2.757B,185.62M,12.39M,5.04M,203.05M,139.50M,342.55M,,8.39M,,8.39M,,,,,350.94M,,797.29M,,797.29M,77.80M,,77.80M,179.54M,41.11M,110.16M,1.165B,1.516B,0.913M,1.339B,7.532M,,,-146.90M,1.200B
2009-12,308.79M,308.79M,329.22M,,329.22M,106.38M,,241.13M,,347.51M,,,46.58M,1.032B,59.12M,100.55M,196.53M,1.983B,,42.45M,24.65M,2.406B,-1.379B,1.027B,292.72M,150.52M,443.24M,146.08M,,,123.26M,1.739B,2.772B,170.29M,11.01M,2.393M,183.69M,133.27M,316.95M,,36.31M,,36.31M,,,,,353.26M,,776.40M,,776.40M,81.44M,,81.44M,202.35M,47.62M,104.78M,1.165B,1.518B,0.915M,1.288B,8.658M,,,-91.86M,1.206B
2009-09,260.43M,260.43M,325.77M,,325.77M,109.34M,,254.83M,,364.17M,,,52.38M,1.003B,,,,,,,,2.417B,-1.374B,1.042B,297.49M,153.98M,451.47M,145.09M,,,138.50M,1.777B,2.780B,160.58M,10.69M,7.084M,178.35M,135.80M,314.15M,,27.72M,,27.72M,,,,,341.87M,,793.10M,,793.10M,,,,196.33M,47.21M,204.57M,1.194B,1.536B,0.917M,1.237B,14.29M,,,-55.22M,1.197B
2009-06,172.48M,172.48M,302.72M,,302.72M,108.21M,,277.71M,,385.92M,,,51.56M,912.67M,,,,,,,,2.379B,-1.348B,1.031B,288.21M,155.79M,444.00M,139.00M,,,134.11M,1.748B,2.661B,126.38M,10.60M,7.979M,144.95M,120.17M,265.12M,,26.77M,,26.77M,,,,,291.89M,,820.56M,,820.56M,77.98M,,77.98M,197.16M,41.58M,120.19M,1.216B,1.508B,0.915M,1.196B,3.924M,,,-89.69M,1.112B
2009-03,183.90M,183.90M,313.83M,,313.83M,136.31M,,303.90M,,440.21M,,,63.64M,1.002B,,,,,,,,2.319B,-1.314B,1.005B,263.91M,158.95M,422.86M,122.33M,,,133.20M,1.684B,2.685B,158.29M,10.14M,9.733M,178.16M,118.48M,296.64M,,26.26M,,26.26M,,,,,322.90M,,891.88M,,891.88M,73.07M,,73.07M,193.81M,52.26M,137.78M,1.297B,1.619B,0.914M,1.169B,,,,-156.88M,1.013B
2008-12,253.30M,253.30M,327.76M,,327.76M,142.94M,,395.92M,,538.86M,,,59.00M,1.179B,0.00,98.96M,183.64M,1.885B,59.06M,71.30M,24.65M,2.323B,-1.311B,1.012B,278.77M,167.01M,445.78M,121.95M,,,113.72M,1.694B,2.873B,224.33M,9.675M,7.645M,241.65M,170.51M,412.16M,,26.20M,,26.20M,,,,,438.37M,,906.06M,,906.06M,74.84M,,74.84M,194.18M,50.71M,142.78M,1.318B,1.756B,0.91M,1.166B,0.00,,,-100.64M,1.066B
