,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2017-06,113.69M,,,-15.05M,0.019M,-15.03M,49.12M,49.12M,-4.567M,,-0.68M,4.446M,,-0.111M,,,,,,-289.81M,-137.04M,-43.62M,,,-4.926M,-0.284M,,-48.83M,-7.498M,-7.498M,,0.00,0.00,-35.43M,-35.43M,1.167M,-18.24M,-60.01M,1.255B,-245.88M,-1.712M,1.007B,,58.89M,-66.38M,0.00
2017-03,62.66M,,,-21.17M,-0.026M,31.60M,45.07M,45.07M,1.363M,,-0.873M,5.046M,,-1.508M,,,,,,-63.32M,82.58M,-54.14M,,,-26.49M,0.492M,,-80.14M,-684.82M,-684.82M,,-250.00M,-250.00M,-34.33M,-34.33M,2.17M,-54.81M,-1.022B,2.270B,-1.019B,4.137M,1.255B,,,-684.82M,-250.00M
2016-12,610.28M,-387.98M,,-15.31M,33.64M,-367.73M,49.67M,49.67M,-383.61M,,-0.374M,3.213M,,42.31M,,,,,,318.88M,281.41M,-55.35M,,,2.888B,-0.517M,,2.832B,-1.024B,-1.024B,,0.00,0.00,-34.29M,-34.29M,2.622M,-12.17M,-1.068B,233.60M,2.046B,-9.504M,2.270B,,0.00,-1.024B,0.00
2016-09,137.70M,0.00,,-15.36M,4.521M,-10.84M,47.99M,47.99M,-10.01M,,-3.271M,5.085M,,2.818M,,,,,,28.33M,201.26M,-41.79M,,,0.00,-0.147M,,-41.94M,-77.46M,-77.46M,,0.00,0.00,-34.27M,-34.27M,1.84M,-6.847M,-116.74M,193.66M,42.59M,-2.652M,233.60M,,-67.86M,-9.594M,0.00
2016-06,-302.75M,-0.974M,,-14.30M,2.001M,-13.27M,67.95M,67.95M,413.92M,,-1.054M,4.726M,,-2.221M,,,,,,-118.48M,80.14M,-41.39M,,,3.434M,-0.222M,,-38.18M,-51.53M,-51.53M,,0.00,0.00,-34.25M,-34.25M,4.939M,-17.06M,-97.91M,252.38M,-55.94M,-2.778M,193.66M,,-0.964M,-50.57M,0.00
2016-03,235.55M,-121.32M,,-16.57M,1.389M,-136.50M,60.55M,60.55M,0.816M,,1.044M,4.007M,,-3.425M,,,,,,10.47M,172.71M,-58.12M,,,225.18M,1.191M,,168.25M,-262.77M,-262.77M,,0.00,0.00,-32.54M,-32.54M,0.00,-1.969M,-297.28M,213.73M,43.68M,-5.032M,252.38M,,68.83M,-331.60M,0.00
2015-12,182.68M,0.00,,-8.763M,-38.58M,-42.00M,59.70M,59.70M,-82.70M,,-0.642M,4.017M,0.059M,-23.61M,,,,,,-56.36M,43.91M,-63.08M,,,2.75M,-0.267M,0.00,-60.60M,70.87M,70.87M,,,,-32.53M,-32.53M,0.175M,-48.96M,-10.45M,234.49M,-27.14M,6.384M,213.73M,,1.25B,-1.179B,
2015-09,70.89M,0.00,,-6.05M,0.839M,-5.211M,68.90M,68.90M,-12.39M,,-0.026M,1.978M,0.00,-11.81M,,,,,,59.76M,183.72M,-52.84M,,,104.13M,-0.168M,0.00,51.12M,-151.20M,-151.20M,,,,-32.53M,-32.53M,0.00,-17.94M,-201.66M,207.24M,33.18M,-5.923M,234.49M,,-133.70M,-17.50M,
2015-06,59.35M,0.00,,-5.794M,0.387M,-5.407M,67.48M,67.48M,-8.362M,,-0.109M,4.281M,-0.036M,1.531M,,,,,,-73.81M,87.39M,-54.98M,,,-3.295M,-0.124M,0.00,-58.40M,-39.26M,-39.26M,,,,-32.51M,-32.51M,0.252M,-12.17M,-83.68M,261.42M,-54.69M,0.511M,207.24M,,-33.87M,-5.385M,
2015-03,47.15M,0.00,,-10.39M,-1.458M,-11.85M,63.99M,63.99M,-32.84M,,-0.462M,4.912M,-0.023M,-57.00M,,,,,,28.88M,45.79M,-56.74M,,,-2.095B,1.557M,57.55M,-2.093B,-158.69M,-158.69M,,,,-21.73M,-21.73M,0.09M,-2.315M,-182.65M,2.490B,-2.230B,1.182M,261.42M,,1.168B,-1.326B,
2014-12,-14.05M,0.00,,-7.542M,111.74M,104.19M,25.23M,25.23M,-40.54M,,-0.30M,3.82M,0.01M,12.72M,,,,,,-31.86M,62.07M,-33.89M,,,0.00,-33.72M,0.00,-67.61M,1.903B,1.903B,,0.00,0.00,-21.28M,-21.28M,0.00,-22.58M,1.859B,653.12M,1.854B,-16.88M,2.490B,,1.888B,14.74M,0.00
2014-09,81.34M,85.52M,,-8.65M,4.029M,80.89M,25.63M,25.63M,-8.298M,-80.71M,0.178M,3.128M,-0.069M,-18.39M,,,,,,25.78M,135.40M,-30.01M,,,104.72M,0.301M,-7.499M,67.51M,-10.48M,-10.48M,,0.00,0.00,-21.51M,-21.51M,0.358M,-9.303M,-40.93M,515.12M,161.97M,-23.97M,653.12M,,0.00,-10.48M,0.00
2014-06,29.38M,,,-10.65M,1.248M,-9.401M,24.90M,24.90M,-20.25M,80.71M,-0.068M,3.917M,-0.181M,4.697M,,,,,,23.41M,145.97M,-23.00M,,,0.00,-1.509M,,-24.51M,-7.564M,-7.564M,,-100.00M,-100.00M,-21.73M,-21.73M,1.10M,-0.003M,-128.20M,524.04M,-6.739M,-2.185M,515.12M,,0.00,-7.564M,-100.00M
2014-03,64.24M,,,-8.901M,16.67M,7.768M,27.81M,27.81M,4.139M,,-0.635M,3.402M,-0.586M,0.13M,,,,,,39.83M,149.17M,-23.67M,,,0.00,2.151M,,-21.52M,-8.535M,-8.535M,,-50.00M,-50.00M,-19.58M,-19.58M,1.255M,-3.752M,-80.61M,477.24M,47.04M,-0.239M,524.04M,,0.00,-8.535M,-50.00M
2013-12,161.35M,0.00,,-6.421M,-137.44M,-143.86M,27.89M,27.89M,57.75M,,-1.757M,3.128M,-0.188M,-0.069M,,,,,,8.35M,115.34M,-20.32M,,,-2.315M,-1.045M,,-23.68M,-0.655M,-0.655M,,0.00,0.00,-19.53M,-19.53M,1.043M,0.137M,-19.01M,401.43M,72.65M,3.16M,477.24M,,41.16M,-41.82M,0.00
2013-09,97.84M,0.00,,-5.338M,1.578M,-3.76M,27.66M,27.66M,2.204M,,-0.012M,2.507M,-0.559M,-6.172M,,,,,,13.66M,138.67M,-31.86M,,,0.00,0.446M,,-31.41M,3.598M,3.598M,,0.00,0.00,-19.52M,-19.52M,0.593M,-9.751M,-25.08M,314.66M,82.17M,4.60M,401.43M,,91.13M,-87.53M,0.00
2013-06,91.13M,,,-9.709M,1.57M,-8.139M,26.57M,26.57M,-1.595M,0.00,-0.875M,2.016M,-0.618M,-0.949M,,,,,,-40.38M,80.20M,-47.83M,,,-0.25M,-0.053M,,-48.14M,380.47M,380.47M,,-521.50M,-521.50M,-21.24M,-21.24M,2.197M,0.151M,-159.92M,434.90M,-127.85M,7.608M,314.66M,,383.25M,-2.776M,-521.50M
2013-03,89.52M,,,-10.26M,1.582M,-8.679M,25.24M,25.24M,6.506M,,-1.037M,2.513M,-1.901M,-1.43M,,,,,,-12.64M,98.65M,-55.34M,,,,0.821M,,-54.51M,-3.604M,-3.604M,,-60.80M,-60.80M,-17.81M,-17.81M,1.72M,-3.542M,-84.03M,477.70M,-39.90M,-2.896M,434.90M,,,-3.604M,-60.80M
2012-12,43.46M,,,-8.834M,87.56M,78.72M,24.59M,24.59M,-29.03M,,-0.46M,4.403M,-0.385M,-1.473M,,,,,,58.78M,182.28M,-62.16M,,,8.774M,-0.478M,-2.459M,-56.33M,-14.57M,-14.57M,,-23.10M,-23.10M,-17.83M,-17.83M,1.171M,0.385M,-53.94M,402.64M,72.01M,3.041M,477.70M,,0.00,-14.57M,-23.10M
2012-09,114.43M,,,-7.935M,0.086M,-7.849M,24.98M,24.98M,9.571M,,-0.942M,0.078M,-2.095M,-19.10M,,,,,,-3.974M,121.57M,-92.08M,,,-0.104M,0.098M,-12.50M,-104.59M,-40.47M,-40.47M,,-26.78M,-26.78M,-17.89M,-17.89M,6.547M,1.969M,-76.62M,461.75M,-59.64M,0.53M,402.64M,,-2.985M,-37.49M,-26.78M
2012-06,53.60M,,,-12.71M,-10.45M,-23.16M,25.21M,25.21M,-5.929M,,0.792M,3.804M,-7.785M,72.04M,,,,,,-69.79M,61.36M,-71.84M,,,-2.25M,-0.122M,-10.00M,-84.21M,-1.62M,-1.62M,,-13.70M,-13.70M,-17.82M,-17.82M,10.86M,-2.325M,-24.60M,519.36M,-47.45M,-10.16M,461.75M,,2.985M,-4.605M,-13.70M
2012-03,118.63M,,,-8.586M,0.243M,-8.343M,24.24M,24.24M,10.80M,,-1.262M,6.926M,-4.544M,5.644M,,,,,,-32.73M,123.54M,-54.78M,,,-0.134M,-1.113M,,-56.03M,-7.149M,-7.149M,,0.00,0.00,-15.58M,-15.58M,2.569M,-1.972M,-22.13M,469.42M,45.38M,4.56M,519.36M,,,-7.149M,0.00
2011-12,59.78M,,,-25.36M,134.21M,108.85M,24.83M,24.83M,-25.85M,,-0.052M,7.704M,-4.651M,-65.38M,,,,,,72.98M,201.89M,-63.46M,,,-12.99M,10.91M,,-65.54M,-127.96M,-127.96M,,0.00,0.00,-14.66M,-14.66M,1.127M,3.847M,-137.65M,481.26M,-1.295M,-10.55M,469.42M,,-129.35M,1.39M,0.00
2011-09,122.96M,,,-3.832M,5.076M,1.244M,24.62M,24.62M,-3.735M,,1.274M,5.473M,-0.229M,-0.692M,,,,,,-11.61M,139.30M,-59.48M,,,-5.137M,-0.178M,,-64.80M,118.43M,118.43M,,-178.13M,-178.13M,-15.14M,-15.14M,0.021M,-3.051M,-77.87M,490.72M,-3.371M,-6.086M,481.26M,,118.30M,0.13M,-178.13M
2011-06,123.69M,,,-3.954M,3.406M,-0.548M,24.31M,24.31M,-2.821M,,-0.427M,7.103M,-1.827M,-3.186M,,,,,,-46.68M,99.61M,-35.73M,,,-5.275M,-0.267M,,-41.28M,3.28M,3.28M,,0.00,0.00,-27.96M,-15.10M,0.877M,0.606M,-10.34M,441.01M,48.00M,1.704M,490.72M,,7.864M,-4.584M,0.00
2011-03,113.77M,,,-10.61M,-45.49M,-56.10M,23.00M,23.00M,21.21M,,-1.483M,6.789M,-3.867M,-4.651M,,,,,,-52.12M,46.56M,-31.89M,,,-0.633M,-8.794M,,-41.32M,-93.93M,-93.93M,,,,,-12.86M,0.205M,3.316M,-103.26M,529.65M,-98.03M,9.391M,441.01M,,6.694M,-100.62M,
2010-12,81.40M,,,-8.025M,45.06M,37.04M,24.09M,24.09M,17.74M,,,4.229M,-3.799M,-92.56M,,,,,,-27.45M,55.58M,-25.47M,,,-5.843M,-0.281M,,-31.60M,99.16M,99.16M,,0.00,0.00,-12.76M,-12.76M,2.456M,0.711M,89.57M,424.67M,113.55M,-8.574M,529.65M,,413.94M,-314.78M,0.00
2010-09,97.02M,,,-9.179M,1.676M,-7.503M,23.08M,23.08M,5.15M,,,2.873M,-3.136M,74.61M,,,,,,-50.50M,141.59M,-16.08M,,,1.644M,-0.275M,,-14.71M,-30.42M,-30.42M,,0.00,0.00,-12.75M,-12.75M,2.908M,2.34M,-37.93M,324.12M,88.95M,11.60M,424.67M,,50.40M,-80.82M,0.00
2010-06,151.00M,,,-15.67M,3.973M,-18.66M,23.71M,23.71M,19.24M,,,4.245M,-0.566M,-135.52M,,,,,72.60M,72.60M,116.06M,-17.79M,,,0.00,-0.178M,,-17.97M,-12.42M,-12.42M,,-6.311M,-6.311M,-12.73M,-12.73M,0.313M,-1.989M,-33.14M,267.32M,64.96M,-8.149M,324.12M,,1.656M,-14.08M,-6.311M
2010-03,,,,-5.10M,-16.81M,-14.96M,24.70M,24.70M,,,,4.347M,-0.48M,77.07M,,,,,-72.60M,-72.60M,18.08M,-16.14M,,,-13.17M,1.386M,,-27.92M,-7.791M,-7.791M,,-8.634M,-8.634M,-11.40M,-11.40M,1.458M,-0.074M,-26.44M,308.79M,-36.28M,-5.195M,267.32M,,6.654M,-14.44M,-8.634M
2009-12,65.22M,,,0.625M,-26.60M,-14.34M,25.97M,25.97M,10.38M,,,2.185M,-0.073M,-33.81M,,,,,,43.57M,99.12M,-17.18M,,,-4.017M,-0.119M,2.078M,-19.23M,-6.969M,-6.969M,,-5.812M,-5.812M,-56.14M,-22.84M,2.181M,6.648M,-26.79M,260.43M,53.10M,-4.739M,308.79M,,-5.969M,-1.00M,-5.812M
2009-09,57.33M,,,1.299M,-0.739M,0.56M,24.14M,24.14M,-3.963M,,,2.401M,-0.918M,8.451M,,,,,,64.30M,152.30M,-23.15M,,,-3.399M,0.241M,-2.078M,-28.39M,-28.05M,-28.05M,,0.00,0.00,,-11.36M,1.876M,0.879M,-36.65M,172.48M,87.26M,0.702M,260.43M,,-12.48M,-15.57M,0.00
2009-06,40.13M,,,-4.213M,-2.50M,5.68M,24.63M,24.63M,-2.232M,,-0.942M,2.13M,-0.894M,-7.624M,,,,,,45.76M,106.64M,-27.39M,,,-8.692M,-0.509M,0.299M,-36.29M,-71.32M,-71.32M,,0.00,0.00,13.87M,-8.076M,1.544M,-8.238M,-86.09M,183.90M,-15.75M,4.325M,172.48M,,10.61M,-81.93M,0.00
2009-03,26.95M,,,-1.988M,-0.148M,-2.136M,25.78M,25.78M,-4.19M,,0.942M,-6.409M,-0.226M,-7.447M,,,,,,-32.78M,0.478M,-33.07M,,,-4.349M,,-0.299M,-37.72M,-13.69M,-13.69M,,0.00,0.00,-13.87M,-13.87M,0.663M,-4.351M,-31.25M,253.30M,-68.49M,-0.912M,183.90M,,22.14M,-35.83M,0.00
2008-12,31.92M,,,-9.832M,-37.65M,-4.749M,30.13M,30.13M,-21.99M,,4.968M,18.47M,-0.372M,11.54M,,,,,116.04M,107.62M,177.53M,-36.27M,,63.47M,-6.677M,4.442M,-5.951M,-44.46M,206.96M,-35.74M,-3.931M,-5.45M,-9.381M,-55.94M,-24.54M,3.931M,-6.784M,-72.51M,207.21M,60.57M,-14.48M,253.30M,-3.931M,255.25M,-48.28M,-5.45M
2008-09,56.18M,,,,,2.526M,27.51M,27.51M,-1.429M,,,,,-8.522M,,,,,-21.20M,-21.20M,55.07M,-23.23M,-6.00M,-29.23M,-37.32M,0.706M,6.00M,-59.84M,,78.35M,0.00,-12.36M,-12.36M,,-10.92M,,-4.499M,50.57M,168.48M,45.80M,-7.067M,207.21M,0.00,,,-12.36M
2008-06,58.07M,,,5.733M,2.50M,-1.758M,27.50M,27.50M,0.60M,,-0.827M,-4.59M,6.92M,21.14M,,,,,-94.84M,-31.30M,75.75M,-20.10M,6.00M,-34.24M,-19.96M,-5.535M,-0.049M,-39.65M,-154.66M,9.691M,3.931M,0.00,3.931M,15.19M,-5.283M,-3.398M,-6.569M,-1.628M,135.13M,34.48M,-1.126M,168.48M,3.931M,-199.93M,45.27M,0.00
2008-03,66.85M,,,-5.733M,-2.50M,-4.955M,26.54M,26.54M,10.77M,,0.827M,4.59M,-6.92M,-15.35M,,,,,,-63.54M,18.80M,-20.14M,,,0.00,2.935M,-2.556M,-19.76M,154.66M,154.66M,,-151.14M,-151.14M,-15.19M,-15.19M,3.398M,6.813M,-1.464M,130.55M,-2.419M,6.998M,135.13M,,199.93M,-45.27M,-151.14M
2007-12,58.62M,,,,,-4.658M,27.03M,27.03M,2.822M,,,,,9.331M,,,,,79.52M,0.556M,93.70M,-27.48M,,-27.48M,-12.14M,-0.876M,6.10M,-34.39M,,25.56M,1.49M,-49.25M,-47.76M,,-9.859M,,-2.252M,-34.31M,101.28M,25.00M,4.269M,130.55M,1.49M,,,-49.25M
2007-09,59.10M,,,,,6.073M,26.07M,26.07M,-28.25M,,,,,-14.32M,,,,,18.85M,18.85M,67.53M,-21.28M,,-21.28M,-17.44M,-0.23M,-6.10M,-45.06M,,-110.76M,4.504M,-4.261M,0.243M,,-9.985M,,-1.03M,-121.53M,200.41M,-99.06M,-0.069M,101.28M,4.504M,,,-4.261M
2007-06,53.86M,,,,,-2.351M,26.41M,26.41M,10.37M,,,,,3.809M,,,,,-16.73M,-16.73M,75.36M,-23.74M,,-23.74M,,-1.102M,,-24.84M,,54.25M,5.003M,-29.05M,-24.04M,,-11.56M,,1.193M,19.84M,125.02M,70.36M,5.028M,200.41M,5.003M,,,-29.05M
2007-03,58.11M,,,,,-2.427M,27.35M,27.35M,5.934M,,,,,-1.374M,,,,,-81.64M,-81.64M,5.95M,-26.24M,,-26.24M,,-2.401M,,-28.64M,,5.383M,10.95M,-18.65M,-7.695M,,-8.628M,,7.267M,-3.673M,149.50M,-26.36M,1.882M,125.02M,10.95M,,,-18.65M
2006-12,62.98M,,,,,115.96M,26.94M,26.94M,-50.47M,,,,,-105.29M,,,,,42.14M,110.32M,160.44M,-26.74M,,-26.74M,-15.70M,-1.066M,13.95M,-29.56M,,-54.60M,7.701M,-17.14M,-9.442M,,-8.496M,,1.052M,-71.48M,89.58M,59.39M,0.533M,149.50M,7.701M,,,-17.14M
2006-09,2.289M,,,,,-1.085M,28.35M,28.35M,-14.80M,,,,,100.11M,,,,,-30.81M,-30.81M,84.05M,-24.09M,,-24.09M,-25.00M,-0.442M,-13.95M,-63.48M,,-16.08M,0.838M,-4.809M,-3.971M,,-7.838M,,0.744M,-27.14M,99.00M,-6.575M,-2.845M,89.58M,0.838M,,,-4.809M
2006-06,43.33M,,,,,28.83M,27.04M,27.04M,-3.002M,,,,,10.25M,,,,,-11.36M,-11.36M,95.08M,-27.99M,,-27.99M,,-0.276M,,-28.27M,,-31.03M,1.901M,-0.905M,0.996M,,-7.776M,,-1.481M,-39.29M,67.10M,27.52M,4.371M,99.00M,1.901M,,,-0.905M
2006-03,34.38M,,,,,-35.73M,30.63M,30.63M,7.42M,,,,,,,,,,0.039M,0.039M,36.73M,-21.02M,,-21.02M,,-2.792M,,-23.81M,,-3.265M,10.96M,-8.98M,1.975M,,-7.472M,,3.154M,-5.608M,58.57M,7.309M,1.221M,67.10M,10.96M,,,-8.98M
2005-12,32.20M,,,,,-29.38M,31.24M,31.24M,31.29M,,,,,29.37M,,5.155M,,0.607M,45.69M,-19.87M,74.84M,-19.49M,,-19.49M,0.08M,1.556M,-0.044M,-17.89M,,-45.89M,3.453M,,3.453M,,-5.255M,,-3.40M,-51.09M,47.86M,5.86M,4.851M,58.57M,3.453M,,,
2005-09,26.29M,,,,,25.08M,28.50M,28.50M,-16.44M,,,,,-28.24M,,1.777M,,,15.77M,17.54M,52.74M,-14.40M,,-14.40M,0.00,-3.088M,8.636M,-8.857M,,-88.21M,0.189M,,0.189M,,-9.214M,,1.00M,-96.24M,98.29M,-52.35M,1.925M,47.86M,0.189M,,,
2005-06,32.06M,,,,,-17.09M,28.65M,28.65M,-4.658M,,,,,6.322M,,-0.614M,,7.392M,-8.333M,-1.555M,43.72M,-17.39M,,-17.39M,2.724M,1.449M,-9.264M,-22.48M,,20.41M,0.409M,,0.409M,,-6.98M,,-1.00M,12.84M,73.78M,34.08M,-9.577M,98.29M,0.409M,,,
2005-03,24.32M,,,,,2.529M,29.04M,29.04M,,,,,,1.562M,,0.614M,,-7.392M,-53.12M,-59.90M,-2.443M,-18.80M,,-18.80M,-10.28M,-0.391M,0.672M,-28.80M,,-77.79M,150.16M,,150.16M,,-4.998M,,-2.11M,65.26M,46.39M,34.02M,-6.625M,73.78M,150.16M,,,
2004-12,19.64M,,,,,2.952M,27.98M,27.98M,-8.213M,,,,,9.553M,,3.776M,,,-15.13M,9.261M,61.17M,-20.05M,,-20.05M,-22.87M,-6.139M,-0.832M,-49.89M,,-9.184M,5.145M,0.00,5.145M,,-8.891M,,,-23.49M,60.82M,-12.21M,-2.215M,46.39M,5.145M,,,0.00
2004-09,0.827M,,,,,19.60M,26.33M,26.33M,0.083M,,,,,4.461M,,-1.447M,,,-4.904M,-6.351M,44.94M,-17.97M,-2.989M,-20.96M,-762.18M,-1.712M,-12.02M,-796.86M,,776.84M,1.976M,0.00,1.976M,,-7.708M,,,771.11M,38.65M,19.19M,2.975M,60.82M,1.976M,,,0.00
2004-06,20.77M,,,,,,21.40M,21.40M,,,,,,-8.767M,,-1.693M,,,9.014M,7.321M,40.72M,-11.24M,2.989M,-8.247M,0.397M,-0.305M,,-8.155M,,-40.30M,1.287M,0.00,1.287M,,-7.08M,,,-46.09M,50.52M,-13.52M,1.657M,38.65M,1.287M,,,0.00
2004-03,13.61M,,,,,,21.57M,21.57M,,,,,,-0.835M,,-0.636M,,,11.02M,10.39M,44.72M,-8.398M,,-8.398M,-0.60M,-4.725M,,-13.72M,,-11.40M,3.499M,-0.827M,2.672M,,-6.463M,,,-15.20M,35.17M,15.81M,-0.459M,50.52M,3.499M,,,-0.827M
