,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,-41.14M,,,13.42M,13.42M,,-22.68M,36.22M,,6.772M,46.11M,1.879M,-18.92M,-0.829M,,,,28.24M,,20.84M,-12.59M,,,,-15.94M,,-28.53M,0.00,0.00,,,,2.595M,,2.595M,900.43M,-5.095M,0.035M,895.37M,,,0.00,,0.052M,
2017-12,-149.63M,,0.00,12.86M,12.86M,0.00,21.93M,33.77M,,9.692M,-67.95M,0.11M,0.684M,49.27M,,,,-17.89M,,-89.27M,-25.25M,,,,-117.75M,,-143.00M,0.00,0.00,0.00,,0.00,8.21M,-4.486M,3.724M,1.129B,-228.54M,0.007M,900.43M,0.00,,0.00,,0.118M,0.134M
2017-09,36.05M,,0.00,11.94M,11.94M,12.00M,-23.04M,34.93M,,-16.27M,-28.83M,0.279M,1.441M,24.63M,,,,-2.482M,,53.12M,-34.30M,,,,3.465M,,-30.84M,0.00,0.00,649.39M,,649.39M,9.093M,-4.486M,653.99M,452.70M,676.28M,-0.003M,1.129B,649.39M,,0.00,,0.626M,0.00
2017-06,-12.48M,,0.751M,12.35M,12.35M,,19.57M,33.74M,,7.148M,75.46M,3.672M,-8.398M,-15.02M,,,,55.71M,,116.79M,-30.50M,,,,-6.819M,,-37.32M,-0.837M,-0.837M,,,,15.72M,-4.356M,10.53M,362.72M,90.01M,-0.036M,452.70M,,,-0.837M,,3.317M,0.18M
2017-03,-187.08M,,54.13M,15.03M,15.03M,,5.814M,30.61M,,7.427M,-96.22M,0.79M,-25.09M,20.96M,,,,-99.57M,,-173.64M,-20.97M,,,,-117.85M,,-138.82M,-8.097M,-8.097M,,,,33.74M,-3.679M,21.96M,653.23M,-290.50M,-0.007M,362.72M,,,-8.097M,,2.244M,
2016-12,8.873M,,,17.57M,17.57M,,23.76M,27.60M,,7.286M,-17.24M,-0.392M,0.254M,29.53M,,,-2.868M,9.292M,,94.38M,-15.87M,,,0.109M,-20.25M,,-36.01M,0.00,0.00,,,,17.50M,-17.66M,-0.151M,580.10M,58.22M,0.006M,653.23M,,,0.00,,0.21M,3.326M
2016-09,36.88M,,,16.95M,16.95M,,-24.30M,26.53M,,8.086M,-3.894M,2.757M,-5.863M,41.35M,,,-3.215M,31.13M,,95.27M,-16.63M,,,1.88M,4.797M,,-9.952M,0.00,0.00,,,,8.363M,-1.237M,7.126M,487.65M,92.44M,0.00,580.10M,,,0.00,,0.488M,0.00
2016-06,34.42M,,,12.85M,12.85M,,0.854M,21.30M,,2.344M,-15.99M,0.93M,-3.793M,-32.14M,,,-3.214M,-54.20M,,17.57M,-82.21M,,,-144.84M,11.78M,,-215.28M,0.00,0.00,,,,13.89M,13.88M,27.76M,657.62M,-169.95M,-0.015M,487.65M,,,0.00,,0.215M,3.046M
2016-03,24.05M,,,11.06M,11.06M,,2.95M,20.77M,,0.178M,13.17M,0.752M,-3.667M,31.49M,,,-3.215M,38.53M,,97.54M,-5.562M,,,,34.32M,,28.76M,-0.445M,-0.445M,,,,10.22M,0.11M,9.884M,521.44M,136.18M,,657.62M,,,-0.445M,,0.014M,0.846M
2015-12,55.18M,,,10.60M,10.60M,,0.466M,17.10M,2.094M,0.218M,-27.48M,0.928M,5.501M,11.50M,,,-3.214M,-12.77M,,72.88M,-6.896M,,,,2.367M,,-4.529M,-0.32M,-0.32M,,,,9.565M,-1.959M,7.286M,445.80M,75.64M,,521.44M,,,-0.32M,,-0.024M,5.048M
2015-09,-39.58M,,,11.18M,11.18M,,31.29M,17.62M,-0.021M,-7.733M,-11.84M,0.179M,-2.864M,6.807M,,,-3.214M,-10.94M,,7.723M,-13.36M,,,,-1.857M,,-15.22M,-0.467M,-0.467M,,,,13.91M,0.166M,13.61M,439.68M,6.12M,,445.80M,,,-0.467M,,0.003M,6.028M
2015-06,9.296M,,,23.10M,23.10M,,-27.17M,17.59M,1.76M,-5.932M,-5.518M,-1.01M,1.14M,9.252M,,,-3.214M,0.65M,,13.39M,-2.196M,,,,-24.50M,,-26.69M,-0.46M,-0.46M,,,,33.78M,-2.158M,31.16M,421.82M,17.86M,,439.68M,,,-0.46M,,0.07M,0.831M
2015-03,-18.36M,,,,,,,17.56M,-3.833M,11.84M,-11.67M,0.001M,-0.194M,3.314M,,,-3.237M,-11.79M,,-4.586M,-3.553M,,,,-55.02M,,-58.58M,-0.452M,-0.452M,,,,29.18M,3.958M,32.69M,452.30M,-30.48M,,421.82M,,,-0.452M,,0.013M,0.839M
2014-12,-36.94M,,0.00,,,,,15.90M,0.096M,32.99M,51.67M,-1.505M,-20.79M,27.28M,,,-3.217M,53.44M,,44.72M,-5.855M,,,,2.337M,,-3.518M,0.00,0.00,,,,28.69M,0.404M,29.10M,382.00M,70.30M,,452.30M,,,0.00,,-0.13M,6.045M
2014-09,59.29M,,0.00,,,,,15.43M,-0.105M,9.871M,-62.39M,-2.071M,0.791M,10.19M,,,-3.217M,-56.70M,,27.79M,-10.66M,,,,-48.03M,,-58.69M,0.00,0.00,,,,6.539M,0.105M,6.644M,406.26M,-24.26M,,382.00M,,,0.00,,0.167M,0.004M
2014-06,-36.87M,,0.00,,,,0.00,15.48M,0.00,9.698M,-0.811M,-0.011M,-5.595M,6.773M,,,-3.216M,-2.86M,,-14.56M,-8.699M,,,,-19.84M,,-28.54M,0.00,0.00,,,,12.78M,0.00,12.78M,436.58M,-30.32M,,406.26M,,,0.00,,0.00,5.241M
2014-03,-33.96M,,0.265M,,,,,15.35M,0.031M,9.623M,-11.02M,-0.506M,-4.899M,-3.36M,,,-3.218M,-23.00M,,-31.69M,-2.663M,,,,-45.02M,,-47.69M,-0.265M,-0.265M,,,,44.83M,-0.031M,44.54M,471.43M,-34.84M,,436.58M,,,-0.265M,,0.00,0.00
2013-12,-42.87M,,18.16M,,,,,9.821M,-0.214M,8.852M,-2.177M,-0.036M,-2.397M,15.00M,,,-15.83M,-5.433M,,-11.69M,-2.031M,,,,-17.90M,,-19.93M,228.48M,228.48M,,,,17.24M,,230.93M,272.12M,199.31M,,471.43M,,,-500.22M,,0.00,6.087M
2013-09,-22.04M,,1.491M,,,,,9.447M,0.00,4.568M,-5.675M,-3.764M,-0.832M,21.59M,,,-16.74M,-5.42M,,-11.95M,-0.789M,,,,-0.214M,,-1.003M,-1.491M,-1.491M,,,,28.36M,,26.87M,258.20M,13.92M,,272.12M,,,-1.491M,,0.00,0.00
2013-06,-2.571M,0.015M,9.786M,,,,,9.933M,0.00,8.053M,0.519M,-2.213M,4.313M,-2.999M,,,-16.74M,-17.12M,,8.081M,-0.553M,,,,-15.15M,,-15.70M,-9.771M,-9.771M,,,,9.78M,,0.009M,265.81M,-7.612M,,258.20M,,,-9.771M,,0.14M,9.50M
2013-03,-15.67M,-0.015M,-0.015M,,,,,9.197M,0.00,7.734M,42.91M,-0.577M,-0.837M,-1.266M,,,-16.74M,23.49M,,24.74M,-0.894M,,,,0.136M,,-0.758M,0.00,0.00,,,,17.78M,,17.78M,224.06M,41.76M,,265.81M,,,0.00,,0.00,0.00
2012-12,18.78M,,,,,,,9.067M,,7.765M,-54.41M,-3.545M,8.533M,9.085M,,,-16.73M,-57.07M,,-22.01M,-0.93M,,,,0.43M,,-0.50M,0.00,0.00,,,,7.482M,,7.482M,239.08M,-15.03M,,224.06M,,,0.00,,0.00,9.50M
2012-09,-21.71M,,,,,,,9.583M,,7.576M,-2.699M,-0.876M,-0.078M,6.792M,,,-25.73M,-22.59M,,-27.14M,-0.406M,,,,0.157M,,-0.249M,0.00,0.00,,,,8.914M,,8.914M,257.56M,-18.48M,,239.08M,,,0.00,,0.00,0.00
2012-06,4.037M,,,,,,,9.911M,,7.404M,-0.831M,-0.819M,8.419M,-5.646M,,,-13.75M,-12.63M,,8.724M,-1.007M,,,,0.097M,,-0.91M,0.00,0.00,,,,17.89M,,17.89M,231.86M,25.71M,,257.56M,,,0.00,,0.001M,9.50M
2012-03,-45.43M,,,,,,,9.932M,,7.234M,-6.595M,0.023M,0.029M,-6.541M,,,-13.06M,-26.14M,,-54.40M,-0.496M,,,,0.167M,,-0.329M,,,,,,13.42M,,13.42M,273.16M,-41.31M,,231.86M,,,,,,
2011-12,,,,-19.95M,-19.95M,,,7.447M,,158.34M,-3.953M,-3.536M,10.20M,12.44M,,,-14.41M,0.734M,,-39.78M,-0.992M,,,,-0.147M,,-1.139M,,,-17.71M,,-17.71M,,,1.754M,312.33M,-39.16M,,273.16M,-17.71M,,,,,
2011-09,,,,6.871M,6.871M,,,7.399M,,-53.08M,-0.086M,0.00,-1.638M,10.29M,,,-16.74M,-8.17M,,-46.98M,-1.18M,,,,0.339M,,-0.841M,,,1.073M,,1.073M,,,1.073M,359.07M,-46.75M,,312.33M,1.073M,,,,,
2011-06,,,,6.647M,6.647M,,,7.191M,,-51.74M,14.20M,0.00,9.346M,0.358M,,,-16.74M,7.168M,,-30.74M,-1.075M,,,,0.53M,,-0.545M,,,12.51M,,12.51M,,,12.51M,377.84M,-18.77M,,359.07M,12.51M,,,,,
2011-03,,,,6.43M,6.43M,,,6.946M,,-26.62M,-10.88M,0.00,-0.08M,-3.287M,,,-16.73M,-30.98M,,-44.22M,-0.552M,,,,0.576M,,0.024M,,,4.129M,,4.129M,,,4.129M,417.91M,-40.07M,,377.84M,4.129M,,,,,
2010-12,-31.85M,,-0.317M,-17.66M,-17.66M,,,4.121M,,88.89M,-0.966M,,5.885M,-3.962M,,,-16.74M,-15.79M,,27.40M,-2.739M,,,,0.898M,,-1.841M,0.00,0.00,-10.04M,,-10.04M,,,3.546M,388.80M,29.11M,,417.91M,-10.04M,,0.00,,,
2010-09,32.68M,,0.134M,5.378M,5.378M,,,4.059M,,-64.53M,1.625M,,1.142M,6.738M,,,-16.76M,-7.252M,,-29.52M,-0.466M,,,,1.321M,,0.855M,0.00,0.00,3.383M,,3.383M,,,3.383M,414.09M,-25.28M,,388.80M,3.383M,,0.00,,,
2010-06,3.044M,,0.00,5.885M,5.885M,,,3.555M,,-0.145M,-1.107M,,10.16M,-7.396M,,,-16.76M,-15.10M,,-2.766M,-0.598M,,,,10.27M,,9.674M,0.00,0.00,2.434M,,2.434M,,,2.434M,404.75M,9.342M,,414.09M,2.434M,,0.00,,,
2010-03,-35.73M,,3.988M,6.396M,6.396M,,,3.121M,,-0.115M,158.41M,,-1.661M,-14.84M,,,-16.75M,125.16M,,102.82M,-0.306M,,,,6.822M,,6.516M,-158.64M,-158.64M,4.227M,,4.227M,,,-154.42M,449.82M,-45.08M,,404.75M,4.227M,,-158.64M,,,
2009-12,-88.44M,,34.74M,7.272M,7.272M,-0.001M,,1.927M,,-0.029M,-162.80M,,1.134M,19.61M,,,305.17M,163.11M,,118.58M,-0.074M,,,,3.516M,,3.442M,183.19M,183.19M,0.482M,,0.482M,,-223.34M,-39.67M,367.48M,82.35M,,449.82M,0.482M,-0.631M,183.82M,,,
2009-09,-43.36M,,5.368M,4.273M,4.273M,0.00,,2.196M,,1.125M,-0.054M,,-0.113M,-3.258M,,,-0.02M,-3.445M,,-33.84M,-0.134M,,,,6.129M,,5.995M,204.18M,204.18M,133.02M,,133.02M,,-56.17M,281.03M,114.29M,253.19M,,367.48M,133.02M,388.00M,-183.82M,,,
2009-06,-40.04M,,,2.636M,2.636M,1.255M,,2.497M,,0.406M,-0.068M,,2.553M,1.124M,,,-0.02M,3.589M,,-29.65M,-0.084M,,,,4.033M,,3.949M,0.00,0.00,0.894M,,0.894M,,,0.894M,139.10M,-24.81M,,114.29M,0.894M,,0.00,,,
2009-03,-40.04M,,,2.509M,2.509M,,,3.36M,,0.509M,0.311M,,0.38M,-9.778M,,,0.01M,-9.077M,,-42.74M,-0.095M,,,,3.161M,,3.066M,0.00,0.00,0.00,,0.00,,,0.00,178.77M,-39.67M,,139.10M,0.00,,0.00,,,
2008-12,-48.40M,,,3.261M,3.261M,1.381M,,3.879M,,0.668M,-0.171M,,-0.035M,7.88M,,,0.03M,7.704M,,-32.21M,-0.366M,,,,3.211M,,2.845M,0.00,0.00,0.537M,,0.537M,,,0.537M,207.60M,-28.83M,,178.77M,0.537M,0.00,,,,
2008-09,-44.79M,,,3.25M,3.25M,0.00,,11.15M,,-7.39M,-0.092M,,1.29M,-4.427M,,2.885M,-0.617M,-0.961M,,-38.75M,-0.142M,,0.19M,,9.514M,,9.372M,0.00,0.00,102.26M,,102.26M,,,102.26M,134.71M,72.88M,,207.60M,102.26M,0.00,,,,
2008-06,-45.56M,,,3.272M,3.272M,,,-3.345M,,6.372M,0.053M,,0.287M,8.715M,,-2.885M,0.577M,6.747M,,-32.52M,-0.068M,,-0.19M,,2.995M,,2.927M,,,1.562M,,1.562M,,,1.562M,162.74M,-28.03M,,134.71M,1.562M,,,,,
2008-03,-40.16M,,,3.288M,3.288M,,,3.345M,,0.123M,0.711M,,-1.075M,-3.04M,,,-0.577M,-3.981M,,-37.38M,-0.122M,,,,90.87M,,90.75M,,,0.52M,,0.52M,,,0.52M,108.85M,53.89M,,162.74M,0.52M,,,,,
2007-12,-21.80M,,,3.25M,3.25M,,,,,2.742M,-0.275M,,-1.611M,1.385M,,23.08M,-25.83M,-3.256M,,-27.54M,-0.692M,,-0.692M,,30.15M,,29.46M,,,1.312M,,1.312M,,,11.31M,95.63M,13.22M,,108.85M,1.312M,,,,,
2007-09,-24.49M,,,3.253M,3.253M,,,,,2.065M,-0.009M,,1.037M,1.462M,,-7.342M,,-4.852M,,-24.03M,-0.116M,,-0.116M,,85.76M,,85.65M,,,0.074M,,0.074M,,,0.074M,33.94M,61.69M,,95.63M,0.074M,,,,,
2007-06,-18.44M,,,3.261M,3.261M,,,,,2.528M,0.173M,,-0.254M,0.448M,,-9.031M,5.544M,-3.12M,,-15.77M,-0.19M,,-0.19M,,28.75M,,28.56M,,,0.844M,,0.844M,,,0.844M,20.30M,13.64M,,33.94M,0.844M,,,,,
2007-03,-22.15M,,,3.199M,3.199M,,,,,2.317M,0.633M,,1.949M,-1.405M,,-4.354M,-5.544M,-8.721M,,-25.35M,-0.155M,,-0.155M,,26.85M,,26.69M,,,0.095M,,0.095M,,,0.095M,18.86M,1.437M,,20.30M,0.095M,,,,,
2006-12,-20.50M,,-0.841M,3.271M,3.271M,,,,,1.997M,-0.683M,,-2.781M,2.212M,,0.788M,-5.642M,-6.106M,,-22.18M,-0.999M,,-0.999M,,17.31M,,16.31M,,-91.62M,0.431M,,0.431M,,,-91.18M,115.92M,-97.06M,,18.86M,0.431M,,,,,
2006-09,-15.84M,,-1.303M,1.302M,1.302M,,,,,3.363M,-0.044M,,0.643M,-1.673M,,-34.23M,25.04M,-10.27M,,-22.75M,-0.304M,,-0.304M,,-8.896M,,-9.20M,,111.91M,0.023M,,0.023M,,,111.93M,35.94M,79.98M,,115.92M,0.023M,,,,,
2006-06,-20.52M,,1.321M,1.229M,1.229M,,,,,1.744M,0.238M,,1.166M,-0.532M,,30.59M,-36.28M,-4.814M,,-21.04M,-0.158M,,-0.158M,,7.616M,,7.458M,,0.00,0.716M,,0.716M,,,0.716M,48.80M,-12.87M,,35.94M,0.716M,,,,,
2006-03,-17.31M,,-5.459M,1.609M,1.609M,,,,,2.546M,-0.161M,,1.558M,2.336M,,-5.799M,36.28M,34.21M,,15.60M,-0.107M,,-0.107M,,11.58M,,11.47M,,10.00M,0.238M,,0.238M,,,10.24M,11.49M,37.31M,,48.80M,0.238M,,,,,
2005-12,-27.56M,,1.189M,1.676M,1.676M,,,,,,-0.376M,,-1.81M,-0.799M,,-0.501M,,-3.486M,0.158M,-28.02M,-0.454M,0.00,-0.454M,,-9.781M,,-10.24M,,0.001M,0.536M,,0.536M,,,0.537M,49.20M,-37.72M,0.014M,11.49M,0.536M,,,,,
2005-09,-30.21M,,0.272M,3.955M,3.955M,,,,,,-0.115M,,-0.349M,0.189M,,-1.206M,,-1.481M,0.00,-27.46M,-0.202M,0.00,-0.202M,,46.99M,,46.79M,,-7.388M,0.086M,,0.086M,,,-7.302M,37.18M,12.02M,-0.004M,49.20M,0.086M,,,,,
2005-06,-25.14M,,-2.576M,0.708M,0.708M,,,,,-0.342M,1.616M,,1.284M,1.861M,,2.735M,-0.418M,7.078M,0.162M,-20.12M,-0.882M,0.00,-0.882M,,-19.03M,,-19.91M,,-28.45M,0.819M,,0.819M,,,-27.63M,104.84M,-67.66M,-0.002M,37.18M,0.819M,,,,,
2005-03,-20.13M,,0.195M,1.853M,1.853M,,,,,0.342M,-0.404M,,0.877M,0.001M,,-9.08M,0.418M,-8.188M,-0.344M,-26.27M,-0.095M,0.059M,-0.036M,,-1.081M,,-1.117M,,,0.048M,,0.048M,,,0.048M,132.18M,-27.34M,-0.002M,104.84M,0.048M,,,,,
2004-12,-37.53M,,8.001M,3.34M,3.34M,,,,,,-0.472M,,-4.521M,-0.628M,,3.675M,,-1.946M,0.642M,-27.49M,-0.686M,0.137M,-0.549M,,-4.768M,0.117M,-5.288M,,0.00,86.23M,,86.23M,,,86.23M,78.72M,53.45M,0.007M,132.18M,86.23M,,,,,
2004-09,-25.98M,,-13.66M,4.021M,4.021M,,,,,,1.336M,,0.861M,-1.992M,,11.00M,,11.20M,-0.317M,-24.73M,-0.245M,0.767M,0.522M,,-12.61M,-0.117M,-12.21M,,-38.41M,1.137M,,1.137M,,,-37.28M,152.93M,-74.22M,0.007M,78.72M,1.137M,,,,,
2004-06,-63.60M,,40.00M,3.49M,3.49M,,,,,,0.621M,,3.275M,-0.485M,,-8.695M,,-5.284M,-0.541M,-25.94M,-0.363M,0.724M,0.361M,,40.62M,0.021M,41.00M,,242.50M,-240.47M,,-240.47M,,,2.026M,135.85M,17.09M,-0.004M,152.93M,-240.47M,,,,,
2004-03,-37.72M,,5.982M,3.062M,3.062M,,,,,,1.60M,,0.898M,-1.046M,,-9.108M,,-7.656M,-0.182M,-36.51M,-0.097M,,-0.097M,,-100.55M,-0.021M,-100.66M,,,243.26M,,243.26M,,,243.26M,29.70M,106.09M,0.061M,135.85M,243.26M,,,,,
2003-12,-40.77M,,8.952M,3.452M,3.452M,,,,,,4.247M,,-1.933M,-0.668M,,6.52M,,8.166M,,-19.96M,-1.042M,,-1.042M,-0.599M,36.23M,,34.59M,,0.00,0.789M,0.00,0.789M,,,0.789M,14.31M,15.42M,-0.027M,29.70M,0.789M,,,0.00,,
2003-09,-43.01M,,11.98M,4.504M,4.504M,,,,,,-2.664M,,-3.98M,1.741M,,-8.565M,,-13.47M,,-40.00M,-1.737M,,-1.737M,-0.989M,38.01M,,35.28M,,-3.059M,0.091M,0.00,0.091M,,,-2.968M,22.02M,-7.683M,-0.025M,14.31M,0.091M,,,0.00,,
2003-06,-26.90M,,0.844M,4.482M,4.482M,,,,,,0.318M,,4.671M,-2.05M,,3.012M,,5.951M,,-15.62M,-1.375M,,-1.375M,-0.605M,27.87M,,25.89M,,,1.109M,0.00,1.109M,,,1.109M,10.64M,11.38M,0.003M,22.02M,1.109M,,,0.00,,
2003-03,-55.78M,,31.03M,4.457M,4.457M,,,,,,0.652M,,-1.184M,-2.415M,,-19.51M,,-22.45M,,-42.75M,-5.584M,,-5.584M,-3.532M,39.70M,,30.59M,,,0.008M,-0.105M,-0.097M,,,-0.097M,22.93M,-12.26M,-0.033M,10.64M,0.008M,,,-0.105M,,
2002-12,-67.49M,,23.61M,5.245M,5.245M,,,,,,6.087M,,-3.72M,2.169M,,17.41M,,21.94M,,-19.60M,-1.403M,,-1.403M,,782.01M,0.00,31.26M,,0.00,1.266M,,-4.457M,,-0.001M,-4.458M,15.74M,7.199M,-0.007M,22.93M,1.266M,,,,,
2002-09,-38.41M,,9.59M,5.609M,5.609M,,,,,,10.35M,,-2.189M,-1.231M,,-7.554M,,-0.625M,,-23.84M,-3.776M,,-3.776M,,-2.127M,0.00,-5.903M,,0.00,1.271M,,1.271M,,0.00,1.271M,44.19M,-28.47M,0.012M,15.74M,1.271M,,,,,
2002-06,-17.54M,,0.879M,4.424M,4.424M,,,,,,2.562M,,-2.046M,1.962M,,0.953M,,3.431M,,-8.807M,-4.716M,,-4.716M,,-38.47M,0.00,-43.19M,,-4.69M,1.774M,,1.774M,,0.018M,-2.898M,99.16M,-54.89M,-0.069M,44.19M,1.774M,,,,,
2002-03,-13.44M,,-3.809M,6.83M,6.83M,,,,,,26.35M,,-2.138M,-0.862M,,-18.95M,,4.40M,,-6.02M,-1.995M,,-1.995M,,62.21M,-1.15M,59.06M,,,2.871M,,2.871M,,0.055M,2.926M,43.37M,55.97M,-0.179M,99.16M,2.871M,,,,,
2001-12,-145.20M,,114.68M,8.818M,8.818M,,,,,,-12.31M,,-0.231M,-0.865M,,25.81M,,12.40M,,-9.306M,-1.425M,,-1.425M,,4.716M,-0.30M,3.291M,,5.643M,3.781M,,3.781M,,,3.926M,45.49M,-2.089M,-0.031M,43.37M,3.781M,,,,,
2001-09,-17.83M,,11.76M,13.65M,13.65M,,,,,,-12.54M,,-13.74M,-0.216M,,-6.013M,,-32.50M,,-24.92M,-2.495M,,-2.495M,,7.196M,0.30M,5.001M,,0.00,0.961M,,0.961M,,,0.961M,64.40M,-18.96M,0.048M,45.49M,0.961M,,,,,
2001-06,-9.891M,,-8.027M,12.59M,12.59M,,,,,,-9.981M,,-7.352M,0.111M,,5.888M,,-11.33M,,-16.66M,-4.119M,,-4.119M,,-35.11M,,-39.23M,,-0.001M,5.621M,,5.621M,,,5.62M,114.69M,-50.27M,-0.025M,64.40M,5.621M,,,,,
2001-03,-10.31M,,-4.371M,12.60M,12.60M,,,,,,13.42M,,6.402M,-9.18M,,-4.685M,,5.959M,,3.88M,-4.88M,,-4.88M,,10.26M,,5.379M,,-5.642M,0.905M,,0.905M,,,-4.737M,110.16M,4.522M,0.012M,114.69M,0.905M,,,,,
2000-12,-10.51M,,1.033M,8.679M,8.679M,,,,,,-14.01M,,,5.469M,-13.36M,14.46M,,-7.438M,,-8.233M,-46.72M,,-46.72M,,-156.09M,1.173M,-201.64M,,-11.87M,4.488M,,4.488M,,0.00,-7.384M,328.38M,-217.26M,-0.964M,110.16M,4.488M,,,,,
