,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2018-03,382.22M,382.28M,18.11M,364.18M,,121.50M,303.10M,-6.685M,0.385M,,-0.385M,,424.60M,-60.42M,,0.385M,-0.385M,20.46M,-0.385M,-40.35M,0.786M,-41.14M,,,-41.14M,-52.82M,-26.54M,13.42M,-39.97M,-0.19,,,,-0.2452,-0.19,-0.19,,,,-0.2452,-0.19,211.68M,211.68M
2017-12,444.12M,444.16M,22.36M,421.80M,,97.73M,446.87M,-9.618M,0.373M,,-0.373M,,544.60M,-122.80M,,0.373M,-0.373M,-25.10M,-0.373M,-148.28M,1.352M,-149.63M,,,-149.63M,-130.70M,-135.04M,12.86M,-147.90M,-0.71,,,,-0.6203,-0.71,-0.71,,,,-0.6203,-0.71,211.12M,211.12M
2017-09,381.52M,381.53M,22.04M,359.50M,,91.26M,269.56M,16.34M,0.204M,,-0.204M,,360.82M,-1.324M,,0.204M,-0.204M,44.88M,-0.204M,43.35M,7.30M,36.05M,,,36.05M,3.298M,55.50M,11.94M,43.56M,0.17,,,,0.0116,0.17,0.17,,,,0.0159,0.17,206.80M,212.61M
2017-06,326.44M,326.44M,20.26M,306.18M,,90.07M,201.79M,-7.824M,0.384M,,-0.384M,,291.85M,14.33M,,0.384M,-0.384M,-23.33M,-0.384M,-9.384M,3.10M,-12.48M,,,-12.48M,3.955M,3.352M,12.35M,-9.00M,-0.06,,,,0.0201,-0.06,-0.06,,,,0.0201,-0.06,205.14M,205.14M
2017-03,384.03M,384.08M,14.82M,369.26M,,87.23M,407.92M,-61.49M,5.939M,,-5.939M,,495.15M,-125.89M,,5.939M,-5.939M,-66.15M,-5.939M,-197.98M,-10.90M,-187.08M,,,-187.08M,-123.49M,-177.02M,15.03M,-192.04M,-0.96,,,,-0.6343,-0.96,-0.96,,,,-0.6343,-0.96,195.26M,195.26M
2016-12,326.49M,326.50M,19.61M,306.89M,,96.08M,161.58M,-7.139M,9.47M,,-13.29M,,257.67M,49.22M,,9.47M,-13.29M,-26.48M,-13.29M,9.445M,0.572M,8.873M,,,8.873M,37.90M,36.48M,17.57M,18.92M,0.05,,,,0.2039,0.05,0.05,,,,0.1987,0.05,188.60M,195.24M
2016-09,269.46M,269.47M,20.20M,249.26M,,75.78M,143.18M,-8.012M,9.479M,1.188M,-8.291M,,218.96M,30.30M,1.188M,9.479M,-8.291M,16.29M,-8.291M,38.30M,1.425M,36.88M,,,36.88M,21.19M,64.73M,16.95M,47.78M,0.2,,,,0.1166,0.2,0.19,,,,0.1093,0.19,188.03M,194.26M
2016-06,246.29M,246.29M,12.37M,233.92M,,66.79M,120.27M,-2.271M,9.662M,1.137M,-8.525M,,187.06M,46.86M,1.137M,9.662M,-8.525M,-3.125M,-8.525M,35.21M,0.785M,34.42M,,,34.42M,37.48M,57.72M,12.85M,44.87M,0.18,,,,0.1963,0.18,0.18,,,,0.1958,0.18,187.68M,193.02M
2016-03,263.38M,263.46M,6.005M,257.46M,,64.60M,156.82M,,10.13M,1.492M,-8.642M,,221.42M,36.04M,1.492M,10.13M,-8.642M,-2.95M,-8.642M,24.45M,0.40M,24.05M,,,24.05M,26.95M,45.64M,11.06M,34.58M,0.13,,,,0.1455,0.13,0.12,,,,0.1351,0.12,187.18M,192.62M
2015-12,243.88M,243.88M,9.732M,234.15M,,52.47M,116.63M,,10.21M,1.289M,-8.924M,,169.10M,65.05M,1.289M,10.21M,-8.924M,-0.466M,-8.924M,55.69M,0.512M,55.18M,,,55.18M,55.64M,76.50M,10.60M,65.90M,0.3,,,,0.3025,0.3,0.29,,,,0.2921,0.29,186.27M,217.07M
2015-09,187.61M,187.61M,8.04M,179.57M,,47.60M,132.07M,,11.21M,3.026M,-8.183M,,179.67M,-0.101M,3.026M,11.21M,-8.183M,-31.29M,-8.183M,-39.57M,0.009M,-39.58M,,,-39.58M,-20.81M,-17.19M,11.18M,-28.36M,-0.22,,,,-0.1165,-0.22,-0.22,,,,-0.1165,-0.22,181.39M,181.39M
2015-06,162.98M,162.98M,6.254M,156.73M,,51.68M,112.44M,,11.49M,1.144M,-10.35M,,164.12M,-7.394M,1.144M,11.49M,-10.35M,27.17M,-10.35M,9.43M,0.136M,9.294M,,,9.294M,-17.49M,20.92M,,20.92M,0.05,,,,-0.0999,0.05,0.05,,,,-0.0936,0.05,178.68M,186.49M
2015-03,159.22M,159.28M,2.974M,156.30M,,44.87M,118.36M,,12.69M,1.63M,-11.06M,,163.24M,-6.935M,1.63M,12.69M,-11.06M,,-11.06M,-17.99M,0.367M,-18.36M,,,-18.36M,-18.36M,-5.305M,,-5.305M,-0.11,,,,-0.11,-0.11,-0.11,,,,-0.11,-0.11,172.07M,172.07M
2014-12,123.97M,123.97M,2.428M,121.54M,,48.45M,98.72M,0.00,12.52M,0.94M,-11.58M,,147.17M,-25.62M,0.94M,12.52M,-11.58M,0.00,-11.58M,-37.20M,-0.257M,-36.94M,,,-36.94M,-36.94M,-24.68M,,-24.68M,-0.22,,,,-0.22,-0.22,-0.22,,,,-0.22,-0.22,169.92M,169.92M
2014-09,198.14M,198.15M,0.221M,197.93M,,39.45M,88.54M,,11.46M,0.885M,-10.58M,,127.98M,69.94M,0.885M,11.46M,-10.58M,,-10.58M,59.36M,0.072M,59.29M,,,59.29M,59.29M,70.83M,,70.83M,0.35,,,,0.35,0.35,0.33,,,,0.33,0.33,168.59M,189.05M
2014-06,99.58M,99.58M,0.187M,99.40M,,40.90M,84.68M,0.00,11.41M,0.79M,-10.62M,,125.58M,-26.19M,0.79M,11.41M,-10.62M,,-10.62M,-36.80M,0.07M,-36.87M,,,-36.87M,-36.87M,-25.40M,,-25.40M,-0.22,,,,-0.22,-0.22,-0.22,,,,-0.22,-0.22,167.91M,167.91M
2014-03,89.69M,89.79M,0.168M,89.62M,,36.97M,75.58M,-0.265M,11.44M,0.735M,-10.71M,,112.56M,-22.94M,0.735M,11.44M,-10.71M,-0.265M,-10.71M,-33.91M,0.049M,-33.96M,,,-33.96M,-33.78M,-22.46M,,-22.46M,-0.21,,,,-0.209,-0.21,-0.21,,,,-0.209,-0.21,165.36M,165.36M
2013-12,97.05M,97.07M,0.167M,96.90M,,38.03M,75.02M,-18.16M,8.932M,0.495M,-8.437M,,113.05M,-16.14M,0.495M,8.932M,-8.437M,-18.16M,-8.437M,-42.73M,0.137M,-42.87M,,,-42.87M,-31.07M,-33.80M,,-33.80M,-0.26,,,,-0.1871,-0.26,-0.26,,,,-0.1871,-0.26,161.92M,161.92M
2013-09,85.12M,85.12M,0.155M,84.97M,,26.45M,71.70M,-1.491M,7.699M,0.385M,-7.314M,,98.15M,-13.18M,0.385M,7.699M,-7.314M,-1.491M,-7.314M,-21.99M,0.049M,-22.04M,,,-22.04M,-21.07M,-14.29M,,-14.29M,-0.14,,,,-0.1338,-0.14,-0.14,,,,-0.1338,-0.14,155.07M,155.07M
2013-06,101.64M,101.68M,0.157M,101.52M,,23.25M,60.95M,-9.771M,10.29M,0.245M,-10.05M,,84.20M,17.32M,0.245M,10.29M,-10.05M,-9.771M,-10.05M,-2.50M,0.071M,-2.571M,,,-2.571M,3.780M,7.793M,,7.793M,-0.02,,,,0.0246,-0.02,-0.02,,,,0.0246,-0.02,142.28M,142.28M
2013-03,70.94M,71.08M,0.15M,70.93M,,22.26M,52.76M,0.00,11.73M,0.199M,-11.53M,,75.02M,-4.097M,0.199M,11.73M,-11.53M,,-11.53M,-15.63M,0.043M,-15.67M,,,-15.67M,-15.67M,-3.898M,,-3.898M,-0.12,,,,-0.12,-0.12,-0.12,,,,-0.12,-0.12,134.34M,134.34M
2012-12,113.69M,113.85M,0.099M,113.75M,,23.73M,59.76M,0.00,11.76M,0.371M,-11.39M,,83.49M,30.25M,0.371M,11.76M,-11.39M,,-11.39M,18.86M,0.081M,18.78M,,,18.78M,18.78M,30.62M,,30.62M,0.14,,,,0.14,0.14,0.14,,,,0.14,0.14,131.71M,131.71M
2012-09,60.43M,60.49M,0.031M,60.46M,,20.52M,50.08M,0.00,11.57M,0.027M,-11.55M,,70.60M,-10.14M,0.027M,11.57M,-11.55M,,-11.55M,-21.68M,0.026M,-21.71M,,,-21.71M,-21.71M,-10.11M,,-10.11M,-0.17,,,,-0.17,-0.17,-0.17,,,,-0.17,-0.17,130.85M,130.85M
2012-06,86.46M,86.54M,0.016M,86.53M,,19.72M,51.59M,0.00,11.43M,0.315M,-11.12M,,71.31M,15.22M,0.315M,11.43M,-11.12M,,-11.12M,4.104M,0.067M,4.037M,,,4.037M,4.037M,15.53M,,15.53M,0.03,,,,0.03,0.03,0.03,,,,0.03,0.03,129.22M,137.97M
2012-03,36.02M,36.18M,0.011M,36.17M,,21.40M,48.96M,,11.29M,0.052M,-11.24M,,70.36M,-34.19M,0.052M,11.29M,-11.24M,,-11.24M,-45.43M,0.00,-45.43M,,,-45.43M,-45.43M,-34.14M,,-34.14M,-0.36,,,,-0.36,-0.36,-0.36,,,,-0.36,-0.36,127.20M,127.20M
2011-12,28.40M,28.89M,,28.89M,,21.15M,51.88M,,11.15M,0.213M,-10.94M,,72.32M,-43.43M,0.213M,11.15M,-10.94M,,-10.94M,-55.08M,0.00,-55.08M,,,-55.08M,-55.08M,-43.93M,,-43.93M,-0.44,,,,-0.44,-0.44,-0.44,,,,-0.44,-0.44,126.39M,126.39M
2011-09,16.78M,16.78M,,16.78M,,14.28M,44.60M,,11.02M,0.045M,-10.97M,,58.89M,-42.10M,0.045M,11.02M,-10.97M,,-10.97M,-53.08M,0.00,-53.08M,,,-53.08M,-53.08M,-35.19M,6.871M,-42.06M,-0.42,0.0,,,-0.42,-0.42,-0.42,0.0,,,-0.42,-0.42,126.26M,126.26M
2011-06,16.81M,16.81M,,16.81M,,11.86M,46.05M,,10.89M,0.132M,-10.76M,0.02M,57.92M,-41.11M,0.132M,10.89M,-10.76M,,-10.76M,-51.87M,0.00,-51.87M,,,-51.87M,-51.87M,-34.34M,6.647M,-40.98M,-0.41,0.0,,,-0.41,-0.41,-0.41,0.0,,,-0.41,-0.41,125.33M,125.33M
2011-03,31.97M,31.97M,,31.97M,,10.82M,36.28M,,10.76M,0.072M,-10.69M,0.691M,47.80M,-15.82M,0.072M,10.76M,-10.69M,,-10.69M,-26.51M,0.00,-26.51M,,,-26.51M,-26.51M,-9.323M,6.43M,-15.75M,-0.21,0.0,,,-0.21,-0.21,-0.21,0.0,,,-0.21,-0.21,123.47M,123.47M
2010-12,84.94M,85.87M,,85.87M,,10.76M,32.77M,0.00,10.64M,0.867M,-9.77M,,43.94M,41.93M,0.867M,10.64M,-9.77M,0.379M,-9.77M,32.54M,0.00,32.54M,,,32.54M,32.54M,43.18M,,43.18M,0.27,,,,0.27,0.27,0.27,,,,0.27,0.27,122.97M,122.97M
2010-09,16.87M,16.87M,,16.87M,,8.458M,30.61M,0.00,10.52M,0.212M,-10.30M,-0.139M,38.93M,-22.06M,0.212M,10.52M,-10.30M,,-10.30M,-32.36M,-0.658M,-31.70M,,,-31.70M,-31.70M,-16.47M,5.378M,-21.84M,-0.26,0.0,,,-0.26,-0.26,-0.26,0.0,,,-0.26,-0.26,122.19M,122.19M
2010-06,49.85M,49.85M,,49.85M,,7.485M,28.88M,0.00,10.39M,0.142M,-10.25M,-0.145M,36.22M,13.62M,0.142M,10.39M,-10.25M,,-10.25M,3.375M,0.331M,3.044M,,,3.044M,3.044M,19.65M,5.885M,13.77M,0.03,0.0,,,0.03,0.03,0.02,0.0,,,0.02,0.02,121.63M,128.29M
2010-03,17.29M,17.29M,,17.29M,,5.794M,31.44M,-3.988M,11.78M,0.195M,-11.58M,-0.115M,37.12M,-19.83M,0.195M,11.78M,-11.58M,-3.988M,-11.58M,-35.40M,0.327M,-35.73M,,,-35.73M,-33.14M,-17.23M,6.396M,-23.62M,-0.3,0.0,,,-0.2783,-0.3,-0.3,0.0,,,-0.2783,-0.3,119.73M,119.73M
2009-12,6.866M,6.866M,,6.866M,,13.83M,34.28M,-34.66M,12.61M,,-12.56M,-0.029M,48.09M,-41.22M,,12.61M,-12.56M,-34.66M,-12.56M,,,-88.44M,,,-88.44M,-65.91M,-28.58M,7.272M,-35.85M,-0.8,0.0,,,-0.6103,-0.8,-0.8,0.0,,,-0.6103,-0.8,118.76M,118.76M
2009-09,0.939M,0.939M,,0.939M,,4.841M,26.54M,-5.368M,6.531M,0.105M,-6.426M,1.126M,32.50M,-31.56M,0.105M,6.531M,-6.426M,-5.368M,-6.426M,-43.36M,0.00,-43.36M,,,-43.36M,-37.99M,-32.55M,4.273M,-36.83M,-0.44,0.0,,,-0.3852,-0.44,-0.44,0.0,,,-0.3852,-0.44,98.03M,98.03M
2009-06,0.789M,0.789M,,0.789M,,4.086M,29.04M,-0.915M,6.382M,,-6.382M,0.406M,33.53M,-32.74M,,6.382M,-6.382M,-0.915M,-6.382M,-40.04M,0.00,-40.04M,,,-40.04M,-39.12M,-31.02M,2.636M,-33.65M,-0.41,0.0,,,-0.4006,-0.41,-0.41,0.0,,,-0.4006,-0.41,97.64M,97.64M
2009-03,0.671M,0.671M,,0.671M,,4.821M,29.59M,0.00,6.338M,0.548M,-5.79M,0.509M,34.92M,-34.25M,0.548M,6.338M,-5.79M,,-5.79M,-40.04M,0.00,-40.04M,,,-40.04M,-40.04M,-31.19M,2.509M,-33.70M,-0.41,0.0,,,-0.41,-0.41,-0.41,0.0,,,-0.41,-0.41,97.34M,97.34M
2008-12,0.938M,0.938M,,0.938M,,4.611M,38.33M,0.00,6.298M,0.56M,-5.738M,0.668M,43.60M,-42.67M,0.56M,6.298M,-5.738M,,-5.738M,,,-48.40M,,,-48.40M,-48.40M,-39.41M,3.261M,-42.67M,-0.49,0.0,,,-0.49,-0.49,-0.49,0.0,,,-0.49,-0.49,97.28M,97.28M
2008-09,1.061M,1.061M,,1.061M,,4.005M,36.95M,0.00,6.254M,1.253M,-5.001M,-0.10M,40.85M,-39.79M,1.253M,6.254M,-5.001M,,-5.001M,,,-44.79M,,,-44.79M,-44.79M,-36.54M,3.25M,-39.79M,-0.48,0.0,,,-0.48,-0.48,-0.48,0.0,,,-0.48,-0.48,92.38M,92.38M
2008-06,0.614M,0.614M,,,,4.103M,38.13M,0.918M,,,,-0.918M,41.32M,-40.70M,,,,0.918M,,,,-45.56M,,,-45.56M,-46.16M,-37.43M,3.272M,-40.70M,-0.54,0.0,,,-0.547,-0.54,-0.54,0.0,,,-0.547,-0.54,84.87M,84.87M
2008-03,1.307M,1.307M,,1.307M,,4.354M,32.96M,,6.173M,2.141M,-4.032M,0.123M,37.43M,-36.12M,2.141M,6.173M,-4.032M,,-4.032M,,,-40.16M,,,-40.16M,-40.16M,-32.84M,3.288M,-36.12M,-0.47,0.0,,,-0.47,-0.47,-0.47,0.0,,,-0.47,-0.47,84.60M,84.60M
2007-12,9.752M,9.752M,,,,4.424M,32.64M,-0.125M,,,,,36.66M,-26.90M,,,,-0.125M,,,,-21.80M,,,-21.80M,-21.72M,-23.65M,3.25M,-26.90M,-0.26,0.0,,,-0.259,-0.26,-0.26,0.0,,,-0.259,-0.26,84.41M,84.41M
2007-09,6.69M,6.69M,,,,3.587M,25.04M,0.566M,,,,,28.63M,-21.94M,,,,0.566M,,,,-24.49M,,,-24.49M,-24.86M,-18.69M,3.253M,-21.94M,-0.29,0.0,,,-0.2944,-0.29,-0.29,0.0,,,-0.2944,-0.29,84.21M,84.21M
2007-06,10.58M,10.58M,,,,3.535M,23.30M,0.073M,,,,,26.84M,-16.26M,,,,0.073M,,,,-18.44M,,,-18.44M,-18.49M,-13.00M,3.261M,-16.26M,-0.22,0.0,,,-0.2206,-0.22,-0.22,0.0,,,-0.2206,-0.22,84.14M,84.14M
2007-03,7.422M,7.422M,,,,3.692M,23.91M,-0.107M,,,,,27.60M,-20.18M,,,,-0.107M,,-22.15M,,-22.15M,,,-22.15M,-22.04M,-16.98M,3.199M,-20.18M,-0.26,0.0,,,-0.2587,-0.26,-0.26,0.0,,,-0.2587,-0.26,83.98M,83.98M
2006-12,7.056M,7.056M,,,,6.161M,23.56M,7.935M,,,,,29.72M,-22.66M,,,,7.935M,,-20.50M,,-20.50M,,,-20.50M,-28.44M,-19.39M,3.271M,-22.66M,-0.25,0.0,,,-0.3445,-0.25,-0.25,,,,-0.3445,-0.25,83.93M,83.97M
2006-09,7.268M,7.268M,,,,3.454M,19.56M,-0.013M,,,,,23.01M,-15.74M,,,,-0.013M,,-15.84M,,-15.84M,,,-15.84M,-15.82M,-14.44M,1.302M,-15.74M,-0.19,0.0,,,-0.1898,-0.19,-0.19,0.0,,,-0.1898,-0.19,83.85M,83.85M
2006-06,6.855M,6.855M,,,,3.421M,19.72M,-2.935M,,,,2.89M,26.04M,-19.18M,,,,-2.935M,,-20.52M,,-20.52M,,,-20.52M,-17.58M,-17.95M,1.229M,-19.18M,-0.24,0.0,,,-0.205,-0.24,-0.24,0.0,,,-0.205,-0.24,83.79M,83.79M
2006-03,6.465M,6.465M,,,,3.876M,24.76M,-0.201M,,,,,28.63M,-22.17M,,,,-0.201M,,-17.31M,,-17.31M,,,-17.31M,-17.10M,-20.56M,1.609M,-22.17M,-0.21,0.0,,,-0.2076,-0.21,-0.21,0.0,,,-0.2076,-0.21,83.63M,83.63M
2005-12,1.028M,1.028M,,,,3.68M,23.94M,-0.017M,,,,,27.62M,-26.59M,,,,-0.017M,,-28.11M,-0.396M,-27.71M,0.155M,,-27.56M,-27.69M,-24.92M,1.676M,-26.59M,-0.33,0.0,,,-0.3298,-0.33,-0.3315,0.0,,,-0.3313,-0.33,83.64M,83.64M
2005-09,1.228M,1.228M,,,,3.009M,27.36M,0.084M,,,,,30.36M,-29.14M,,,,0.084M,,-30.21M,,-30.21M,-0.003M,,-30.21M,-30.29M,-25.18M,3.955M,-29.14M,-0.36,0.0,,,-0.361,-0.36,-0.36,0.0,,,-0.361,-0.36,83.41M,83.41M
2005-06,2.676M,2.676M,,,,2.734M,26.56M,0.014M,,,,0.446M,29.74M,-27.06M,,,,0.014M,,-25.31M,-0.156M,-25.15M,0.009M,,-25.14M,-25.17M,-26.35M,0.708M,-27.06M,-0.3,0.0,,,-0.3002,-0.3,-0.3,0.0,,,-0.3002,-0.3,83.30M,83.30M
2005-03,2.915M,2.915M,,,,2.801M,17.76M,-0.469M,,,,,20.56M,-17.65M,,,,-0.469M,,-20.28M,,-20.28M,0.153M,,-20.13M,-19.82M,-15.80M,1.853M,-17.65M,-0.24,0.0,,,-0.2344,-0.24,-0.24,0.0,,,-0.2344,-0.24,83.05M,83.05M
2004-12,2.325M,2.325M,,,,16.21M,21.06M,0.016M,,,,,37.27M,-34.95M,,,,0.016M,,-37.00M,0.271M,-37.27M,-0.254M,,-37.53M,-37.28M,-31.61M,3.34M,-34.95M,-0.46,-0.01,,,-0.4601,-0.47,-0.46,-0.01,,,-0.4601,-0.47,79.32M,83.02M
2004-09,2.332M,2.332M,,,,4.766M,17.65M,-0.442M,,,,,22.41M,-20.08M,,,,-0.442M,,-25.98M,,-25.72M,-0.258M,,-25.98M,-25.28M,-16.06M,4.021M,-20.08M,-0.35,0.0,,,-0.344,-0.35,-0.35,0.0,,,-0.344,-0.35,73.32M,73.32M
2004-06,4.006M,4.006M,,,,5.634M,24.45M,-34.61M,,,,34.54M,64.62M,-60.62M,,,,-34.61M,,-63.17M,0.074M,-63.25M,-0.352M,,-63.60M,-42.48M,-57.13M,3.49M,-60.62M,-0.87,0.0,,,-0.5852,-0.87,-0.87,0.0,,,-0.5852,-0.87,72.93M,72.93M
2004-03,5.483M,5.483M,,,,13.58M,25.11M,-0.177M,,,,,38.69M,-33.21M,,,,-0.177M,,-37.32M,0.108M,-37.43M,-0.288M,,-37.72M,-37.32M,-30.15M,3.062M,-33.21M,-0.52,0.0,,,-0.5185,-0.52,-0.52,0.0,,,-0.5185,-0.52,72.64M,72.64M
2003-12,4.403M,4.403M,,,,20.18M,22.73M,-7.686M,,,,,42.91M,-38.50M,,,,-7.686M,,-41.04M,-0.349M,-40.69M,,,-40.77M,-33.07M,-35.05M,3.452M,-38.50M,-0.56,0.0,,,-0.4548,-0.56,-0.562,,,,-0.4569,-0.562,72.41M,72.54M
2003-09,13.25M,13.25M,,,,8.55M,28.62M,-5.344M,,,,,37.17M,-23.92M,,,,-5.344M,,-42.82M,0.19M,-43.01M,,,-43.01M,-39.81M,-19.42M,4.504M,-23.92M,-0.6,0.0,,,-0.5556,-0.6,-0.6,0.0,,,-0.5556,-0.6,72.18M,72.18M
2003-06,11.04M,11.04M,,,,7.694M,29.87M,-0.182M,,,,,37.56M,-26.53M,,,,-0.182M,,-26.66M,0.241M,-26.90M,,,-26.90M,-26.79M,-22.05M,4.482M,-26.53M,-0.37,0.0,,,-0.3685,-0.37,-0.37,0.0,,,-0.3685,-0.37,71.90M,71.90M
2003-03,12.51M,12.51M,,,,8.48M,30.19M,-28.16M,,,,,38.67M,-26.16M,,,,-28.16M,,-55.52M,0.26M,-55.78M,,,-55.78M,-38.89M,-21.70M,4.457M,-26.16M,-0.81,0.0,,,-0.5651,-0.81,-0.81,0.0,,,-0.5651,-0.81,68.99M,68.99M
2002-12,15.01M,15.01M,,,,41.64M,26.55M,-1.777M,,,,,68.50M,-53.49M,,,,-1.777M,,-64.36M,0.042M,-64.40M,,,-67.49M,-63.34M,-48.24M,5.245M,-53.49M,-0.95,-0.05,,,-0.9342,-1.0,-1.005,,,,-0.9889,-1.005,67.57M,67.57M
2002-09,22.39M,22.39M,,,,12.45M,47.41M,0.155M,,,,,59.85M,-37.46M,,,,0.155M,,-38.11M,0.30M,-38.41M,,,-38.41M,-38.50M,-31.86M,5.609M,-37.46M,-0.57,0.0,,,-0.5714,-0.57,-0.57,0.0,,,-0.5714,-0.57,67.74M,67.74M
2002-06,29.06M,29.06M,,,,12.75M,37.72M,-0.047M,,,,1.371M,51.84M,-22.78M,,,,-0.047M,,-17.24M,0.30M,-17.54M,,,-17.54M,-17.51M,-18.35M,4.424M,-22.78M,-0.26,0.0,,,-0.2596,-0.26,-0.26,0.0,,,-0.2596,-0.26,67.44M,67.44M
