,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,894.43M,276.63M,1.171B,220.19M,220.19M,4.632M,73.67M,,,,1.470B,0.0,5.35M,,122.29M,,,218.41M,346.05M,-81.44M,264.61M,155.59M,231.52M,387.11M,165.97M,,18.76M,836.46M,2.306B,74.12M,74.12M,219.97M,294.09M,,,7.46M,7.46M,,7.46M,,,28.18M,381.07M,16.81M,,16.81M,,,,,280.08M,296.90M,677.97M,0.212M,-2.028B,3.666B,,,,-10.12M,1.628B
2017-12,899.51M,270.14M,1.170B,266.30M,266.30M,6.482M,62.43M,,,,1.505B,0.0,5.35M,,108.45M,,11.37M,209.26M,334.43M,-74.66M,259.76M,155.59M,236.90M,392.49M,134.36M,,11.12M,797.73M,2.303B,67.67M,67.67M,131.50M,199.17M,34.68M,,7.393M,7.393M,0.00,7.393M,,,59.60M,375.40M,16.61M,,16.61M,,,,,279.95M,296.56M,671.95M,0.211M,-1.990B,3.627B,,,,-7.01M,1.631B
2017-09,1.128B,153.34M,1.281B,198.34M,198.34M,3.261M,58.33M,,,,1.541B,0.0,5.35M,,102.38M,,,208.17M,315.90M,-69.07M,246.82M,155.59M,242.28M,397.88M,169.02M,,19.26M,832.98M,2.374B,69.93M,69.93M,164.40M,234.33M,,,,,,,,,24.33M,319.94M,23.71M,,23.71M,,,,,272.90M,296.62M,616.55M,0.211M,-1.840B,3.585B,,,,12.51M,1.758B
2017-06,451.75M,156.85M,608.61M,169.52M,169.52M,2.93M,63.75M,,,,844.80M,0.0,5.35M,,95.82M,,,180.56M,281.74M,-62.86M,218.88M,155.59M,259.67M,415.26M,144.42M,,16.08M,794.64M,1.639B,69.09M,69.09M,150.39M,219.48M,,,,,,,,,22.78M,293.16M,23.43M,,23.43M,,,,,296.02M,319.45M,612.61M,0.205M,-1.876B,2.892B,,,,10.97M,1.027B
2017-03,361.82M,150.13M,511.96M,244.98M,244.98M,3.961M,58.28M,,,,819.18M,0.0,4.125M,,90.84M,,,154.58M,249.55M,-56.34M,193.21M,155.59M,265.05M,420.65M,158.32M,,15.99M,788.17M,1.607B,86.33M,86.33M,142.24M,228.57M,,,,,,,,,21.53M,304.72M,41.60M,,41.60M,,,,,295.09M,336.70M,641.41M,0.205M,-1.864B,2.824B,,,,5.377M,965.93M
2016-12,652.34M,156.20M,808.55M,148.76M,148.76M,4.106M,32.77M,,,,994.18M,0.0,4.125M,,84.63M,,,130.73M,219.49M,-51.81M,167.68M,155.59M,270.44M,426.03M,31.99M,,18.72M,644.42M,1.639B,75.60M,75.60M,127.46M,203.06M,,,,,,,,,19.54M,273.50M,651.48M,,651.48M,,,,,294.15M,945.63M,1.219B,0.189M,-1.675B,2.097B,,,,-2.886M,419.47M
2016-09,580.10M,136.49M,716.58M,131.52M,131.52M,4.078M,34.46M,0.017M,,,886.66M,0.0,3.825M,,79.69M,,,116.44M,199.95M,-48.01M,151.94M,155.70M,275.82M,431.52M,55.74M,,18.32M,657.54M,1.544B,57.52M,57.52M,114.88M,172.41M,,,,,,,2.868M,2.868M,17.85M,240.54M,643.43M,,643.43M,,,,,290.23M,933.66M,1.174B,0.188M,-1.684B,2.053B,,,,0.39M,369.99M
2016-06,487.65M,141.54M,629.19M,129.49M,129.49M,6.124M,27.31M,0.016M,,,792.13M,0.0,3.825M,,74.39M,,,104.79M,183.01M,-44.49M,138.51M,155.72M,281.20M,436.93M,31.44M,,18.96M,625.84M,1.418B,40.72M,40.72M,102.95M,143.67M,,,,,,,6.083M,6.083M,17.69M,198.99M,635.49M,,635.49M,,,,,286.44M,921.93M,1.121B,0.188M,-1.721B,2.017B,,,,0.662M,297.06M
2016-03,657.62M,153.05M,810.67M,101.28M,101.28M,1.309M,21.81M,0.517M,,,935.58M,0.0,,,67.56M,,,72.54M,140.10M,-47.48M,92.62M,,,,32.30M,,43.44M,168.36M,1.104B,31.90M,31.90M,135.93M,167.82M,,,,,,,9.297M,9.297M,,200.32M,627.64M,,627.64M,,,,,48.23M,675.88M,876.19M,0.187M,-1.755B,1.982B,,,,0.397M,227.75M
2015-12,521.44M,186.34M,707.78M,114.45M,114.45M,1.783M,17.84M,0.516M,,,842.38M,0.0,,,60.54M,,,70.73M,131.27M,-45.26M,86.01M,,,,35.25M,,43.81M,165.06M,1.007B,30.08M,30.08M,87.29M,117.38M,,,,,,,12.51M,12.51M,,168.01M,619.89M,,619.89M,,,,,48.38M,668.28M,836.28M,0.187M,-1.779B,1.951B,,,,-0.809M,171.16M
2015-09,445.80M,189.24M,635.04M,86.97M,86.97M,2.428M,23.25M,0.517M,9.712M,,757.91M,0.0,,,57.34M,,,67.90M,125.25M,-42.06M,83.19M,,,,35.71M,,55.12M,174.02M,931.93M,27.37M,27.37M,85.52M,112.89M,,,0.005M,0.005M,,0.005M,12.86M,12.86M,,155.82M,623.93M,,623.93M,9.712M,2.869M,12.58M,,50.86M,687.37M,843.20M,0.186M,-1.834B,1.923B,,,,-0.275M,88.74M
2015-06,439.68M,187.79M,627.47M,75.12M,75.12M,1.897M,20.26M,0.517M,7.725M,,732.99M,0.0,,,55.73M,,,65.61M,121.33M,-39.73M,81.60M,,,,67.00M,,48.74M,197.35M,930.34M,29.16M,29.16M,81.72M,110.88M,,,42.94M,42.94M,,42.94M,12.86M,12.86M,,192.47M,617.02M,,617.02M,7.725M,6.083M,13.81M,,51.86M,682.69M,875.16M,0.18M,-1.795B,1.848B,,,,1.949M,55.17M
2015-03,421.82M,163.60M,585.42M,69.60M,69.60M,2.414M,28.18M,0.50M,6.025M,,692.14M,0.0,,,53.05M,,,64.86M,117.91M,-37.25M,80.67M,,,,39.83M,,49.98M,170.48M,862.62M,26.59M,26.59M,74.49M,101.08M,,,87.34M,87.34M,,87.34M,12.86M,12.86M,,225.60M,610.21M,,610.21M,6.025M,9.297M,15.32M,,52.91M,678.44M,904.04M,0.173M,-1.804B,1.760B,,,,2.258M,-41.41M
2014-12,452.30M,147.97M,600.26M,57.93M,57.93M,0.358M,20.52M,0.50M,,,679.57M,0.0,,,51.54M,,,64.93M,116.46M,-34.67M,81.79M,,,,,,35.11M,116.90M,796.48M,24.46M,24.46M,64.11M,88.57M,,,85.19M,85.19M,,85.19M,12.88M,12.88M,,221.06M,589.98M,,589.98M,,12.51M,12.51M,,54.55M,657.04M,878.10M,0.171M,-1.786B,1.702B,,,,1.815M,-81.63M
2014-09,382.00M,150.36M,532.36M,109.60M,109.60M,0.402M,18.98M,0.50M,0.775M,,662.61M,0.0,,,39.31M,,68.31M,2.517M,110.14M,-34.88M,75.26M,,,,,,47.39M,122.65M,785.26M,26.60M,26.60M,58.69M,85.30M,,,,,,,12.88M,12.88M,,124.66M,681.31M,,681.31M,0.775M,15.73M,16.50M,,52.38M,750.20M,874.86M,0.169M,-1.749B,1.657B,,,,1.914M,-89.59M
2014-06,406.26M,102.49M,508.75M,47.20M,47.20M,0.269M,19.27M,0.75M,0.90M,,577.14M,0.0,,,37.86M,,49.24M,2.517M,89.62M,-34.01M,55.61M,,,,,,46.36M,101.96M,679.11M,27.25M,27.25M,52.73M,79.98M,,,,,,,12.88M,12.88M,,112.55M,673.32M,,673.32M,0.90M,18.94M,19.84M,,44.40M,737.56M,850.10M,0.168M,-1.808B,1.635B,,,,2.08M,-171.00M
2014-03,436.58M,82.65M,519.23M,46.39M,46.39M,0.347M,13.68M,0.625M,0.892M,,581.17M,0.0,,,37.22M,,32.25M,2.453M,71.93M,-33.27M,38.65M,,,,,,47.00M,85.66M,666.83M,17.95M,17.95M,61.42M,79.37M,,,,,,,12.89M,12.89M,,106.94M,665.22M,,665.22M,0.892M,22.15M,23.05M,,34.04M,722.30M,829.25M,0.167M,-1.771B,1.606B,,,,2.04M,-162.42M
2013-12,471.43M,37.58M,509.00M,35.37M,35.37M,0.406M,9.62M,0.50M,0.895M,,555.80M,0.0,,,36.49M,,20.38M,2.454M,59.32M,-32.47M,26.85M,,,,,,46.92M,73.77M,629.57M,19.10M,19.10M,47.97M,67.07M,,,,,,,12.89M,12.89M,,108.04M,661.57M,,661.57M,0.895M,25.37M,26.26M,,26.80M,714.63M,822.68M,0.163M,-1.737B,1.542B,,,,1.993M,-193.11M
2013-09,272.12M,19.05M,291.17M,33.20M,33.20M,0.359M,9.013M,,,,333.74M,,,,,,,,,,6.201M,,2.508M,2.508M,,,14.95M,23.66M,357.40M,18.21M,18.21M,47.83M,66.04M,,,,,,,25.50M,25.50M,,109.50M,187.14M,,187.14M,,28.58M,28.58M,,3.392M,219.11M,328.61M,0.161M,-1.694B,1.721B,,,,2.008M,28.79M
2013-06,258.20M,19.25M,277.45M,27.52M,27.52M,0.133M,8.261M,,,,313.37M,,,,,,,,,,6.236M,,3.204M,3.204M,,,11.41M,20.85M,334.22M,13.47M,13.47M,36.13M,49.60M,,,,,,,39.03M,39.03M,,102.96M,223.82M,,223.82M,,31.80M,31.80M,,3.433M,259.05M,362.00M,0.153M,-1.672B,1.642B,,,,1.993M,-27.79M
2013-03,265.81M,4.365M,270.18M,28.04M,28.04M,0.189M,10.70M,,,,309.11M,,,,,,,,,,6.485M,,,,,,14.68M,21.17M,330.28M,15.52M,15.52M,41.38M,56.89M,,,,,,,52.55M,52.55M,,121.28M,337.51M,,337.51M,,35.01M,35.01M,,,372.52M,493.81M,0.136M,-1.670B,1.504B,,,,1.999M,-163.53M
2012-12,224.06M,4.361M,228.42M,70.95M,70.95M,0.278M,9.867M,0.00,0.00,,309.51M,0.0,,,33.59M,,0.00,2.418M,36.00M,-29.66M,6.348M,,,,,6.082M,8.475M,20.90M,330.42M,13.96M,13.96M,33.14M,47.10M,,,,,,,66.08M,66.08M,,136.07M,331.08M,,331.08M,0.00,38.23M,38.23M,,,369.30M,505.38M,0.133M,-1.654B,1.477B,,,,1.878M,-174.96M
2012-09,239.08M,4.516M,243.60M,16.54M,16.54M,0.19M,8.899M,9.50M,,,278.73M,,,,,,,,,,6.169M,,6.62M,6.62M,,,5.018M,17.81M,296.54M,12.76M,12.76M,32.25M,45.01M,,9.816M,,9.816M,,9.816M,66.97M,66.97M,,137.64M,324.78M,,324.78M,,54.06M,54.06M,,,378.84M,516.48M,0.131M,-1.673B,1.450B,,,,2.149M,-219.95M
2012-06,257.56M,4.244M,261.81M,13.84M,13.84M,0.188M,8.823M,9.499M,,,294.16M,,,,,,,,,,6.515M,,7.154M,7.154M,,,4.144M,17.81M,311.97M,11.10M,11.10M,29.86M,40.96M,,,,9.68M,,9.68M,75.97M,75.97M,,139.73M,318.63M,,318.63M,,70.80M,70.80M,,,389.43M,529.16M,0.13M,-1.651B,1.432B,,,,1.72M,-217.19M
2012-03,231.86M,4.556M,236.41M,13.01M,13.01M,,7.446M,19.30M,,,276.16M,,,,,,,,,,6.232M,,7.686M,7.686M,,,3.513M,17.43M,293.59M,13.17M,13.17M,34.62M,47.79M,,,,9.546M,,9.546M,72.98M,72.98M,,142.30M,312.62M,,312.62M,,87.54M,87.54M,,,400.15M,542.45M,0.128M,-1.655B,1.404B,,,,1.935M,-248.86M
2011-12,273.16M,4.43M,277.59M,6.415M,6.415M,0.00,7.475M,19.29M,,,310.78M,0.0,,,30.98M,,,2.382M,33.37M,-26.94M,6.431M,,,,,8.217M,3.536M,18.18M,328.96M,14.94M,14.94M,29.52M,44.46M,,,,,,,69.30M,69.30M,,135.61M,316.15M,,316.15M,,104.27M,104.27M,,,420.42M,556.04M,0.126M,-1.610B,1.381B,,,,1.642M,-227.08M
2011-09,312.33M,4.647M,316.98M,2.462M,2.462M,,7.984M,19.00M,,,346.42M,,,,,,,,,,6.077M,,,,,,18.73M,24.81M,371.22M,11.04M,11.04M,29.34M,40.38M,,,,,,,66.97M,66.97M,,120.96M,310.28M,,310.28M,,121.01M,121.01M,,,431.29M,552.24M,0.126M,-1.554B,1.372B,,,,1.821M,-181.02M
2011-06,359.07M,5.036M,364.11M,2.376M,2.376M,,6.447M,18.99M,,,391.92M,,,,,,,,,,5.50M,,,,,,19.24M,24.74M,416.66M,8.788M,8.788M,24.80M,33.59M,,,,,,,66.98M,66.98M,,110.67M,304.53M,,304.53M,,137.75M,137.75M,,,442.28M,552.95M,0.126M,-1.501B,1.363B,,,,1.951M,-136.28M
2011-03,377.84M,5.783M,383.63M,16.58M,16.58M,,6.769M,18.99M,,,425.97M,,,,,,,,,,4.934M,,9.793M,9.793M,,,18.91M,33.64M,459.61M,7.791M,7.791M,26.33M,34.12M,,,,,,,66.98M,66.98M,,110.18M,298.92M,,298.92M,,154.48M,154.48M,,,453.40M,563.58M,0.124M,-1.450B,1.343B,,,,2.089M,-103.98M
2010-12,417.91M,6.256M,424.17M,5.701M,5.701M,,6.60M,18.98M,,,455.45M,0.0,,,27.62M,,,2.179M,29.80M,-24.99M,4.804M,,10.43M,10.43M,0.00,,18.89M,34.13M,489.58M,10.77M,10.77M,35.83M,46.60M,,,,,,,66.97M,66.97M,,113.57M,293.43M,,293.43M,,171.22M,171.22M,,,464.65M,578.22M,0.123M,-1.423B,1.332B,,,,1.986M,-88.64M
2010-09,388.80M,6.781M,395.58M,4.735M,4.735M,,3.232M,18.99M,,,422.54M,,,,,,,,,,2.385M,,,,0.00,,39.71M,42.10M,464.64M,7.75M,7.75M,42.79M,50.54M,,,,,,,66.98M,66.98M,,117.52M,288.07M,,288.07M,,187.96M,187.96M,,,476.03M,593.55M,0.122M,-1.456B,1.325B,,,,1.93M,-128.91M
2010-06,414.09M,8.102M,422.19M,6.36M,6.36M,,3.763M,18.98M,,,451.29M,,,,,,,,,,2.159M,,,,0.00,,40.23M,42.39M,493.68M,9.158M,9.158M,34.79M,43.94M,,,,,,,67.00M,67.00M,,110.94M,282.82M,,282.82M,,204.70M,204.70M,,,487.52M,598.46M,0.122M,-1.424B,1.317B,,,,1.795M,-104.78M
2010-03,404.75M,17.49M,422.24M,5.253M,5.253M,,4.269M,19.04M,,,450.81M,,,,,,,,,,1.808M,,,,0.014M,,50.03M,51.86M,502.66M,13.30M,13.30M,37.62M,50.92M,,,,,,,67.02M,67.02M,,117.94M,277.70M,,277.70M,,221.43M,221.43M,,,499.13M,617.08M,0.121M,-1.427B,1.311B,,,,1.198M,-114.41M
2009-12,449.82M,20.59M,470.42M,163.66M,163.66M,,2.944M,19.03M,,,656.06M,0.0,,,23.63M,,,2.152M,25.78M,-24.03M,1.752M,,13.88M,13.88M,3.513M,,37.19M,56.34M,712.39M,20.96M,20.96M,44.83M,65.80M,,,,,,,67.03M,67.03M,,132.83M,443.14M,,443.14M,,238.17M,238.17M,,0.641M,681.95M,814.77M,0.119M,-1.391B,1.288B,,,,0.707M,-102.38M
2009-09,367.48M,20.77M,388.24M,0.862M,0.862M,,4.006M,9.544M,,,402.66M,,,,,,,,,,1.981M,,14.64M,14.64M,6.914M,,46.62M,70.16M,472.82M,14.18M,14.18M,30.07M,44.24M,,,,,,,0.032M,0.032M,,44.28M,477.42M,,477.42M,,,,148.10M,2.372M,627.90M,672.17M,0.119M,-1.303B,1.103B,,,,0.502M,-199.36M
2009-06,114.29M,26.19M,140.48M,0.807M,0.807M,,5.436M,,,,146.72M,,,,,,,,,,2.189M,,3.099M,3.099M,7.01M,,,12.30M,159.02M,15.84M,15.84M,29.73M,45.57M,,,,,,,0.052M,0.052M,,45.62M,401.22M,,401.22M,,,,,3.60M,404.82M,450.45M,0.098M,-1.259B,967.96M,,,,-0.107M,-291.43M
2009-03,139.10M,18.59M,157.69M,0.739M,0.739M,,6.937M,,,,165.36M,,,,,,,,,,2.495M,,3.837M,3.837M,17.94M,,,24.27M,189.64M,15.08M,15.08M,26.94M,42.03M,,,,,,,0.072M,0.072M,,42.10M,398.67M,,398.67M,,,,,5.614M,404.29M,446.39M,0.097M,-1.219B,964.57M,,,,-2.072M,-256.75M
2008-12,178.77M,19.26M,198.02M,1.05M,1.05M,,6.42M,0.00,,,205.49M,0.0,,,23.28M,,,2.112M,25.40M,-22.60M,2.796M,,4.339M,4.339M,19.76M,,,26.89M,232.39M,15.68M,15.68M,34.60M,50.28M,,,,,,,0.062M,0.062M,,50.34M,396.17M,,396.17M,,0.00,0.00,,6.634M,402.80M,453.14M,0.097M,-1.179B,961.21M,,,,-2.747M,-220.75M
2008-09,207.60M,42.26M,249.86M,0.879M,0.879M,,6.284M,,,,257.02M,,,,,,,,24.57M,-21.74M,2.825M,,4.837M,4.837M,,,0.032M,7.694M,264.72M,13.46M,13.46M,25.56M,39.03M,,,,,,,0.032M,0.032M,1.758M,40.82M,393.70M,,393.70M,,,,,7.573M,401.28M,442.10M,0.097M,-1.131B,956.80M,,,,-3.363M,-177.38M
2008-06,134.71M,51.31M,186.02M,0.787M,0.787M,,7.247M,,,,194.06M,,,,,,,,24.85M,-21.74M,3.11M,,5.559M,5.559M,,,2.011M,10.68M,204.74M,13.48M,13.48M,22.84M,36.33M,,,,,,,0.052M,0.052M,5.273M,41.65M,391.28M,,391.28M,,,,,9.00M,400.28M,441.93M,0.085M,-1.086B,850.69M,,,,-1.857M,-237.20M
2008-03,162.74M,56.37M,219.11M,0.84M,0.84M,,7.642M,,,,227.60M,,,,,,,,25.24M,-21.74M,3.501M,,5.876M,5.876M,,,0.039M,9.416M,237.01M,13.23M,13.23M,19.25M,32.47M,,,,,,,0.072M,0.072M,1.758M,34.30M,388.90M,,388.90M,,,,,10.86M,399.76M,434.06M,0.085M,-1.041B,845.18M,,,,-1.766M,-197.05M
2007-12,108.85M,147.58M,256.43M,1.551M,1.551M,,6.431M,,,,264.41M,0.0,,2.093M,23.59M,,,,25.69M,-21.74M,3.943M,,0.406M,0.406M,,,6.934M,11.28M,275.70M,7.806M,7.806M,22.87M,30.67M,,,,,,,0.649M,0.649M,5.273M,36.60M,386.56M,,386.56M,,,,,12.06M,398.62M,435.21M,0.085M,-1.000B,841.32M,,-0.007M,-0.521M,-0.528M,-159.52M
2007-09,95.63M,169.32M,264.94M,1.276M,1.276M,,4.634M,,,,270.85M,,,,,,,,22.83M,-18.96M,3.874M,,7.038M,7.038M,,,0.917M,11.83M,282.68M,6.421M,6.421M,19.04M,25.46M,,,,,,,5.995M,5.995M,1.758M,33.21M,377.50M,,377.50M,,,,,13.44M,390.94M,424.16M,0.084M,-978.59M,837.39M,,,,-0.356M,-141.47M
2007-06,33.94M,247.53M,281.47M,1.267M,1.267M,,5.577M,,,,288.31M,,,,,,,,23.50M,-18.96M,4.539M,,7.61M,7.61M,,,8.337M,20.49M,308.80M,4.959M,4.959M,16.33M,21.29M,,,,,,,11.63M,11.63M,5.273M,38.19M,375.33M,,375.33M,,,,,14.91M,390.24M,428.43M,0.084M,-954.10M,834.69M,,,,-0.306M,-119.64M
2007-03,20.30M,273.48M,293.78M,1.44M,1.44M,,5.204M,,,,300.42M,,,,,,,,24.16M,-18.96M,5.197M,,8.204M,8.204M,,,11.11M,24.51M,324.93M,4.511M,4.511M,15.69M,20.20M,,,,,,,17.69M,17.69M,1.758M,39.65M,373.20M,,373.20M,,,,,16.56M,389.76M,429.41M,0.084M,-935.66M,831.24M,,,,-0.143M,-104.48M
2006-12,18.86M,299.71M,318.57M,2.073M,2.073M,,7.115M,,,,327.76M,0.0,,2.016M,22.83M,,,,24.85M,-18.96M,5.89M,,8.715M,8.715M,,,11.24M,25.84M,353.60M,5.916M,5.916M,15.87M,21.79M,,,,,,,22.88M,22.88M,4.668M,49.34M,371.10M,,371.10M,,,,,18.07M,389.17M,438.51M,0.084M,-913.51M,828.94M,,-0.007M,-0.408M,-0.415M,-84.91M
2006-09,115.92M,310.38M,426.30M,1.39M,1.39M,,4.31M,,,,432.00M,,,,,,,,21.40M,-15.66M,5.741M,,9.354M,9.354M,,,17.79M,32.88M,464.89M,3.704M,3.704M,16.46M,20.16M,,91.69M,,91.69M,,91.69M,22.94M,22.94M,2.009M,136.79M,369.04M,,369.04M,,,,,25.20M,394.24M,531.04M,0.084M,-893.01M,826.26M,,,,0.521M,-66.15M
