,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2013-09,1.665B,494.20M,1.171B,670.00M,501.20M,290.80M,,,-163.00M,,,-17.80M,,290.80M,210.40M,,,-17.80M,-20.20M,-17.80M,172.40M,37.20M,135.20M,0.90M,-1.80M,134.30M,264.67M,287.60M,77.20M,210.40M,0.73,0.01,,1.445,0.74,0.72,0.01,,1.431,0.73,183.50M,184.60M,0.32
2013-06,1.660B,481.70M,1.178B,684.10M,493.90M,319.50M,,,-1.30M,,,-41.20M,,319.50M,174.40M,,,-41.20M,164.00M,-41.20M,297.20M,30.00M,267.20M,1.70M,-1.60M,267.30M,274.69M,255.10M,80.70M,174.40M,1.45,0.01,,1.5,1.46,1.44,0.01,,1.489,1.45,182.90M,184.10M,0.32
2013-03,1.185B,356.30M,828.50M,547.10M,281.40M,293.90M,,,-0.30M,,,-74.90M,,293.90M,-12.50M,,,-74.90M,120.20M,-74.90M,32.80M,2.00M,30.80M,-0.90M,-1.40M,28.50M,27.14M,67.70M,80.20M,-12.50M,0.16,0.0,,0.1476,0.16,0.16,0.0,,0.1477,0.16,181.70M,182.90M,0.32
2012-12,1.480B,450.00M,1.030B,646.60M,383.60M,272.50M,,0.30M,-17.60M,,,-22.20M,,272.50M,111.10M,,,-22.20M,39.60M,-22.20M,128.50M,68.80M,59.70M,-0.10M,0.40M,60.00M,82.26M,542.30M,80.70M,461.60M,0.33,0.0,,0.4524,0.33,0.33,0.0,,0.4517,0.33,181.10M,182.10M,0.32
2012-09,1.686B,490.30M,1.196B,687.00M,508.50M,300.60M,,28.50M,-35.90M,,,-54.40M,,300.60M,207.90M,,,-54.40M,89.70M,-54.40M,243.20M,42.50M,200.70M,0.70M,-3.00M,198.40M,232.81M,288.10M,80.20M,207.90M,1.09,0.0,,1.284,1.09,1.09,0.0,,1.2830000000000001,1.09,181.00M,182.00M,0.32
2012-06,1.441B,441.50M,999.40M,580.10M,419.30M,304.80M,,10.40M,-21.20M,,,-97.60M,,304.80M,114.50M,,,-97.60M,106.90M,-97.60M,123.80M,25.90M,97.90M,0.80M,6.40M,105.10M,167.26M,172.90M,58.40M,114.50M,0.58,0.0,,0.9282,0.58,0.57,0.0,,0.9167,0.57,180.80M,181.60M,0.32
2012-03,1.008B,316.70M,691.40M,438.80M,252.60M,248.20M,,,-1.50M,,,-23.80M,,248.20M,4.40M,,,-23.80M,116.00M,-23.80M,96.60M,17.30M,79.30M,0.10M,0.10M,79.50M,82.02M,57.80M,53.40M,4.40M,0.44,0.0,,0.4546,0.44,0.44,0.0,,0.4544,0.44,180.30M,181.70M,0.32
2011-12,1.396B,458.30M,937.30M,547.50M,389.80M,259.90M,,,4.60M,,,-26.20M,,259.90M,129.90M,,,-26.20M,78.10M,-26.20M,181.80M,9.00M,172.80M,0.80M,-0.40M,173.20M,168.03M,631.00M,55.80M,575.20M,0.96,0.0,,0.9358,0.96,0.95,0.0,,0.926,0.95,180.70M,182.20M,0.32
2011-09,1.394B,439.50M,954.40M,550.50M,403.90M,248.20M,,,-2.40M,,,-27.30M,,248.20M,155.70M,,,-27.30M,97.00M,-27.30M,225.40M,31.10M,194.30M,2.70M,0.40M,197.40M,196.77M,209.90M,54.20M,155.70M,1.05,0.01,,1.061,1.06,1.05,0.01,,1.061,1.06,185.00M,186.20M,0.32
2011-06,1.383B,449.50M,933.60M,523.90M,409.70M,272.50M,,,-9.50M,,,-27.70M,,272.50M,137.20M,,,-27.70M,159.00M,-27.70M,268.50M,43.20M,225.30M,-1.50M,-1.00M,222.80M,235.04M,193.30M,56.10M,137.20M,1.2,-0.01,,1.2570000000000001,1.19,1.19,-0.01,,1.247,1.18,187.10M,188.80M,0.32
2011-03,997.30M,306.90M,690.40M,427.20M,263.20M,238.40M,,,-0.70M,,,-26.80M,,238.40M,24.80M,,,-26.80M,100.50M,-26.80M,98.50M,16.10M,82.40M,0.30M,0.20M,82.90M,83.19M,75.80M,51.00M,24.80M,0.44,0.0,,0.4431,0.44,0.44,0.0,,0.4431,0.44,186.90M,188.70M,0.28
2010-12,1.213B,378.30M,835.10M,475.60M,359.50M,264.90M,,,-54.20M,,,-25.70M,,264.90M,94.60M,,,-25.70M,55.90M,-25.70M,124.80M,14.10M,110.70M,-1.50M,0.60M,109.80M,159.38M,634.50M,50.40M,584.10M,0.59,-0.01,,0.8478,0.58,0.59,-0.01,,0.8459,0.58,186.50M,187.90M,0.28
2010-09,1.260B,385.10M,875.00M,457.40M,417.60M,248.90M,,,38.50M,,,-23.90M,,248.90M,168.70M,,,-23.90M,173.80M,-23.90M,318.60M,60.70M,257.90M,-0.90M,-0.90M,256.10M,225.84M,216.50M,47.80M,168.70M,1.39,-0.01,,1.222,1.38,1.38,-0.01,,1.214,1.37,186.00M,187.40M,0.28
2010-06,1.283B,399.30M,883.30M,474.80M,408.50M,261.20M,,,5.60M,,,-25.40M,,261.20M,147.30M,,,-25.40M,169.20M,-25.40M,291.10M,52.20M,238.90M,-0.60M,-1.10M,237.20M,233.20M,198.30M,51.00M,147.30M,1.28,0.0,,1.255,1.28,1.27,0.0,,1.245,1.27,185.70M,187.40M,0.28
2010-03,947.00M,286.00M,661.00M,404.40M,256.60M,237.50M,,,-11.20M,,,-24.40M,,237.50M,19.10M,,,-24.40M,79.80M,-24.40M,74.50M,11.70M,62.80M,42.60M,-0.80M,104.60M,71.44M,72.20M,53.10M,19.10M,0.33,0.23,,0.3809,0.56,0.33,0.23,,0.3804,0.56,185.50M,187.20M,0.24
2009-12,1.192B,370.80M,820.80M,475.60M,345.20M,247.50M,,,9.20M,34.30M,,-23.60M,,247.50M,97.70M,,34.30M,-23.60M,58.80M,-23.60M,132.90M,-86.00M,218.90M,3.90M,-0.70M,222.10M,212.22M,239.90M,72.70M,167.20M,1.18,0.02,,1.148,1.2,1.17,0.02,,1.138,1.19,185.00M,186.80M,0.24
2009-09,1.250B,396.60M,853.70M,472.60M,381.10M,240.70M,,,51.60M,22.50M,,-22.50M,,240.70M,140.40M,,22.50M,-22.50M,152.80M,-22.50M,270.70M,25.30M,245.40M,-9.00M,-1.10M,235.30M,197.52M,339.70M,46.50M,293.20M,1.32,-0.05,,1.067,1.27,1.31,-0.05,,1.0590000000000002,1.26,184.60M,186.20M,0.24
