,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2017-09,971.30M,,971.30M,833.40M,,,197.90M,1.031B,282.80M,91.60M,261.60M,,636.00M,,,277.80M,2.916B,,,,,,,,,4.590B,8.347B,14.32B,22.66B,,,,,508.40M,27.76B,30.68B,2.506B,,2.506B,,2.506B,1.005B,,740.30M,1.745B,,1.745B,,,5.10M,4.256B,10.57B,,10.57B,1.932B,1.932B,895.50M,,208.40M,309.90M,13.72B,17.98B,662.90M,6.659B,6.677B,471.40M,,,-1.039B,12.49B
2017-06,502.90M,,502.90M,962.90M,,,113.80M,1.077B,277.10M,88.90M,267.70M,,633.70M,,,275.70M,2.489B,,,,,,,,,4.585B,8.391B,14.20B,22.59B,,,,,453.60M,27.63B,30.12B,2.617B,,2.617B,,2.617B,281.10M,,405.50M,686.60M,,686.60M,,,4.90M,3.308B,11.19B,,11.19B,1.865B,1.865B,1.125B,,209.90M,317.20M,14.50B,17.81B,664.10M,6.467B,6.658B,471.40M,,,-1.222B,12.10B
2017-03,395.00M,,395.00M,756.50M,,,166.50M,923.00M,309.30M,91.20M,263.00M,,663.50M,,,297.70M,2.279B,,,,,,,,,4.529B,8.276B,14.03B,22.31B,,,,,426.10M,27.26B,29.54B,2.200B,,2.200B,,2.200B,130.00M,35.10M,677.90M,843.00M,,843.00M,,,5.20M,3.049B,11.44B,,11.44B,1.763B,1.763B,1.158B,,212.00M,307.20M,14.68B,17.73B,678.00M,6.232B,6.630B,471.40M,,,-1.470B,11.60B
2016-12,560.90M,,560.90M,654.40M,,,136.40M,805.30M,297.30M,81.60M,213.80M,,592.70M,,,210.70M,2.170B,3.80M,304.70M,853.10M,4.11B,321.70M,413.40M,6.007B,-1.499B,4.507B,8.250B,14.03B,22.28B,,,,,382.50M,27.17B,29.34B,1.298B,317.30M,1.615B,243.60M,1.858B,0.00,,684.80M,684.80M,,684.80M,,,343.20M,3.158B,11.39B,,11.39B,1.699B,1.699B,1.196B,,203.00M,267.00M,14.56B,17.72B,681.30M,6.145B,6.635B,471.40M,,,-1.572B,11.42B
2016-09,9.982B,,9.982B,474.40M,,,164.40M,638.80M,25.10M,15.20M,178.00M,,218.30M,,,109.10M,10.95B,,,,,,,,,1.527B,1.925B,4.880B,6.806B,2.644B,17.60M,,26.70M,228.50M,11.25B,22.20B,1.274B,,1.274B,,1.274B,,11.30M,315.60M,326.90M,,326.90M,,,4.90M,1.606B,9.561B,,9.561B,798.10M,798.10M,206.10M,,20.90M,73.20M,10.65B,12.26B,689.70M,4.769B,6.566B,471.40M,,,-1.633B,9.920B
2016-06,2.990B,,2.990B,563.10M,,,155.10M,718.20M,28.50M,17.30M,188.40M,,234.20M,,,128.00M,4.071B,,,,,,,,,1.539B,1.944B,4.929B,6.872B,2.557B,17.40M,,28.10M,237.30M,11.25B,15.32B,1.316B,,1.316B,,1.316B,,30.10M,316.90M,347.00M,,347.00M,,,5.00M,1.668B,2.680B,,2.680B,802.50M,802.50M,209.10M,,19.60M,78.10M,3.783B,5.450B,690.40M,4.651B,6.557B,471.40M,,,-1.574B,9.852B
2016-03,2.603B,,2.603B,456.50M,,,316.40M,772.90M,30.10M,17.10M,183.20M,,230.40M,,,156.60M,3.763B,,,,,,,,,1.589B,2.029B,4.985B,7.014B,2.581B,18.50M,,23.10M,222.50M,11.45B,15.21B,1.154B,,1.154B,,1.154B,,49.50M,14.00M,63.50M,,63.50M,,,4.50M,1.222B,2.973B,,2.973B,796.10M,796.10M,208.90M,,20.50M,79.30M,4.069B,5.291B,691.60M,4.566B,6.55B,471.40M,,,-1.438B,9.899B
2015-12,430.90M,,430.90M,407.90M,,,102.00M,525.90M,27.20M,13.00M,139.10M,,179.30M,,,122.70M,1.259B,3.80M,173.10M,457.30M,1.996B,228.00M,123.20M,2.981B,-1.390B,1.591B,1.983B,4.746B,6.729B,2.441B,,,,256.70M,11.02B,12.28B,559.60M,201.60M,761.20M,121.60M,882.80M,,26.20M,2.50M,28.70M,,28.70M,,,223.40M,1.217B,2.909B,,2.909B,799.80M,799.80M,201.90M,,20.10M,75.30M,3.996B,5.213B,712.90M,4.496B,4.000B,471.40M,,,-1.695B,7.043B
2015-09,393.60M,,393.60M,524.60M,,,91.80M,616.40M,35.70M,15.70M,173.10M,,224.50M,,27.30M,89.80M,1.352B,,,,,,,,,1.615B,2.047B,4.924B,6.970B,2.441B,21.30M,,38.50M,208.00M,11.29B,12.65B,1.196B,,1.196B,,1.196B,10.00M,20.20M,18.00M,48.20M,,48.20M,164.80M,164.80M,4.10M,1.413B,2.954B,,2.954B,668.80M,668.80M,243.00M,,22.40M,83.20M,3.959B,5.373B,738.20M,4.538B,3.952B,421.40M,,,-1.557B,7.250B
2015-06,413.80M,,413.80M,595.10M,,,90.50M,685.60M,47.30M,21.50M,175.50M,,244.30M,,27.20M,105.30M,1.476B,,,,,,,,,1.709B,2.115B,5.373B,7.489B,2.453B,22.60M,,51.20M,196.30M,11.92B,13.40B,1.333B,,1.333B,,1.333B,65.00M,29.10M,738.30M,832.40M,,832.40M,179.00M,179.00M,5.20M,2.350B,2.305B,,2.305B,739.00M,739.00M,269.00M,,24.30M,89.90M,3.416B,5.766B,744.80M,4.598B,3.937B,371.40M,,,-1.301B,7.607B
2015-03,317.60M,,317.60M,459.10M,,,131.20M,590.30M,44.30M,20.10M,164.80M,,229.20M,,26.20M,114.80M,1.278B,,,,,,,,,1.641B,2.021B,5.230B,7.251B,2.499B,20.60M,,40.50M,222.20M,11.67B,12.95B,1.125B,,1.125B,,1.125B,127.80M,90.40M,723.00M,941.20M,,941.20M,183.00M,183.00M,5.00M,2.254B,2.310B,,2.310B,717.40M,717.40M,273.90M,,24.00M,98.30M,3.412B,5.667B,769.80M,4.445B,3.904B,321.40M,,,-1.536B,7.261B
2014-12,624.60M,,624.60M,488.90M,,,94.80M,621.70M,75.20M,20.70M,135.30M,,226.20M,,27.20M,77.40M,1.577B,3.80M,175.30M,475.00M,2.091B,241.50M,154.60M,3.141B,-1.343B,1.798B,2.192B,5.756B,7.947B,2.389B,21.60M,,58.20M,189.20M,12.40B,13.98B,618.00M,215.00M,833.00M,154.50M,987.50M,,69.50M,779.50M,849.00M,,849.00M,164.80M,164.80M,217.50M,2.325B,2.321B,,2.321B,784.30M,784.30M,542.90M,,22.80M,105.10M,3.769B,6.094B,771.70M,4.440B,3.871B,321.10M,,,-898.40M,7.863B
2014-09,722.10M,,722.10M,578.30M,,,115.70M,694.00M,50.40M,22.10M,188.70M,,261.20M,,25.40M,109.20M,1.812B,,,,,,,,,1.850B,2.294B,6.026B,8.32B,2.580B,23.20M,,17.70M,230.30M,13.02B,14.83B,1.366B,,1.366B,,1.366B,161.40M,118.80M,828.50M,1.109B,,1.109B,138.10M,138.10M,6.60M,2.620B,2.346B,,2.346B,902.50M,902.50M,417.00M,,24.40M,109.20M,3.791B,6.411B,793.70M,4.414B,3.837B,321.10M,,,-325.60M,8.398B
2014-06,506.00M,,506.00M,730.90M,,,141.50M,872.40M,60.10M,28.20M,189.00M,,277.30M,,25.30M,119.30M,1.800B,,,,,,,,,1.974B,2.441B,6.777B,9.218B,2.599B,23.90M,,16.50M,241.80M,14.07B,15.87B,1.515B,,1.515B,,1.515B,,,,451.60M,,451.60M,138.10M,138.10M,7.30M,2.112B,3.209B,,3.209B,977.40M,977.40M,443.30M,,23.10M,128.40M,4.776B,6.888B,819.80M,4.517B,3.790B,321.10M,,,155.90M,8.962B
2014-03,337.60M,,337.60M,552.10M,,,161.30M,713.40M,59.20M,24.40M,179.60M,,263.20M,,46.40M,123.70M,1.484B,,,,,,,,,1.936B,2.395B,6.652B,9.047B,2.608B,23.00M,,15.70M,251.10M,13.88B,15.37B,1.267B,,1.267B,,1.267B,,,,630.40M,,630.40M,167.30M,167.30M,7.10M,2.072B,3.162B,,3.162B,932.50M,932.50M,436.50M,,23.80M,120.00M,4.669B,6.741B,822.60M,4.328B,3.778B,321.10M,,,-6.60M,8.601B
2013-12,442.30M,,442.30M,572.80M,,,125.50M,728.00M,85.20M,23.30M,133.20M,,234.90M,,50.40M,82.10M,1.538B,3.00M,192.10M,505.00M,2.289B,313.50M,126.30M,3.429B,-1.459B,1.970B,2.419B,6.825B,9.244B,2.506B,23.60M,,38.30M,260.10M,14.04B,15.58B,599.70M,216.60M,816.30M,163.50M,979.80M,379.80M,140.50M,66.60M,586.90M,,586.90M,138.10M,138.10M,365.10M,2.161B,3.213B,,3.213B,911.40M,911.40M,462.60M,,24.90M,184.30M,4.789B,6.95B,824.30M,4.200B,3.748B,321.10M,,,154.90M,8.605B
2013-09,406.90M,,406.90M,658.60M,,,104.20M,762.80M,52.80M,25.80M,159.80M,,238.40M,,70.00M,118.00M,1.596B,,,,,,,,,1.977B,2.415B,6.974B,9.389B,2.542B,24.70M,,39.50M,204.90M,14.18B,15.77B,1.395B,,1.395B,,1.395B,,,638.30M,638.30M,,638.30M,111.20M,111.20M,143.80M,2.288B,3.254B,,3.254B,941.90M,941.90M,752.70M,2.80M,28.10M,197.20M,5.166B,7.454B,827.90M,4.161B,3.728B,321.10M,,,-104.50M,8.291B
2013-06,801.60M,,801.60M,693.40M,,,109.80M,803.20M,58.60M,28.30M,178.50M,,265.40M,,66.40M,134.70M,2.071B,,,,,,,,,1.910B,2.326B,6.947B,9.273B,2.517B,24.30M,,119.30M,202.00M,14.05B,16.12B,1.363B,,1.363B,,1.363B,,,1.272B,1.272B,,1.272B,112.30M,112.30M,172.10M,2.920B,3.296B,,3.296B,937.90M,937.90M,745.70M,1.30M,26.30M,187.30M,5.186B,8.106B,830.70M,4.098B,3.710B,321.10M,,,-332.30M,7.984B
2013-03,511.50M,,511.50M,572.20M,,,138.00M,710.20M,59.70M,23.70M,174.20M,,257.60M,,68.90M,141.50M,1.690B,,,,,,,,,1.926B,2.366B,7.028B,9.394B,2.530B,24.40M,,189.80M,188.90M,14.25B,15.94B,455.50M,,455.50M,708.50M,1.164B,,,1.260B,1.260B,,1.260B,168.90M,168.90M,21.50M,2.615B,3.391B,,3.391B,966.40M,966.40M,776.60M,206.50M,25.80M,170.40M,5.531B,8.146B,834.40M,3.878B,3.660B,321.10M,,,-279.80M,7.771B
2012-12,624.00M,,624.00M,608.30M,,92.90M,,753.40M,89.20M,20.30M,139.90M,,242.20M,,39.20M,89.20M,1.748B,3.00M,190.40M,485.50M,2.134B,285.60M,122.10M,3.220B,-1.225B,1.996B,2.453B,7.235B,9.688B,2.432B,26.30M,,125.40M,196.90M,14.46B,16.21B,490.30M,212.30M,702.60M,141.80M,844.40M,,,1.246B,1.246B,,1.246B,152.30M,152.30M,251.10M,2.599B,3.422B,,3.422B,948.50M,948.50M,833.00M,222.20M,24.70M,175.70M,5.622B,8.221B,836.20M,3.900B,3.624B,321.10M,,,-72.30M,7.967B
2012-09,585.70M,,585.70M,642.60M,,,127.10M,769.70M,61.90M,25.80M,178.10M,,265.80M,,29.40M,130.20M,1.781B,,,,,,,,,2.001B,2.416B,7.227B,9.642B,2.627B,27.60M,,161.50M,226.50M,14.69B,16.47B,488.90M,,488.90M,788.20M,1.277B,,,1.259B,1.259B,,1.259B,171.80M,171.80M,17.70M,2.725B,3.438B,,3.438B,999.40M,999.40M,696.60M,226.50M,54.00M,81.30M,5.462B,8.187B,1.60M,3.899B,4.451B,321.10M,,,195.30M,8.225B
2012-06,516.00M,,516.00M,739.90M,,,136.20M,876.10M,64.70M,28.50M,175.50M,,268.70M,,32.40M,140.40M,1.834B,,,,,,,,,1.978B,2.288B,7.125B,9.413B,2.606B,27.60M,,154.40M,224.30M,14.40B,16.24B,492.00M,,492.00M,799.40M,1.291B,,,802.50M,802.50M,,802.50M,171.50M,171.50M,20.70M,2.286B,4.098B,,4.098B,972.90M,972.90M,687.20M,209.80M,71.10M,80.50M,6.069B,8.355B,1.60M,3.758B,4.440B,321.10M,,,-68.00M,7.811B
2012-03,836.30M,,836.30M,512.40M,,,133.70M,646.10M,56.10M,19.00M,181.30M,,256.40M,,26.40M,108.70M,1.874B,,,,,,,,,1.455B,1.492B,4.683B,6.174B,2.613B,32.00M,,128.50M,158.80M,10.56B,12.44B,205.60M,,205.60M,612.00M,817.60M,,,48.20M,48.20M,,48.20M,169.10M,169.10M,25.10M,1.06B,1.950B,,1.950B,554.80M,554.80M,708.10M,222.60M,40.60M,70.00M,3.528B,4.588B,1.60M,3.711B,4.434B,321.10M,,,-18.60M,7.807B
2011-12,1.079B,,1.079B,529.90M,,137.20M,,726.00M,79.10M,15.30M,140.70M,,229.20M,,11.60M,72.00M,2.118B,3.00M,105.40M,351.90M,1.649B,203.20M,137.70M,2.450B,-1.020B,1.430B,1.453B,4.586B,6.039B,2.488B,32.70M,,149.90M,165.90M,10.31B,12.42B,268.50M,246.20M,547.40M,140.40M,687.80M,,,46.90M,46.90M,,46.90M,161.30M,161.30M,316.80M,1.277B,1.915B,,1.915B,455.60M,455.60M,697.50M,212.50M,42.30M,153.90M,3.456B,4.734B,836.90M,3.690B,3.572B,321.10M,,,-129.70M,7.648B
2011-09,987.20M,,987.20M,574.00M,,,149.70M,723.70M,45.00M,18.10M,138.00M,,201.10M,,0.30M,84.90M,1.998B,,,,,,,,,1.366B,1.500B,4.566B,6.066B,2.590B,40.50M,,217.60M,153.30M,10.43B,12.43B,261.80M,,261.80M,623.30M,885.10M,,,46.40M,46.40M,,46.40M,236.30M,236.30M,117.70M,1.286B,1.901B,,1.901B,510.40M,510.40M,439.80M,198.20M,41.80M,133.60M,3.206B,4.491B,1.60M,3.574B,4.402B,271.10M,,,189.50M,7.897B
2011-06,1.184B,,1.184B,629.60M,,,224.20M,853.80M,45.20M,18.70M,159.30M,,223.20M,,0.30M,102.90M,2.365B,,,,,,,,,1.408B,1.554B,4.754B,6.308B,2.68B,42.40M,,170.50M,130.30M,10.74B,13.10B,229.50M,,229.50M,853.40M,1.083B,,,50.40M,50.40M,,50.40M,248.40M,248.40M,466.10M,1.848B,1.951B,,1.951B,499.00M,499.00M,463.90M,4.70M,42.90M,125.40M,3.070B,4.917B,1.60M,3.435B,4.398B,,,,308.90M,8.144B
2011-03,1.082B,,1.082B,493.80M,,,177.80M,671.60M,48.50M,18.40M,150.10M,,217.00M,,,99.30M,2.070B,,,,,,,,,1.429B,1.546B,4.799B,6.344B,2.693B,42.60M,,152.10M,138.30M,10.80B,12.87B,220.60M,,220.60M,780.60M,1.001B,,,,2.00M,,2.00M,293.40M,293.40M,14.30M,1.311B,2.003B,,2.003B,429.00M,429.00M,470.00M,446.60M,43.60M,131.90M,3.505B,4.816B,1.60M,3.272B,4.394B,,,,341.60M,8.009B
2010-12,1.218B,,1.218B,570.80M,,,161.20M,729.50M,64.30M,16.60M,134.30M,32.10M,247.30M,,0.00,25.90M,2.221B,3.00M,102.00M,341.80M,1.601B,202.20M,65.20M,2.315B,-926.50M,1.389B,1.489B,4.655B,6.144B,2.574B,43.00M,,188.20M,138.50M,10.48B,12.70B,227.80M,221.50M,489.70M,487.00M,976.70M,,,1.10M,1.10M,,1.10M,219.60M,219.60M,40.40M,1.334B,1.960B,,1.960B,547.50M,547.50M,458.60M,404.80M,43.80M,126.40M,3.521B,4.855B,1.60M,3.242B,4.385B,0.00,,,171.10M,7.799B
2010-09,763.50M,,763.50M,530.90M,,,247.00M,777.90M,98.70M,18.40M,113.70M,,230.80M,,,83.50M,1.858B,,,,,,,,,1.294B,1.496B,4.609B,6.105B,2.607B,46.00M,,112.80M,116.20M,10.28B,12.14B,195.60M,,195.60M,812.80M,1.008B,,,,,,,191.10M,191.10M,16.90M,1.216B,1.447B,,1.447B,502.80M,502.80M,821.60M,388.00M,47.40M,90.40M,3.269B,4.486B,1.60M,3.185B,4.352B,,,,67.60M,7.606B
2010-06,798.60M,,798.60M,610.10M,,,174.40M,784.50M,96.50M,17.40M,119.80M,,233.70M,,,104.70M,1.924B,,,,,,,,,1.24B,1.443B,4.548B,5.990B,2.652B,42.00M,,149.20M,110.40M,10.18B,12.11B,178.40M,,178.40M,893.60M,1.072B,,,,300.00M,,300.00M,179.50M,179.50M,16.30M,1.568B,1.433B,,1.433B,507.80M,507.80M,795.20M,376.40M,14.20M,88.00M,3.219B,4.787B,1.60M,2.979B,4.342B,,,,-15.90M,7.306B
2010-03,656.60M,,656.60M,455.80M,,,211.20M,667.00M,103.60M,17.70M,103.20M,,224.50M,,,75.10M,1.625B,,,,,,,,,1.262B,1.444B,4.590B,6.034B,2.724B,43.30M,,174.80M,116.10M,10.36B,11.98B,184.50M,,184.50M,696.10M,880.60M,,,,300.00M,,300.00M,184.50M,184.50M,112.00M,1.477B,1.437B,,1.437B,511.20M,511.20M,792.00M,393.90M,13.80M,186.30M,3.338B,4.815B,1.60M,2.795B,4.336B,,,,19.20M,7.151B
2009-12,734.20M,,734.20M,513.80M,,,153.30M,717.20M,69.60M,18.30M,111.10M,43.60M,242.60M,,,4.00M,1.708B,,,,,,,2.235B,-888.00M,1.347B,1.475B,4.535B,6.010B,2.614B,56.00M,-7.30M,177.90M,115.90M,10.31B,12.02B,193.40M,,210.30M,745.00M,955.30M,,,,300.30M,,300.30M,167.10M,167.10M,158.20M,1.581B,1.413B,,1.413B,533.00M,533.00M,823.80M,374.20M,13.20M,185.00M,3.347B,4.928B,1.60M,2.735B,4.322B,,,,20.70M,7.080B
2009-09,565.10M,,565.10M,501.20M,,,160.60M,661.80M,103.60M,18.90M,101.20M,,223.70M,,,47.60M,1.508B,,,,,,,,,1.252B,1.441B,4.372B,5.814B,2.588B,50.20M,,121.90M,157.70M,9.983B,11.49B,185.40M,,185.40M,633.10M,818.50M,,,,300.10M,,300.10M,123.80M,123.80M,155.50M,1.398B,1.377B,,1.377B,697.70M,697.70M,489.90M,328.20M,15.40M,148.40M,3.059B,4.457B,1.60M,2.557B,4.298B,,,,162.20M,7.019B
2009-06,296.20M,,296.20M,541.50M,,,190.70M,732.20M,98.40M,20.30M,115.70M,,234.40M,,,61.40M,1.333B,,,,,,,,,1.242B,1.432B,4.186B,5.618B,2.558B,54.40M,,76.60M,163.50M,9.713B,11.05B,156.70M,,156.70M,687.10M,843.80M,,,,0.10M,,0.10M,115.40M,115.40M,139.20M,1.098B,1.629B,,1.629B,663.80M,663.80M,492.80M,310.60M,14.20M,140.60M,3.253B,4.352B,1.60M,2.366B,4.277B,,,,34.90M,6.680B
