,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2014-06,2.531B,2.531B,2.041B,489.60M,245.30M,245.30M,,,,-13.30M,23.90M,0.10M,-23.80M,,245.30M,244.30M,0.10M,23.90M,-23.80M,-9.20M,-23.80M,211.30M,76.90M,134.40M,,,-1.10M,,133.30M,141.76M,381.90M,146.70M,235.20M,0.93,,,0.9888,0.93,0.91,,,0.9679,0.91,143.80M,146.00M,0.175
2014-03,2.394B,2.394B,1.966B,427.20M,245.50M,245.50M,,,,-14.20M,23.20M,,-23.20M,,245.50M,181.70M,,23.20M,-23.20M,-12.90M,-23.20M,145.60M,62.10M,83.50M,,,-0.70M,,82.80M,92.03M,312.20M,143.40M,168.80M,0.58,,,0.6443,0.58,0.57,,,0.6332,0.57,143.60M,146.00M,0.175
2013-12,2.363B,2.363B,1.915B,447.80M,234.80M,234.80M,,,,-17.60M,24.00M,,-24.00M,,234.80M,213.00M,,24.00M,-24.00M,-16.70M,-24.00M,172.30M,61.70M,110.60M,,,-0.90M,,109.70M,121.00M,339.50M,143.20M,196.30M,0.76,,,0.8385,0.76,0.75,,,0.8271,0.75,144.00M,146.60M,0.175
2013-09,2.485B,2.485B,1.93B,555.10M,,164.90M,,,,-26.00M,25.00M,,-25.00M,,250.00M,305.10M,,25.00M,-25.00M,-23.30M,-25.00M,256.80M,78.50M,178.30M,,,-1.80M,,176.50M,194.55M,424.30M,142.50M,281.80M,1.225,,,1.35,1.225,1.2,,,1.3230000000000002,1.2,144.60M,146.40M,0.15
2013-06,2.448B,2.448B,1.952B,496.70M,,243.90M,,,,-23.50M,25.60M,,-25.60M,,243.90M,252.80M,,25.60M,-25.60M,-24.10M,-25.60M,203.10M,61.40M,141.70M,,,-1.60M,,140.10M,156.50M,361.10M,132.40M,228.70M,0.97,,,1.084,0.97,0.955,,,1.067,0.955,144.20M,146.40M,0.15
2013-03,2.325B,2.325B,1.940B,385.20M,,237.40M,,,,-12.50M,27.20M,,-27.20M,,237.40M,147.80M,,27.20M,-27.20M,-11.50M,-27.20M,109.10M,-216.50M,325.60M,,,-0.90M,,324.70M,332.82M,275.50M,139.20M,136.30M,2.255,,,2.311,2.255,2.225,,,2.281,2.225,144.00M,145.80M,0.0
2012-12,2.287B,2.287B,1.878B,409.50M,,223.00M,,,,-16.30M,29.10M,0.00,-29.10M,,223.00M,186.50M,0.00,29.10M,-29.10M,-15.70M,-29.10M,141.70M,54.80M,86.90M,,,-0.90M,,86.00M,95.99M,308.90M,138.10M,170.80M,0.6,,,0.6697,0.6,0.59,,,0.6587,0.59,143.40M,145.40M,0.1125
2012-09,2.354B,2.354B,1.934B,419.90M,,242.40M,,,,-29.40M,28.00M,,-26.70M,,242.40M,177.50M,,28.00M,-26.70M,-30.00M,-26.70M,120.80M,37.40M,83.40M,,,-1.10M,,82.30M,102.60M,286.40M,137.60M,148.80M,0.5798,,,0.7218,0.5798,0.57,0.0,,0.71,0.57,143.00M,145.00M,0.1
2012-06,2.303B,2.303B,1.943B,359.80M,,229.60M,,,,-13.80M,26.80M,0.20M,-26.60M,,229.60M,130.20M,0.20M,26.80M,-26.60M,-13.00M,-26.60M,90.60M,31.30M,59.30M,,,-1.10M,,58.20M,67.24M,248.80M,131.40M,117.40M,0.41,,,0.4733,0.41,0.405,,,0.4675,0.405,142.80M,144.60M,0.1
2012-03,2.283B,2.283B,1.922B,360.80M,,229.60M,,,,-47.60M,32.20M,0.50M,-31.70M,,229.60M,131.20M,0.50M,32.20M,-31.70M,-46.20M,-31.70M,53.30M,20.60M,32.70M,,,-0.80M,,31.90M,61.13M,218.10M,132.60M,85.50M,0.225,,,0.4308,0.225,0.22,,,0.4232,0.22,142.00M,143.80M,0.1
2011-12,2.268B,2.268B,1.876B,392.20M,225.90M,225.90M,,,,-10.30M,32.70M,0.40M,-32.30M,,225.90M,166.30M,0.40M,32.70M,-32.30M,-9.60M,-32.30M,124.40M,47.60M,76.80M,,,-0.10M,,76.70M,83.06M,289.80M,132.70M,157.10M,0.54,,,0.5849,0.54,0.53,,,0.5743,0.53,141.60M,143.40M,0.1
2011-09,2.464B,2.464B,2.029B,434.40M,,224.40M,,,,-30.90M,33.20M,,-37.30M,,224.40M,210.00M,,33.20M,-37.30M,-45.60M,-37.30M,127.10M,42.30M,84.80M,,,-0.90M,,83.90M,104.52M,291.20M,130.90M,160.30M,0.5918,,,0.7376,0.5918,0.585,0.0,,0.728,0.585,141.40M,144.20M,0.1
2011-06,1.382B,1.382B,1.170B,212.40M,,145.30M,,,,-95.00M,22.80M,4.10M,-18.70M,,145.30M,67.10M,4.10M,22.80M,-18.70M,-94.40M,-18.70M,-46.00M,-17.60M,-28.40M,,,-1.70M,,-30.10M,28.55M,50.30M,73.50M,-23.20M,-0.3,0.0,,0.2784,-0.3,-0.3,0.0,,0.2784,-0.3,101.40M,101.40M,0.1
2011-03,792.90M,792.90M,626.60M,166.30M,,88.30M,,,,-6.30M,16.20M,,-16.20M,,88.30M,78.00M,,16.20M,-16.20M,-6.00M,-16.20M,55.80M,17.50M,38.30M,,,-1.30M,,37.00M,41.32M,109.20M,37.20M,72.00M,0.47,0.0,,0.5259,0.47,0.46,0.0,,0.5152,0.46,77.40M,78.40M,0.1
2010-12,761.10M,761.10M,582.30M,178.80M,,83.20M,,,,-0.60M,16.70M,,-16.70M,,83.20M,95.60M,,16.70M,-16.70M,-0.30M,-16.70M,78.60M,27.30M,51.30M,,,-1.00M,,50.30M,50.69M,132.00M,36.70M,95.30M,0.645,0.0,,0.6501,0.645,0.635,0.0,,0.64,0.635,77.20M,78.80M,0.1
2010-09,806.80M,806.80M,602.60M,204.20M,,87.80M,,,,-3.20M,17.00M,,-17.40M,,87.80M,116.40M,,17.00M,-17.40M,-2.60M,-17.40M,96.40M,4.00M,92.40M,,,-1.00M,,91.40M,94.47M,150.10M,36.70M,113.40M,1.175,0.0,,1.215,1.175,1.155,0.0,,1.194,1.155,76.80M,78.20M,0.075
2010-06,771.90M,771.90M,595.80M,176.10M,,84.90M,,,,0.20M,17.80M,0.10M,-17.70M,,84.90M,91.20M,0.10M,17.80M,-17.70M,0.50M,-17.70M,74.00M,27.00M,47.00M,,,-1.90M,,45.10M,44.97M,128.20M,36.40M,91.80M,0.58,0.0,,0.5784,0.58,0.57,0.0,,0.5684,0.57,77.00M,78.40M,0.075
2010-03,731.90M,731.90M,570.60M,161.30M,,87.20M,,,,-4.60M,19.20M,0.10M,-19.10M,,87.20M,74.10M,0.10M,19.20M,-19.10M,-4.90M,-19.10M,50.10M,16.40M,33.70M,,,-0.90M,,32.80M,35.89M,106.10M,36.80M,69.30M,0.425,0.0,,0.4654,0.425,0.415,0.0,,0.4547,0.415,76.60M,78.00M,0.075
2009-12,690.80M,690.80M,512.30M,178.50M,,80.00M,,,,-2.50M,21.50M,0.20M,-21.30M,,80.00M,98.50M,0.20M,21.50M,-21.30M,-2.30M,-21.30M,74.90M,17.30M,57.60M,,,-1.30M,,56.30M,58.22M,133.90M,37.50M,96.40M,0.725,0.0,,0.7502,0.725,0.715,0.0,,0.7397,0.715,76.40M,77.80M,0.075
2009-09,729.00M,729.00M,525.70M,203.30M,,84.40M,,,,-2.60M,22.50M,0.00,-22.50M,,84.40M,118.90M,0.00,22.50M,-22.50M,-2.20M,-22.50M,94.20M,25.60M,68.60M,,,-1.30M,,67.30M,69.19M,154.00M,37.30M,116.70M,0.87,0.0,,0.8948,0.87,0.86,0.0,,0.8842,0.86,76.40M,78.20M,0.05
2009-06,703.90M,703.90M,480.80M,223.10M,,81.40M,,,,-3.00M,23.20M,0.00,-23.20M,,81.40M,141.70M,0.00,23.20M,-23.20M,-2.70M,-23.20M,115.80M,27.40M,88.40M,,,-1.40M,,87.00M,89.29M,176.50M,37.50M,139.00M,1.135,0.0,,1.165,1.135,1.115,0.0,,1.145,1.115,75.80M,77.00M,0.05
2009-03,676.30M,676.30M,504.80M,171.50M,,83.50M,,,,-3.70M,24.60M,,-24.60M,,83.50M,88.00M,,24.60M,-24.60M,-3.90M,-24.60M,59.50M,21.90M,37.60M,,,-0.20M,,37.40M,39.74M,121.40M,37.30M,84.10M,0.49,0.0,,0.5209,0.49,0.485,0.0,,0.5156,0.485,75.60M,76.40M,0.05
2008-12,703.10M,703.10M,538.30M,164.80M,,81.50M,,,,-8.90M,26.40M,0.40M,-26.00M,,81.50M,83.30M,0.40M,26.40M,-26.00M,-9.30M,-26.00M,48.00M,16.70M,31.30M,,,-0.70M,,30.60M,36.40M,112.30M,37.90M,74.40M,0.4,0.0,,0.477,0.4,0.395,0.0,,0.471,0.395,75.40M,76.40M,0.05
2008-09,785.70M,785.70M,621.20M,164.50M,,84.60M,,,,-6.50M,27.60M,,-28.40M,,84.60M,79.90M,,27.60M,-28.40M,-5.00M,-28.40M,45.00M,16.60M,28.40M,,,,,28.40M,32.50M,109.40M,36.80M,72.60M,0.38,0.0,,0.4348,0.38,0.37,0.0,,0.4237,0.37,74.80M,76.40M,0.05
2008-06,771.00M,771.00M,626.30M,144.70M,,85.40M,,,,-3.70M,27.60M,0.80M,-26.80M,,85.40M,59.30M,0.80M,27.60M,-26.80M,-2.70M,-26.80M,28.10M,9.30M,18.80M,,,,,18.80M,21.28M,94.90M,39.20M,55.70M,0.25,0.0,,0.283,0.25,0.245,0.0,,0.2772,0.245,75.00M,76.80M,0.05
2008-03,685.90M,685.90M,560.00M,125.90M,,75.30M,,,,-2.70M,19.70M,0.10M,-19.60M,,75.30M,50.60M,0.10M,19.70M,-19.60M,-2.50M,-19.60M,27.30M,10.20M,17.10M,,,,,17.10M,18.79M,78.60M,31.60M,47.00M,0.23,0.0,,0.2527,0.23,0.225,0.0,,0.2471,0.225,74.60M,76.40M,0.05
2007-12,596.30M,596.30M,489.30M,107.00M,,65.20M,,,,-3.00M,,,,,65.20M,41.80M,,,,-3.30M,,25.70M,8.20M,17.50M,,,-0.90M,,17.50M,19.54M,67.60M,25.80M,41.80M,0.235,0.0,,0.2624,0.235,0.23,0.0,,0.2569,0.23,74.60M,76.00M,0.05
2007-09,604.80M,604.80M,488.40M,116.40M,,68.60M,,,,-1.30M,,,,,68.60M,47.80M,,,,-1.50M,,31.30M,11.60M,19.70M,,,-1.00M,,19.70M,20.52M,74.00M,26.20M,47.80M,0.255,0.0,,0.2655,0.255,0.25,0.0,,0.2604,0.25,77.60M,78.40M,0.05
2007-06,591.40M,591.40M,472.20M,119.20M,,65.70M,,,,-1.90M,,,,,65.70M,53.50M,,,,-1.30M,,39.60M,14.40M,25.20M,,,-0.80M,,25.20M,26.41M,79.50M,26.00M,53.50M,0.32,0.0,,0.3354,0.32,0.315,0.0,,0.3301,0.315,78.60M,80.20M,0.05
2007-03,585.70M,585.70M,473.30M,112.40M,,63.50M,,,,-1.20M,,,,,63.50M,48.90M,,,,-0.80M,,34.70M,13.00M,21.70M,,,-1.10M,,21.70M,22.45M,74.40M,25.50M,48.90M,0.28,0.0,,0.2897,0.28,0.275,0.0,,0.2844,0.275,77.40M,79.60M,0.05
2006-12,533.90M,533.90M,436.30M,97.60M,,61.30M,,,,-0.50M,,,,,61.30M,36.30M,,,,-0.20M,,21.40M,6.30M,15.10M,,,-1.90M,,15.10M,15.45M,62.30M,26.00M,36.30M,0.2,0.0,,0.2047,0.2,0.195,0.0,,0.1996,0.195,74.60M,77.40M,0.045
2006-09,569.70M,569.70M,461.40M,108.30M,,63.10M,,,,-0.60M,,,,,63.10M,45.20M,,,,-0.10M,,30.30M,8.80M,21.50M,,,-1.70M,,21.50M,21.93M,71.70M,26.50M,45.20M,0.295,0.0,,0.3007,0.295,0.285,0.0,,0.2904,0.285,74.63M,78.58M,0.045
2006-06,548.30M,548.30M,456.30M,92.00M,,62.00M,,,,-2.70M,,,,,62.00M,30.00M,,,,-2.70M,,12.00M,1.00M,11.00M,,,-1.60M,,11.00M,13.48M,56.10M,26.10M,30.00M,0.15,0.0,,0.1842,0.15,0.15,0.0,,0.1835,0.15,72.40M,73.80M,0.045
2006-03,529.70M,529.70M,440.50M,89.20M,,62.00M,,,,-3.50M,,,,,62.00M,27.20M,,,,-3.70M,,8.40M,3.20M,5.20M,,,-1.80M,,5.20M,7.367M,53.10M,25.90M,27.20M,0.075,0.0,,0.1045,0.075,0.07,0.0,,0.0992,0.07,73.40M,74.29M,0.045
2005-12,490.40M,490.40M,430.80M,59.60M,,57.10M,1.00M,,,,,,,,58.10M,1.50M,,,,1.60M,,12.10M,-3.10M,-9.00M,,,-1.30M,,-9.00M,-9.00M,27.30M,25.80M,1.50M,-0.125,0.0,,-0.125,-0.125,-0.125,0.0,,-0.125,-0.125,71.60M,71.60M,0.045
2005-09,528.67M,528.67M,442.12M,86.54M,,59.43M,,,,-2.475M,,,,,59.43M,27.12M,,,,-3.475M,,7.65M,2.754M,4.896M,,,-1.757M,,4.896M,6.48M,52.35M,25.23M,27.12M,0.07,0.0,,0.0929,0.07,0.07,0.0,,0.092,0.07,69.20M,71.95M,0.045
2005-06,424.68M,424.68M,351.93M,72.75M,,50.60M,,,,-2.168M,,,,,50.60M,22.15M,,,,-2.168M,,9.758M,-2.224M,11.98M,,,-1.475M,,11.98M,13.28M,43.89M,21.74M,22.15M,0.17,0.0,,0.1883,0.17,0.165,0.0,,0.1831,0.165,71.00M,71.80M,0.045
2005-03,394.34M,394.34M,335.16M,59.18M,,48.51M,,,,-2.724M,,,,,48.51M,10.67M,,,,-2.524M,,0.596M,0.356M,0.24M,,,-0.703M,,0.24M,1.874M,29.25M,18.58M,10.67M,0.005,0.0,,0.0278,0.005,0.005,0.0,,0.0278,0.005,71.76M,71.76M,0.045
2004-12,385.82M,385.82M,329.99M,55.82M,,46.46M,,,,-0.333M,,,,,46.46M,9.366M,,,,-0.333M,,1.896M,1.414M,0.482M,,,-0.865M,,0.482M,0.6818M,27.82M,18.45M,9.366M,0.005,0.0,,0.0078,0.005,0.005,0.0,,0.0078,0.005,71.76M,71.76M,0.045
2004-09,417.91M,417.91M,346.55M,71.36M,,49.12M,,,,-5.79M,,,,,49.55M,21.81M,,,,-5.69M,,9.92M,3.419M,6.501M,0.036M,,-0.888M,,6.537M,10.30M,39.46M,17.64M,21.81M,0.0897,-0.0028,,0.1433,0.0869,0.0897,-0.11,,0.1433,0.0869,70.82M,70.82M,0.0425
2004-06,397.28M,397.28M,331.40M,65.88M,,48.58M,,,,-21.03M,,,,,48.58M,17.30M,,,,-21.03M,,-11.16M,-7.079M,-4.076M,0.35M,,-1.036M,,-3.726M,8.541M,36.69M,19.40M,17.30M,-0.06,0.005,,0.1204,-0.055,-0.06,0.005,,0.1204,-0.055,69.93M,69.93M,0.0425
2004-03,400.00M,400.00M,331.59M,68.41M,,51.09M,,,,-6.126M,,,,,51.09M,17.31M,,,,-6.126M,,4.857M,1.848M,3.009M,-0.099M,,-0.59M,,2.91M,6.804M,35.87M,18.56M,17.31M,0.045,-0.005,,0.0987,0.04,0.045,-0.005,,0.0987,0.04,70.62M,70.62M,0.0425
2003-12,366.11M,366.11M,304.26M,61.85M,,48.10M,,,,-0.155M,,,,,48.10M,13.75M,,,,-0.155M,,6.878M,2.712M,4.166M,7.713M,,-0.886M,,11.88M,4.260M,32.35M,18.60M,13.75M,0.06,0.11,,0.0613,0.17,0.06,0.11,,0.0613,0.17,70.56M,70.56M,0.0425
2003-09,332.00M,332.00M,268.72M,63.28M,,40.14M,,,,-0.43M,,,,,42.95M,20.33M,,,,-0.43M,,15.38M,5.453M,9.929M,,,-0.877M,,9.964M,10.21M,35.70M,15.37M,20.33M,0.1375,0.0005,,0.1415,0.138,0.1375,0.0,,0.1414,0.138,69.24M,70.65M,0.04
2003-06,386.37M,386.37M,316.96M,69.40M,,48.52M,,,,-0.763M,,,,,48.52M,20.88M,,,,-0.763M,,11.84M,4.63M,7.212M,,,-0.849M,,7.212M,7.677M,42.74M,21.85M,20.88M,0.105,0.0,,0.1117,0.105,0.105,0.0,,0.1117,0.105,69.45M,69.45M,0.04
